
[00:00:00.000 --> 00:00:02.760]   (audio cuts out)
[00:02:05.400 --> 00:02:08.040]   an immorality of such a kind that does not even exist
[00:02:08.040 --> 00:02:13.040]   among the Gentiles, that someone has his father's wife.
[00:02:13.040 --> 00:02:18.040]   You have become arrogant and have not mourned instead
[00:02:18.040 --> 00:02:20.560]   so that the one who had done this deed
[00:02:20.560 --> 00:02:22.560]   would be removed from your midst.
[00:02:22.560 --> 00:02:24.920]   For I on my part, though absent in body,
[00:02:24.920 --> 00:02:27.960]   but present in spirit, have already judged him
[00:02:27.960 --> 00:02:31.520]   who has so committed this, as though I were present.
[00:02:31.520 --> 00:02:34.600]   In the name of our Lord Jesus, when you are assembled,
[00:02:34.600 --> 00:02:38.240]   and I with you in spirit, with the power of our Lord Jesus,
[00:02:38.240 --> 00:02:40.920]   I have decided to deliver such a one to Satan
[00:02:40.920 --> 00:02:43.040]   for the destruction of his flesh,
[00:02:43.040 --> 00:02:46.600]   so that his spirit may be saved
[00:02:46.600 --> 00:02:48.520]   in the day of the Lord Jesus.
[00:02:48.520 --> 00:02:51.160]   Your boasting is not good.
[00:02:51.160 --> 00:02:52.800]   Do you not know that a little leaven
[00:02:52.800 --> 00:02:55.080]   leavens the whole lump of dough?
[00:02:55.080 --> 00:02:58.440]   Clean out the old leaven so that you may be a new lump,
[00:02:58.440 --> 00:03:00.720]   just as you are in fact unleavened.
[00:03:00.720 --> 00:03:04.880]   For Christ, our Passover, also has been sacrificed.
[00:03:04.880 --> 00:03:07.200]   Therefore, let us celebrate the feast,
[00:03:07.200 --> 00:03:09.880]   not with old leaven, nor with the leaven of malice
[00:03:09.880 --> 00:03:13.160]   and wickedness, but with the unleavened bread
[00:03:13.160 --> 00:03:15.880]   of sincerity and truth.
[00:03:15.880 --> 00:03:17.960]   I wrote you in my letter not to associate
[00:03:17.960 --> 00:03:19.640]   with immoral people.
[00:03:19.640 --> 00:03:22.600]   I did not at all mean with the immoral people
[00:03:22.600 --> 00:03:25.800]   of this world, or with the covetous and swindlers,
[00:03:25.800 --> 00:03:28.520]   or with idolaters, for then you would have
[00:03:28.520 --> 00:03:30.480]   to go out of the world.
[00:03:30.480 --> 00:03:33.720]   But actually, I wrote to you not to associate
[00:03:33.720 --> 00:03:37.240]   with any so-called brother if he is an immoral person,
[00:03:37.240 --> 00:03:40.360]   or covetous, an idolater, a reviler,
[00:03:40.360 --> 00:03:45.200]   a drunkard or swindler, not even to eat with such a one.
[00:03:45.200 --> 00:03:48.160]   For what have I to do with judging outsiders?
[00:03:48.160 --> 00:03:50.920]   Do you not judge those who are within the church?
[00:03:50.920 --> 00:03:53.920]   But those who are outside, God judges.
[00:03:53.920 --> 00:03:57.720]   Remove the wicked man from among yourselves.
[00:03:57.720 --> 00:03:58.560]   Okay.
[00:03:58.560 --> 00:04:03.760]   So let's begin taking a look, a closer look
[00:04:03.760 --> 00:04:05.520]   at this passage that we've seen.
[00:04:05.520 --> 00:04:08.020]   Pretty heavy hitting rebuke.
[00:04:08.020 --> 00:04:12.160]   We look at verse one and two, and I would like you
[00:04:12.160 --> 00:04:14.280]   just to do a quick exercise.
[00:04:14.280 --> 00:04:16.520]   In verse one and two, where it says,
[00:04:16.520 --> 00:04:18.760]   it is actually reported that there is immorality
[00:04:18.760 --> 00:04:21.240]   among you, an immorality of such a kind
[00:04:21.240 --> 00:04:24.200]   as that does not even exist among the Gentiles,
[00:04:24.200 --> 00:04:26.680]   that someone has his father's wife,
[00:04:26.680 --> 00:04:29.860]   you have become arrogant and have not mourned instead,
[00:04:29.860 --> 00:04:32.360]   so that the one who had done this deed
[00:04:32.360 --> 00:04:34.940]   would be removed from your midst.
[00:04:34.940 --> 00:04:38.360]   What I'd like you to do is just simply underline
[00:04:38.360 --> 00:04:41.660]   the most important concepts in verse one and two.
[00:04:41.660 --> 00:04:43.560]   Okay.
[00:04:43.560 --> 00:04:47.000]   Okay.
[00:04:47.920 --> 00:04:50.440]   So as you guys do that, remember all the things
[00:04:50.440 --> 00:04:53.200]   that we've been kind of, again, rehearsing
[00:04:53.200 --> 00:04:55.160]   with you guys and reviewing.
[00:04:55.160 --> 00:04:57.280]   Main verbs are very important.
[00:04:57.280 --> 00:04:59.660]   Significant broad terms.
[00:04:59.660 --> 00:05:05.320]   Main phrases that he's getting at, those are important, okay?
[00:05:05.320 --> 00:05:07.000]   Repeated words are important.
[00:05:07.000 --> 00:05:11.760]   Okay.
[00:05:11.760 --> 00:05:15.440]   Now, after you've done that, basically,
[00:05:15.440 --> 00:05:18.360]   if you've underlined the most important terms
[00:05:18.360 --> 00:05:22.600]   in those first two verses, you're pretty much getting at
[00:05:22.600 --> 00:05:26.600]   what is the problem Apostle Paul is addressing, okay?
[00:05:26.600 --> 00:05:29.960]   So my first question to you is, what is Apostle Paul,
[00:05:29.960 --> 00:05:32.440]   oh, I wrote it like, what is Apostle Paul upset about?
[00:05:32.440 --> 00:05:34.500]   He is pretty upset, okay?
[00:05:34.500 --> 00:05:36.840]   But what problems is he addressing?
[00:05:36.840 --> 00:05:41.320]   Anybody?
[00:05:43.840 --> 00:05:46.000]   Immorality, okay?
[00:05:46.000 --> 00:05:48.600]   So the first term you should have underlined
[00:05:48.600 --> 00:05:49.800]   is probably just immorality.
[00:05:49.800 --> 00:05:51.760]   He says, this exists among you,
[00:05:51.760 --> 00:05:54.120]   and then he starts defining immorality, okay?
[00:05:54.120 --> 00:05:57.200]   So for your letter A, just write in immorality.
[00:05:57.200 --> 00:05:59.000]   And how does he describe this?
[00:05:59.000 --> 00:06:06.640]   Just asking you to look at the passage
[00:06:06.640 --> 00:06:09.280]   and just throw out the, these are just, you know,
[00:06:09.280 --> 00:06:10.640]   face value observations.
[00:06:10.640 --> 00:06:12.700]   So how does he describe their immorality?
[00:06:13.700 --> 00:06:14.540]   Sorry?
[00:06:14.540 --> 00:06:15.500]   - Arrogant?
[00:06:15.500 --> 00:06:18.700]   - Does he describe the immorality as arrogant?
[00:06:18.700 --> 00:06:22.380]   In verse one, the little kind of dependent clauses
[00:06:22.380 --> 00:06:25.460]   that are there, the little phrases that are there.
[00:06:25.460 --> 00:06:26.940]   - So bad, not even the pagans do it.
[00:06:26.940 --> 00:06:30.180]   - So bad, not even the pagans do it, okay?
[00:06:30.180 --> 00:06:32.840]   So think about this immorality.
[00:06:32.840 --> 00:06:38.260]   It's weird to think about that, right?
[00:06:38.260 --> 00:06:42.060]   That the church that's comprised of individuals
[00:06:42.060 --> 00:06:44.220]   who are supposed to be set apart,
[00:06:44.220 --> 00:06:48.300]   drawn out from the world, set apart as holy to God,
[00:06:48.300 --> 00:06:49.980]   they're now practicing such things
[00:06:49.980 --> 00:06:52.740]   that aren't even named among the world, okay?
[00:06:52.740 --> 00:06:56.200]   And that namely is incest, okay?
[00:06:56.200 --> 00:06:58.340]   Now there's sometimes disagreement about,
[00:06:58.340 --> 00:07:01.320]   okay, does this young man have a woman
[00:07:01.320 --> 00:07:03.620]   that's like a stepmom?
[00:07:03.620 --> 00:07:05.820]   Maybe this is the father's second wife,
[00:07:05.820 --> 00:07:08.020]   maybe the original mom died,
[00:07:08.020 --> 00:07:10.900]   or is he actually having sexual relations
[00:07:10.900 --> 00:07:13.180]   with his birth mom?
[00:07:13.180 --> 00:07:14.740]   Kind of crazy, right?
[00:07:14.740 --> 00:07:18.260]   A lot of, yeah, sorry, I saw your, yeah.
[00:07:18.260 --> 00:07:20.580]   The cringe, like, ugh, it's nasty.
[00:07:20.580 --> 00:07:23.460]   Well, the thing about it is, if you guys remember,
[00:07:23.460 --> 00:07:28.460]   like, in that culture, it wasn't uncommon for a man
[00:07:28.460 --> 00:07:32.500]   to marry like multiple times, okay?
[00:07:32.500 --> 00:07:35.460]   Secondly, in that culture, it wasn't uncommon
[00:07:35.460 --> 00:07:37.780]   for, let's say, a man to have a wife
[00:07:37.780 --> 00:07:40.400]   that's super young, right?
[00:07:40.400 --> 00:07:41.980]   'Cause you got these older men,
[00:07:41.980 --> 00:07:45.820]   and in that culture, the men had such kind of authority
[00:07:45.820 --> 00:07:48.460]   and power and say and all that kind of stuff,
[00:07:48.460 --> 00:07:51.420]   and women were so dependent, they didn't care.
[00:07:51.420 --> 00:07:53.300]   Like, in our generation and culture,
[00:07:53.300 --> 00:07:55.660]   it's kind of like, you know, we have an option.
[00:07:55.660 --> 00:07:57.700]   The ladies can say, well, you don't fit the bill
[00:07:57.700 --> 00:08:00.460]   that I want, you don't fit the height,
[00:08:00.460 --> 00:08:02.660]   financial income, the look, and all that stuff.
[00:08:02.660 --> 00:08:04.180]   It's like, forget you, you know?
[00:08:04.180 --> 00:08:07.300]   But back then, it was like, if you had a guy
[00:08:07.300 --> 00:08:10.600]   who owned a lot of property, but he just happened
[00:08:10.600 --> 00:08:14.720]   to be older, that wasn't like a deal breaker.
[00:08:14.720 --> 00:08:18.280]   So you would have a scenario where, let's say,
[00:08:18.280 --> 00:08:21.600]   because of certain reasons, the father divorced
[00:08:21.600 --> 00:08:23.840]   the first wife, he marries a second,
[00:08:23.840 --> 00:08:27.520]   but the second wife happens to be the same age as the son.
[00:08:27.520 --> 00:08:28.760]   You know what I mean?
[00:08:28.760 --> 00:08:32.360]   So in this kind of scenario, number one,
[00:08:32.360 --> 00:08:35.200]   a lot of commentators, again, I'm not like,
[00:08:35.200 --> 00:08:37.160]   just pulling this out of, oh, hypothetic, I guess.
[00:08:37.160 --> 00:08:39.820]   A lot of commentators are saying, this family
[00:08:39.820 --> 00:08:42.820]   is probably a family that's pretty well-to-do,
[00:08:42.820 --> 00:08:45.380]   and it could be a scenario where the mom
[00:08:45.380 --> 00:08:49.140]   actually is like similar age as the son, okay?
[00:08:49.140 --> 00:08:51.580]   Now, I bring that kind of stuff up because
[00:08:51.580 --> 00:08:57.020]   I'm just kind of saying like, this could be a real scenario.
[00:08:57.020 --> 00:08:59.020]   Okay, it could be a real scenario.
[00:08:59.020 --> 00:09:01.880]   But the thing about it is, even in that culture, though,
[00:09:01.880 --> 00:09:06.880]   that was not only just no good, it was incredibly shameful.
[00:09:06.880 --> 00:09:07.720]   It was shameful.
[00:09:07.720 --> 00:09:11.320]   Not only was there a culture like that,
[00:09:11.320 --> 00:09:14.020]   but also, let's put in some more details into that culture.
[00:09:14.020 --> 00:09:17.480]   That culture is an incredibly high honor society.
[00:09:17.480 --> 00:09:19.700]   Everything is about honor.
[00:09:19.700 --> 00:09:21.440]   Everything is about prestige.
[00:09:21.440 --> 00:09:24.460]   Everything is about that kind of sense of nobility.
[00:09:24.460 --> 00:09:28.400]   For a son to do that, that's incredibly shameful, okay?
[00:09:28.400 --> 00:09:32.620]   And so, Apostle Paul is sitting here like, flabbergasted.
[00:09:32.620 --> 00:09:37.200]   And he's saying, blah, this stuff is happening in the church
[00:09:37.200 --> 00:09:40.360]   that's pagan to the pagans.
[00:09:40.360 --> 00:09:42.920]   How can this be, right?
[00:09:42.920 --> 00:09:45.240]   And really, that kind of shows to us
[00:09:45.240 --> 00:09:49.720]   the church can find itself very, very, very far
[00:09:49.720 --> 00:09:53.340]   from the holy standards that God has called us to, okay?
[00:09:53.340 --> 00:09:56.400]   Now, someone mentioned the other one.
[00:09:56.400 --> 00:09:57.920]   What's the other thing that Apostle Paul
[00:09:57.920 --> 00:09:59.080]   is really upset about?
[00:09:59.080 --> 00:10:01.400]   So, step one, he's really upset about the fact
[00:10:01.400 --> 00:10:04.280]   that there is sexual immorality amongst the people
[00:10:04.280 --> 00:10:06.840]   who are supposed to be holy.
[00:10:06.840 --> 00:10:09.640]   But what's the second thing that he's really upset about?
[00:10:09.640 --> 00:10:14.760]   Arrogance, okay?
[00:10:14.760 --> 00:10:17.880]   He is upset about arrogance, and there's a sense
[00:10:17.880 --> 00:10:20.320]   in which you can say maybe he's even more upset.
[00:10:20.320 --> 00:10:22.880]   How many of you guys have the NIV translation?
[00:10:22.880 --> 00:10:23.920]   You guys work off NIV?
[00:10:23.920 --> 00:10:24.800]   Okay, cool.
[00:10:24.800 --> 00:10:27.120]   Do you mind reading verse two for us?
[00:10:27.120 --> 00:10:31.780]   (audience member speaking indistinctly)
[00:10:31.780 --> 00:10:39.320]   Okay.
[00:10:39.320 --> 00:10:42.360]   Thank you.
[00:10:42.360 --> 00:10:43.240]   Sorry, yes, that's right.
[00:10:43.240 --> 00:10:45.040]   I'm remembering it a little wrong, I think.
[00:10:45.040 --> 00:10:48.380]   But there's an exclamation after you are proud, right?
[00:10:48.380 --> 00:10:52.400]   Okay, so that's what I'm remembering, all right.
[00:10:52.400 --> 00:10:54.340]   So, the point I was trying to make was,
[00:10:55.640 --> 00:11:00.320]   Apostle Paul might be very well more upset at the fact
[00:11:00.320 --> 00:11:03.200]   not so much that there is sin,
[00:11:03.200 --> 00:11:06.320]   but that the people are arrogant about it, okay?
[00:11:06.320 --> 00:11:07.800]   Not so much that there's sin,
[00:11:07.800 --> 00:11:11.840]   but the way that they respond to the sin is arrogant.
[00:11:11.840 --> 00:11:13.860]   And in the NIV, it kind of captures
[00:11:13.860 --> 00:11:15.440]   what the Greek is trying to show.
[00:11:15.440 --> 00:11:17.360]   And I'm not saying, again, you guys have to be like
[00:11:17.360 --> 00:11:18.320]   masters at Greek or whatever,
[00:11:18.320 --> 00:11:20.880]   but sometimes comparing the translation just helps us.
[00:11:20.880 --> 00:11:22.100]   Is there any kind of difference
[00:11:22.100 --> 00:11:23.320]   or things that we should note?
[00:11:23.520 --> 00:11:27.680]   And he is like saying, you're so proud, you know?
[00:11:27.680 --> 00:11:29.360]   You're so arrogant.
[00:11:29.360 --> 00:11:31.480]   And there's an exclamation at that.
[00:11:31.480 --> 00:11:33.180]   Now, my question to you is,
[00:11:33.180 --> 00:11:38.280]   what is Apostle Paul identifying as pride in this scenario?
[00:11:38.280 --> 00:11:39.120]   Okay?
[00:11:39.120 --> 00:11:41.040]   Take a look at the verses surrounding it.
[00:11:41.040 --> 00:11:43.280]   Take a look at verse one and two again.
[00:11:43.280 --> 00:11:45.140]   What are some hints, what are some things
[00:11:45.140 --> 00:11:48.080]   that could perhaps shed some light for us
[00:11:48.080 --> 00:11:53.080]   as to what is he calling arrogant in this scenario?
[00:11:53.080 --> 00:11:55.840]   (pages rustling)
[00:11:55.840 --> 00:12:02.640]   Yes?
[00:12:02.640 --> 00:12:04.240]   - Is it like their response to that sin?
[00:12:04.240 --> 00:12:05.240]   - Good.
[00:12:05.240 --> 00:12:06.840]   It's their response to the sin.
[00:12:06.840 --> 00:12:09.080]   Now, my question to you is,
[00:12:09.080 --> 00:12:12.980]   can you put into more detail, how did they respond
[00:12:12.980 --> 00:12:15.980]   that would make them now be called arrogant?
[00:12:15.980 --> 00:12:18.280]   - They didn't do anything.
[00:12:18.280 --> 00:12:19.680]   Just accepted it.
[00:12:19.680 --> 00:12:21.200]   - Interesting.
[00:12:21.200 --> 00:12:24.440]   They didn't do anything and they just accepted it.
[00:12:24.440 --> 00:12:27.340]   Now, is that something you would call arrogant?
[00:12:27.340 --> 00:12:33.020]   What do you think has to happen in the mind and the thought
[00:12:33.020 --> 00:12:35.760]   that all of a sudden, just like,
[00:12:35.760 --> 00:12:37.000]   I'm not gonna do anything about it,
[00:12:37.000 --> 00:12:39.680]   and all of a sudden that's arrogant?
[00:12:39.680 --> 00:12:42.760]   Wouldn't that be just called like apathetic?
[00:12:42.760 --> 00:12:45.600]   Maybe insensitive?
[00:12:45.600 --> 00:12:46.440]   Yes?
[00:12:46.440 --> 00:12:49.520]   - Like the absence of the fear of God is often
[00:12:49.520 --> 00:12:51.520]   a sign of being arrogant.
[00:12:51.520 --> 00:12:53.380]   - Excellent, okay.
[00:12:53.380 --> 00:12:55.000]   That could definitely, did you guys hear that?
[00:12:55.000 --> 00:12:59.120]   She says, when you don't do anything about something,
[00:12:59.120 --> 00:13:02.680]   when the law of God clearly says to do something,
[00:13:02.680 --> 00:13:05.340]   then by that sin of omission,
[00:13:05.340 --> 00:13:08.000]   all of a sudden you've relegated God's law
[00:13:08.000 --> 00:13:10.920]   and you've placed your standard now above his.
[00:13:10.920 --> 00:13:13.240]   'Cause essentially, you could be telling God like,
[00:13:13.240 --> 00:13:16.120]   God, this is okay, don't have a cow.
[00:13:16.120 --> 00:13:18.480]   And that's something very arrogant.
[00:13:18.480 --> 00:13:19.960]   What else?
[00:13:19.960 --> 00:13:23.040]   - Somebody in our people pointed out that
[00:13:23.040 --> 00:13:26.840]   there's an arrogance in thinking that it won't hurt us,
[00:13:26.840 --> 00:13:30.360]   which fits later with the idea of the leaven
[00:13:30.360 --> 00:13:32.760]   affecting the whole batch of dough.
[00:13:32.760 --> 00:13:33.600]   - Okay.
[00:13:33.600 --> 00:13:37.000]   - So, they think that having a sin in the church
[00:13:37.000 --> 00:13:39.520]   won't hurt them, it won't hurt the church.
[00:13:39.520 --> 00:13:41.320]   And that's arrogant, because it will.
[00:13:41.320 --> 00:13:42.520]   - Right.
[00:13:42.520 --> 00:13:45.080]   Not having a sense of fear of like,
[00:13:45.080 --> 00:13:47.040]   oh, this is dangerous, right?
[00:13:47.040 --> 00:13:48.760]   It's kinda like a kid who just doesn't think
[00:13:48.760 --> 00:13:50.640]   he's gonna ever get hurt, even though he's riding around
[00:13:50.640 --> 00:13:53.160]   with no helmet, no nothing, you know?
[00:13:53.160 --> 00:13:55.560]   He thinks that although this exists in the church,
[00:13:55.560 --> 00:13:58.640]   it's not gonna affect us anyway, so we're fine.
[00:13:58.640 --> 00:14:00.320]   That's arrogant.
[00:14:00.320 --> 00:14:01.840]   Is there anything else, maybe?
[00:14:01.840 --> 00:14:10.680]   - Well, so you read the last verse from chapter four,
[00:14:10.680 --> 00:14:12.800]   in the last, it's kind of like how last week
[00:14:12.800 --> 00:14:15.880]   you were talking about, like in verse 18,
[00:14:15.880 --> 00:14:17.400]   chapter four, it says, "Some are arrogant,
[00:14:17.400 --> 00:14:19.480]   "so I will not curse you, but I will not curse you,
[00:14:19.480 --> 00:14:22.240]   "for I hold it in my heart with fear of Satan.
[00:14:22.240 --> 00:14:24.080]   "If they were aware that he's not there
[00:14:24.080 --> 00:14:26.920]   "to be overseen and watch him and check,
[00:14:26.920 --> 00:14:28.560]   "they claim I do whatever they want,
[00:14:28.560 --> 00:14:30.360]   "so they feel like they know what's best,
[00:14:30.360 --> 00:14:33.000]   "and they feel like they're not standard."
[00:14:33.000 --> 00:14:36.120]   - Okay, good.
[00:14:36.120 --> 00:14:38.360]   Absolutely, there is arrogance in thinking,
[00:14:38.360 --> 00:14:41.840]   no consequences, we're gonna do what we wanna do,
[00:14:41.840 --> 00:14:43.720]   we're gonna let's lie what we wanna let's lie,
[00:14:43.720 --> 00:14:46.400]   because Apostle Paul, or nobody, can say nothing.
[00:14:46.400 --> 00:14:49.500]   Okay, that's arrogant, too.
[00:14:49.500 --> 00:14:52.280]   What about maybe something from this passage,
[00:14:52.280 --> 00:14:54.500]   if you look at verse two, he says,
[00:14:54.500 --> 00:14:57.400]   "You have become arrogant," and then he ties that
[00:14:57.400 --> 00:15:00.120]   by saying, "and have not mourned instead."
[00:15:00.120 --> 00:15:02.300]   Okay?
[00:15:02.300 --> 00:15:05.460]   So, all those things that you guys mentioned,
[00:15:05.460 --> 00:15:07.500]   I appreciate you guys mentioning those things,
[00:15:07.500 --> 00:15:09.840]   because that kind of mentality and thinking
[00:15:09.840 --> 00:15:11.360]   is arrogant before the Lord.
[00:15:12.600 --> 00:15:15.600]   But then, Apostle Paul adds here,
[00:15:15.600 --> 00:15:18.380]   basically, "You have become arrogant,
[00:15:18.380 --> 00:15:23.160]   "and your arrogant thinking caused you not to mourn."
[00:15:23.160 --> 00:15:24.160]   What's mourn?
[00:15:24.160 --> 00:15:28.460]   You, so then, here it is, like progress, right?
[00:15:28.460 --> 00:15:30.780]   You're arrogant, so you didn't mourn,
[00:15:30.780 --> 00:15:32.560]   and so the end result didn't happen,
[00:15:32.560 --> 00:15:35.080]   which is you should have dealt with this and removed him.
[00:15:35.080 --> 00:15:36.040]   Okay?
[00:15:36.040 --> 00:15:39.500]   So what does that kinda imply to us
[00:15:39.500 --> 00:15:41.520]   as what he views as arrogance?
[00:15:41.520 --> 00:15:43.680]   (silence)
[00:15:43.680 --> 00:15:50.520]   Brokenness of sin.
[00:15:50.520 --> 00:15:52.920]   Okay, do you wanna elaborate on that a little bit?
[00:15:52.920 --> 00:15:56.600]   - Sin doesn't really affect that as much,
[00:15:56.600 --> 00:15:58.480]   or doesn't really--
[00:15:58.480 --> 00:15:59.800]   - What kind of sin?
[00:15:59.800 --> 00:16:05.040]   Trying to push you to what I personally want,
[00:16:05.040 --> 00:16:07.080]   but think about this.
[00:16:09.800 --> 00:16:14.560]   Apostle Paul sees them as his children, you know?
[00:16:14.560 --> 00:16:19.720]   And when you see your children,
[00:16:19.720 --> 00:16:21.820]   at least just one of them, okay?
[00:16:21.820 --> 00:16:26.000]   When you see them, even just one of them hurting,
[00:16:26.000 --> 00:16:29.120]   and then one of your kids comes up,
[00:16:29.120 --> 00:16:32.560]   after, let's just say, hypothetical scenario,
[00:16:32.560 --> 00:16:36.720]   you have a bunch of kids, they all playing together,
[00:16:36.720 --> 00:16:39.520]   and with little kids, what always ends up happening
[00:16:39.520 --> 00:16:42.720]   is someone hurts their head, you know?
[00:16:42.720 --> 00:16:44.800]   They're playing around, and then they run into something,
[00:16:44.800 --> 00:16:46.680]   they're playing around, they fall, they hit their head,
[00:16:46.680 --> 00:16:48.280]   and they're hurting bad, and they're crying,
[00:16:48.280 --> 00:16:50.200]   and stuff like that, you know?
[00:16:50.200 --> 00:16:52.440]   You come running in, and you're like, "What happened?"
[00:16:52.440 --> 00:16:54.280]   And it's like, "Well, so and so, you know,
[00:16:54.280 --> 00:16:55.760]   "Johnny hurt his head, he fell on the ground."
[00:16:55.760 --> 00:16:56.600]   It's like, "What'd you do?"
[00:16:56.600 --> 00:16:58.440]   It's like, "Nothing, how could you, nothing?
[00:16:58.440 --> 00:17:00.160]   "It's not my problem."
[00:17:00.160 --> 00:17:06.040]   What do you say to the child who says, "It's not my problem"?
[00:17:06.040 --> 00:17:07.600]   Well done, selfless little man.
[00:17:08.920 --> 00:17:13.640]   He's like, "Ugh," like, you just reek of selfishness, right?
[00:17:13.640 --> 00:17:16.280]   It's like, "Your brother's hurting on the floor,
[00:17:16.280 --> 00:17:19.320]   "he hurt his head, you didn't even call for me, you know?
[00:17:19.320 --> 00:17:20.720]   "You didn't go to see if he's okay,
[00:17:20.720 --> 00:17:22.840]   "you just said, 'It's not my problem.'"
[00:17:22.840 --> 00:17:24.600]   Right?
[00:17:24.600 --> 00:17:26.000]   So really, when you're saying, like,
[00:17:26.000 --> 00:17:28.240]   there's no brokenness over sin, what's really interesting,
[00:17:28.240 --> 00:17:32.160]   it says there's no mourning, but there's no grieving
[00:17:32.160 --> 00:17:34.200]   in the sense that there's no grieving
[00:17:34.200 --> 00:17:38.400]   in that kind of sympathetic, this is our sin kind of way,
[00:17:38.400 --> 00:17:39.240]   you know?
[00:17:39.240 --> 00:17:42.240]   Like, there is no hurting together,
[00:17:42.240 --> 00:17:44.920]   that Apostle Paul so many times has commanded the church,
[00:17:44.920 --> 00:17:47.340]   "I want you to hurt together, I want you to cry together,
[00:17:47.340 --> 00:17:48.880]   "I want you to rejoice together."
[00:17:48.880 --> 00:17:49.720]   Why?
[00:17:49.720 --> 00:17:51.540]   "Because you guys are together."
[00:17:51.540 --> 00:17:54.000]   But when somebody who's supposed to be together
[00:17:54.000 --> 00:17:56.680]   all of a sudden says, "But it ain't my problem,"
[00:17:56.680 --> 00:17:59.560]   it's prideful for a community person
[00:17:59.560 --> 00:18:01.960]   to think individualistically.
[00:18:01.960 --> 00:18:03.360]   Does that make sense?
[00:18:03.360 --> 00:18:07.320]   It's prideful for a brother to think individualistically.
[00:18:08.160 --> 00:18:12.560]   So he says, like, "Ugh, that's gross,
[00:18:12.560 --> 00:18:14.500]   "you slept with your stepmom?
[00:18:14.500 --> 00:18:18.360]   "It's not my problem, I don't want anything to do with you."
[00:18:18.360 --> 00:18:21.040]   That's arrogant, right?
[00:18:21.040 --> 00:18:23.600]   He just judges that person and says, "Ew, you're gross,
[00:18:23.600 --> 00:18:25.160]   "but not my problem."
[00:18:25.160 --> 00:18:26.080]   That's arrogant.
[00:18:26.080 --> 00:18:30.240]   To think in that kind of individualistic way
