
[00:00:00.000 --> 00:00:02.420]   (soft music)
[00:02:08.020 --> 00:02:10.660]   Just if you have a willing heart to serve
[00:02:10.660 --> 00:02:13.540]   and just be able to, yeah,
[00:02:13.540 --> 00:02:15.180]   just encourage those
[00:02:15.180 --> 00:02:17.000]   and just greet everyone who's coming to church,
[00:02:17.000 --> 00:02:20.860]   whether they're newcomers or members of the church,
[00:02:20.860 --> 00:02:24.700]   it's just a great way to just greet everyone in the morning.
[00:02:24.700 --> 00:02:26.340]   Hope you're able to sign up.
[00:02:26.340 --> 00:02:29.460]   We encourage a month long commitment,
[00:02:29.460 --> 00:02:32.220]   but just whatever days you're able to do,
[00:02:32.220 --> 00:02:34.380]   we'd love to have you there, so thank you.
[00:02:34.380 --> 00:02:37.660]   Hi, my name is Mitchell Kim.
[00:02:37.660 --> 00:02:40.700]   My wife, Grace, and I are in charge of Snack Team.
[00:02:40.700 --> 00:02:42.780]   Snack Team is a ministry
[00:02:42.780 --> 00:02:45.480]   that uses one of God's great gifts, food,
[00:02:45.480 --> 00:02:47.380]   to help facilitate fellowship
[00:02:47.380 --> 00:02:49.820]   in the church body after service.
[00:02:49.820 --> 00:02:52.860]   Volunteers sign up for one month out of the year
[00:02:52.860 --> 00:02:55.820]   to help prepare and serve snacks.
[00:02:55.820 --> 00:02:58.280]   So it's a fairly unintimidating way
[00:02:58.280 --> 00:03:01.360]   to be involved in ministry at church.
[00:03:01.360 --> 00:03:04.640]   No prior cooking experience is needed,
[00:03:04.640 --> 00:03:07.860]   just the heart that wants to serve the church body.
[00:03:07.860 --> 00:03:09.460]   If you would like to sign up
[00:03:09.460 --> 00:03:12.460]   or find out more information about Snack Team,
[00:03:12.460 --> 00:03:16.060]   you can contact either myself or my wife
[00:03:16.060 --> 00:03:19.060]   through Facebook, email, or text.
[00:03:19.060 --> 00:03:21.420]   We look forward to serving with you, thank you.
[00:03:21.980 --> 00:03:24.560]   (gentle music)
[00:03:24.560 --> 00:03:27.140]   (gentle music)

