
[00:00:00.000 --> 00:00:04.000]   Testing, testing.
[00:15:32.000 --> 00:15:34.000]   Does He have a right to choose
[00:15:34.000 --> 00:15:37.000]   what section of the room of pupa
[00:15:37.000 --> 00:15:38.000]   that He wants to preserve?
[00:15:38.000 --> 00:15:43.000]   Absolutely. He is God.
[00:15:43.000 --> 00:15:45.000]   What about all these other mosquitoes saying,
[00:15:45.000 --> 00:15:47.000]   "How? What? That's not fair.
[00:15:47.000 --> 00:15:50.000]   That makes no sense.
[00:15:50.000 --> 00:15:53.000]   Every single one should just be blowtorched out
[00:15:53.000 --> 00:15:55.000]   and no one would bat an eye."
[00:15:55.000 --> 00:15:58.000]   But for some reason, our God chooses to have compassion
[00:15:58.000 --> 00:16:00.000]   on this little corner
[00:16:00.000 --> 00:16:04.000]   and to preserve away.
[00:16:04.000 --> 00:16:09.000]   The gospel message is that
[00:16:09.000 --> 00:16:14.000]   God provided a way back to Him
[00:16:14.000 --> 00:16:17.000]   and that is an absurdity
[00:16:17.000 --> 00:16:21.000]   to where all the holy angels in heaven are like,
[00:16:21.000 --> 00:16:23.000]   "What is going on?
[00:16:23.000 --> 00:16:27.000]   This makes zero sense."
[00:16:27.000 --> 00:16:29.000]   And for man to be like, "Well, yeah, we did it.
[00:16:29.000 --> 00:16:31.000]   We earned it.
[00:16:31.000 --> 00:16:33.000]   We were beautiful. We were worthy."
[00:16:33.000 --> 00:16:41.000]   is absolute blasphemy.
[00:16:41.000 --> 00:16:44.000]   Are you guys emotionally not tracking along?
[00:16:44.000 --> 00:16:45.000]   Okay.
[00:16:45.000 --> 00:16:47.000]   Ephesians 2, 3, 4,
[00:16:47.000 --> 00:16:49.000]   "Among them, we too all formerly lived
[00:16:49.000 --> 00:16:51.000]   in the lusts of our flesh,
[00:16:51.000 --> 00:16:54.000]   indulging the desires of the flesh and of the mind,
[00:16:54.000 --> 00:16:58.000]   and we were by nature spawn of wrath."
[00:16:58.000 --> 00:17:01.000]   We were the objects designed to be
[00:17:01.000 --> 00:17:08.000]   wrath laden.
[00:17:08.000 --> 00:17:12.000]   Created just for wrath.
[00:17:12.000 --> 00:17:14.000]   But God being rich in mercy.
[00:17:14.000 --> 00:17:20.000]   And that is an infinitely, wonderfully beautiful but.
[00:17:20.000 --> 00:17:23.000]   Because that changes everything.
[00:17:23.000 --> 00:17:26.000]   But God who is absurdly rich in mercy
[00:17:26.000 --> 00:17:28.000]   because of His great love,
[00:17:28.000 --> 00:17:30.000]   with which He loved us,
[00:17:30.000 --> 00:17:32.000]   and then later He saves us,
[00:17:32.000 --> 00:17:34.000]   not because of any beautiful work we did,
[00:17:34.000 --> 00:17:36.000]   but by His grace.
[00:17:36.000 --> 00:17:37.000]   For what?
[00:17:37.000 --> 00:17:38.000]   Verse 10 of Ephesians 2.
[00:17:38.000 --> 00:17:41.000]   Good works.
[00:17:41.000 --> 00:17:43.000]   He saved us.
[00:17:43.000 --> 00:17:45.000]   He predestined us.
[00:17:45.000 --> 00:17:46.000]   He called us.
[00:17:46.000 --> 00:17:47.000]   He elected us.
[00:17:47.000 --> 00:17:49.000]   He will change us.
[00:17:49.000 --> 00:17:50.000]   He will glorify us.
[00:17:50.000 --> 00:17:52.000]   He will beautify us.
[00:17:52.000 --> 00:17:55.000]   All we do is in faith say,
[00:17:55.000 --> 00:17:57.000]   "Thank you. Praise God.
[00:17:57.000 --> 00:18:05.000]   All glory be to you because none of this is me."
[00:18:05.000 --> 00:18:06.000]   Spurgeon said,
[00:18:06.000 --> 00:18:09.000]   "Giving your heart to Christ is not the gospel."
[00:18:09.000 --> 00:18:12.000]   Salvation comes from something that Christ gives you.
[00:18:12.000 --> 00:18:15.000]   Not something that you give to Christ.
[00:18:15.000 --> 00:18:19.000]   And Martin Luther, this turned into a hymn.
[00:18:19.000 --> 00:18:21.000]   "Did we in our own strength confide
[00:18:21.000 --> 00:18:24.000]   our striving would be losing?
[00:18:24.000 --> 00:18:26.000]   Were not the right man on our side
[00:18:26.000 --> 00:18:29.000]   the man of God's own choosing?
[00:18:29.000 --> 00:18:32.000]   Dost ask who that may be?
[00:18:32.000 --> 00:18:35.000]   Christ Jesus it is He.
[00:18:35.000 --> 00:18:37.000]   Lord Sabaoth His name
[00:18:37.000 --> 00:18:39.000]   from age to age His name
[00:18:39.000 --> 00:18:42.000]   and He must win the battle."
[00:18:42.000 --> 00:18:44.000]   I mean, unfortunately, the music is kind of strange.
[00:18:44.000 --> 00:18:46.000]   This hymn, right?
[00:18:46.000 --> 00:18:49.000]   "Almighty fortress is our God."
[00:18:49.000 --> 00:18:51.000]   That's why it's not as popularly sung.
[00:18:51.000 --> 00:18:55.000]   But this is such a beautiful hymn.
[00:18:55.000 --> 00:18:59.000]   A bulwark never failing.
[00:18:59.000 --> 00:19:02.000]   Now, I want you to look at something.
[00:19:02.000 --> 00:19:04.000]   God does it all.
[00:19:04.000 --> 00:19:06.000]   Okay?
[00:19:06.000 --> 00:19:09.000]   So this is a preview of salvation.
[00:19:09.000 --> 00:19:12.000]   "For I will take you from the nations.
[00:19:12.000 --> 00:19:14.000]   I will gather you from all the lands.
[00:19:14.000 --> 00:19:16.000]   I will bring you into your own land.
[00:19:16.000 --> 00:19:18.000]   I will sprinkle clean water on you
[00:19:18.000 --> 00:19:20.000]   and you will be clean.
[00:19:20.000 --> 00:19:22.000]   I will cleanse you from all your filthiness
[00:19:22.000 --> 00:19:23.000]   and from all your idols.
[00:19:23.000 --> 00:19:24.000]   I will give you a new heart
[00:19:24.000 --> 00:19:26.000]   and put a new spirit within you.
[00:19:26.000 --> 00:19:28.000]   I will remove the heart of stone from your flesh
[00:19:28.000 --> 00:19:30.000]   and I will give you a heart of flesh.
[00:19:30.000 --> 00:19:32.000]   I will put my spirit within you.
[00:19:32.000 --> 00:19:33.000]   I will cause you to walk in my statues
[00:19:33.000 --> 00:19:35.000]   and you will be careful to observe my ordinances.
[00:19:35.000 --> 00:19:38.000]   You will live in the land that I gave to your forefathers
[00:19:38.000 --> 00:19:41.000]   so you will be my people and I will be your God."
[00:19:41.000 --> 00:19:43.000]   How many I wills are in here?
[00:19:43.000 --> 00:19:45.000]   A bunch.
[00:19:45.000 --> 00:19:49.000]   Salvation is not of man.
[00:19:49.000 --> 00:19:55.000]   Salvation is not man's effort in any way, shape, or form.
[00:19:55.000 --> 00:19:58.000]   It is 100% God's grace, God's kindness.
[00:19:58.000 --> 00:20:00.000]   Hallelujah.
[00:20:00.000 --> 00:20:02.000]   You guys understand?
[00:20:02.000 --> 00:20:04.000]   Okay?
[00:20:04.000 --> 00:20:10.000]   God has done a spiritual heart transplant in you
[00:20:10.000 --> 00:20:12.000]   if you are a child of God.
[00:20:12.000 --> 00:20:13.000]   It cannot be reversed.
[00:20:13.000 --> 00:20:15.000]   It cannot be undone.
[00:20:15.000 --> 00:20:18.000]   This is not something that you made an effort to have.
[00:20:18.000 --> 00:20:21.000]   You did not change your heart.
[00:20:21.000 --> 00:20:23.000]   God did it.
[00:20:23.000 --> 00:20:25.000]   You are not a creator.
[00:20:25.000 --> 00:20:29.000]   He is creator and you are creation, but you're new.
[00:20:29.000 --> 00:20:31.000]   Therefore, if anyone is in Christ,
[00:20:31.000 --> 00:20:33.000]   he is a new creature.
[00:20:33.000 --> 00:20:35.000]   The old things have passed away.
[00:20:35.000 --> 00:20:37.000]   Behold, new things have come.
[00:20:37.000 --> 00:20:39.000]   For neither is circumcision anything,
[00:20:39.000 --> 00:20:43.000]   nor uncircumcision, but a new creation.
[00:20:43.000 --> 00:20:48.000]   So new creations will look like new creations.
[00:20:48.000 --> 00:20:53.000]   They will not indulge the same things of yesteryear.
[00:20:53.000 --> 00:20:55.000]   They're brand new.
[00:20:55.000 --> 00:20:58.000]   There will be works,
[00:20:58.000 --> 00:21:00.000]   but salvation is not from these works.
[00:21:00.000 --> 00:21:03.000]   It's a byproduct.
[00:21:03.000 --> 00:21:04.000]   Okay?
[00:21:04.000 --> 00:21:07.000]   But sometimes in our folly,
[00:21:07.000 --> 00:21:11.000]   we want to manipulate details of our lives
[00:21:11.000 --> 00:21:14.000]   to prove to God, to prove to others
[00:21:14.000 --> 00:21:16.000]   that we can save ourselves,
[00:21:16.000 --> 00:21:18.000]   that we can improve our lot,
[00:21:18.000 --> 00:21:21.000]   that we can make ourselves more beautiful to God
[00:21:21.000 --> 00:21:23.000]   than that person.
[00:21:23.000 --> 00:21:25.000]   Folly.
[00:21:25.000 --> 00:21:26.000]   So what is the gospel?
[00:21:26.000 --> 00:21:28.000]   How are we saved?
[00:21:28.000 --> 00:21:32.000]   Grace through faith plus nothing else.
[00:21:32.000 --> 00:21:36.000]   But when God grabs your heart and changes it,
[00:21:36.000 --> 00:21:38.000]   will there be results, yes or no?
[00:21:38.000 --> 00:21:40.000]   Yes.
[00:21:40.000 --> 00:21:41.000]   Okay?
[00:21:41.000 --> 00:21:44.000]   And this is going to be the tension in the book of Galatians.
[00:21:44.000 --> 00:21:49.000]   Where does works play into my salvation?
[00:21:49.000 --> 00:21:50.000]   Right?
[00:21:50.000 --> 00:21:53.000]   Nod your heads if you know that there is that tension coming.
[00:21:53.000 --> 00:21:54.000]   Okay?
[00:21:54.000 --> 00:21:56.000]   The Bible, sorry, parking announcements.
[00:21:56.000 --> 00:22:01.000]   So that's the teaching portion.
[00:22:01.000 --> 00:22:03.000]   The mosquito illustration.
[00:22:03.000 --> 00:22:05.000]   Greater distance between me and God
[00:22:05.000 --> 00:22:08.000]   or me and the mosquito?
[00:22:08.000 --> 00:22:10.000]   Between me and God.
[00:22:10.000 --> 00:22:13.000]   There's nothing, just as much as there's nothing
[00:22:13.000 --> 00:22:17.000]   a mosquito can do to convince me not just not to kill it,
[00:22:17.000 --> 00:22:20.000]   but to adopt it as my child.
[00:22:20.000 --> 00:22:24.000]   Even more so, infinitesimally more so,
[00:22:24.000 --> 00:22:27.000]   there's nothing that you can do to please God
[00:22:27.000 --> 00:22:29.000]   in your own efforts.
[00:22:29.000 --> 00:22:31.000]   It has to be completely His grace.
[00:22:31.000 --> 00:22:35.000]   And that's why we give praise.
[00:22:35.000 --> 00:22:39.000]   Because we serve a very strange God who would do such a thing.
[00:22:39.000 --> 00:22:43.000]   Imagine if Kylie did take home a mosquito
[00:22:43.000 --> 00:22:45.000]   and give it a name
[00:22:45.000 --> 00:22:50.000]   and put makeup on it and stuff.
[00:22:50.000 --> 00:22:53.000]   That's nothing compared to what God did to Jesus on the cross
[00:22:53.000 --> 00:22:56.000]   for our sin.
[00:22:56.000 --> 00:22:57.000]   You guys follow?
[00:22:57.000 --> 00:22:59.000]   Okay?
[00:22:59.000 --> 00:23:04.000]   Some announcements that I'm going to repeat a little bit.
[00:23:04.000 --> 00:23:05.000]   We have a lot of people here.
