
[00:00:00.000 --> 00:00:08.400]   Okay, all right.
[00:06:42.460 --> 00:06:44.420]   This passage is John chapter 21.
[00:06:44.420 --> 00:06:49.500]   I'm going to just tell the story starting from like verse 14 and forward.
[00:06:49.500 --> 00:06:54.900]   Jesus, after his resurrection, goes to seek out Apostle Peter specifically.
[00:06:54.900 --> 00:06:55.900]   Remember that, right?
[00:06:55.900 --> 00:06:58.900]   What was Apostle Peter doing at the time?
[00:06:58.900 --> 00:07:00.340]   Perhaps he felt guilty.
[00:07:00.340 --> 00:07:01.940]   Perhaps he felt ashamed.
[00:07:01.940 --> 00:07:03.380]   Perhaps he was discouraged.
[00:07:03.380 --> 00:07:08.960]   So we find in the story that Apostle Peter was going back to fishing.
[00:07:08.960 --> 00:07:14.240]   And when Jesus appears to him, Jesus asks a sequence of questions that tugs and pulls
[00:07:14.240 --> 00:07:15.640]   at the heart of Apostle Peter.
[00:07:15.640 --> 00:07:16.880]   You guys remember.
[00:07:16.880 --> 00:07:20.880]   Jesus asks him, "Do you love me?"
[00:07:20.880 --> 00:07:26.320]   He asks that question three times and Apostle Peter, in response to that question, says,
[00:07:26.320 --> 00:07:29.520]   "Lord, do you know I love you?"
[00:07:29.520 --> 00:07:33.160]   And every time I read that passage, I wonder if he's, you know, the first time it's like,
[00:07:33.160 --> 00:07:34.160]   "Oh yeah, I do."
[00:07:34.160 --> 00:07:38.360]   And then the next time, as sequentially, it gets even stronger and stronger, right?
[00:07:38.360 --> 00:07:39.880]   Like, "I do, I do."
[00:07:39.880 --> 00:07:42.200]   And the last time it's like, "Oh, you know I do."
[00:07:42.200 --> 00:07:43.600]   You know?
[00:07:43.600 --> 00:07:51.760]   But Jesus' reply to Apostle Peter after the third time was, "Then feed my sheep.
[00:07:51.760 --> 00:07:55.080]   Then tend to my sheep."
[00:07:55.080 --> 00:07:58.760]   So the calling, the exhortation, right?
[00:07:58.760 --> 00:08:04.240]   But the task at hand for Apostle Peter that was given directly by Jesus was this command
[00:08:04.240 --> 00:08:05.840]   to go shepherd the flock.
[00:08:05.840 --> 00:08:11.080]   And so in Apostle Peter's perspective, this is not just like, "Man, you know, I've got
[00:08:11.080 --> 00:08:12.200]   one ambition."
[00:08:12.200 --> 00:08:13.640]   This is like at the core.
[00:08:13.640 --> 00:08:16.120]   It's his urge, you know?
[00:08:16.120 --> 00:08:19.720]   It's his dedication to shepherd the flock of God.
[00:08:19.720 --> 00:08:23.260]   Please turn your Bibles over to Acts chapter 20.
[00:08:23.260 --> 00:08:31.740]   And there is this profound passage where the Apostle Paul, he spent a lot of time at Ephesus.
[00:08:31.740 --> 00:08:36.740]   And he was ministering to that church well over two years, okay?
[00:08:36.740 --> 00:08:42.540]   And as he's departing, there's this incredibly emotional scene where Apostle Paul and the
[00:08:42.540 --> 00:08:47.940]   leaders of Ephesus have this very intimate moment where they're crying over each other.
[00:08:47.940 --> 00:08:54.820]   But look at the words of Apostle Paul in that same similar kind of that urge, the dedication
[00:08:54.820 --> 00:08:56.580]   to shepherd the flock of God.
[00:08:56.580 --> 00:09:00.680]   So I'm going to start reading from verse 18, like right smack in the middle of it.
[00:09:00.680 --> 00:09:03.620]   So chapter 20, book of Acts, verse 18, okay?
[00:09:03.620 --> 00:09:08.120]   It says, "You know how I lived the whole time I was with you.
[00:09:08.120 --> 00:09:12.460]   From the first day I came into the province of Asia, I served the Lord with great humility,
[00:09:12.460 --> 00:09:16.720]   with tears, although I was severely tested by the plot of the Jews.
[00:09:16.720 --> 00:09:20.900]   You know that I have not hesitated to preach anything that would be helpful to you, but
[00:09:20.900 --> 00:09:24.100]   I've taught you publicly and from house to house.
[00:09:24.100 --> 00:09:28.980]   I have declared to both Jews and Greeks that they must turn to God in repentance and have
[00:09:28.980 --> 00:09:30.860]   faith in our Lord Jesus.
[00:09:30.860 --> 00:09:36.500]   And now compelled by the Spirit, I'm going to Jerusalem not knowing what will happen
[00:09:36.500 --> 00:09:37.500]   to me there.
[00:09:37.500 --> 00:09:42.260]   I only know that in every city the Holy Spirit warns me that prison and hardships are facing
[00:09:42.260 --> 00:09:43.260]   me.
[00:09:43.260 --> 00:09:46.140]   However, I consider my life worth nothing to me.
[00:09:46.140 --> 00:09:51.220]   If only I may finish the race and complete the task the Lord Jesus has given me, the
[00:09:51.220 --> 00:09:54.900]   task of testifying to the gospel of God's grace.
[00:09:54.900 --> 00:09:59.140]   Now I know that none of you among whom I have gone about preaching the kingdom will ever
[00:09:59.140 --> 00:10:00.140]   see me again.
[00:10:00.140 --> 00:10:04.460]   Therefore, I declare to you today that I am innocent of the blood of all men, for I have
[00:10:04.460 --> 00:10:08.900]   not hesitated to proclaim to you the whole will of God.
[00:10:08.900 --> 00:10:14.740]   Keep watch over yourselves and all the flock of which the Holy Spirit has made you overseers."
[00:10:14.740 --> 00:10:18.780]   Overseers, right?
[00:10:18.780 --> 00:10:24.660]   So all in all, as you hear the words of Apostle Peter, all in all as you hear the words of
[00:10:24.660 --> 00:10:30.720]   Apostle Paul, and as you look through the scriptures, this kind of heart sentiment,
[00:10:30.720 --> 00:10:37.700]   we have an incredible amount of responsibility that God has given to us.
[00:10:37.700 --> 00:10:41.300]   Not just as a, "It would be nice if you could do this please."
[00:10:41.300 --> 00:10:45.500]   You know, "Just try and it would be nice if when you have time, when you can find a
[00:10:45.500 --> 00:10:47.140]   way it would be nice if you try."
[00:10:47.140 --> 00:10:51.180]   I mean, that's not the kind of sentiment you feel, is it?
[00:10:51.180 --> 00:10:56.340]   Like there is this burning passion, but there is also this weight of responsibility.
[00:10:56.340 --> 00:11:00.260]   Apostle Paul is saying, "God, like the Holy Spirit is compelling me and Jesus has given
[00:11:00.260 --> 00:11:04.540]   me this task and now my one ambition is to complete it."
[00:11:04.540 --> 00:11:08.780]   And I count my life nothing, all the hurdles, whatever I've been through, they're just
[00:11:08.780 --> 00:11:15.220]   nothing compared to this one passion and desire to complete what God has given me.
[00:11:15.220 --> 00:11:16.260]   You know?
[00:11:16.260 --> 00:11:23.340]   So that's what I mean when a good shepherd is going to have a holistic perspective where
[00:11:23.340 --> 00:11:29.220]   he has an accurate view of what he's doing, the weight of it, the responsibility.
[00:11:29.220 --> 00:11:30.700]   Okay?
[00:11:30.700 --> 00:11:35.660]   Now moving to element number two, element number two.
[00:11:35.660 --> 00:11:40.980]   A good shepherd values the flock as Christ does.
[00:11:40.980 --> 00:11:42.260]   Okay?
[00:11:42.260 --> 00:11:49.260]   It's one thing to be concerned over task, function, production, and goal success.
[00:11:49.260 --> 00:11:50.300]   Right?
[00:11:50.300 --> 00:11:52.180]   It's another thing to value.
[00:11:52.180 --> 00:11:58.140]   Like there's a perspective and heart where it sees precious the flock of God.
[00:11:58.140 --> 00:12:05.900]   Especially to have a kind of affection, to exhibit a kind of sensitivity and like softness,
[00:12:05.900 --> 00:12:09.580]   that endearing eye as Christ would.
[00:12:09.580 --> 00:12:15.180]   And so the way that Apostle Peter even describes, "This is the flock of God, you've been
[00:12:15.180 --> 00:12:16.180]   entrusted."
[00:12:16.180 --> 00:12:22.460]   And remember, you look at the way that Apostle Peter is talking to this group, remember again
[00:12:22.460 --> 00:12:28.220]   that Apostle Peter knows full well, this is a flock that have been bruised.
[00:12:28.220 --> 00:12:29.220]   Right?
[00:12:29.220 --> 00:12:31.780]   This is a flock that has been hurt.
[00:12:31.780 --> 00:12:34.180]   This is a flock that needs encouragement.
[00:12:34.180 --> 00:12:37.100]   These are a people who need strength.
[00:12:37.100 --> 00:12:41.020]   And so you, if you read the kind of the letter in whole and every passage that we're turning
[00:12:41.020 --> 00:12:46.280]   to, he's doing both, giving encouragement, strengthening them, and there is that affection
[00:12:46.280 --> 00:12:48.500]   for the flock as he sees it.
[00:12:48.500 --> 00:12:49.500]   Okay?
[00:12:49.500 --> 00:12:50.900]   What's more?
[00:12:50.900 --> 00:12:54.260]   If you guys would turn in your Bibles to John chapter 10, we're going to look at some
[00:12:54.260 --> 00:13:00.820]   of these passages just because, man, there's so many rich biblical texts talking about
[00:13:00.820 --> 00:13:02.780]   the attitude, right?
[00:13:02.780 --> 00:13:08.600]   The attitude behind those who are leaders, behind those who are shepherds, and then here
[00:13:08.600 --> 00:13:14.220]   in this passage, we see the beautiful heart of the great chief shepherd.
[00:13:14.220 --> 00:13:15.260]   Okay?
[00:13:15.260 --> 00:13:20.580]   So please go to John chapter 10, starting from verse 7 and following.
[00:13:20.580 --> 00:13:22.380]   Starting from verse 7 and following.
[00:13:22.380 --> 00:13:26.540]   It says, "Jesus said to them again, 'Truly, truly, I say to you, I am the door of the
[00:13:26.540 --> 00:13:27.860]   sheep.
[00:13:27.860 --> 00:13:32.380]   All who came before me are thieves and robbers, but the sheep did not hear them.
[00:13:32.380 --> 00:13:33.380]   I am the door.
[00:13:33.380 --> 00:13:38.660]   If anyone enters through me, he will be saved and will go in and out and find pasture.
[00:13:38.660 --> 00:13:41.140]   The thieves come only to steal and kill and destroy.
[00:13:41.140 --> 00:13:44.460]   I came that they may have life and have it abundantly.
[00:13:44.460 --> 00:13:46.540]   I am the good shepherd.
[00:13:46.540 --> 00:13:49.540]   The good shepherd lays down his life for the sheep.
[00:13:49.540 --> 00:13:54.340]   He who is a hired hand and not a shepherd, who is not the owner of the sheep, sees the
[00:13:54.340 --> 00:14:00.140]   wolves coming and leaves the sheep and flees, and the wolf snatches them and scatters them.
[00:14:00.140 --> 00:14:05.460]   He flees because he is a hired hand and is not concerned about the sheep.
[00:14:05.460 --> 00:14:10.660]   I am the good shepherd, and I know my own and my own know me.
[00:14:10.660 --> 00:14:15.660]   Even as the father knows me, I know the father, and I lay my life for the sheep.
[00:14:15.660 --> 00:14:23.340]   A good shepherd, according to Jesus, is one who has ownership and care and says, "Those
[00:14:23.340 --> 00:14:27.860]   sheep are mine."
[00:14:27.860 --> 00:14:32.660]   There is an arrogant way to be like, "This congregation is mine."
[00:14:32.660 --> 00:14:39.620]   But there is a heart filled, there is a deep love of one who attaches himself to the congregation
[00:14:39.620 --> 00:14:45.300]   and says, "This congregation is mine just like that my family is mine, just like my
[00:14:45.300 --> 00:14:48.140]   children are mine, just like my wife is mine."
[00:14:48.140 --> 00:14:55.260]   This kind of bond is actually what really is definitive of a good shepherd.
[00:14:55.260 --> 00:14:58.100]   There are pastors who sometimes come in.
[00:14:58.100 --> 00:15:02.620]   There are people who want to work in the church, but what they're hoping to do is just build
[00:15:02.620 --> 00:15:04.540]   a good church.
[00:15:04.540 --> 00:15:11.260]   They're good with church models, organizations, which again is not bad, but that alone is
[00:15:11.260 --> 00:15:13.300]   not the right perspective.
[00:15:13.300 --> 00:15:15.640]   What is the right perspective?
[00:15:15.640 --> 00:15:21.020]   The right perspective is to make sure that both of these elements are hand in hand, that
[00:15:21.020 --> 00:15:23.020]   are absolutely hand in hand.
[00:15:23.020 --> 00:15:28.100]   You know, there was this time I remember when a close friend of mine one time asked me,
[00:15:28.100 --> 00:15:33.440]   "Hey, I'm going to be like out of town for about a week and a half.
[00:15:33.440 --> 00:15:35.480]   Could you take care of my baby?"
[00:15:35.480 --> 00:15:37.600]   Now he wasn't talking about his real baby.
[00:15:37.600 --> 00:15:42.180]   This was a time when I was really into cars and he was talking about his car baby.
[00:15:42.180 --> 00:15:48.580]   And this was a car that he had souped up, modified, he customized, he spent hours like
[00:15:48.580 --> 00:15:50.580]   cleaning this thing, maintaining this thing.
[00:15:50.580 --> 00:15:52.700]   So he asked me, "I'm going to be gone.
[00:15:52.700 --> 00:15:56.580]   Could you make sure to drive it around a few times, you know, maybe like once every two
[00:15:56.580 --> 00:15:57.780]   days.
[00:15:57.780 --> 00:16:01.620]   Could you make sure that when you take it out, don't drive it too hard, you know.
[00:16:01.620 --> 00:16:04.300]   Don't drive it too hard, I know you're tempted and stuff."
[00:16:04.300 --> 00:16:10.460]   Now to me, as he asked me that, I was just kind of like, "Nah."
[00:16:10.460 --> 00:16:11.920]   Why?
[00:16:11.920 --> 00:16:14.240]   Because I don't want responsibility.
[00:16:14.240 --> 00:16:15.620]   The car was nice.
[00:16:15.620 --> 00:16:17.180]   I knew the car was valuable.
[00:16:17.180 --> 00:16:18.580]   I knew the car was desirable.
[00:16:18.580 --> 00:16:22.740]   I knew the car was, you know, like if I rode it, it'd be super cool, all that kind of stuff.
[00:16:22.740 --> 00:16:28.160]   In many ways, I'm relating that example because we can believe the church is precious.
[00:16:28.160 --> 00:16:32.020]   Jesus sees the church as the temple of God, His holy presence.
[00:16:32.020 --> 00:16:35.960]   We can believe the church is the bride of Christ that needs to be purified.
[00:16:35.960 --> 00:16:41.960]   We can believe the church is pivotal to the redemptive plan of God, and yet, stay at a
[00:16:41.960 --> 00:16:47.220]   distance and say, "But I don't want to be responsible.
[00:16:47.220 --> 00:16:51.100]   I don't want to be responsible when it goes bad, you know.
[00:16:51.100 --> 00:16:53.780]   I don't want to mess it up."
[00:16:53.780 --> 00:17:00.080]   See, the right heart attitude is to feel both this deep affection, "I love this church,"
[00:17:00.080 --> 00:17:05.580]   but then to have this attitude of, "I see the immense responsibility, and I want to
[00:17:05.580 --> 00:17:07.580]   make sure I fulfill it."
[00:17:07.580 --> 00:17:10.680]   Does that make sense?
[00:17:10.680 --> 00:17:16.560]   And so a good shepherd doesn't have one or the other, but rather he has both.
[00:17:16.560 --> 00:17:22.480]   He has both the idea of weight of responsibility, yet at the same time, he has the idea of that
[00:17:22.480 --> 00:17:28.800]   attachment and affinity of value of the flock.
[00:17:28.800 --> 00:17:34.600]   So that's section number one about the elements of a good shepherd.
[00:17:34.600 --> 00:17:36.920]   Elements of a good shepherd.
[00:17:36.920 --> 00:17:42.280]   Next, we asked a question, "What is the task?"
[00:17:42.280 --> 00:17:44.040]   What is the task of the shepherd?
[00:17:44.040 --> 00:17:46.960]   He says, "Shepherd the flock."
[00:17:46.960 --> 00:17:51.960]   Okay, so what would that be?
[00:17:51.960 --> 00:17:58.560]   Well, we can use the metaphor, and we can just, you know, like think through the various
[00:17:58.560 --> 00:18:00.440]   things that a shepherd must do.
[00:18:00.440 --> 00:18:04.160]   The passage gives us two clear ones.
[00:18:04.160 --> 00:18:07.480]   The first is exercise oversight.
[00:18:07.480 --> 00:18:10.480]   Okay, exercise oversight.
[00:18:10.480 --> 00:18:15.720]   That word is a present participle, so it should be reading like exercising, you know, regularly
[00:18:15.720 --> 00:18:19.560]   exercising oversight, that kind of thing.
[00:18:19.560 --> 00:18:23.680]   So even oversight is like a big term, is a big term.
[00:18:23.680 --> 00:18:30.280]   So I ask you this question, you know, in the concept of oversight and shepherding, what
[00:18:30.280 --> 00:18:38.560]   are some of the priority tasks of a good shepherd?
[00:18:38.560 --> 00:18:43.080]   This one, audience participation, please.
[00:18:43.080 --> 00:18:49.760]   You guys can just yell it out.
[00:18:49.760 --> 00:18:57.920]   Say that one more time.
[00:18:57.920 --> 00:19:01.840]   Perfect, okay, great.
[00:19:01.840 --> 00:19:06.720]   Making sure that false doctrine is not entering the church, is not spreading, you know.
[00:19:06.720 --> 00:19:08.720]   So thank you, Isaac, for that.
[00:19:08.720 --> 00:19:11.520]   Apostle Peter is very concerned about that.
[00:19:11.520 --> 00:19:16.120]   In the second book of, second Peter, I don't know how to say that.
[00:19:16.120 --> 00:19:21.720]   In second Peter, the primary subject is making sure that the church is protected from false
[00:19:21.720 --> 00:19:23.760]   teachers and false doctrine.
[00:19:23.760 --> 00:19:27.320]   And Apostle Peter is very strong on that, okay.
[00:19:27.320 --> 00:19:28.320]   What else?
[00:19:28.320 --> 00:19:29.320]   That's one.
[00:19:29.320 --> 00:19:31.840]   You guys can jot that down, make a list, okay.
[00:19:31.840 --> 00:19:34.040]   Guard against false doctrine.
[00:19:34.040 --> 00:19:35.800]   What else?
[00:19:35.800 --> 00:19:43.840]   Teach, feeding the flock and making sure that people are taking in, nourishing, like, you
[00:19:43.840 --> 00:19:50.920]   know, soul-filling truth of God, being challenged, being truly fed.
[00:19:50.920 --> 00:19:53.200]   This is a primary idea of shepherding.
[00:19:53.200 --> 00:19:56.840]   I mean, actually, if you think about it, what do the shepherds do?
[00:19:56.840 --> 00:20:00.440]   They move the sheep along from where to where, pasture to pasture, making sure the sheep
[00:20:00.440 --> 00:20:02.320]   are fed, right.
[00:20:02.320 --> 00:20:06.480]   So a huge element of what shepherds should be doing is feeding.
[00:20:06.480 --> 00:20:07.480]   What else?
[00:20:07.480 --> 00:20:08.480]   Nice, okay.
[00:20:08.480 --> 00:20:09.480]   Great.
[00:20:09.480 --> 00:20:30.480]   So he said, "I'm not sure that I'm going to be able to teach the flock to feed the sheep.
[00:20:30.480 --> 00:20:31.480]   Great."
[00:20:31.480 --> 00:20:35.800]   So he said, you know, "Sheep tend to stray and sheep tend to wander."
[00:20:35.800 --> 00:20:40.680]   And so there is a corrective, making sure the flock is on track and going the right
[00:20:40.680 --> 00:20:41.680]   way.
[00:20:41.680 --> 00:20:42.680]   Good.
[00:20:42.680 --> 00:20:51.200]   So guiding, guidance, great.
[00:20:51.200 --> 00:21:00.280]   Other stuff.
[00:21:00.280 --> 00:21:03.600]   So oh yeah, you have another one?
[00:21:03.600 --> 00:21:06.560]   A student right there.
[00:21:06.560 --> 00:21:15.880]   Go ahead.
[00:21:15.880 --> 00:21:18.600]   To do everything with a good heart.
[00:21:18.600 --> 00:21:19.600]   That's good.
[00:21:19.600 --> 00:21:28.000]   Yeah, shepherds shouldn't, you know, beat the flock or use their staff to, yeah, hurt
[00:21:28.000 --> 00:21:29.000]   them.
[00:21:29.000 --> 00:21:30.000]   Good.
[00:21:30.000 --> 00:21:32.000]   So do everything with a good heart.
[00:21:32.000 --> 00:21:33.000]   Okay.
[00:21:33.000 --> 00:21:42.280]   So I want you guys to think about that because earlier I introduced the topic, this passage
[00:21:42.280 --> 00:21:47.200]   is specifically directed at elders, okay?
[00:21:47.200 --> 00:21:48.480]   Elders.
[00:21:48.480 --> 00:21:51.360]   And so, you know, the Greek term is presbytery kind of thing.
[00:21:51.360 --> 00:21:54.320]   So there's a group of elders, okay?
[00:21:54.320 --> 00:22:01.040]   But when you delineate the work of ministry and the task at hand, aside from teaching
[00:22:01.040 --> 00:22:06.320]   on the pulpit, you do realize there's an element to which we can all buy in to the
[00:22:06.320 --> 00:22:08.800]   ministry of shepherding.
[00:22:08.800 --> 00:22:13.200]   And that's why what's super encouraging to any leader of any church or any organization,
[00:22:13.200 --> 00:22:17.080]   for all of you who have ever done small group leading, ever done ministry on campus, ever
[00:22:17.080 --> 00:22:21.720]   done ministry at church, what's sweet to your heart is people connecting together and
[00:22:21.720 --> 00:22:25.040]   growing in the faith, right?
[00:22:25.040 --> 00:22:29.000]   Where there is this constant desire to make sure we're protected from false doctrines.
[00:22:29.000 --> 00:22:31.400]   So you talk to each other about truth.
[00:22:31.400 --> 00:22:35.800]   Make sure we're doing well so you observe and find out what's going on and you oversee,
[00:22:35.800 --> 00:22:36.800]   right?
[00:22:36.800 --> 00:22:40.300]   To make sure that you guys are learning together biblical doctrine, to make sure if there's
[00:22:40.300 --> 00:22:42.840]   anybody hurt, you go minister to them.
[00:22:42.840 --> 00:22:49.040]   And you just realize, yes, the elders are called to shepherd the church at large.
[00:22:49.040 --> 00:22:53.920]   But the ministry of the church is for every single person.
