
[00:00:00.000 --> 00:00:14.960]   th
[00:08:07.660 --> 00:08:11.340]   because that always gives you a reason why something was done.
[00:08:11.340 --> 00:08:13.740]   Would you guys, do you guys understand that?
[00:08:13.740 --> 00:08:15.460]   So, so that is super important.
[00:08:15.460 --> 00:08:18.100]   He didn't just save Paul.
[00:08:18.100 --> 00:08:21.100]   He didn't just reveal Jesus and Paul.
[00:08:21.340 --> 00:08:24.140]   He did it for a specific purpose.
[00:08:24.140 --> 00:08:29.080]   And then the significant places, I just underlined it,
[00:08:29.080 --> 00:08:31.900]   Jerusalem, Arabia, and Damascus.
[00:08:31.900 --> 00:08:34.100]   And that's how I map it out.
[00:08:34.100 --> 00:08:38.900]   And I brought out to the very front, I received it.
[00:08:38.900 --> 00:08:40.560]   I did not consult.
[00:08:40.560 --> 00:08:42.920]   Okay? Because that's going to be kind
[00:08:42.920 --> 00:08:44.400]   of an important overarching theme.
[00:08:44.400 --> 00:08:45.980]   So that's how I map it out.
[00:08:45.980 --> 00:08:48.180]   This is not like an exact science.
[00:08:48.540 --> 00:08:54.260]   Whatever helps you just flow,
[00:08:54.260 --> 00:08:58.000]   follow through the flow of thought, this is an exercise
[00:08:58.000 --> 00:08:59.900]   that I would encourage you to do.
[00:08:59.900 --> 00:09:02.260]   So the first thing I want to talk about today is going
[00:09:02.260 --> 00:09:04.340]   to be the former manner of life in Judaism.
[00:09:04.340 --> 00:09:07.800]   And then I'm going to be looking at the, but when God.
[00:09:07.800 --> 00:09:13.140]   Okay? And so this might be the only time I actually go
[00:09:13.140 --> 00:09:17.660]   into Paul's former way of life with you guys,
[00:09:17.860 --> 00:09:20.820]   since this is the first of this section.
[00:09:20.820 --> 00:09:24.500]   So the first thing I actually did was I copied
[00:09:24.500 --> 00:09:31.260]   and pasted Paul's autobiographical little accounts
[00:09:31.260 --> 00:09:31.760]   of himself.
[00:09:31.760 --> 00:09:34.360]   Okay? I mean, you don't need to be able to read it.
[00:09:34.360 --> 00:09:35.200]   I'm just showing it to you.
[00:09:35.200 --> 00:09:39.120]   So Philippians 3, 1 Corinthians 15, 1 Timothy 1,
[00:09:39.120 --> 00:09:40.860]   these are the things that Paul said
[00:09:40.860 --> 00:09:42.260]   about his former way of life.
[00:09:42.260 --> 00:09:45.640]   And then I highlighted things that were not in Galatians.
[00:09:47.220 --> 00:09:51.900]   Okay? And then I went through all of the Acts accounts
[00:09:51.900 --> 00:09:53.400]   that talked about Paul.
[00:09:53.400 --> 00:09:56.080]   So he talks about himself when it comes to,
[00:09:56.080 --> 00:09:57.600]   he's talking to King Arigarpa.
[00:09:57.600 --> 00:10:00.060]   He's giving little accounts of himself.
[00:10:00.060 --> 00:10:02.240]   So I copied and pasted those,
[00:10:02.240 --> 00:10:04.820]   and I just highlighted as much as I could.
[00:10:04.820 --> 00:10:08.620]   Okay? And what I discovered is things,
[00:10:08.620 --> 00:10:10.720]   some of the stuff don't line up.
[00:10:10.720 --> 00:10:13.960]   The timing of certain things don't line up.
[00:10:13.960 --> 00:10:15.920]   It doesn't mean that's not true.
[00:10:15.920 --> 00:10:17.160]   It doesn't mean it's a contradiction.
[00:10:17.380 --> 00:10:18.500]   It's just hard to synchronize it.
[00:10:18.500 --> 00:10:20.040]   And that's okay.
[00:10:20.040 --> 00:10:23.240]   Okay? And so our temptation is to try
[00:10:23.240 --> 00:10:25.540]   to like piece everything into these little sections,
[00:10:25.540 --> 00:10:26.600]   but you don't need to do that.
[00:10:26.600 --> 00:10:28.500]   There's a lot of questions that cannot be answered.
[00:10:28.500 --> 00:10:29.820]   All right?
[00:10:29.820 --> 00:10:34.460]   So I do this on my notes, and then I'll highlight
[00:10:34.460 --> 00:10:38.120]   for you certain things that Paul talks about in his former way
[00:10:38.120 --> 00:10:40.320]   of life that were not written in Galatians.
[00:10:40.320 --> 00:10:42.820]   He's circumcised on the eighth day.
[00:10:42.820 --> 00:10:43.700]   He goes by the book.
[00:10:43.700 --> 00:10:46.420]   Okay? He's from the tribe of Benjamin,
[00:10:46.740 --> 00:10:48.560]   which is a very unique thing
[00:10:48.560 --> 00:10:51.620]   because not all Jews could trace their lineage.
[00:10:51.620 --> 00:10:55.120]   But this man is a pure blood, Hebrew of Hebrews.
[00:10:55.120 --> 00:10:57.360]   Okay? Persecutor of the church.
[00:10:57.360 --> 00:10:59.120]   I mean, that's pretty obvious.
[00:10:59.120 --> 00:11:00.860]   Blameless according to the law.
[00:11:00.860 --> 00:11:04.920]   And then I also noticed in his later letters
[00:11:04.920 --> 00:11:07.380]   in 1 Timothy, he called himself a blasphemer.
[00:11:07.380 --> 00:11:10.520]   But my thought is he probably would not have called himself a
[00:11:10.520 --> 00:11:13.700]   blasphemer when he was actually persecuting the churches.
[00:11:13.700 --> 00:11:15.640]   Right?
[00:11:15.640 --> 00:11:17.960]   He thought he was in the right.
[00:11:17.960 --> 00:11:24.420]   He called himself acting in ignorance, acting in unbelief.
[00:11:24.420 --> 00:11:26.800]   But when he was actually ravaging the church,
[00:11:26.800 --> 00:11:29.220]   he would not have said that he was acting in unbelief.
[00:11:29.220 --> 00:11:31.380]   He would not have said he was acting in ignorance.
[00:11:31.380 --> 00:11:33.780]   Right? So I just kind of highlighted
[00:11:33.780 --> 00:11:34.620]   that and read for you.
[00:11:34.620 --> 00:11:38.780]   And then if I look through the book of Acts,
[00:11:38.780 --> 00:11:40.920]   there were certain things that I discovered
[00:11:40.920 --> 00:11:42.740]   about Paul that is helpful for me.
[00:11:43.280 --> 00:11:47.120]   Okay? One, he had authority to imprison
[00:11:47.120 --> 00:11:50.140]   and sometimes even oversee execution.
[00:11:50.140 --> 00:11:52.020]   Okay? Whatever that means.
[00:11:52.020 --> 00:11:55.280]   Okay? And that happened a lot.
[00:11:55.280 --> 00:11:58.520]   He ravaged the church.
[00:11:58.520 --> 00:12:01.660]   That's a very strong word, to ravage a church.
[00:12:01.660 --> 00:12:02.760]   But that's what he did.
[00:12:02.760 --> 00:12:06.320]   He spoke and he understood Hebrew.
[00:12:06.320 --> 00:12:10.900]   Okay? That's significant because it actually gets brought up.
[00:12:10.900 --> 00:12:12.920]   And then he heard a voice in Hebrew.
[00:12:13.520 --> 00:12:16.140]   And then Paul spoke to the people in the Hebrew dialect.
[00:12:16.140 --> 00:12:16.900]   And they're like, "Oh!"
[00:12:16.900 --> 00:12:19.220]   Right? So he speaks and understands Hebrew.
[00:12:19.220 --> 00:12:23.760]   He is born and raised in Cilicia.
[00:12:23.760 --> 00:12:29.900]   If you look at Galatians next week's passage, later,
[00:12:29.900 --> 00:12:33.300]   "Then I returned to the regions of Syria and Cilicia."
[00:12:33.300 --> 00:12:38.200]   He goes home where he celebrated.
[00:12:38.200 --> 00:12:41.060]   So I go, "Huh, that might be of interest."
[00:12:42.140 --> 00:12:44.880]   He's educated under Gamaliel from the youth up.
[00:12:44.880 --> 00:12:47.400]   He has a zeal for God.
[00:12:47.400 --> 00:12:49.620]   And he's an outstanding Pharisee.
[00:12:49.620 --> 00:12:51.620]   So these are things that you guys have already probably
[00:12:51.620 --> 00:12:54.500]   intuitively gathered in terms of info.
[00:12:54.500 --> 00:12:56.820]   But it helps to just put it all out on a piece of paper.
[00:12:56.820 --> 00:13:01.280]   Right? "For you have heard of my former manner of life
[00:13:01.280 --> 00:13:04.300]   in Judaism, how I used to persecute the church
[00:13:04.300 --> 00:13:06.420]   of God beyond measure and try to destroy it."
[00:13:06.420 --> 00:13:09.260]   The first thought I had is, would he have called it the
[00:13:09.260 --> 00:13:11.840]   church of God when he was persecuting them?
[00:13:12.840 --> 00:13:13.820]   Probably not.
[00:13:13.820 --> 00:13:20.460]   Paul was acting in zeal, in passion to destroy the church.
[00:13:20.460 --> 00:13:21.960]   He was self-righteous.
[00:13:21.960 --> 00:13:27.420]   And he was trying to just obliterate and wipe out this
[00:13:27.420 --> 00:13:31.380]   church for what he thought were noble purposes.
[00:13:31.380 --> 00:13:34.660]   Okay? And so it makes me just kind of think
[00:13:34.660 --> 00:13:36.580]   of a tangential application question.
[00:13:36.580 --> 00:13:39.540]   How many times do people who say, "I love God.
[00:13:39.540 --> 00:13:42.700]   I love Jesus," but they're like attacking the church
[00:13:42.700 --> 00:13:45.580]   nonstop today, one way or the other?
[00:13:45.580 --> 00:13:50.740]   They're acting in like they believe themselves to be
[00:13:50.740 --> 00:13:53.720]   in the right, but they're persecuting the church
[00:13:53.720 --> 00:13:54.860]   of God perhaps from within.
[00:13:54.860 --> 00:13:58.720]   Is that something that some of us in this room are doing?
[00:13:58.720 --> 00:14:00.320]   So those are thoughts that I have.
[00:14:00.320 --> 00:14:06.900]   Okay? So in Paul, in persecuting the church of God,
[00:14:07.800 --> 00:14:11.240]   I just copied and pasted some of the verses that describe it.
[00:14:11.240 --> 00:14:13.840]   Okay? Saul was in hearty agreement,
[00:14:13.840 --> 00:14:15.740]   putting Stephen to death.
[00:14:15.740 --> 00:14:18.240]   Saul began ravaging the church.
[00:14:18.240 --> 00:14:22.040]   Now Saul's still breathing threats and murder.
[00:14:22.040 --> 00:14:24.660]   And then Paul talks about himself.
[00:14:24.660 --> 00:14:29.000]   "I persecuted this way to the death, binding and putting both
[00:14:29.000 --> 00:14:30.160]   men and women into prisons.
[00:14:30.160 --> 00:14:32.980]   I punished them often in all the synagogues.
[00:14:32.980 --> 00:14:38.140]   I tried to force them to blaspheme and being furiously
[00:14:38.140 --> 00:14:39.040]   enraged at them."
[00:14:39.040 --> 00:14:40.400]   That's interesting.
[00:14:40.400 --> 00:14:43.840]   If I were just to say, "I'm enraged at Daniel,"
[00:14:43.840 --> 00:14:45.760]   that's a pretty strong word in and of itself.
[00:14:45.760 --> 00:14:48.440]   If I'm like furiously enraged,
[00:14:48.440 --> 00:14:50.140]   that's like I'm almost insane.
[00:14:50.140 --> 00:14:53.940]   Right? So Paul uses very strong words.
[00:14:53.940 --> 00:14:57.320]   He hated the church.
[00:14:57.880 --> 00:15:03.020]   And later it says, "Being more extremely zealous."
[00:15:03.020 --> 00:15:04.540]   So this guy was a fanatic.
[00:15:04.540 --> 00:15:06.020]   He was a nut.
[00:15:06.020 --> 00:15:08.640]   He was passionate.
[00:15:08.640 --> 00:15:12.900]   Okay? And he was doing it all wrong.
[00:15:12.900 --> 00:15:16.840]   "But when God."
[00:15:16.840 --> 00:15:21.760]   So that's a very important "but" in the scriptures.
[00:15:21.760 --> 00:15:23.840]   That's a very important time marker.
[00:15:24.980 --> 00:15:28.600]   Okay? "Paul was running a hundred miles an hour this way,
[00:15:28.600 --> 00:15:30.380]   and then God redirected him."
[00:15:30.380 --> 00:15:31.920]   Now he's going the other way.
[00:15:31.920 --> 00:15:37.520]   "Who had set me apart, even from my mother's womb."
[00:15:37.520 --> 00:15:41.180]   That kind of is reminiscent of like how Isaiah,
[00:15:41.180 --> 00:15:45.360]   how Jeremiah were like set apart for a specific purpose,
[00:15:45.360 --> 00:15:46.240]   right? To preach.
[00:15:46.240 --> 00:15:51.020]   But set apart just means to fix as a boundary,
[00:15:51.020 --> 00:15:52.240]   to determine beforehand.
[00:15:52.240 --> 00:15:54.800]   Okay? Are we set apart?
[00:15:55.660 --> 00:15:57.720]   Hopefully you say yes.
[00:15:57.720 --> 00:16:01.880]   Okay? And then here's a word "calling."
[00:16:01.880 --> 00:16:04.840]   And what is a calling?
[00:16:04.840 --> 00:16:07.300]   It refers to the whole complex of events,
[00:16:07.300 --> 00:16:08.780]   including repentance and faith
[00:16:08.780 --> 00:16:11.520]   by which a lost sinner is converted to Christ.
[00:16:11.520 --> 00:16:17.000]   So he is set apart from the womb, and then he is called
[00:16:17.000 --> 00:16:20.720]   for the purpose of preaching.
[00:16:21.940 --> 00:16:27.580]   Okay? So I have a couple verses here that my mind went to,
[00:16:27.580 --> 00:16:29.000]   Ephesians 1, 4 through 5.
[00:16:29.000 --> 00:16:32.640]   "Just as he chose us in him before the foundation
[00:16:32.640 --> 00:16:35.200]   of the world," not from even before my mother existed.
[00:16:35.200 --> 00:16:38.620]   Okay? "From before the foundation of the world
[00:16:38.620 --> 00:16:41.120]   that we would be holy and blameless before him,
[00:16:41.120 --> 00:16:45.160]   in love he predestined us to adoption as sons
[00:16:45.160 --> 00:16:48.400]   through Jesus Christ to himself according to the kind
[00:16:48.400 --> 00:16:49.880]   and intention of his will."
[00:16:50.600 --> 00:16:54.220]   God's election and predestination are hard
[00:16:54.220 --> 00:16:55.780]   to argue against in Scripture.
[00:16:55.780 --> 00:16:59.080]   Okay? Revelation 13, 8.
[00:16:59.080 --> 00:17:02.040]   "All who dwell on the earth will worship him,
[00:17:02.040 --> 00:17:04.720]   and everyone whose name has not been written
[00:17:04.720 --> 00:17:06.820]   from the foundation of the world in the book of life
[00:17:06.820 --> 00:17:07.940]   of the lamb who has been slain."
[00:17:07.940 --> 00:17:12.440]   So the book of the life of the lamb
[00:17:12.440 --> 00:17:14.540]   who has been slain was written from when?
[00:17:14.540 --> 00:17:18.200]   Before the foundation of the world.
[00:17:19.280 --> 00:17:21.760]   Okay? So God ordained this.
[00:17:21.760 --> 00:17:27.780]   Okay? So if you've been set apart, you've been set apart
[00:17:27.780 --> 00:17:30.760]   from before time began is what the Scripture teaches.
[00:17:30.760 --> 00:17:33.440]   Amen? Hallelujah.
[00:17:33.440 --> 00:17:36.340]   God, there's nothing that's out of his control.
[00:17:36.340 --> 00:17:40.380]   And what are we set apart for?
[00:17:40.380 --> 00:17:41.840]   Okay? Ephesians 2, 10.
[00:17:41.840 --> 00:17:44.540]   "For we are his workmanship created in Christ Jesus
[00:17:44.540 --> 00:17:47.160]   for good works which God prepared beforehand
[00:17:47.160 --> 00:17:48.760]   so that we would walk in them."
[00:17:48.920 --> 00:17:50.400]   And so here's the application.
[00:17:50.400 --> 00:17:55.300]   Be diligent to make your calling and your election sure.
[00:17:55.300 --> 00:18:00.960]   Right? A lot of the times people get kind of, well,
[00:18:00.960 --> 00:18:03.680]   if God predestined, what if I'm not predestined?
[00:18:03.680 --> 00:18:08.740]   Like, that's a very arrogant statement.
[00:18:08.740 --> 00:18:11.640]   Okay? While it is still called today
[00:18:11.640 --> 00:18:13.380]   and you have an opportunity to repent today
[00:18:13.380 --> 00:18:15.040]   if you hear your voice, do not harden your heart
[00:18:15.040 --> 00:18:17.740]   as your forefathers did in the wilderness.
[00:18:18.240 --> 00:18:21.760]   So our application really is
[00:18:21.760 --> 00:18:23.420]   to make our calling and election sure.
[00:18:23.420 --> 00:18:27.420]   So I'm going back to Paul.
[00:18:27.420 --> 00:18:35.840]   So I look through just all the Acts accounts and I see
[00:18:35.840 --> 00:18:37.720]   that he's converted.
[00:18:37.720 --> 00:18:39.580]   And how is he converted?
[00:18:39.580 --> 00:18:44.460]   Saul sees a light from heaven, brighter than the sun it says
[00:18:44.460 --> 00:18:45.960]   in some of the accounts.
[00:18:46.500 --> 00:18:47.520]   He hears a voice.
[00:18:47.520 --> 00:18:49.620]   Is Paul the only one who sees the light?
[00:18:49.620 --> 00:18:52.380]   No. There's people with him.
[00:18:52.380 --> 00:18:55.940]   Okay? But they don't quite discern the voice.
[00:18:55.940 --> 00:19:00.960]   He hears get up and go on into Damascus.
[00:19:00.960 --> 00:19:04.580]   Ananias who's terrified of Paul, God sends him
[00:19:04.580 --> 00:19:07.000]   to minister to Paul, Saul.
[00:19:07.000 --> 00:19:10.680]   And then Paul returns to Jerusalem temple,
[00:19:10.680 --> 00:19:12.160]   falls into a trance.
[00:19:12.160 --> 00:19:18.400]   And he immediately gets up after he's baptized, he preaches.
[00:19:18.400 --> 00:19:21.840]   And then day one, people are out to get him, to kill him.
[00:19:21.840 --> 00:19:26.120]   Two plots against his life happen right then in Jerusalem.
[00:19:26.120 --> 00:19:29.160]   So when Paul says in Galatians, I did not go to Jerusalem,
[00:19:29.160 --> 00:19:31.440]   the question I have is like, but he's in Jerusalem.
[00:19:31.440 --> 00:19:33.840]   Right? Is that a contradiction
[00:19:33.840 --> 00:19:35.260]   or is that just a different time marker?
[00:19:35.260 --> 00:19:38.280]   So that's a question that I'm going to have in my head
[00:19:38.280 --> 00:19:40.220]   over the next several sessions.
[00:19:40.720 --> 00:19:45.520]   And then do you know who helps Saul get away
[00:19:45.520 --> 00:19:46.860]   from the murderer plots?
[00:19:46.860 --> 00:19:49.300]   His former disciples.
[00:19:49.300 --> 00:19:52.500]   And it makes me wonder, I wonder what
[00:19:52.500 --> 00:19:53.700]   that conversation would have been like.
[00:19:53.700 --> 00:19:56.420]   Saul's like, I believe in Jesus.
[00:19:56.420 --> 00:19:59.180]   And all of his former disciples,
[00:19:59.180 --> 00:20:02.460]   there was probably a lot of confusion.
[00:20:02.460 --> 00:20:07.520]   But they let him down the basket and then he goes away.
[00:20:07.520 --> 00:20:09.940]   So there's a lot of stuff, if you actually look
[00:20:09.940 --> 00:20:13.820]   through the Acts accounts, that give you additional detail
[00:20:13.820 --> 00:20:16.140]   that will help you when you're reading Galatians.
[00:20:16.140 --> 00:20:18.900]   So Acts chapter 26, verse 16 to 18.
[00:20:18.900 --> 00:20:21.700]   But get up and stand on your feet.
[00:20:21.700 --> 00:20:25.880]   For this purpose I have appeared to you
[00:20:25.880 --> 00:20:29.680]   to appoint you a minister and a witness,
[00:20:29.680 --> 00:20:32.200]   not only to the things which you have seen,
[00:20:32.200 --> 00:20:35.920]   but also to the things in which I will appear to you.
[00:20:35.920 --> 00:20:37.080]   These are the words of Jesus.
[00:20:37.920 --> 00:20:42.500]   Rescuing you from the Jewish people and from the Gentiles
[00:20:42.500 --> 00:20:46.580]   to whom I am sending you for what purpose?
[00:20:46.580 --> 00:20:49.820]   To open their eyes so that they may turn from darkness
[00:20:49.820 --> 00:20:53.020]   to light, from the dominion of Satan to God,
[00:20:53.020 --> 00:20:55.600]   that they may receive forgiveness of sins
[00:20:55.600 --> 00:20:59.040]   and an inheritance among those who have been sanctified
[00:20:59.040 --> 00:21:00.720]   by faith in me.
[00:21:00.720 --> 00:21:02.700]   So this is Paul's so that.
[00:21:02.700 --> 00:21:04.980]   Okay?
[00:21:05.560 --> 00:21:08.440]   But when God, who had set me apart from my mother's womb
[00:21:08.440 --> 00:21:09.680]   and called me through his grace,
[00:21:09.680 --> 00:21:12.500]   was pleased to reveal his son in me,
[00:21:12.500 --> 00:21:15.600]   like that so that is very important.
[00:21:15.600 --> 00:21:21.820]   So then I would ask you, are you saved?
