
[00:00:00.000 --> 00:00:06.600]   (Pause)
[00:01:50.540 --> 00:01:52.160]   All right, so as you guys know,
[00:01:52.160 --> 00:01:54.500]   this is the second part of the text that we're looking at,
[00:01:54.500 --> 00:01:56.540]   verse 32 to 39.
[00:01:56.540 --> 00:01:58.300]   And again, as you know, it is connected
[00:01:58.300 --> 00:02:01.400]   to the previous passage where he gives a warning.
[00:02:01.400 --> 00:02:06.400]   He basically had 10 chapters of calling people back
[00:02:06.400 --> 00:02:10.540]   to being anchored in Christ, the supremacy of Christ,
[00:02:10.540 --> 00:02:12.800]   how he is greater than everything else,
[00:02:12.800 --> 00:02:16.400]   and warning them in the previous text a couple weeks ago
[00:02:16.400 --> 00:02:18.100]   that there are serious consequences.
[00:02:18.100 --> 00:02:20.340]   This is not just a suggestion,
[00:02:20.340 --> 00:02:23.860]   that if a Christian or someone professing to be Christian
[00:02:23.860 --> 00:02:26.560]   continues to slide to the point
[00:02:26.560 --> 00:02:30.160]   where we no longer recognize him as a follower of Christ,
[00:02:30.160 --> 00:02:32.660]   he says whatever we said in the past really doesn't matter
[00:02:32.660 --> 00:02:36.260]   because there is a stark warning.
[00:02:36.260 --> 00:02:39.840]   In fact, the most severest warning was found,
[00:02:39.840 --> 00:02:41.500]   again, a couple weeks ago, when he said,
[00:02:41.500 --> 00:02:44.740]   it is a fearful thing to fall into the hands
[00:02:44.740 --> 00:02:45.700]   of the living God.
[00:02:45.700 --> 00:02:50.500]   But again, the point of that was not simply to end with that.
[00:02:50.500 --> 00:02:55.140]   The point of that is for the hearers to have a seriousness
[00:02:55.140 --> 00:02:58.040]   of what he's been saying all up to that point,
[00:02:58.040 --> 00:03:01.740]   and really to get the genuine Christians
[00:03:01.740 --> 00:03:03.840]   to recognize how serious this is
[00:03:03.840 --> 00:03:06.240]   and to encourage them to persevere.
[00:03:06.240 --> 00:03:11.040]   And so the exhortation that we're looking at this,
[00:03:11.040 --> 00:03:14.340]   started last week, was an exhortation to persevere
[00:03:14.340 --> 00:03:16.180]   by looking at the past,
[00:03:16.180 --> 00:03:19.640]   it's an exhortation to persevere by looking to the future,
[00:03:19.640 --> 00:03:21.840]   and an exhortation to persevere
[00:03:21.840 --> 00:03:24.100]   by recognizing who we are in the present.
[00:03:24.100 --> 00:03:26.980]   So today we're gonna be looking at the exhortation
[00:03:26.980 --> 00:03:29.040]   to persevere by remembering their future.
[00:03:29.040 --> 00:03:31.080]   But just so that we can connect this to the passage
[00:03:31.080 --> 00:03:32.380]   that we were looking at last week,
[00:03:32.380 --> 00:03:37.380]   he starts by telling them, remember in the beginning,
[00:03:37.380 --> 00:03:39.240]   when you suffered many things
[00:03:39.240 --> 00:03:41.380]   and even your possessions were being taken,
[00:03:41.380 --> 00:03:43.200]   and that you had people around you
[00:03:43.200 --> 00:03:45.200]   that was being dragged into prison.
[00:03:45.200 --> 00:03:48.200]   So this was no ordinary just kind of,
[00:03:48.200 --> 00:03:50.600]   pointing fingers and people snickering at them,
[00:03:50.600 --> 00:03:53.000]   we're talking about their livelihood.
[00:03:53.000 --> 00:03:56.800]   Some of them, and they said during the time
[00:03:56.800 --> 00:03:58.580]   that this was being written,
[00:03:58.580 --> 00:04:02.340]   if Nero was in charge, which most people believe,
[00:04:02.340 --> 00:04:03.640]   we're talking about a situation
[00:04:03.640 --> 00:04:06.380]   where Christians are being dragged into the Colosseum,
[00:04:06.380 --> 00:04:08.240]   being torn apart by animals.
[00:04:08.240 --> 00:04:10.880]   And he reminds them,
[00:04:10.880 --> 00:04:13.440]   do you remember that time in the beginning,
[00:04:13.440 --> 00:04:14.680]   when you suffered?
[00:04:14.680 --> 00:04:17.240]   And we talked about that last week,
[00:04:17.240 --> 00:04:18.780]   why would he point that out?
[00:04:18.780 --> 00:04:21.120]   If he wants them to persevere,
[00:04:21.120 --> 00:04:23.140]   why would he remind them of the intense suffering
[00:04:23.140 --> 00:04:24.840]   that they came from in the midst
[00:04:24.840 --> 00:04:26.440]   of the intense suffering now?
[00:04:26.440 --> 00:04:30.140]   He said the difference between the beginning
[00:04:30.140 --> 00:04:32.320]   and what they were experiencing now is,
[00:04:32.320 --> 00:04:34.920]   in the beginning, in the midst of this intense suffering,
[00:04:34.920 --> 00:04:36.380]   he said they had joy.
[00:04:36.380 --> 00:04:39.880]   Now that they're in this intense suffering,
[00:04:39.880 --> 00:04:41.540]   they're experiencing fear.
[00:04:41.540 --> 00:04:45.340]   So the distinction between what they were experiencing then
[00:04:45.340 --> 00:04:47.720]   and what they were experiencing at the present time
[00:04:47.720 --> 00:04:50.580]   is the way that they were responding to this persecution.
[00:04:50.580 --> 00:04:53.180]   And so he doesn't tell them,
[00:04:53.180 --> 00:04:56.780]   remember the beginning, how courageous you were.
[00:04:56.780 --> 00:04:58.040]   Remember how disciplined you were,
[00:04:58.040 --> 00:04:59.840]   remember how organized you were.
[00:04:59.840 --> 00:05:01.740]   He doesn't tell him that, he points him back,
[00:05:01.740 --> 00:05:05.240]   the reason behind why you had joy in the midst of suffering
[00:05:05.240 --> 00:05:07.940]   is because you were anchored in Christ then.
[00:05:07.940 --> 00:05:11.420]   But since then, you've drifted.
[00:05:11.420 --> 00:05:14.140]   You have forgotten who Christ is.
[00:05:14.140 --> 00:05:15.980]   He's not fresh in your memory.
[00:05:15.980 --> 00:05:17.280]   You're relying on your own strength.
[00:05:17.280 --> 00:05:19.940]   So now you're facing this persecution.
[00:05:19.940 --> 00:05:24.280]   Instead of causing joy, it was causing fear.
[00:05:24.280 --> 00:05:27.740]   And really, that's the whole point.
[00:05:27.740 --> 00:05:29.480]   That's the whole point of what he's been trying to say
[00:05:29.480 --> 00:05:31.720]   all through Hebrews, and he's gonna continue this point
[00:05:31.720 --> 00:05:36.720]   all throughout, that if we're not remaining in Christ,
[00:05:36.720 --> 00:05:38.480]   it is not the circumstance.
[00:05:38.480 --> 00:05:41.240]   Right now, we're in the middle of a pandemic.
[00:05:41.240 --> 00:05:43.080]   We have an election that's coming up.
[00:05:43.080 --> 00:05:46.120]   We had an earthquake just this Friday.
[00:05:46.120 --> 00:05:47.980]   We had all this crazy fire.
[00:05:47.980 --> 00:05:50.840]   We have civil unrest because of race relations.
[00:05:50.840 --> 00:05:52.580]   We have missionaries who are being kicked out
[00:05:52.580 --> 00:05:54.780]   of the countries that they've been in for decades.
[00:05:54.780 --> 00:05:57.520]   I mean, all kinds of craziness is happening right now.
[00:05:57.520 --> 00:06:00.620]   The temptation that you and I can get into
[00:06:00.620 --> 00:06:03.580]   when things are stirred up is simply, wait,
[00:06:03.580 --> 00:06:08.580]   if we pray, if we're faithful, maybe all this will pass
[00:06:08.580 --> 00:06:10.780]   and we'll go back to normal.
[00:06:12.220 --> 00:06:14.380]   And maybe we can get back together, enjoy fellowship.
[00:06:14.380 --> 00:06:16.980]   Maybe we can go to restaurants,
[00:06:16.980 --> 00:06:20.240]   and maybe the political situation will be better.
[00:06:20.240 --> 00:06:22.080]   Maybe the race relationship will be better.
[00:06:22.080 --> 00:06:25.420]   And if we pray enough, our circumstances will calm down
[00:06:25.420 --> 00:06:26.780]   and things will get better.
[00:06:26.780 --> 00:06:31.220]   So persevere, stay the course.
[00:06:31.220 --> 00:06:33.440]   But that's not what he says.
[00:06:33.440 --> 00:06:35.980]   He doesn't promise that things are gonna get back to normal.
[00:06:35.980 --> 00:06:37.140]   He doesn't promise and say,
[00:06:37.140 --> 00:06:38.620]   if you just continue down this path,
[00:06:38.620 --> 00:06:40.940]   just wait a little bit longer,
[00:06:40.940 --> 00:06:42.540]   that God's gonna deliver you from this
[00:06:42.540 --> 00:06:43.380]   and things are gonna be okay.
[00:06:43.380 --> 00:06:45.120]   He doesn't say that.
[00:06:45.120 --> 00:06:46.320]   There is no promise.
[00:06:46.320 --> 00:06:50.620]   Now, there are periods of life where we experience peace
[00:06:50.620 --> 00:06:52.040]   and there are periods of life
[00:06:52.040 --> 00:06:53.620]   where there is tremendous turmoil,
[00:06:53.620 --> 00:06:55.540]   but God doesn't promise
[00:06:55.540 --> 00:06:58.480]   that we're gonna live a life of peace.
[00:06:58.480 --> 00:07:02.820]   But what he says is the distinction between joy and fear
[00:07:02.820 --> 00:07:04.540]   was not the circumstance.
[00:07:04.540 --> 00:07:09.740]   It was their anchoring in Christ.
[00:07:09.740 --> 00:07:12.240]   And that's why he says, do not forget.
[00:07:12.240 --> 00:07:13.580]   And that's why even David,
[00:07:13.580 --> 00:07:15.980]   when he repents of his sins in the book of Psalms,
[00:07:15.980 --> 00:07:17.980]   he says, what does he say?
[00:07:17.980 --> 00:07:19.280]   Remember that song that we sing a lot?
[00:07:19.280 --> 00:07:21.140]   "Restore unto me," what?
[00:07:21.140 --> 00:07:23.720]   "The joy of my salvation."
[00:07:23.720 --> 00:07:27.380]   The greatest concern that he had as a result of his sins
[00:07:27.380 --> 00:07:29.940]   was he lost the joy of his salvation.
[00:07:29.940 --> 00:07:34.080]   So when an individual is not anchored in Christ,
[00:07:34.080 --> 00:07:35.740]   any little discomfort,
[00:07:36.880 --> 00:07:40.980]   any little thing that can go wrong
[00:07:40.980 --> 00:07:44.680]   causes turmoil, a relational issue.
[00:07:44.680 --> 00:07:46.080]   Maybe you didn't get the job that you wanted.
[00:07:46.080 --> 00:07:48.580]   Maybe the circumstances isn't exactly what you wanted.
[00:07:48.580 --> 00:07:50.340]   Maybe you wanted to go to a vacation
[00:07:50.340 --> 00:07:51.480]   and the prices went up.
[00:07:51.480 --> 00:07:53.840]   And any little thing can rock your boat.
[00:07:53.840 --> 00:07:56.880]   But when we are anchored in Christ,
[00:07:56.880 --> 00:07:59.680]   even in the midst of suffering,
[00:07:59.680 --> 00:08:01.580]   it's an opportunity to glorify God.
[00:08:02.480 --> 00:08:07.280]   And as crazy as things have been,
[00:08:07.280 --> 00:08:09.780]   and I think most of us who are old enough,
[00:08:09.780 --> 00:08:14.180]   I mean, I think most people will admit
[00:08:14.180 --> 00:08:16.240]   that as crazy as things have been in the past,
[00:08:16.240 --> 00:08:17.180]   this is pretty crazy.
[00:08:17.180 --> 00:08:18.640]   2020 is pretty crazy.
[00:08:18.640 --> 00:08:21.600]   But along with the craziness,
[00:08:21.600 --> 00:08:25.240]   we also have to admit that there have been more opportunities
[00:08:25.240 --> 00:08:28.580]   to glorify God in this midst because of this.
[00:08:28.580 --> 00:08:30.140]   More opportunity to share the gospel,
[00:08:30.140 --> 00:08:31.580]   more people who are searching,
[00:08:31.580 --> 00:08:32.900]   more people who are looking.
[00:08:32.900 --> 00:08:34.400]   So when you're not sober,
[00:08:34.400 --> 00:08:35.880]   we may just look at this situation
[00:08:35.880 --> 00:08:40.500]   as we need to just persevere and get back to normal.
[00:08:40.500 --> 00:08:44.900]   And not looking at it as an opportunity to glorify God.
[00:08:44.900 --> 00:08:47.180]   That's the difference between an eternal perspective
[00:08:47.180 --> 00:08:48.700]   and a temporary perspective.
[00:08:48.700 --> 00:08:51.100]   So last week he says,
[00:08:51.100 --> 00:08:54.700]   "Remember, because you drifted away from Christ,
[00:08:54.700 --> 00:08:56.680]   "that you forgot even in the midst of suffering
[00:08:56.680 --> 00:08:57.780]   "how you rejoice."
[00:08:57.780 --> 00:09:00.400]   But today we're gonna be looking at the second part.
[00:09:00.400 --> 00:09:04.040]   The exhortation to persevere by remembering.
[00:09:04.040 --> 00:09:05.940]   Remembering that this is not all.
[00:09:05.940 --> 00:09:08.640]   There is a reward coming if you continue to persevere.
[00:09:08.640 --> 00:09:11.800]   Verse 34b, "Knowing that you have for yourselves
[00:09:11.800 --> 00:09:15.540]   "a better possession and a lasting one."
[00:09:15.540 --> 00:09:21.640]   Not only is it better, but it is permanent.
[00:09:21.640 --> 00:09:23.640]   That whatever is being sacrificed now,
[00:09:23.640 --> 00:09:25.840]   whatever we need to endure now,
[00:09:25.840 --> 00:09:28.640]   he said, "Compared to what's coming,"
[00:09:28.640 --> 00:09:32.180]   he says, "it is not worthy to be compared."
[00:09:32.180 --> 00:09:34.580]   Verse 35, "Do not throw away your confidence,
[00:09:34.580 --> 00:09:37.040]   "which has a great reward.
[00:09:37.040 --> 00:09:38.980]   "For you have need of endurance."
[00:09:38.980 --> 00:09:40.980]   He says it again, verse 36,
[00:09:40.980 --> 00:09:42.840]   "For you have need of endurance
[00:09:42.840 --> 00:09:44.440]   "so that when you have done the will of God,
[00:09:44.440 --> 00:09:46.540]   "you may receive what was promised."
[00:09:46.540 --> 00:09:50.180]   So he repeats it over and over and over again in this text.
[00:09:50.180 --> 00:09:53.220]   That the motivation behind our perseverance
[00:09:53.220 --> 00:09:54.840]   is to look to the future.
[00:09:54.840 --> 00:09:57.740]   Not to the future next year or after college
[00:09:57.740 --> 00:10:00.020]   or after you set it down or after you bought a house
[00:10:00.020 --> 00:10:02.220]   or after your kids are raised.
[00:10:02.220 --> 00:10:04.780]   He said, "In the future, when Christ comes."
[00:10:04.780 --> 00:10:10.280]   And that's why he says repeatedly over and over again,
[00:10:10.280 --> 00:10:13.140]   "The key to our perseverance
[00:10:13.140 --> 00:10:15.980]   "is constantly looking to Christ
[00:10:15.980 --> 00:10:18.520]   "and comparing what's coming with Christ
[00:10:18.520 --> 00:10:20.280]   "with what we have now."
[00:10:20.280 --> 00:10:23.340]   But if we're not anchored in Christ,
[00:10:23.340 --> 00:10:26.020]   we only see Christ as an avenue
[00:10:26.020 --> 00:10:29.160]   to make this situation better.
[00:10:29.160 --> 00:10:34.160]   And if you're living by flesh and not by faith,
[00:10:34.160 --> 00:10:38.340]   all we see is what is this gonna produce
[00:10:38.340 --> 00:10:40.280]   for the next stage of life?
[00:10:40.280 --> 00:10:43.220]   So I don't mind, just like we put money in the bank,
[00:10:43.220 --> 00:10:45.300]   we take it out of my pocket, put it in the bank.
[00:10:45.300 --> 00:10:47.000]   If I can earn interest,
[00:10:47.000 --> 00:10:49.100]   and then I can pull it out when I need it.
[00:10:49.100 --> 00:10:52.820]   But what would cause an individual
[00:10:52.820 --> 00:10:55.160]   who has money in his hands,
[00:10:55.160 --> 00:10:57.360]   security in his hands,
[00:10:57.360 --> 00:11:00.860]   and to be willing to give that up
[00:11:00.860 --> 00:11:03.380]   simply because of a promise?
[00:11:03.380 --> 00:11:05.480]   That is not tangible.
[00:11:05.480 --> 00:11:08.160]   You cannot see, you cannot taste, you cannot touch.
[00:11:08.160 --> 00:11:13.280]   Why would an individual who has his security in his hands,
[00:11:13.280 --> 00:11:15.740]   all that he desires right in front of you,
[00:11:15.740 --> 00:11:18.660]   to be willing to put that away
[00:11:18.660 --> 00:11:20.960]   simply because somebody said
[00:11:20.960 --> 00:11:22.540]   that there's a better investment
[00:11:22.540 --> 00:11:24.720]   if you persevere and endure?
[00:11:24.720 --> 00:11:25.760]   And I'll give you the answer to that.
[00:11:25.760 --> 00:11:28.280]   It's pretty simple.
[00:11:28.280 --> 00:11:29.580]   It's because you believe.
[00:11:29.580 --> 00:11:34.820]   Only an individual who believes the promise
[00:11:34.820 --> 00:11:38.560]   of eternal reward would be willing to let this go.
[00:11:38.560 --> 00:11:41.320]   There's a reason why, you know,
[00:11:41.320 --> 00:11:43.360]   when we're suffering, we're having hard times,
[00:11:43.360 --> 00:11:45.660]   and we can't find a job, we cling to God
[00:11:45.660 --> 00:11:47.940]   because we have nothing to lose.
[00:11:47.940 --> 00:11:48.780]   You know, we cling to Him.
[00:11:48.780 --> 00:11:50.040]   God, help me get a job.
[00:11:50.040 --> 00:11:52.400]   Help my children be healthy.
[00:11:52.400 --> 00:11:53.760]   Help our marriage, help this.
[00:11:53.760 --> 00:11:55.480]   And we cling to God, but as soon as
[00:11:55.480 --> 00:11:58.800]   we have something tangible in our hands,
[00:11:58.800 --> 00:11:59.760]   we don't really need Him anymore
[00:11:59.760 --> 00:12:02.880]   because I have what I need in my hands.
[00:12:02.880 --> 00:12:07.120]   In 2 Corinthians 4, 17 to 18, it says,
[00:12:07.120 --> 00:12:12.120]   "For momentary light affliction is producing for us
[00:12:12.120 --> 00:12:16.640]   "an eternal weight of glory far beyond comparison."
[00:12:16.640 --> 00:12:17.680]   You know what's interesting here?
[00:12:17.680 --> 00:12:19.720]   It says, one, this, whatever suffering
[00:12:19.720 --> 00:12:23.200]   that you're going through, it's momentary, right?
[00:12:23.800 --> 00:12:26.760]   Compared to the eternal glory, it's momentary.
[00:12:26.760 --> 00:12:29.600]   And then he says, "Light affliction."
[00:12:29.600 --> 00:12:30.720]   Now, if you look at that and say,
[00:12:30.720 --> 00:12:33.120]   well, maybe it's light, you know,
[00:12:33.120 --> 00:12:35.720]   it's pretty relative, right?
[00:12:35.720 --> 00:12:38.120]   They're snickering and pointing fingers
[00:12:38.120 --> 00:12:40.100]   and saying, oh, I don't want to be his friend.
[00:12:40.100 --> 00:12:41.960]   Is that what he means when he says light?
[00:12:41.960 --> 00:12:45.560]   I think you and I all know that the first century Christians,
[00:12:45.560 --> 00:12:49.480]   their persecution was very intense and physical.
[00:12:49.480 --> 00:12:53.000]   You remember in Corinth, Apostle Paul was very concerned
[00:12:53.000 --> 00:12:55.200]   about going in there because he was being beaten
[00:12:55.200 --> 00:12:57.080]   and chased out from every city.
[00:12:57.080 --> 00:13:00.760]   And Jesus had to speak to him, not to be fearful
[00:13:00.760 --> 00:13:02.440]   because I have people here,
[00:13:02.440 --> 00:13:05.560]   but he was heavily persecuted even in Corinth.
[00:13:05.560 --> 00:13:07.160]   And when I say heavily persecuted,
[00:13:07.160 --> 00:13:09.640]   we're talking about beatings.
[00:13:09.640 --> 00:13:12.020]   We're talking about being thrown into jail.
[00:13:12.020 --> 00:13:15.740]   Many people, this was already happening during this period,
[00:13:15.740 --> 00:13:17.920]   but the way Paul describes it, it says,
[00:13:17.920 --> 00:13:21.600]   "Momentary light affliction,"
[00:13:21.600 --> 00:13:24.560]   and the reason why he's able to call it momentary and light
[00:13:24.560 --> 00:13:27.920]   is because he's comparing with the eternal glory
[00:13:27.920 --> 00:13:29.120]   beyond what?
[00:13:29.120 --> 00:13:30.480]   Comparison.
[00:13:30.480 --> 00:13:35.780]   He's comparing his suffering to the eternal glory
[00:13:35.780 --> 00:13:38.800]   that is coming in Christ, and in comparison,
[00:13:38.800 --> 00:13:41.980]   it's momentary and it is light.
[00:13:41.980 --> 00:13:46.400]   You see why, if we take our eyes off of Christ,
[00:13:46.400 --> 00:13:49.780]   I mean, how can you call that light?
[00:13:51.000 --> 00:13:54.280]   I mean, when you're suffering, I mean, it feels intense.
[00:13:54.280 --> 00:14:00.040]   And that's why his point is not to simply be courageous,
[00:14:00.040 --> 00:14:03.320]   not to simply be organized and to be better disciplined,
[00:14:03.320 --> 00:14:06.560]   but it says the Christ who saved you in the past
[00:14:06.560 --> 00:14:09.520]   is the Christ that we need to be anchored to that's coming.
[00:14:09.520 --> 00:14:13.840]   Again, in Romans 8, 18, "For I consider that the suffering
[00:14:13.840 --> 00:14:18.140]   "of this present time are not worthy to be compared
[00:14:18.140 --> 00:14:20.760]   "with the glory that is to be revealed to us."
[00:14:20.760 --> 00:14:23.280]   Again, in comparison, right?
[00:14:23.280 --> 00:14:27.480]   I mean, who wants to suffer, right?
[00:14:27.480 --> 00:14:30.200]   If it's a safer neighborhood, I mean, Irvine
[00:14:30.200 --> 00:14:32.960]   is always voted as one of the top cities to live in
[00:14:32.960 --> 00:14:35.860]   because it's safe, and the reason why the property value
[00:14:35.860 --> 00:14:38.000]   is high, because it's safe.
[00:14:38.000 --> 00:14:40.780]   Nobody chooses a house where it's dangerous.
[00:14:40.780 --> 00:14:44.600]   Apostle Paul says, "But in comparison,
[00:14:44.600 --> 00:14:50.460]   "in comparison with a glory that is to be revealed,"
[00:14:50.460 --> 00:14:53.200]   he said this momentary suffering is nothing.
[00:14:53.200 --> 00:14:55.340]   And then in Philippians 3, 8, he says, "More than that,
[00:14:55.340 --> 00:14:59.220]   "I count all things to be lost in view of the surpassing
[00:14:59.220 --> 00:15:01.360]   "value of knowing Christ Jesus my Lord."
[00:15:01.360 --> 00:15:04.680]   In comparison, remember Apostle Paul?
[00:15:04.680 --> 00:15:07.480]   Remember who he was before he met Christ?
[00:15:07.480 --> 00:15:10.040]   Apostle Paul was already famous.
[00:15:10.040 --> 00:15:14.680]   He was one of the top scholars in the Jewish community.
[00:15:14.680 --> 00:15:18.060]   People say that he may have already been a member
[00:15:18.060 --> 00:15:21.060]   of the Sanhedrin, one of the senators of Israel.
[00:15:21.060 --> 00:15:23.600]   He was already a rich man.
[00:15:23.600 --> 00:15:27.200]   He already had the Roman citizenship.
[00:15:27.200 --> 00:15:31.760]   He was already at the apex of what the Jewish community
[00:15:31.760 --> 00:15:34.840]   would have wanted, even just a portion
[00:15:34.840 --> 00:15:37.120]   of what Apostle Paul had.
[00:15:37.120 --> 00:15:40.680]   But he says, in all that he has had, all the respect,
[00:15:40.680 --> 00:15:44.160]   all the money, all the honor, all the fame that he had,
[00:15:44.160 --> 00:15:46.860]   all the political power that he had, he says,
[00:15:46.860 --> 00:15:50.640]   "In comparison to the surpassing knowledge
[00:15:50.640 --> 00:15:53.360]   "of knowing Jesus Christ, it became," what?
[00:15:53.360 --> 00:15:54.200]   Dung.
[00:15:54.200 --> 00:15:59.600]   So the moment we take our eyes off of Christ,
[00:15:59.600 --> 00:16:03.080]   how can we in our flesh look at what Apostle Paul had
[00:16:03.080 --> 00:16:04.080]   and say it was dung?
[00:16:04.080 --> 00:16:08.200]   We don't look at winning the lottery as dung.
[00:16:08.200 --> 00:16:11.080]   We don't look at moving into a nice house as dung.
[00:16:11.080 --> 00:16:15.280]   We don't look at getting promotions in our work as dung.
[00:16:15.280 --> 00:16:18.560]   When these things happen, we say, "God was so good to me.
[00:16:18.560 --> 00:16:23.040]   "What a blessing that my business is doing well.
[00:16:23.040 --> 00:16:25.740]   "What a blessing my child was sick and now he is well."
[00:16:25.740 --> 00:16:29.460]   Nobody looks at that and says, "It's dung."
[00:16:29.460 --> 00:16:33.060]   It is only in comparison to the surpassing knowledge
[00:16:33.060 --> 00:16:34.020]   of Jesus Christ.
[00:16:34.020 --> 00:16:37.860]   So therefore, once we begin to drift away from him,
[00:16:37.860 --> 00:16:41.980]   you cannot in your flesh win over the temptation,
[00:16:41.980 --> 00:16:43.680]   especially where you and I live.
[00:16:45.140 --> 00:16:50.140]   I mean, you and I live in an area where if we dream it,
[00:16:50.140 --> 00:16:52.100]   we can actually do it.
[00:16:52.100 --> 00:16:56.120]   I mean, some of you guys may know,
[00:16:56.120 --> 00:16:58.040]   some of you guys may be shocking to you.
[00:16:58.040 --> 00:17:01.880]   Majority of the world does not get to look at a magazine
[00:17:01.880 --> 00:17:05.180]   in a beautiful place and say, "I'm gonna go there one day."
[00:17:05.180 --> 00:17:09.480]   That's ridiculous.
[00:17:09.480 --> 00:17:13.020]   Majority, 99% of the world does not have the opportunity.
[00:17:13.020 --> 00:17:13.880]   That's just a fantasy.
[00:17:13.880 --> 00:17:16.580]   That's just like me saying, "One day, I'm gonna fly."
[00:17:16.580 --> 00:17:20.240]   Because they're struggling to feed their children.
[00:17:20.240 --> 00:17:22.040]   They're struggling to get a job.
[00:17:22.040 --> 00:17:24.720]   But in where you and I live, we think about career.
[00:17:24.720 --> 00:17:28.480]   Am I satisfied in my career?
[00:17:28.480 --> 00:17:30.840]   Even that idea of career, there's a bunch of things
[00:17:30.840 --> 00:17:33.200]   that you and I do that people in the world
[00:17:33.200 --> 00:17:35.000]   would not understand, garage sales.
[00:17:35.000 --> 00:17:38.800]   The idea of having too much, so we gotta sell it for cheap.
[00:17:38.800 --> 00:17:42.040]   Something that I bought, upgrading our phones.
[00:17:43.440 --> 00:17:45.880]   These are things that if you travel around
[00:17:45.880 --> 00:17:48.880]   the majority of the world, it's ridiculous.
[00:17:48.880 --> 00:17:52.120]   But you and I live in this place
[00:17:52.120 --> 00:17:53.800]   where we are constantly bombarded.
[00:17:53.800 --> 00:17:57.040]   Everything that we see, if you eat it,
[00:17:57.040 --> 00:17:58.880]   that's on my bucket list.
[00:17:58.880 --> 00:18:00.760]   I'm gonna go there, and we can actually go.
[00:18:00.760 --> 00:18:02.460]   It's just a matter of making time.
[00:18:02.460 --> 00:18:07.760]   You and I cannot, by our own flesh,
[00:18:07.760 --> 00:18:11.880]   win the temptation that you and I are surrounded by.
[00:18:11.880 --> 00:18:16.800]   It is only in comparison to the surpassing knowledge
[00:18:16.800 --> 00:18:17.720]   of knowing Jesus Christ.
[00:18:17.720 --> 00:18:20.280]   So the moment you take your eyes off of that,
[00:18:20.280 --> 00:18:22.040]   temptation will creep in.
[00:18:22.040 --> 00:18:25.280]   It is impossible to win over the temptation
[00:18:25.280 --> 00:18:26.720]   when we have drifted away from Christ.
[00:18:26.720 --> 00:18:31.120]   That's why he says, "Do not throw away your confidence."
[00:18:31.120 --> 00:18:36.400]   Okay, so we're doing inductive Bible study.
[00:18:36.400 --> 00:18:41.020]   And in interpreting a text, what is one of the most
[00:18:41.020 --> 00:18:42.280]   important things that you need to do
[00:18:42.280 --> 00:18:44.480]   in understanding a text?
[00:18:44.480 --> 00:18:45.600]   Starts with a C.
[00:18:45.600 --> 00:18:50.500]   Context, right?
