
[00:00:00.000 --> 00:00:07.000]   Let me see.
[00:02:03.160 --> 00:02:07.240]   very much fruit for your glory. We praise your name. Amen.
[00:02:07.240 --> 00:02:12.280]   All right. So just a quick review over last week.
[00:02:12.280 --> 00:02:15.720]   Last week we covered the authorship of Mark
[00:02:15.720 --> 00:02:19.320]   and just that the purpose of Mark and the various patterns that we found in
[00:02:19.320 --> 00:02:23.160]   the Gospel of Mark. We know that the author of the Gospel
[00:02:23.160 --> 00:02:27.240]   of Mark is John Mark. We found him all throughout Acts.
[00:02:27.240 --> 00:02:33.000]   We found him in some of the letters of Paul and the letters of Peter.
[00:02:33.000 --> 00:02:39.080]   And as a result of our study, we realized and come to a realization that he was a
[00:02:39.080 --> 00:02:42.680]   ministry partner of Paul, even though initially he kind of got off
[00:02:42.680 --> 00:02:46.920]   on the wrong foot. But he ended up getting reconciled with
[00:02:46.920 --> 00:02:51.960]   him. And on top of that, he was considered like the spiritual son
[00:02:51.960 --> 00:02:56.920]   of the apostle Peter. So that's the author of Mark.
[00:02:56.920 --> 00:03:00.440]   That's who he is. We also covered the threefold purpose of Mark and we found
[00:03:00.440 --> 00:03:02.840]   that in Mark 1.1. And we're going to go over it, we're
[00:03:02.840 --> 00:03:05.320]   going to go over with that in more details.
[00:03:05.320 --> 00:03:08.440]   So we're not going to have to review over that right now.
[00:03:08.440 --> 00:03:11.240]   And we talked about the various patterns that we found in the Gospel of Mark.
[00:03:11.240 --> 00:03:14.440]   We talked about those, like the "go" gospel, right?
[00:03:14.440 --> 00:03:19.640]   Jesus is always on the move, immediately comes up abundantly in the
[00:03:19.640 --> 00:03:24.360]   Gospel of Mark. We also talked about how
[00:03:24.360 --> 00:03:27.640]   Mark is filled with great details. And we're going to see that in
[00:03:27.640 --> 00:03:31.480]   Mark 3, Mark chapter 3 verses 1 through 6.
[00:03:31.480 --> 00:03:35.400]   And kind of highlight the emotions that Jesus
[00:03:35.400 --> 00:03:39.800]   exhibited in that chapter. And so that's what we reviewed over last week. I mean,
[00:03:39.800 --> 00:03:43.320]   you guys wrote your notes, so I don't think we have to go into much
[00:03:43.320 --> 00:03:47.720]   more details in regards to that. So we're going to jump into like the new material.
[00:03:47.720 --> 00:03:53.960]   Any questions? No questions, right? Okay, good. I did my job last week.
[00:03:53.960 --> 00:03:59.320]   All right, the outline of Mark. There's a lot of
[00:03:59.320 --> 00:04:02.600]   different outlines that you'll find in various commentaries in regards to the
[00:04:02.600 --> 00:04:07.640]   Gospel of Mark. Some try to go by themes,
[00:04:07.640 --> 00:04:11.400]   try to outline the Gospel of Mark by themes. But
[00:04:11.400 --> 00:04:15.880]   I think one of the things that makes the outline
[00:04:15.880 --> 00:04:19.320]   in the Gospel of Mark more clear is the fact that it's
[00:04:19.320 --> 00:04:22.760]   based upon movements, geographical movements,
[00:04:22.760 --> 00:04:28.120]   if I could describe it in that way. And so what we have here in the
[00:04:28.120 --> 00:04:33.880]   first box over there in the bottom left, chapter 1, verse 1 until verse 13,
[00:04:33.880 --> 00:04:39.480]   we find Jesus in Judea or in Jerusalem. As you guys read, he was located in
[00:04:39.480 --> 00:04:43.240]   there. That's where he got baptized. That's where he was cast out into the
[00:04:43.240 --> 00:04:47.880]   wilderness. We'll talk about that. And then after
[00:04:47.880 --> 00:04:54.120]   verse 13, starting from verse 14 of chapter 1 until the end of chapter 9,
[00:04:54.120 --> 00:04:58.360]   Jesus is in Galilee. He's doing ministry in Galilee.
[00:04:58.360 --> 00:05:05.800]   And yeah, so from chapter 1 to 14 until 9 to the end of chapter 9,
[00:05:05.800 --> 00:05:09.240]   we have Jesus just doing ministry in Galilee.
[00:05:09.240 --> 00:05:16.040]   Chapter 10 of Gospel of Mark is the hinge of the Gospel. That's when
[00:05:16.040 --> 00:05:19.640]   everything shifts geographically, and Jesus begins his way
[00:05:19.640 --> 00:05:25.240]   down to Jerusalem for one final time. And then from chapter
[00:05:25.240 --> 00:05:29.960]   11 all the way up into chapter 16, verse 8, everything takes place in
[00:05:29.960 --> 00:05:34.760]   Jerusalem. Okay, takes place in Jerusalem. And so
[00:05:34.760 --> 00:05:37.560]   that's just a basic outline of the Gospel of Mark.
[00:05:37.560 --> 00:05:40.680]   That way it's something that it's easy to kind of
[00:05:40.680 --> 00:05:45.240]   keep in your mind just by location and geography
[00:05:45.240 --> 00:05:52.360]   and just tracking Jesus's ministry. And so when we take note of this
[00:05:52.360 --> 00:05:58.920]   outline, one of the things that we begin to realize is that
[00:05:58.920 --> 00:06:02.360]   most of Jesus's ministry took place in Galilee, right?
[00:06:02.360 --> 00:06:10.120]   More than half of the Gospel of Mark is in Galilee. And so
[00:06:10.120 --> 00:06:14.520]   again, it's really interesting that that's taking place because
[00:06:14.520 --> 00:06:20.680]   Galilee is not really known to be a scholastic center of society.
[00:06:20.680 --> 00:06:25.560]   In fact, Galilee probably consists more of farmers and fishermen,
[00:06:25.560 --> 00:06:29.160]   right? So there's not much scholarly work being done
[00:06:29.160 --> 00:06:35.400]   in Galilee, but the Lord Jesus is found doing ministry mainly in that
[00:06:35.400 --> 00:06:39.400]   region. And so it's understandable, it's
[00:06:39.400 --> 00:06:45.720]   understandable that in John chapter 7, verse 40 to 52,
[00:06:45.720 --> 00:06:49.160]   that people were in disbelief that Jesus,
[00:06:49.160 --> 00:06:53.480]   who was considered a prophet, would actually come from a place like
[00:06:53.480 --> 00:07:00.840]   Galilee, a place of just fishermen and farmers.
[00:07:00.840 --> 00:07:09.240]   And so with that being said, this geographical emphasis upon
[00:07:09.240 --> 00:07:13.000]   Galilee in the Gospel of Mark really indicates that
[00:07:13.000 --> 00:07:17.640]   Jesus's focus wasn't really upon those who were upright or scholarly,
[00:07:17.640 --> 00:07:22.920]   but his heart, his desire to serve was really with sinners. And we'll see
[00:07:22.920 --> 00:07:28.200]   that in Mark chapter 2, verse 17. The servant of Yahweh came to serve the
[00:07:28.200 --> 00:07:31.080]   sick and the sinful.
[00:07:31.080 --> 00:07:37.720]   Any questions so far? You guys are just like, the movements
[00:07:37.720 --> 00:07:40.360]   and all that stuff. We're gonna be, we're gonna, I'm gonna pound this guys,
[00:07:40.360 --> 00:07:44.360]   pound this into you guys over the weeks, but that's, that's gonna be really
[00:07:44.360 --> 00:07:49.240]   important to help you guys kind of flesh out the Gospel of Mark.
[00:07:51.480 --> 00:07:55.000]   There are more context clues that points to
[00:07:55.000 --> 00:07:57.800]   the fact that the Gospel of Mark is really centered upon geographical
[00:07:57.800 --> 00:08:00.920]   movements. Like I said, there's other outlines out
[00:08:00.920 --> 00:08:04.360]   there that try to emphasize the themes of the Gospel of Mark
[00:08:04.360 --> 00:08:08.360]   as being the structure, but there's more context clues that
[00:08:08.360 --> 00:08:13.400]   point to geographical movements as being the basis of the structure. Yes?
[00:08:13.400 --> 00:08:17.480]   Okay, sorry, I thought someone was asked a question, but...
[00:08:17.480 --> 00:08:20.200]   And so there are additional context clues, and,
[00:08:20.200 --> 00:08:24.760]   and, oh yeah, so anyways, the context clues are basically the
[00:08:24.760 --> 00:08:29.960]   the fourth, four withdrawals and returns found in the Gospel of Mark
[00:08:29.960 --> 00:08:34.200]   that take place prior to Jesus's final trip to Jerusalem.
[00:08:34.200 --> 00:08:37.800]   And so what we have right here is, in chapter 4,
[00:08:37.800 --> 00:08:42.440]   verse 35, it starts off by saying, he, you know, they're going to the other side.
[00:08:42.440 --> 00:08:47.160]   Let us go to the other side. Again, that's a withdrawal in Galilee,
[00:08:47.160 --> 00:08:52.680]   going to a different location. Chapter 6, verse 30, says, "Come away by
[00:08:52.680 --> 00:08:55.640]   yourself to a secluded place and rest a while."
[00:08:55.640 --> 00:09:01.640]   That's the second withdrawal. Chapter 7, verse 24, starts off with, "Jesus got up
[00:09:01.640 --> 00:09:05.080]   and went away from there to the region of Tyre."
[00:09:05.080 --> 00:09:10.120]   Again, emphasis upon the withdrawal from Galilee to the region
[00:09:10.120 --> 00:09:12.760]   of Tyre. And then chapter 8, verse 13, also
[00:09:12.760 --> 00:09:17.080]   mentions, again, going to the other side. And so again, there's context clues
[00:09:17.080 --> 00:09:20.280]   within the Gospel of Mark that really point to geographical
[00:09:20.280 --> 00:09:22.760]   movements.
[00:09:22.760 --> 00:09:26.840]   And so, yeah, a little picture of Jesus walking away
[00:09:26.840 --> 00:09:31.960]   with his disciples. And so as we see with the various
[00:09:31.960 --> 00:09:35.800]   withdrawal accounts, we see that Jesus is the one that's setting the agenda.
[00:09:35.800 --> 00:09:38.680]   Right? Jesus is the one that's saying, let's go to this place. Let's go to this
[00:09:38.680 --> 00:09:43.560]   place. Let's go to this place. Let's go to this place. But one thing
[00:09:43.560 --> 00:09:46.280]   that connects all four of them is the fact that they always return back to
[00:09:46.280 --> 00:09:51.560]   Galilee, except for the last one, the last withdrawal.
[00:09:51.560 --> 00:09:59.480]   And so again, the emphasis of these geographical movements indicate that
[00:09:59.480 --> 00:10:03.080]   Mark is not really focused upon
[00:10:03.080 --> 00:10:09.880]   emphasizing Jesus's time in the temple. We know from the other Gospels
[00:10:09.880 --> 00:10:13.160]   that Jesus made frequent trips down to Jerusalem for various
[00:10:13.160 --> 00:10:17.960]   festivals, various feasts, because Jesus Christ
[00:10:17.960 --> 00:10:21.720]   is a good Jew. He was a perfect Jew.
[00:10:21.720 --> 00:10:27.400]   But Mark doesn't take time to note this. In fact, the reason why is because he
[00:10:27.400 --> 00:10:30.440]   wants to emphasize Jerusalem as being a special location,
[00:10:30.440 --> 00:10:34.680]   especially in regards to the Passion Week. And so
[00:10:34.680 --> 00:10:38.600]   that's one of the reasons why the trips down to Jerusalem are not
[00:10:38.600 --> 00:10:43.640]   emphasized in the Gospel of Mark. Okay? So again, that's the basic outline
[00:10:43.640 --> 00:10:49.080]   of the Gospel of Mark. So what are the chapters where Jesus is
[00:10:49.080 --> 00:10:51.720]   in Galilee?
[00:10:51.720 --> 00:10:55.880]   What are the chapters where he's in Galilee?
[00:10:55.880 --> 00:11:03.080]   Huh? 1 through 9. Very good. There you go. From the back. And where is he--
[00:11:03.080 --> 00:11:06.280]   what's the point of chapter 10? What's the emphasis or what's the
[00:11:06.280 --> 00:11:11.640]   important thing about chapter 10? Right, he's turning towards Jerusalem.
[00:11:11.640 --> 00:11:17.800]   And then from chapter 11 on, he's in Jerusalem, right? And so again, just keep
[00:11:17.800 --> 00:11:23.080]   that in mind. It's a very easy outline. It'll help you guys as you just
[00:11:23.080 --> 00:11:26.920]   conduct your own study in the Gospel of Mark.
[00:11:26.920 --> 00:11:32.360]   So what we're going to do now is that we're going to get into the text.
[00:11:32.360 --> 00:11:35.400]   Okay? And we're going to start with Mark 1.1.
[00:11:35.400 --> 00:11:39.800]   I already know I kind of covered the trifold purpose of the Gospel of Mark
[00:11:39.800 --> 00:11:44.680]   with you last week. But there's also other
[00:11:44.680 --> 00:11:47.880]   details that I want to share with you guys in regards to just the purpose of
[00:11:47.880 --> 00:11:53.880]   Mark and just this verse in particular. We know Mark 1.1 states,
[00:11:53.880 --> 00:11:58.920]   "The beginning of the Gospel of Jesus Christ, the Son of God."
[00:11:59.240 --> 00:12:06.200]   And unlike the other Gospels, like Matthew and Luke,
[00:12:06.200 --> 00:12:10.680]   Mark is not emphasizing the beginning of Jesus's life.
[00:12:10.680 --> 00:12:15.560]   He's not emphasizing his genealogy or his birthplace.
[00:12:15.560 --> 00:12:20.600]   Rather, Mark just wants to get to-- wants to begin at the
[00:12:20.600 --> 00:12:24.680]   very start of Jesus's ministry. And the reason why is because,
[00:12:24.680 --> 00:12:28.120]   again, one of the themes of the Gospel of Mark is
[00:12:28.120 --> 00:12:33.080]   depicting Jesus as the servant of God, or the servant of Yahweh.
[00:12:33.080 --> 00:12:36.520]   And because his focus is upon his service,
[00:12:36.520 --> 00:12:40.280]   it doesn't make sense to start off at his beginnings of his birth,
[00:12:40.280 --> 00:12:45.320]   but to begin at the beginning of his ministry.
[00:12:45.320 --> 00:12:48.360]   And so that's one of the reasons why we don't have a genealogy in the Gospel of
[00:12:48.360 --> 00:12:51.000]   Mark. That's not his focus. His focus is simply
[00:12:51.000 --> 00:12:57.160]   upon depicting Jesus as the servant of Yahweh.
[00:12:57.240 --> 00:13:05.480]   Secondly, we go into the Gospel of Jesus Christ.
[00:13:05.480 --> 00:13:09.400]   Without the good news of Jesus Christ, the purpose of the Gospel of Mark is
[00:13:09.400 --> 00:13:13.720]   lost. And as we all know, good news cannot be
[00:13:13.720 --> 00:13:16.840]   truly good unless there's bad news. And the bad
[00:13:16.840 --> 00:13:19.560]   news is kind of depicted in John the Baptist's ministry.
[00:13:19.560 --> 00:13:23.480]   I'm not saying his ministry is bad. I'm just saying that
[00:13:23.480 --> 00:13:28.600]   his call for repentance and to seek forgiveness
[00:13:28.600 --> 00:13:34.920]   is going to lack, and up until Jesus Christ comes onto the scene.
[00:13:34.920 --> 00:13:37.720]   And so the Gospel of Jesus Christ is going to address the issues of
[00:13:37.720 --> 00:13:44.040]   repentance and the forgiveness of sins, as you'll see in the Gospel of Mark.
[00:13:47.240 --> 00:13:55.800]   Okay, slow down. Yeah, all right. Okay.
[00:13:55.800 --> 00:14:03.880]   All right.
[00:14:03.880 --> 00:14:11.960]   So again, the first point is the fact that
[00:14:11.960 --> 00:14:15.800]   John Mark wants to focus on the service of
[00:14:15.800 --> 00:14:21.640]   the servanthood of Jesus. Secondly, he wants to focus on the Gospel of Jesus.
[00:14:21.640 --> 00:14:28.600]   And thirdly, he wants to talk about
[00:14:28.600 --> 00:14:32.440]   Christ being the Son of God.
[00:14:32.440 --> 00:14:38.040]   And so we know that Jesus is known as the Christ to the Gentiles or
[00:14:38.040 --> 00:14:44.040]   or to the Jews he's known as the Messiah. Both words mean the anointed one.
[00:14:44.040 --> 00:14:46.280]   Okay.
[00:14:46.280 --> 00:14:52.760]   And I think one of the most unique things that we'll find in the Gospel of
[00:14:52.760 --> 00:14:58.120]   Mark is the fact that Mark uses both titles
[00:14:58.120 --> 00:15:02.120]   of Christ and the Son of God in this book to the
[00:15:02.120 --> 00:15:04.680]   Gentiles.
[00:15:04.680 --> 00:15:11.640]   And that's really unique because Christ, again, is a title that
[00:15:11.640 --> 00:15:14.920]   really resonates with Gentiles. They don't really, I mean, they
[00:15:14.920 --> 00:15:18.200]   probably have an understanding of the Jewish background, but it doesn't hold
[00:15:18.200 --> 00:15:22.680]   much significance if you call Jesus the Messiah.
[00:15:22.680 --> 00:15:27.240]   But the title of Christ is something that's significant to them.
[00:15:27.240 --> 00:15:32.280]   And the fact that he calls him the Son of God is also significant.
[00:15:32.280 --> 00:15:36.760]   And the reason why is because it's like the highest title that he could give
[00:15:36.760 --> 00:15:39.400]   to Jesus.
[00:15:39.800 --> 00:15:43.160]   It's the highest title given to Jesus Christ and
[00:15:43.160 --> 00:15:46.680]   given the positioning of the title so early on in the book,
[00:15:46.680 --> 00:15:49.720]   right, in verse one of chapter one, indicates that Mark really wants to
[00:15:49.720 --> 00:15:55.080]   emphasize that Jesus Christ is the Son of God.
[00:15:55.080 --> 00:15:59.160]   And again, one of the one of the unique things about the book is that
[00:15:59.160 --> 00:16:02.280]   there's a bookend, right, there's a bookend
[00:16:02.280 --> 00:16:06.120]   to this where the title of Son of God is being used at the beginning,
[00:16:06.120 --> 00:16:10.520]   but also at the end, especially after Jesus dies.
[00:16:10.520 --> 00:16:15.960]   The centurion cries out that he is truly the Son of God.
[00:16:15.960 --> 00:16:19.160]   And so with many Gentiles serving multiple idols,
[00:16:19.160 --> 00:16:22.920]   it's safe to assume that Mark is making clear that Jesus Christ
[00:16:22.920 --> 00:16:30.520]   is the only Son of God worthy to be shared, worthy to be proclaimed.
[00:16:30.520 --> 00:16:35.000]   And so he gets there, Mark gets the Gentiles' attention right off the bat by
[00:16:35.000 --> 00:16:38.520]   using the title Son of God.
[00:16:38.520 --> 00:16:42.680]   And so again, there's a lot of importance with this
[00:16:42.680 --> 00:16:46.440]   one verse. It sets the tone for the rest of the book,
[00:16:46.440 --> 00:16:49.800]   and that's one of the reasons why I kind of want to go into more depth
[00:16:49.800 --> 00:16:53.960]   more than last week in regards to that.
[00:16:53.960 --> 00:17:02.760]   All right, any questions so far? All right, I can move on to the next slide.
[00:17:02.760 --> 00:17:10.360]   All right, we're going to move on. Mark chapter two, or Mark chapter two,
[00:17:10.360 --> 00:17:15.640]   Mark chapter one, verse two and three is the only reference to the Old Testament
[00:17:15.640 --> 00:17:21.000]   in the Gospel of Mark. Again, the reason why is because, again,
[00:17:21.000 --> 00:17:24.200]   John Mark's emphasis is towards the Gentiles.
[00:17:24.200 --> 00:17:27.560]   But he uses this passage from the Old Testament
[00:17:27.560 --> 00:17:31.480]   in order to introduce John the Baptist's ministry.
[00:17:31.480 --> 00:17:35.800]   And as we see here, that the ministry of John the Baptist is
[00:17:35.800 --> 00:17:39.320]   pretty simple and clear. His message was of
[00:17:39.320 --> 00:17:42.920]   one of repentance and the forgiveness of sins.
[00:17:42.920 --> 00:17:46.280]   All right, we see that in verse four.
[00:17:46.280 --> 00:17:52.120]   And so there's a little difference in the Gospel of Mark
[00:17:52.120 --> 00:17:55.480]   and its depiction of John the Baptist's message and
[00:17:55.480 --> 00:17:59.240]   in the Gospel of Matthew, where in Matthew chapter two,
[00:17:59.240 --> 00:18:03.720]   or Matthew chapter three, verse two, it states, "Repent, for the kingdom of
[00:18:03.720 --> 00:18:06.680]   heaven is at hand."
[00:18:06.680 --> 00:18:10.520]   And again, that's something different because, again, Matthew's focused on Jews,
[00:18:10.520 --> 00:18:13.880]   Mark is focused on Gentiles.
[00:18:13.880 --> 00:18:19.560]   But as we continue on, what we'll see is that as John is
[00:18:19.560 --> 00:18:25.160]   preaching this message of repentance and forgiveness of sins,
[00:18:25.160 --> 00:18:28.600]   and as he's baptizing people,
[00:18:29.240 --> 00:18:32.280]   we see in verse five, right, in verse five,
[00:18:32.280 --> 00:18:35.560]   it says, "And all the country of Judea was going out to him,
[00:18:35.560 --> 00:18:39.880]   and all the people of Jerusalem. And they were being baptized by him," John the
[00:18:39.880 --> 00:18:45.480]   Baptist, "in the Jordan River, confessing their sins." And I think that's
[00:18:45.480 --> 00:18:50.600]   something that's really unique because
[00:18:50.600 --> 00:18:56.200]   when he's talking about all the people of Jerusalem
[00:18:56.200 --> 00:19:00.200]   are coming out, he's including the Pharisees and the religious leaders of
[00:19:00.200 --> 00:19:04.440]   that time. John the Baptist's ministry was garnering
[00:19:04.440 --> 00:19:07.400]   a lot of attention, and so they want to get a piece of it, right? They want to be
[00:19:07.400 --> 00:19:12.600]   a part of that movement. And so they come out, they want to
[00:19:12.600 --> 00:19:16.120]   get baptized, right? But one of the key things that they
[00:19:16.120 --> 00:19:19.080]   have to do for those who are going to get baptized is they have to confess
[00:19:19.080 --> 00:19:22.200]   their sins publicly. You know, they have to make a
[00:19:22.200 --> 00:19:27.720]   public confession of their sins. And while Mark doesn't give away many
[00:19:27.720 --> 00:19:30.680]   details in the exchange between John the Baptist and
[00:19:30.680 --> 00:19:34.920]   the Pharisees, like we see in Matthew chapter 3, verse 7 and 12, he calls them
[00:19:34.920 --> 00:19:41.000]   like a brood of vipers and all that stuff,
[00:19:41.000 --> 00:19:44.120]   I mean, that was kind of like the main
[00:19:44.120 --> 00:19:47.240]   sticking point between John the Baptist and the Pharisees. They would not confess
[00:19:47.240 --> 00:19:50.200]   their sins publicly.
[00:19:51.000 --> 00:19:53.800]   And as a result,
[00:19:53.800 --> 00:19:57.960]   as a result, they couldn't be baptized. Again,
[00:19:57.960 --> 00:20:01.560]   confessing their sins publicly for the Pharisees would be a tremendous blow to
[00:20:01.560 --> 00:20:06.040]   them, because a lot of them based their whole,
[00:20:06.040 --> 00:20:11.080]   their whole livelihood on the fact that they're righteous before God.
[00:20:11.080 --> 00:20:17.000]   And so what we see here is like, we have John the Baptist preaching confession of
[00:20:17.000 --> 00:20:21.800]   sin and baptizing people. We see the crowd and they are confessing
[00:20:21.800 --> 00:20:26.280]   their sins, that they're being baptized. We have the Pharisees and the religious
[00:20:26.280 --> 00:20:32.840]   leaders there who are unwilling to confess, yet want to be baptized.
[00:20:32.840 --> 00:20:41.080]   And then we go to verse 10, or verse 9. We go to verse 9,
[00:20:41.080 --> 00:20:46.120]   and it says, "In those days, Jesus came from Nazareth in Galilee
[00:20:46.120 --> 00:20:54.040]   and was baptized by John in the Jordan." So now we have Jesus,
[00:20:54.040 --> 00:21:02.840]   and here's Jesus with no confession, and he was baptized. No confession,
[00:21:02.840 --> 00:21:06.120]   and yet he was baptized.
[00:21:09.560 --> 00:21:13.800]   Now imagine how the Pharisees must have felt
[00:21:13.800 --> 00:21:18.600]   in seeing this. Here you have the religious leaders, they're making their
[00:21:18.600 --> 00:21:21.400]   whole spiel about they're righteous and that
[00:21:21.400 --> 00:21:26.760]   they have like, you know, no sin before God. And because
[00:21:26.760 --> 00:21:29.880]   they have no sin before God, they have no sins to confess,
[00:21:29.880 --> 00:21:33.960]   and as a result, John the Baptist won't baptize them.
[00:21:33.960 --> 00:21:37.560]   And yet you're here, here you have this man coming from Galilee,
[00:21:37.560 --> 00:21:41.960]   a land of farmers and fishermen, he comes in,
[00:21:41.960 --> 00:21:45.160]   and without a single confession of sin, he's baptized
[00:21:45.160 --> 00:21:48.280]   in the eyes of the Pharisees.
[00:21:48.280 --> 00:21:53.720]   Can you imagine just the anger that the Pharisees must have felt when they saw
[00:21:53.720 --> 00:21:58.440]   this happen? They got upstaged by a Galilean.
[00:21:58.440 --> 00:22:03.000]   You know, and that's embarrassing. That was
[00:22:03.000 --> 00:22:06.360]   shame in their eyes.
[00:22:06.920 --> 00:22:10.440]   And yet the Pharisees, the reason why they felt that way is because
[00:22:10.440 --> 00:22:13.800]   they don't know that Jesus Christ is the Son of God.
[00:22:13.800 --> 00:22:18.680]   They deny him. They deny the fact that he's the Son of God.
[00:22:18.680 --> 00:22:24.520]   So even though Jesus was in the human flesh and had no sins to confess,
[00:22:24.520 --> 00:22:30.200]   John still baptized them because he is the Son of God with no sin.
[00:22:31.800 --> 00:22:40.280]   As you see in verse 10, or verse 9 through 11, we come to Jesus' baptism.
[00:22:40.280 --> 00:22:44.280]   And not much is detailed in the baptism, unlike the other Gospels,
[00:22:44.280 --> 00:22:48.120]   right? I mean, the other Gospel accounts, we see Jesus and John kind of
[00:22:48.120 --> 00:22:50.760]   interacting with one another, you know, John's like, "I can't baptize you," and
[00:22:50.760 --> 00:22:53.240]   Jesus is like, "No, you have to baptize me."
[00:22:53.240 --> 00:23:01.080]   But Mark doesn't really go into that. And why? Again, John's
[00:23:01.080 --> 00:23:05.880]   dead-eye purpose is to emphasize the servanthood of Jesus Christ, and he wants
[00:23:05.880 --> 00:23:10.760]   to get straight into the ministry of Jesus Christ.
[00:23:10.760 --> 00:23:16.440]   And so it's clear that the emphasis in Mark chapter 1, verse 9 through 11, is
[00:23:16.440 --> 00:23:19.480]   really upon the anointing of Jesus Christ and the
[00:23:19.480 --> 00:23:25.000]   beginning of his ministry. This is the beginning of the Gospel of
[00:23:25.000 --> 00:23:31.000]   Jesus Christ, as you see in Mark chapter 1, verse 1.
[00:23:31.080 --> 00:23:34.360]   Now, so what happens after he gets baptized?
[00:23:34.360 --> 00:23:37.640]   After he gets baptized, he's initiated by the anointing of the Holy Spirit that
[00:23:37.640 --> 00:23:41.400]   enables Jesus to perform the miracles.
[00:23:41.400 --> 00:23:45.400]   It doesn't mean that Jesus couldn't perform miracles before the baptism, it's
[00:23:45.400 --> 00:23:47.800]   just that he subjected himself to wait until the
[00:23:47.800 --> 00:23:54.600]   baptism for these miracles to be enacted. But what we also see in verse 10
[00:23:54.600 --> 00:23:58.280]   is that he says, "Immediately coming up out of the water,
[00:23:58.280 --> 00:24:04.120]   he saw the heavens opening, and a spirit like a dove descending upon
[00:24:04.120 --> 00:24:10.040]   him." In other translations, it's
[00:24:10.040 --> 00:24:13.160]   translated as "seeing the heavens being torn open."
[00:24:13.160 --> 00:24:19.320]   Being torn open. And now that word "torn open" in the
[00:24:19.320 --> 00:24:24.360]   Greek is a very vivid term. It's the same word being used in Mark
[00:24:24.360 --> 00:24:30.040]   chapter 15, verse 38, where it's depicting the veil being torn
[00:24:30.040 --> 00:24:33.000]   at Jesus's death.
[00:24:33.000 --> 00:24:38.680]   And so the tearing effect that we see coming from the heavens where Jesus
[00:24:38.680 --> 00:24:42.120]   is, after he's baptized and God sending down the
[00:24:42.120 --> 00:24:46.440]   the Holy Spirit and declaring to him, "You are my beloved son, in you I am well
[00:24:46.440 --> 00:24:51.800]   pleased." It represents a battle cry. A battle cry
[00:24:51.800 --> 00:24:54.520]   against Satan.
[00:24:54.520 --> 00:25:02.280]   It's like a warning shot to Satan saying, "Here I am."
[00:25:02.280 --> 00:25:07.560]   The ministry of Jesus Christ is twofold. It's bringing salvation to the lost,
[00:25:07.560 --> 00:25:12.200]   which I believe all of us here can affirm. But it's also an affirmation
[00:25:12.200 --> 00:25:17.560]   of Jesus's mission to destroy the ministry of Satan.
[00:25:17.560 --> 00:25:21.640]   And so this act of tearing open the heavens illustrates Jesus's official act
[00:25:21.640 --> 00:25:26.280]   of war against the prince of the power of the air.
[00:25:26.280 --> 00:25:32.840]   Like we talked about before,
[00:25:32.840 --> 00:25:37.720]   when we talked about the patterns of the book,
[00:25:37.720 --> 00:25:41.560]   we have immediate movement, just like this lecture tonight.
[00:25:41.560 --> 00:25:45.480]   We're going to be moving a lot immediately.
[00:25:46.200 --> 00:25:52.680]   And we move on to the wilderness, right?
