
[00:00:00.000 --> 00:00:05.000]   Can we try for the tag the second time we do it
[00:03:26.860 --> 00:03:31.860]   [inaudible]
[00:03:31.860 --> 00:03:36.860]   [inaudible]
[00:03:36.860 --> 00:03:41.860]   [inaudible]
[00:03:41.860 --> 00:03:46.860]   [inaudible]
[00:03:46.860 --> 00:03:51.860]   [inaudible]
[00:03:51.860 --> 00:03:56.860]   [inaudible]
[00:03:56.860 --> 00:04:01.860]   [inaudible]
[00:04:01.860 --> 00:04:06.860]   [inaudible]
[00:04:06.860 --> 00:04:11.860]   [inaudible]
[00:04:11.860 --> 00:04:16.860]   [inaudible]
[00:04:16.860 --> 00:04:21.860]   [inaudible]
[00:04:21.860 --> 00:04:26.860]   [inaudible]
[00:04:26.860 --> 00:04:31.860]   [inaudible]
[00:04:31.860 --> 00:04:36.860]   [inaudible]
[00:04:36.860 --> 00:04:41.860]   [inaudible]
[00:04:41.860 --> 00:04:46.860]   [inaudible]
[00:04:46.860 --> 00:04:51.860]   [inaudible]
[00:04:51.860 --> 00:04:56.860]   [inaudible]
[00:04:56.860 --> 00:05:01.860]   [inaudible]
[00:05:01.860 --> 00:05:06.860]   [inaudible]
[00:05:06.860 --> 00:05:11.860]   [inaudible]
[00:05:11.860 --> 00:05:16.860]   [inaudible]
[00:05:16.860 --> 00:05:21.860]   [inaudible]
[00:05:21.860 --> 00:05:26.860]   [inaudible]
[00:05:26.860 --> 00:05:31.860]   [inaudible]
[00:05:31.860 --> 00:05:36.860]   [inaudible]
[00:05:36.860 --> 00:05:41.860]   [inaudible]
[00:05:41.860 --> 00:05:46.860]   [inaudible]
[00:05:46.860 --> 00:05:51.860]   [inaudible]
[00:05:51.860 --> 00:05:56.860]   [inaudible]
[00:05:56.860 --> 00:06:01.860]   [inaudible]
[00:06:01.860 --> 00:06:06.860]   [inaudible]
[00:06:06.860 --> 00:06:11.860]   [inaudible]
[00:06:11.860 --> 00:06:16.860]   [inaudible]
[00:06:16.860 --> 00:06:21.860]   [inaudible]
[00:06:21.860 --> 00:06:26.860]   [inaudible]
[00:06:26.860 --> 00:06:31.860]   [inaudible]
[00:06:31.860 --> 00:06:36.860]   [inaudible]
[00:06:36.860 --> 00:06:41.860]   [inaudible]
[00:06:41.860 --> 00:06:46.860]   [inaudible]
[00:06:46.860 --> 00:06:51.860]   [inaudible]
[00:06:51.860 --> 00:06:56.860]   [inaudible]
[00:06:56.860 --> 00:07:01.860]   [inaudible]
[00:07:01.860 --> 00:07:06.860]   [inaudible]
[00:07:06.860 --> 00:07:11.860]   [inaudible]
[00:07:11.860 --> 00:07:16.860]   [inaudible]
[00:07:16.860 --> 00:07:21.860]   [inaudible]
[00:07:21.860 --> 00:07:26.860]   [inaudible]
[00:07:26.860 --> 00:07:31.860]   Hi everyone. Can you take some time to prepare your heart for worship?
[00:07:31.860 --> 00:07:36.860]   [inaudible]
[00:07:36.860 --> 00:07:41.860]   [inaudible]
[00:07:41.860 --> 00:07:46.860]   [inaudible]
[00:07:46.860 --> 00:07:51.860]   [inaudible]
[00:07:51.860 --> 00:07:56.860]   [inaudible]
[00:07:56.860 --> 00:08:01.860]   [inaudible]
[00:08:01.860 --> 00:08:06.860]   [inaudible]
[00:08:06.860 --> 00:08:11.860]   God, I just thank you for this time that you've given us to come here tonight to worship you,
[00:08:11.860 --> 00:08:16.860]   to hear your words spoken, but also just to study it for ourselves,
[00:08:16.860 --> 00:08:21.860]   God, so that we would be people of your word.
[00:08:21.860 --> 00:08:26.860]   Lord, we thank you that you've given us this time to praise you in song,
[00:08:26.860 --> 00:08:32.860]   and God, I just pray that as we are singing, Lord, we would be reflecting on these lyrics.
[00:08:32.860 --> 00:08:39.860]   We would be giving you glory and just point our hearts towards you in this time.
[00:08:39.860 --> 00:08:44.860]   I thank you again just for tonight, and I pray all this in Jesus' name. Amen.
[00:08:44.860 --> 00:08:49.860]   Can we all stand for a time of worship?
[00:08:49.860 --> 00:08:54.860]   [music]
[00:08:54.860 --> 00:08:59.860]   [music]
[00:08:59.860 --> 00:09:04.860]   [music]
[00:09:04.860 --> 00:09:07.860]   Lord, you're calling me.
[00:09:07.860 --> 00:09:14.860]   Lord, you're calling me to come and behold the wondrous cross,
[00:09:14.860 --> 00:09:22.860]   to explore the depths of grace that came to me at such a cost,
[00:09:22.860 --> 00:09:30.860]   where your boundless love conquered my boundless sin,
[00:09:30.860 --> 00:09:37.860]   and mercy's arms were opened wide.
[00:09:37.860 --> 00:09:45.860]   My heart is filled with a thousand songs proclaiming the glories of Calvary.
[00:09:45.860 --> 00:09:53.860]   With every breath, Lord, how I long to sing of Jesus who died for me.
[00:09:53.860 --> 00:10:03.860]   Lord, take me deeper into the glories of Calvary.
[00:10:03.860 --> 00:10:17.860]   [music]
[00:10:17.860 --> 00:10:25.860]   Sinners find eternal joy in the triumph of your grace.
[00:10:25.860 --> 00:10:33.860]   By our Savior's crimson flow, holy wrath has been removed.
[00:10:33.860 --> 00:10:42.860]   Enjoy, saints below. Enjoy with your saints above.
[00:10:42.860 --> 00:10:49.860]   Rejoice, singing the risen lamb.
[00:10:49.860 --> 00:10:57.860]   My heart is filled with a thousand songs proclaiming the glories of Calvary.
[00:10:57.860 --> 00:11:05.860]   With every breath, Lord, how I long to sing of Jesus who died for me.
[00:11:05.860 --> 00:11:13.860]   My heart is filled with a thousand songs proclaiming the glories of Calvary.
[00:11:13.860 --> 00:11:21.860]   With every breath, Lord, how I long to sing of Jesus who died for me.
[00:11:21.860 --> 00:11:35.860]   Lord, take me deeper into the glories of Calvary.
[00:11:35.860 --> 00:11:37.860]   For all eternity.
[00:11:37.860 --> 00:11:44.860]   For all eternity.
[00:11:44.860 --> 00:11:46.860]   We will sing worthy.
[00:11:46.860 --> 00:11:49.860]   Our God has set us free.
[00:11:49.860 --> 00:11:53.860]   We'll sing the glories of Calvary.
[00:11:53.860 --> 00:11:56.860]   For all eternity.
[00:11:56.860 --> 00:12:00.860]   We will sing worthy.
[00:12:00.860 --> 00:12:04.860]   Our God has set us free.
[00:12:04.860 --> 00:12:09.860]   We'll sing the glories of Calvary.
[00:12:09.860 --> 00:12:14.860]   [Music ends]
[00:12:14.860 --> 00:12:36.860]   [Piano music]
[00:12:36.860 --> 00:12:39.860]   My hope is built.
[00:12:39.860 --> 00:12:48.860]   My hope is built on nothing less than Jesus' blood and righteousness.
[00:12:48.860 --> 00:12:58.860]   I dare not trust the sweetest frame, but wholly lean on Jesus' name.
[00:12:58.860 --> 00:13:07.860]   On Christ the solid rock I stand, all other ground is sinking sand.
[00:13:07.860 --> 00:13:13.860]   All other ground is sinking sand.
[00:13:13.860 --> 00:13:31.860]   [Piano music]
[00:13:31.860 --> 00:13:41.860]   When darkness fills His lovely face, I rest on His unchanging grace.
[00:13:41.860 --> 00:13:51.860]   In every high and stormy gale, my anchor holds within the veil.
[00:13:51.860 --> 00:14:01.860]   On Christ the solid rock I stand, all other ground is sinking sand.
[00:14:01.860 --> 00:14:07.860]   All other ground is sinking sand.
[00:14:07.860 --> 00:14:25.860]   [Piano music]
[00:14:25.860 --> 00:14:35.860]   His hope is covered, His blood support me in the worldly fight.
[00:14:35.860 --> 00:14:45.860]   When all around my soul gives way, He then is all my hope and stay.
[00:14:45.860 --> 00:14:55.860]   On Christ the solid rock I stand, all other ground is sinking sand.
[00:14:55.860 --> 00:15:01.860]   All other ground is sinking sand.
[00:15:01.860 --> 00:15:19.860]   [Piano music]
[00:15:19.860 --> 00:15:29.860]   When He shall come with trumpet sound, oh may I then in Him be found.
[00:15:29.860 --> 00:15:39.860]   Trusting His righteousness alone, faultless to stand before the throne.
[00:15:39.860 --> 00:15:49.860]   On Christ the solid rock I stand, all other ground is sinking sand.
[00:15:49.860 --> 00:15:55.860]   All other ground is sinking sand.
[00:15:55.860 --> 00:16:05.860]   On Christ the solid rock I stand, all other ground is sinking sand.
[00:16:05.860 --> 00:16:12.860]   All other ground is sinking sand.
[00:16:12.860 --> 00:16:14.860]   You may be seated.
[00:16:23.860 --> 00:16:26.860]   Alright, good evening to everybody.
[00:16:26.860 --> 00:16:40.860]   As I shared last week, verses 3 to 12 is one sentence, but we broke it down and I added verse 13
[00:16:40.860 --> 00:16:46.860]   because this is one of the most important therefores in the New Testament.
[00:16:46.860 --> 00:16:55.860]   So I wanted your brain naturally to go immediately to, oh there's an expectation on how Christians are supposed to respond.
[00:16:55.860 --> 00:17:02.860]   So let me read these four verses for you and then I'll show you what the group discussion questions are.
[00:17:02.860 --> 00:17:09.860]   As to this salvation, the prophets who prophesied of the grace that would come to you
[00:17:09.860 --> 00:17:17.860]   made careful searches and inquiries seeking to know what person or time the Spirit of Christ within them
[00:17:17.860 --> 00:17:23.860]   was indicating as He predicted the sufferings of Christ and the glories to follow.
[00:17:23.860 --> 00:17:30.860]   It was revealed to them that they were not serving themselves but you in these things which now have been announced to you
[00:17:30.860 --> 00:17:36.860]   through those who preach the gospel to you by the Holy Spirit sent from heaven.
[00:17:36.860 --> 00:17:39.860]   Things into which angels long to look.
[00:17:39.860 --> 00:17:48.860]   Therefore, prepare your minds for action, keep sober in spirit, and fix your hope completely on the grace to be brought to you
[00:17:48.860 --> 00:17:52.860]   at the revelation of Jesus Christ.
[00:17:52.860 --> 00:18:01.860]   As per usual, we're going to be looking through just your findings on those four verses.
[00:18:01.860 --> 00:18:04.860]   So questions one and two are going to be the same.
[00:18:04.860 --> 00:18:11.860]   And each verse, someone came up to me earlier today and was like, "You know, I try to memorize these four verses but they were so long."
[00:18:11.860 --> 00:18:12.860]   I was like, "Yeah."
[00:18:12.860 --> 00:18:18.860]   So it's almost the equivalent of like seven or eight verses in terms of like sentence length.
[00:18:18.860 --> 00:18:22.860]   But do your best to just share the observations that you made.
[00:18:22.860 --> 00:18:30.860]   This isn't a time where you're coming to learn, you're coming more to encourage others with what you've learned.
[00:18:30.860 --> 00:18:37.860]   And if you do have time, which I doubt you'll have a lot of it at the end of those four verses,
[00:18:37.860 --> 00:18:43.860]   bonus question is what role does the Old Testament play in the Christian life?
[00:18:43.860 --> 00:18:50.860]   And what areas of faith, of life, and theology are enhanced by the careful study of the Old Testament?
[00:18:50.860 --> 00:18:56.860]   And this question is going to be important as we track through sections of 1 Peter.
[00:18:56.860 --> 00:19:00.860]   And it's good to just start thinking through this now.
[00:19:00.860 --> 00:19:01.860]   Okay?
[00:19:01.860 --> 00:19:02.860]   So those are the questions.
[00:19:02.860 --> 00:19:10.860]   And at 820, we're going to resume and then we're going to go into a time of reflection and wrap up.
[00:19:10.860 --> 00:19:14.860]   But let me pray for us and then we'll resume at 820.
[00:19:17.860 --> 00:19:31.860]   Lord, we are very just a corrupted people that even when we study the beauty of this gift of salvation,
[00:19:31.860 --> 00:19:42.860]   it may often lead just to just knowledge without just a humbling and a gratefulness.
[00:19:42.860 --> 00:19:54.860]   And so we do pray, Father, that You would guard us, guard our hearts from becoming smug or indifferent as we study this passage,
[00:19:54.860 --> 00:20:05.860]   but to be humbled that You would call us to join Your family through these means.
[00:20:05.860 --> 00:20:11.860]   I pray that You would help all of us as we study this, that we would be in awe.
[00:20:11.860 --> 00:20:21.860]   That we would be healthily terrified and that we would be able to make the proper application
[00:20:21.860 --> 00:20:29.860]   so that we might appropriately respond to this wonderful gift.
[00:20:29.860 --> 00:20:34.860]   So I pray for each small group that You would lead the time
[00:20:34.860 --> 00:20:41.860]   and that You would help us to crave and want for more through our study.
[00:20:41.860 --> 00:20:48.860]   So would You guide, guard, and protect the next hour as we discuss?
[00:20:48.860 --> 00:20:51.860]   And we entrust this time into Your hands.
[00:20:51.860 --> 00:20:52.860]   In Jesus' name we pray.
[00:20:52.860 --> 00:20:54.860]   We'll see you guys at 820.
[00:20:54.860 --> 00:20:57.860]   [SILENCE]
[00:20:57.860 --> 00:21:00.860]   [SILENCE]
[00:21:00.860 --> 00:21:03.860]   [SILENCE]
[00:21:03.860 --> 00:21:06.860]   [SILENCE]
[00:21:07.860 --> 00:21:10.860]   [SILENCE]
[00:21:10.860 --> 00:21:13.860]   [SILENCE]
[00:21:14.860 --> 00:21:17.860]   [SILENCE]
[00:21:17.860 --> 00:21:20.860]   [SILENCE]
[00:21:20.860 --> 00:21:23.860]   [SILENCE]
[00:21:24.860 --> 00:21:27.860]   [SILENCE]
[00:21:28.860 --> 00:21:31.860]   [SILENCE]
[00:21:32.860 --> 00:21:35.860]   [SILENCE]
[00:21:35.860 --> 00:21:38.860]   [SILENCE]
[00:21:38.860 --> 00:21:42.860]   [SILENCE]
[00:21:42.860 --> 00:21:46.860]   [SILENCE]
[00:21:46.860 --> 00:21:50.860]   [SILENCE]
[00:21:50.860 --> 00:21:54.860]   [SILENCE]
[00:21:54.860 --> 00:21:58.860]   [SILENCE]
[00:21:58.860 --> 00:22:02.860]   [SILENCE]
[00:22:03.860 --> 00:22:06.860]   [SILENCE]
[00:22:06.860 --> 00:22:10.860]   [SILENCE]
[00:22:10.860 --> 00:22:14.860]   [SILENCE]
[00:22:14.860 --> 00:22:18.860]   [SILENCE]
[00:22:18.860 --> 00:22:22.860]   [SILENCE]
[00:22:22.860 --> 00:22:26.860]   [SILENCE]
[00:22:26.860 --> 00:22:30.860]   [SILENCE]
[00:22:31.860 --> 00:22:34.860]   [SILENCE]
[00:22:34.860 --> 00:22:38.860]   [SILENCE]
[00:22:38.860 --> 00:22:42.860]   [SILENCE]
[00:22:42.860 --> 00:22:46.860]   [SILENCE]
[00:22:46.860 --> 00:22:50.860]   [SILENCE]
[00:22:50.860 --> 00:22:54.860]   [SILENCE]
[00:22:54.860 --> 00:22:58.860]   [SILENCE]
[00:22:59.860 --> 00:23:02.860]   [SILENCE]
[00:23:02.860 --> 00:23:06.860]   [SILENCE]
[00:23:06.860 --> 00:23:10.860]   [SILENCE]
[00:23:10.860 --> 00:23:14.860]   [SILENCE]
[00:23:14.860 --> 00:23:18.860]   [SILENCE]
[00:23:18.860 --> 00:23:22.860]   [SILENCE]
[00:23:22.860 --> 00:23:26.860]   [SILENCE]
[00:23:27.860 --> 00:23:30.860]   [SILENCE]
[00:23:30.860 --> 00:23:34.860]   [SILENCE]
[00:23:34.860 --> 00:23:38.860]   [SILENCE]
[00:23:38.860 --> 00:23:42.860]   [SILENCE]
[00:23:42.860 --> 00:23:46.860]   [SILENCE]
[00:23:46.860 --> 00:23:50.860]   [SILENCE]
[00:23:50.860 --> 00:23:54.860]   [SILENCE]
[00:23:55.860 --> 00:23:58.860]   [SILENCE]
[00:23:58.860 --> 00:24:02.860]   [SILENCE]
[00:24:02.860 --> 00:24:06.860]   [SILENCE]
[00:24:06.860 --> 00:24:10.860]   [SILENCE]
[00:24:10.860 --> 00:24:14.860]   [SILENCE]
[00:24:14.860 --> 00:24:18.860]   [SILENCE]
[00:24:18.860 --> 00:24:22.860]   [SILENCE]
[00:24:23.860 --> 00:24:26.860]   [SILENCE]
[00:24:26.860 --> 00:24:30.860]   [SILENCE]
[00:24:30.860 --> 00:24:34.860]   [SILENCE]
[00:24:34.860 --> 00:24:38.860]   [SILENCE]
[00:24:38.860 --> 00:24:42.860]   [SILENCE]
[00:24:42.860 --> 00:24:46.860]   [SILENCE]
[00:24:46.860 --> 00:24:50.860]   [SILENCE]
[00:24:51.860 --> 00:24:54.860]   [SILENCE]
[00:24:54.860 --> 00:24:58.860]   [SILENCE]
[00:24:58.860 --> 00:25:02.860]   [SILENCE]
[00:25:02.860 --> 00:25:06.860]   [SILENCE]
[00:25:06.860 --> 00:25:10.860]   [SILENCE]
[00:25:10.860 --> 00:25:14.860]   [SILENCE]
[00:25:14.860 --> 00:25:18.860]   [SILENCE]
[00:25:19.860 --> 00:25:22.860]   [SILENCE]
[00:25:22.860 --> 00:25:26.860]   [SILENCE]
[00:25:26.860 --> 00:25:30.860]   [SILENCE]
[00:25:30.860 --> 00:25:34.860]   [SILENCE]
[00:25:34.860 --> 00:25:38.860]   [SILENCE]
[00:25:38.860 --> 00:25:42.860]   [SILENCE]
[00:25:42.860 --> 00:25:46.860]   [SILENCE]
[00:25:47.860 --> 00:25:50.860]   [SILENCE]
[00:25:50.860 --> 00:25:54.860]   [SILENCE]
[00:25:54.860 --> 00:25:58.860]   [SILENCE]
[00:25:58.860 --> 00:26:02.860]   [SILENCE]
[00:26:02.860 --> 00:26:06.860]   [SILENCE]
[00:26:06.860 --> 00:26:10.860]   [SILENCE]
[00:26:10.860 --> 00:26:14.860]   [SILENCE]
[00:26:15.860 --> 00:26:18.860]   [SILENCE]
[00:26:18.860 --> 00:26:22.860]   [SILENCE]
[00:26:22.860 --> 00:26:26.860]   [SILENCE]
[00:26:26.860 --> 00:26:30.860]   [SILENCE]
[00:26:30.860 --> 00:26:34.860]   [SILENCE]
[00:26:34.860 --> 00:26:38.860]   [SILENCE]
[00:26:38.860 --> 00:26:42.860]   [SILENCE]
[00:26:43.860 --> 00:26:46.860]   [SILENCE]
[00:26:46.860 --> 00:26:50.860]   [SILENCE]
[00:26:50.860 --> 00:26:54.860]   [SILENCE]
[00:26:54.860 --> 00:26:58.860]   [SILENCE]
[00:26:58.860 --> 00:27:02.860]   [SILENCE]
[00:27:02.860 --> 00:27:06.860]   [SILENCE]
[00:27:06.860 --> 00:27:10.860]   [SILENCE]
[00:27:11.860 --> 00:27:14.860]   [SILENCE]
[00:27:14.860 --> 00:27:18.860]   [SILENCE]
[00:27:18.860 --> 00:27:22.860]   [SILENCE]
[00:27:22.860 --> 00:27:26.860]   [SILENCE]
[00:27:26.860 --> 00:27:30.860]   [SILENCE]
[00:27:30.860 --> 00:27:34.860]   [SILENCE]
[00:27:34.860 --> 00:27:38.860]   [SILENCE]
[00:27:39.860 --> 00:27:42.860]   [SILENCE]
[00:27:42.860 --> 00:27:46.860]   [SILENCE]
[00:27:46.860 --> 00:27:50.860]   [SILENCE]
[00:27:50.860 --> 00:27:54.860]   [SILENCE]
[00:27:54.860 --> 00:27:58.860]   [SILENCE]
[00:27:58.860 --> 00:28:02.860]   [SILENCE]
[00:28:02.860 --> 00:28:06.860]   [SILENCE]
[00:28:07.860 --> 00:28:10.860]   [SILENCE]
[00:28:10.860 --> 00:28:14.860]   [SILENCE]
[00:28:14.860 --> 00:28:18.860]   [SILENCE]
[00:28:18.860 --> 00:28:22.860]   [SILENCE]
[00:28:22.860 --> 00:28:26.860]   [SILENCE]
[00:28:26.860 --> 00:28:30.860]   [SILENCE]
[00:28:30.860 --> 00:28:34.860]   [SILENCE]
[00:28:35.860 --> 00:28:38.860]   [SILENCE]
[00:28:38.860 --> 00:28:42.860]   [SILENCE]
[00:28:42.860 --> 00:28:46.860]   [SILENCE]
[00:28:46.860 --> 00:28:50.860]   [SILENCE]
[00:28:50.860 --> 00:28:54.860]   [SILENCE]
[00:28:54.860 --> 00:28:58.860]   [SILENCE]
[00:28:58.860 --> 00:29:02.860]   [SILENCE]
[00:29:03.860 --> 00:29:06.860]   [SILENCE]
[00:29:06.860 --> 00:29:10.860]   [SILENCE]
[00:29:10.860 --> 00:29:14.860]   [SILENCE]
[00:29:14.860 --> 00:29:18.860]   [SILENCE]
[00:29:18.860 --> 00:29:22.860]   [SILENCE]
[00:29:22.860 --> 00:29:26.860]   [SILENCE]
[00:29:26.860 --> 00:29:30.860]   [SILENCE]
[00:29:31.860 --> 00:29:34.860]   [SILENCE]
[00:29:34.860 --> 00:29:38.860]   [SILENCE]
[00:29:38.860 --> 00:29:42.860]   [SILENCE]
[00:29:42.860 --> 00:29:46.860]   [SILENCE]
[00:29:46.860 --> 00:29:50.860]   [SILENCE]
[00:29:50.860 --> 00:29:54.860]   [SILENCE]
[00:29:54.860 --> 00:29:58.860]   [SILENCE]
[00:29:59.860 --> 00:30:02.860]   [SILENCE]
[00:30:02.860 --> 00:30:06.860]   [SILENCE]
[00:30:06.860 --> 00:30:10.860]   [SILENCE]
[00:30:10.860 --> 00:30:14.860]   [SILENCE]
[00:30:14.860 --> 00:30:18.860]   [SILENCE]
[00:30:18.860 --> 00:30:22.860]   [SILENCE]
[00:30:22.860 --> 00:30:26.860]   [SILENCE]
[00:30:27.860 --> 00:30:30.860]   [SILENCE]
[00:30:30.860 --> 00:30:34.860]   [SILENCE]
[00:30:34.860 --> 00:30:38.860]   [SILENCE]
[00:30:38.860 --> 00:30:42.860]   [SILENCE]
[00:30:42.860 --> 00:30:46.860]   [SILENCE]
[00:30:46.860 --> 00:30:50.860]   [SILENCE]
[00:30:50.860 --> 00:30:54.860]   [SILENCE]
[00:30:55.860 --> 00:30:58.860]   [SILENCE]
[00:30:58.860 --> 00:31:02.860]   [SILENCE]
[00:31:02.860 --> 00:31:06.860]   [SILENCE]
[00:31:06.860 --> 00:31:10.860]   [SILENCE]
[00:31:10.860 --> 00:31:14.860]   [SILENCE]
[00:31:14.860 --> 00:31:18.860]   [SILENCE]
[00:31:18.860 --> 00:31:22.860]   [SILENCE]
[00:31:23.860 --> 00:31:26.860]   [SILENCE]
[00:31:26.860 --> 00:31:30.860]   [SILENCE]
[00:31:30.860 --> 00:31:34.860]   [SILENCE]
[00:31:34.860 --> 00:31:38.860]   [SILENCE]
[00:31:38.860 --> 00:31:42.860]   [SILENCE]
[00:31:42.860 --> 00:31:46.860]   [SILENCE]
[00:31:46.860 --> 00:31:50.860]   [SILENCE]
[00:31:51.860 --> 00:31:54.860]   [SILENCE]
[00:31:54.860 --> 00:31:58.860]   [SILENCE]
[00:31:58.860 --> 00:32:02.860]   [SILENCE]
[00:32:02.860 --> 00:32:06.860]   [SILENCE]
[00:32:06.860 --> 00:32:10.860]   [SILENCE]
[00:32:10.860 --> 00:32:14.860]   [SILENCE]
[00:32:14.860 --> 00:32:18.860]   [SILENCE]
[00:32:19.860 --> 00:32:22.860]   [SILENCE]
[00:32:22.860 --> 00:32:26.860]   [SILENCE]
[00:32:26.860 --> 00:32:30.860]   [SILENCE]
[00:32:30.860 --> 00:32:34.860]   [SILENCE]
[00:32:34.860 --> 00:32:38.860]   [SILENCE]
[00:32:38.860 --> 00:32:42.860]   [SILENCE]
[00:32:42.860 --> 00:32:46.860]   [SILENCE]
[00:32:47.860 --> 00:32:50.860]   [SILENCE]
[00:32:50.860 --> 00:32:54.860]   [SILENCE]
[00:32:54.860 --> 00:32:58.860]   [SILENCE]
[00:32:58.860 --> 00:33:02.860]   [SILENCE]
[00:33:02.860 --> 00:33:06.860]   [SILENCE]
[00:33:06.860 --> 00:33:10.860]   [SILENCE]
[00:33:10.860 --> 00:33:14.860]   [SILENCE]
[00:33:15.860 --> 00:33:18.860]   [SILENCE]
[00:33:18.860 --> 00:33:22.860]   [SILENCE]
[00:33:22.860 --> 00:33:26.860]   [SILENCE]
[00:33:26.860 --> 00:33:30.860]   [SILENCE]
[00:33:30.860 --> 00:33:34.860]   [SILENCE]
[00:33:34.860 --> 00:33:38.860]   [SILENCE]
[00:33:38.860 --> 00:33:42.860]   [SILENCE]
[00:33:43.860 --> 00:33:46.860]   [SILENCE]
[00:33:46.860 --> 00:33:50.860]   [SILENCE]
[00:33:50.860 --> 00:33:54.860]   [SILENCE]
[00:33:54.860 --> 00:33:58.860]   [SILENCE]
[00:33:58.860 --> 00:34:02.860]   [SILENCE]
[00:34:02.860 --> 00:34:06.860]   [SILENCE]
[00:34:06.860 --> 00:34:10.860]   [SILENCE]
[00:34:11.860 --> 00:34:14.860]   [SILENCE]
[00:34:14.860 --> 00:34:18.860]   [SILENCE]
[00:34:18.860 --> 00:34:22.860]   [SILENCE]
[00:34:22.860 --> 00:34:26.860]   [SILENCE]
[00:34:26.860 --> 00:34:30.860]   [SILENCE]
[00:34:30.860 --> 00:34:34.860]   [SILENCE]
[00:34:34.860 --> 00:34:38.860]   [SILENCE]
[00:34:39.860 --> 00:34:42.860]   [SILENCE]
[00:34:42.860 --> 00:34:46.860]   [SILENCE]
[00:34:46.860 --> 00:34:50.860]   [SILENCE]
[00:34:50.860 --> 00:34:54.860]   [SILENCE]
[00:34:54.860 --> 00:34:58.860]   [SILENCE]
[00:34:58.860 --> 00:35:02.860]   [SILENCE]
[00:35:02.860 --> 00:35:06.860]   [SILENCE]
[00:35:07.860 --> 00:35:10.860]   [SILENCE]
[00:35:10.860 --> 00:35:14.860]   [SILENCE]
[00:35:14.860 --> 00:35:18.860]   [SILENCE]
[00:35:18.860 --> 00:35:22.860]   [SILENCE]
[00:35:22.860 --> 00:35:26.860]   [SILENCE]
[00:35:26.860 --> 00:35:30.860]   [SILENCE]
[00:35:30.860 --> 00:35:34.860]   [SILENCE]
[00:35:35.860 --> 00:35:38.860]   [SILENCE]
[00:35:38.860 --> 00:35:42.860]   [SILENCE]
[00:35:42.860 --> 00:35:46.860]   [SILENCE]
[00:35:46.860 --> 00:35:50.860]   [SILENCE]
[00:35:50.860 --> 00:35:54.860]   [SILENCE]
[00:35:54.860 --> 00:35:58.860]   [SILENCE]
[00:35:58.860 --> 00:36:02.860]   [SILENCE]
[00:36:03.860 --> 00:36:06.860]   [SILENCE]
[00:36:06.860 --> 00:36:10.860]   [SILENCE]
[00:36:10.860 --> 00:36:14.860]   [SILENCE]
[00:36:14.860 --> 00:36:18.860]   [SILENCE]
[00:36:18.860 --> 00:36:22.860]   [SILENCE]
