
[00:00:00.000 --> 00:00:02.000]   Just relax and play.
[00:16:12.000 --> 00:16:22.000]   [BLANK_AUDIO]
[00:16:22.000 --> 00:16:32.000]   [BLANK_AUDIO]
[00:16:32.000 --> 00:16:42.000]   [BLANK_AUDIO]
[00:16:42.000 --> 00:16:52.000]   [BLANK_AUDIO]
[00:16:52.000 --> 00:17:02.000]   [BLANK_AUDIO]
[00:17:02.000 --> 00:17:12.000]   [BLANK_AUDIO]
[00:17:12.000 --> 00:17:22.000]   [BLANK_AUDIO]
[00:17:22.000 --> 00:17:32.000]   [BLANK_AUDIO]
[00:17:32.000 --> 00:17:42.000]   [BLANK_AUDIO]
[00:17:42.000 --> 00:17:52.000]   [BLANK_AUDIO]
[00:17:52.000 --> 00:18:02.000]   [BLANK_AUDIO]
[00:18:02.000 --> 00:18:12.000]   [BLANK_AUDIO]
[00:18:12.000 --> 00:18:22.000]   [BLANK_AUDIO]
[00:18:22.000 --> 00:18:32.000]   [BLANK_AUDIO]
[00:18:32.000 --> 00:18:42.000]   [BLANK_AUDIO]
[00:18:42.000 --> 00:18:52.000]   [BLANK_AUDIO]
[00:18:52.000 --> 00:19:02.000]   [BLANK_AUDIO]
[00:19:02.000 --> 00:19:12.000]   [BLANK_AUDIO]
[00:19:12.000 --> 00:19:22.000]   [BLANK_AUDIO]
[00:19:22.000 --> 00:19:32.000]   [BLANK_AUDIO]
[00:19:32.000 --> 00:19:38.000]   [BLANK_AUDIO]
[00:19:38.000 --> 00:19:40.000]   >> Ashley's making it awkward on purpose.
[00:19:40.000 --> 00:19:42.000]   [LAUGH]
[00:19:42.000 --> 00:19:44.000]   Just not by accident, I know Ashley.
[00:19:44.000 --> 00:19:54.000]   [BLANK_AUDIO]
[00:19:54.000 --> 00:20:04.000]   [BLANK_AUDIO]
[00:20:04.000 --> 00:20:14.000]   [BLANK_AUDIO]
[00:20:14.000 --> 00:20:24.000]   [BLANK_AUDIO]
[00:20:24.000 --> 00:20:34.000]   [BLANK_AUDIO]
[00:20:34.000 --> 00:20:44.000]   [BLANK_AUDIO]
[00:20:44.000 --> 00:20:54.000]   [BLANK_AUDIO]
[00:20:54.000 --> 00:21:04.000]   [BLANK_AUDIO]
[00:21:04.000 --> 00:21:14.000]   [BLANK_AUDIO]
[00:21:14.000 --> 00:21:24.000]   [BLANK_AUDIO]
[00:21:24.000 --> 00:21:34.000]   [BLANK_AUDIO]
[00:21:34.000 --> 00:21:44.000]   [BLANK_AUDIO]
[00:21:44.000 --> 00:21:54.000]   [BLANK_AUDIO]
[00:21:54.000 --> 00:22:04.000]   [BLANK_AUDIO]
[00:22:04.000 --> 00:22:14.000]   [BLANK_AUDIO]
[00:22:14.000 --> 00:22:16.000]   [BLANK_AUDIO]
[00:22:16.000 --> 00:22:18.000]   >> We're having tech.
[00:22:18.000 --> 00:22:28.000]   [BLANK_AUDIO]
[00:22:28.000 --> 00:22:38.000]   [BLANK_AUDIO]
[00:22:38.000 --> 00:22:48.000]   [BLANK_AUDIO]
[00:22:48.000 --> 00:22:58.000]   [BLANK_AUDIO]
[00:22:58.000 --> 00:23:08.000]   [BLANK_AUDIO]
[00:23:08.000 --> 00:23:18.000]   [BLANK_AUDIO]
[00:23:18.000 --> 00:23:28.000]   [BLANK_AUDIO]
[00:23:28.000 --> 00:23:38.000]   [BLANK_AUDIO]
[00:23:38.000 --> 00:23:48.000]   [BLANK_AUDIO]
[00:23:48.000 --> 00:23:58.000]   [BLANK_AUDIO]
[00:23:58.000 --> 00:24:08.000]   [BLANK_AUDIO]
[00:24:08.000 --> 00:24:18.000]   [BLANK_AUDIO]
[00:24:18.000 --> 00:24:28.000]   [BLANK_AUDIO]
[00:24:28.000 --> 00:24:38.000]   [BLANK_AUDIO]
[00:24:38.000 --> 00:24:48.000]   [BLANK_AUDIO]
[00:24:48.000 --> 00:24:58.000]   [BLANK_AUDIO]
[00:24:58.000 --> 00:25:08.000]   [BLANK_AUDIO]
[00:25:08.000 --> 00:25:18.000]   [BLANK_AUDIO]
[00:25:18.000 --> 00:25:28.000]   [BLANK_AUDIO]
[00:25:28.000 --> 00:25:38.000]   [BLANK_AUDIO]
[00:25:38.000 --> 00:25:48.000]   [BLANK_AUDIO]
[00:25:48.000 --> 00:25:58.000]   [BLANK_AUDIO]
[00:25:58.000 --> 00:26:08.000]   [BLANK_AUDIO]
[00:26:08.000 --> 00:26:18.000]   [BLANK_AUDIO]
[00:26:18.000 --> 00:26:28.000]   [BLANK_AUDIO]
[00:26:28.000 --> 00:26:38.000]   [BLANK_AUDIO]
[00:26:38.000 --> 00:26:48.000]   [BLANK_AUDIO]
[00:26:48.000 --> 00:26:58.000]   [BLANK_AUDIO]
[00:26:58.000 --> 00:27:08.000]   [BLANK_AUDIO]
[00:27:08.000 --> 00:27:18.000]   [BLANK_AUDIO]
[00:27:18.000 --> 00:27:28.000]   [BLANK_AUDIO]
[00:27:28.000 --> 00:27:38.000]   [BLANK_AUDIO]
[00:27:38.000 --> 00:27:48.000]   [BLANK_AUDIO]
[00:27:48.000 --> 00:27:58.000]   [BLANK_AUDIO]
[00:27:58.000 --> 00:28:08.000]   [BLANK_AUDIO]
[00:28:08.000 --> 00:28:18.000]   [BLANK_AUDIO]
[00:28:18.000 --> 00:28:28.000]   [BLANK_AUDIO]
[00:28:28.000 --> 00:28:38.000]   [BLANK_AUDIO]
[00:28:38.000 --> 00:28:48.000]   [BLANK_AUDIO]
[00:28:48.000 --> 00:28:58.000]   [BLANK_AUDIO]
[00:28:58.000 --> 00:29:08.000]   [BLANK_AUDIO]
[00:29:08.000 --> 00:29:18.000]   [BLANK_AUDIO]
[00:29:18.000 --> 00:29:28.000]   [BLANK_AUDIO]
[00:29:28.000 --> 00:29:38.000]   [BLANK_AUDIO]
[00:29:38.000 --> 00:29:48.000]   [BLANK_AUDIO]
[00:29:48.000 --> 00:29:58.000]   [BLANK_AUDIO]
[00:29:58.000 --> 00:30:08.000]   [BLANK_AUDIO]
[00:30:08.000 --> 00:30:18.000]   [BLANK_AUDIO]
[00:30:18.000 --> 00:30:28.000]   [BLANK_AUDIO]
[00:30:28.000 --> 00:30:38.000]   [BLANK_AUDIO]
[00:30:38.000 --> 00:30:42.000]   [BLANK_AUDIO]
[00:30:42.000 --> 00:30:43.000]   >> Okay.
[00:30:43.000 --> 00:30:45.000]   [BLANK_AUDIO]
[00:30:45.000 --> 00:30:47.000]   >> Mr. Peter will be back up.
[00:30:47.000 --> 00:30:52.000]   [BLANK_AUDIO]
[00:30:52.000 --> 00:31:00.000]   [MUSIC]
[00:31:00.000 --> 00:31:02.000]   >> You guys don't hear that, right?
[00:31:02.000 --> 00:31:04.000]   Okay, well, we'll give it a second.
[00:31:04.000 --> 00:31:08.000]   [BLANK_AUDIO]
[00:31:08.000 --> 00:31:14.000]   We're having a fun time of technical difficulties this morning.
[00:31:14.000 --> 00:31:15.000]   First service was fine.
[00:31:15.000 --> 00:31:19.000]   [BLANK_AUDIO]
[00:31:19.000 --> 00:31:22.000]   The live stream is.
[00:31:22.000 --> 00:31:28.000]   [BLANK_AUDIO]
[00:31:28.000 --> 00:31:29.000]   >> DCA.
[00:31:29.000 --> 00:31:32.000]   >> It's D.
[00:31:32.000 --> 00:31:33.000]   >> DCA.
[00:31:33.000 --> 00:31:35.000]   >> DCA, Jeremy.
[00:31:35.000 --> 00:31:37.000]   [MUSIC]
[00:31:37.000 --> 00:31:39.000]   >> We're good?
[00:31:39.000 --> 00:31:40.000]   You guys hear that?
[00:31:40.000 --> 00:31:41.000]   [MUSIC]
[00:31:41.000 --> 00:31:42.000]   Yeah?
[00:31:42.000 --> 00:31:44.000]   [MUSIC]
[00:31:44.000 --> 00:31:46.000]   Okay, there we go.
[00:31:46.000 --> 00:31:49.000]   Let's try that again.
[00:31:49.000 --> 00:31:59.000]   [MUSIC]
[00:31:59.000 --> 00:32:09.000]   [MUSIC]
[00:32:09.000 --> 00:32:19.000]   [MUSIC]
[00:32:19.000 --> 00:32:29.000]   [MUSIC]
[00:32:29.000 --> 00:32:39.000]   [MUSIC]
[00:32:39.000 --> 00:32:49.000]   [MUSIC]
[00:32:49.000 --> 00:32:59.000]   [MUSIC]
[00:32:59.000 --> 00:33:09.000]   [MUSIC]
[00:33:09.000 --> 00:33:19.000]   [MUSIC]
[00:33:19.000 --> 00:33:29.000]   [MUSIC]
[00:33:29.000 --> 00:33:39.000]   [MUSIC]
[00:33:39.000 --> 00:33:49.000]   [MUSIC]
[00:33:49.000 --> 00:33:59.000]   [MUSIC]
[00:33:59.000 --> 00:34:09.000]   [MUSIC]
[00:34:09.000 --> 00:34:19.000]   [MUSIC]
[00:34:19.000 --> 00:34:29.000]   [MUSIC]
[00:34:29.000 --> 00:34:39.000]   [MUSIC]
[00:34:39.000 --> 00:34:49.000]   [MUSIC]
[00:34:49.000 --> 00:34:59.000]   [MUSIC]
[00:34:59.000 --> 00:35:09.000]   [MUSIC]
[00:35:09.000 --> 00:35:19.000]   [MUSIC]
[00:35:19.000 --> 00:35:29.000]   [MUSIC]
[00:35:29.000 --> 00:35:39.000]   [MUSIC]
[00:35:39.000 --> 00:35:49.000]   [MUSIC]
[00:35:49.000 --> 00:35:52.000]   [MUSIC]
[00:35:52.000 --> 00:35:57.000]   >> All right, welcome, Bruin Community Church, those of you who are online, as well as the people who are here.
[00:35:57.000 --> 00:35:59.000]   I have a couple of announcements before we get started.
[00:35:59.000 --> 00:36:07.000]   First of all, our virtual VBS that's going to be on July 27th through the 31st, and again, it's going to start at 5 p.m.
[00:36:07.000 --> 00:36:10.000]   And so if you haven't signed up for that, please sign up as soon as you can.
[00:36:10.000 --> 00:36:14.000]   And sign-ups are going to be from now until July 12th.
[00:36:14.000 --> 00:36:17.000]   And so the contact information is Jane Shin.
[00:36:17.000 --> 00:36:25.000]   And so if you need emails, the registration is going to be on the church app and also on the Facebook.
[00:36:25.000 --> 00:36:28.000]   And so please do that as soon as you can.
[00:36:28.000 --> 00:36:34.000]   Secondly, on July 26th, we are going to be having an online Zoom members meeting.
[00:36:34.000 --> 00:36:36.000]   And so please mark that on your calendar.
[00:36:36.000 --> 00:36:41.000]   After the third service at 2.30 p.m., we're going to be having our members meeting.
[00:36:41.000 --> 00:36:47.000]   All right, before we get into our offering, again, we want to say happy birthday to Shane Chung, who's turning 5 this week.
[00:36:47.000 --> 00:36:48.000]   Happy birthday.
[00:36:48.000 --> 00:36:50.000]   Amelia Barless, who's turning 4.
[00:36:50.000 --> 00:36:51.000]   Happy birthday.
[00:36:51.000 --> 00:36:54.000]   And then Taylor Jung, who is turning 14.
[00:36:54.000 --> 00:36:55.000]   So happy birthday.
[00:36:55.000 --> 00:36:56.000]   Congratulations.
[00:36:56.000 --> 00:37:00.000]   All right, so let me pray for us, and then we'll have time of offering before we get into our main worship.
[00:37:00.000 --> 00:37:01.000]   Let's pray.
[00:37:01.000 --> 00:37:09.000]   Heavenly Father, we pray for your blessing over this time, that our worship may truly be in spirit and in truth.
[00:37:09.000 --> 00:37:15.000]   Help us, Lord God, during these difficult times around us, that we would be grounded in Christ,
[00:37:15.000 --> 00:37:20.000]   that our thoughts, our emotions, our will may all be submitted to your word.
[00:37:20.000 --> 00:37:30.000]   Help us, Lord, to be a light, and what that means, to learn to speak as if you are speaking and to act as you are acting.
[00:37:30.000 --> 00:37:40.000]   We ask, Lord God, that this service would serve both online and physical presence, Lord God, to cause our mind and our heart to reorient in you.
[00:37:40.000 --> 00:37:43.000]   And so we pray for your guidance and your spirit's anointing.
[00:37:43.000 --> 00:37:47.000]   And even in this giving, I pray that you would bless it and multiply it for your use.
[00:37:47.000 --> 00:37:48.000]   In Jesus' name we pray.
[00:37:48.000 --> 00:37:49.000]   Amen.
[00:37:49.000 --> 00:38:17.000]   [music]
[00:38:17.000 --> 00:38:21.000]   Good morning, church family. Let's all stand together as we worship our God.
[00:38:21.000 --> 00:38:34.000]   [music]
[00:38:34.000 --> 00:38:54.000]   [music]
[00:38:54.000 --> 00:39:14.000]   [music]
[00:39:14.000 --> 00:39:34.000]   [music]
[00:39:34.000 --> 00:39:54.000]   [music]
[00:39:54.000 --> 00:40:14.000]   [music]
[00:40:14.000 --> 00:40:34.000]   [music]
[00:40:34.000 --> 00:40:54.000]   [music]
[00:40:54.000 --> 00:41:04.000]   [music]
[00:41:04.000 --> 00:41:14.000]   [music]
[00:41:14.000 --> 00:41:34.000]   [music]
[00:41:34.000 --> 00:41:54.000]   [music]
[00:41:54.000 --> 00:42:04.000]   [music]
[00:42:04.000 --> 00:42:14.000]   [music]
[00:42:14.000 --> 00:42:24.000]   [music]
[00:42:24.000 --> 00:42:34.000]   [music]
[00:42:34.000 --> 00:42:44.000]   [music]
[00:42:44.000 --> 00:42:54.000]   [music]
[00:42:54.000 --> 00:43:04.000]   [music]
[00:43:04.000 --> 00:43:14.000]   [music]
[00:43:14.000 --> 00:43:24.000]   [music]
[00:43:24.000 --> 00:43:34.000]   [music]
[00:43:34.000 --> 00:43:44.000]   [music]
[00:43:44.000 --> 00:43:54.000]   [music]
[00:43:54.000 --> 00:44:04.000]   [music]
[00:44:04.000 --> 00:44:14.000]   [music]
[00:44:14.000 --> 00:44:24.000]   [music]
[00:44:24.000 --> 00:44:34.000]   [music]
[00:44:34.000 --> 00:44:44.000]   [music]
[00:44:44.000 --> 00:44:54.000]   [music]
[00:44:54.000 --> 00:45:04.000]   [music]
[00:45:04.000 --> 00:45:14.000]   [music]
[00:45:14.000 --> 00:45:24.000]   [music]
[00:45:24.000 --> 00:45:34.000]   [music]
[00:45:34.000 --> 00:45:44.000]   [music]
[00:45:44.000 --> 00:45:54.000]   [music]
[00:45:54.000 --> 00:46:04.000]   [music]
[00:46:04.000 --> 00:46:14.000]   [music]
[00:46:14.000 --> 00:46:24.000]   [music]
[00:46:24.000 --> 00:46:34.000]   [music]
[00:46:34.000 --> 00:46:44.000]   [music]
[00:46:44.000 --> 00:46:54.000]   [music]
[00:46:54.000 --> 00:47:04.000]   [music]
[00:47:04.000 --> 00:47:14.000]   [music]
[00:47:14.000 --> 00:47:24.000]   [music]
[00:47:24.000 --> 00:47:34.000]   [music]
[00:47:34.000 --> 00:47:44.000]   [music]
[00:47:44.000 --> 00:47:54.000]   [music]
[00:47:54.000 --> 00:48:04.000]   [music]
[00:48:04.000 --> 00:48:14.000]   [music]
[00:48:14.000 --> 00:48:24.000]   [music]
[00:48:24.000 --> 00:48:34.000]   [music]
[00:48:34.000 --> 00:48:44.000]   [music]
[00:48:44.000 --> 00:48:54.000]   [music]
[00:48:54.000 --> 00:49:04.000]   [music]
[00:49:04.000 --> 00:49:14.000]   [music]
[00:49:14.000 --> 00:49:24.000]   [music]
[00:49:24.000 --> 00:49:34.000]   [music]
[00:49:34.000 --> 00:49:44.000]   [music]
[00:49:44.000 --> 00:49:54.000]   [music]
[00:49:54.000 --> 00:50:04.000]   [music]
[00:50:04.000 --> 00:50:14.000]   [music]
[00:50:14.000 --> 00:50:24.000]   [music]
[00:50:24.000 --> 00:50:34.000]   [music]
[00:50:34.000 --> 00:50:44.000]   [music]
[00:50:44.000 --> 00:50:54.000]   [music]
[00:50:54.000 --> 00:51:04.000]   [music]
[00:51:04.000 --> 00:51:14.000]   [music]
[00:51:14.000 --> 00:51:24.000]   [music]
[00:51:24.000 --> 00:51:34.000]   [music]
[00:51:34.000 --> 00:51:44.000]   [music]
[00:51:44.000 --> 00:51:54.000]   [music]
[00:51:54.000 --> 00:52:04.000]   [music]
[00:52:04.000 --> 00:52:14.000]   [music]
[00:52:14.000 --> 00:52:24.000]   [music]
[00:52:24.000 --> 00:52:34.000]   [music]
[00:52:34.000 --> 00:52:44.000]   [music]
[00:52:44.000 --> 00:52:54.000]   [music]
[00:52:54.000 --> 00:53:04.000]   [music]
[00:53:04.000 --> 00:53:14.000]   [music]
[00:53:14.000 --> 00:53:24.000]   [music]
[00:53:24.000 --> 00:53:34.000]   [music]
[00:53:34.000 --> 00:53:44.000]   [music]
[00:53:44.000 --> 00:53:54.000]   [music]
[00:53:54.000 --> 00:54:04.000]   [music]
[00:54:04.000 --> 00:54:14.000]   [music]
[00:54:14.000 --> 00:54:24.000]   [music]
[00:54:24.000 --> 00:54:34.000]   [music]
[00:54:34.000 --> 00:54:44.000]   [music]
[00:54:44.000 --> 00:54:54.000]   [music]
[00:54:54.000 --> 00:55:04.000]   [music]
[00:55:04.000 --> 00:55:14.000]   [music]
[00:55:14.000 --> 00:55:24.000]   [music]
[00:55:24.000 --> 00:55:34.000]   [music]
[00:55:34.000 --> 00:55:44.000]   [music]
[00:55:44.000 --> 00:55:54.000]   [music]
[00:55:54.000 --> 00:56:04.000]   [music]
[00:56:04.000 --> 00:56:14.000]   [music]
[00:56:14.000 --> 00:56:24.000]   [music]
[00:56:24.000 --> 00:56:34.000]   [music]
[00:56:34.000 --> 00:56:44.000]   [music]
[00:56:44.000 --> 00:56:54.000]   [music]
[00:56:54.000 --> 00:57:04.000]   [music]
[00:57:04.000 --> 00:57:14.000]   [music]
[00:57:14.000 --> 00:57:24.000]   [music]
[00:57:24.000 --> 00:57:34.000]   [music]
[00:57:34.000 --> 00:57:44.000]   [music]
[00:57:44.000 --> 00:57:54.000]   [music]
[00:57:54.000 --> 00:58:04.000]   [music]
[00:58:04.000 --> 00:58:14.000]   [music]
[00:58:14.000 --> 00:58:24.000]   [music]
[00:58:24.000 --> 00:58:34.000]   [music]
[00:58:34.000 --> 00:58:44.000]   [music]
[00:58:44.000 --> 00:58:54.000]   [music]
[00:58:54.000 --> 00:59:04.000]   [music]
[00:59:04.000 --> 00:59:14.000]   [music]
[00:59:14.000 --> 00:59:24.000]   [music]
[00:59:24.000 --> 00:59:34.000]   [music]
[00:59:34.000 --> 00:59:44.000]   [music]
[00:59:44.000 --> 00:59:54.000]   [music]
[00:59:54.000 --> 01:00:04.000]   [music]
[01:00:04.000 --> 01:00:14.000]   [music]
[01:00:14.000 --> 01:00:24.000]   [music]
[01:00:24.000 --> 01:00:34.000]   [music]
[01:00:34.000 --> 01:00:44.000]   [music]
[01:00:44.000 --> 01:00:54.000]   [music]
[01:00:54.000 --> 01:01:04.000]   [music]
[01:01:04.000 --> 01:01:14.000]   [music]
[01:01:14.000 --> 01:01:24.000]   [music]
[01:01:24.000 --> 01:01:34.000]   [music]
[01:01:34.000 --> 01:01:44.000]   [music]
[01:01:44.000 --> 01:01:54.000]   [music]
[01:01:54.000 --> 01:02:04.000]   [music]
[01:02:04.000 --> 01:02:14.000]   [music]
[01:02:14.000 --> 01:02:24.000]   [music]
[01:02:24.000 --> 01:02:34.000]   [music]
[01:02:34.000 --> 01:02:44.000]   [music]
[01:02:44.000 --> 01:02:54.000]   [music]
[01:02:54.000 --> 01:03:04.000]   [music]
[01:03:04.000 --> 01:03:14.000]   [music]
[01:03:14.000 --> 01:03:24.000]   [music]
[01:03:24.000 --> 01:03:34.000]   [music]
[01:03:34.000 --> 01:03:44.000]   [music]
[01:03:44.000 --> 01:03:54.000]   [music]
[01:03:54.000 --> 01:04:04.000]   [music]
[01:04:04.000 --> 01:04:14.000]   [music]
[01:04:14.000 --> 01:04:24.000]   [music]
[01:04:24.000 --> 01:04:34.000]   [music]
[01:04:34.000 --> 01:04:44.000]   [music]
[01:04:44.000 --> 01:04:54.000]   [music]
[01:04:54.000 --> 01:05:04.000]   [music]
[01:05:04.000 --> 01:05:14.000]   [music]
[01:05:14.000 --> 01:05:24.000]   [music]
[01:05:24.000 --> 01:05:34.000]   [music]
[01:05:34.000 --> 01:05:44.000]   [music]
[01:05:44.000 --> 01:05:54.000]   [music]
[01:05:54.000 --> 01:06:04.000]   [music]
[01:06:04.000 --> 01:06:14.000]   [music]
[01:06:14.000 --> 01:06:24.000]   [music]
[01:06:24.000 --> 01:06:34.000]   [music]
[01:06:34.000 --> 01:06:44.000]   [music]
[01:06:44.000 --> 01:06:54.000]   [music]
[01:06:54.000 --> 01:07:04.000]   [music]
[01:07:04.000 --> 01:07:14.000]   [music]
[01:07:14.000 --> 01:07:24.000]   [music]
[01:07:24.000 --> 01:07:34.000]   [music]
[01:07:34.000 --> 01:07:44.000]   [music]
[01:07:44.000 --> 01:07:54.000]   [music]
[01:07:54.000 --> 01:08:04.000]   [music]
[01:08:04.000 --> 01:08:14.000]   [music]
[01:08:14.000 --> 01:08:24.000]   [music]
[01:08:24.000 --> 01:08:34.000]   [music]
[01:08:34.000 --> 01:08:44.000]   [music]
[01:08:44.000 --> 01:08:54.000]   [music]
[01:08:54.000 --> 01:09:04.000]   [music]
[01:09:04.000 --> 01:09:14.000]   [music]
[01:09:14.000 --> 01:09:24.000]   [music]
[01:09:24.000 --> 01:09:34.000]   [music]
[01:09:34.000 --> 01:09:44.000]   [music]
[01:09:44.000 --> 01:09:54.000]   [music]
[01:09:54.000 --> 01:10:04.000]   [music]
[01:10:04.000 --> 01:10:14.000]   [music]
[01:10:14.000 --> 01:10:24.000]   [music]
[01:10:24.000 --> 01:10:34.000]   [music]
[01:10:34.000 --> 01:10:44.000]   [music]
[01:10:44.000 --> 01:10:54.000]   [music]
[01:10:54.000 --> 01:11:04.000]   [music]
