
[00:00:00.000 --> 00:00:08.280]   - Good morning, everybody.
[00:02:37.960 --> 00:02:42.320]   Psalm 73.
[00:02:42.320 --> 00:02:46.120]   It says this, a Psalm of Asaph.
[00:02:46.120 --> 00:02:51.360]   "Surely God is good to Israel, to those who are pure in heart.
[00:02:51.360 --> 00:02:56.360]   But as for me, my feet came close to stumbling, my steps had almost slipped.
[00:02:56.360 --> 00:03:01.080]   For I was envious of the arrogant as I saw the prosperity of the wicked.
[00:03:01.080 --> 00:03:04.640]   For there are no pains in their death and their body is fat.
[00:03:04.640 --> 00:03:08.640]   They're not in trouble as other men, nor are they plagued like mankind.
[00:03:08.640 --> 00:03:11.520]   Therefore pride is their necklace, the garment of violence covers them.
[00:03:11.520 --> 00:03:15.640]   Their eyes bulge from fatness, the imaginations of their heart run riot.
[00:03:15.640 --> 00:03:18.200]   They mock and wickedly speak of oppression.
[00:03:18.200 --> 00:03:20.080]   They speak from on high.
[00:03:20.080 --> 00:03:24.920]   They have set their mouths against the heavens and their tongue parades through the earth.
[00:03:24.920 --> 00:03:27.600]   Therefore his people return to this place.
[00:03:27.600 --> 00:03:30.440]   The waters of abundance are drunk by them.
[00:03:30.440 --> 00:03:32.480]   They say, 'How does God know?
[00:03:32.480 --> 00:03:34.920]   And is their knowledge what the most high?
[00:03:34.920 --> 00:03:38.000]   Behold, these are the wicked.
[00:03:38.000 --> 00:03:40.480]   And always at ease, they have increased in wealth.
[00:03:40.480 --> 00:03:46.400]   Surely in vain I have kept my heart pure and washed my hands in innocence.
[00:03:46.400 --> 00:03:50.600]   For I have been stricken all day long and chastened every morning.
[00:03:50.600 --> 00:03:54.560]   If I had said, 'I will speak thus,' behold, I would have betrayed the generation of your
[00:03:54.560 --> 00:03:55.880]   children.
[00:03:55.880 --> 00:04:01.520]   Then I pondered to understand this, and it was troublesome in my sight.
[00:04:01.520 --> 00:04:04.880]   Until I came into the sanctuary of God.
[00:04:04.880 --> 00:04:07.400]   Then I perceived their end.
[00:04:07.400 --> 00:04:09.560]   Surely you set them in slippery places.
[00:04:09.560 --> 00:04:12.000]   You cast them down to destruction.
[00:04:12.000 --> 00:04:13.760]   How they are destroyed in a moment.
[00:04:13.760 --> 00:04:16.880]   They are utterly swept away by the sudden terrors.
[00:04:16.880 --> 00:04:22.920]   Like a dream when one awakes, O Lord, when aroused you will despise their form.
[00:04:22.920 --> 00:04:28.120]   When my heart was embittered and I was pierced within, then I was senseless and ignorant.
[00:04:28.120 --> 00:04:30.360]   I was like a beast before you.
[00:04:30.360 --> 00:04:32.960]   Nevertheless, I am continually with you.
[00:04:32.960 --> 00:04:35.600]   You have taken hold of my right hand.
[00:04:35.600 --> 00:04:40.000]   With your counsel you will guide me and afterward receive me to glory.
[00:04:40.000 --> 00:04:42.240]   Whom have I in heaven but you?
[00:04:42.240 --> 00:04:45.360]   And besides you I desire nothing on earth.
[00:04:45.360 --> 00:04:50.640]   My flesh and my heart may fail, but God is the strength of my heart and my portion forever.
[00:04:50.640 --> 00:04:53.780]   For behold, those who are far from you will perish.
[00:04:53.780 --> 00:04:56.880]   You have destroyed all those who are unfaithful to you.
[00:04:56.880 --> 00:04:59.880]   But as for me, the nearness of God is my good.
[00:04:59.880 --> 00:05:05.760]   I have made the Lord God my refuge that I may tell of your works.
[00:05:05.760 --> 00:05:07.760]   Let's take a moment to pray.
[00:05:07.760 --> 00:05:14.800]   God, we ask for your spiritual blessing that as we jump into your word, as we listen, Lord,
[00:05:14.800 --> 00:05:20.600]   that your spirit will grant to us open ears, humble hearts, receptiveness.
[00:05:20.600 --> 00:05:27.040]   And also, Father, God, help us to have spiritual eyes to see, is there any wickedness, any
[00:05:27.040 --> 00:05:29.760]   roots of bitterness in our hearts?
[00:05:29.760 --> 00:05:32.680]   Is there any envy and jealousy in our soul?
[00:05:32.680 --> 00:05:38.240]   God, that you would uproot those things and cause us to be filled with the wonder of your
[00:05:38.240 --> 00:05:39.680]   gracious work in our lives.
[00:05:39.680 --> 00:05:42.600]   We thank you in Christ's name, amen.
[00:05:42.600 --> 00:05:49.040]   Okay, jumping right into the passage, you notice that in Psalm 73 for Asaph, there is
[00:05:49.040 --> 00:05:51.760]   an incredible dilemma.
[00:05:51.760 --> 00:05:59.160]   So in verses one through three, Asaph describes in a nice introduction a dilemma that he sees.
[00:05:59.160 --> 00:06:00.800]   So I'm just going to read it again for us.
[00:06:00.800 --> 00:06:03.920]   And he says, "Surely God is good to Israel.
[00:06:03.920 --> 00:06:09.280]   This he knows as a principle of truth to those who are pure in heart.
[00:06:09.280 --> 00:06:15.800]   But as for me, my feet came close to stumbling, my steps had almost slipped, and I was envious
[00:06:15.800 --> 00:06:20.080]   of the arrogant as I saw the prosperity of the wicked."
[00:06:20.080 --> 00:06:22.640]   What is he talking about?
[00:06:22.640 --> 00:06:27.520]   He's talking about actually a really common dilemma for a lot of people.
[00:06:27.520 --> 00:06:28.720]   For a lot of people.
[00:06:28.720 --> 00:06:30.520]   You know what that is?
[00:06:30.520 --> 00:06:36.680]   You go on Facebook, you go on social media, you watch TV shows, maybe reality TV shows,
[00:06:36.680 --> 00:06:41.600]   you watch certain movies, and you see glamorous living.
[00:06:41.600 --> 00:06:46.960]   You see prosperous, free living where people are doing all kinds of things.
[00:06:46.960 --> 00:06:49.760]   Nowadays, you know what's really popular?
[00:06:49.760 --> 00:06:51.260]   Experiences.
[00:06:51.260 --> 00:06:55.240]   People who are able to go out to the remotest part of the jungle and count there.
[00:06:55.240 --> 00:06:57.280]   People who are able to go see different cultures.
[00:06:57.280 --> 00:07:00.240]   People who are able to go out and do all kinds of stuff.
[00:07:00.240 --> 00:07:01.600]   None of that is wicked.
[00:07:01.600 --> 00:07:02.600]   It's great.
[00:07:02.600 --> 00:07:04.920]   But you know what happens?
[00:07:04.920 --> 00:07:10.160]   All of a sudden, there's this weird tingling feeling in you that says, "That's so awesome."
[00:07:10.160 --> 00:07:13.960]   And then you look down and you go, "My life sucks."
[00:07:13.960 --> 00:07:18.600]   There is this immediate comparison that happens between what you see on TV, what you see on
[00:07:18.600 --> 00:07:22.800]   social media, and your quick evaluation of yourself.
[00:07:22.800 --> 00:07:23.800]   You know what that is called?
[00:07:23.800 --> 00:07:26.800]   It's called jealousy.
[00:07:26.800 --> 00:07:28.480]   It's called envy.
[00:07:28.480 --> 00:07:36.360]   Asaph immediately introduces us to a stumbling, to a dilemma, to a problem, and he says, "I
[00:07:36.360 --> 00:07:38.480]   was envious of the arrogant."
[00:07:38.480 --> 00:07:42.880]   He says, "I was envious of the arrogant."
[00:07:42.880 --> 00:07:44.720]   Just really quickly.
[00:07:44.720 --> 00:07:50.520]   If I were to be very honest with you, I'm a pastor that's dedicated my life to the Lord's
[00:07:50.520 --> 00:07:54.240]   work, to the Lord's people, to the Lord's church and His mission field.
[00:07:54.240 --> 00:07:57.960]   Am I not envious sometimes?
[00:07:57.960 --> 00:08:01.480]   Do I not have ambitions and desires?
[00:08:01.480 --> 00:08:05.240]   Just the other day, I was talking to my wife saying, "Dude, I saw this one episode with
[00:08:05.240 --> 00:08:06.240]   this guy.
[00:08:06.240 --> 00:08:09.400]   He was a professional in the working workforce.
[00:08:09.400 --> 00:08:13.560]   He was an engineer for a long time, and he just decided, 'You know what?
[00:08:13.560 --> 00:08:19.160]   I'm going to take my family and go live out into one of these open land where there aren't
[00:08:19.160 --> 00:08:20.160]   so many people.
[00:08:20.160 --> 00:08:21.640]   It's not so congested.
[00:08:21.640 --> 00:08:23.640]   He has a view of a mountain.
[00:08:23.640 --> 00:08:29.240]   He has an axe that he chops his wood with, and it's so manly, and I'm just like, 'Wow.'"
[00:08:29.240 --> 00:08:32.680]   And immediately, my wife looks over and goes, "But you can't be a pastor like that."
[00:08:32.680 --> 00:08:35.640]   That's true.
[00:08:35.640 --> 00:08:41.240]   But anytime you see a certain kind of living where there's freedom, where there's luxury,
[00:08:41.240 --> 00:08:46.400]   does that not elicit some kind of wishful thinking, kind of fantasy land?
[00:08:46.400 --> 00:08:52.160]   Now, again, I'm not saying immediately that's all wicked, but notice how that quickly turns
[00:08:52.160 --> 00:08:55.640]   into something for Asaph, and you know what that turns into?
[00:08:55.640 --> 00:08:59.480]   It turns into a sourness of heart.
[00:08:59.480 --> 00:09:03.520]   And biblically, that kind of sourness of heart is called bitterness.
[00:09:03.520 --> 00:09:07.960]   And what that bitterness does is it begins to judge.
[00:09:07.960 --> 00:09:09.600]   It begins to shape a reality.
[00:09:09.600 --> 00:09:11.600]   It begins to shape a perspective.
[00:09:11.600 --> 00:09:18.200]   And now in his eyes, all those people out there, those guys, they're wicked people.
[00:09:18.200 --> 00:09:19.480]   They're arrogant people.
[00:09:19.480 --> 00:09:20.800]   They're vicious people.
[00:09:21.440 --> 00:09:30.280]   What we have is a heart's desire turning into a position of authority and judging the world.
[00:09:30.280 --> 00:09:32.800]   Are we not successful to that?
[00:09:32.800 --> 00:09:36.040]   Have you ever never felt that?
[00:09:36.040 --> 00:09:41.360]   Where you have any kind of envy and desire, and when you compare and you compare and contrast
[00:09:41.360 --> 00:09:46.360]   their life versus your life, all of a sudden, you are tempted to have not just simply a
[00:09:46.360 --> 00:09:53.080]   kind of jealousy, but a kind of embitterment, a kind of discontent, depression?
[00:09:53.080 --> 00:09:55.040]   Ugh, there's an angst in you.
[00:09:55.040 --> 00:09:58.640]   And there is a conclusion typically at the end of that paragraph.
[00:09:58.640 --> 00:10:00.480]   You know what that conclusion is?
[00:10:00.480 --> 00:10:02.840]   This isn't fair.
[00:10:02.840 --> 00:10:05.480]   My life sucks.
[00:10:05.480 --> 00:10:08.680]   So many people talk like that in our generation.
[00:10:08.680 --> 00:10:11.360]   There is a complaint towards the Lord.
[00:10:11.360 --> 00:10:12.240]   Where is mine?
[00:10:12.240 --> 00:10:13.560]   What's in it for me?
[00:10:13.560 --> 00:10:19.200]   And should I even continue trying to walk this noble path when all of those individuals
[00:10:19.200 --> 00:10:24.080]   with their freedoms and liberties, they're just living it up?
[00:10:24.080 --> 00:10:26.560]   Is this worth it for me?
[00:10:26.560 --> 00:10:33.200]   That is a very, very honest and real struggle that I think a lot of people have in our day.
[00:10:33.200 --> 00:10:35.560]   Psalm 73 is so real.
[00:10:35.560 --> 00:10:39.680]   It's absolutely relevant for us today.
[00:10:39.680 --> 00:10:44.120]   And so, I want to talk about this a little bit more in this dilemma.
[00:10:44.120 --> 00:10:48.000]   Deep down here, there are a couple of things that is a dilemma for Asaph.
[00:10:48.000 --> 00:10:49.080]   Why?
[00:10:49.080 --> 00:10:51.320]   Because there's a struggle.
[00:10:51.320 --> 00:10:54.800]   You see, Asaph wouldn't have a struggle if he wasn't taught biblically.
[00:10:54.800 --> 00:10:56.400]   You know what he was taught?
[00:10:56.400 --> 00:10:59.880]   God is good, right?
[00:10:59.880 --> 00:11:04.560]   For all of you here, you're here because you know God is good.
[00:11:04.560 --> 00:11:09.280]   If you believe God was a horrible, horrible, harsh being, you wouldn't be in these seats
[00:11:09.280 --> 00:11:13.160]   because then you would have to listen to a person you can't trust.
[00:11:13.160 --> 00:11:15.160]   But you know God is good.
[00:11:15.160 --> 00:11:16.160]   That's the dilemma.
[00:11:16.160 --> 00:11:22.280]   Asaph knew from when he was a child, he was taught, he knows deep down in his heart, God
[00:11:22.280 --> 00:11:23.960]   is good to Israel.
[00:11:23.960 --> 00:11:25.160]   He's good to people.
[00:11:25.160 --> 00:11:27.800]   He's good to those who are pure in heart.
[00:11:27.800 --> 00:11:29.640]   But then what is the problem?
[00:11:29.640 --> 00:11:35.880]   What the problem is, that completely contrasts and conflicts with what he sees with his eyes.
[00:11:35.880 --> 00:11:39.000]   He says, "Oh, on the contrary, I see this conflict.
[00:11:39.000 --> 00:11:40.840]   I know you're good, but look.
[00:11:40.840 --> 00:11:42.880]   Look at the arrogance.
[00:11:42.880 --> 00:11:44.920]   Look at those people.
[00:11:44.920 --> 00:11:50.560]   Those people who are vile, always selling themselves, always marketing themselves.
[00:11:50.560 --> 00:11:51.560]   Look how good I am.
[00:11:51.560 --> 00:11:53.320]   Look how much I've done.
[00:11:53.320 --> 00:11:54.840]   Look what I've experienced.
[00:11:54.840 --> 00:11:55.840]   Follow me.
[00:11:55.840 --> 00:11:56.840]   Subscribe, subscribe."
[00:11:56.840 --> 00:11:57.840]   Right?
[00:11:57.840 --> 00:12:00.600]   Look at these people.
[00:12:00.600 --> 00:12:07.280]   How is it that these individuals are being blessed by God when I know God is good?
[00:12:07.280 --> 00:12:12.280]   Brothers and sisters, this may not seem like the biggest problem in the world.
[00:12:12.280 --> 00:12:14.880]   However, this is a major issue.
[00:12:14.880 --> 00:12:15.880]   Why?
[00:12:15.880 --> 00:12:19.080]   This is at the core of the struggle of faith.
[00:12:19.080 --> 00:12:22.480]   Will you judge with your eyes on what you see?
[00:12:22.480 --> 00:12:27.040]   Or will you judge by faith, by what God has told you?
[00:12:27.040 --> 00:12:32.680]   What Asaph sees with his eyes is just all kinds of backwardness where wicked people
[00:12:32.680 --> 00:12:33.680]   are blessed.
[00:12:33.680 --> 00:12:36.880]   They have possessions, luxuries, and pleasures.
[00:12:36.880 --> 00:12:41.000]   And then immediately he looks at himself and is like, "The nation of Israel, me and people
[00:12:41.000 --> 00:12:43.560]   like me, we barely have little.
[00:12:43.560 --> 00:12:46.840]   We only have provision for that day.
[00:12:46.840 --> 00:12:49.040]   What gives?"
[00:12:49.040 --> 00:12:51.800]   And so that's my question to you.
[00:12:51.800 --> 00:12:58.560]   Do you currently operate by sight and you judge what's fair and what's not fair based
[00:12:58.560 --> 00:13:01.000]   on what you see with your eyes?
[00:13:01.000 --> 00:13:06.400]   Or are you judging things based on what God has told you, his word?
[00:13:06.400 --> 00:13:11.200]   What he said he's going to do into the future that you have not yet seen?
[00:13:11.200 --> 00:13:13.840]   That's the struggle of faith, isn't it?
[00:13:13.840 --> 00:13:16.680]   Now I'm going to ask this question.
[00:13:16.680 --> 00:13:19.440]   What did Asaph see with his eyes then?
[00:13:19.440 --> 00:13:22.480]   What caused him so much grief?
[00:13:22.480 --> 00:13:27.400]   Let's continue to look at our passage in Psalm 73 verses 4 through 12.
[00:13:27.400 --> 00:13:31.760]   The next section I'm going to call this, the fat cats.
[00:13:31.760 --> 00:13:32.760]   The fat cats.
[00:13:32.760 --> 00:13:33.760]   Why?
[00:13:33.760 --> 00:13:35.320]   Look what he says.
[00:13:35.320 --> 00:13:36.480]   Verses 4.
[00:13:36.480 --> 00:13:39.720]   "For there are no pains in their death.
[00:13:39.720 --> 00:13:41.800]   Their body is fat.
[00:13:41.800 --> 00:13:46.240]   They are not in trouble as other men, nor are they plagued like mankind.
[00:13:46.240 --> 00:13:48.080]   Therefore pride is their necklace.
[00:13:48.080 --> 00:13:49.960]   The garment of violence covers them.
[00:13:49.960 --> 00:13:52.120]   Their eyes bulge with fatness.
[00:13:52.120 --> 00:13:54.400]   The imagination of their hearts from riot.
[00:13:54.400 --> 00:13:56.880]   They mock and wickedly speak of oppression.
[00:13:56.880 --> 00:13:58.040]   They speak from on high.
[00:13:58.040 --> 00:14:02.480]   They set their mouths against the heavens and their tongues parades through the earth.
[00:14:02.480 --> 00:14:06.280]   For as people return to this place when waters of abundance are drunk by them, they say,
[00:14:06.280 --> 00:14:08.040]   'How does God know?
[00:14:08.040 --> 00:14:10.520]   And is their knowledge with the most high?
[00:14:10.520 --> 00:14:13.200]   Behold, these are the wicked.
[00:14:13.200 --> 00:14:14.200]   Always at ease.
[00:14:14.200 --> 00:14:15.760]   They have increased in wealth.'"
[00:14:15.760 --> 00:14:16.760]   What did he see?
[00:14:16.760 --> 00:14:21.240]   I'm going to break down what he saw into three categories.
[00:14:21.240 --> 00:14:22.760]   And I have it right up here.
[00:14:22.760 --> 00:14:27.160]   First, that he just saw like, "They have so much."
[00:14:27.160 --> 00:14:28.360]   Does that sound really childish?
[00:14:28.360 --> 00:14:29.600]   Yes, it does.
[00:14:30.040 --> 00:14:35.240]   When a little boy looks at his friend and his friend has twice the number of toys, candy,
[00:14:35.240 --> 00:14:39.440]   whatever it may be, immediately he's like, "That's not fair."
[00:14:39.440 --> 00:14:40.440]   Why?
[00:14:40.440 --> 00:14:42.120]   Why is that not fair?
[00:14:42.120 --> 00:14:44.160]   Because he has more than me, right?
[00:14:44.160 --> 00:14:45.760]   But that's what he sees though.
[00:14:45.760 --> 00:14:46.760]   Look at verse 7.
[00:14:46.760 --> 00:14:48.680]   "Their eyes are bulging with fatness."
[00:14:48.680 --> 00:14:50.880]   I mean, the imagery is quite descriptive.
[00:14:50.880 --> 00:14:52.920]   It's like, they have so much.
[00:14:52.920 --> 00:14:56.280]   Their flesh is coming out the different sides of their body, right?
[00:14:56.280 --> 00:14:58.200]   They have so much.
[00:14:58.200 --> 00:14:59.200]   I mean, we live in a generation...
[00:14:59.200 --> 00:15:05.160]   Again, remember like for a long, long period of time, throughout history, people lived
[00:15:05.160 --> 00:15:09.440]   in a kind of lifestyle where they had provision for the day.
[00:15:09.440 --> 00:15:12.520]   You guys have probably heard that most of the people throughout all of history didn't
[00:15:12.520 --> 00:15:17.680]   have, you know, shoes for running, shoes for tennis, shoes for basketball, and shoes for
[00:15:17.680 --> 00:15:18.680]   style, right?
[00:15:18.680 --> 00:15:23.560]   They had one pair of shoes, one cloak, one whatever it may be.
[00:15:23.560 --> 00:15:27.360]   And he's looking at them like, "Look at how much they have."
[00:15:27.360 --> 00:15:28.360]   It's just spewing out.
[00:15:28.360 --> 00:15:30.680]   Look at their abundance.
[00:15:30.680 --> 00:15:36.840]   My question to you real quickly, have you seen people with museums of possessions and
[00:15:36.840 --> 00:15:37.840]   become jealous?
[00:15:37.840 --> 00:15:43.560]   Recently, I confess, sometimes I watch these silly YouTube videos.
[00:15:43.560 --> 00:15:48.480]   One of the silly ones that I saw was Celine Dion was on car karaoke with the talk show
[00:15:48.480 --> 00:15:49.480]   host.
[00:15:49.480 --> 00:15:50.480]   You guys know what I'm talking about?
[00:15:50.480 --> 00:15:51.480]   Some of you have seen it.
[00:15:51.480 --> 00:15:53.600]   If you haven't, it's kind of funny.
[00:15:53.600 --> 00:15:55.560]   This guy, the talk show host, is in his car.
[00:15:55.560 --> 00:15:59.640]   He has a celebrity who's an amazing singer, and he just starts singing karaoke in the
[00:15:59.640 --> 00:16:00.640]   car.
[00:16:00.640 --> 00:16:01.640]   It happened to be Celine Dion.
[00:16:01.640 --> 00:16:05.800]   Crazy figure, one of the most well-known singers in the world, right?
[00:16:05.800 --> 00:16:13.000]   Did you know that she has over 10,000 shoes?
[00:16:13.000 --> 00:16:18.560]   She has to have a separate building to house her shoes.
[00:16:18.560 --> 00:16:24.560]   They've created some kind of mechanical structure to produce where they could have a screen.
[00:16:24.560 --> 00:16:27.440]   She looks up certain shoes, and it comes to her.
[00:16:27.440 --> 00:16:29.400]   That's insane.
[00:16:29.400 --> 00:16:32.840]   What happened was that the talk show host brought some of her shoes and said, "You have
[00:16:32.840 --> 00:16:33.840]   too many.
[00:16:33.840 --> 00:16:34.840]   Give it away."
[00:16:34.840 --> 00:16:35.840]   She was like, "No."
[00:16:35.840 --> 00:16:37.960]   Then she just started passing them out.
[00:16:37.960 --> 00:16:40.920]   She rolled down the window like, "Hey," and everyone was like, "Oh my God, it's Celine
[00:16:40.920 --> 00:16:43.000]   Dion," and then she would pass out her shoes.
[00:16:43.000 --> 00:16:45.120]   I'm sitting there, kind of dumbfounded.
[00:16:45.120 --> 00:16:46.120]   Why?
[00:16:46.120 --> 00:16:47.120]   Because I all of a sudden had this reaction.
[00:16:47.120 --> 00:16:49.960]   "She's going to give away those shoes?
[00:16:49.960 --> 00:16:50.960]   Those shoes are quite nice."
[00:16:50.960 --> 00:16:51.960]   I was like, "What am I doing?
[00:16:51.960 --> 00:16:52.960]   Put this away."
[00:16:52.960 --> 00:17:01.080]   Now, why do I bring up that silly scenario is because I'm willing to bet that when you
[00:17:01.080 --> 00:17:04.000]   hear something like that, half of you says, "That's ridiculous."
[00:17:04.000 --> 00:17:08.240]   The other half of you says, "That'd be kind of cool," right?
[00:17:08.240 --> 00:17:11.320]   Because I know some of you have shoe collections.
[00:17:11.320 --> 00:17:14.280]   Part of you thinks it would be nice to have a machine that comes around when you pick
[00:17:14.280 --> 00:17:17.520]   the shoe and it matches your outfit and just comes to you.
[00:17:17.520 --> 00:17:20.640]   Now, the shoes are my cup of tea.
[00:17:20.640 --> 00:17:22.480]   Do you know who I kind of envy?
[00:17:22.480 --> 00:17:24.320]   Have you guys heard of Jay Leno?
[00:17:24.320 --> 00:17:27.280]   Do you know how many cars he owns?
[00:17:27.280 --> 00:17:29.280]   342 cars.
[00:17:29.280 --> 00:17:32.840]   Some, some of the rarest in the world.
[00:17:32.840 --> 00:17:34.520]   Does he have a separate building for those cars?
[00:17:34.520 --> 00:17:35.520]   Of course he does.
[00:17:35.520 --> 00:17:36.520]   He has multiple.
[00:17:36.520 --> 00:17:39.200]   Now, why do I bring this up?
[00:17:39.200 --> 00:17:44.040]   Not because I'm trying to just simply talk about these famous actors, famous talk show
[00:17:44.040 --> 00:17:49.120]   hosts and singers, but because those videos have millions of hits.
[00:17:49.120 --> 00:17:55.360]   Because Jay Leno has his own channel just on going, walking around his cars.
[00:17:55.360 --> 00:17:57.320]   And people envy that.
[00:17:57.320 --> 00:18:00.480]   I'm confessing for you right now.
[00:18:00.480 --> 00:18:03.560]   People envy that stuff.
[00:18:03.560 --> 00:18:05.600]   That could cause a dilemma for you.
[00:18:05.600 --> 00:18:07.520]   It could cause your heart to stumble.
[00:18:07.520 --> 00:18:08.520]   Yes?
[00:18:08.520 --> 00:18:11.080]   Now, you might be sitting there like, I'm going to be honest, man.
[00:18:11.080 --> 00:18:13.080]   I'm very content living in my apartment.
[00:18:13.080 --> 00:18:15.160]   I don't need 50,000 pairs of clothes.
[00:18:15.160 --> 00:18:20.880]   I literally have like six pairs of clothes, like outfits in my closet, and I'm good.
[00:18:20.880 --> 00:18:21.880]   Okay.
[00:18:21.880 --> 00:18:23.120]   I get that.
[00:18:23.120 --> 00:18:26.840]   But I'm willing to bet many of us are tempted by the next thing, which is the wicked are
[00:18:26.840 --> 00:18:28.240]   more free.
[00:18:28.240 --> 00:18:29.520]   Think about what he says here.
[00:18:29.520 --> 00:18:33.040]   He says there's no pain in their death.
[00:18:33.040 --> 00:18:34.760]   He says there's no trouble.
[00:18:34.760 --> 00:18:36.060]   There's no plague.
[00:18:36.060 --> 00:18:37.060]   There's no limitation.
[00:18:37.060 --> 00:18:38.060]   Why?
[00:18:38.060 --> 00:18:42.160]   Because when nations run riot, look at what he's talking about.
[00:18:42.160 --> 00:18:43.640]   They always are at what?
[00:18:43.640 --> 00:18:44.640]   Verse 12.
[00:18:44.640 --> 00:18:45.640]   Ease.
[00:18:45.640 --> 00:18:51.360]   How many of you would die for at least a month with no stress?
[00:18:51.360 --> 00:18:53.920]   Right?
[00:18:53.920 --> 00:18:58.560]   A vast array of counseling scenarios happen because there's so much stress in your workplace,
[00:18:58.560 --> 00:19:00.120]   so much stress in your home.
[00:19:00.120 --> 00:19:04.160]   The expectations of your family, the expectations of the people around you, the expectations
[00:19:04.160 --> 00:19:09.220]   of people who are dependent on you is so burdensome.
[00:19:09.220 --> 00:19:13.560]   But the rich, the wicked, they're at so much ease.
[00:19:13.560 --> 00:19:20.420]   They have no pain, no troubles, no burden, no sickness.
[00:19:20.420 --> 00:19:22.900]   And then there can be a sense of bitterness.
[00:19:22.900 --> 00:19:24.620]   I've actually heard people talk like that.
[00:19:24.620 --> 00:19:29.220]   It's like, "You know, one day I wish that guy, he needs to suffer a little bit."
[00:19:29.220 --> 00:19:32.740]   Not that I would wish ill upon their soul, but he needs to suffer a little bit because
[00:19:32.740 --> 00:19:37.540]   man, that fool does not understand what it means to live in this world.
[00:19:37.540 --> 00:19:40.260]   Have you ever thought like that?
[00:19:40.260 --> 00:19:45.900]   Some of us are tempted by this and I'd be willing to bet that now in our day, you know,
[00:19:45.900 --> 00:19:50.140]   having huge mansions, all that stuff is overrated.
[00:19:50.140 --> 00:19:54.900]   But some of us would love to have the kind of freedom where we don't have to be burdened
[00:19:54.900 --> 00:19:55.900]   by stuff.
[00:19:55.900 --> 00:19:58.380]   We don't have to be stressed.
[00:19:58.380 --> 00:19:59.420]   Right?
[00:19:59.420 --> 00:20:03.100]   But you know, he also says they're so proud.
[00:20:03.100 --> 00:20:05.420]   They can just let their mouths run wild.
[00:20:05.420 --> 00:20:06.420]   They say all this stuff.
[00:20:06.420 --> 00:20:07.420]   They're like, "You know what?
[00:20:07.420 --> 00:20:08.660]   I'm going to speak my mind."
[00:20:08.660 --> 00:20:10.860]   And then they boast, "Look what I've done."
[00:20:10.860 --> 00:20:14.620]   And you know what's really crazy?
[00:20:14.620 --> 00:20:17.780]   Our generation eats that up.
[00:20:17.780 --> 00:20:19.480]   Seriously.
