
[00:00:00.000 --> 00:00:07.000]   Chapter 46 and 47
[00:03:37.000 --> 00:03:40.000]   Enslaved them. They take them into captivity, right?
[00:03:40.000 --> 00:03:46.000]   They take all the leaders, all the prominent people, right?
[00:03:46.000 --> 00:03:47.000]   And they take them into captivity.
[00:03:47.000 --> 00:03:51.000]   So if you look at the language in verse 40, chapter 1, or 46.1,
[00:03:51.000 --> 00:03:55.000]   "They stoop down, they bow down together, they cannot save the burden,
[00:03:55.000 --> 00:03:57.000]   but they themselves go into captivity."
[00:03:57.000 --> 00:04:03.000]   So he's talking about how they're being carried out into captivity.
[00:04:03.000 --> 00:04:07.000]   And these idols that they're taking into captivity can't save you.
[00:04:07.000 --> 00:04:09.000]   They themselves are going to go into captivity, right?
[00:04:09.000 --> 00:04:14.000]   So this is an illustration of Israel being taken into captivity
[00:04:14.000 --> 00:04:18.000]   and the idols that Israel trusted to save them.
[00:04:18.000 --> 00:04:21.000]   So God is rebuking them saying like, "They can't even save themselves.
[00:04:21.000 --> 00:04:26.000]   Why would you rely on them?"
[00:04:26.000 --> 00:04:32.000]   And so their idols have become a burden.
[00:04:32.000 --> 00:04:35.000]   All they are is a burden that needs to be carried with you.
[00:04:35.000 --> 00:04:45.000]   But in the end, all they are is a burden.
[00:04:45.000 --> 00:04:47.000]   So continue on. The second question is,
[00:04:47.000 --> 00:04:51.000]   "What contrast does God make with the idols of Babylon in verse 2?"
[00:04:51.000 --> 00:04:54.000]   So let's look at verse 2.
[00:04:54.000 --> 00:04:57.000]   They stoop, they bow down together, they cannot save the burden,
[00:04:57.000 --> 00:05:00.000]   but they themselves go into captivity.
[00:05:00.000 --> 00:05:03.000]   But in contrast, verse 4, "Even to your old age I am He,
[00:05:03.000 --> 00:05:05.000]   and to gray hairs I will carry you.
[00:05:05.000 --> 00:05:09.000]   I have made, and I will bear, and I will carry, and will save."
[00:05:09.000 --> 00:05:15.000]   So what contrast does He make?
[00:05:15.000 --> 00:05:20.000]   How these idols are being carried into captivity,
[00:05:20.000 --> 00:05:22.000]   but they can't carry you. You have to carry them.
[00:05:22.000 --> 00:05:28.000]   But then He says, "But I, the only God, are going to end up carrying you."
[00:05:28.000 --> 00:05:31.000]   So again, it's meant to be a contrast with the idol
[00:05:31.000 --> 00:05:39.000]   between the God that they serve.
[00:05:39.000 --> 00:05:56.000]   So they need to be carried, but the true God will carry them.
[00:05:56.000 --> 00:06:00.000]   So even though the rebuke is against the Babylonians,
[00:06:00.000 --> 00:06:02.000]   He is establishing again the nation of Israel,
[00:06:02.000 --> 00:06:05.000]   they were the ones who carried these idols.
[00:06:05.000 --> 00:06:08.000]   Right? They carried these, these are the idols that they trusted.
[00:06:08.000 --> 00:06:11.000]   Now why did the Israelites have idols, the Babylonians,
[00:06:11.000 --> 00:06:15.000]   the idols with them? And why were they, when they were taken into captivity,
[00:06:15.000 --> 00:06:18.000]   take these idols with them?
[00:06:18.000 --> 00:06:21.000]   Do you understand the question?
[00:06:21.000 --> 00:06:24.000]   It seems like they didn't discover the idols in Babylon.
[00:06:24.000 --> 00:06:27.000]   Right? Look at the language. Look at verse 2.
[00:06:27.000 --> 00:06:30.000]   All right, in verse 1, "Bellow bows down, nevel stoops,
[00:06:30.000 --> 00:06:32.000]   their idols are on beasts and livestock."
[00:06:32.000 --> 00:06:36.000]   In other words, they're on the beasts being taken into captivity.
[00:06:36.000 --> 00:06:40.000]   These things carry, these things you carry, who are the you?
[00:06:40.000 --> 00:06:46.000]   Israelites, right? These things you carry are born as burdens on weary beasts.
[00:06:46.000 --> 00:06:49.000]   So the Israelites had them.
[00:06:49.000 --> 00:06:52.000]   They're Babylonian idols, and they had them,
[00:06:52.000 --> 00:06:56.000]   and then they're going in, relying on them to deliver them.
[00:06:56.000 --> 00:07:00.000]   Right? And so God is saying, all these are our burdens
[00:07:00.000 --> 00:07:03.000]   upon the beasts that are carrying you. They have to carry these idols too.
[00:07:03.000 --> 00:07:08.000]   But why did the Israelites have the Babylonians' idols with them?
[00:07:08.000 --> 00:07:13.000]   And why were they carrying it into Babylon?
[00:07:13.000 --> 00:07:16.000]   You understand the question?
[00:07:16.000 --> 00:07:38.000]   [inaudible]
[00:07:38.000 --> 00:07:41.000]   So obviously they're worthless. I mean, that's established.
[00:07:41.000 --> 00:07:44.000]   They're idols, and you have to make them. Right?
[00:07:44.000 --> 00:07:47.000]   And they have no way to protect you.
[00:07:47.000 --> 00:07:50.000]   But why did the Israelites have Babylonians' idols with them?
[00:07:50.000 --> 00:07:53.000]   And why were they carrying it into Babylon?
[00:07:53.000 --> 00:08:21.000]   [inaudible]
[00:08:21.000 --> 00:08:23.000]   Do you hear that?
[00:08:23.000 --> 00:08:28.000]   It may be for business reasons why they did that, but again, the rebuke isn't about business.
[00:08:28.000 --> 00:08:31.000]   It's them actually worshipping these idols. Right?
[00:08:31.000 --> 00:08:37.000]   If you think about it, when we bring the Gospel to poorer areas of the world,
[00:08:37.000 --> 00:08:40.000]   a lot of times they receive the Gospel because they think that if they become Christians,
[00:08:40.000 --> 00:08:44.000]   they're going to have what we have. Money. Right?
[00:08:44.000 --> 00:08:49.000]   So a lot of times the people are receptive, not because they believe in the Gospel itself,
[00:08:49.000 --> 00:08:54.000]   but they think that if I believe what you believe, am I going to have what you have?
[00:08:54.000 --> 00:08:57.000]   And so a lot of times the response isn't really genuine.
[00:08:57.000 --> 00:09:02.000]   And it kind of takes time. And then they realize that when they don't become rich after they become Christian,
[00:09:02.000 --> 00:09:04.000]   a lot of people end up backsliding too.
[00:09:04.000 --> 00:09:08.000]   That's something that I notice as we travel around and share the Gospel.
[00:09:08.000 --> 00:09:11.000]   A lot of times they're hoping to get rich by becoming Christians,
[00:09:11.000 --> 00:09:15.000]   because America is related to Christianity. Right?
[00:09:15.000 --> 00:09:17.000]   I think that's probably what was happening around there,
[00:09:17.000 --> 00:09:19.000]   because the Babylonians were the superpower.
[00:09:19.000 --> 00:09:23.000]   And so a lot of them who are worshipping idols, I mean they weren't just worshipping any idols,
[00:09:23.000 --> 00:09:28.000]   they're probably worshipping idols that they thought were successful.
[00:09:28.000 --> 00:09:32.000]   And who were the successful, you know, people who were successful at that time?
[00:09:32.000 --> 00:09:37.000]   The Syrians, the Babylonians. So these idols didn't come from nowhere.
[00:09:37.000 --> 00:09:41.000]   So when they went into Canaan, what idols did they worship there?
[00:09:41.000 --> 00:09:45.000]   Asherah, Baal, because they were the ones that they worshipped.
[00:09:45.000 --> 00:09:50.000]   So these guys go in there and their crops are plenty and they're wealthy,
[00:09:50.000 --> 00:09:54.000]   and they have things that they want, so they adopt their idols, right?
[00:09:54.000 --> 00:09:57.000]   That they would worship, hoping that they can have what they have.
[00:09:57.000 --> 00:10:03.000]   So it looks like the Israelites adopted some of the idols in Babylon,
[00:10:03.000 --> 00:10:09.000]   and when they were taken into captivity, remember one of the rebukes of what God said in the previous chapter?
[00:10:09.000 --> 00:10:13.000]   He said He brought disaster upon them, and how did they respond?
[00:10:13.000 --> 00:10:18.000]   They didn't recognize, right? They didn't recognize that it was God.
[00:10:18.000 --> 00:10:25.000]   And they remained obstinate. So even as they're being rebuked and being taken into captivity,
[00:10:25.000 --> 00:10:28.000]   some of the Israelites were still holding on to these idols.
[00:10:28.000 --> 00:10:32.000]   And so that's what He's rebuking. But you're carrying these burdens,
[00:10:32.000 --> 00:10:35.000]   and all they are are extra burden, they can't carry you.
[00:10:35.000 --> 00:10:38.000]   And so He's contrasting what they're putting their hopes in,
[00:10:38.000 --> 00:10:41.000]   but in verse 4 it says, "I am the only true God." Right?
[00:10:41.000 --> 00:10:46.000]   So I think that's probably why they had it with them, why they're carrying it in.
[00:10:46.000 --> 00:10:52.000]   Again, it's a promise God will remain with them and carry them until old age.
[00:10:52.000 --> 00:10:57.000]   He says He made, He's the one who made, He's the one who will bear,
[00:10:57.000 --> 00:11:00.000]   He's the one who will carry, and He's the one who will save.
[00:11:00.000 --> 00:11:09.000]   Reminding them that all these things, like you're the one who made the idols,
[00:11:09.000 --> 00:11:12.000]   you're the one who will end up bearing them, you're the ones who will carry them,
[00:11:12.000 --> 00:11:15.000]   and then they can't save you. Right?
[00:11:15.000 --> 00:11:23.000]   So all of this stuff is in contrast to what He was saying about the idols. Right?
[00:11:23.000 --> 00:11:31.000]   Again, this is the same tender care that we saw in Luke chapter 12, 6-7,
[00:11:31.000 --> 00:11:36.000]   where God describes Himself, again previously He described Himself
[00:11:36.000 --> 00:11:40.000]   like as a caring mother, "I know you in the mother's womb." Right?
[00:11:40.000 --> 00:11:46.000]   And here again He's describing how He tenderly cares and loves them.
[00:11:46.000 --> 00:11:50.000]   Or in the passage, it says, "Are not five sparrows sold for two pennies,
[00:11:50.000 --> 00:11:52.000]   and not one of them is forgotten before God?
[00:11:52.000 --> 00:11:55.000]   Why, even the hairs of your head are all numbered.
[00:11:55.000 --> 00:11:58.000]   Fear not, you are of more value than many sparrows."
[00:11:58.000 --> 00:12:03.000]   So again, that's basically, you know, it's the same God that is caring for
[00:12:03.000 --> 00:12:16.000]   the nation of Israel, who's promising the same care to the church.
[00:12:16.000 --> 00:12:21.000]   Repeatedly, over and over again, when God calls His people to repentance,
[00:12:21.000 --> 00:12:25.000]   "Remember," He says, He keeps saying, "Remember, remember." Right?
[00:12:25.000 --> 00:12:31.000]   What is it that He's asking them to remember?
[00:12:31.000 --> 00:12:34.000]   And why? Why is He asking them to remember this?
[00:12:34.000 --> 00:12:37.000]   He says to remember to be strong. Right?
[00:12:37.000 --> 00:12:40.000]   To not to be shaky.
[00:12:40.000 --> 00:12:43.000]   Because the moment that they forget who it is that they worship,
[00:12:43.000 --> 00:12:48.000]   and who it is that they love, that loves them, they begin to stray.
[00:12:48.000 --> 00:12:55.000]   So, I think in the ESV, it says, "Remember to,"
[00:12:55.000 --> 00:12:57.000]   what verse are we looking at? Verse 8.
[00:12:57.000 --> 00:13:00.000]   "Remember this and stand firm."
[00:13:00.000 --> 00:13:07.000]   In the King James, literally it says, "Remember and be a man." Right?
[00:13:07.000 --> 00:13:11.000]   That's probably more convicting for men. Right? Be a man. Right?
[00:13:11.000 --> 00:13:16.000]   If you want to be a man, remember who God is that you worship.
[00:13:16.000 --> 00:13:22.000]   Remember that God is the only God. He alone controls human history.
[00:13:22.000 --> 00:13:26.000]   So He goes, again, you know, "Remember the former things of old,
[00:13:26.000 --> 00:13:30.000]   for I am God and there is no other. I am God and there is none like me.
[00:13:30.000 --> 00:13:34.000]   Declaring the end from the beginning and from the ancient times things not yet done.
[00:13:34.000 --> 00:13:37.000]   Saying, 'My counsel shall stand, and I will accomplish all my purpose.'"
[00:13:37.000 --> 00:13:41.000]   So when He says, "My counsel shall stand," right,
[00:13:41.000 --> 00:13:46.000]   what do you think that's in reference to?
[00:13:46.000 --> 00:13:49.000]   The covenant that He made with Israel. Right?
[00:13:49.000 --> 00:13:52.000]   And how He's been faithful all throughout,
[00:13:52.000 --> 00:13:58.000]   even in the midst of their rebellion and sinfulness, God is faithful to who?
[00:13:58.000 --> 00:14:01.000]   To Himself. To Hisself and His promises. Right?
[00:14:01.000 --> 00:14:03.000]   His faithfulness is not based upon them.
[00:14:03.000 --> 00:14:09.000]   His faithfulness was based upon the unilateral covenant that He makes with the nation of Israel.
[00:14:09.000 --> 00:14:12.000]   And so He says, "Remember." Right?
[00:14:12.000 --> 00:14:16.000]   You guys keep going to these idols thinking that if you worship their idols
[00:14:16.000 --> 00:14:18.000]   that you're going to get what they have.
[00:14:18.000 --> 00:14:22.000]   And then what's going to happen to these people that you envy?
[00:14:22.000 --> 00:14:26.000]   That you think that somehow if you worship their idols you're going to become like the Babylonians.
[00:14:26.000 --> 00:14:29.000]   What does He say? Right?
[00:14:29.000 --> 00:14:33.000]   All these things that you envy in Babylon are going to come to nothing.
[00:14:33.000 --> 00:14:37.000]   They're all going to be burned up too. They're all going to come under judgment. Right?
[00:14:37.000 --> 00:14:43.000]   So He keeps telling them, "Even though you may not see for the moment with your eyes what God is doing,
[00:14:43.000 --> 00:14:50.000]   but remember who He is. Remember that He's the God of the covenant." Right?
[00:14:50.000 --> 00:14:54.000]   How is He going to do this? He said He's going to raise up the bird of prey from the east.
[00:14:54.000 --> 00:14:58.000]   And who is that in reference to? Cyrus.
[00:14:58.000 --> 00:15:01.000]   Okay, and we talked about that last week. Cyrus.
[00:15:01.000 --> 00:15:06.000]   And how many years before Cyrus shows up and fulfills this prophecy,
[00:15:06.000 --> 00:15:10.000]   when this is being written?
[00:15:10.000 --> 00:15:14.000]   About 200 years. 150 to 200 years. Right?
[00:15:14.000 --> 00:15:19.000]   So He said, "Cyrus is going to be raised up and He's going to deliver you from the Babylonians
[00:15:19.000 --> 00:15:25.000]   and they're going to be crushed by My servant, King Cyrus." Right?
[00:15:25.000 --> 00:15:30.000]   And He says, "Even this great king of Persia is ultimately under His control."
[00:15:30.000 --> 00:15:36.000]   Which again, 200 years prior to it happening, it would have sounded ridiculous.
[00:15:36.000 --> 00:15:41.000]   Right? God's going to raise up Persia, the most powerful nation at that particular time,
[00:15:41.000 --> 00:15:47.000]   all for the purpose of delivering this insignificant group of people. Right?
[00:15:47.000 --> 00:15:50.000]   And then when it happens, is the whole nation returned?
[00:15:50.000 --> 00:15:56.000]   Very small percentage, maybe like 5% of the people who will go into captivity end up returning.
[00:15:56.000 --> 00:15:58.000]   Right? Very small percent of them.
[00:15:58.000 --> 00:16:05.000]   So if you heard it at that time thinking, "Wait a minute, God's going to raise up Persia
[00:16:05.000 --> 00:16:11.000]   to deliver us from them?" It would have sounded ridiculous if it didn't actually happen.
[00:16:11.000 --> 00:16:15.000]   Right? It actually happens exactly like God says.
[00:16:15.000 --> 00:16:19.000]   And in retrospect, we look back at it now, right?
[00:16:19.000 --> 00:16:24.000]   His whole human history was for the purpose of coming of Christ.
[00:16:24.000 --> 00:16:27.000]   So God was doing something much bigger than Persia.
[00:16:27.000 --> 00:16:29.000]   Much bigger than Assyria.
[00:16:29.000 --> 00:16:34.000]   But at that time, it would have sounded ridiculous. Right?
[00:16:34.000 --> 00:16:37.000]   What could be greater than Persia? What could be greater than Assyria?
[00:16:37.000 --> 00:16:39.000]   What could be greater than Egypt? Right?
[00:16:39.000 --> 00:16:41.000]   Coming of the Son of God.
[00:16:41.000 --> 00:16:46.000]   So all of this, He's going to be faithful to these few, few people.
[00:16:46.000 --> 00:16:51.000]   Right? Because His plan was to bring His Son through those people to save the world.
[00:16:51.000 --> 00:16:57.000]   It wasn't just about Assyria. It wasn't just about that area. Right?
[00:16:57.000 --> 00:17:01.000]   And He promises them, verse 12 and 13, He says, "Listen to me, you stubborn heart,
[00:17:01.000 --> 00:17:06.000]   you who are far from righteousness." Again, He's talking to Israel. Right?
[00:17:06.000 --> 00:17:11.000]   In other words, He said, "I'm being faithful to you, not because you're righteous."
[00:17:11.000 --> 00:17:14.000]   He said, "You're stubborn of heart, and righteousness is far from you,
[00:17:14.000 --> 00:17:18.000]   but I bring near My righteousness, and it is not far off.
[00:17:18.000 --> 00:17:20.000]   And My salvation will not delay.
[00:17:20.000 --> 00:17:23.000]   And I will put salvation in Zion for Israel, My glory."
[00:17:23.000 --> 00:17:28.000]   In other words, what is He saying? You're not going to deserve any of this. Right?
[00:17:28.000 --> 00:17:33.000]   The salvation that's going to come isn't something you're going to earn. Right?
[00:17:33.000 --> 00:17:38.000]   Because you are—righteousness is far from you. Right?
[00:17:38.000 --> 00:17:42.000]   Now we obviously, in retrospect, we look back at it, and say,
[00:17:42.000 --> 00:17:55.000]   He's clearly talking about Christ, and what He was going to do.
[00:17:55.000 --> 00:17:59.000]   Yeah. So I don't know about you, but when you take a step back,
[00:17:59.000 --> 00:18:03.000]   and you really let it sink in, what Isaiah is saying,
[00:18:03.000 --> 00:18:07.000]   and what God is doing in the midst of history, you know, like,
[00:18:07.000 --> 00:18:13.000]   I think we get into so much problem, and we create so many problems,
[00:18:13.000 --> 00:18:20.000]   because we have a natural, like, default setting, where we're the center.
[00:18:20.000 --> 00:18:22.000]   You understand what I'm saying?
[00:18:22.000 --> 00:18:26.000]   When, like, what is God doing, like, with me?
[00:18:26.000 --> 00:18:30.000]   You know what I mean? Like, what is God's will for my life?
[00:18:30.000 --> 00:18:33.000]   Do you know what I'm saying? And we get so caught up in trying to figure that out,
[00:18:33.000 --> 00:18:35.000]   and trying to adjust all of these things.
[00:18:35.000 --> 00:18:37.000]   Like, what is God doing with me?
[00:18:37.000 --> 00:18:41.000]   Not recognizing, like, this is what God's been doing in history.
[00:18:41.000 --> 00:18:44.000]   This is what God is doing now, and this is what God will continue to do.
[00:18:44.000 --> 00:18:49.000]   So the right question really should be, what am I doing, right?
[00:18:49.000 --> 00:18:53.000]   How does my life fit into this, right?
[00:18:53.000 --> 00:19:00.000]   If this is what God's doing, if this is, He's orchestrating the raising up of nations,
[00:19:00.000 --> 00:19:04.000]   orchestrating kings, and rulers, and politicians, right?
[00:19:04.000 --> 00:19:09.000]   He's orchestrating all of this for the purpose of salvation of mankind.
[00:19:09.000 --> 00:19:12.000]   And this is how He's always been doing.
[00:19:12.000 --> 00:19:17.000]   This is why Christ came. This is why He established the church, right?
[00:19:17.000 --> 00:19:21.000]   And this is what He's trying to accomplish in our lives, right?
[00:19:21.000 --> 00:19:26.000]   So I think a lot of the times the frustration and confusion comes because we separate God's will,
[00:19:26.000 --> 00:19:33.000]   and then His will for me and my life, and then somehow, like, it's not connected.
[00:19:33.000 --> 00:19:39.000]   You know? But I don't know about you, but, you know, this is a reminder to me,
[00:19:39.000 --> 00:19:51.000]   like, we're a small part of this big picture of what God is doing, right?
[00:19:51.000 --> 00:19:53.000]   What will He do to the pride of Babylon?
[00:19:53.000 --> 00:19:56.000]   I said, you know, Israelites, He's going to be faithful to them.
[00:19:56.000 --> 00:19:59.000]   He raises up Babylon for the purpose of judgment.
[00:19:59.000 --> 00:20:05.000]   But because the Babylonians thought, you know, of course, you know, like, we did it.
[00:20:05.000 --> 00:20:08.000]   It's because we were smart, because we were powerful.
[00:20:08.000 --> 00:20:11.000]   God's going to judge you for your pride, right?
[00:20:11.000 --> 00:20:16.000]   God will humble Babylon of its pride and strip away their throne.
[00:20:16.000 --> 00:20:22.000]   So if you look at chapter 47, verse 1, "Come down and sit in the dust, O virgin daughter of Babylon."
[00:20:22.000 --> 00:20:24.000]   Sit on the ground without a throne.
[00:20:24.000 --> 00:20:29.000]   What image do you get when He's saying, "Sit on the ground"?
[00:20:29.000 --> 00:20:31.000]   He's being humbled.
[00:20:31.000 --> 00:20:36.000]   Like somebody sitting on the throne, instead of sitting on the throne, He said, "You're going to sit in the dust."
[00:20:36.000 --> 00:20:39.000]   "For you shall no more be called tender and delicate."
[00:20:39.000 --> 00:20:43.000]   Why does He use that imagery of tender and delicate?
[00:20:43.000 --> 00:20:56.000]   Young and naive, possibly.
[00:20:56.000 --> 00:21:04.000]   If you notice, as you're reading 47, does He use a feminine description or a masculine description?
[00:21:04.000 --> 00:21:06.000]   It's very feminine.
[00:21:06.000 --> 00:21:09.000]   Like "mistress," right?
[00:21:09.000 --> 00:21:11.000]   There's other stuff.
[00:21:11.000 --> 00:21:16.000]   Hmm?
[00:21:16.000 --> 00:21:19.000]   Yeah, daughter. Anyway, I'm not going to go through all this.
[00:21:19.000 --> 00:21:25.000]   Like, "Strip off your robe, uncover your legs, pass through the rivers, and then your nakedness shall be uncovered."
[00:21:25.000 --> 00:21:28.000]   So all of this stuff that He talks about, it's a female imagery.
[00:21:28.000 --> 00:21:34.000]   Why does God use a female imagery to describe the shame that's going to come upon Babylon?
[00:21:34.000 --> 00:21:36.000]   Why do you think?
[00:21:36.000 --> 00:21:44.000]   Because you would think a mighty nation like Babylon, you would say, you know, you think you're a mighty warrior, you know what I mean?
[00:21:44.000 --> 00:21:48.000]   The lion is going to be turned into a little pipsqueak or whatever.
[00:21:48.000 --> 00:21:55.000]   But He describes it as a delicate mistress or female.
[00:21:55.000 --> 00:21:57.000]   Right?
[00:21:57.000 --> 00:22:06.000]   I don't know if I should kind of demystify the Babylonian mighty country.
[00:22:06.000 --> 00:22:17.000]   Like, it's really this delicate, you know, like you're saying, it's delicate, but it's something that's more...
[00:22:17.000 --> 00:22:25.000]   It's not this, like, giant brick, it's something very soft and delicate and more vulnerable than what, like, nobody can stop.
[00:22:25.000 --> 00:22:29.000]   Babylonians are like, no, it's this vulnerable thing that's going to be ashamed of.
[00:22:29.000 --> 00:22:31.000]   And become as...
[00:22:31.000 --> 00:22:37.000]   Curious.
[00:22:37.000 --> 00:22:45.000]   In the other Pineso, Cyrus later, both had multiple places where it was described, because they had a knowledge of God.
[00:22:45.000 --> 00:22:49.000]   They had some sort of unique, very interesting relationship with God.
[00:22:49.000 --> 00:22:55.000]   And like you were saying earlier, that God was up to a plan much bigger than the nations themselves.
[00:22:55.000 --> 00:23:02.000]   He wasn't just using them, He was actively imparting them with blessing, knowledge, wisdom, discernment.
[00:23:02.000 --> 00:23:06.000]   So, not just so they can become powerful, but also because of God's care for them.
[00:23:06.000 --> 00:23:11.000]   God seems to show affectionate care for the Babylonians and the...
[00:23:11.000 --> 00:23:15.000]   I think the Persians will come later.
[00:23:15.000 --> 00:23:21.000]   Much more so that I think you can see with anything like Canaan or the other nations that just got wiped out.
[00:23:21.000 --> 00:23:24.000]   He was very interested in them becoming...
[00:23:24.000 --> 00:23:29.000]   Following in His will.
[00:23:29.000 --> 00:23:33.000]   So He had not just a plan for them, but a plan for blessing and good for them as well.
[00:23:33.000 --> 00:23:38.000]   Maybe not like covenantally with Israel, but there's definitely a lot of care and investment
[00:23:38.000 --> 00:23:44.000]   through the kings of these nations, the northern nations.
[00:23:44.000 --> 00:23:45.000]   Okay.
[00:23:45.000 --> 00:23:53.000]   Yeah, I mean, they're definitely unlike the Assyrians where God actually is actively raising them and using them.
[00:23:53.000 --> 00:23:57.000]   Think about the historical context of the Babylonians.
[00:23:57.000 --> 00:24:00.000]   Who came before the Babylonians?
[00:24:00.000 --> 00:24:05.000]   Remember when it's the judgment against Assyria? Remember how that's described?
[00:24:05.000 --> 00:24:07.000]   How is Assyria described?
[00:24:07.000 --> 00:24:13.000]   Your captains, your swords, your brutality.
[00:24:13.000 --> 00:24:17.000]   And what you would expect because what the Assyrians were known for.
[00:24:17.000 --> 00:24:21.000]   What were the Babylonians known for?
[00:24:21.000 --> 00:24:23.000]   Art, culture.
[00:24:23.000 --> 00:24:27.000]   So it was almost like they were afraid of the Assyrians because of their brutality.
[00:24:27.000 --> 00:24:30.000]   Where Babylonians...
[00:24:30.000 --> 00:24:36.000]   What was the stumbling block with the Babylonians?
[00:24:36.000 --> 00:24:38.000]   Hmm?
[00:24:38.000 --> 00:24:42.000]   Intelligence, education, wealth.
[00:24:42.000 --> 00:24:43.000]   They were attracted.
[00:24:43.000 --> 00:24:46.000]   Why do you think they had their idols?
[00:24:46.000 --> 00:24:47.000]   Right?
[00:24:47.000 --> 00:24:54.000]   The Assyrians wanted to inflict fear where the Babylonians were kind of like attracting the world to them.
[00:24:54.000 --> 00:25:00.000]   So in the New Testament and in the Book of Revelation, whenever it talks about the world as Babylon,
[00:25:00.000 --> 00:25:04.000]   what is it in reference to?
[00:25:04.000 --> 00:25:07.000]   Like the world's attraction, the temptation of the world.
[00:25:07.000 --> 00:25:12.000]   Right? Where people are like, "I want to be like the Babylonians."
[00:25:12.000 --> 00:25:22.000]   So I think, again, I think the reason why the feminine description is given is because the Babylonians were not known for brutality.
[00:25:22.000 --> 00:25:25.000]   In fact, they were tempted. They want to be like the Babylonians. Right?
[00:25:25.000 --> 00:25:30.000]   So when God gives opportunity for them to return, right?
[00:25:30.000 --> 00:25:35.000]   The majority of the people in Babylon assimilated into the Babylonian culture.
[00:25:35.000 --> 00:25:37.000]   They didn't want to return.
[00:25:37.000 --> 00:25:41.000]   Even when the Persians came, they got pretty comfortable where they were.
[00:25:41.000 --> 00:25:42.000]   Right?
[00:25:42.000 --> 00:25:49.000]   When the Assyrians took over, I mean, if they got free from the Assyrians, it meant freedom from oppression.
[00:25:49.000 --> 00:25:50.000]   Right?
[00:25:50.000 --> 00:25:51.000]   From fear.
[00:25:51.000 --> 00:26:00.000]   But when they got freed from the Babylonians and the Persians, a lot of them didn't want to be free.
