
[00:00:00.000 --> 00:00:02.740]   (audio cuts out)
[00:04:08.620 --> 00:04:11.060]   and this idea of being alert,
[00:04:11.060 --> 00:04:13.440]   especially in a place and in a world
[00:04:13.440 --> 00:04:17.180]   where it's easy to get kind of sleepy.
[00:04:17.180 --> 00:04:21.340]   And so, I don't think there's anything new in this passage.
[00:04:21.340 --> 00:04:25.260]   There's a lot of what we already know.
[00:04:25.260 --> 00:04:27.720]   And the good thing is, this is 1 Peter again.
[00:04:27.720 --> 00:04:30.940]   Last week, Pastor Peter went into chapter one,
[00:04:30.940 --> 00:04:32.380]   and so now we're in chapter five,
[00:04:32.380 --> 00:04:34.200]   kind of at the tail end of the book,
[00:04:34.200 --> 00:04:35.900]   and it's the same people,
[00:04:35.900 --> 00:04:37.780]   the same people that was being addressed last week
[00:04:37.780 --> 00:04:41.080]   is the same people being addressed this week.
[00:04:41.080 --> 00:04:44.780]   They're aliens, they're sojourners, they're exiles,
[00:04:44.780 --> 00:04:48.120]   they are people scattered and persecuted.
[00:04:48.120 --> 00:04:51.700]   And all in all, it's addressing the church,
[00:04:51.700 --> 00:04:55.540]   the church that might be prone
[00:04:55.540 --> 00:04:58.440]   to kind of flapping around a little bit,
[00:04:58.440 --> 00:05:01.320]   and especially in the midst of trials,
[00:05:01.320 --> 00:05:03.520]   especially when you feel like,
[00:05:03.520 --> 00:05:06.900]   man, I don't belong here in this world
[00:05:06.900 --> 00:05:09.080]   because they were migrants.
[00:05:09.800 --> 00:05:12.460]   And now, this command comes out,
[00:05:12.460 --> 00:05:19.260]   this command of being sober, this command of being alert.
[00:05:19.260 --> 00:05:22.020]   A lot of the Apostle Paul, when you read his epistles,
[00:05:22.020 --> 00:05:24.580]   you're going to see a lot of his books
[00:05:24.580 --> 00:05:26.960]   kind of have this logical flow.
[00:05:26.960 --> 00:05:29.300]   And the logical flow for Apostle Paul,
[00:05:29.300 --> 00:05:30.940]   not Peter here, but Paul,
[00:05:30.940 --> 00:05:33.260]   is that the first half, many times,
[00:05:33.260 --> 00:05:36.960]   is going to be very much kind of indicative-based.
[00:05:36.960 --> 00:05:38.960]   So he produces lots of truths,
[00:05:38.960 --> 00:05:41.620]   and then eventually gets into the application.
[00:05:41.620 --> 00:05:44.220]   Peter actually doesn't function that way.
[00:05:44.220 --> 00:05:45.500]   If you look through his book,
[00:05:45.500 --> 00:05:48.040]   1 Peter, through all five chapters,
[00:05:48.040 --> 00:05:49.720]   what you'll see is his imperatives
[00:05:49.720 --> 00:05:51.240]   just scatter all the way through.
[00:05:51.240 --> 00:05:53.920]   He goes in and out from the imperatives
[00:05:53.920 --> 00:05:55.220]   into the indicatives, and back over,
[00:05:55.220 --> 00:05:57.320]   folding in and in again.
[00:05:57.320 --> 00:05:59.600]   And so these commands are, many times,
[00:05:59.600 --> 00:06:03.060]   used as something called the Aorist Imperative.
[00:06:03.060 --> 00:06:04.720]   There's a long list.
[00:06:04.720 --> 00:06:08.000]   Maybe one day you could do a personal study on it.
[00:06:08.000 --> 00:06:11.120]   It's pretty fascinating, actually, when you do.
[00:06:11.120 --> 00:06:12.360]   But these Aorist Imperatives
[00:06:12.360 --> 00:06:14.920]   we'll talk about in just a moment.
[00:06:14.920 --> 00:06:17.020]   But first, let's go into this idea
[00:06:17.020 --> 00:06:21.400]   of this call to be sober, this command to be sober.
[00:06:21.400 --> 00:06:24.700]   The first half of it is, be of sober spirit.
[00:06:24.700 --> 00:06:25.820]   That's what it says.
[00:06:25.820 --> 00:06:26.960]   Be of sober spirit.
[00:06:26.960 --> 00:06:29.040]   So let's define it first.
[00:06:29.040 --> 00:06:32.860]   Being of sober spirit is to be self-controlled.
[00:06:32.860 --> 00:06:37.040]   That's largely what it means, to be self-controlled.
[00:06:38.040 --> 00:06:40.500]   And we have to sit there, pause, and think about that.
[00:06:40.500 --> 00:06:43.660]   He's saying be self-controlled.
[00:06:43.660 --> 00:06:46.900]   And that comes with a lot of thought.
[00:06:46.900 --> 00:06:49.940]   It means to be free of intoxicating influences.
[00:06:49.940 --> 00:06:53.280]   That's what being self-controlled means.
[00:06:53.280 --> 00:06:56.400]   So what does this look like?
[00:06:56.400 --> 00:07:00.560]   Well, we understand here that this is spiritual in nature.
[00:07:00.560 --> 00:07:05.240]   Be spiritually sober is what he's saying.
[00:07:05.240 --> 00:07:09.400]   Be spiritually self-controlled is what he's saying.
[00:07:09.400 --> 00:07:15.600]   Be spiritually free of intoxicating influences.
[00:07:15.600 --> 00:07:20.700]   Spiritually, you're in control of your thought process.
[00:07:20.700 --> 00:07:24.420]   Spiritually, you're in control,
[00:07:24.420 --> 00:07:28.580]   or at least not in danger of, irrational thinking.
[00:07:28.580 --> 00:07:32.720]   Spiritually, you're composed.
[00:07:32.720 --> 00:07:35.000]   You're behaving with restraint,
[00:07:35.000 --> 00:07:36.340]   with moderation.
[00:07:36.340 --> 00:07:41.760]   Spiritually, you're not permitting excess,
[00:07:41.760 --> 00:07:44.220]   impassions, or rashness.
[00:07:44.220 --> 00:07:46.760]   And so some diagnostic questions
[00:07:46.760 --> 00:07:49.260]   we should always be asking is,
[00:07:49.260 --> 00:07:51.300]   we should always be kind of digging up in our lives
[00:07:51.300 --> 00:07:52.760]   when we come across imperatives.
[00:07:52.760 --> 00:07:54.700]   And so I wrote out a few
[00:07:54.700 --> 00:07:57.200]   that hopefully some of it would hit home.
[00:07:57.200 --> 00:07:59.460]   So for you parents, when your kids are acting up
[00:07:59.460 --> 00:08:01.860]   for the eighth time that day,
[00:08:01.860 --> 00:08:05.620]   you're responding out of spiritual soberness.
[00:08:05.620 --> 00:08:11.140]   When a coworker makes a snarky comment against you,
[00:08:11.140 --> 00:08:14.580]   you're responding out of spiritual soberness.
[00:08:14.580 --> 00:08:16.220]   When you have a decision to make at the end of the day
[00:08:16.220 --> 00:08:18.920]   as to what to do with your time,
[00:08:18.920 --> 00:08:22.620]   you're responding in spiritual soberness.
[00:08:22.620 --> 00:08:24.840]   When someone cuts you off on the road,
[00:08:24.840 --> 00:08:26.500]   spiritual soberness.
[00:08:26.500 --> 00:08:30.300]   This is a question to all of us.
[00:08:30.300 --> 00:08:32.540]   Are we spiritually controlled?
[00:08:32.540 --> 00:08:34.620]   Are we spiritually sober?
[00:08:34.620 --> 00:08:37.900]   And that question is so hard
[00:08:37.900 --> 00:08:40.380]   because when we cast a wide net
[00:08:40.380 --> 00:08:42.940]   and try to figure out in our life,
[00:08:42.940 --> 00:08:44.380]   in our day-to-day living,
[00:08:44.380 --> 00:08:46.920]   in my minute-to-minute thinking,
[00:08:46.920 --> 00:08:51.220]   spiritual soberness can't quite be aimed at things, right?
[00:08:51.220 --> 00:08:54.800]   The question is, are you spiritually sober?
[00:08:54.800 --> 00:08:59.660]   Do you have the ability in the midst of life
[00:08:59.660 --> 00:09:01.940]   to not just have the right theology,
[00:09:01.940 --> 00:09:06.140]   but the ability to exercise that theology or that doctrine?
[00:09:06.140 --> 00:09:08.100]   Do you have the right spiritual faculties
[00:09:08.100 --> 00:09:09.940]   at work inside of you?
[00:09:09.940 --> 00:09:13.140]   It's this idea of preaching to yourself
[00:09:13.140 --> 00:09:14.420]   rather than listening to yourself,
[00:09:14.420 --> 00:09:16.800]   that as soon as the alarm goes off
[00:09:16.800 --> 00:09:19.220]   on your phone in the morning,
[00:09:19.220 --> 00:09:20.380]   what kicks in?
[00:09:20.380 --> 00:09:23.380]   Is it spiritual soberness?
[00:09:23.380 --> 00:09:27.880]   Or is the instantaneous reaction going to be
[00:09:29.020 --> 00:09:30.780]   part of the opposite?
[00:09:30.780 --> 00:09:35.940]   What are the first thoughts in your mind in the morning?
[00:09:35.940 --> 00:09:39.420]   Even as you begin your day, where is your attention?
[00:09:39.420 --> 00:09:43.500]   At what point does soberness kick in in your day?
[00:09:43.500 --> 00:09:51.580]   So, that first part is be of sober spirit.
[00:09:51.580 --> 00:09:53.140]   And then there's a second half of this command,
[00:09:53.140 --> 00:09:54.480]   be on the alert.
[00:09:54.480 --> 00:09:56.380]   It's along the same lines,
[00:09:56.380 --> 00:10:00.380]   the idea is to be watchful or to be vigilant.
[00:10:00.380 --> 00:10:02.180]   So, what does this look like?
[00:10:02.180 --> 00:10:04.420]   Again, this is spiritual alertness,
[00:10:04.420 --> 00:10:08.080]   spiritual watchfulness, spiritual vigilance.
[00:10:08.080 --> 00:10:12.540]   You're seeing everything with kind of a kingdom eyes,
[00:10:12.540 --> 00:10:13.900]   a gospel-centered eyes,
[00:10:13.900 --> 00:10:17.240]   or a God-centered God view of the world.
[00:10:17.240 --> 00:10:21.480]   It's a biblical worldview.
[00:10:21.480 --> 00:10:23.100]   Again, some diagnostic questions for you,
[00:10:23.100 --> 00:10:24.580]   you have to ask, because we know this.
[00:10:24.580 --> 00:10:26.580]   This is a problem, we know these commands.
[00:10:26.580 --> 00:10:27.980]   And we know we ought to follow these,
[00:10:27.980 --> 00:10:29.780]   but we have to put these into our lives.
[00:10:29.780 --> 00:10:33.500]   When someone asks you, how are you doing spiritually?
[00:10:33.500 --> 00:10:35.420]   How do you respond to that?
[00:10:35.420 --> 00:10:39.020]   Sometimes the vagueness of how you respond to that question
[00:10:39.020 --> 00:10:40.100]   when someone asks you,
[00:10:40.100 --> 00:10:44.620]   might kind of display your spiritual alertness in your life.
[00:10:44.620 --> 00:10:47.420]   If you're like, how am I doing spiritually?
[00:10:47.420 --> 00:10:49.860]   If you're trying to kind of reach
[00:10:49.860 --> 00:10:51.100]   into the corners of your heart,
[00:10:51.100 --> 00:10:54.380]   and trying to figure out, what am I struggling with?
[00:10:54.380 --> 00:10:59.220]   It might mean that you have not been spiritually alert.
[00:10:59.220 --> 00:11:00.660]   When you look at a non-believing friend,
[00:11:00.660 --> 00:11:04.320]   and you feel no sense of urgency or tension,
[00:11:04.320 --> 00:11:09.060]   it might reveal how alert you are spiritually.
[00:11:09.060 --> 00:11:12.660]   When you're spending time with brothers and sisters,
[00:11:12.660 --> 00:11:13.940]   and you don't have the desire to know
[00:11:13.940 --> 00:11:17.340]   how their walk has been, and instead,
[00:11:17.340 --> 00:11:20.380]   there's this group that I'm a part of at Berean,
[00:11:20.380 --> 00:11:22.620]   it's a Dodgers-Berean chat.
[00:11:23.460 --> 00:11:24.900]   We talk all the time, because right now,
[00:11:24.900 --> 00:11:26.540]   the winter meeting's just closed,
[00:11:26.540 --> 00:11:29.220]   and there's all these trades happening,
[00:11:29.220 --> 00:11:30.820]   and then signings of free agents,
[00:11:30.820 --> 00:11:34.320]   and I'm like, man, we talk for a long time
[00:11:34.320 --> 00:11:37.460]   on that chat group sometimes.
[00:11:37.460 --> 00:11:39.660]   And sometimes I wonder, I sit back and I wonder,
[00:11:39.660 --> 00:11:43.580]   man, I wonder how this guy's doing spiritually.
[00:11:43.580 --> 00:11:47.740]   Do I care?
[00:11:47.740 --> 00:11:52.640]   Again, in dealing with children,
[00:11:53.320 --> 00:11:55.400]   if your primary objective is to get them to behave
[00:11:55.400 --> 00:11:57.040]   and conform to household rules,
[00:11:57.040 --> 00:12:00.600]   it's possible that our spiritual alertness
[00:12:00.600 --> 00:12:02.360]   and awareness is off,
[00:12:02.360 --> 00:12:07.480]   where our victory is when they obey, or when they behave.
[00:12:07.480 --> 00:12:10.720]   When we see the news, the politics,
[00:12:10.720 --> 00:12:13.760]   and we react viscerally from the flesh,
[00:12:13.760 --> 00:12:15.280]   where you feel like, oh, darkness,
[00:12:15.280 --> 00:12:18.400]   and there's hopelessness, or something like that,
[00:12:18.400 --> 00:12:21.520]   the spiritual alertness is off.
[00:12:21.520 --> 00:12:24.040]   So these commands are that, it's to be on the alert,
[00:12:24.040 --> 00:12:27.480]   it's to be aware, it's to be ready, or on guard,
[00:12:27.480 --> 00:12:30.240]   that when you view the world, just generally speaking,
[00:12:30.240 --> 00:12:34.560]   you're able to be sober in your view and understanding
[00:12:34.560 --> 00:12:36.720]   of how things are working.
[00:12:36.720 --> 00:12:40.800]   Because we are prone to the opposite, this is C.
[00:12:40.800 --> 00:12:41.800]   We are prone to the opposite,
[00:12:41.800 --> 00:12:44.640]   that's why he gives these commands.
[00:12:44.640 --> 00:12:46.320]   If we weren't prone to the opposite,
[00:12:46.320 --> 00:12:48.920]   he would not give these commands.
[00:12:48.920 --> 00:12:52.240]   So this is important for us to recognize,
[00:12:52.240 --> 00:12:54.280]   that the proneness in our flesh,
[00:12:54.280 --> 00:12:57.600]   you know that song, Prone to Wander, it's there,
[00:12:57.600 --> 00:13:01.760]   there's a proneness to not be sober, to not be alert.
[00:13:01.760 --> 00:13:08.160]   What is the opposite of sober?
[00:13:08.160 --> 00:13:11.000]   It's to be drunk or inebriated.
[00:13:11.000 --> 00:13:14.400]   It's to be under intoxicating influences.
[00:13:14.400 --> 00:13:17.520]   We're not thinking clearly.
[00:13:17.520 --> 00:13:20.280]   Our spiritual judgment has been impaired.
[00:13:20.280 --> 00:13:23.120]   We've lost control over ourselves.
[00:13:23.120 --> 00:13:28.960]   If we are supposed to discipline ourselves
[00:13:28.960 --> 00:13:32.440]   for the purpose of godliness, we've lost discipline.
[00:13:32.440 --> 00:13:35.200]   We've lost the goal of our lives.
[00:13:35.200 --> 00:13:40.000]   The opposite of alert is distracted.
[00:13:40.000 --> 00:13:42.880]   It's sleepy or asleep.
[00:13:45.120 --> 00:13:48.720]   And especially in this season, it's very easy.
[00:13:48.720 --> 00:13:51.640]   In the simple decisions we make, our spiritual sobriety,
[00:13:51.640 --> 00:13:54.400]   our alertness is put to the test.
[00:13:54.400 --> 00:14:01.360]   In this season, it's really easy to get swept up.
[00:14:01.360 --> 00:14:03.240]   And there is this idea that if we sit still,
[00:14:03.240 --> 00:14:05.840]   we will get swept away.
[00:14:05.840 --> 00:14:08.080]   And I like this idea of mission statement.
[00:14:08.080 --> 00:14:11.840]   A lot of companies have mission statements.
[00:14:11.840 --> 00:14:14.720]   And it's something like, honestly, all people have.
[00:14:14.720 --> 00:14:17.720]   Everyone has some kind of mission statement in life.
[00:14:17.720 --> 00:14:20.440]   We all live living out something that has to do
[00:14:20.440 --> 00:14:23.760]   with what we would deem to be our mission.
[00:14:23.760 --> 00:14:26.520]   That is, that we act upon what we deem
[00:14:26.520 --> 00:14:28.760]   to be the goal in our life.
[00:14:28.760 --> 00:14:31.960]   That's where our actions come from.
[00:14:31.960 --> 00:14:33.640]   And if every believer in this room,
[00:14:33.640 --> 00:14:36.520]   if we were all to sit, pull out a piece of paper,
[00:14:36.520 --> 00:14:40.000]   grab a pen, and we all wrote out our mission statement,
[00:14:40.000 --> 00:14:44.360]   for every believer, ours would sound very similar.
[00:14:44.360 --> 00:14:47.640]   Our mission statement is to live for God's glory.
[00:14:47.640 --> 00:14:52.080]   Our mission statement is to live for His kingdom.
[00:14:52.080 --> 00:14:56.120]   Our mission statement is to love God with all of our hearts,
[00:14:56.120 --> 00:15:00.280]   to go after His purposes, His goals, and not mine.
[00:15:00.280 --> 00:15:07.080]   Actually, my goals come into conformity with His goals.
[00:15:07.080 --> 00:15:10.920]   My will comes into conformity with His will.
[00:15:10.920 --> 00:15:14.080]   There is no personal self kingdom building in my life.
[00:15:14.080 --> 00:15:15.960]   That is my mission statement.
[00:15:15.960 --> 00:15:17.380]   It's His kingdom.
[00:15:17.380 --> 00:15:23.560]   The mission statement says your goal and purpose,
[00:15:23.560 --> 00:15:24.640]   and so that's our question.
[00:15:24.640 --> 00:15:27.840]   What is my goal and what is my purpose in life?
[00:15:27.840 --> 00:15:30.240]   What is the reason that I live?
[00:15:30.240 --> 00:15:34.400]   What do you deem to be most important in your life?
[00:15:34.400 --> 00:15:37.840]   Again, ours would align.
[00:15:37.840 --> 00:15:42.920]   However, how much do your everyday thoughts,
[00:15:42.920 --> 00:15:45.420]   actions, attitudes, decisions,
[00:15:45.420 --> 00:15:50.920]   fall in line with what you wrote down?
[00:15:50.920 --> 00:15:54.120]   And that is where you're going to see soberness,
[00:15:54.120 --> 00:15:55.960]   or lack thereof.
[00:15:55.960 --> 00:15:57.240]   That is where you're going to see,
[00:15:57.240 --> 00:15:59.800]   if I'm making these decisions,
[00:15:59.800 --> 00:16:01.880]   but this is what I want to live for,
[00:16:01.880 --> 00:16:05.640]   if these don't line up, we've lost soberness.
[00:16:05.640 --> 00:16:09.520]   We've lost alertness.
[00:16:09.520 --> 00:16:11.020]   We are inebriated.
[00:16:11.960 --> 00:16:16.680]   We are drunk on some kind of intoxicating influence
[00:16:16.680 --> 00:16:19.000]   of the flesh through the world,
[00:16:19.000 --> 00:16:22.760]   under the control and influence of the enemy.
[00:16:22.760 --> 00:16:29.760]   2 Peter chapter one, verse eight says this.
[00:16:29.760 --> 00:16:31.480]   There's some other stuff around this,
[00:16:31.480 --> 00:16:32.640]   but I'm just gonna read this.
[00:16:32.640 --> 00:16:34.240]   It says, "For if these qualities are yours
[00:16:34.240 --> 00:16:36.520]   "and are increasing, they render you neither useless
[00:16:36.520 --> 00:16:37.840]   "nor unfruitful in the true knowledge
[00:16:37.840 --> 00:16:38.680]   "of our Lord Jesus Christ."
[00:16:38.680 --> 00:16:42.560]   So a whole list of things that Peter listed out
[00:16:42.560 --> 00:16:44.200]   before this in 2 Peter.
[00:16:44.200 --> 00:16:47.360]   But he says, "If these qualities that I previously listed
[00:16:47.360 --> 00:16:49.960]   "are increasing, and if they're yours,
[00:16:49.960 --> 00:16:52.520]   "then, listen, they render you neither useless
[00:16:52.520 --> 00:16:53.800]   "nor unfruitful."
[00:16:53.800 --> 00:16:56.880]   Again, inductive study, a really good thing to do
[00:16:56.880 --> 00:16:58.760]   is just flip it around.
[00:16:58.760 --> 00:17:01.760]   The flip around here is, then,
[00:17:01.760 --> 00:17:04.000]   there is a possibility for people
[00:17:04.000 --> 00:17:06.720]   to be useless and unfruitful.
[00:17:06.720 --> 00:17:09.960]   The Christian can be rendered useless.
[00:17:09.960 --> 00:17:12.520]   The Christian can be rendered unfruitful.
[00:17:12.520 --> 00:17:16.800]   But he says here, if the qualities,
[00:17:16.800 --> 00:17:18.200]   again, we're not gonna go into those qualities,
[00:17:18.200 --> 00:17:19.720]   this is right before this passage.
[00:17:19.720 --> 00:17:22.600]   "But if these qualities are yours and are increasing,
[00:17:22.600 --> 00:17:25.120]   "you will not be useless, you will not be unfruitful
[00:17:25.120 --> 00:17:27.040]   "in the true knowledge of our Lord Jesus Christ."
[00:17:27.040 --> 00:17:28.760]   In verse nine, "For he who lacks these qualities
[00:17:28.760 --> 00:17:30.800]   "is blind or short-sighted, having forgotten
[00:17:30.800 --> 00:17:32.760]   "his purification from his former sins.
[00:17:32.760 --> 00:17:35.960]   "Therefore, brethren, be all the more diligent."
[00:17:35.960 --> 00:17:37.600]   That's another discipline word here.
[00:17:37.600 --> 00:17:39.640]   "To make certain about his calling and choosing you
[00:17:39.640 --> 00:17:41.200]   "for as long as you practice these things."
[00:17:41.200 --> 00:17:43.760]   Again, this action-oriented thing here,
[00:17:43.760 --> 00:17:47.560]   "You practice these things, you will never stumble.
[00:17:47.560 --> 00:17:49.920]   "For in this way, the entrance into the eternal kingdom
[00:17:49.920 --> 00:17:51.600]   "of our Lord and Savior Jesus Christ
[00:17:51.600 --> 00:17:53.800]   "will be abundantly supplied to you."
[00:17:53.800 --> 00:18:00.160]   See, there is this thing where we're called
[00:18:00.160 --> 00:18:03.880]   to actively pursue and to actively live
[00:18:03.880 --> 00:18:06.160]   in a sober type of living and thinking.
[00:18:06.160 --> 00:18:09.960]   See, right now, every day, there's a new deal
[00:18:09.960 --> 00:18:11.520]   on something to purchase.
[00:18:11.520 --> 00:18:17.680]   And so, of course, we know, we all know the drill here.
[00:18:17.680 --> 00:18:20.160]   It's not wrong to buy things.
[00:18:20.160 --> 00:18:22.440]   It's not wrong to desire things, even.
[00:18:22.440 --> 00:18:26.920]   But what we purchase, or even if we don't purchase,
[00:18:26.920 --> 00:18:28.560]   you know, we're sitting there and you sit there
[00:18:28.560 --> 00:18:30.040]   for like five hours contemplating,
[00:18:30.040 --> 00:18:31.680]   should I buy this or not?
[00:18:31.680 --> 00:18:33.240]   Regardless of all that stuff,
[00:18:33.240 --> 00:18:37.040]   they become kind of indicators in our lives
[00:18:37.040 --> 00:18:40.720]   of what we're consumed over, where our attention is,
[00:18:40.720 --> 00:18:46.760]   where we see our heart struggling, battling, contemplating.
[00:18:46.760 --> 00:18:49.480]   So when we see the subject of our contemplation
[00:18:49.480 --> 00:18:53.160]   through the day, it might reveal our sobriety
[00:18:53.160 --> 00:18:54.520]   and our alertness.
[00:18:54.520 --> 00:18:59.320]   A lot of college students in the season of final exams
[00:19:00.360 --> 00:19:01.600]   could be tested.
[00:19:01.600 --> 00:19:03.040]   In a season where our children are headed
[00:19:03.040 --> 00:19:05.360]   towards the long winter breaks, could be tested.
[00:19:05.360 --> 00:19:07.240]   In a season where we're going to spend a lot of time
[00:19:07.240 --> 00:19:09.040]   with family members we don't see all that often,
[00:19:09.040 --> 00:19:10.160]   we can be tested.
[00:19:10.160 --> 00:19:13.760]   Right now, there are just so many holiday parties.
[00:19:13.760 --> 00:19:15.960]   Sometimes, even in the midst of church,
