
[00:00:00.000 --> 00:00:07.780]   Alright, let's get together.
[00:01:51.240 --> 00:01:57.320]   Help us, Lord God, to search through it, to really dig for treasures.
[00:01:57.320 --> 00:02:00.280]   Every part of it, Lord God, speaks to us.
[00:02:00.280 --> 00:02:01.280]   It enlightens us.
[00:02:01.280 --> 00:02:05.760]   It gives us a vision of who you are and what you desire.
[00:02:05.760 --> 00:02:08.800]   We pray that through it that you would teach us to know you better.
[00:02:08.800 --> 00:02:11.080]   We thank you, Father Jesus, and we pray.
[00:02:11.080 --> 00:02:12.080]   Amen.
[00:02:12.080 --> 00:02:17.120]   All right, so the first thing we want to look at is the hermeneutical principle and every
[00:02:17.120 --> 00:02:21.400]   week we're looking through are there any kind of repeated words or phrases that give us
[00:02:21.400 --> 00:02:25.440]   some guidelines as to what you should be looking for.
[00:02:25.440 --> 00:02:28.920]   One of the first things that I mentioned, if you look at the first page that was passed
[00:02:28.920 --> 00:02:34.040]   out, compare translations to see if there are words or phrases that have been translated
[00:02:34.040 --> 00:02:38.960]   differently to clarify certain ambiguous references in the text.
[00:02:38.960 --> 00:02:46.160]   So the four translations that I usually look into is the NASV, ESV, NIV, and the KJV or
[00:02:46.160 --> 00:02:47.160]   the NKJV.
[00:02:47.160 --> 00:02:53.520]   Now, if you have Bible programs or if you're online looking through translations, you can
[00:02:53.520 --> 00:02:56.760]   probably find about 40 or 50 different translations.
[00:02:56.760 --> 00:02:58.280]   You don't need to be comparing all of that.
[00:02:58.280 --> 00:03:05.080]   The reason why I choose these is because of the different philosophies that they used.
[00:03:05.080 --> 00:03:08.120]   The first line is the literal.
[00:03:08.120 --> 00:03:09.520]   King James is the most literal.
[00:03:09.520 --> 00:03:13.440]   King James didn't care if you understood it or not.
[00:03:13.440 --> 00:03:15.480]   They just did not care.
[00:03:15.480 --> 00:03:20.760]   So if that's exactly what it means, that's exactly what they put in there.
[00:03:20.760 --> 00:03:23.720]   Sometimes it makes absolutely no sense in English.
[00:03:23.720 --> 00:03:30.320]   So the reason why I look at King James is when there's certain phrasing that's really,
[00:03:30.320 --> 00:03:36.320]   really awkward, and even for King James sometimes, it's to the point where it makes no sense
[00:03:36.320 --> 00:03:37.320]   at all.
[00:03:37.320 --> 00:03:41.040]   Like I said, King James, it's just put whatever was in Greek, they just put it in.
[00:03:41.040 --> 00:03:45.680]   Even the word order, they follow the exact word order.
[00:03:45.680 --> 00:03:50.560]   But if you have a hard time understanding if something is awkward, you know there's
[00:03:50.560 --> 00:03:54.600]   something in the Greek that they had a hard time translating.
[00:03:54.600 --> 00:03:55.600]   So it wasn't simple.
[00:03:55.600 --> 00:04:01.440]   So if it was, "I ate food," that's not hard to translate in any language.
[00:04:01.440 --> 00:04:06.800]   Maybe the order of the verb and the subject, all of that may be twisted or maybe it would
[00:04:06.800 --> 00:04:09.920]   be in a different order, but that's not hard to translate.
[00:04:09.920 --> 00:04:14.480]   But if you speak two languages or more languages, you know there are certain words or phrases
[00:04:14.480 --> 00:04:17.280]   that you cannot translate.
[00:04:17.280 --> 00:04:20.600]   And so sometimes it would be a single word, but you would have to use a whole phrase to
[00:04:20.600 --> 00:04:23.240]   translate that.
[00:04:23.240 --> 00:04:27.380]   Or sometimes it would be a phrase and there's a good word in the other language that can
[00:04:27.380 --> 00:04:29.640]   summarize the meaning behind that.
[00:04:29.640 --> 00:04:34.680]   So those of you who speak two languages, which probably many of us in this room, or at least
[00:04:34.680 --> 00:04:40.440]   somewhat, you know at least enough that there are certain words that just can't be translated
[00:04:40.440 --> 00:04:41.440]   that way.
[00:04:41.440 --> 00:04:49.840]   So when you compare the translations, you'll see that the words that are not easily translated,
[00:04:49.840 --> 00:04:54.080]   oftentimes you'll see the words differently in each translation or the phrase will come
[00:04:54.080 --> 00:04:56.120]   out differently in each translation.
[00:04:56.120 --> 00:05:00.120]   I know that some of you are already doing that, but that already tells you there's something
[00:05:00.120 --> 00:05:01.600]   going on in the Greek.
[00:05:01.600 --> 00:05:08.280]   Now it doesn't mean that there's hidden meaning, it just means that there wasn't an exact word
[00:05:08.280 --> 00:05:09.940]   that they could have used.
[00:05:09.940 --> 00:05:12.040]   So that's why there's debate as to well this word.
[00:05:12.040 --> 00:05:15.240]   So sometimes it's good to look at all of it.
[00:05:15.240 --> 00:05:18.880]   A perfect example of the word is the word "meno".
[00:05:18.880 --> 00:05:25.240]   It means to abide, and the word abide has many different facets of that word.
[00:05:25.240 --> 00:05:30.400]   And so if you look at the different translations, it'll say "remain", "to continue", "to abide",
[00:05:30.400 --> 00:05:34.120]   and all of that combined is the meaning of that word.
[00:05:34.120 --> 00:05:39.520]   So each translation only picked one that they thought would capture to the best of their
[00:05:39.520 --> 00:05:40.520]   ability.
[00:05:40.520 --> 00:05:43.600]   But if you really want to know, you have to know the meaning behind all of it because
[00:05:43.600 --> 00:05:46.480]   that word encompasses all of it.
[00:05:46.480 --> 00:05:53.360]   So I think getting in the habit of comparing translations is a good way to study the Bible.
[00:05:53.360 --> 00:05:55.280]   So now it's online.
[00:05:55.280 --> 00:06:00.620]   So before I used to have a Bible that had four translations.
[00:06:00.620 --> 00:06:04.240]   So basically New Testament was this thick because it was four translations.
[00:06:04.240 --> 00:06:08.160]   So you open it up and it would have about five or six different translations and the
[00:06:08.160 --> 00:06:09.440]   Greek text.
[00:06:09.440 --> 00:06:12.960]   And then so I was able to look it up like this and show it.
[00:06:12.960 --> 00:06:18.600]   So whenever I looked at that Bible, again, just...
[00:06:18.600 --> 00:06:20.880]   It would be huge.
[00:06:20.880 --> 00:06:24.320]   The four, the three different philosophies of translation...
[00:06:24.320 --> 00:06:27.320]   Did I say something?
[00:06:27.320 --> 00:06:31.280]   Oh yeah, yeah.
[00:06:31.280 --> 00:06:32.280]   Okay.
[00:06:32.280 --> 00:06:38.480]   Somebody already pointed that out to me.
[00:06:38.480 --> 00:06:40.920]   Okay.
[00:06:40.920 --> 00:06:43.640]   You guys can fix it on your own.
[00:06:43.640 --> 00:06:48.360]   So the literal translations are the ones that use the philosophy where they're going to
[00:06:48.360 --> 00:06:51.600]   make it as close to the Greek as possible.
[00:06:51.600 --> 00:06:58.160]   So NASB, King James, and RSV was translated with that philosophy.
[00:06:58.160 --> 00:07:00.880]   So it's not that they made it difficult.
[00:07:00.880 --> 00:07:08.120]   So when it comes to NASB and RSV, they tried to make it so that it's understandable, but
[00:07:08.120 --> 00:07:12.800]   their primary philosophy was they're going to keep it to the Greek as close as possible.
[00:07:12.800 --> 00:07:17.200]   Where King James used the same principle, but they just didn't care.
[00:07:17.200 --> 00:07:19.240]   They just stuck with the Greek.
[00:07:19.240 --> 00:07:23.320]   Dynamic equivalent, NIV, and there are other translations, but the NIV is the one that
[00:07:23.320 --> 00:07:25.080]   most people know about.
[00:07:25.080 --> 00:07:29.800]   Dynamic equivalent is they did their best to translate the Greek text, except when it
[00:07:29.800 --> 00:07:33.080]   came to things that you couldn't understand.
[00:07:33.080 --> 00:07:36.960]   If they phrased it a certain way that it just wouldn't make sense in English, they translated
[00:07:36.960 --> 00:07:39.760]   it for you.
[00:07:39.760 --> 00:07:43.200]   So it's kind of in between the literal and the paraphrase.
[00:07:43.200 --> 00:07:44.700]   That's what the NIV is.
[00:07:44.700 --> 00:07:50.840]   But the reason why NIV is not the best translation to study out of, if you're really trying to
[00:07:50.840 --> 00:07:55.960]   dig, because when it came to certain issues, they translated it for you.
[00:07:55.960 --> 00:08:01.960]   Meaning they basically put into the Bible, this is what this word means.
[00:08:01.960 --> 00:08:03.120]   This is what this phrase means.
[00:08:03.120 --> 00:08:05.320]   This is what Paul meant when he said this.
[00:08:05.320 --> 00:08:10.500]   So they go the extra step and it kind of functions like a commentary.
[00:08:10.500 --> 00:08:12.400]   For the most part, it's a great Bible.
[00:08:12.400 --> 00:08:15.520]   I would say majority of it, that is not an issue.
[00:08:15.520 --> 00:08:21.960]   But there's enough of it in the NIV that as you are studying it, word for word, verse
[00:08:21.960 --> 00:08:26.360]   by verse, chapter by chapter, oftentimes when you compare with other translations, especially
[00:08:26.360 --> 00:08:30.560]   the literal translations, they did a lot of translating for you.
[00:08:30.560 --> 00:08:34.360]   It's almost kind of like reading a commentary rather than the Bible itself.
[00:08:34.360 --> 00:08:41.400]   And then the paraphrase translation, obviously, is they wanted to get the Bible, but they
[00:08:41.400 --> 00:08:44.720]   were more interested that you understood it.
[00:08:44.720 --> 00:08:45.880]   So they paraphrased it.
[00:08:45.880 --> 00:08:52.520]   So I've been going back and forth with Everest, whether this is a dynamic equivalent or not.
[00:08:52.520 --> 00:09:01.440]   The pigeon, P-I-D, not the pigeon, the bird, but the message, the Ebonics Bible, these
[00:09:01.440 --> 00:09:07.400]   are all things that they were more concerned that you understood it in modern language.
[00:09:07.400 --> 00:09:11.560]   Let me read John 3, 16 for you in the pigeon language, okay?
[00:09:11.560 --> 00:09:18.840]   God went get so plenty love and aloha for the people inside the world that he went send
[00:09:18.840 --> 00:09:28.340]   me his one and only boy so that everybody that trust me don't get cut off from God,
[00:09:28.340 --> 00:09:34.680]   but get the real kind life that stay the max forever.
[00:09:34.680 --> 00:09:41.200]   Again, we were going back and forth whether this is dynamic equivalent or not.
[00:09:41.200 --> 00:09:44.800]   I'm not sure about that.
[00:09:44.800 --> 00:09:51.800]   Anyway, the reason why I sometimes compare with the paraphrase translations, because
[00:09:51.800 --> 00:09:56.640]   it's hard to understand in the literal, and even the dynamic equivalent, you kind of have
[00:09:56.640 --> 00:09:58.880]   a hard time understanding what it means.
[00:09:58.880 --> 00:10:02.920]   So when I look at the paraphrase, they actually would have a whole sentence.
[00:10:02.920 --> 00:10:08.640]   It's almost kind of looking at a commentary, that this is what they think that this meant.
[00:10:08.640 --> 00:10:12.960]   So whenever I study the Bible, I have different translations that are open on my computer
[00:10:12.960 --> 00:10:15.940]   and I compare, especially the ones that are difficult to understand.
[00:10:15.940 --> 00:10:22.760]   So in this text that we're looking at, there's some examples of that.
[00:10:22.760 --> 00:10:24.760]   What are some words...
[00:10:24.760 --> 00:10:32.600]   I already got a couple of questions about elementary principle, taking his stand, the
[00:10:32.600 --> 00:10:33.600]   word self-abasement.
[00:10:33.600 --> 00:10:40.400]   These are a lot of words that you look at and say, "Well, what does he mean by that?"
[00:10:40.400 --> 00:10:43.600]   We'll get to that.
[00:10:43.600 --> 00:10:47.200]   So if you look at the different translations, you'll see that those words were translated
[00:10:47.200 --> 00:10:50.400]   differently in different translations.
[00:10:50.400 --> 00:10:52.600]   So you already know what's going on.
[00:10:52.600 --> 00:10:56.320]   There's something going on that couldn't be translated directly.
[00:10:56.320 --> 00:11:04.200]   The word here for self-abasement literally means voluntary humility by own volition.
[00:11:04.200 --> 00:11:12.720]   Now King James straight up said, "Like some voluntary humility, or delight in voluntary
[00:11:12.720 --> 00:11:13.720]   humility."
[00:11:13.720 --> 00:11:14.720]   That's what it says.
[00:11:14.720 --> 00:11:18.080]   But what does that mean?
[00:11:18.080 --> 00:11:27.040]   So the ESV translated asceticism, NIV translated false humility, and then the NASB translated
[00:11:27.040 --> 00:11:28.040]   self-abasement.
[00:11:28.040 --> 00:11:34.520]   So again, you kind of get the idea that there's something going on here that couldn't be translated
[00:11:34.520 --> 00:11:37.080]   literally, so they have to use what?
[00:11:37.080 --> 00:11:39.160]   The context.
[00:11:39.160 --> 00:11:45.760]   The context of what could he have possibly meant by voluntary humility.
[00:11:45.760 --> 00:11:52.640]   So we're not there yet, but since we're here, what do you think he means when you look at
[00:11:52.640 --> 00:11:57.080]   the context?
[00:11:57.080 --> 00:11:59.520]   Voluntary humility.
[00:11:59.520 --> 00:12:07.720]   Let no one keep defrauding you of your prize, but abide delighting in self-abasement.
[00:12:07.720 --> 00:12:09.280]   Look at all the different translations.
[00:12:09.280 --> 00:12:13.600]   Asceticism, false humility, voluntary humility.
[00:12:13.600 --> 00:12:18.040]   What do you think he means by self-abasement?
[00:12:18.040 --> 00:12:25.960]   Looking at the context.
[00:12:25.960 --> 00:12:31.280]   Look at the context of what he's been saying, and what he is saying.
[00:12:31.280 --> 00:12:34.560]   What does it mean to delight in self-abasement?
[00:12:34.560 --> 00:12:47.360]   Are you guys thinking, or just waiting?
[00:12:47.360 --> 00:12:49.400]   What is he talking about in the context?
[00:12:49.400 --> 00:12:50.400]   Faith?
[00:12:50.400 --> 00:12:54.520]   Okay, fake humility.
[00:12:54.520 --> 00:12:58.200]   What is he talking about in the context here though?
[00:12:58.200 --> 00:13:00.080]   Self-denial, right?
[00:13:00.080 --> 00:13:03.240]   Don't do this, don't do that, don't touch this, right?
[00:13:03.240 --> 00:13:07.280]   So basically when they're doing that, what are they doing?
[00:13:07.280 --> 00:13:14.760]   They're presenting themselves as godly by denying themselves, but it's fake, right?
[00:13:14.760 --> 00:13:15.920]   Because what are they doing that for?
[00:13:15.920 --> 00:13:17.560]   They're all of that for what?
[00:13:17.560 --> 00:13:21.080]   For presentation, just like the Pharisees.
[00:13:21.080 --> 00:13:25.400]   When they would fast, they would make sure that everybody knew that they were fasting,
[00:13:25.400 --> 00:13:26.400]   right?
[00:13:26.400 --> 00:13:31.000]   They put on long faces and they're walking around saying, "Hey, I'm fasting, I'm not
[00:13:31.000 --> 00:13:32.000]   eating."
[00:13:32.000 --> 00:13:40.120]   So all of that, that self-denial, this fake godliness on the outside, all for self-righteousness,
[00:13:40.120 --> 00:13:41.760]   right?
[00:13:41.760 --> 00:13:48.880]   So if you look at it in the context, voluntary humility, false humility, asceticism, self-abasement.
[00:13:48.880 --> 00:13:52.840]   So when you look at it, it's like, okay, they translate it in different words, but when
[00:13:52.840 --> 00:13:57.420]   you put that all together within the context in which he's writing it, he's talking about
[00:13:57.420 --> 00:14:04.040]   somebody who's using their humility, but they're not really humble.
[00:14:04.040 --> 00:14:09.360]   They say, "Look at my humility.
[00:14:09.360 --> 00:14:11.400]   I'm the most humble person in the world."
[00:14:11.400 --> 00:14:17.200]   So it's the opposite of humility, it's fake humility.
[00:14:17.200 --> 00:14:23.040]   So that's just an example of looking at the text, looking at the different translations,
[00:14:23.040 --> 00:14:28.840]   see what's going on, dig a little bit further, and then the immediate context is always the
[00:14:28.840 --> 00:14:31.020]   one that you wanna look at, right?
[00:14:31.020 --> 00:14:34.640]   And then if you wanna go a step further than that, you look at cross-references.
[00:14:34.640 --> 00:14:38.760]   Or there are other parts of the Bible where this word is used, and how did Paul and how
[00:14:38.760 --> 00:14:40.940]   did other writers use this word?
[00:14:40.940 --> 00:14:47.080]   And that'll help you to see collectively, "Oh, this is what he means by that."
[00:14:47.080 --> 00:14:53.640]   So when it comes to this, so far I've asked you to not to look at commentaries, not to
[00:14:53.640 --> 00:14:58.180]   read your study Bibles, because I don't want you to jump from the text to someone else's
[00:14:58.180 --> 00:15:02.160]   insights and then say, "I've got an insight," right?
[00:15:02.160 --> 00:15:04.800]   You get in the habit of doing that, you'll be doing that all your life and you'll never
[00:15:04.800 --> 00:15:05.800]   really know the Bible.
[00:15:05.800 --> 00:15:11.000]   You'll know what somebody says about the Bible, but you don't know the Bible itself, okay?
[00:15:11.000 --> 00:15:16.600]   One of the tools that I would want to introduce to you is a Bible dictionary.
[00:15:16.600 --> 00:15:18.080]   So especially for something like this.
[00:15:18.080 --> 00:15:24.120]   So when a word comes out that is hard to understand, the translators had a difficult time, then
[00:15:24.120 --> 00:15:28.360]   that's when a Bible dictionary comes out and you look up that word and look at the literal.
[00:15:28.360 --> 00:15:30.680]   A lot of times it doesn't help, okay?
[00:15:30.680 --> 00:15:31.680]   [laughter]
[00:15:31.680 --> 00:15:39.840]   And the reason why it doesn't help, it'll say, "Humility, lowering yourself," right?
[00:15:39.840 --> 00:15:40.840]   Something like that.
[00:15:40.840 --> 00:15:46.200]   So it doesn't necessarily help until you get to the actual application of it, right?
[00:15:46.200 --> 00:15:55.800]   So if you say, like, "Submission," the literal word is to put yourself under military command
[00:15:55.800 --> 00:15:58.440]   or something to that effect, or stand under something.
[00:15:58.440 --> 00:16:03.000]   Or "Perseverance" is to be under pressure, right?
[00:16:03.000 --> 00:16:05.200]   Standing under pressure, that's a literal understanding of it.
[00:16:05.200 --> 00:16:08.800]   So those type of words, when you look at the literal understanding of it, it gives you
[00:16:08.800 --> 00:16:10.480]   a picture, right?
[00:16:10.480 --> 00:16:14.960]   "Patience" literally means long suffering, suffering for a long period of time.
[00:16:14.960 --> 00:16:21.160]   So those type of things, it helps, but that's not there for every single word.
[00:16:21.160 --> 00:16:27.800]   Sometimes you can get carried away, and sometimes I hear preachers saying, "God says to work
[00:16:27.800 --> 00:16:31.520]   hard, and work hard means to really labor with all your might."
[00:16:31.520 --> 00:16:35.380]   Yeah, that's what "work hard" means, you know what I mean?
[00:16:35.380 --> 00:16:38.640]   But they kinda get carried away thinking, like, if you dig into the Greek, there's some
[00:16:38.640 --> 00:16:42.520]   special meaning that you're gonna be able to find in every single word, in every single
[00:16:42.520 --> 00:16:44.600]   context, it doesn't.
[00:16:44.600 --> 00:16:47.640]   Majority of it is plain in the text itself.
[00:16:47.640 --> 00:16:51.840]   Only when it comes to words like this, where it's clearly they had a hard time translating
[00:16:51.840 --> 00:16:53.560]   it with one word.
[00:16:53.560 --> 00:16:58.360]   Then you can go to the extra help to help you to do that, right?
[00:16:58.360 --> 00:16:59.780]   You don't need to be carried away.
[00:16:59.780 --> 00:17:03.120]   Majority of what you need to know is already in the English, okay?
[00:17:03.120 --> 00:17:04.800]   So that's my point.
[00:17:04.800 --> 00:17:09.080]   Alright, let's look at the outline.
[00:17:09.080 --> 00:17:12.120]   I outlined it in three ways, let no one judge you.
[00:17:12.120 --> 00:17:18.720]   If you look at it, the two words that pop out in verse 16 and 18 is "let no one," right?
[00:17:18.720 --> 00:17:23.180]   Let no one judge you, verse 18, let no one defraud you, right?
[00:17:23.180 --> 00:17:25.560]   So that's the first outline.
[00:17:25.560 --> 00:17:29.640]   Let no one judge you, 18, 19, let no one defraud you.
[00:17:29.640 --> 00:17:34.000]   Again, this is not science, this is just, you know, this is the way I outlined this.
[00:17:34.000 --> 00:17:38.800]   So if I was giving a sermon, or if I was giving a lesson, this is the outline that I see,
[00:17:38.800 --> 00:17:41.480]   and this is how I would break it up, okay?
[00:17:41.480 --> 00:17:46.000]   Because this is, I see his thought flow in this way, okay?
[00:17:46.000 --> 00:17:50.280]   And then the last part, verse 20 to 23, "If you died with Christ, then why do you live
[00:17:50.280 --> 00:17:51.280]   for the world?"
[00:17:51.280 --> 00:17:54.860]   If this happened, why do you do this?
[00:17:54.860 --> 00:17:59.920]   And that's verse 20 to 23, okay?
[00:17:59.920 --> 00:18:05.040]   What's interesting is, if we go back to the previous passage in chapter 2, verse 4, and
[00:18:05.040 --> 00:18:09.680]   then chapter 2, verse 8, it also has the "no one" verse, right?
[00:18:09.680 --> 00:18:14.040]   Let no one delude you, in chapter 2, verse 4, right?
[00:18:14.040 --> 00:18:16.160]   With persuasive speech.
[00:18:16.160 --> 00:18:19.980]   Chapter 2, verse 8, let no one take you captive.
[00:18:19.980 --> 00:18:27.520]   So if you look at these four "no one" statements, chapter 2, verse 4, 8, 16, and 18, the first
[00:18:27.520 --> 00:18:35.440]   two about not, let no one, let no one delude you, let no one take you captive, with false
[00:18:35.440 --> 00:18:38.560]   teaching, okay?
[00:18:38.560 --> 00:18:43.000]   So the two warnings is about false teaching.
[00:18:43.000 --> 00:18:50.120]   The two warnings that are here is the application of that false teaching, okay?
[00:18:50.120 --> 00:18:55.520]   So the "no one" in verse 2 and 8, and then the "no one" in verse 16 and 18 are connected.
[00:18:55.520 --> 00:18:59.520]   Because Paul is basically giving them warning about these false prophets who are coming
[00:18:59.520 --> 00:19:04.600]   in and they're deluding the truth and they're taking you captive, and don't let them judge
[00:19:04.600 --> 00:19:07.540]   you, and don't let them defraud you of your prize.
[00:19:07.540 --> 00:19:13.420]   So the two are, watch out for false teaching, and then the next two is basically watch out
[00:19:13.420 --> 00:19:18.680]   for the, watch out for the application of these false teaching, okay?
[00:19:18.680 --> 00:19:26.680]   All right, so that's where we are.
[00:19:26.680 --> 00:19:36.720]   So therefore, no one, no one, no one judge you, no one defraud you, okay?
[00:19:36.720 --> 00:19:40.160]   Regarding food or drink, and this is a theme that we see here, right?
[00:19:40.160 --> 00:19:43.240]   Do not touch, do not eat, do not taste, right?
[00:19:43.240 --> 00:19:46.960]   About respect for festivals, new moons, and Sabbath day.
[00:19:46.960 --> 00:19:51.160]   Who is this speaking to, Jews or Gentiles?
[00:19:51.160 --> 00:19:55.040]   Clearly, the Jews.
[00:19:55.040 --> 00:19:58.480]   The Gentiles didn't practice the Sabbath, right?
[00:19:58.480 --> 00:20:02.960]   So he's talking to the Judaizers who are coming in and saying, "It is not enough for you to
[00:20:02.960 --> 00:20:04.700]   believe in Jesus.
[00:20:04.700 --> 00:20:06.960]   You have to believe in Jesus and you have to be a Jew."
[00:20:06.960 --> 00:20:10.360]   So you have to first be a Jew to be a Christian.
[00:20:10.360 --> 00:20:13.160]   That's what the basic teaching of the Judaizers were.
[00:20:13.160 --> 00:20:16.680]   So remember, we talked about where Colossae existed.
[00:20:16.680 --> 00:20:19.560]   How close are they to Galatia?
[00:20:19.560 --> 00:20:21.560]   Remember?
[00:20:21.560 --> 00:20:26.280]   Right, they're right there, right?
[00:20:26.280 --> 00:20:30.400]   So remember when Paul wrote Galatians, right?
[00:20:30.400 --> 00:20:33.880]   Because of the concern that the Judaizers were having on the churches, and not just
[00:20:33.880 --> 00:20:35.800]   Galatia but all the churches there.
[00:20:35.800 --> 00:20:37.800]   Colossae is one of the churches there.
[00:20:37.800 --> 00:20:43.560]   So Judaizers had a tremendous influence in that area, that area in Asia Minor, okay?
[00:20:43.560 --> 00:20:48.760]   So he's addressing that issue of these false teachers who are coming in and saying that
[00:20:48.760 --> 00:20:51.640]   you're not free, right?
[00:20:51.640 --> 00:20:53.200]   You still have to obey these laws.
[00:20:53.200 --> 00:20:58.240]   So Paul is writing this to basically saying that, right, don't let them judge you.
[00:20:58.240 --> 00:21:03.200]   In other words, don't let them pressure you to go back to the old system.
[00:21:03.200 --> 00:21:07.400]   These are just these festivals, what to eat, new moon festival, Sabbath.
[00:21:07.400 --> 00:21:12.760]   These are things that's the shadow of what is to come, but the substance belongs to Christ,
[00:21:12.760 --> 00:21:13.920]   okay?
[00:21:13.920 --> 00:21:18.600]   The word for substance, I think somebody asked a question.
[00:21:18.600 --> 00:21:24.840]   The word for substance literally means body.
[00:21:24.840 --> 00:21:27.880]   That make sense?
[00:21:27.880 --> 00:21:33.560]   So when you look at it in the Greek, when it says body, it says the shadow, all of these
[00:21:33.560 --> 00:21:36.800]   things are a shadow, but the real body is Christ.
[00:21:36.800 --> 00:21:39.780]   It makes a lot more sense in the Greek, right?
[00:21:39.780 --> 00:21:41.880]   So King James says body.
[00:21:41.880 --> 00:21:50.560]   Yeah, everything else, they said substance or anybody have NIV or, I forgot to put that
[00:21:50.560 --> 00:21:51.560]   down.
[00:21:51.560 --> 00:21:55.560]   Who has different translation of the NISB?
[00:21:55.560 --> 00:21:58.560]   Huh?
[00:21:58.560 --> 00:22:01.560]   Bound?
[00:22:01.560 --> 00:22:04.560]   Found?
[00:22:04.560 --> 00:22:07.560]   Foundation?
[00:22:07.560 --> 00:22:10.560]   NIV.
[00:22:10.560 --> 00:22:15.560]   How did you get that?
[00:22:15.560 --> 00:22:18.560]   Which translation are you looking at?
[00:22:18.560 --> 00:22:20.560]   Yeah, reality is in Christ, right?
[00:22:20.560 --> 00:22:21.560]   That's what I remember.
[00:22:21.560 --> 00:22:22.560]   Anybody have ESV?
[00:22:22.560 --> 00:22:26.560]   I think ESV also has substance, right?
[00:22:26.560 --> 00:22:27.560]   Yeah, okay.
[00:22:27.560 --> 00:22:32.680]   All right, so it's one of those words, again, I think, I don't know why they didn't translate
[00:22:32.680 --> 00:22:38.400]   it body, because the body makes a lot more sense, because it directly connects the shadow
[00:22:38.400 --> 00:22:40.520]   to Jesus, right?
[00:22:40.520 --> 00:22:41.720]   So in other words, what is he saying?
[00:22:41.720 --> 00:22:46.160]   That all of these things were just a shadow, reflection of Christ.
[00:22:46.160 --> 00:22:54.160]   So why would you go back to the reflection when the body, who is Jesus, shows up, right?
[00:22:54.160 --> 00:22:58.000]   Unless you didn't have the body, all you had was a shadow, then you're carefully studying
[00:22:58.000 --> 00:23:01.760]   the shadow, but why would you carefully study the shadow when Jesus is standing right in
[00:23:01.760 --> 00:23:03.260]   front of you, right?
[00:23:03.260 --> 00:23:04.760]   That's his point.
[00:23:04.760 --> 00:23:08.480]   So don't let them judge you on these things, because the reality, the body itself has come
[00:23:08.480 --> 00:23:09.480]   in Christ.
[00:23:09.480 --> 00:23:13.160]   Verse 18, "Let no one keep defrauding you of your price."
[00:23:13.160 --> 00:23:17.680]   Not only are they judging you, they're preventing you from your price if you go back to the
[00:23:17.680 --> 00:23:23.840]   old covenant, by delighting in self-abasement, and we already talked about that, right?
[00:23:23.840 --> 00:23:29.000]   This false humility of thinking that they're being pious, right?
[00:23:29.000 --> 00:23:31.980]   And that was a whole rebuke toward the Pharisees and the scribes, right?
[00:23:31.980 --> 00:23:34.380]   Everything you do, you do for other people to see.
[00:23:34.380 --> 00:23:38.280]   You're not being righteous in the eyes of God, you wanna be seen as righteous before
[00:23:38.280 --> 00:23:40.040]   men, right?
[00:23:40.040 --> 00:23:42.080]   And that was the Judaizers.
[00:23:42.080 --> 00:23:45.160]   You can be a Christian, but you still have to fall in line.
[00:23:45.160 --> 00:23:51.360]   So basically what the Judaizers were doing, they earned this religious credit among the
