
[00:00:00.000 --> 00:00:07.200]   (silence)
[00:04:58.480 --> 00:04:59.560]   You feel perfectly fine.
[00:04:59.560 --> 00:05:02.880]   In fact, you're drifting toward where you feel the most comfortable.
[00:05:02.880 --> 00:05:03.900]   So there is no fear.
[00:05:03.900 --> 00:05:07.400]   So when you hear this warning today, if you hear His voice, "Do not harden your
[00:05:07.400 --> 00:05:12.920]   heart," because there's no faith in you, it doesn't incite any kind of fear
[00:05:12.920 --> 00:05:14.720]   or warning.
[00:05:14.720 --> 00:05:17.400]   I'm just headed down that path, and I feel comfortable.
[00:05:17.400 --> 00:05:21.880]   So you just kind of grab on to any loose theology, "One saved, always saved,"
[00:05:21.880 --> 00:05:22.600]   and that's enough.
[00:05:22.600 --> 00:05:24.960]   It's not because you genuinely believe it.
[00:05:24.960 --> 00:05:29.760]   Christianity, all it is, is a security blanket, and that's all you need.
[00:05:29.760 --> 00:05:31.840]   Because it's not real.
[00:05:31.840 --> 00:05:32.960]   It's not about the truth.
[00:05:32.960 --> 00:05:34.840]   It's not about glorifying God.
[00:05:34.840 --> 00:05:41.960]   It's just, "I just want to make sure that I just want to have insurance."
[00:05:41.960 --> 00:05:45.040]   If you're not a believer, you will drift.
[00:05:45.040 --> 00:05:48.960]   And the warnings that you hear in the book of Hebrews, you'll hear it,
[00:05:48.960 --> 00:05:52.880]   you'll remember it, but it's not going to cause you to turn.
[00:05:52.880 --> 00:05:56.200]   Because you feel very comfortable where you're drifting to.
[00:05:56.200 --> 00:05:59.760]   So whether that happens in a single day when you publicly denounce and say,
[00:05:59.760 --> 00:06:03.000]   "I don't believe this," or whether that happens in years and years and years
[00:06:03.000 --> 00:06:07.480]   of just drifting, and your heart has become so cold that none of the word
[00:06:07.480 --> 00:06:10.760]   of God makes any sense.
[00:06:10.760 --> 00:06:16.960]   But if you are a believer, no matter how far you have drifted,
[00:06:16.960 --> 00:06:21.960]   when the word of God is taught and is warned, it causes you to say,
[00:06:21.960 --> 00:06:23.960]   "Oh, shoot, this is not who I am.
[00:06:23.960 --> 00:06:25.560]   This is not where I belong."
[00:06:25.560 --> 00:06:29.360]   And it causes a fear, a sense of reverence toward the things
[00:06:29.360 --> 00:06:30.360]   that you hear.
[00:06:30.360 --> 00:06:35.360]   A sense of urgency is incited in us when the word of God is taught because it
[00:06:35.360 --> 00:06:39.440]   judges the thoughts and intentions of our heart, and then it challenges us
[00:06:39.440 --> 00:06:40.800]   in the previous passage.
[00:06:40.800 --> 00:06:46.280]   So if you hear His voice and you do not harden your heart, let us be diligent.
[00:06:46.280 --> 00:06:48.320]   And that's the next step.
[00:06:48.320 --> 00:06:49.360]   That we need to be diligent.
[00:06:49.360 --> 00:06:51.000]   It's not enough for us to be convicted.
[00:06:51.000 --> 00:06:52.800]   It is not enough for us to say, "You know what?
[00:06:52.800 --> 00:06:55.400]   I believe this truth, and I'm headed down the wrong path."
[00:06:55.400 --> 00:06:59.480]   And then go Monday through Saturday, do the exact same thing.
[00:06:59.480 --> 00:07:00.160]   Right?
[00:07:00.160 --> 00:07:04.040]   You've probably heard that cliche that insanity is doing the same thing all the
[00:07:04.040 --> 00:07:07.400]   time and expecting a different outcome.
[00:07:07.400 --> 00:07:12.520]   That's proof of unbelief, that you feel guilty and I ought to do this,
[00:07:12.520 --> 00:07:15.520]   but there is absolutely no change, there is no diligence that the word
[00:07:15.520 --> 00:07:17.360]   of God incites.
[00:07:17.360 --> 00:07:20.120]   The text that we're looking at today challenges us in the third
[00:07:20.120 --> 00:07:21.940]   "Let Us" statement.
[00:07:21.940 --> 00:07:26.200]   If you hear the word of God and you've been drifting, it says, "Let us fear."
[00:07:26.200 --> 00:07:29.400]   And if you have this reverence and there's a sense of urgency that is sparked
[00:07:29.400 --> 00:07:31.320]   in you, then let us be diligent.
[00:07:31.320 --> 00:07:36.400]   And if you are committed to be diligent, he says, "Let us then hold fast to the
[00:07:36.400 --> 00:07:39.160]   confession that we have heard."
[00:07:39.160 --> 00:07:43.320]   There is a difference between somebody who is just confessing versus somebody
[00:07:43.320 --> 00:07:45.800]   who is holding fast.
[00:07:45.800 --> 00:07:49.560]   We see that difference in Revelation 3, 1-3, this rebuke to the
[00:07:49.560 --> 00:07:52.280]   church of Sardis.
[00:07:52.280 --> 00:07:55.360]   "He who has seven spirits of God and the seven stars says this,
[00:07:55.360 --> 00:07:59.560]   'I know your deeds, but that you have a name that you are alive,
[00:07:59.560 --> 00:08:01.800]   but you are dead.
[00:08:01.800 --> 00:08:05.760]   Wake up and strengthen the things that remain, which were about to die,
[00:08:05.760 --> 00:08:08.840]   for I have not found your deeds completed in the sight of my God.
[00:08:08.840 --> 00:08:14.880]   So remember what you have received and heard and keep it and repent.
[00:08:14.880 --> 00:08:18.360]   Therefore, if you do not wake up, I will come like a thief and you will
[00:08:18.360 --> 00:08:22.160]   not know at what hour I will come to you."
[00:08:22.160 --> 00:08:26.920]   If you're not a believer, there is nothing to keep.
[00:08:26.920 --> 00:08:29.240]   There is nothing to hold fast.
[00:08:29.240 --> 00:08:33.400]   If all that we have is a facade, if all we've been doing is jumping
[00:08:33.400 --> 00:08:39.040]   through the hoops so that we can feel like we are part of this community,
[00:08:39.040 --> 00:08:43.040]   you can only keep and you can only hold fast if something was already
[00:08:43.040 --> 00:08:44.920]   given to you.
[00:08:44.920 --> 00:08:46.760]   And so, therefore, he's talking to the church.
[00:08:46.760 --> 00:08:50.760]   He says, "Remember, if you have received this confession and you genuinely
[00:08:50.760 --> 00:08:54.480]   believe it," he says, "to hold fast."
[00:08:54.480 --> 00:08:57.040]   Why do we need to hold fast?
[00:08:57.040 --> 00:08:58.360]   Why is this so urgent?
[00:08:58.360 --> 00:09:03.680]   Well, he says in the previous passages, in Hebrews 3.6, "Christ was faithful as a
[00:09:03.680 --> 00:09:06.120]   son over his house, whose house we are."
[00:09:06.120 --> 00:09:11.640]   In other words, we are his children, "if we hold fast our confidence and the
[00:09:11.640 --> 00:09:15.880]   boast of our hope firm until the end."
[00:09:15.880 --> 00:09:17.160]   If we hold fast.
[00:09:17.160 --> 00:09:20.720]   It is not enough to have confessed it 10 years ago, five years ago,
[00:09:20.720 --> 00:09:24.360]   or a year ago, to publicly confess it in our baptism and say,
[00:09:24.360 --> 00:09:25.720]   "This is what Christ did to me.
[00:09:25.720 --> 00:09:27.600]   That was my confession."
[00:09:27.600 --> 00:09:35.760]   But he says, "Perseverance in our faith is the proof that you have genuine salvation."
[00:09:35.760 --> 00:09:38.640]   That's why he says to hold fast.
[00:09:38.640 --> 00:09:44.880]   If God opened your eyes and you've genuinely seen the glory of the gospel
[00:09:44.880 --> 00:09:50.840]   of Jesus Christ, you met the risen Savior, he says to hold fast.
[00:09:50.840 --> 00:09:56.040]   Hebrews 3.14, "For we have become partakers of Christ, if we hold fast the
[00:09:56.040 --> 00:10:00.800]   beginning of our assurance firm until the end."
[00:10:00.800 --> 00:10:03.680]   In case anybody is sitting here thinking, "One saved, always saved,
[00:10:03.680 --> 00:10:08.240]   so therefore I just need to relax and just kind of coast along," right?
[00:10:08.240 --> 00:10:11.000]   That's a mindset of an unbeliever.
[00:10:11.000 --> 00:10:14.560]   That's a mindset of somebody who hears this truth and is just drifting,
[00:10:14.560 --> 00:10:18.240]   and they're perfectly fine with this drifting because I got this ticket.
[00:10:18.240 --> 00:10:21.520]   So no matter how far I go, as long as I have this ticket, I'm fine.
[00:10:21.520 --> 00:10:23.760]   That's not the language of the New Testament.
[00:10:23.760 --> 00:10:27.440]   New Testament constantly warns us and challenges us.
[00:10:27.440 --> 00:10:32.960]   If you know Christ, you must hold fast.
[00:10:32.960 --> 00:10:35.560]   1 Corinthians 15.1-2, "Now I make known to you, brethren,
[00:10:35.560 --> 00:10:39.280]   the gospel which I preach to you, which also you received and which you
[00:10:39.280 --> 00:10:42.440]   also stand, by which you also are saved.
[00:10:42.440 --> 00:10:47.400]   If you hold fast the word which I preach to you, unless you believed in vain."
[00:10:47.400 --> 00:10:52.400]   There's a difference between somebody who confesses and somebody who holds fast.
[00:10:52.400 --> 00:10:58.600]   That's a difference that is made in the book of James, of a confession of a demon.
[00:10:58.600 --> 00:11:00.680]   You say that you believe that there's one God.
[00:11:00.680 --> 00:11:05.560]   Great. Even the demons believe that, and they shudder, and they are in fear.
[00:11:05.560 --> 00:11:09.800]   Demons have greater faith than most people because they believe that he's one God,
[00:11:09.800 --> 00:11:14.560]   but it is not saving faith because there's no fruit that comes out of that.
[00:11:14.560 --> 00:11:18.240]   They don't hold fast, and that's the distinction he's making here.
[00:11:18.240 --> 00:11:23.720]   If you have confessed it, you must hold fast.
[00:11:23.720 --> 00:11:27.640]   But there's a second reason why he says to hold fast, not simply because it is the
[00:11:27.640 --> 00:11:36.800]   proof of our genuine salvation, but because he has already made it possible.
[00:11:36.800 --> 00:11:42.440]   In verse 14, it says, "Therefore, since we have a great high priest who has passed
[00:11:42.440 --> 00:11:45.160]   through the heavens, Jesus the Son of God, let us hold fast."
[00:11:45.160 --> 00:11:52.960]   So the reason why we need to hold fast is because Jesus has gone through the heavens.
[00:11:52.960 --> 00:11:56.440]   One of the questions that I asked, right, if you were on Facebook,
[00:11:56.440 --> 00:12:00.360]   and I gave a question last night in preparation for today, why is it,
[00:12:00.360 --> 00:12:03.080]   "Therefore, therefore," right, in verse 14?
[00:12:03.080 --> 00:12:07.040]   So, "Therefore," in verse 14, obviously connects us to what he was saying in verse 13.
[00:12:07.040 --> 00:12:10.320]   So in verse 12, he says, "You know that famous passage,
[00:12:10.320 --> 00:12:12.440]   'The Word of God is living and active,' and then at the end,
[00:12:12.440 --> 00:12:16.760]   'Judge the thoughts and intentions of our heart,'" and then it ends in verse 13.
[00:12:16.760 --> 00:12:20.840]   And how you receive verse 13 really depends on where you are in your walk
[00:12:20.840 --> 00:12:22.480]   with God right now.
[00:12:22.480 --> 00:12:26.080]   In verse 13, it says, "And there is no creature hidden from his sight,
[00:12:26.080 --> 00:12:32.400]   but all things are open and laid bare to the eyes of him with whom we have to do."
[00:12:32.400 --> 00:12:35.560]   In other words, God is completely sovereign.
[00:12:35.560 --> 00:12:36.800]   You can't hide things from God.
[00:12:36.800 --> 00:12:40.080]   You can hide things from your wife, from your children, from your pastors,
[00:12:40.080 --> 00:12:44.240]   from your neighbors, but in the presence of God, we're completely bare.
[00:12:44.240 --> 00:12:46.640]   There's no thought that you have.
[00:12:46.640 --> 00:12:48.920]   There's nowhere that you can go.
[00:12:48.920 --> 00:12:54.080]   No matter how long it's been, there is no depth that you can hide in
[00:12:54.080 --> 00:12:56.800]   where God does not already know.
[00:12:56.800 --> 00:13:00.840]   We could even fool ourselves, but God cannot be fooled.
[00:13:00.840 --> 00:13:04.720]   Now, when you hear that, and you are an unbeliever who has been
[00:13:04.720 --> 00:13:09.760]   drifting away from God, and you don't want to hear it, I like where I am,
[00:13:09.760 --> 00:13:12.280]   and I don't want to be disturbed.
[00:13:12.280 --> 00:13:19.720]   I just want encouragement to know that God sees through all the outside facade,
[00:13:19.720 --> 00:13:24.040]   all the presentations of our goodness, all the religiousness that we present
[00:13:24.040 --> 00:13:26.600]   to everybody else every single Sunday.
[00:13:26.600 --> 00:13:31.520]   If that's where we are, what a suffocating passage, to know that
[00:13:31.520 --> 00:13:34.520]   there is no escape.
[00:13:34.520 --> 00:13:39.800]   See, but verse 13 is connected to verse 14 because he says, "Though the word of God
[00:13:39.800 --> 00:13:43.640]   finds us and convicts us, and we cannot hide."
[00:13:43.640 --> 00:13:44.800]   It doesn't matter what you say.
[00:13:44.800 --> 00:13:46.320]   It doesn't matter what your wife says.
[00:13:46.320 --> 00:13:47.520]   God knows.
[00:13:47.520 --> 00:13:51.680]   He cuts through all of that, and there's nowhere you can hide.
[00:13:51.680 --> 00:13:56.400]   But to an individual who is convicted, who's trying to be diligent,
[00:13:56.400 --> 00:13:59.920]   who's trying to get back on the right track, this passage is a source
[00:13:59.920 --> 00:14:02.800]   of great encouragement.
[00:14:02.800 --> 00:14:06.240]   Because this passage reminds us that no matter where you go,
[00:14:06.240 --> 00:14:11.080]   no matter what you have done, God is able to reach you.
[00:14:11.080 --> 00:14:15.920]   Even when you try to run from God, there is no height, there's no depth
[00:14:15.920 --> 00:14:18.600]   that you can go where God is not already there.
[00:14:18.600 --> 00:14:19.560]   There is no thought.
[00:14:19.560 --> 00:14:20.880]   There's nothing that you could have said.
[00:14:20.880 --> 00:14:25.280]   There's nothing that you could have done that God was not already there.
[00:14:25.280 --> 00:14:30.040]   So if you're a man or a woman running from God, this is a suffocating passage.
[00:14:30.040 --> 00:14:34.360]   But if you're an individual who's struggling, and you can easily see
[00:14:34.360 --> 00:14:37.360]   yourself, I could have done it.
[00:14:37.360 --> 00:14:43.080]   If we were able to run from God, you would have done this already.
[00:14:43.080 --> 00:14:45.400]   And if you've been a Christian for any number of years, you know.
[00:14:45.400 --> 00:14:46.560]   You don't need to listen to me.
[00:14:46.560 --> 00:14:48.600]   You know yourself.
[00:14:48.600 --> 00:14:51.880]   You know your sins better than anybody else.
[00:14:51.880 --> 00:14:55.960]   If God left that up to you, and it was simply of your own will,
[00:14:55.960 --> 00:14:59.360]   we would have all denied Him already and walked away.
[00:14:59.360 --> 00:15:04.200]   See, the way that verse 13 is connected to verse 14, after telling us this
[00:15:04.200 --> 00:15:09.400]   suffocating passage, he says, "Therefore, since God is everywhere,
[00:15:09.400 --> 00:15:12.440]   since you can't run from God, since you can't hide from God,
[00:15:12.440 --> 00:15:15.840]   therefore, since we have this great high priest who has passed
[00:15:15.840 --> 00:15:20.680]   through the heavens, Jesus, the Son of God, this great high priest,
[00:15:20.680 --> 00:15:22.840]   let us hold fast our confession."
[00:15:22.840 --> 00:15:29.040]   God is not telling us to do anything that God has not already done to us.
[00:15:29.040 --> 00:15:32.880]   In Philippians 3, 12 through 14, "Not that I have already obtained it or have
[00:15:32.880 --> 00:15:38.440]   already become perfect, but I press on so that I may lay hold of that for which also
[00:15:38.440 --> 00:15:42.000]   I was laid hold by Christ Jesus."
[00:15:42.000 --> 00:15:46.400]   I'm striving after the very thing that He already gave me.
[00:15:46.400 --> 00:15:48.160]   Do you notice that?
[00:15:48.160 --> 00:15:51.280]   "Brethren, I do not regard myself as having laid hold of it yet,
[00:15:51.280 --> 00:15:55.960]   but one thing I do, forgetting what lies behind and reaching forward to what lies
[00:15:55.960 --> 00:15:59.720]   ahead, I press on toward the goal for the prize of the upward call of God
[00:15:59.720 --> 00:16:01.040]   in Christ Jesus."
[00:16:01.040 --> 00:16:06.880]   I am straining toward the call which He already gave me.
[00:16:06.880 --> 00:16:13.800]   So, a believer is someone who is living out and pursuing what God has already
[00:16:13.800 --> 00:16:15.800]   given him.
[00:16:15.800 --> 00:16:19.560]   That's a genuine believer because our eyes have become open.
[00:16:19.560 --> 00:16:23.840]   You have tasted the goodness of God, and there's no other taste that can
[00:16:23.840 --> 00:16:25.440]   replace it.
[00:16:25.440 --> 00:16:29.080]   So, if your eyes have been genuinely open, you can't run from God.
[00:16:29.080 --> 00:16:30.960]   You can't just one day choose to say, "You know what?
[00:16:30.960 --> 00:16:34.440]   I'm just going to close my eyes and pretend like I never saw that.
[00:16:34.440 --> 00:16:37.400]   Pretend like I never met God, and I'm just going to live like an unbeliever."
[00:16:37.400 --> 00:16:42.920]   Only an unbeliever can continue to live like an unbeliever.
[00:16:42.920 --> 00:16:46.760]   Once your eyes have been open, you can't shed it.
[00:16:46.760 --> 00:16:47.960]   That's what he's saying.
[00:16:47.960 --> 00:16:51.560]   But this is not just somebody who's confessing, but is an individual who
[00:16:51.560 --> 00:16:53.960]   continues to seek after God.
[00:16:53.960 --> 00:16:57.000]   We love because He loved us.
[00:16:57.000 --> 00:16:59.640]   He says to be holy because He is holy.
[00:16:59.640 --> 00:17:04.760]   We are able to suffer because He suffered on our behalf.
[00:17:04.760 --> 00:17:11.520]   And he said, "This God," he says, "Jesus Christ, He came down.
[00:17:11.520 --> 00:17:16.960]   The great high priest came down, and He went to the heavens for us."
[00:17:16.960 --> 00:17:20.280]   You know, we've been studying through the book of Leviticus, and in the book of
[00:17:20.280 --> 00:17:23.280]   Leviticus, it makes it very clear, right?
[00:17:23.280 --> 00:17:29.280]   You have the office of the priest, and you can't be a priest, you can't serve at the
[00:17:29.280 --> 00:17:34.920]   temple and the tabernacle unless you were perfect.
[00:17:34.920 --> 00:17:37.680]   You couldn't be blind, you couldn't be lame, you couldn't be disfigured in your
[00:17:37.680 --> 00:17:41.160]   face, you couldn't be deformed in the limb, you couldn't have broken foot or
[00:17:41.160 --> 00:17:44.480]   hand, you couldn't be a hunchback or a dwarf, and it goes on and on.
[00:17:44.480 --> 00:17:49.280]   If you have eczema or any kind of skin disease, and it may, on the surface,
[00:17:49.280 --> 00:17:54.320]   it may sound harsh, but the purpose of all of this wasn't simply trying to be cruel
[00:17:54.320 --> 00:17:57.400]   to people who are already having a hard time in life.
[00:17:57.400 --> 00:18:03.760]   Everything that he taught at the tabernacle was an example, was a foreshadow of what
[00:18:03.760 --> 00:18:06.280]   was happening up in heaven.
[00:18:06.280 --> 00:18:11.840]   And so, that was an example, it was a shadow of the reality of what Christ was
[00:18:11.840 --> 00:18:13.240]   going to do on our behalf.
[00:18:13.240 --> 00:18:18.360]   So, when he taught that the priest had to be without defect, it was to be embed into
[00:18:18.360 --> 00:18:23.680]   the culture of Israel that a sinner could not approach a holy God.
[00:18:23.680 --> 00:18:25.000]   He had to be without defect.
[00:18:25.000 --> 00:18:28.720]   So, the physical defect represented sin.
[00:18:28.720 --> 00:18:33.360]   And so, no sin of any kind can enter into his presence.
[00:18:33.360 --> 00:18:36.760]   And that was taught for any priest.
[00:18:36.760 --> 00:18:38.320]   But Jesus was not just any priest.
[00:18:38.320 --> 00:18:40.400]   The Bible says that he was a high priest.
[00:18:40.400 --> 00:18:44.360]   A high priest was an individual, one individual.
[00:18:44.360 --> 00:18:48.800]   It wasn't an office of many, one individual who had to be a descendant
[00:18:48.800 --> 00:18:54.280]   of Aaron, and this individual was set apart in his clothing.
[00:18:54.280 --> 00:18:58.800]   So, every priest had to wear a special clothing while he was administering
[00:18:58.800 --> 00:18:59.880]   the sacrifices.
[00:18:59.880 --> 00:19:03.440]   But a high priest had a special garment.
[00:19:03.440 --> 00:19:06.200]   And so, as soon as you entered the tabernacle, you could see who the priests
[00:19:06.200 --> 00:19:09.680]   are, and you can identify if a high priest walks in, you could immediately,
[00:19:09.680 --> 00:19:12.120]   by his clothing, know that that's the high priest.
[00:19:12.120 --> 00:19:17.040]   He wore a very colorful outfit, and they had a special name called Thumim and
[00:19:17.040 --> 00:19:23.120]   Umin, and he had to wear that at all times to separate him from other priests.
[00:19:23.120 --> 00:19:27.880]   But because the high priest was also a man, he had to constantly go through a
[00:19:27.880 --> 00:19:30.680]   ritual of cleansing.
[00:19:30.680 --> 00:19:34.720]   To the nation of Israel, a high priest was connected with more
[00:19:34.720 --> 00:19:36.600]   than just a temple.
[00:19:36.600 --> 00:19:41.280]   In the nation of Israel, the high priests were known to be an office where it
[00:19:41.280 --> 00:19:43.440]   represented refuge for them.
[00:19:43.440 --> 00:19:45.440]   So, you may have heard of the cities of refuge.
[00:19:45.440 --> 00:19:49.480]   There are six different cities that were set apart in the nation of Israel.
[00:19:49.480 --> 00:19:53.680]   All of them were spread apart, all of them were uplifted high,
[00:19:53.680 --> 00:19:58.560]   and those cities were specifically created so that just in case somebody
[00:19:58.560 --> 00:20:04.640]   killed by accident, not murder, but by accident, a relative of the person that
[00:20:04.640 --> 00:20:09.240]   was killed, who's called the Avenger of Blood, would want vengeance because he
[00:20:09.240 --> 00:20:12.760]   killed a relative, a brother, a sister, or whoever.
[00:20:12.760 --> 00:20:14.920]   And so, out of anger, he would chase that man.
[00:20:14.920 --> 00:20:19.840]   And so, that man who kills by accident would run to one of these cities.
[00:20:19.840 --> 00:20:22.600]   And when he gets to the city, he would be interviewed as to,
[00:20:22.600 --> 00:20:24.200]   "Why are you running?"
[00:20:24.200 --> 00:20:27.680]   And finds out that he killed somebody by accident, they would open the door,
[00:20:27.680 --> 00:20:31.440]   he would be allowed in for protection under the high priest.
[00:20:31.440 --> 00:20:34.400]   The high priest basically was the owner of these cities.
[00:20:34.400 --> 00:20:39.440]   And every city in the nation of Israel, every cities of refuge were...
[00:20:39.440 --> 00:20:42.720]   The roads that led to these cities were the best roads.
[00:20:42.720 --> 00:20:47.720]   So, when you see the language in the New Testament, the valleys are made low and...
[00:20:47.720 --> 00:20:51.040]   Or the mountains are laid low and the valleys are made high,
[00:20:51.040 --> 00:20:56.160]   it's in the language of preparing the roads to go to these cities of refuge.
[00:20:56.160 --> 00:21:02.880]   And as long as the high priest was alive, they found refuge under his protection.
[00:21:02.880 --> 00:21:06.560]   So, for the Israelites, the high priest was not just somebody who served
[00:21:06.560 --> 00:21:13.200]   at the temple, but they equated refuge with high priest.
[00:21:13.200 --> 00:21:16.760]   So, every time you see the language of high priest, an Israelite would have
[00:21:16.760 --> 00:21:18.600]   immediately thought of the city of refuge.
[00:21:18.600 --> 00:21:19.880]   This is where we go.
[00:21:19.880 --> 00:21:23.760]   He is the one we run to when we get into trouble.
[00:21:23.760 --> 00:21:26.400]   And so, Jesus is called the high priest.
[00:21:26.400 --> 00:21:28.960]   Not just the priest, but a high priest.
[00:21:28.960 --> 00:21:33.240]   But if you look at the passage carefully here, he's not just the high priest.
[00:21:33.240 --> 00:21:34.560]   What is he called?
[00:21:34.560 --> 00:21:37.640]   He is the great high priest.
[00:21:37.640 --> 00:21:40.840]   Meaning, he is not like any other priest.
[00:21:40.840 --> 00:21:45.120]   Not only did he represent us to God,
[00:21:45.120 --> 00:21:50.240]   not only was he the place of refuge that people ran to, he is distinguished
