
[00:00:00.000 --> 00:00:06.840]   - Hello, everyone.
[00:06:06.160 --> 00:06:09.240]   applicational question, for a lot of people will understand, okay,
[00:06:09.240 --> 00:06:12.560]   if you're an underage, right, under 18 years old, then of course,
[00:06:12.560 --> 00:06:14.440]   you're supposed to obey your parents.
[00:06:14.440 --> 00:06:17.360]   But I think for a lot of people, the question comes down to what about when
[00:06:17.360 --> 00:06:18.920]   you're an adult, okay?
[00:06:18.920 --> 00:06:23.000]   Adult child, are you supposed to be obeying your parents in everything?
[00:06:23.000 --> 00:06:26.920]   What if you're married and you actually are now the man of your own household?
[00:06:26.920 --> 00:06:29.200]   Are you supposed to be obeying your parents?
[00:06:29.200 --> 00:06:33.280]   Doesn't the scripture say that husband and wife should leave and cleave?
[00:06:33.280 --> 00:06:36.200]   Essentially, for this reason, a man should leave his mother and father.
[00:06:36.200 --> 00:06:39.720]   And essentially, the line of authority has changed.
[00:06:39.720 --> 00:06:42.000]   So, all that is true.
[00:06:42.000 --> 00:06:47.880]   What I'd like to say about that is, notice how it's not just simply that you
[00:06:47.880 --> 00:06:54.160]   should obey no matter what, without qualification, in everything,
[00:06:54.160 --> 00:06:56.800]   through the rest of your life, to your parents.
[00:06:56.800 --> 00:07:01.840]   But actually, the commandment has to do a lot with also the honor and the respect due
[00:07:01.840 --> 00:07:04.560]   to father and mother, okay?
[00:07:04.560 --> 00:07:11.240]   So, one of the things that I would like to highlight is that within the context of
[00:07:11.240 --> 00:07:18.640]   child and parent, there should nevertheless be what I like to call the open ear, okay?
[00:07:18.640 --> 00:07:19.920]   The open ear.
[00:07:19.920 --> 00:07:24.000]   Because let's take a moment to acknowledge the fact that since we were children,
[00:07:24.000 --> 00:07:27.320]   to our parents, we were disobedient.
[00:07:27.320 --> 00:07:31.640]   And when we are children, a lot of times, what we give them is the closed ear.
[00:07:31.640 --> 00:07:37.600]   What I mean is, when we're little kids, we have to almost be forced to open our ears, right?
[00:07:37.600 --> 00:07:42.080]   When our parents call our name, we push the envelope and we try to test the waters
[00:07:42.080 --> 00:07:46.200]   on how many times we can ignore them before they get upset.
[00:07:46.200 --> 00:07:49.960]   When we're teenagers, how many times were we just simply upset,
[00:07:49.960 --> 00:07:53.200]   not because they told us to do something horrendous.
[00:07:53.200 --> 00:07:55.440]   They didn't ask us necessarily to sin.
[00:07:55.440 --> 00:08:00.040]   They didn't try to harm us, but we just didn't like them telling us what to do.
[00:08:00.040 --> 00:08:00.440]   Because why?
[00:08:00.440 --> 00:08:02.200]   Because we're an adult now, right?
[00:08:02.200 --> 00:08:04.000]   Respect me, right?
[00:08:04.000 --> 00:08:07.080]   We just don't like people telling us what to do.
[00:08:07.080 --> 00:08:10.960]   And what's really interesting about all this is there's a passage I would like to read for you
[00:08:10.960 --> 00:08:14.120]   in 2 Corinthians 3, verses 1 through 6.
[00:08:14.120 --> 00:08:17.760]   Okay, 2 Corinthians 3, verses 1 through 6.
[00:08:17.760 --> 00:08:22.880]   I don't have this on the PowerPoint, but you can take a moment to look at that.
[00:08:22.880 --> 00:08:28.800]   And it says, "Understand this, that in the last day, there will come times of difficulty.
[00:08:28.800 --> 00:08:34.000]   For people will be lovers of self, lovers of money, proud, arrogant, abusive,
[00:08:34.000 --> 00:08:39.320]   disobedient to their parents, ungrateful, unholy, heartless, unappeasable,
[00:08:39.320 --> 00:08:45.120]   slanderous, without self-control, brutal, not loving good, treacherous, reckless,
[00:08:45.120 --> 00:08:49.000]   swollen with conceit, lovers of pleasure rather than lovers of God,
[00:08:49.000 --> 00:08:52.560]   having the appearance of godliness, but denying its power.
[00:08:52.560 --> 00:08:54.000]   Avoid such people."
[00:08:54.000 --> 00:08:55.240]   Okay.
[00:08:55.240 --> 00:09:01.760]   When you think about this, the general sentiment and tide of the day is going to be an absolute
[00:09:01.760 --> 00:09:04.760]   callous and closed heart.
[00:09:04.760 --> 00:09:08.720]   They'll be so set in their own way, in their own arrogance, and so stubborn,
[00:09:08.720 --> 00:09:11.760]   they're not going to open their ears.
[00:09:11.760 --> 00:09:18.080]   And so, in that kind of discussion, I want to say, for us, the contrary,
[00:09:18.080 --> 00:09:22.520]   or at least in Christ, how we would look different is that, yes,
[00:09:22.520 --> 00:09:25.720]   even if, let's say, you grew up with pretty horrible parents.
[00:09:25.720 --> 00:09:30.560]   Let's say your parents aren't godly, like their character isn't respectable.
[00:09:30.560 --> 00:09:35.440]   But nevertheless, would you still give them an open ear to hear them out,
[00:09:35.440 --> 00:09:37.160]   to try your best to at least learn?
[00:09:37.160 --> 00:09:39.960]   Let's say they give you nothing but earthly wisdom.
[00:09:39.960 --> 00:09:42.800]   Would you still learn that earthly wisdom from them?
[00:09:42.800 --> 00:09:48.640]   Or would you just say, "I'm the man now, I'm older, and you need to listen to me."
[00:09:48.640 --> 00:09:51.760]   Because I don't think we necessarily need to win that battle.
[00:09:51.760 --> 00:09:55.000]   Now, clearly, there are parameters.
[00:09:55.000 --> 00:09:58.920]   Clearly, there are exceptions to when you wouldn't be listening to your parents,
[00:09:58.920 --> 00:10:02.040]   because that earthly wisdom is completely in contrast,
[00:10:02.040 --> 00:10:04.680]   in conflict with biblical wisdom.
[00:10:04.680 --> 00:10:09.240]   But nevertheless, are you showing them honor and respect, even as an adult?
[00:10:09.240 --> 00:10:11.280]   Because that should be the case.
[00:10:11.280 --> 00:10:15.480]   Here's another important just inductive study kind of question,
[00:10:15.480 --> 00:10:19.520]   is notice how it says, "Children, obey your parents in the Lord."
[00:10:19.520 --> 00:10:22.560]   And I want to pose to you several questions here.
[00:10:22.560 --> 00:10:24.240]   What does this "in the Lord" mean?
[00:10:24.240 --> 00:10:28.200]   You know, what's really interesting is I was reading kind of commentaries.
[00:10:28.200 --> 00:10:30.800]   And one commentary tried to just give all the options,
[00:10:30.800 --> 00:10:32.920]   like possible options, the way that you can interpret it.
[00:10:32.920 --> 00:10:34.120]   And I thought that was kind of interesting.
[00:10:34.120 --> 00:10:36.440]   So I copied some of those things down here.
[00:10:36.440 --> 00:10:38.480]   Does the "in the Lord" just mean parameters?
[00:10:38.480 --> 00:10:42.720]   Like so long as the instruction is biblical, then you can obey.
[00:10:42.720 --> 00:10:45.120]   Does it actually more so mean the source of your power?
[00:10:45.120 --> 00:10:48.440]   Like obey your parents, because I know it's hard,
[00:10:48.440 --> 00:10:51.040]   but do it in the Lord, because He's going to empower you.
[00:10:51.040 --> 00:10:52.040]   Okay?
[00:10:52.040 --> 00:10:53.840]   Or does it simply mean the character of the parents?
[00:10:53.840 --> 00:10:56.640]   Like obey your parents who are in the Lord.
[00:10:56.640 --> 00:10:58.680]   Obey your parents who are a Christian.
[00:10:58.680 --> 00:11:01.600]   Or does this generally mean the context of your life?
[00:11:01.600 --> 00:11:05.040]   That in the power of Christ, in your living for His glory in the Lord,
[00:11:05.040 --> 00:11:07.040]   you're obeying your parents.
[00:11:07.040 --> 00:11:09.520]   And that's the way that I would like to think of it.
[00:11:09.520 --> 00:11:14.680]   Because the idea is as you live your life in the Lord,
[00:11:14.680 --> 00:11:18.480]   a practical ramification of you living your life in the Lord
[00:11:18.480 --> 00:11:23.560]   is going to be an ability, a motivation to give respect, honor,
[00:11:23.560 --> 00:11:27.440]   and obedience because of the way God has made things.
[00:11:27.440 --> 00:11:31.560]   Because of your ability to submit and obey Christ,
[00:11:31.560 --> 00:11:34.680]   and that kind of obedient heart is in you,
[00:11:34.680 --> 00:11:37.640]   and you're living in the power of Christ and for His glory,
[00:11:37.640 --> 00:11:39.760]   you're going to be able to do that.
[00:11:39.760 --> 00:11:41.080]   Okay.
[00:11:41.080 --> 00:11:45.520]   Now, what's really interesting as we keep looking at this portion of the text
[00:11:45.520 --> 00:11:49.440]   is that this "in the Lord," obeying your parents in the Lord
[00:11:49.440 --> 00:11:53.040]   and honoring your father and mother has a rationale to it.
[00:11:53.040 --> 00:11:53.720]   Okay.
[00:11:53.720 --> 00:11:55.520]   For example, I put some brackets for you there.
[00:11:55.520 --> 00:11:58.200]   It says, "For this is right."
[00:11:58.200 --> 00:12:02.360]   And what's more, this commandment is the first with a promise.
[00:12:02.360 --> 00:12:07.800]   Verse three, "So that it may be well with you and that you may live long on the earth."
[00:12:07.800 --> 00:12:08.960]   Okay.
[00:12:08.960 --> 00:12:12.000]   Now, when you take a look at this passage,
[00:12:12.000 --> 00:12:14.440]   then the rationales can be summarized into two statements,
[00:12:14.440 --> 00:12:19.200]   which is essentially number one, the standard of God says this is right.
[00:12:19.200 --> 00:12:22.720]   It's a standard and expectation of the way God has created things.
[00:12:22.720 --> 00:12:27.480]   God has created a relationship with Father and Son.
[00:12:27.480 --> 00:12:31.720]   And I believe everything in this life, the physical world that God has created,
[00:12:31.720 --> 00:12:35.560]   He uses to show us the spiritual realities.
[00:12:35.560 --> 00:12:43.840]   This world, those shadows, the examples are either tainted, lacking, and sometimes perverted.
[00:12:43.840 --> 00:12:49.240]   But nevertheless, in its original intent, God has desired that to show His glory
[00:12:49.240 --> 00:12:53.480]   and the realities of the spiritual life, which is our relationship with the Father.
[00:12:53.480 --> 00:12:56.560]   What's more, He talks about how this is for your good.
[00:12:56.560 --> 00:13:00.600]   So right here, Apostle Paul applies the good inductive study methods,
[00:13:00.600 --> 00:13:04.280]   which is to observe, "Hey, did you observe that this is one of the first commandments
[00:13:04.280 --> 00:13:07.720]   with a promise to you among the 10 commandments in the list of 10?"
[00:13:07.720 --> 00:13:11.040]   Remember how the first section goes up to the Lord and your dealings with God
[00:13:11.040 --> 00:13:13.280]   and the second has your dealings horizontally.
[00:13:13.280 --> 00:13:16.560]   And of the first, it says, "You need to obey your parents
[00:13:16.560 --> 00:13:18.160]   because this is going to be well for you."
[00:13:18.160 --> 00:13:23.320]   So essentially, this is not only the standard of God, but this is for your own blessing.
[00:13:23.320 --> 00:13:24.000]   Okay?
[00:13:24.000 --> 00:13:26.280]   This is to your own blessing.
[00:13:26.280 --> 00:13:32.000]   And this to me, again, points to the gracious, provisional nature of God.
[00:13:32.000 --> 00:13:38.680]   Like God is ultimate Father who has laid down provisions for His people
[00:13:38.680 --> 00:13:46.560]   that as children are raised up, they're under the protection of the parents in their realm.
[00:13:46.560 --> 00:13:51.080]   And as they abide in that, that is to them their blessing.
[00:13:51.080 --> 00:13:55.800]   And so again, in the original intent of God and how He has structured things,
[00:13:55.800 --> 00:13:57.880]   that is to our good.
[00:13:57.880 --> 00:13:59.720]   And the people who want to say, "You know what, Freak?
[00:13:59.720 --> 00:14:02.320]   I don't like people telling me what to do.
[00:14:02.320 --> 00:14:03.360]   I'm my own man.
[00:14:03.360 --> 00:14:04.200]   I don't need parents.
[00:14:04.200 --> 00:14:05.680]   I don't need this."
[00:14:05.680 --> 00:14:13.000]   I mean, in the end, again, we read 2 Timothy 3 when it started talking about this day and age,
[00:14:13.000 --> 00:14:20.920]   that kind of radical independence, that kind of arrogant thinking is contrary to the creative order of God.
[00:14:20.920 --> 00:14:22.040]   Okay?
[00:14:22.040 --> 00:14:23.400]   All right.
[00:14:23.400 --> 00:14:25.920]   So there's a lot for you guys to think through there.
[00:14:25.920 --> 00:14:30.520]   I didn't answer necessarily everything, but at least we started looking through the command.
[00:14:30.520 --> 00:14:30.840]   Okay?
[00:14:30.840 --> 00:14:34.720]   And then we started looking through the parameters or at least in Christ.
[00:14:34.720 --> 00:14:36.080]   And then we looked at the rationale.
[00:14:36.080 --> 00:14:40.880]   And what we're going to see is that that pattern repeats itself multiple times throughout this section.
[00:14:40.880 --> 00:14:43.560]   Next, going to the fathers.
[00:14:43.560 --> 00:14:43.840]   Okay?
[00:14:43.840 --> 00:14:46.640]   Going to the fathers.
[00:14:46.640 --> 00:14:54.000]   It says here, to the fathers, "Fathers, do not provoke your children to anger,
[00:14:54.000 --> 00:14:58.280]   but bring them up in the discipline and instruction of the Lord."
[00:14:58.280 --> 00:14:59.280]   Okay?
[00:14:59.280 --> 00:15:05.240]   So here, it particularly speaks to fathers, but obviously, it's not saying like, "You know, moms,
[00:15:05.240 --> 00:15:06.960]   just do whatever you want.
[00:15:06.960 --> 00:15:09.760]   Anger them and then provoke them as much as you want."
[00:15:09.760 --> 00:15:11.680]   All parenting includes in this.
[00:15:11.680 --> 00:15:17.600]   And one of the things I just want to mention is I really like the author, Paul Tripp,
[00:15:17.600 --> 00:15:19.440]   when it comes to parenting.
[00:15:19.440 --> 00:15:23.040]   And he has a lot of great books, like multiple books when it comes to that.
[00:15:23.040 --> 00:15:29.160]   Now, here, in our observation of this text, what's really interesting to me is he kind of highlights,
[00:15:29.160 --> 00:15:34.240]   Apostle Paul highlights, you know, the scriptures highlight here one perhaps tendency that has
[00:15:34.240 --> 00:15:35.360]   happened a lot.
[00:15:35.360 --> 00:15:36.320]   Okay?
[00:15:36.320 --> 00:15:41.240]   And so there's a negative command that says, "Do not provoke your children to anger."
[00:15:41.240 --> 00:15:42.080]   Okay?
[00:15:42.080 --> 00:15:47.680]   And so when we look at that, we realize, "Hey, there is a pattern where parents,
[00:15:47.680 --> 00:15:53.520]   perhaps in their use of the authority that God has vested into them above their children,
[00:15:53.520 --> 00:15:59.080]   this can also go sour to the irritation, frustration, and anger of the children."
[00:15:59.080 --> 00:15:59.840]   Okay?
[00:15:59.840 --> 00:16:04.480]   And so we'd have to start kind of thinking, "What are some of the things,
[00:16:04.480 --> 00:16:07.960]   what are some of our habits that anger children?
[00:16:07.960 --> 00:16:09.680]   What are some of those things that we're doing?
[00:16:09.680 --> 00:16:12.280]   What are ways that parents really set people off?"
[00:16:12.280 --> 00:16:15.480]   And you could even just kind of imagine your own upbringing, you know?
[00:16:15.480 --> 00:16:19.800]   Again, not to like dig up old wounds, but you can just start thinking about your own past,
[00:16:19.800 --> 00:16:22.880]   like, "Huh, what were things that caused anger?"
[00:16:22.880 --> 00:16:25.840]   And the reason why, even if you're single, even if you don't have kids yet,
[00:16:25.840 --> 00:16:30.800]   all that kind of stuff, you should be thinking about this is because you realize that when you
[00:16:30.800 --> 00:16:37.800]   are placed in a scenario where you now have vested authority and you have a lot of authority,
[00:16:37.800 --> 00:16:43.640]   I mean, think about how much authority is vested and entrusted to the parent by God.
[00:16:43.640 --> 00:16:45.960]   It's a lot.
[00:16:45.960 --> 00:16:51.600]   The whole realm of care, instruction, raising up and discipling,
[00:16:51.600 --> 00:16:55.040]   it's in the authority and responsibility of the parent.
[00:16:55.040 --> 00:17:00.520]   And so as you think about that, we as sinners, when we are given that amount of authority,
[00:17:00.520 --> 00:17:03.160]   we have a tendency to go astray with it.
[00:17:03.160 --> 00:17:04.920]   We have a tendency to pervert it.
[00:17:04.920 --> 00:17:11.040]   So when I think about it, some of the top things that come to mind typically is that the mom is
[00:17:11.040 --> 00:17:15.160]   absolutely over-controlling and that the dad is absent.
[00:17:15.160 --> 00:17:20.280]   This has been kind of like the tendency throughout history, right?
[00:17:20.280 --> 00:17:25.200]   The father is at work, a bit absent and out of the lives of the children.
[00:17:25.200 --> 00:17:30.920]   The mother, in her desire to nurture and care, now all of a sudden becomes smothering,
[00:17:30.920 --> 00:17:36.520]   over-controlling, has incredible unrealistic expectations for the children.
[00:17:36.520 --> 00:17:41.560]   And so as a challenge to every single one of us, I mean, to which tendency do you let?
[00:17:41.560 --> 00:17:44.640]   When you're given a certain authority, do you smother?
[00:17:44.640 --> 00:17:46.320]   Do you become overly restrictive?
[00:17:46.320 --> 00:17:48.080]   Don't do this, don't do that.
[00:17:48.080 --> 00:17:52.000]   I mean, you think about sometimes, you know, these terminologies like tiger moms and
[00:17:52.000 --> 00:17:54.800]   helicopter moms and da-da-da-da-da, right?
[00:17:54.800 --> 00:18:00.200]   These stereotypes exist because these are common experiences that a lot of people can
[00:18:00.200 --> 00:18:01.440]   attest to.
[00:18:01.440 --> 00:18:04.000]   But the fact of the matter is we all can do this.
[00:18:04.000 --> 00:18:10.120]   I mean, the other day I was just laughing at myself because I was like telling my sons
[00:18:10.120 --> 00:18:13.240]   like eat this, eat that, like something fell off their plate, just eat it.
[00:18:13.240 --> 00:18:19.360]   And then, I mean, I just kind of stopped myself because am I going to be that guy, that parent
[00:18:19.360 --> 00:18:25.280]   that has to point to what you specifically eat on your plate in that moment?
[00:18:25.280 --> 00:18:26.480]   I mean, I just kind of stopped myself.
[00:18:26.480 --> 00:18:30.400]   And sometimes, yeah, that could be necessary, but I have to at least kind of like check
[00:18:30.400 --> 00:18:31.400]   myself, right?
[00:18:32.000 --> 00:18:38.480]   But on the other flip side, do I have a temptation to be non-involved because I'm tired, because
[00:18:38.480 --> 00:18:41.520]   I have enough to care for on my own, because we're busy?
[00:18:41.520 --> 00:18:42.880]   Oh, yeah.
[00:18:42.880 --> 00:18:48.920]   Because sometimes trying to engage another person and try to like pull conversation out
[00:18:48.920 --> 00:18:53.160]   of them is even harder mental work than just going and mowing the lawn or something like
[00:18:53.160 --> 00:18:54.160]   that, right?
[00:18:54.160 --> 00:18:57.760]   Do we have the temptation to neglect important people in our lives?
[00:18:57.760 --> 00:19:00.960]   And the answer is absolutely yes.
[00:19:00.960 --> 00:19:01.960]   But there's more.
[00:19:01.960 --> 00:19:06.480]   And again, I'm not going to spend a crazy amount of time, but there are a lot of things
[00:19:06.480 --> 00:19:07.480]   that we can do.
[00:19:07.480 --> 00:19:13.360]   Through the Bible, there are things that are shown to us.
[00:19:13.360 --> 00:19:17.840]   People have always used manipulation strategies to get what they want.
[00:19:17.840 --> 00:19:18.840]   Sometimes parents do it.
[00:19:18.840 --> 00:19:19.840]   Threats.
[00:19:19.840 --> 00:19:21.720]   I'm about to get angry.
[00:19:21.720 --> 00:19:24.120]   Don't make Appa angry, right?
[00:19:24.120 --> 00:19:25.920]   Sometimes we say, "You know what you always do?
[00:19:25.920 --> 00:19:29.160]   You always push my buttons, right?
[00:19:29.160 --> 00:19:32.360]   You can do immature things to our children sometimes.
[00:19:32.360 --> 00:19:35.640]   Sometimes we use strange consequences and reward systems.
[00:19:35.640 --> 00:19:41.040]   Parents, please do not bargain with your children, right?
[00:19:41.040 --> 00:19:47.120]   You need to set a kind of like, "This is what the Lord expects from you.
[00:19:47.120 --> 00:19:50.120]   God has placed me as responsible over you."
[00:19:50.120 --> 00:19:52.480]   Those are things that you need to communicate.
[00:19:52.480 --> 00:19:57.440]   Scripture has shown us that playing favorites is the worst, whether it be Jacob and Esau,
[00:19:57.440 --> 00:20:01.680]   whether it be this person and that person with King David.
[00:20:01.680 --> 00:20:03.520]   You have a lot of different things.
[00:20:03.520 --> 00:20:07.520]   Sometimes what frustrates children the most is that kind of comparing of one child to
[00:20:07.520 --> 00:20:09.360]   another.
[00:20:09.360 --> 00:20:18.440]   Parents who play this favoritism generally lead the children to fight, compete, and it
[00:20:18.440 --> 00:20:20.320]   just exacerbates the situation.
[00:20:20.320 --> 00:20:23.240]   Do we abuse the authority that we've been given?
[00:20:23.240 --> 00:20:27.480]   Again, I don't want to necessarily spend too much time on that, but you guys don't know
[00:20:27.480 --> 00:20:34.200]   what I'm talking about is when we sometimes have that responsibility, we can end up doing
[00:20:34.200 --> 00:20:39.560]   all sorts of things to try to exercise authority.
[00:20:39.560 --> 00:20:43.600]   Sometimes rather than actually exercising the authority that God has given us, we turn
[00:20:43.600 --> 00:20:48.880]   to human wisdom and the challenge for us to make sure that we don't do the opposite of
[00:20:48.880 --> 00:20:53.160]   what we're trying to do, which is essentially just enrage somebody rather than following
[00:20:53.160 --> 00:20:54.160]   us.
[00:20:54.160 --> 00:20:59.920]   The positive portion of this, Scripture says, is that we need to be bringing them up in
[00:20:59.920 --> 00:21:03.400]   the discipline and instruction of the Lord.
[00:21:03.400 --> 00:21:07.200]   Here's a passage from 2 Timothy 3:10-17.
[00:21:07.200 --> 00:21:12.520]   Now just by way of context, remember 2 Timothy 3:1 started off by saying, "In the latter's
[00:21:12.520 --> 00:21:14.720]   days it's going to be horrible.
[00:21:14.720 --> 00:21:21.160]   We're going to find all kinds of rebellion, disobedience, thanklessness, hard hearts, arrogance,
[00:21:21.160 --> 00:21:23.760]   and all kinds of vile things.
[00:21:23.760 --> 00:21:24.760]   What are we going to do?"
[00:21:24.760 --> 00:21:29.400]   You know sometimes when I talk to other parents, it's like, "Oh my goodness, I feel sorry for
[00:21:29.400 --> 00:21:30.560]   the next generation.
[00:21:30.560 --> 00:21:34.360]   I am so worried and so concerned for the next generation.
[00:21:34.360 --> 00:21:38.240]   What kind of world are our children going to grow up in?"
