
[00:00:00.000 --> 00:00:04.360]   and be convicted and then always God I pray that your word would bear its fruit
[00:03:04.320 --> 00:03:20.400]   [Music]
[00:03:20.400 --> 00:03:23.480]   [Music]
[00:03:23.480 --> 00:03:39.560]   [Music]
[00:03:39.560 --> 00:03:42.640]   [Music]
[00:03:42.640 --> 00:03:58.720]   [Music]
[00:03:58.720 --> 00:04:01.800]   [Music]
[00:04:01.800 --> 00:04:17.880]   [Music]
[00:04:17.880 --> 00:04:20.960]   [Music]
[00:04:20.960 --> 00:04:37.040]   [Music]
[00:04:37.040 --> 00:04:40.120]   [Music]
[00:04:40.120 --> 00:04:56.200]   [Music]
[00:04:56.200 --> 00:04:59.280]   [Music]
[00:04:59.280 --> 00:05:14.280]   [Music]
[00:05:14.280 --> 00:05:25.280]   [Music]
[00:05:25.280 --> 00:05:28.360]   [Music]
[00:05:28.360 --> 00:05:38.360]   [Music]
[00:05:38.360 --> 00:05:50.360]   [Music]
[00:05:50.360 --> 00:05:53.440]   [Music]
[00:05:53.440 --> 00:06:03.440]   [Music]
[00:06:03.440 --> 00:06:15.440]   [Music]
[00:06:15.440 --> 00:06:18.520]   [Music]
[00:06:18.520 --> 00:06:28.520]   [Music]
[00:06:28.520 --> 00:06:40.520]   [Music]
[00:06:40.520 --> 00:06:43.600]   [Music]
[00:06:43.600 --> 00:06:53.600]   [Music]
[00:06:53.600 --> 00:07:05.600]   [Music]
[00:07:05.600 --> 00:07:08.680]   [Music]
[00:07:08.680 --> 00:07:18.680]   [Music]
[00:07:18.680 --> 00:07:30.680]   [Music]
[00:07:30.680 --> 00:07:33.760]   [Music]
[00:07:33.760 --> 00:07:43.760]   [Music]
[00:07:43.760 --> 00:07:55.760]   [Music]
[00:07:55.760 --> 00:07:58.840]   [Music]
[00:07:58.840 --> 00:08:08.840]   [Music]
[00:08:08.840 --> 00:08:20.840]   [Music]
[00:08:20.840 --> 00:08:23.920]   [Music]
[00:08:23.920 --> 00:08:33.920]   [Music]
[00:08:33.920 --> 00:08:45.920]   [Music]
[00:08:45.920 --> 00:08:49.000]   [Music]
[00:08:49.000 --> 00:08:59.000]   [Music]
[00:08:59.000 --> 00:09:11.000]   [Music]
[00:09:12.000 --> 00:09:15.080]   [Music]
[00:09:15.080 --> 00:09:32.880]   Amen. Before we break up into our groups, I want to highlight a couple
[00:09:32.880 --> 00:09:39.920]   announcements wise. One, please remember that it really is helpful for us if you
[00:09:39.920 --> 00:09:44.920]   re-sign up for the Bible study through the the link that's going to be on our
[00:09:44.920 --> 00:09:48.880]   link tree and our Facebook and the app. So make sure you do that early so that
[00:09:48.880 --> 00:09:55.000]   we can coordinate our groups and put people into the appropriate places. Also,
[00:09:55.000 --> 00:09:59.280]   we've been mentioning that we need a accurate headcount for our fellowship
[00:09:59.280 --> 00:10:05.160]   lunch on January 1st, okay? Various volunteers are already purchasing
[00:10:05.160 --> 00:10:09.880]   supplies, getting the plan set for that lunch, but we just need people to give us
[00:10:09.880 --> 00:10:14.640]   a early heads up and headcount. So please make sure also the link to sign up for
[00:10:14.640 --> 00:10:18.240]   that is again on the app and on the Facebook, so make sure to do that, okay?
[00:10:18.240 --> 00:10:23.920]   And then finally, we've been mentioning that we have extras of the Christmas
[00:10:23.920 --> 00:10:28.280]   invitation cards and today I'm gonna put a box of it by the entrance. Please make
[00:10:28.280 --> 00:10:32.200]   sure that you're carefully thinking through friends and family that you want
[00:10:32.200 --> 00:10:36.360]   to evangelize to and then if you're gonna invite them out to church that day
[00:10:36.360 --> 00:10:42.000]   we will have our church's outreach team will have free Bibles, resources, people,
[00:10:42.000 --> 00:10:48.080]   our team members will be available for questions and follow-up too. So they're
[00:10:48.080 --> 00:10:51.240]   gonna be situated out in the courtyard and you could always bring them to that
[00:10:51.240 --> 00:10:55.400]   just to welcome them and give them resources, okay? Alright, so we're gonna go
[00:10:55.400 --> 00:10:58.720]   into our time of discussion and then later we'll be back for our final wrap-up.
[00:10:58.720 --> 00:11:01.080]   Thanks.
[00:11:01.080 --> 00:11:29.960]   [background chatter]
[00:11:30.280 --> 00:11:32.280]   [no audio]
[00:11:32.280 --> 00:11:34.280]   [no audio]
[00:11:34.280 --> 00:11:36.280]   [no audio]
[00:11:36.280 --> 00:11:38.280]   [no audio]
[00:11:38.280 --> 00:11:40.280]   [no audio]
[00:11:40.280 --> 00:11:42.280]   [no audio]
[00:11:42.280 --> 00:11:44.280]   [no audio]
[00:11:44.280 --> 00:11:46.280]   [no audio]
[00:11:46.280 --> 00:11:48.280]   [no audio]
[00:11:48.280 --> 00:11:50.280]   [no audio]
[00:11:50.280 --> 00:11:52.280]   [no audio]
[00:11:52.280 --> 00:11:54.280]   [no audio]
[00:11:54.280 --> 00:11:56.280]   [no audio]
[00:11:56.280 --> 00:11:58.280]   [no audio]
[00:11:58.280 --> 00:12:00.280]   [no audio]
[00:12:00.280 --> 00:12:02.280]   [no audio]
[00:12:02.280 --> 00:12:04.280]   [no audio]
[00:12:04.280 --> 00:12:06.280]   [no audio]
[00:12:06.280 --> 00:12:08.280]   [no audio]
[00:12:08.280 --> 00:12:10.280]   [no audio]
[00:12:10.280 --> 00:12:12.280]   [no audio]
[00:12:12.280 --> 00:12:14.280]   [no audio]
[00:12:14.280 --> 00:12:16.280]   [no audio]
[00:12:16.280 --> 00:12:18.280]   [no audio]
[00:12:18.280 --> 00:12:20.280]   [no audio]
[00:12:20.280 --> 00:12:22.280]   [no audio]
[00:12:22.280 --> 00:12:24.280]   [no audio]
[00:12:24.280 --> 00:12:26.280]   [no audio]
[00:12:26.280 --> 00:12:28.340]   you
[00:12:28.340 --> 00:12:30.400]   you
[00:12:30.400 --> 00:12:32.460]   you
[00:12:32.460 --> 00:12:34.520]   you
[00:12:34.520 --> 00:12:36.580]   you
[00:12:36.580 --> 00:12:38.640]   you
[00:12:38.640 --> 00:12:40.700]   you
[00:12:40.700 --> 00:12:42.760]   you
[00:12:42.760 --> 00:12:44.820]   you
[00:12:44.820 --> 00:12:46.880]   you
[00:12:46.880 --> 00:12:48.940]   you
[00:12:48.940 --> 00:12:51.000]   you
[00:12:51.000 --> 00:12:53.060]   you
[00:12:53.060 --> 00:12:55.120]   you
[00:12:55.120 --> 00:12:57.180]   you
[00:12:57.180 --> 00:12:59.240]   you
[00:12:59.240 --> 00:13:01.300]   you
[00:13:01.300 --> 00:13:03.360]   you
[00:13:03.360 --> 00:13:05.420]   you
[00:13:05.420 --> 00:13:07.480]   you
[00:13:07.480 --> 00:13:09.540]   you
[00:13:09.540 --> 00:13:11.600]   you
[00:13:11.600 --> 00:13:13.660]   you
[00:13:14.660 --> 00:13:16.720]   you
[00:13:16.720 --> 00:13:18.780]   you
[00:13:18.780 --> 00:13:20.840]   you
[00:13:20.840 --> 00:13:22.900]   you
[00:13:22.900 --> 00:13:24.960]   you
[00:13:24.960 --> 00:13:27.020]   you
[00:13:27.020 --> 00:13:29.080]   you
[00:13:29.080 --> 00:13:31.140]   you
[00:13:31.140 --> 00:13:33.200]   you
[00:13:33.200 --> 00:13:35.260]   you
[00:13:35.260 --> 00:13:37.320]   you
[00:13:37.320 --> 00:13:39.380]   you
[00:13:39.380 --> 00:13:41.440]   you
[00:13:41.440 --> 00:13:43.500]   you
[00:13:43.500 --> 00:13:45.560]   you
[00:13:45.560 --> 00:13:47.620]   you
[00:13:47.620 --> 00:13:49.680]   you
[00:13:49.680 --> 00:13:51.740]   you
[00:13:51.740 --> 00:13:53.800]   you
[00:13:53.800 --> 00:13:55.860]   you
[00:13:55.860 --> 00:13:57.920]   you
[00:13:57.920 --> 00:13:59.980]   you
[00:13:59.980 --> 00:14:02.040]   you
[00:14:02.040 --> 00:14:04.100]   you
[00:14:04.100 --> 00:14:06.160]   you
[00:14:06.160 --> 00:14:08.220]   you
[00:14:08.220 --> 00:14:10.280]   you
[00:14:10.280 --> 00:14:12.340]   you
[00:14:12.340 --> 00:14:14.400]   you
[00:14:14.400 --> 00:14:16.460]   you
[00:14:16.460 --> 00:14:18.520]   you
[00:14:18.520 --> 00:14:20.580]   you
[00:14:20.580 --> 00:14:22.640]   you
[00:14:22.640 --> 00:14:24.700]   you
[00:14:24.700 --> 00:14:26.760]   you
[00:14:26.760 --> 00:14:28.820]   you
[00:14:28.820 --> 00:14:30.880]   you
[00:14:30.880 --> 00:14:32.940]   you
[00:14:32.940 --> 00:14:35.000]   you
[00:14:35.000 --> 00:14:37.060]   you
[00:14:37.060 --> 00:14:39.120]   you
[00:14:39.120 --> 00:14:41.180]   you
[00:14:41.180 --> 00:14:43.240]   you
[00:14:43.240 --> 00:14:45.300]   you
[00:14:45.300 --> 00:14:47.360]   you
[00:14:47.360 --> 00:14:49.420]   you
[00:14:49.420 --> 00:14:51.480]   you
[00:14:51.480 --> 00:15:01.480]   [BLANK_AUDIO]
[00:15:01.480 --> 00:15:11.480]   [BLANK_AUDIO]
[00:15:11.480 --> 00:15:21.480]   [BLANK_AUDIO]
[00:15:21.480 --> 00:15:31.480]   [BLANK_AUDIO]
[00:15:31.480 --> 00:15:41.480]   [BLANK_AUDIO]
[00:15:41.480 --> 00:15:51.480]   [BLANK_AUDIO]
[00:15:51.480 --> 00:16:01.480]   [BLANK_AUDIO]
[00:16:01.480 --> 00:16:11.480]   [BLANK_AUDIO]
[00:16:11.480 --> 00:16:21.480]   [BLANK_AUDIO]
[00:16:21.480 --> 00:16:31.480]   [BLANK_AUDIO]
[00:16:31.480 --> 00:16:41.480]   [BLANK_AUDIO]
[00:16:41.480 --> 00:16:51.480]   [BLANK_AUDIO]
[00:16:51.480 --> 00:17:01.480]   [BLANK_AUDIO]
[00:17:01.480 --> 00:17:11.480]   [BLANK_AUDIO]
[00:17:11.480 --> 00:17:21.480]   [BLANK_AUDIO]
[00:17:21.480 --> 00:17:31.480]   [BLANK_AUDIO]
[00:17:31.480 --> 00:17:41.480]   [BLANK_AUDIO]
[00:17:41.480 --> 00:17:51.480]   [BLANK_AUDIO]
[00:17:51.480 --> 00:18:01.480]   [BLANK_AUDIO]
[00:18:01.480 --> 00:18:11.480]   [BLANK_AUDIO]
[00:18:11.480 --> 00:18:21.480]   [BLANK_AUDIO]
[00:18:21.480 --> 00:18:31.480]   [BLANK_AUDIO]
[00:18:31.480 --> 00:18:41.480]   [BLANK_AUDIO]
[00:18:41.480 --> 00:18:51.480]   [BLANK_AUDIO]
[00:18:51.480 --> 00:19:01.480]   [BLANK_AUDIO]
[00:19:01.480 --> 00:19:11.480]   [BLANK_AUDIO]
[00:19:11.480 --> 00:19:21.480]   [BLANK_AUDIO]
[00:19:21.480 --> 00:19:31.480]   [BLANK_AUDIO]
[00:19:31.480 --> 00:19:41.480]   [BLANK_AUDIO]
[00:19:41.480 --> 00:19:51.480]   [BLANK_AUDIO]
[00:19:51.480 --> 00:20:01.480]   [BLANK_AUDIO]
[00:20:01.480 --> 00:20:11.480]   [BLANK_AUDIO]
[00:20:11.480 --> 00:20:21.480]   [BLANK_AUDIO]
[00:20:21.480 --> 00:20:31.480]   [BLANK_AUDIO]
[00:20:31.480 --> 00:20:41.480]   [BLANK_AUDIO]
[00:20:41.480 --> 00:20:51.480]   [BLANK_AUDIO]
[00:20:51.480 --> 00:21:01.480]   [BLANK_AUDIO]
[00:21:01.480 --> 00:21:11.480]   [BLANK_AUDIO]
[00:21:11.480 --> 00:21:21.480]   [BLANK_AUDIO]
[00:21:21.480 --> 00:21:31.480]   [BLANK_AUDIO]
[00:21:31.480 --> 00:21:41.480]   [BLANK_AUDIO]
[00:21:41.480 --> 00:21:51.480]   [BLANK_AUDIO]
[00:21:51.480 --> 00:22:01.480]   [BLANK_AUDIO]
[00:22:01.480 --> 00:22:11.480]   [BLANK_AUDIO]
[00:22:11.480 --> 00:22:21.480]   [BLANK_AUDIO]
[00:22:21.480 --> 00:22:31.480]   [BLANK_AUDIO]
[00:22:31.480 --> 00:22:41.480]   [BLANK_AUDIO]
[00:22:41.480 --> 00:22:51.480]   [BLANK_AUDIO]
[00:22:51.480 --> 00:23:01.480]   [BLANK_AUDIO]
[00:23:01.480 --> 00:23:11.480]   [BLANK_AUDIO]
[00:23:11.480 --> 00:23:21.480]   [BLANK_AUDIO]
[00:23:21.480 --> 00:23:31.480]   [BLANK_AUDIO]
[00:23:31.480 --> 00:23:41.480]   [BLANK_AUDIO]
[00:23:41.480 --> 00:23:51.480]   [BLANK_AUDIO]
[00:23:51.480 --> 00:24:01.480]   [BLANK_AUDIO]
[00:24:01.480 --> 00:24:11.480]   [BLANK_AUDIO]
[00:24:11.480 --> 00:24:21.480]   [BLANK_AUDIO]
[00:24:21.480 --> 00:24:31.480]   [BLANK_AUDIO]
[00:24:31.480 --> 00:24:41.480]   [BLANK_AUDIO]
[00:24:41.480 --> 00:24:51.480]   [BLANK_AUDIO]
[00:24:51.480 --> 00:25:01.480]   [BLANK_AUDIO]
[00:25:01.480 --> 00:25:11.480]   [BLANK_AUDIO]
[00:25:11.480 --> 00:25:21.480]   [BLANK_AUDIO]
[00:25:21.480 --> 00:25:31.480]   [BLANK_AUDIO]
[00:25:31.480 --> 00:25:41.480]   [BLANK_AUDIO]
[00:25:41.480 --> 00:25:51.480]   [BLANK_AUDIO]
[00:25:51.480 --> 00:26:01.480]   [BLANK_AUDIO]
[00:26:01.480 --> 00:26:11.480]   [BLANK_AUDIO]
[00:26:11.480 --> 00:26:21.480]   [BLANK_AUDIO]
[00:26:21.480 --> 00:26:31.480]   [BLANK_AUDIO]
[00:26:31.480 --> 00:26:41.480]   [BLANK_AUDIO]
[00:26:41.480 --> 00:26:51.480]   [BLANK_AUDIO]
[00:26:51.480 --> 00:27:01.480]   [BLANK_AUDIO]
[00:27:01.480 --> 00:27:11.480]   [BLANK_AUDIO]
[00:27:11.480 --> 00:27:21.480]   [BLANK_AUDIO]
[00:27:21.480 --> 00:27:31.480]   [BLANK_AUDIO]
[00:27:31.480 --> 00:27:41.480]   [BLANK_AUDIO]
[00:27:41.480 --> 00:27:51.480]   [BLANK_AUDIO]
[00:27:51.480 --> 00:28:01.480]   [BLANK_AUDIO]
[00:28:01.480 --> 00:28:11.480]   [BLANK_AUDIO]
[00:28:11.480 --> 00:28:21.480]   [BLANK_AUDIO]
[00:28:21.480 --> 00:28:31.480]   [BLANK_AUDIO]
[00:28:31.480 --> 00:28:41.480]   [BLANK_AUDIO]
[00:28:41.480 --> 00:28:51.480]   [BLANK_AUDIO]
[00:28:51.480 --> 00:29:01.480]   [BLANK_AUDIO]
[00:29:01.480 --> 00:29:11.480]   [BLANK_AUDIO]
[00:29:11.480 --> 00:29:21.480]   [BLANK_AUDIO]
[00:29:21.480 --> 00:29:31.480]   [BLANK_AUDIO]
[00:29:31.480 --> 00:29:41.480]   [BLANK_AUDIO]
[00:29:41.480 --> 00:29:51.480]   [BLANK_AUDIO]
[00:29:51.480 --> 00:30:01.480]   [BLANK_AUDIO]
[00:30:01.480 --> 00:30:11.480]   [BLANK_AUDIO]
[00:30:11.480 --> 00:30:21.480]   [BLANK_AUDIO]
[00:30:21.480 --> 00:30:31.480]   [BLANK_AUDIO]
[00:30:31.480 --> 00:30:41.480]   [BLANK_AUDIO]
[00:30:41.480 --> 00:30:51.480]   [BLANK_AUDIO]
[00:30:51.480 --> 00:31:01.480]   [BLANK_AUDIO]
[00:31:01.480 --> 00:31:11.480]   [BLANK_AUDIO]
[00:31:11.480 --> 00:31:21.480]   [BLANK_AUDIO]
[00:31:21.480 --> 00:31:31.480]   [BLANK_AUDIO]
[00:31:31.480 --> 00:31:41.480]   [BLANK_AUDIO]
[00:31:41.480 --> 00:31:51.480]   [BLANK_AUDIO]
[00:31:51.480 --> 00:32:01.480]   [BLANK_AUDIO]
[00:32:01.480 --> 00:32:11.480]   [BLANK_AUDIO]
[00:32:11.480 --> 00:32:21.480]   [BLANK_AUDIO]
[00:32:21.480 --> 00:32:31.480]   [BLANK_AUDIO]
[00:32:31.480 --> 00:32:41.480]   [BLANK_AUDIO]
[00:32:41.480 --> 00:32:51.480]   [BLANK_AUDIO]
[00:32:51.480 --> 00:33:01.480]   [BLANK_AUDIO]
[00:33:01.480 --> 00:33:11.480]   [BLANK_AUDIO]
[00:33:11.480 --> 00:33:21.480]   [BLANK_AUDIO]
[00:33:21.480 --> 00:33:31.480]   [BLANK_AUDIO]
[00:33:31.480 --> 00:33:41.480]   [BLANK_AUDIO]
[00:33:41.480 --> 00:33:51.480]   [BLANK_AUDIO]
[00:33:51.480 --> 00:34:01.480]   [BLANK_AUDIO]
[00:34:01.480 --> 00:34:11.480]   [BLANK_AUDIO]
[00:34:11.480 --> 00:34:21.480]   [BLANK_AUDIO]
[00:34:21.480 --> 00:34:31.480]   [BLANK_AUDIO]
[00:34:31.480 --> 00:34:41.480]   [BLANK_AUDIO]
[00:34:41.480 --> 00:34:51.480]   [BLANK_AUDIO]
[00:34:51.480 --> 00:35:01.480]   [BLANK_AUDIO]
[00:35:01.480 --> 00:35:11.480]   [BLANK_AUDIO]
[00:35:11.480 --> 00:35:21.480]   [BLANK_AUDIO]
[00:35:21.480 --> 00:35:31.480]   [BLANK_AUDIO]
[00:35:31.480 --> 00:35:41.480]   [BLANK_AUDIO]
[00:35:41.480 --> 00:35:51.480]   [BLANK_AUDIO]
[00:35:51.480 --> 00:36:01.480]   [BLANK_AUDIO]
[00:36:01.480 --> 00:36:11.480]   [BLANK_AUDIO]
[00:36:11.480 --> 00:36:21.480]   [BLANK_AUDIO]
[00:36:21.480 --> 00:36:31.480]   [BLANK_AUDIO]
[00:36:31.480 --> 00:36:41.480]   [BLANK_AUDIO]
[00:36:41.480 --> 00:36:51.480]   [BLANK_AUDIO]
[00:36:51.480 --> 00:37:01.480]   [BLANK_AUDIO]
[00:37:01.480 --> 00:37:11.480]   [BLANK_AUDIO]
[00:37:11.480 --> 00:37:21.480]   [BLANK_AUDIO]
[00:37:21.480 --> 00:37:31.480]   [BLANK_AUDIO]
[00:37:31.480 --> 00:37:41.480]   [BLANK_AUDIO]
[00:37:41.480 --> 00:37:51.480]   [BLANK_AUDIO]
[00:37:51.480 --> 00:38:01.480]   [BLANK_AUDIO]
[00:38:01.480 --> 00:38:11.480]   [BLANK_AUDIO]
[00:38:11.480 --> 00:38:21.480]   [BLANK_AUDIO]
[00:38:21.480 --> 00:38:31.480]   [BLANK_AUDIO]
[00:38:31.480 --> 00:38:41.480]   [BLANK_AUDIO]
[00:38:41.480 --> 00:38:51.480]   [BLANK_AUDIO]
[00:38:51.480 --> 00:39:01.480]   [BLANK_AUDIO]
[00:39:01.480 --> 00:39:11.480]   [BLANK_AUDIO]
[00:39:11.480 --> 00:39:21.480]   [BLANK_AUDIO]
[00:39:21.480 --> 00:39:31.480]   [BLANK_AUDIO]
[00:39:31.480 --> 00:39:41.480]   [BLANK_AUDIO]
[00:39:41.480 --> 00:39:51.480]   [BLANK_AUDIO]
[00:39:51.480 --> 00:40:01.480]   [BLANK_AUDIO]
[00:40:01.480 --> 00:40:11.480]   [BLANK_AUDIO]
[00:40:11.480 --> 00:40:21.480]   [BLANK_AUDIO]
[00:40:21.480 --> 00:40:31.480]   [BLANK_AUDIO]
[00:40:31.480 --> 00:40:41.480]   [BLANK_AUDIO]
[00:40:41.480 --> 00:40:51.480]   [BLANK_AUDIO]
[00:40:51.480 --> 00:41:01.480]   [BLANK_AUDIO]
[00:41:01.480 --> 00:41:11.480]   [BLANK_AUDIO]
[00:41:11.480 --> 00:41:21.480]   [BLANK_AUDIO]
[00:41:21.480 --> 00:41:31.480]   [BLANK_AUDIO]
[00:41:31.480 --> 00:41:41.480]   [BLANK_AUDIO]
[00:41:41.480 --> 00:41:51.480]   [BLANK_AUDIO]
[00:41:51.480 --> 00:42:01.480]   [BLANK_AUDIO]
[00:42:01.480 --> 00:42:11.480]   [BLANK_AUDIO]
[00:42:11.480 --> 00:42:21.480]   [BLANK_AUDIO]
[00:42:21.480 --> 00:42:31.480]   [BLANK_AUDIO]
[00:42:31.480 --> 00:42:41.480]   [BLANK_AUDIO]
[00:42:41.480 --> 00:42:51.480]   [BLANK_AUDIO]
[00:42:51.480 --> 00:43:01.480]   [BLANK_AUDIO]
[00:43:01.480 --> 00:43:11.480]   [BLANK_AUDIO]
[00:43:11.480 --> 00:43:21.480]   [BLANK_AUDIO]
[00:43:21.480 --> 00:43:31.480]   [BLANK_AUDIO]
[00:43:31.480 --> 00:43:41.480]   [BLANK_AUDIO]
[00:43:41.480 --> 00:43:51.480]   [BLANK_AUDIO]
[00:43:51.480 --> 00:44:01.480]   [BLANK_AUDIO]
[00:44:01.480 --> 00:44:11.480]   [BLANK_AUDIO]
[00:44:11.480 --> 00:44:21.480]   [BLANK_AUDIO]
[00:44:21.480 --> 00:44:31.480]   [BLANK_AUDIO]
[00:44:31.480 --> 00:44:41.480]   [BLANK_AUDIO]
[00:44:41.480 --> 00:44:51.480]   [BLANK_AUDIO]
[00:44:51.480 --> 00:45:01.480]   [BLANK_AUDIO]
[00:45:01.480 --> 00:45:11.480]   [BLANK_AUDIO]
[00:45:11.480 --> 00:45:21.480]   [BLANK_AUDIO]
[00:45:21.480 --> 00:45:31.480]   [BLANK_AUDIO]
[00:45:31.480 --> 00:45:41.480]   [BLANK_AUDIO]
[00:45:41.480 --> 00:45:51.480]   [BLANK_AUDIO]
[00:45:51.480 --> 00:46:01.480]   [BLANK_AUDIO]
[00:46:01.480 --> 00:46:11.480]   [BLANK_AUDIO]
[00:46:11.480 --> 00:46:21.480]   [BLANK_AUDIO]
[00:46:21.480 --> 00:46:31.480]   [BLANK_AUDIO]
[00:46:31.480 --> 00:46:41.480]   [BLANK_AUDIO]
[00:46:41.480 --> 00:46:51.480]   [BLANK_AUDIO]
[00:46:51.480 --> 00:47:01.480]   [BLANK_AUDIO]
[00:47:01.480 --> 00:47:11.480]   [BLANK_AUDIO]
[00:47:11.480 --> 00:47:21.480]   [BLANK_AUDIO]
[00:47:21.480 --> 00:47:31.480]   [BLANK_AUDIO]
[00:47:31.480 --> 00:47:37.480]   [BLANK_AUDIO]
[00:47:37.480 --> 00:47:47.480]   [BLANK_AUDIO]
[00:47:47.480 --> 00:47:57.480]   [BLANK_AUDIO]
[00:47:57.480 --> 00:48:07.480]   [BLANK_AUDIO]
[00:48:07.480 --> 00:48:17.480]   [BLANK_AUDIO]
[00:48:17.480 --> 00:48:27.480]   [BLANK_AUDIO]
[00:48:27.480 --> 00:48:37.480]   [BLANK_AUDIO]
[00:48:37.480 --> 00:48:47.480]   [BLANK_AUDIO]
[00:48:47.480 --> 00:48:57.480]   [BLANK_AUDIO]
[00:48:57.480 --> 00:49:07.480]   [BLANK_AUDIO]
[00:49:07.480 --> 00:49:17.480]   [BLANK_AUDIO]
[00:49:17.480 --> 00:49:27.480]   [BLANK_AUDIO]
[00:49:27.480 --> 00:49:37.480]   [BLANK_AUDIO]
[00:49:37.480 --> 00:49:47.480]   [BLANK_AUDIO]
[00:49:47.480 --> 00:49:57.480]   [BLANK_AUDIO]
[00:49:57.480 --> 00:49:58.480]   >> All right.
[00:49:58.480 --> 00:50:01.480]   [BLANK_AUDIO]
[00:50:01.480 --> 00:50:06.480]   Again, if you didn't finish, I'll give you more time at the end.
[00:50:06.480 --> 00:50:08.480]   Hopefully you'll have more time at the end to finish your dinner.
[00:50:08.480 --> 00:50:12.480]   I'm in your discussion at the end.
[00:50:12.480 --> 00:50:14.480]   [BLANK_AUDIO]
[00:50:14.480 --> 00:50:16.480]   There's so much food on the table.
[00:50:16.480 --> 00:50:26.480]   [BLANK_AUDIO]
[00:50:26.480 --> 00:50:28.480]   All right.
[00:50:28.480 --> 00:50:30.480]   All right, if I can have your attention.
[00:50:30.480 --> 00:50:32.480]   [BLANK_AUDIO]
[00:50:32.480 --> 00:50:34.480]   I'm gonna try to make my portion short.
[00:50:34.480 --> 00:50:36.480]   At least I'm gonna try to.
[00:50:36.480 --> 00:50:38.480]   Today is our last session.
[00:50:38.480 --> 00:50:45.480]   We're just kind of wrapping up and hopefully you'll be able to digest and remember a lot of this stuff.
[00:50:45.480 --> 00:50:53.480]   So that two months afterwards when you say, what's 2 Peter's theme, right, that you'll be able to recollect.
[00:50:53.480 --> 00:50:59.480]   If somebody asks you a question like, what's the text that I should go to that has some doctrines of the end times?
[00:50:59.480 --> 00:51:04.480]   Or somebody asks you, why is it taking so long for Christ to come?
[00:51:04.480 --> 00:51:07.480]   What text would you open to?
[00:51:07.480 --> 00:51:08.480]   Right?
[00:51:08.480 --> 00:51:13.480]   Or if somebody said, what's the motivation for sanctification?
[00:51:13.480 --> 00:51:14.480]   Right?
[00:51:14.480 --> 00:51:20.480]   Like, what are some qualities that we should be working toward?
[00:51:20.480 --> 00:51:23.480]   What text would you go to?
[00:51:23.480 --> 00:51:25.480]   Chapter 1, right, in the beginning.
[00:51:25.480 --> 00:51:32.480]   Or somebody asked you, what are some qualities of the false prophets that we should be watching out for?
[00:51:32.480 --> 00:51:34.480]   Chapter 2, 2 Peter.
