
[00:00:00.000 --> 00:00:06.480]   - Hello everyone.
[00:06:56.500 --> 00:06:58.420]   Clearly a concept of dependency.
[00:06:58.420 --> 00:07:01.900]   I think I'd like to take a moment
[00:07:01.900 --> 00:07:04.580]   to just meditate on this a little bit.
[00:07:04.580 --> 00:07:06.020]   I think in our day,
[00:07:06.020 --> 00:07:11.980]   I think that in meditation upon this idea of strength,
[00:07:11.980 --> 00:07:15.820]   that right now there is this kind of sentiment and talk
[00:07:15.820 --> 00:07:21.220]   that maybe is a little too accustomed to failure.
[00:07:21.220 --> 00:07:22.860]   And what I mean by that is sometimes
[00:07:22.860 --> 00:07:25.620]   when I even look up people talking about leadership
[00:07:25.620 --> 00:07:28.420]   or what is the regular Christian experience,
[00:07:28.420 --> 00:07:30.100]   they almost talk as though it's like,
[00:07:30.100 --> 00:07:31.980]   yeah, we all know what it means to fail
[00:07:31.980 --> 00:07:33.940]   again and again and again.
[00:07:33.940 --> 00:07:36.620]   And as a leader, you're not like way up there
[00:07:36.620 --> 00:07:38.180]   telling all the people, come on, come on.
[00:07:38.180 --> 00:07:40.580]   You're pretty much failing with other people
[00:07:40.580 --> 00:07:43.860]   and just encouraging them, let's just keep going, right?
[00:07:43.860 --> 00:07:45.980]   Well, clearly the expectation for you is not,
[00:07:45.980 --> 00:07:48.420]   you know, you're going to fail all the time,
[00:07:48.420 --> 00:07:50.860]   but so long as you're in the Lord, it's okay.
[00:07:50.860 --> 00:07:53.180]   Like that is not necessarily the picture
[00:07:53.180 --> 00:07:56.180]   that this passage depicts.
[00:07:56.180 --> 00:07:59.260]   The passage depicts you standing your ground
[00:07:59.260 --> 00:08:01.700]   in the Lord, depending on Him.
[00:08:02.740 --> 00:08:05.180]   The other extreme error is for you to think
[00:08:05.180 --> 00:08:08.620]   that by stacking up as much Bible knowledge as you can,
[00:08:08.620 --> 00:08:09.860]   you're going to be so strong
[00:08:09.860 --> 00:08:12.620]   that you don't need to daily rely on the Lord.
[00:08:12.620 --> 00:08:16.620]   That somehow, or even on a daily level,
[00:08:16.620 --> 00:08:18.780]   that because you did your devotion in the morning,
[00:08:18.780 --> 00:08:21.780]   that through the day, you don't need to rely on Him.
[00:08:21.780 --> 00:08:24.540]   That would be another misconception, right?
[00:08:24.540 --> 00:08:27.660]   There is this idea here, you're supposed to abide in Christ
[00:08:27.660 --> 00:08:32.500]   and Christ has already told us, by yourself, completely lost.
[00:08:32.500 --> 00:08:34.380]   By yourself, incapable.
[00:08:34.380 --> 00:08:36.860]   By yourself, nothing is possible.
[00:08:36.860 --> 00:08:39.700]   But in the Lord, all is possible, right?
[00:08:39.700 --> 00:08:40.700]   So the question here is,
[00:08:40.700 --> 00:08:44.780]   do you understand this expectation for you?
[00:08:44.780 --> 00:08:46.700]   Like what it means to be strong in the Lord
[00:08:46.700 --> 00:08:48.980]   for you in your day, okay?
[00:08:48.980 --> 00:08:51.980]   Next, point two.
[00:08:51.980 --> 00:08:55.380]   He says, in relation to you being strong,
[00:08:55.380 --> 00:08:58.340]   what you need to do, this is so instructional,
[00:08:58.340 --> 00:09:02.020]   is you need to put on the full armor of God, okay?
[00:09:02.020 --> 00:09:03.300]   Put on the full armor of God.
[00:09:03.300 --> 00:09:04.700]   Now, we're going to talk about
[00:09:04.700 --> 00:09:06.340]   all the different pieces later.
[00:09:06.340 --> 00:09:08.420]   And again, such a straightforward command, right?
[00:09:08.420 --> 00:09:09.620]   We don't need to sit here and say,
[00:09:09.620 --> 00:09:11.420]   what it means to put on is, right?
[00:09:11.420 --> 00:09:14.060]   You need to make sure you're grabbing every single piece
[00:09:14.060 --> 00:09:17.380]   that you can and put on the full armor of the Lord.
[00:09:17.380 --> 00:09:19.380]   What's interesting though, is that passage,
[00:09:19.380 --> 00:09:22.500]   it highlights this idea of putting on the armor of God,
[00:09:22.500 --> 00:09:25.900]   but it pauses to give you the motivation.
[00:09:25.900 --> 00:09:28.940]   The motivation is so that you,
[00:09:28.940 --> 00:09:32.020]   you as a child of God, you as a Christian,
[00:09:32.020 --> 00:09:35.500]   you will be able to stand firm, okay?
[00:09:35.500 --> 00:09:37.460]   Now, I want you guys to think about this a little bit.
[00:09:37.460 --> 00:09:40.260]   There is this like exhortation
[00:09:40.260 --> 00:09:41.980]   and there is this motivation given to you.
[00:09:41.980 --> 00:09:43.420]   Like, you're going to be able to do this
[00:09:43.420 --> 00:09:44.260]   and that kind of stuff.
[00:09:44.260 --> 00:09:45.900]   So I totally imagine right now,
[00:09:45.900 --> 00:09:49.300]   there's in this passage already a sentiment of the soldier.
[00:09:49.300 --> 00:09:51.140]   And so I imagine the drill inspector saying,
[00:09:51.140 --> 00:09:53.500]   you need to get ready, you know?
[00:09:53.500 --> 00:09:54.500]   And I'll tell you honestly,
[00:09:54.500 --> 00:09:58.420]   recently I've been researching a lot about like home defense
[00:09:58.420 --> 00:09:59.660]   with all the stuff going on,
[00:09:59.660 --> 00:10:01.620]   but also, you know, I see the news
[00:10:01.620 --> 00:10:02.900]   and sometimes there are some things
[00:10:02.900 --> 00:10:04.860]   like happening close to my home.
[00:10:04.860 --> 00:10:07.980]   My wife and I have been watching like preparedness
[00:10:07.980 --> 00:10:08.820]   and readiness.
[00:10:08.820 --> 00:10:10.180]   Do we know an escape plan?
[00:10:10.180 --> 00:10:11.820]   Step one, like, do you know like,
[00:10:11.820 --> 00:10:15.060]   what are the vulnerable portions of your house?
[00:10:15.060 --> 00:10:17.060]   I just want to warn you,
[00:10:17.060 --> 00:10:19.220]   don't get too caught up into some of those videos
[00:10:19.220 --> 00:10:22.060]   because man, paranoia is like through the roof, okay?
[00:10:22.060 --> 00:10:25.500]   But I got to tell you something,
[00:10:25.500 --> 00:10:27.700]   in a desire to get ready, I bought Bia
[00:10:27.700 --> 00:10:30.180]   or I asked Bia to order on Amazon some pepper spray,
[00:10:30.180 --> 00:10:33.100]   one pepper spray, one for her, one for me, okay?
[00:10:33.100 --> 00:10:35.140]   So we feel a little bit more ready for danger
[00:10:35.140 --> 00:10:37.740]   because we can spray somebody in the eye.
[00:10:37.740 --> 00:10:40.540]   Now, the thing about it is there's all these videos
[00:10:40.540 --> 00:10:42.180]   and there was, I came across a guy,
[00:10:42.180 --> 00:10:43.020]   I'm not going to name him,
[00:10:43.020 --> 00:10:45.420]   it's a pretty interesting YouTube channel.
[00:10:45.420 --> 00:10:50.420]   And he said he is so in love with ready and preparedness
[00:10:50.420 --> 00:10:53.500]   that he decked out his home and his car.
[00:10:53.500 --> 00:10:54.860]   And because I like cars and stuff,
[00:10:54.860 --> 00:10:55.900]   I was like, ooh, that's interesting.
[00:10:55.900 --> 00:11:00.900]   I looked it up and in his car, he had three pistols,
[00:11:00.900 --> 00:11:04.460]   one AR rifle, four gloves,
[00:11:04.460 --> 00:11:07.700]   a rain jacket that has easy access to his pistols.
[00:11:07.700 --> 00:11:11.500]   He had specialty umbrellas, tactical flashlights.
[00:11:11.500 --> 00:11:15.860]   He had an ankle first aid kit, an ankle handcuff kit.
[00:11:15.860 --> 00:11:17.900]   He had a large first aid kit.
[00:11:17.900 --> 00:11:21.740]   He had extra magazines and different doorwells of his car.
[00:11:21.740 --> 00:11:24.460]   Underneath his kids, he had a kid's car seat.
[00:11:24.460 --> 00:11:26.660]   Underneath, he had extra magazines.
[00:11:26.660 --> 00:11:29.660]   And then at a certain moment, he kind of paused like,
[00:11:29.660 --> 00:11:31.500]   hey, chill out, man.
[00:11:31.500 --> 00:11:34.220]   I don't got no more room, okay?
[00:11:34.220 --> 00:11:35.220]   And then he started going off
[00:11:35.220 --> 00:11:37.220]   about how prepared and ready he was.
[00:11:37.220 --> 00:11:40.460]   He had a backpack in case he needed to go off into the woods
[00:11:40.460 --> 00:11:42.940]   that he would survive for three days.
[00:11:42.940 --> 00:11:44.680]   And he's going around his car
[00:11:44.680 --> 00:11:47.540]   showing how ready and prepared he is.
[00:11:47.540 --> 00:11:50.500]   And I thought that was pretty hilarious.
[00:11:50.500 --> 00:11:53.380]   Now, that kind of made me think about it a little bit.
[00:11:53.380 --> 00:11:56.220]   I laugh at him because, man, at some point,
[00:11:56.220 --> 00:11:57.820]   I mean, are you really gonna stick a rifle
[00:11:57.820 --> 00:11:59.580]   underneath your kid's car seat?
[00:11:59.580 --> 00:12:02.220]   Are you really gonna stick just magazines
[00:12:02.220 --> 00:12:04.900]   of bullets and ammunition all over your vehicle?
[00:12:04.900 --> 00:12:08.460]   And the reason why that looks kind of silly is because,
[00:12:08.460 --> 00:12:09.460]   why does that look silly, right?
[00:12:09.460 --> 00:12:10.560]   Just take a moment to think about that.
[00:12:10.560 --> 00:12:11.420]   Before I give the answer,
[00:12:11.420 --> 00:12:14.540]   take a moment to think about why is that silly
[00:12:14.540 --> 00:12:18.700]   when a man drives around with essentially a fortified truck?
[00:12:18.700 --> 00:12:22.340]   The reason why is 'cause it may or may not happen.
[00:12:23.180 --> 00:12:24.220]   Yeah?
[00:12:24.220 --> 00:12:25.780]   It's kind of like, don't you get annoyed
[00:12:25.780 --> 00:12:27.500]   when those people, right, who are like,
[00:12:27.500 --> 00:12:29.060]   "Oh, no, I need to take a light sweater,
[00:12:29.060 --> 00:12:31.220]   "a thick sweater, whatever it may be,
[00:12:31.220 --> 00:12:32.960]   "and just come on, we're just going out.
[00:12:32.960 --> 00:12:34.380]   "It's not gonna rain, right?
[00:12:34.380 --> 00:12:36.740]   "It's not gonna be this, and it's not gonna be that."
[00:12:36.740 --> 00:12:37.740]   I mean, God willing, yeah,
[00:12:37.740 --> 00:12:40.140]   I hope I never have to use my pepper spray.
[00:12:40.140 --> 00:12:42.780]   So in my mind, it's like having a little bottle
[00:12:42.780 --> 00:12:46.620]   sitting on the side of this or that or on my key chain.
[00:12:46.620 --> 00:12:49.940]   That's no big deal to me, so I don't look like a fool.
[00:12:49.940 --> 00:12:52.480]   But imagine the guy who has the tactical hat.
[00:12:52.480 --> 00:12:54.540]   He's got tactical glasses, tactical gloves,
[00:12:54.540 --> 00:12:56.540]   and he's walking around like he's ready for war,
[00:12:56.540 --> 00:12:58.180]   and you're just laughing, like, "Come on, man.
[00:12:58.180 --> 00:13:00.060]   "That's not gonna happen in your day."
[00:13:00.060 --> 00:13:01.180]   I mean, what are the chances?
[00:13:01.180 --> 00:13:02.700]   You're probably gonna get hit by your truck
[00:13:02.700 --> 00:13:04.820]   before anything else happens.
[00:13:04.820 --> 00:13:06.460]   Okay, but flip that around.
[00:13:06.460 --> 00:13:09.420]   If it was certain that something would happen,
[00:13:09.420 --> 00:13:11.740]   you would look like the fool, right?
[00:13:11.740 --> 00:13:13.860]   How many times have you said you've gone out,
[00:13:13.860 --> 00:13:15.740]   and you're just like blazing hot right now.
[00:13:15.740 --> 00:13:17.460]   You go swimming, and you think in your mind,
[00:13:17.460 --> 00:13:20.140]   like, "I should probably put some sunblock on," right?
[00:13:20.140 --> 00:13:21.100]   But then you think in your mind,
[00:13:21.100 --> 00:13:22.840]   "Ah, I'm only gonna be out there for 30 minutes.
[00:13:22.840 --> 00:13:24.000]   "It's not gonna burn."
[00:13:24.000 --> 00:13:25.060]   Who's the fool now, right?
[00:13:25.060 --> 00:13:27.980]   Like, you come back like, "Ah, I should've put
[00:13:27.980 --> 00:13:29.200]   "the sunblock on."
[00:13:29.200 --> 00:13:30.340]   You know it's gonna happen.
[00:13:30.340 --> 00:13:31.760]   You know already it's super hot.
[00:13:31.760 --> 00:13:33.040]   You know you're pale-skinned.
[00:13:33.040 --> 00:13:35.200]   You know you're gonna burn.
[00:13:35.200 --> 00:13:37.940]   But you go out there without your sunblock.
[00:13:37.940 --> 00:13:39.360]   Who's the fool now?
[00:13:39.360 --> 00:13:41.480]   Okay, why do I bring that up?
[00:13:41.480 --> 00:13:44.040]   It's because God is telling you
[00:13:44.040 --> 00:13:46.580]   to put on every single piece of the armor.
[00:13:46.580 --> 00:13:49.200]   And yes, it may look foolish.
[00:13:49.200 --> 00:13:50.380]   I mean, didn't it look foolish
[00:13:50.380 --> 00:13:51.800]   for the people to jump into a boat
[00:13:51.800 --> 00:13:52.840]   when there was no water?
[00:13:52.840 --> 00:13:54.480]   Didn't it look foolish to people
[00:13:54.480 --> 00:13:56.240]   to carry around the Ark of the Covenant,
[00:13:56.240 --> 00:13:57.280]   a big old box?
[00:13:57.280 --> 00:13:59.360]   Didn't it look foolish to walk around the city?
[00:13:59.360 --> 00:14:02.000]   Everything that God is sometimes asking us to do
[00:14:02.000 --> 00:14:03.400]   looks a little foolish.
[00:14:03.400 --> 00:14:05.400]   For us to invest all this kind of time
[00:14:05.400 --> 00:14:07.040]   when you have your own studies to do,
[00:14:07.040 --> 00:14:08.880]   to invest all this kind of man hours
[00:14:08.880 --> 00:14:10.940]   and your brain power and all this kind of stuff
[00:14:10.940 --> 00:14:12.640]   for services, for prayer,
[00:14:12.640 --> 00:14:15.260]   all this kind of stuff when you're already busy,
[00:14:15.260 --> 00:14:16.120]   when you're already tired
[00:14:16.120 --> 00:14:17.800]   with your family responsibilities.
[00:14:18.800 --> 00:14:22.000]   There is a foolishness when the world looks at us
[00:14:22.000 --> 00:14:24.100]   like why are you investing in all that?
[00:14:24.100 --> 00:14:27.400]   Don't you know you'd be a lot more comfortable
[00:14:27.400 --> 00:14:30.500]   if you didn't have all this gear on you?
[00:14:30.500 --> 00:14:34.640]   Not walking around with antiquated stuff over your feet
[00:14:34.640 --> 00:14:37.060]   and big old belts and breastplates.
[00:14:37.060 --> 00:14:38.380]   Like who wears that now?
[00:14:38.380 --> 00:14:40.660]   Okay, you see what I'm saying?
[00:14:40.660 --> 00:14:43.120]   But who's the fool?
[00:14:43.120 --> 00:14:45.260]   When God has already told us,
[00:14:45.260 --> 00:14:46.820]   this is a guarantee.
[00:14:46.820 --> 00:14:48.600]   Anybody who desires to live a godly life
[00:14:48.600 --> 00:14:50.460]   will be persecuted.
[00:14:50.460 --> 00:14:52.780]   Who's the fool when God has already told you
[00:14:52.780 --> 00:14:55.100]   there is an enemy prowling around
[00:14:55.100 --> 00:14:57.740]   looking for you when you're not ready?
[00:14:57.740 --> 00:15:01.300]   There are enemies, there are forces attacking you.
[00:15:01.300 --> 00:15:03.340]   And for you to think it's not gonna happen,
[00:15:03.340 --> 00:15:05.200]   lost, already lost.
[00:15:05.200 --> 00:15:07.940]   That's what I'm talking about right here.
[00:15:07.940 --> 00:15:09.840]   As I meditated upon this idea
[00:15:09.840 --> 00:15:11.740]   of put on the full armor of God
[00:15:11.740 --> 00:15:13.940]   and he's trying to reason with you.
[00:15:13.940 --> 00:15:15.500]   It's probably because we're sitting here like
[00:15:15.500 --> 00:15:17.000]   do we really need that though?
[00:15:18.180 --> 00:15:20.620]   Do I really need to be ready with all those pieces?
[00:15:20.620 --> 00:15:21.820]   Won't I look silly?
[00:15:21.820 --> 00:15:27.820]   But then he says, yes, the devil is scheming.
[00:15:27.820 --> 00:15:31.660]   The devil is going to attack you
[00:15:31.660 --> 00:15:34.620]   and you're the one who needs to be able to discern
[00:15:34.620 --> 00:15:38.020]   to either say, no, that is of satanic force,
[00:15:38.020 --> 00:15:41.660]   that is of darkness or prove yes, this is of God.
[00:15:41.660 --> 00:15:42.980]   And you can't sit there and be like,
[00:15:42.980 --> 00:15:45.940]   but wait a minute, God, aren't you gonna protect me?
[00:15:45.940 --> 00:15:47.580]   Aren't you almighty?
[00:15:47.580 --> 00:15:49.380]   Aren't you sovereign?
[00:15:49.380 --> 00:15:51.820]   I thought you were gonna protect me.
[00:15:51.820 --> 00:15:53.700]   God has already told you,
[00:15:53.700 --> 00:15:56.900]   I have given you every resource in Christ.
[00:15:56.900 --> 00:15:58.380]   I have given you the word of God.
[00:15:58.380 --> 00:15:59.320]   I've given you the spirit.
[00:15:59.320 --> 00:16:00.320]   I've given you the church.
[00:16:00.320 --> 00:16:03.600]   I've given all that is necessary for our life and godliness,
[00:16:03.600 --> 00:16:05.540]   but you must be strong.
[00:16:05.540 --> 00:16:08.820]   God is not going to do for you
[00:16:08.820 --> 00:16:11.900]   what he deemed as already good for his children
[00:16:11.900 --> 00:16:13.060]   for you to do.
[00:16:13.060 --> 00:16:16.180]   And so this is a strong exhortation
[00:16:16.180 --> 00:16:18.820]   and part of me as I'm meditating, I was like, man,
[00:16:18.820 --> 00:16:24.860]   just my own resistance to not want to do some things,
[00:16:24.860 --> 00:16:28.100]   you know, realizing even if let's say
[00:16:28.100 --> 00:16:30.580]   I had no like rebellious part of me,
[00:16:30.580 --> 00:16:33.580]   God, if I came to you thinking like,
[00:16:33.580 --> 00:16:35.420]   do I really need that?
[00:16:35.420 --> 00:16:38.220]   All questioning your warning,
[00:16:38.220 --> 00:16:40.580]   your forewarning of what's gonna happen.
[00:16:40.580 --> 00:16:41.700]   I wanna have greater faith.
[00:16:41.700 --> 00:16:44.060]   God, I am ready.
[00:16:44.060 --> 00:16:46.420]   I want to be ready for what you say
[00:16:46.420 --> 00:16:48.020]   is already going to come.
[00:16:48.020 --> 00:16:50.140]   What you say is already here.
[00:16:50.140 --> 00:16:52.080]   What you say is already the danger zone.
