
[00:00:00.000 --> 00:00:02.580]   (gentle music)
[00:07:56.600 --> 00:08:03.380]   ♪ To my heart to sing Thy grace ♪
[00:08:03.880 --> 00:08:08.880]   ♪ Streams of mercy never ceasing ♪
[00:08:08.880 --> 00:08:14.720]   ♪ Call for songs of loudest praise ♪
[00:08:14.720 --> 00:08:19.720]   ♪ Teach me some melodious sonnet ♪
[00:08:19.720 --> 00:08:25.600]   ♪ Sung by flaming tongues above ♪
[00:08:25.600 --> 00:08:31.140]   ♪ Praise the mountain fixed upon it ♪
[00:08:32.020 --> 00:08:35.860]   ♪ Fount of Thy redeeming love ♪
[00:08:35.860 --> 00:08:45.480]   - Here I raise.
[00:08:45.480 --> 00:08:50.480]   ♪ Here I raise my Ebenezer ♪
[00:08:50.480 --> 00:08:56.100]   ♪ Hither by Thy help I come ♪
[00:08:56.100 --> 00:09:01.680]   ♪ And I hope by Thy good pleasure ♪
[00:09:02.020 --> 00:09:07.020]   ♪ Safely to arrive at home ♪
[00:09:07.020 --> 00:09:12.600]   ♪ Jesus saw me when a stranger ♪
[00:09:12.600 --> 00:09:18.220]   ♪ Wandering from the fold of God ♪
[00:09:18.220 --> 00:09:23.720]   ♪ He to rescue me from danger ♪
[00:09:23.720 --> 00:09:29.260]   ♪ Interposes precious blood ♪
[00:09:29.640 --> 00:09:33.060]   (gentle music continues)
[00:09:33.060 --> 00:09:41.600]   ♪ O to grace, O to grace how great a debtor ♪
[00:09:41.600 --> 00:09:48.600]   ♪ Daily I'm constrained to be ♪
[00:09:48.600 --> 00:09:54.100]   ♪ Let Thy goodness like a fetter ♪
[00:09:54.640 --> 00:09:59.640]   ♪ Bind my wandering heart to Thee ♪
[00:09:59.640 --> 00:10:05.180]   ♪ Prone to wander, Lord, I feel it ♪
[00:10:05.180 --> 00:10:10.680]   ♪ Prone to leave the God I love ♪
[00:10:10.680 --> 00:10:16.220]   ♪ Here's my heart, O, take and seal it ♪
[00:10:16.220 --> 00:10:20.680]   ♪ Seal it for Thy courts above ♪
[00:10:21.680 --> 00:10:25.180]   (gentle music continues)
[00:10:25.180 --> 00:10:34.180]   ♪ O that day, O that day when freed from sinning ♪
[00:10:34.180 --> 00:10:41.180]   ♪ I shall see Thy lovely face ♪
[00:10:41.180 --> 00:10:46.680]   ♪ Clothed in blood, washed in it ♪
[00:10:47.260 --> 00:10:52.260]   ♪ Now I'll sing Thy sovereign praise ♪
[00:10:52.260 --> 00:10:57.760]   ♪ Come, my Lord, no longer tarry ♪
[00:10:57.760 --> 00:11:03.260]   ♪ Take my ransomed soul away ♪
[00:11:03.260 --> 00:11:08.800]   ♪ Send Thine angels now to carry ♪
[00:11:08.800 --> 00:11:13.600]   ♪ Me to realms of endless day ♪
[00:11:13.600 --> 00:11:18.600]   ♪ Prone to wander, Lord, I feel it ♪
[00:11:18.600 --> 00:11:25.600]   ♪ Prone to leave the God I love ♪
[00:11:25.600 --> 00:11:31.340]   ♪ Here's my heart, O, take and seal it ♪
[00:11:31.340 --> 00:11:35.940]   ♪ Seal it for Thy courts above ♪
[00:11:43.340 --> 00:11:44.440]   - Good morning.
[00:11:44.440 --> 00:11:46.900]   Welcome to Breen Community Church.
[00:11:46.900 --> 00:11:48.720]   We have actually a lot of things
[00:11:48.720 --> 00:11:50.800]   that are going on pretty soon.
[00:11:50.800 --> 00:11:53.320]   But first of all, we wanna remind you
[00:11:53.320 --> 00:11:56.040]   that our VBS is taking place this week.
[00:11:56.040 --> 00:12:01.040]   And so after the Old Testament survey class,
[00:12:01.040 --> 00:12:03.800]   they're going to be clearing out everything
[00:12:03.800 --> 00:12:05.280]   and preparing the whole sanctuary
[00:12:05.280 --> 00:12:06.920]   and the whole church for the VBS.
[00:12:06.920 --> 00:12:08.840]   And so the volunteers will be sticking around
[00:12:08.840 --> 00:12:10.080]   doing all of that stuff.
[00:12:10.080 --> 00:12:11.960]   And so again, for the parents,
[00:12:13.040 --> 00:12:15.560]   again, starting from tomorrow at five o'clock
[00:12:15.560 --> 00:12:17.980]   and try to bring the children a little bit earlier
[00:12:17.980 --> 00:12:21.240]   so that they can be registered and into small groups
[00:12:21.240 --> 00:12:24.040]   and situated before they get into their classes.
[00:12:24.040 --> 00:12:26.520]   And so that's starting tomorrow all the way to Friday.
[00:12:26.520 --> 00:12:28.520]   Okay, so just keep that in mind.
[00:12:28.520 --> 00:12:32.760]   And then another thing is our retreat
[00:12:32.760 --> 00:12:34.760]   that's coming up in August.
[00:12:34.760 --> 00:12:37.780]   Typically, we have a live service here.
[00:12:37.780 --> 00:12:38.960]   We have a guest speaker that comes
[00:12:38.960 --> 00:12:40.400]   or one of our pastors will come in
[00:12:40.400 --> 00:12:41.680]   and lead a live service.
[00:12:41.680 --> 00:12:44.840]   But this year, we have almost full attendance.
[00:12:44.840 --> 00:12:48.960]   And so we're not able to run a service here
[00:12:48.960 --> 00:12:50.720]   because then a bunch of people
[00:12:50.720 --> 00:12:52.560]   would have to come back from the retreat.
[00:12:52.560 --> 00:12:56.800]   And so, well, I was told we have about 640 people
[00:12:56.800 --> 00:12:58.640]   who are in attendance for the retreat.
[00:12:58.640 --> 00:13:01.560]   And so that's pretty much most of the people
[00:13:01.560 --> 00:13:02.680]   who are here at church.
[00:13:02.680 --> 00:13:04.960]   But we will be having live stream.
[00:13:04.960 --> 00:13:07.120]   So the service that we're having at the retreat
[00:13:07.120 --> 00:13:07.960]   will be live stream.
[00:13:07.960 --> 00:13:09.480]   So for whatever reason that you cannot,
[00:13:09.480 --> 00:13:11.000]   and those of you who are online,
[00:13:11.000 --> 00:13:12.920]   live stream will still happen.
[00:13:12.920 --> 00:13:14.800]   But again, there will not be a live service here,
[00:13:14.800 --> 00:13:16.200]   physical service here.
[00:13:16.200 --> 00:13:18.920]   And if you choose to, you can come
[00:13:18.920 --> 00:13:21.720]   and join us for the physical service where we're at.
[00:13:21.720 --> 00:13:23.120]   And we'll give the address for that.
[00:13:23.120 --> 00:13:24.200]   But those of you who cannot come,
[00:13:24.200 --> 00:13:25.600]   there will be live stream on that Sunday.
[00:13:25.600 --> 00:13:29.160]   So we'll remind you of that as we get closer to that date.
[00:13:29.160 --> 00:13:32.440]   And then our new session of Bible study
[00:13:32.440 --> 00:13:36.120]   is gonna be starting in September.
[00:13:36.120 --> 00:13:37.720]   And so if you haven't registered for that,
[00:13:37.720 --> 00:13:39.360]   whether you're in home group or small group,
[00:13:39.360 --> 00:13:42.960]   we will be having the physical home, small group,
[00:13:42.960 --> 00:13:44.560]   that we've been online all this time
[00:13:44.560 --> 00:13:47.040]   because of obviously what's going on.
[00:13:47.040 --> 00:13:49.760]   But starting from our next session in September,
[00:13:49.760 --> 00:13:52.360]   we will have a live session here.
[00:13:52.360 --> 00:13:54.320]   So there will be no online.
[00:13:54.320 --> 00:13:56.540]   It will be all live on Wednesdays,
[00:13:56.540 --> 00:13:57.980]   and then the home groups as well.
[00:13:57.980 --> 00:13:59.120]   So if you have not signed up for that,
[00:13:59.120 --> 00:14:00.960]   please sign up as soon as you can.
[00:14:00.960 --> 00:14:02.560]   And to better prepare for that,
[00:14:02.560 --> 00:14:04.360]   our inductive Bible study,
[00:14:04.360 --> 00:14:06.600]   Pastor Mark is leading a inductive Bible study,
[00:14:06.600 --> 00:14:08.460]   how to do Bible study lab.
[00:14:08.460 --> 00:14:11.920]   And that's gonna be taking place August 1st, 8th, and 22nd.
[00:14:11.920 --> 00:14:13.040]   So please sign up for that,
[00:14:13.040 --> 00:14:15.160]   and then he'll help you guide through
[00:14:15.160 --> 00:14:16.760]   how to study the Bible.
[00:14:16.760 --> 00:14:19.600]   And then that is, I would say it's a must.
[00:14:19.600 --> 00:14:22.140]   If you haven't done that kind of study before,
[00:14:22.140 --> 00:14:24.240]   I would highly recommend you take that class,
[00:14:24.240 --> 00:14:25.480]   and then he will help you so that
[00:14:25.480 --> 00:14:28.360]   when you take the class in September,
[00:14:28.360 --> 00:14:30.600]   you'll be able to follow along with that, okay?
[00:14:30.600 --> 00:14:32.040]   So if you haven't signed up for that,
[00:14:32.040 --> 00:14:32.880]   please sign up for that.
[00:14:32.880 --> 00:14:36.840]   And the first session is happening on August 1st for that,
[00:14:36.840 --> 00:14:39.420]   and then regular Bible study in September.
[00:14:39.420 --> 00:14:40.860]   Next week, we have a members meeting
[00:14:40.860 --> 00:14:43.380]   that's taking place at 2.30 p.m.
[00:14:43.380 --> 00:14:46.200]   So if you are a member, or you're becoming a member,
[00:14:46.200 --> 00:14:48.360]   it is, again, a quarterly mandatory meeting.
[00:14:48.360 --> 00:14:49.420]   So if you cannot make it,
[00:14:49.420 --> 00:14:51.460]   please let us know ahead of time.
[00:14:51.460 --> 00:14:53.540]   And that is gonna be at 2.30,
[00:14:53.540 --> 00:14:55.980]   so it'll give you just enough time to go grab lunch
[00:14:55.980 --> 00:14:57.620]   and then come back.
[00:14:57.620 --> 00:14:58.780]   At that members meeting,
[00:14:58.780 --> 00:15:01.420]   we will introduce our new members to the church,
[00:15:01.420 --> 00:15:03.820]   and we have a big service fair,
[00:15:03.820 --> 00:15:05.860]   meaning that all the different departments
[00:15:05.860 --> 00:15:06.980]   and people who are serving
[00:15:06.980 --> 00:15:09.860]   and committees that are gonna be set up,
[00:15:09.860 --> 00:15:12.820]   so whether it's elementary or the parking team.
[00:15:12.820 --> 00:15:14.180]   So you'll be able to walk around
[00:15:14.180 --> 00:15:16.060]   and see what's going on in the church.
[00:15:16.060 --> 00:15:18.260]   And so some of those groups are recruiting.
[00:15:18.260 --> 00:15:20.640]   They need help, so they'll probably have a sign-up table
[00:15:20.640 --> 00:15:21.660]   where you can sign your name,
[00:15:21.660 --> 00:15:25.440]   and you can sign up for six months to a year to do that.
[00:15:25.440 --> 00:15:26.600]   And then there are some tables
[00:15:26.600 --> 00:15:28.140]   that's just for your information
[00:15:28.140 --> 00:15:30.380]   so that you can know what's going on inside the church.
[00:15:30.380 --> 00:15:33.140]   So next Sunday, you'll see right after the second service,
[00:15:33.140 --> 00:15:35.740]   you'll have all these booths that are gonna be set up,
[00:15:35.740 --> 00:15:38.100]   and so before and after the members meeting,
[00:15:38.100 --> 00:15:39.300]   you can go visit those places.
[00:15:39.300 --> 00:15:41.420]   I think, well, maybe after the members meeting,
[00:15:41.420 --> 00:15:42.900]   you can go visit and then sign up for that.
[00:15:42.900 --> 00:15:44.780]   So that's taking place next Sunday.
[00:15:44.780 --> 00:15:47.860]   So if you have any questions about how can I jump in,
[00:15:47.860 --> 00:15:51.180]   how can I get involved, how can I serve the church,
[00:15:51.180 --> 00:15:54.860]   next Sunday service fair is for that purpose, okay?
[00:15:54.860 --> 00:15:56.920]   And along with that, just a reminder,
[00:15:56.920 --> 00:16:02.580]   the cafe night is happening at the end of this month
[00:16:02.580 --> 00:16:05.620]   and at 7.30 on Saturday.
[00:16:05.620 --> 00:16:08.100]   And so they've already had an EV outing yesterday.
[00:16:08.100 --> 00:16:09.540]   There's another one happening today,
[00:16:09.540 --> 00:16:11.660]   and then another big event happening on the 24th
[00:16:11.660 --> 00:16:14.620]   next Saturday, and all of this is to, again,
[00:16:14.620 --> 00:16:18.140]   just to encourage the church to go to do evangelism.
[00:16:18.140 --> 00:16:20.180]   And so if you haven't signed up and you wanna sign up,
[00:16:20.180 --> 00:16:21.940]   you can do that for next Saturday,
[00:16:21.940 --> 00:16:26.780]   and they're gonna be, I think, at the UTC Center to do that.
[00:16:26.780 --> 00:16:28.940]   And then if you sign up, they'll give you more information
[00:16:28.940 --> 00:16:31.740]   about where to meet and that type of stuff.
[00:16:31.740 --> 00:16:33.860]   And then if you have people that you'd want to invite,
[00:16:33.860 --> 00:16:35.980]   again, that's what this is for.
[00:16:35.980 --> 00:16:38.620]   This is at the minimum so you can pray,
[00:16:38.620 --> 00:16:40.620]   but the other part of it is so you can invite people
[00:16:40.620 --> 00:16:44.380]   to come to that and just let our outreach team know
[00:16:44.380 --> 00:16:46.700]   that's, again, being led by our brother, June,
[00:16:46.700 --> 00:16:49.180]   and so let him know so that they can better pray
[00:16:49.180 --> 00:16:51.420]   and prepare for that night, okay?
[00:16:51.420 --> 00:16:53.180]   All right, so it's a lot of announcements.
[00:16:53.180 --> 00:16:55.940]   Okay, and just one other reminder,
[00:16:55.940 --> 00:16:57.940]   as we prepare for the offering,
[00:16:57.940 --> 00:17:00.020]   and I wanna remind you again that we're trying
[00:17:00.020 --> 00:17:03.020]   to transition from Venmo to PayPal and Zelle,
[00:17:03.020 --> 00:17:07.300]   so if you're able to pay your offering through Zelle
[00:17:07.300 --> 00:17:10.900]   or PayPal to use that instead of Venmo.
[00:17:10.900 --> 00:17:12.900]   So if Venmo's the only avenue you have,
[00:17:12.900 --> 00:17:16.900]   then the church can receive that,
[00:17:16.900 --> 00:17:18.740]   but we're having some issues with Venmo,
[00:17:18.740 --> 00:17:21.140]   so if possible, we wanna encourage you guys
[00:17:21.140 --> 00:17:22.820]   to use the other avenues first.
[00:17:22.820 --> 00:17:26.520]   And those of you who are still using physical checks
[00:17:26.520 --> 00:17:29.220]   and you're writing with pen and paper,
[00:17:29.220 --> 00:17:31.980]   our offering basket is in the back
[00:17:31.980 --> 00:17:33.980]   so you can drop it off there, all right?
[00:17:33.980 --> 00:17:35.900]   (laughing)
[00:17:35.900 --> 00:17:38.020]   You know who I'm talking about, all right.
[00:17:38.020 --> 00:17:41.100]   All right, so I'm gonna take a minute to pray
[00:17:41.100 --> 00:17:42.180]   and then we'll give you the opportunity
[00:17:42.180 --> 00:17:44.340]   to give the offering before we enter
[00:17:44.340 --> 00:17:46.100]   into their main praise, let's pray.
[00:17:46.100 --> 00:17:51.780]   Heavenly Father, we're so grateful and thankful,
[00:17:51.780 --> 00:17:54.720]   Lord God, that your mercy and grace
[00:17:54.720 --> 00:17:57.900]   has allowed us to come to worship you.
[00:17:59.500 --> 00:18:03.480]   I pray, Father God, that whatever we are entangled with,
[00:18:03.480 --> 00:18:10.380]   the distraction, Lord God, that we so easily give into,
[00:18:10.380 --> 00:18:14.700]   help us each Sunday morning as we come together
[00:18:14.700 --> 00:18:17.400]   that we would have a greater sense of your glory,
[00:18:17.400 --> 00:18:21.840]   that we would be transformed from one glory to another.
[00:18:21.840 --> 00:18:26.020]   I pray that what you have invested in your word
[00:18:26.020 --> 00:18:28.060]   would cause us, Lord God, to worship you
[00:18:28.060 --> 00:18:29.520]   in spirit and in truth.
[00:18:29.520 --> 00:18:32.360]   And even in our giving this morning,
[00:18:32.360 --> 00:18:33.940]   I pray that you would help us to give it to you
[00:18:33.940 --> 00:18:36.940]   meaningfully, intentionally, generously,
[00:18:36.940 --> 00:18:40.660]   joyfully, Lord God, that it may be multiplied for your use.
[00:18:40.660 --> 00:18:43.160]   We thank you, Father, in Jesus' name we pray, amen.
[00:18:43.160 --> 00:18:47.180]   (gentle piano music)
[00:18:47.180 --> 00:18:50.260]   (gentle piano music)
[00:18:50.260 --> 00:18:53.340]   (gentle piano music)
[00:18:53.340 --> 00:18:56.420]   (gentle piano music)
[00:18:56.420 --> 00:19:07.500]   (gentle piano music)
[00:19:07.500 --> 00:19:19.020]   (gentle piano music)
[00:19:19.020 --> 00:19:22.100]   (gentle piano music)
[00:19:22.100 --> 00:19:35.100]   (gentle piano music)
[00:19:35.100 --> 00:19:38.180]   (gentle piano music)
[00:19:38.180 --> 00:19:51.300]   Let us all rise as we sing these praises.
[00:19:51.300 --> 00:19:57.640]   (upbeat music)
[00:19:57.640 --> 00:20:00.220]   (upbeat music)
[00:20:00.220 --> 00:20:17.360]   Our God is great.
[00:20:17.360 --> 00:20:20.320]   ♪ Our God is great ♪
[00:20:20.320 --> 00:20:23.200]   ♪ The Father of creation ♪
[00:20:23.200 --> 00:20:28.200]   ♪ His splendor fills the earth ♪
[00:20:28.200 --> 00:20:31.760]   ♪ The mountain crash ♪
[00:20:31.760 --> 00:20:34.760]   ♪ The thunder sings his praises ♪
[00:20:34.760 --> 00:20:39.760]   ♪ The galaxies can't help but shout his word ♪
[00:20:39.760 --> 00:20:45.280]   ♪ My soul must sing to you an offering ♪
[00:20:45.280 --> 00:20:51.280]   ♪ How great you are ♪
[00:20:51.640 --> 00:20:54.560]   ♪ My soul must sing ♪
[00:20:54.560 --> 00:20:57.760]   ♪ Oh, let the heavens ring ♪
[00:20:57.760 --> 00:21:02.000]   ♪ How great you are ♪
[00:21:02.000 --> 00:21:05.340]   ♪ Oh, how great you are ♪
[00:21:05.340 --> 00:21:07.920]   (upbeat music)
[00:21:07.920 --> 00:21:14.400]   The Word made flesh.
[00:21:14.400 --> 00:21:17.240]   ♪ The Word made flesh ♪
[00:21:17.240 --> 00:21:20.240]   ♪ God's promise to the Father ♪
[00:21:20.240 --> 00:21:25.240]   ♪ Came with power to save ♪
[00:21:25.240 --> 00:21:30.760]   ♪ The light of life was crushed for our abode ♪
[00:21:30.760 --> 00:21:36.800]   ♪ He died our death and rose up from the grave ♪
[00:21:36.800 --> 00:21:42.280]   ♪ My soul must sing to you an offering ♪
[00:21:42.280 --> 00:21:48.360]   ♪ How great you are ♪
[00:21:48.800 --> 00:21:51.720]   ♪ My soul must sing ♪
[00:21:51.720 --> 00:21:54.960]   ♪ Oh, let the heavens ring ♪
[00:21:54.960 --> 00:21:59.280]   ♪ How great you are ♪
[00:21:59.280 --> 00:22:02.600]   ♪ Oh, how great you are ♪
[00:22:02.600 --> 00:22:05.180]   (upbeat music)
[00:22:05.180 --> 00:22:11.800]   Our King will come.
[00:22:11.800 --> 00:22:14.680]   ♪ Our King will come ♪
[00:22:14.680 --> 00:22:17.720]   ♪ With trumpet blasts resounding ♪
[00:22:17.720 --> 00:22:22.720]   ♪ To claim His blood-worn crown ♪
[00:22:22.720 --> 00:22:28.400]   ♪ Your red disguise descending in His glory ♪
[00:22:28.400 --> 00:22:34.440]   ♪ An innocent faithful turn to sin ♪
[00:22:34.440 --> 00:22:40.000]   ♪ My soul must sing to you an offering ♪
[00:22:40.000 --> 00:22:46.160]   ♪ How great you are ♪
[00:22:46.560 --> 00:22:49.480]   ♪ My soul must sing ♪
[00:22:49.480 --> 00:22:52.720]   ♪ Oh, let the heavens ring ♪
[00:22:52.720 --> 00:22:56.080]   ♪ How great you are ♪
[00:22:56.080 --> 00:22:58.120]   ♪ My soul must sing ♪
[00:22:58.120 --> 00:23:03.120]   ♪ My soul must sing to you an offering ♪
[00:23:03.120 --> 00:23:09.320]   ♪ How great you are ♪
[00:23:09.320 --> 00:23:12.720]   ♪ My soul must sing ♪
[00:23:12.720 --> 00:23:16.000]   ♪ Oh, let the heavens ring ♪
[00:23:16.000 --> 00:23:20.400]   ♪ How great you are ♪
[00:23:20.400 --> 00:23:23.720]   ♪ Oh, how great you are ♪
[00:23:23.720 --> 00:23:26.300]   (upbeat music)
[00:23:26.300 --> 00:23:42.420]   (soft music)
[00:23:42.420 --> 00:23:44.840]   (soft music)
[00:23:44.840 --> 00:23:51.460]   Sing what can wash.
[00:23:51.460 --> 00:23:57.380]   ♪ What can wash away our sin ♪
[00:23:57.380 --> 00:24:03.580]   ♪ What can make us whole again ♪
[00:24:03.580 --> 00:24:07.900]   ♪ Nothing but the blood ♪
[00:24:07.900 --> 00:24:12.900]   ♪ Nothing but the blood of Jesus ♪
[00:24:12.900 --> 00:24:22.260]   ♪ What can wash us pure as snow ♪
[00:24:22.260 --> 00:24:28.460]   ♪ Welcome as the friends of God ♪
[00:24:28.460 --> 00:24:32.860]   ♪ Nothing but your blood ♪
[00:24:32.860 --> 00:24:37.860]   ♪ Nothing but your blood, King Jesus ♪
[00:24:37.940 --> 00:24:42.940]   ♪ Your blood ♪
[00:24:42.940 --> 00:24:51.620]   ♪ Your blood, your blood speaks a better word ♪
[00:24:51.620 --> 00:24:57.860]   ♪ Than all the empty praise I've heard upon this earth ♪
[00:24:57.860 --> 00:25:02.340]   ♪ Speaks righteousness for me ♪
[00:25:02.340 --> 00:25:05.580]   ♪ Stands in my defense ♪
[00:25:05.580 --> 00:25:10.580]   ♪ Jesus, it's your blood ♪
[00:25:10.580 --> 00:25:11.820]   What can wash.
[00:25:11.820 --> 00:25:18.460]   ♪ What can wash away our sin ♪
[00:25:18.460 --> 00:25:24.580]   ♪ What can make us whole again ♪
[00:25:24.580 --> 00:25:28.940]   ♪ Nothing but the blood ♪
[00:25:28.940 --> 00:25:33.940]   ♪ Nothing but the blood of Jesus ♪
[00:25:33.940 --> 00:25:38.420]   ♪ Jesus ♪
[00:25:38.420 --> 00:25:43.420]   ♪ What can wash us pure as snow ♪
[00:25:43.420 --> 00:25:49.580]   ♪ Welcome as the friends of God ♪
[00:25:49.580 --> 00:25:53.940]   ♪ Nothing but your blood ♪
[00:25:53.940 --> 00:25:58.940]   ♪ Nothing but your blood, King Jesus ♪
[00:26:01.340 --> 00:26:06.340]   ♪ Your cross, your cross testifies in praise ♪
[00:26:06.340 --> 00:26:12.660]   ♪ Tells of a father's heart to thank for it for us ♪
[00:26:12.660 --> 00:26:17.060]   ♪ And holy we are praised ♪
[00:26:17.060 --> 00:26:20.420]   ♪ Not by earthly confidence ♪
[00:26:20.420 --> 00:26:25.140]   ♪ It's only by your blood ♪
[00:26:25.140 --> 00:26:30.140]   ♪ Your cross, your cross testifies in praise ♪
[00:26:31.140 --> 00:26:36.140]   ♪ Tells of a father's heart to thank for it for us ♪
[00:26:36.140 --> 00:26:40.140]   ♪ And holy we are praised ♪
[00:26:40.140 --> 00:26:43.460]   ♪ Not by earthly confidence ♪
[00:26:43.460 --> 00:26:48.460]   ♪ It's only by your blood ♪
[00:26:48.460 --> 00:26:56.420]   ♪ What can wash away our sins ♪
[00:26:57.540 --> 00:27:02.540]   ♪ What can make us whole again ♪
[00:27:02.540 --> 00:27:06.860]   ♪ Nothing but the blood ♪
[00:27:06.860 --> 00:27:11.860]   ♪ Nothing but the blood of Jesus ♪
[00:27:11.860 --> 00:27:21.300]   ♪ What can wash us pure as snow ♪
[00:27:22.580 --> 00:27:27.580]   ♪ Welcome as the friends of God ♪
[00:27:27.580 --> 00:27:31.700]   ♪ Nothing but your blood ♪
[00:27:31.700 --> 00:27:36.700]   ♪ Nothing but your blood, King Jesus ♪
[00:27:36.700 --> 00:27:41.180]   ♪ What can wash us pure ♪
[00:27:41.180 --> 00:27:46.180]   ♪ What can wash us pure as snow ♪
[00:27:46.180 --> 00:27:52.500]   ♪ Welcome as the friends of God ♪
[00:27:53.500 --> 00:27:58.500]   ♪ Nothing but your blood ♪
[00:27:58.500 --> 00:28:03.440]   ♪ Nothing but your blood, King Jesus ♪
[00:28:03.440 --> 00:28:12.700]   - You may be seated.
[00:28:12.700 --> 00:28:19.740]   - All right, if you can turn your Bibles with me
[00:28:19.740 --> 00:28:22.740]   to Hebrews chapter 12, we're gonna be in part two
[00:28:22.740 --> 00:28:24.960]   of what we started last week.
[00:28:24.960 --> 00:28:28.600]   It looks like we're gonna have another part next week.
[00:28:28.600 --> 00:28:30.260]   Okay.
[00:28:30.260 --> 00:28:35.260]   All right, Hebrews chapter 12, verse 18 through 24.
[00:28:35.260 --> 00:28:41.160]   Again, reading out of the NASB.
[00:28:41.160 --> 00:28:45.940]   For you have not come to a mountain that can be touched
[00:28:45.940 --> 00:28:50.460]   and to a blazing fire, and to darkness and gloom
[00:28:50.460 --> 00:28:53.780]   and whirlwind, and to the blast of a trumpet
[00:28:53.780 --> 00:28:56.460]   and the sound of words, which sound was such
[00:28:56.460 --> 00:28:58.940]   that those who heard begged that no further word
[00:28:58.940 --> 00:29:00.580]   be spoken to them.
[00:29:00.580 --> 00:29:02.220]   For they could not bear the command,
[00:29:02.220 --> 00:29:06.340]   if even a beast touches the mountain, it will be stoned.
[00:29:06.340 --> 00:29:08.580]   And so terrible was the sight that Moses said,
[00:29:08.580 --> 00:29:11.800]   "I am full of fear and trembling."
[00:29:11.800 --> 00:29:13.340]   But you have come to Mount Zion
[00:29:13.340 --> 00:29:14.900]   and to the city of the living God,
[00:29:14.900 --> 00:29:17.780]   to heavenly Jerusalem, and to myriads of angels,
[00:29:17.780 --> 00:29:20.220]   to the general assembly and church of the firstborn
