
[00:00:00.000 --> 00:00:10.560]   Okay.
[00:11:55.740 --> 00:11:58.420]   I was with you every single day.
[00:11:58.420 --> 00:12:02.100]   You had to scheme, trying to catch me."
[00:12:02.100 --> 00:12:04.980]   And then the funny thing about it is they're trying to avoid a crowd, but there was already
[00:12:04.980 --> 00:12:05.980]   a crowd.
[00:12:05.980 --> 00:12:09.460]   Jesus was speaking to the crowd there.
[00:12:09.460 --> 00:12:15.660]   But essentially, when I think about this, I think about as a reflection and meditation,
[00:12:15.660 --> 00:12:20.200]   there is such a greed in Judas' heart that we can reflect on.
[00:12:20.200 --> 00:12:29.180]   To ask the question, if we are tempted with this, I guess, expectation of what is Jesus
[00:12:29.180 --> 00:12:36.500]   going to avail to me, what kind of benefit, or perhaps if Satan would tempt us with this
[00:12:36.500 --> 00:12:40.460]   kind of complaint, this is a waste of time.
[00:12:40.460 --> 00:12:48.380]   Or perhaps the angst and frustration that perhaps we live in this day, where Satan puts
[00:12:48.380 --> 00:12:52.920]   these foolish words into our head, where we start to complain and say, "I'm tired of living
[00:12:52.920 --> 00:12:54.340]   paycheck to paycheck.
[00:12:54.340 --> 00:12:56.260]   I'm tired of going town to town.
[00:12:56.260 --> 00:12:57.680]   I'm tired of asking.
[00:12:57.680 --> 00:13:04.080]   I'm tired of going through the village and having to pick up the leftover grain."
[00:13:04.080 --> 00:13:08.320]   Those kinds of sentiments, what does that reveal?
[00:13:08.320 --> 00:13:15.580]   I think those kind of sentiments are the sentiments essentially pervasive in this generation.
[00:13:15.580 --> 00:13:19.020]   And so I want to give you this question.
[00:13:19.020 --> 00:13:26.300]   When Judas is tempted with this betrayal, this disloyalty, I wonder if his reason and
[00:13:26.300 --> 00:13:32.540]   rationale for him following Jesus in the first place is actually the exact same reason why
[00:13:32.540 --> 00:13:35.660]   he is betraying him now.
[00:13:35.660 --> 00:13:40.420]   If Judas thought like the rest of the disciples, "Hey, Jesus, look at you.
[00:13:40.420 --> 00:13:43.020]   Look at the crowds on our side.
[00:13:43.020 --> 00:13:44.020]   Look at all the people.
[00:13:44.020 --> 00:13:46.160]   You've got number on your side.
[00:13:46.160 --> 00:13:50.100]   So now tell us who's going to be on your right and left."
[00:13:50.100 --> 00:13:52.260]   I'm pretty sure Judas was also listening.
[00:13:52.260 --> 00:13:58.660]   "Yes, Jesus, tell us who is going to be on your right and left."
[00:13:58.660 --> 00:14:04.300]   And so what's really interesting about this is with Judas' greed and his looking to Christ
[00:14:04.300 --> 00:14:11.380]   for some kind of benefit, even if at least you're going to gain me this 30 shekels, 30
[00:14:11.380 --> 00:14:15.300]   silver, I mean, that is a horrible, horrible sentiment.
[00:14:15.300 --> 00:14:20.020]   But what I liken it to is somebody who has Jesus in their garage.
[00:14:20.020 --> 00:14:22.540]   What do I mean?
[00:14:22.540 --> 00:14:27.540]   I believe one of the grave sins of this generation is a lot of time people like holding onto
[00:14:27.540 --> 00:14:34.580]   Christ as something of value, valuable enough that I can't throw him away.
[00:14:34.580 --> 00:14:38.980]   They'll like to have him in his garage just in case we need him, but when the opportune
[00:14:38.980 --> 00:14:45.220]   time comes, we might have a garage sale because at least if I sell it, then I'll have some
[00:14:45.220 --> 00:14:46.900]   money.
[00:14:46.900 --> 00:14:52.620]   What's really crazy about all this, again, is we can reflect on lots of different things.
[00:14:52.620 --> 00:14:56.940]   Oh my gosh, incredible amounts of vanity that Judas would walk with Jesus for so long and
[00:14:56.940 --> 00:15:00.140]   be able to betray him in that moment.
[00:15:00.140 --> 00:15:05.500]   But in the end, when greed takes control of the heart, we will do all kinds of heinous
[00:15:05.500 --> 00:15:06.820]   things.
[00:15:06.820 --> 00:15:11.380]   And so as a reflection and challenge to us, I want to ask you, do you have any of these
[00:15:11.380 --> 00:15:16.900]   discontent, disappointed sentiments, perhaps even a grumbling complaint against Christ?
[00:15:16.900 --> 00:15:20.300]   "Lord, what have you done for me though?
[00:15:20.300 --> 00:15:22.980]   Why aren't you helping me though?"
[00:15:22.980 --> 00:15:26.140]   If that is the case, we have to be very careful, amen?
[00:15:26.140 --> 00:15:31.620]   Now what I would like to highlight by way of closing thought is not so much Judas because
[00:15:31.620 --> 00:15:39.900]   there is still nevertheless Jesus who is exhibiting incredible amounts of composure.
[00:15:39.900 --> 00:15:45.460]   What I'm trying to say is today, although it is Silent Wednesday, let us not just simply
[00:15:45.460 --> 00:15:49.620]   think about Judas the sinner, the betrayer, one who is, "Whoa, whoa, whoa, it must have
[00:15:49.620 --> 00:15:53.740]   been better for you not to have been born because woe is the one who would betray the
[00:15:53.740 --> 00:15:54.740]   son of God."
[00:15:54.740 --> 00:16:00.740]   But let's actually focus on the son of God who is to be appreciated for his incredible
[00:16:00.740 --> 00:16:03.180]   composure.
[00:16:03.180 --> 00:16:08.740]   When I think about the events leading up to this week, I mean, I think about like Jesus
[00:16:08.740 --> 00:16:13.700]   knowing what he knows in terms of what is filled in the heart of man.
[00:16:13.700 --> 00:16:17.980]   Jesus knew all along that there would be a betrayer.
[00:16:17.980 --> 00:16:21.620]   Jesus knows when people are asking him questions, "Tell us, Jesus.
[00:16:21.620 --> 00:16:23.380]   Show us a sign, Jesus."
[00:16:23.380 --> 00:16:28.100]   He knows what is contained in the heart of all those who would ask him and accuse him.
[00:16:28.100 --> 00:16:33.980]   When he is walking into the city in Jerusalem, all these individuals praising him and giving
[00:16:33.980 --> 00:16:38.500]   him branches, he knows what's in their heart.
[00:16:38.500 --> 00:16:45.860]   When he is debating, when he is engaged in all the teaching and the debates and the fierce
[00:16:45.860 --> 00:16:51.480]   combats with the scribes of the day, he knows what's in their hearts.
[00:16:51.480 --> 00:16:57.740]   And while Judas thinks he's secretly going and making a deal, is Jesus not aware?
[00:16:57.740 --> 00:16:59.940]   Jesus is absolutely aware.
[00:16:59.940 --> 00:17:04.740]   Tomorrow during the Passover, Jesus calls it out, "He whose hand is on the table with
[00:17:04.740 --> 00:17:07.540]   me will betray me."
[00:17:07.540 --> 00:17:10.260]   And all the disciples are like, "Dude, not me.
[00:17:10.260 --> 00:17:11.260]   Not me."
[00:17:11.260 --> 00:17:12.260]   Right?
[00:17:12.260 --> 00:17:17.540]   And he could have easily said, "And you will deny me and you will run and you will..."
[00:17:17.540 --> 00:17:20.240]   But the composure.
[00:17:20.240 --> 00:17:26.100]   So when I reflect on the passages when Jesus says, "I did not come to judge," every single
[00:17:26.100 --> 00:17:30.500]   step of the way, I'm sitting there thinking, "Thank you, Lord, because if I were you, I
[00:17:30.500 --> 00:17:34.900]   would sit there and call out every single person.
[00:17:34.900 --> 00:17:35.900]   You liar.
[00:17:35.900 --> 00:17:36.900]   You two-faced."
[00:17:36.900 --> 00:17:37.900]   Right?
[00:17:37.900 --> 00:17:46.980]   And then even here, to be aware that Judas is doing this and then has the audacity come
[00:17:46.980 --> 00:17:51.700]   with the rest of the disciples to share in the meal where Jesus is instituting the new
[00:17:51.700 --> 00:17:59.020]   covenant and he's explaining to them, "This is my body broken, my blood shed for you."
[00:17:59.020 --> 00:18:01.460]   Can you imagine?
[00:18:01.460 --> 00:18:02.540]   I can't imagine that.
[00:18:02.540 --> 00:18:08.500]   I can't imagine like sometimes you put yourself in the shoes thinking that this is the bread
[00:18:08.500 --> 00:18:11.180]   broken for you and you would just look and be like, "Not you."
[00:18:11.180 --> 00:18:12.180]   Right?
[00:18:12.180 --> 00:18:16.180]   And then you just move on.
[00:18:16.180 --> 00:18:17.460]   We thank the Lord.
[00:18:17.460 --> 00:18:25.540]   Lord, thank you that you did not come first to judge, but you came first to show mercy.
[00:18:25.540 --> 00:18:29.660]   And so scripture talks about the greatness of Christ.
[00:18:29.660 --> 00:18:34.340]   First Peter chapter 2, verse 21 through 24, it says, "For you have been called for this
[00:18:34.340 --> 00:18:39.260]   purpose since Christ also suffered for you, leaving you an example for you to follow in
[00:18:39.260 --> 00:18:44.580]   his steps, who committed no sin, nor was any deceit found in his mouth.
[00:18:44.580 --> 00:18:48.500]   While being reviled, he did not revile in return.
[00:18:48.500 --> 00:18:51.300]   While suffering, he uttered no threats."
[00:18:51.300 --> 00:18:52.900]   And then I would add, "While being betrayed."
[00:18:52.900 --> 00:18:53.900]   Right?
[00:18:53.900 --> 00:19:01.500]   "While being betrayed, he did not react, but kept entrusting himself to him who judges
[00:19:01.500 --> 00:19:03.060]   righteously.
[00:19:03.060 --> 00:19:07.980]   And he himself bore our sins in his body on the cross so that we might die to sin and
[00:19:07.980 --> 00:19:09.600]   live to righteousness.
[00:19:09.600 --> 00:19:12.260]   For by his wounds, you were healed."
[00:19:12.260 --> 00:19:13.260]   Amen.
[00:19:13.260 --> 00:19:22.580]   Let us continue to reflect and recognize when Christ entered into that scene and was going
[00:19:22.580 --> 00:19:29.780]   to the cross, the scene is horrific because there's just so much corruption, waywardness,
[00:19:29.780 --> 00:19:32.160]   and sin around him.
[00:19:32.160 --> 00:19:36.300]   And what would feel natural if you put yourself in his shoes would be, "You should just judge
[00:19:36.300 --> 00:19:39.700]   all of them right now."
[00:19:39.700 --> 00:19:45.020]   And so we praise Christ and we pray in appreciation.
[00:19:45.020 --> 00:19:51.640]   What great composure, what great dedication to fulfill your merciful, saving grace.
[00:19:51.640 --> 00:19:53.780]   Let's take time now to pray.
[00:19:53.780 --> 00:19:56.520]   Would you take a moment to examine your heart?
[00:19:56.520 --> 00:19:59.660]   Is there any greedy expectation?
[00:19:59.660 --> 00:20:04.860]   Is there any grumbling complaint upon Christ, disappointment in your heart?
[00:20:04.860 --> 00:20:11.020]   But also let's quickly turn that around to say to the Lord, "God, we appreciate every
[00:20:11.020 --> 00:20:16.080]   aspect of what you've done, even making sure that you walk through all of these necessary
[00:20:16.080 --> 00:20:21.340]   steps so that the scripture would be fulfilled, but that your mercy would be fulfilled upon
[00:20:21.340 --> 00:20:22.340]   the cross."
[00:20:22.340 --> 00:20:23.420]   Let's take some time to pray.

