
[00:00:00.000 --> 00:00:04.640]   Good morning.
[00:01:32.240 --> 00:01:37.520]   opened, that we may see the light, and that Christ and Christ alone would be our treasure
[00:01:37.520 --> 00:01:39.120]   and our goal.
[00:01:39.120 --> 00:01:42.640]   So we ask for your anointing this time, this morning, that our worship may be given to
[00:01:42.640 --> 00:01:45.440]   you in a way that honors and glorifies you.
[00:01:45.440 --> 00:01:47.440]   In Jesus' name we pray.
[00:01:47.440 --> 00:01:49.440]   Amen.
[00:01:49.440 --> 00:01:54.960]   So again, as I said, chapter 10, these two statements, the "I am" statements, really
[00:01:54.960 --> 00:01:56.500]   ought to be understood together.
[00:01:56.500 --> 00:02:01.180]   So if you've read chapter 10 before this morning or you've studied it before, you may have
[00:02:01.180 --> 00:02:05.080]   noticed that in chapter 10, the "I am the door" and "I am the good shepherd" is really
[00:02:05.080 --> 00:02:07.040]   used interchangeably.
[00:02:07.040 --> 00:02:11.520]   So it's hard to dissect, is he talking about the door, is he talking about the shepherd?
[00:02:11.520 --> 00:02:17.400]   Because again, you'll see better what he means by that by really looking at chapter 9.
[00:02:17.400 --> 00:02:22.520]   In fact, if you don't look at chapter 9, what Jesus says about the door is really not going
[00:02:22.520 --> 00:02:24.160]   to make a lot of sense.
[00:02:24.160 --> 00:02:27.000]   We can understand Jesus as a good shepherd, right?
[00:02:27.000 --> 00:02:30.840]   He's a shepherd, we are the sheep, he guides us, he leads us, feeds us, we understand that
[00:02:30.840 --> 00:02:33.040]   aspect of it, or it's easier to understand.
[00:02:33.040 --> 00:02:36.120]   But what is the statement of "I am the door"?
[00:02:36.120 --> 00:02:39.800]   So again, if you don't understand the context in which he says that, the "I am the door"
[00:02:39.800 --> 00:02:42.960]   statement, it really is just going to go over your head and say, "Well, Jesus says he's
[00:02:42.960 --> 00:02:44.560]   the door, so we trust him."
[00:02:44.560 --> 00:02:46.520]   But what does he mean by that?
[00:02:46.520 --> 00:02:51.440]   How did the first recipients understood this statement?
[00:02:51.440 --> 00:02:56.200]   In order to do that, we have to look at the event in chapter 9, because that statement
[00:02:56.200 --> 00:02:58.640]   is said right after this event.
[00:02:58.640 --> 00:03:00.680]   And so what happens in chapter 9?
[00:03:00.680 --> 00:03:06.640]   So what I ask you to do, because there's too many verses, I don't have the text that's
[00:03:06.640 --> 00:03:11.220]   going to be written on the screen, so if you have your Bibles, I ask that you would open
[00:03:11.220 --> 00:03:16.000]   up to John chapter 9 and just keep it there, because I'm going to be reading the narrative,
[00:03:16.000 --> 00:03:21.720]   parts of it together with you, and then when we get to the three-point meaning of "I am
[00:03:21.720 --> 00:03:25.520]   the door" and "I am the good shepherd," it'll be easier to follow and the text will be coming
[00:03:25.520 --> 00:03:26.520]   up for you.
[00:03:26.520 --> 00:03:28.000]   So let's look at John chapter 9.
[00:03:28.000 --> 00:03:32.200]   What happens here that sets up for his statement, "I am the door"?
[00:03:32.200 --> 00:03:37.680]   John chapter 9 verse 1, it says, "As he passed by, he saw a man blind from birth, and his
[00:03:37.680 --> 00:03:42.320]   disciples asked him, 'Rabbi, who sinned, this man or his parents, that he would be born
[00:03:42.320 --> 00:03:43.320]   blind?'"
[00:03:43.320 --> 00:03:44.960]   So let me stop right there.
[00:03:44.960 --> 00:03:49.400]   So the setup of the story is that they run into this blind man, and you can see by the
[00:03:49.400 --> 00:03:54.440]   attitude of the disciples, the very first question that they ask, which was not unique
[00:03:54.440 --> 00:03:59.360]   to the disciples, the whole Jewish community believed that if you had any kind of defect
[00:03:59.360 --> 00:04:03.880]   or if you were struggling, that it must have been because you're being punished by God
[00:04:03.880 --> 00:04:08.380]   for some kind of sin, and that was their initial first response.
[00:04:08.380 --> 00:04:15.160]   And you can understand if that was their attitude toward the blind, there was no benevolence
[00:04:15.160 --> 00:04:19.720]   program for them because they believed you deserved it.
[00:04:19.720 --> 00:04:25.460]   In fact, you know, in many cultures around the world, unlike the Judeo-Christian culture,
[00:04:25.460 --> 00:04:29.580]   they believe that if you're suffering, if you're poor, if some affliction happened to
[00:04:29.580 --> 00:04:33.540]   you, you must have done something maybe in your previous life, and you need to pay off
[00:04:33.540 --> 00:04:37.080]   your sins in order for you to progress into the next life.
[00:04:37.080 --> 00:04:42.980]   Many cultures, they actually speak against helping the poor because they must be poor
[00:04:42.980 --> 00:04:44.700]   for a reason.
[00:04:44.700 --> 00:04:47.800]   Well, the Jewish culture was very similar to that.
[00:04:47.800 --> 00:04:51.660]   Not only did they have the physical hardship, they believed that if something bad happened
[00:04:51.660 --> 00:04:56.340]   to you, you must have done something, and that's why they were asking a question, not
[00:04:56.340 --> 00:04:58.640]   unique to the disciples, but the Jewish culture itself.
[00:04:58.640 --> 00:05:04.640]   So you can imagine as a blind person, hard enough, your life is hard enough as it is,
[00:05:04.640 --> 00:05:08.560]   but that the people around you in society, every time you came around, it's like, "Look
[00:05:08.560 --> 00:05:09.560]   at that guy.
[00:05:09.560 --> 00:05:10.880]   He must have done something."
[00:05:10.880 --> 00:05:15.200]   And that's the question that is asked, and Jesus answers in verse 3, "It was neither
[00:05:15.200 --> 00:05:20.600]   that this man has sinned, nor his parents, but it was so that the works of God might
[00:05:20.600 --> 00:05:22.000]   be displayed in him."
[00:05:22.000 --> 00:05:26.880]   Remember, Jesus says the same thing in John chapter 11 about Lazarus' death.
[00:05:26.880 --> 00:05:32.640]   He said that God allowed to happen because God has a specific plan.
[00:05:32.640 --> 00:05:38.260]   So Jesus, obviously, you know the story about how he spits on the ground and takes mud and
[00:05:38.260 --> 00:05:43.200]   puts it on his eyes and tells him to go and wash at the pool of Siloam.
[00:05:43.200 --> 00:05:46.280]   Then he comes back and he sees.
[00:05:46.280 --> 00:05:51.920]   And then when people see it, they're obviously surprised.
[00:05:51.920 --> 00:05:57.080]   Wasn't this man the same guy who used to beg at the temple day in and day out?
[00:05:57.080 --> 00:05:58.080]   How was he able to see?
[00:05:58.080 --> 00:06:00.160]   So some people didn't believe him.
[00:06:00.160 --> 00:06:02.440]   Some people said that maybe it was somebody that looked like him.
[00:06:02.440 --> 00:06:05.580]   And then he begins to speak up.
[00:06:05.580 --> 00:06:09.380]   And he says, "I am the one," in verse 9, to confirm.
[00:06:09.380 --> 00:06:13.600]   So you can imagine he opens his eyes and he's excited to go see people.
[00:06:13.600 --> 00:06:15.240]   And then people are like, "No, that can't be you.
[00:06:15.240 --> 00:06:17.480]   How can that have possibly happened?"
[00:06:17.480 --> 00:06:22.580]   So again, all of this is a setup of what's going to happen in chapter 10.
[00:06:22.580 --> 00:06:24.840]   We get to verse 13.
[00:06:24.840 --> 00:06:27.240]   And so some people are shocked.
[00:06:27.240 --> 00:06:28.280]   Some people are praising God.
[00:06:28.280 --> 00:06:29.940]   Some people don't believe.
[00:06:29.940 --> 00:06:33.960]   But look at the response of the Pharisees, the leaders, in verse 13.
[00:06:33.960 --> 00:06:37.080]   They brought to the Pharisees the man who was formerly blind.
[00:06:37.080 --> 00:06:41.200]   Now it was a Sabbath on the day when Jesus made this clay and opened his eyes.
[00:06:41.200 --> 00:06:44.400]   Then the Pharisees also were asking him again how he received the sight.
[00:06:44.400 --> 00:06:48.640]   And he said to them, "He applied clay to my eyes and I washed it and I see."
[00:06:48.640 --> 00:06:50.640]   And look at verse 16, what they say.
[00:06:50.640 --> 00:06:53.920]   Therefore some of the Pharisees were saying, "This man is not from God because he does
[00:06:53.920 --> 00:06:55.120]   not keep the Sabbath."
[00:06:55.460 --> 00:06:58.300]   A miracle takes place.
[00:06:58.300 --> 00:07:04.700]   A man who was blind all his life that was a common figure at the temple gate.
[00:07:04.700 --> 00:07:07.180]   And there's clear evidence that his eyes are open.
[00:07:07.180 --> 00:07:12.140]   But their first response is, "Because Jesus doesn't jump through the hoops the way we
[00:07:12.140 --> 00:07:13.780]   ask our people to.
[00:07:13.780 --> 00:07:14.780]   He didn't keep the Sabbath."
[00:07:14.780 --> 00:07:19.060]   And again, Jesus never broke the Sabbath command of God.
[00:07:19.060 --> 00:07:22.460]   He broke the Sabbath that they created.
[00:07:22.460 --> 00:07:24.020]   That they created.
[00:07:24.020 --> 00:07:27.040]   All the extra laws that they created.
[00:07:27.040 --> 00:07:31.780]   So if he doesn't abide by us, he can't possibly be from God.
[00:07:31.780 --> 00:07:33.860]   That's basically what they're saying.
[00:07:33.860 --> 00:07:40.340]   If he doesn't submit to us, even if he performs a miracle, he's not from God.
[00:07:40.340 --> 00:07:44.700]   Because clearly I'm the one anointed by God so therefore if you don't submit to me, you
[00:07:44.700 --> 00:07:45.820]   must not be from God.
[00:07:45.820 --> 00:07:47.980]   That's basically what they're saying.
[00:07:47.980 --> 00:07:53.420]   "The document who is a sinner performed such signs and there was a division among them.
[00:07:53.420 --> 00:07:56.780]   So they said to the blind man again, 'What do you say about him since he opened your
[00:07:56.780 --> 00:07:57.780]   eyes?'
[00:07:57.780 --> 00:07:59.900]   And he said, 'He is a prophet.'"
[00:07:59.900 --> 00:08:00.900]   Verse 18.
[00:08:00.900 --> 00:08:06.320]   "The Jews then did not believe it of him that he had been blind and had received sight until
[00:08:06.320 --> 00:08:11.580]   they called the parents the very one who had received his sight."
[00:08:11.580 --> 00:08:13.340]   So obviously you're a sinner.
[00:08:13.340 --> 00:08:14.580]   We can't trust what you say.
[00:08:14.580 --> 00:08:17.860]   Jesus doesn't submit to us so therefore he must not be from God.
[00:08:17.860 --> 00:08:21.700]   So we're going to investigate a little further and we're going to call his parents.
[00:08:21.700 --> 00:08:27.820]   Now understand the blind man's relationship with the parents.
[00:08:27.820 --> 00:08:32.260]   Typically at that time if you were blind, there was no social program to take care of
[00:08:32.260 --> 00:08:37.380]   you and other people would look at the blind man and say, "Remember the question that they
[00:08:37.380 --> 00:08:38.380]   asked?
[00:08:38.380 --> 00:08:39.780]   Was it his sin?
[00:08:39.780 --> 00:08:41.380]   And what was the other question?
[00:08:41.380 --> 00:08:43.440]   Or was it his parents?"
[00:08:43.440 --> 00:08:48.560]   So to have a blind son in the house would invite ridicule from the society that they
[00:08:48.560 --> 00:08:49.560]   belong to.
[00:08:49.560 --> 00:08:54.800]   So the typical practice was to release them to live with other blind people.
[00:08:54.800 --> 00:08:58.540]   And that's probably why he was begging at the temple gate because his parents weren't
[00:08:58.540 --> 00:09:00.300]   taking care of him.
[00:09:00.300 --> 00:09:04.680]   And his parents show up because they, for the purpose of indicting Jesus, they call
[00:09:04.680 --> 00:09:12.920]   him, them in and they ask them, "Your son clearly wasn't blind because this sinner,
[00:09:12.920 --> 00:09:15.120]   Jesus, could not have performed this miracle."
[00:09:15.120 --> 00:09:19.800]   In verse 20, "His parents answered them and said, 'We know that this is our son and that
[00:09:19.800 --> 00:09:21.120]   he was born blind.'"
[00:09:21.120 --> 00:09:24.280]   In other words, I can't lie to you, right?
[00:09:24.280 --> 00:09:25.280]   That's what he was.
[00:09:25.280 --> 00:09:29.080]   In verse 20, "But how he now sees, we do not know.
[00:09:29.080 --> 00:09:31.880]   Or who opened his eyes, we do not know.
[00:09:31.880 --> 00:09:34.520]   Ask him, he is of age, he will speak for himself."
[00:09:34.520 --> 00:09:36.340]   Now let me stop right there, okay?
[00:09:36.340 --> 00:09:41.960]   Because what they say in the next text is really the setup of what Jesus says in verse
[00:09:41.960 --> 00:09:43.760]   10, verse 22.
[00:09:43.760 --> 00:09:49.280]   "His parents said this because they were afraid of the Jews.
[00:09:49.280 --> 00:09:54.320]   For the Jews had already agreed that if anyone confessed him to be Christ, he was to be put
[00:09:54.320 --> 00:09:55.720]   out of the synagogue."
[00:09:55.720 --> 00:09:59.120]   Okay, stop right there.
[00:09:59.120 --> 00:10:02.200]   The Pharisees were the leaders of the synagogue.
[00:10:02.200 --> 00:10:05.400]   Now understand what the synagogue was.
[00:10:05.400 --> 00:10:09.400]   The temple was God-ordained where people were to come give sacrifices.
[00:10:09.400 --> 00:10:15.160]   But because of the diaspora of the Jews, they were spread all over the known world at that
[00:10:15.160 --> 00:10:19.200]   time, they had to find a way to worship God.
[00:10:19.200 --> 00:10:26.340]   So what they did was, their law was wherever there was 10 men, Jewish men, they were given
[00:10:26.340 --> 00:10:30.200]   permission to set up a synagogue, sort of a mini-temple.
[00:10:30.200 --> 00:10:35.600]   And so through that synagogue, they would perform the worships and various things that
[00:10:35.600 --> 00:10:39.060]   they needed to do, but the major sacrifice, they still needed to come to the temple.
[00:10:39.060 --> 00:10:45.260]   So the temple was ruled by the Sanhedrin and the high priest.
[00:10:45.260 --> 00:10:50.640]   But the synagogues were ruled by the Pharisees, and that's where majority of the Jews practiced
[00:10:50.640 --> 00:10:52.360]   their faith.
[00:10:52.360 --> 00:10:58.440]   So for the leaders of Israel to say, "If you don't agree with us, if you don't submit to
[00:10:58.440 --> 00:11:03.320]   us, if you don't agree that this man clearly is a sinner because he's calling us out, so
[00:11:03.320 --> 00:11:04.320]   we're calling him out.
[00:11:04.320 --> 00:11:09.260]   If you take his side," he said, "we're going to kick you out of the synagogue."
[00:11:09.260 --> 00:11:14.100]   And so in fear of being kicked out of the synagogue, they basically were plain dumb.
[00:11:14.100 --> 00:11:19.060]   "Well, he's our son, we can't deny that he was born blind, but as to how his eyes were
[00:11:19.060 --> 00:11:21.260]   open, we can't say."
[00:11:21.260 --> 00:11:27.420]   Now again, it's helpful for us to understand what the synagogue meant for an average Jew.
[00:11:27.420 --> 00:11:30.820]   Because the synagogue was not just a place where you went to worship.
[00:11:30.820 --> 00:11:33.020]   Synagogue was your community.
[00:11:33.020 --> 00:11:35.060]   Synagogue was where your children were educated.
[00:11:35.060 --> 00:11:37.520]   That was also your school.
[00:11:37.520 --> 00:11:42.460]   Synagogue was where you went and you probably married within that context.
[00:11:42.460 --> 00:11:45.740]   So synagogue to them was their world.
[00:11:45.740 --> 00:11:50.740]   So if you were kicked out of the synagogue, not only would you have spiritual ramification,
[00:11:50.740 --> 00:11:54.700]   not only would you have ramification for the education of your children, you wouldn't be
[00:11:54.700 --> 00:11:57.220]   able to do any kind of business.
[00:11:57.220 --> 00:12:01.360]   Because anybody who does business with that person, anybody who supports that person,
[00:12:01.360 --> 00:12:05.520]   anybody who relates to that person would also be kicked out of the synagogue.
[00:12:05.520 --> 00:12:11.260]   So they had this tight rein, they had this power over the synagogue, and these men basically
[00:12:11.260 --> 00:12:17.240]   were saying, "We've labeled him to be a troublemaker, and he's a sinner.
[00:12:17.240 --> 00:12:21.100]   So anybody who supports him in any way will be kicked out of the synagogue."
[00:12:21.100 --> 00:12:25.000]   Now all of that was a setup to verse chapter 10.
[00:12:25.000 --> 00:12:29.540]   For this reason, verse 23, the parents said, "He's of age, ask him."
[00:12:29.540 --> 00:12:33.540]   So the second time they called the man who had been blind and said to him, "Give glory
[00:12:33.540 --> 00:12:36.340]   to God, we know that this man is a sinner."
[00:12:36.340 --> 00:12:38.740]   He then answered, "Whether he's a sinner, I do not know.
[00:12:38.740 --> 00:12:43.700]   One thing I do know, that though I was blind, now I see."
[00:12:43.700 --> 00:12:47.460]   Verse 26, "So they said to him, 'What did he do to you?
[00:12:47.460 --> 00:12:48.540]   How did he open your eyes?'
[00:12:48.540 --> 00:12:50.620]   He answered him, 'I told you already.'"
[00:12:50.620 --> 00:12:54.300]   You can kind of see he knows that he's not going to get through to them.
[00:12:54.300 --> 00:12:56.660]   What he's telling them, "I already told you that I was born blind.
[00:12:56.660 --> 00:12:59.300]   My parents told you I was born blind, and I see.
[00:12:59.300 --> 00:13:02.060]   Clearly you're not going to accept my answer.
[00:13:02.060 --> 00:13:04.740]   He said, 'I already told you, and you did not listen.
[00:13:04.740 --> 00:13:06.620]   Why do you want to hear it again?
[00:13:06.620 --> 00:13:10.380]   You do not want to become his disciples too, do you?'"
[00:13:10.380 --> 00:13:11.380]   Sarcasm.
[00:13:11.380 --> 00:13:17.220]   So if you don't know what sarcasm is, right there, lesson one, that's sarcasm.
[00:13:17.220 --> 00:13:21.060]   I mean, think about this man's position.
[00:13:21.060 --> 00:13:28.280]   He was born blind all his life, and his lot in life was to be a beggar all his life.
[00:13:28.280 --> 00:13:34.960]   So can you imagine not being able to see and hearing the whole community of people going
[00:13:34.960 --> 00:13:38.700]   back and forth into the temple with their animals to sacrifice?
[00:13:38.700 --> 00:13:43.820]   Families, husband and wives, laughing with their children, going back and forth.
[00:13:43.820 --> 00:13:49.820]   So can you imagine him being forced to be on the side of the street begging all of his
[00:13:49.820 --> 00:13:51.500]   life?
[00:13:51.500 --> 00:13:57.620]   So for him to open his eyes wasn't simply that, "Now I can see and function like a normal
[00:13:57.620 --> 00:13:59.420]   person."
[00:13:59.420 --> 00:14:04.660]   For a blind man, a Jewish blind man, to have his eyes open means that he can enter back
[00:14:04.660 --> 00:14:05.660]   into society.
[00:14:05.660 --> 00:14:13.300]   And in order to enter back into society, he needed the approval of these Pharisees.
[00:14:13.300 --> 00:14:15.500]   So you can see the boldness of this man.
[00:14:15.500 --> 00:14:19.940]   Now he's standing against these Pharisees who really hold the key, at least humanly
[00:14:19.940 --> 00:14:23.900]   speaking, for a good life for him.
[00:14:23.900 --> 00:14:27.860]   He may be able to, he'll always be known as that guy who used to beg and God perform miracle
[00:14:27.860 --> 00:14:28.860]   on him.
[00:14:28.860 --> 00:14:35.640]   He's able to now find a wife possibly, have children, get a normal job, be able to worship
[00:14:35.640 --> 00:14:39.780]   at the synagogue, raise his children.
[00:14:39.780 --> 00:14:43.660]   He must have had all of those thoughts in his head.
[00:14:43.660 --> 00:14:49.580]   But he's standing before these men who have the key to good life for him, and now he realizes
[00:14:49.580 --> 00:14:50.980]   that he's not going to get through to them.
[00:14:50.980 --> 00:14:53.660]   So he's basically challenging them.
[00:14:53.660 --> 00:14:57.900]   Why are you so stubborn and why do you refuse to see this?
[00:14:57.900 --> 00:15:02.060]   In verse 30, "The man answered and said to them, 'Well, here is an amazing thing that
[00:15:02.060 --> 00:15:06.940]   you do not know where he is from, and yet he opened my eyes.'"
[00:15:06.940 --> 00:15:12.540]   We know that God does not hear sinners, but if anyone is God-fearing and does his will,
[00:15:12.540 --> 00:15:13.540]   he hears him.
[00:15:13.540 --> 00:15:17.180]   "Since the beginning of time, it has never been heard that anyone opened the eyes of
[00:15:17.180 --> 00:15:19.160]   the person born blind.
[00:15:19.160 --> 00:15:22.240]   If this man were not from God, he could do nothing.
[00:15:22.240 --> 00:15:26.440]   And they answered him, 'You were born entirely in sins, and are you teaching us?'
[00:15:26.440 --> 00:15:28.140]   So they put him out."
[00:15:28.140 --> 00:15:30.800]   Look at that conversation.
[00:15:30.800 --> 00:15:35.400]   Here's a man, if he was blind, he probably had never had any kind of education, never
[00:15:35.400 --> 00:15:37.880]   had any kind of training.
[00:15:37.880 --> 00:15:42.640]   He was a beggar all his life since he was a young child, and yet he's the one trying
[00:15:42.640 --> 00:15:45.400]   to open their eyes spiritually.
[00:15:45.400 --> 00:15:49.320]   So he may have been the one physically blind all his life, but spiritually he was seeing
[00:15:49.320 --> 00:15:50.320]   clearly.
[00:15:50.320 --> 00:15:55.320]   And here's these men who had the access to his word, who were the teachers of the law
[00:15:55.320 --> 00:16:00.780]   at the synagogue, who were the leaders of the spiritual community, and yet they did
[00:16:00.780 --> 00:16:05.140]   not understand what was plainly in front of them.
[00:16:05.140 --> 00:16:10.200]   And as a result of challenging these people, they did exactly what everybody was afraid
[00:16:10.200 --> 00:16:11.920]   of, what his parents were afraid of.
[00:16:11.920 --> 00:16:15.200]   They put him out.
[00:16:15.200 --> 00:16:19.400]   And it is in this context that Jesus meets up with this man who's just been put out.
[00:16:19.400 --> 00:16:25.520]   He now sees, but because he can't participate in society, he may still have to beg.
[00:16:25.520 --> 00:16:27.420]   He's not going to be able to get a job.
[00:16:27.420 --> 00:16:28.980]   He's not going to be able to go to the synagogue.
[00:16:28.980 --> 00:16:31.700]   He won't be welcomed at the temple.
[00:16:31.700 --> 00:16:33.640]   And Jesus meets him in verse 35.
[00:16:33.640 --> 00:16:37.680]   Jesus heard that they had put him out, and finding him, he said, "Do you believe in the
[00:16:37.680 --> 00:16:38.980]   Son of Man?"
[00:16:38.980 --> 00:16:42.500]   He answered, "Who is he, Lord, that I may believe in him?"
[00:16:42.500 --> 00:16:47.480]   Jesus said to him, "You have both seen him, and he is the one who is talking with you."
[00:16:47.480 --> 00:16:49.920]   And he said, "Lord, I believe."
[00:16:49.920 --> 00:16:50.920]   And he worshipped him.
[00:16:50.920 --> 00:16:55.440]   And Jesus said, "For judgment I came into this world, so that those who do not see may
[00:16:55.440 --> 00:17:00.160]   see, and those who may see may become blind."
[00:17:00.160 --> 00:17:04.540]   And then in verse 40, "Those of the Pharisees who were with him heard these things and said
[00:17:04.540 --> 00:17:07.200]   to him, 'We are not blind too, are we?'
[00:17:07.200 --> 00:17:11.180]   Jesus said to them, 'If you were blind, you would have no sin.
[00:17:11.180 --> 00:17:16.880]   But since you say, 'We see,' your sin remains.'"
[00:17:16.880 --> 00:17:19.440]   All of that was an introduction.
[00:17:19.440 --> 00:17:25.360]   Because it's difficult to understand what he says in the next statement without understanding
[00:17:25.360 --> 00:17:27.380]   chapter 9.
[00:17:27.380 --> 00:17:32.000]   When he says he is the door, now I hope you're already thinking, I hope you're already making
[00:17:32.000 --> 00:17:33.440]   the connection.
[00:17:33.440 --> 00:17:39.680]   When he's saying, "I am the door," he's saying the Jews are not.
[00:17:39.680 --> 00:17:44.640]   And that's why chapter 1, chapter 10, verse 1, begins with an indictment of the Jewish
[00:17:44.640 --> 00:17:49.800]   leaders that they are not the door to eternal life.
[00:17:49.800 --> 00:17:50.800]   That they are not the door.
[00:17:50.800 --> 00:17:54.600]   The synagogue is not the door for your refuge and your safety.
[00:17:54.600 --> 00:18:00.760]   So what I want to do, again, these three observations of what Jesus says in chapter 10 about these
[00:18:00.760 --> 00:18:02.840]   two statements, about him being the door and the shepherd.
[00:18:02.840 --> 00:18:06.840]   And I'm using it interchangeably because that's how it's used in chapter 10.
[00:18:06.840 --> 00:18:12.680]   And it's all as in response to the Jewish leaders kicking out this blind man for stating
[00:18:12.680 --> 00:18:14.720]   the truth.
[00:18:14.720 --> 00:18:19.640]   First thing that he says, an indictment against the Jews, "Jesus is the owner and not a hired
[00:18:19.640 --> 00:18:20.640]   hand."
[00:18:20.640 --> 00:18:24.760]   Again, this is an indictment against the leaders.
[00:18:24.760 --> 00:18:30.200]   Verse 10, chapter 10, verse 1, "Truly, truly, I say to you, he who does not enter by the
[00:18:30.200 --> 00:18:37.240]   door into the fold of the sheep but climbs up some other way, he is a thief and a robber."
[00:18:37.240 --> 00:18:39.760]   Now, who is he referring to?
[00:18:39.760 --> 00:18:42.960]   Clearly, he's talking about the Pharisees.
[00:18:42.960 --> 00:18:44.720]   He's talking about these leaders.
[00:18:44.720 --> 00:18:49.560]   That they are standing in the position of proclaiming the word of God, but they were
[00:18:49.560 --> 00:18:52.440]   never appointed by God himself.
[00:18:52.440 --> 00:18:56.600]   They were thieves who didn't come through the door and they basically forced their way
[00:18:56.600 --> 00:18:58.640]   into leadership.
[00:18:58.640 --> 00:19:04.520]   Now, all throughout Israel's history, one of the primary indictments against the nation
[00:19:04.520 --> 00:19:10.600]   of Israel almost always started with the leaders going astray.
[00:19:10.600 --> 00:19:14.040]   People that God did not anoint speaking.
[00:19:14.040 --> 00:19:17.720]   The people that God did not call self-willed themselves.
[00:19:17.720 --> 00:19:24.120]   Maybe through some family ties, maybe through some sort of revolt, maybe through education,
[00:19:24.120 --> 00:19:28.600]   maybe through talent, but it wasn't God-ordained.
[00:19:28.600 --> 00:19:32.760]   In fact, if you want to read details about that, Jeremiah is a really good book to see
[00:19:32.760 --> 00:19:36.800]   what God thinks of Israel's leaders.
[00:19:36.800 --> 00:19:40.680]   Because the passage that I'm going to read to you, you can find it in dozens and dozens
[00:19:40.680 --> 00:19:45.880]   and dozens of other passages, but I'm going to choose only one for the sake of time.
[00:19:45.880 --> 00:19:51.620]   Jeremiah 14, 14, "Then the Lord said to me, 'The prophets are prophesying falsehood in
[00:19:51.620 --> 00:19:53.200]   my name.
[00:19:53.200 --> 00:19:57.040]   I have neither sent them nor commanded them nor spoken to them.
[00:19:57.040 --> 00:20:04.320]   They are prophesying to you false visions, divinations, futility, and a deception of
[00:20:04.320 --> 00:20:05.720]   their own mind.'"
[00:20:05.720 --> 00:20:09.440]   In other words, they're thinking to themselves, "What should I say?
[00:20:09.440 --> 00:20:11.360]   What can I say?"
[00:20:11.360 --> 00:20:16.240]   Instead of speaking the truth, they're speaking what they think is important, what maybe you
[00:20:16.240 --> 00:20:17.240]   want to hear.
[00:20:17.240 --> 00:20:20.840]   That's exactly what Paul says to Timothy, that in times that people aren't going to
[00:20:20.840 --> 00:20:23.640]   want to hear the truth.
[00:20:23.640 --> 00:20:27.000]   Sometimes the truth is encouraging and sometimes the truth is cutting.
[00:20:27.000 --> 00:20:31.520]   He said, "They're not going to put up with the cutting part and they're going to gather
[00:20:31.520 --> 00:20:34.720]   around themselves leaders who want to tickle their itching ears."
[00:20:34.720 --> 00:20:36.920]   And this was not a problem only of the end times.
[00:20:36.920 --> 00:20:41.920]   We see in the Old Testament, this was a continual problem with the nation of Israel.
[00:20:41.920 --> 00:20:47.080]   These false teachers were forcing their way into leadership and they weren't speaking
[00:20:47.080 --> 00:20:49.000]   for God.
[00:20:49.000 --> 00:20:52.000]   He says that they have come to rob and to steal.
[00:20:52.000 --> 00:20:58.040]   In Matthew 7, 15, "Beware of the false prophets who come to you in sheep's clothing, but inwardly
[00:20:58.040 --> 00:20:59.960]   are ravenous wolves."
[00:20:59.960 --> 00:21:02.960]   Well, how are they thieves?
[00:21:02.960 --> 00:21:07.120]   Well first of all, they're thieves because they rob God of his glory.
[00:21:07.120 --> 00:21:15.400]   The reason why they jump in and try to be leaders is for self-exaltation, self-glorification.
[00:21:15.400 --> 00:21:19.640]   Even though they talk about God, ultimately it's about themselves.
