
[00:00:00.000 --> 00:00:04.000]   I first believed
[00:06:50.000 --> 00:06:56.000]   Knowing well that as our hearts begin to worship
[00:06:56.000 --> 00:07:04.000]   We'll be blessed because we came
[00:07:04.000 --> 00:07:11.000]   We'll be blessed because we came
[00:07:11.000 --> 00:07:14.000]   As we gather
[00:07:16.000 --> 00:07:23.000]   As we gather may your spirit work within us
[00:07:23.000 --> 00:07:30.000]   As we gather may we glorify your name
[00:07:30.000 --> 00:07:37.000]   Knowing well that as our hearts begin to worship
[00:07:37.000 --> 00:07:45.000]   We'll be blessed because we came
[00:07:46.000 --> 00:07:52.000]   We'll be blessed because we came
[00:07:52.000 --> 00:08:04.000]   The steadfast love of the Lord never ceases
[00:08:04.000 --> 00:08:13.000]   His mercies never come to an end
[00:08:14.000 --> 00:08:21.000]   We are new every morning, new every morning
[00:08:21.000 --> 00:08:28.000]   Great is Thy faithfulness, O Lord
[00:08:28.000 --> 00:08:35.000]   Great is Thy faithfulness
[00:08:35.000 --> 00:08:43.000]   Great is Thy faithfulness, O Lord
[00:08:43.000 --> 00:08:50.000]   Great is Thy faithfulness
[00:08:51.000 --> 00:08:53.000]   All right, good morning.
[00:08:53.000 --> 00:08:56.000]   Let me get the fog out of here.
[00:08:56.000 --> 00:09:00.000]   I got too excited in worship.
[00:09:00.000 --> 00:09:02.000]   All right, good morning.
[00:09:02.000 --> 00:09:04.000]   Welcome to Breen Community Church.
[00:09:04.000 --> 00:09:06.000]   Again, those of you who are online as well.
[00:09:06.000 --> 00:09:08.000]   I want to make a few announcements
[00:09:08.000 --> 00:09:10.000]   before we get started on this.
[00:09:10.000 --> 00:09:15.000]   First of all, obviously, that you're probably aware
[00:09:15.000 --> 00:09:18.000]   that the numbers and the COVID is rising
[00:09:19.000 --> 00:09:21.000]   and if you didn't read the instructions
[00:09:21.000 --> 00:09:24.000]   that we gave on Facebook and the church page,
[00:09:24.000 --> 00:09:26.000]   if you haven't read that yet,
[00:09:26.000 --> 00:09:28.000]   we strongly encourage you to read that
[00:09:28.000 --> 00:09:30.000]   because that's the policy that we're going to be following,
[00:09:30.000 --> 00:09:32.000]   how we're going to be communicating,
[00:09:32.000 --> 00:09:34.000]   and what we're asking you to do to let us know
[00:09:34.000 --> 00:09:36.000]   what's going on so that we can practice
[00:09:36.000 --> 00:09:38.000]   all the guidelines that are given to us
[00:09:38.000 --> 00:09:40.000]   so we're going to do the best of our ability.
[00:09:40.000 --> 00:09:42.000]   Our Sunday gathering, obviously,
[00:09:42.000 --> 00:09:44.000]   nothing is going to change.
[00:09:44.000 --> 00:09:46.000]   We're going to do our best to keep people
[00:09:46.000 --> 00:09:48.000]   as safe as possible.
[00:09:48.000 --> 00:09:49.000]   We're going to do everything we need
[00:09:49.000 --> 00:09:51.000]   in order for us to gather together safely.
[00:09:51.000 --> 00:09:53.000]   So for that reason, right now,
[00:09:53.000 --> 00:09:55.000]   the SEEDS department, the children,
[00:09:55.000 --> 00:09:57.000]   I think it's age three and four year olds
[00:09:57.000 --> 00:09:59.000]   that was gathering,
[00:09:59.000 --> 00:10:01.000]   we temporarily shut that down for the next three weeks
[00:10:01.000 --> 00:10:03.000]   because a lot of the teachers
[00:10:03.000 --> 00:10:05.000]   had to kind of go into quarantine
[00:10:05.000 --> 00:10:07.000]   and were exposed.
[00:10:07.000 --> 00:10:09.000]   So we want to make sure that we're keeping everybody safe.
[00:10:09.000 --> 00:10:11.000]   But we are planning that in early January
[00:10:11.000 --> 00:10:13.000]   that we'll come back online
[00:10:13.000 --> 00:10:15.000]   as soon as the teachers are able to do that.
[00:10:15.000 --> 00:10:17.000]   Our elementary group,
[00:10:17.000 --> 00:10:18.000]   we're going to stay the same.
[00:10:18.000 --> 00:10:20.000]   So we're running that still the same way.
[00:10:20.000 --> 00:10:22.000]   So there's certain things
[00:10:22.000 --> 00:10:24.000]   I just want you to be careful about
[00:10:24.000 --> 00:10:26.000]   because it's one thing for us
[00:10:26.000 --> 00:10:28.000]   to practice our faith
[00:10:28.000 --> 00:10:30.000]   and obviously we consider this an essential.
[00:10:30.000 --> 00:10:32.000]   So there's no plans for us
[00:10:32.000 --> 00:10:34.000]   to shut down our Sunday worship.
[00:10:34.000 --> 00:10:36.000]   But at the same time,
[00:10:36.000 --> 00:10:38.000]   this is one of those situations
[00:10:38.000 --> 00:10:40.000]   that require a lot of wisdom and sacrifice
[00:10:40.000 --> 00:10:42.000]   that we consider others better than ourselves.
[00:10:42.000 --> 00:10:44.000]   So yes, we do have the freedom
[00:10:44.000 --> 00:10:46.000]   to practice our conscience,
[00:10:46.000 --> 00:10:47.000]   but the wisdom that the scripture teaches us
[00:10:47.000 --> 00:10:49.000]   is that if it causes other people to stumble,
[00:10:49.000 --> 00:10:51.000]   right, that we make sure
[00:10:51.000 --> 00:10:53.000]   that our behavior is not just for us,
[00:10:53.000 --> 00:10:55.000]   but make sure that our community,
[00:10:55.000 --> 00:10:57.000]   it doesn't bother their conscience either.
[00:10:57.000 --> 00:10:59.000]   So we want to caution you
[00:10:59.000 --> 00:11:01.000]   to be sensitive to other people
[00:11:01.000 --> 00:11:03.000]   because people's different opinions
[00:11:03.000 --> 00:11:05.000]   are very extreme, one end to the other.
[00:11:05.000 --> 00:11:07.000]   And so be mindful of that.
[00:11:07.000 --> 00:11:09.000]   There are people who are coming to church
[00:11:09.000 --> 00:11:11.000]   who are very, very concerned,
[00:11:11.000 --> 00:11:13.000]   yet because they consider
[00:11:13.000 --> 00:11:15.000]   the Sunday worship to be
[00:11:15.000 --> 00:11:16.000]   essential, that they are,
[00:11:16.000 --> 00:11:18.000]   despite their fears, they are coming
[00:11:18.000 --> 00:11:20.000]   and we don't want to force
[00:11:20.000 --> 00:11:22.000]   our freedom upon them
[00:11:22.000 --> 00:11:24.000]   where we're just going out
[00:11:24.000 --> 00:11:26.000]   and saying I have the right to do this and that.
[00:11:26.000 --> 00:11:28.000]   So just be careful.
[00:11:28.000 --> 00:11:30.000]   And again, especially now in our community,
[00:11:30.000 --> 00:11:33.000]   we need to be more conscious than ever
[00:11:33.000 --> 00:11:35.000]   just for the community that we belong to.
[00:11:35.000 --> 00:11:37.000]   So use biblical principles
[00:11:37.000 --> 00:11:40.000]   to follow what it means to be free,
[00:11:40.000 --> 00:11:42.000]   but what it also means to love
[00:11:42.000 --> 00:11:44.000]   so that we can gather together
[00:11:44.000 --> 00:11:45.000]   and make sure that everybody
[00:11:45.000 --> 00:11:47.000]   is able to gather with a clear conscience.
[00:11:47.000 --> 00:11:50.000]   Along with that, a few other announcements.
[00:11:50.000 --> 00:11:52.000]   Berean membership class is starting again.
[00:11:52.000 --> 00:11:54.000]   The new session is January 17th.
[00:11:54.000 --> 00:11:56.000]   It's happening from 9 to 10 a.m.
[00:11:56.000 --> 00:11:58.000]   in Upper Room Cafe.
[00:11:58.000 --> 00:12:00.000]   So if you want to be a member in the church,
[00:12:00.000 --> 00:12:03.000]   the email is natequackbereancc.com.
[00:12:03.000 --> 00:12:05.000]   You can sign up and there should be
[00:12:05.000 --> 00:12:07.000]   some sort of a lead to that
[00:12:07.000 --> 00:12:09.000]   in our church website,
[00:12:09.000 --> 00:12:11.000]   your app, or the Facebook page.
[00:12:11.000 --> 00:12:13.000]   New Year's Eve schedule.
[00:12:13.000 --> 00:12:14.000]   On December 31st,
[00:12:14.000 --> 00:12:16.000]   I think originally we said 11.30,
[00:12:16.000 --> 00:12:18.000]   but we're going to have it at 11 p.m.
[00:12:18.000 --> 00:12:20.000]   in order for us to finish everything by 12.
[00:12:20.000 --> 00:12:22.000]   So we're going to say,
[00:12:22.000 --> 00:12:24.000]   get all that, you know,
[00:12:24.000 --> 00:12:26.000]   watch the year-end video,
[00:12:26.000 --> 00:12:28.000]   take some time to pray,
[00:12:28.000 --> 00:12:30.000]   a short devotion,
[00:12:30.000 --> 00:12:32.000]   and then say Happy New Year
[00:12:32.000 --> 00:12:34.000]   so that at 12 o'clock it will be done,
[00:12:34.000 --> 00:12:36.000]   and then people can go sleep,
[00:12:36.000 --> 00:12:38.000]   whatever you're going to do, okay?
[00:12:38.000 --> 00:12:40.000]   So it's going to be not 11.30, but 11.
[00:12:40.000 --> 00:12:42.000]   And so there are no activities,
[00:12:42.000 --> 00:12:43.000]   it's going to be taking place at church,
[00:12:43.000 --> 00:12:45.000]   so just keep that in mind.
[00:12:45.000 --> 00:12:47.000]   And also finally,
[00:12:47.000 --> 00:12:49.000]   for the Christmas service outreach,
[00:12:49.000 --> 00:12:51.000]   today is the last day to sign up,
[00:12:51.000 --> 00:12:53.000]   so if you haven't signed up and you're planning to,
[00:12:53.000 --> 00:12:55.000]   please do so as soon as you can.
[00:12:55.000 --> 00:12:57.000]   So go online and look at the links
[00:12:57.000 --> 00:12:59.000]   and then you can sign up for that, right?
[00:12:59.000 --> 00:13:01.000]   Today is the last day, right?
[00:13:01.000 --> 00:13:03.000]   Confirmation, yes, today is the last day.
[00:13:03.000 --> 00:13:05.000]   No? Did I get this wrong?
[00:13:05.000 --> 00:13:08.000]   Is today the last day to sign up for the Christmas?
[00:13:08.000 --> 00:13:11.000]   Okay.
[00:13:12.000 --> 00:13:13.000]   If I'm not right,
[00:13:13.000 --> 00:13:16.000]   next week is the last day.
[00:13:16.000 --> 00:13:18.000]   Next week is the last day, okay, okay.
[00:13:18.000 --> 00:13:20.000]   All right, so I got to correct the first service people.
[00:13:20.000 --> 00:13:22.000]   I said today.
[00:13:22.000 --> 00:13:24.000]   All right, next week is the last day.
[00:13:24.000 --> 00:13:27.000]   But move as if today is the last day, okay?
[00:13:27.000 --> 00:13:29.000]   So sign up as soon as you can
[00:13:29.000 --> 00:13:31.000]   so that they can prepare ahead of time.
[00:13:31.000 --> 00:13:33.000]   All right, so we're going to take some time
[00:13:33.000 --> 00:13:35.000]   to pray for our offering,
[00:13:35.000 --> 00:13:37.000]   and again, a physical offering box is in the back
[00:13:37.000 --> 00:13:39.000]   if you need to do so.
[00:13:40.000 --> 00:13:41.000]   So we're going to pray.
[00:13:41.000 --> 00:13:43.000]   Heavenly Father,
[00:13:43.000 --> 00:13:46.000]   we pray for your Holy Spirit to lead and guide us,
[00:13:46.000 --> 00:13:48.000]   help us to give you worship
[00:13:48.000 --> 00:13:50.000]   that is truly in spirit and in truth.
[00:13:50.000 --> 00:13:52.000]   Pray that you would search our hearts, Lord God,
[00:13:52.000 --> 00:13:55.000]   and show us if there's any hurtful ways in us.
[00:13:55.000 --> 00:13:57.000]   I pray that your word
[00:13:57.000 --> 00:13:59.000]   would judge the thoughts and intentions of our heart,
[00:13:59.000 --> 00:14:01.000]   that we would see a greater glimpse,
[00:14:01.000 --> 00:14:04.000]   greater glory of who you are,
[00:14:04.000 --> 00:14:06.000]   that we may reflect your grace
[00:14:06.000 --> 00:14:08.000]   and your love and your holiness
[00:14:09.000 --> 00:14:10.000]   Lord God, as you desire.
[00:14:10.000 --> 00:14:12.000]   May this worship be honoring to you
[00:14:12.000 --> 00:14:14.000]   and sanctifying to the church,
[00:14:14.000 --> 00:14:16.000]   and even the offering that we give,
[00:14:16.000 --> 00:14:18.000]   may we give it generously,
[00:14:18.000 --> 00:14:20.000]   cheerfully, joyfully, Lord God,
[00:14:20.000 --> 00:14:23.000]   and may it be multiplied for your use in your kingdom.
[00:14:23.000 --> 00:14:25.000]   In Jesus' name we pray, amen.
[00:14:26.000 --> 00:14:55.000]   (soft piano music)
[00:14:55.000 --> 00:15:15.000]   (soft piano music)
[00:15:15.000 --> 00:15:17.000]   - All right, as we continue our worship,
[00:15:17.000 --> 00:15:19.000]   let us stand together.
[00:15:20.000 --> 00:15:37.000]   (soft piano music)
[00:15:37.000 --> 00:15:42.000]   ♪ Here is love, best as the ocean ♪
[00:15:42.000 --> 00:15:46.000]   ♪ Love in kindness as the flood ♪
[00:15:47.000 --> 00:15:50.000]   ♪ When the prince of life our ransom ♪
[00:15:50.000 --> 00:15:55.000]   ♪ Shed for us his precious blood ♪
[00:15:55.000 --> 00:15:59.000]   ♪ Who his love will not remember ♪
[00:15:59.000 --> 00:16:04.000]   ♪ Who can cease to sing his praise ♪
[00:16:04.000 --> 00:16:08.000]   ♪ He can never be forgotten ♪
[00:16:08.000 --> 00:16:14.000]   ♪ Who out has eternal day ♪
[00:16:15.000 --> 00:16:20.000]   (soft piano music)
[00:16:20.000 --> 00:16:24.000]   ♪ On the mount of crucifixion ♪
[00:16:24.000 --> 00:16:29.000]   ♪ Fountains of been deep and wide ♪
[00:16:29.000 --> 00:16:33.000]   ♪ Through the floodgates of God's mercy ♪
[00:16:33.000 --> 00:16:38.000]   ♪ Flood of love and gracious tide ♪
[00:16:38.000 --> 00:16:42.000]   ♪ Grace and love like mighty rivers ♪
[00:16:43.000 --> 00:16:47.000]   ♪ Poured incessant from above ♪
[00:16:47.000 --> 00:16:51.000]   ♪ Heaven's peace and perfect justice ♪
[00:16:51.000 --> 00:16:57.000]   ♪ Just a guilty world in love ♪
[00:16:57.000 --> 00:17:11.000]   (soft piano music)
[00:17:12.000 --> 00:17:16.000]   ♪ Here is love that conquered evil ♪
[00:17:16.000 --> 00:17:20.000]   ♪ Christ the first born from the grave ♪
[00:17:20.000 --> 00:17:25.000]   ♪ Death has failed to be found equal ♪
[00:17:25.000 --> 00:17:29.000]   ♪ To the love of him who saved ♪
[00:17:29.000 --> 00:17:34.000]   ♪ In the valley of our darkness ♪
[00:17:34.000 --> 00:17:38.000]   ♪ Dawn is everlasting light ♪
[00:17:39.000 --> 00:17:43.000]   ♪ Perfect love in flawless radiance ♪
[00:17:43.000 --> 00:17:50.000]   ♪ Has prepared the covered sky ♪
[00:17:50.000 --> 00:18:04.000]   (soft piano music)
[00:18:05.000 --> 00:18:09.000]   ♪ No love is higher, no love is wider ♪
[00:18:09.000 --> 00:18:14.000]   ♪ No love is deeper, no love is truer ♪
[00:18:14.000 --> 00:18:18.000]   ♪ No love is higher, no love is wider ♪
[00:18:18.000 --> 00:18:22.000]   ♪ No love is like your love of old ♪
[00:18:22.000 --> 00:18:27.000]   ♪ No love is higher, no love is wider ♪
[00:18:27.000 --> 00:18:32.000]   ♪ No love is deeper, no love is truer ♪
[00:18:33.000 --> 00:18:36.000]   ♪ No love is higher, no love is wider ♪
[00:18:36.000 --> 00:18:39.000]   ♪ No love is like your love of old ♪
[00:18:39.000 --> 00:18:45.000]   ♪ No love is higher, no love is wider ♪
[00:18:45.000 --> 00:18:50.000]   ♪ No love is deeper, no love is truer ♪
[00:18:50.000 --> 00:18:54.000]   ♪ No love is higher, no love is wider ♪
[00:18:54.000 --> 00:18:59.000]   ♪ No love is like your love of old ♪
[00:19:00.000 --> 00:19:04.000]   ♪ In his love we rest as the heavens ♪
[00:19:04.000 --> 00:19:09.000]   ♪ Countless as the stars above ♪
[00:19:09.000 --> 00:19:13.000]   ♪ Are the souls that he has ransomed ♪
[00:19:13.000 --> 00:19:18.000]   ♪ Precious God, our treasured son ♪
[00:19:18.000 --> 00:19:23.000]   ♪ We are called to feast forever ♪
[00:19:23.000 --> 00:19:27.000]   ♪ On a love beyond our reach ♪
[00:19:29.000 --> 00:19:33.000]   ♪ Forest, father, son and spirit ♪
[00:19:33.000 --> 00:19:39.000]   ♪ Now with Beth our enter twine ♪
[00:19:39.000 --> 00:19:49.000]   (upbeat music)
[00:19:50.000 --> 00:19:53.000]   (upbeat music)
[00:19:53.000 --> 00:20:05.000]   ♪ Races rising ♪
[00:20:05.000 --> 00:20:11.000]   ♪ Eyes are turning to you ♪
[00:20:11.000 --> 00:20:16.000]   ♪ We turn to you ♪
[00:20:18.000 --> 00:20:22.000]   ♪ Will will be disturbing ♪
[00:20:22.000 --> 00:20:27.000]   ♪ Hearts are yearning for you ♪
[00:20:27.000 --> 00:20:32.000]   ♪ We long for you ♪
[00:20:32.000 --> 00:20:36.000]   ♪ 'Cause when we see you ♪
[00:20:36.000 --> 00:20:40.000]   ♪ We find strength to face the day ♪
[00:20:40.000 --> 00:20:47.000]   ♪ In your presence all our fears are washed away ♪
[00:20:48.000 --> 00:20:51.000]   ♪ Washed away ♪
[00:20:51.000 --> 00:20:57.000]   ♪ Hosanna, hosanna ♪
[00:20:57.000 --> 00:21:02.000]   ♪ You are the God who saves us ♪
[00:21:02.000 --> 00:21:06.000]   ♪ Worthy of all our praises ♪
[00:21:06.000 --> 00:21:14.000]   ♪ Hosanna, hosanna ♪
[00:21:15.000 --> 00:21:18.000]   ♪ Come have your way among us ♪
[00:21:18.000 --> 00:21:23.000]   ♪ We welcome you here, Lord Jesus ♪
[00:21:23.000 --> 00:21:35.000]   ♪ Hear the sound ♪
[00:21:35.000 --> 00:21:43.000]   ♪ Hear the sound of our dreams turning to you ♪
[00:21:43.000 --> 00:21:46.000]   ♪ Turning to you ♪
[00:21:46.000 --> 00:21:50.000]   ♪ We turn to you ♪
[00:21:50.000 --> 00:22:01.000]   ♪ When your kingdom broken lies our hope in you ♪
[00:22:01.000 --> 00:22:06.000]   ♪ We wait for you ♪
[00:22:07.000 --> 00:22:13.000]   ♪ When we see you we find strength to face the day ♪
[00:22:13.000 --> 00:22:21.000]   ♪ In your presence all our fears are washed away ♪
[00:22:21.000 --> 00:22:24.000]   ♪ Washed away ♪
[00:22:24.000 --> 00:22:31.000]   ♪ Hosanna, hosanna ♪
[00:22:31.000 --> 00:22:35.000]   ♪ You are the God who saves us ♪
[00:22:36.000 --> 00:22:40.000]   ♪ Worthy of all our praises ♪
[00:22:40.000 --> 00:22:47.000]   ♪ Hosanna, hosanna ♪
[00:22:47.000 --> 00:22:52.000]   ♪ Come have your way among us ♪
[00:22:52.000 --> 00:22:57.000]   ♪ We welcome you here, Lord Jesus ♪
[00:22:57.000 --> 00:23:17.000]   ♪ ♪
[00:23:17.000 --> 00:23:23.000]   ♪ When we see you we find strength to face the day ♪
[00:23:26.000 --> 00:23:31.000]   ♪ In your presence all our fears are washed away ♪
[00:23:31.000 --> 00:23:33.000]   ♪ When we see you ♪
[00:23:33.000 --> 00:23:40.000]   ♪ When we see you we find strength to face the day ♪
[00:23:40.000 --> 00:23:48.000]   ♪ In your presence all our fears are washed away ♪
[00:23:48.000 --> 00:23:52.000]   ♪ Washed away ♪
[00:23:53.000 --> 00:24:00.000]   ♪ Hosanna, hosanna ♪
[00:24:00.000 --> 00:24:04.000]   ♪ You are the God who saves us ♪
[00:24:04.000 --> 00:24:09.000]   ♪ Worthy of all our praises ♪
[00:24:09.000 --> 00:24:16.000]   ♪ Hosanna, hosanna ♪
[00:24:16.000 --> 00:24:21.000]   ♪ Come have your way among us ♪
[00:24:22.000 --> 00:24:26.000]   ♪ We welcome you here, Lord Jesus ♪
[00:24:26.000 --> 00:24:42.000]   ♪ ♪
[00:24:42.000 --> 00:24:48.000]   ♪ In Christ alone my hope is found ♪
[00:24:49.000 --> 00:24:52.000]   ♪ In Christ alone my hope is found ♪
[00:24:52.000 --> 00:24:56.000]   ♪ In Christ alone my hope is found ♪
[00:24:56.000 --> 00:25:00.000]   ♪ In Christ alone my hope is found ♪
[00:25:00.000 --> 00:25:04.000]   ♪ In Christ alone my hope is found ♪
[00:25:04.000 --> 00:25:08.000]   ♪ In Christ alone my hope is found ♪
[00:25:08.000 --> 00:25:12.000]   ♪ In Christ alone my hope is found ♪
[00:25:12.000 --> 00:25:16.000]   ♪ In Christ alone my hope is found ♪
[00:25:17.000 --> 00:25:25.000]   ♪ I all in all, here in the love of Christ I stand ♪
[00:25:25.000 --> 00:25:32.000]   ♪ In Christ alone who took on flesh ♪
[00:25:32.000 --> 00:25:37.000]   ♪ Fullness of God and helpless bare ♪
[00:25:37.000 --> 00:25:42.000]   ♪ This gift of love and righteousness ♪
[00:25:43.000 --> 00:25:47.000]   ♪ Scorned by the ones He came to slay ♪
[00:25:47.000 --> 00:25:52.000]   ♪ 'Til all that cross has changed the style ♪
[00:25:52.000 --> 00:25:57.000]   ♪ The wrath of God was satisfied ♪
[00:25:57.000 --> 00:26:03.000]   ♪ For every sin on Him was laid ♪
[00:26:03.000 --> 00:26:09.000]   ♪ Here in the death of Christ I live ♪
[00:26:10.000 --> 00:26:26.000]   ♪ ♪
[00:26:26.000 --> 00:26:32.000]   ♪ In the ground His body lay ♪
[00:26:32.000 --> 00:26:37.000]   ♪ Light of the world by darkness slain ♪
[00:26:38.000 --> 00:26:42.000]   ♪ Thirsting for and for His name ♪
[00:26:42.000 --> 00:26:47.000]   ♪ Love of the grave He rose again ♪
[00:26:47.000 --> 00:26:52.000]   ♪ And as He stands in victory ♪
[00:26:52.000 --> 00:26:57.000]   ♪ His curse has lost its grip on me ♪
[00:26:57.000 --> 00:27:03.000]   ♪ For I am His and He is mine ♪
[00:27:04.000 --> 00:27:09.000]   ♪ I with the precious blood of Christ ♪
[00:27:09.000 --> 00:27:26.000]   ♪ ♪
[00:27:26.000 --> 00:27:32.000]   ♪ No guilt in life, no fear in death ♪
[00:27:33.000 --> 00:27:37.000]   ♪ This is the power of Christ in me ♪
[00:27:37.000 --> 00:27:42.000]   ♪ From life's first cry to final breath ♪
[00:27:42.000 --> 00:27:47.000]   ♪ Jesus commands my destiny ♪
[00:27:47.000 --> 00:27:52.000]   ♪ No power or man, no scheme of man ♪
[00:27:52.000 --> 00:27:57.000]   ♪ Can ever guide a proud listener ♪
[00:27:58.000 --> 00:28:03.000]   ♪ 'Til He returns or calls me home ♪
[00:28:03.000 --> 00:28:08.000]   ♪ Here in the power of Christ I stand ♪
[00:28:08.000 --> 00:28:13.000]   ♪ No power or man, no scheme of man ♪
[00:28:13.000 --> 00:28:18.000]   ♪ Can ever guide a proud listener ♪
[00:28:18.000 --> 00:28:24.000]   ♪ 'Til He returns or calls me home ♪
[00:28:25.000 --> 00:28:30.000]   ♪ Here in the power of Christ I stand ♪
[00:28:30.000 --> 00:28:38.000]   ♪ ♪
[00:28:38.000 --> 00:28:41.000]   - Amen, praise the Lord.
[00:28:41.000 --> 00:28:48.000]   - All right, before we get started,
[00:28:48.000 --> 00:28:50.000]   there's two things I forgot to mention to you
[00:28:50.000 --> 00:28:51.000]   before we start.
[00:28:51.000 --> 00:28:54.000]   First of all, next Sunday is our Christmas service,
[00:28:54.000 --> 00:28:56.000]   and so you receive this card.
[00:28:56.000 --> 00:28:58.000]   Obviously, most people that you're gonna invite
[00:28:58.000 --> 00:29:01.000]   may come online, so there is an online version.
[00:29:01.000 --> 00:29:03.000]   You can just cut and paste and invite your friends.
[00:29:03.000 --> 00:29:05.000]   But again, this is given to you as just a bookmark
[00:29:05.000 --> 00:29:09.000]   for you to be reminded that, again,
[00:29:09.000 --> 00:29:12.000]   people who normally don't attend church
[00:29:12.000 --> 00:29:14.000]   are willing to come to special events,
[00:29:14.000 --> 00:29:17.000]   especially Christmas service, and so we want to redeem
[00:29:17.000 --> 00:29:19.000]   the opportunity that God has given us to do that.
[00:29:19.000 --> 00:29:23.000]   So next Sunday, when we have a Christmas service
[00:29:23.000 --> 00:29:26.000]   and we talk about the meaning of Christmas
[00:29:26.000 --> 00:29:29.000]   and why Christ had to come, and so it'd be a good opportunity
[00:29:29.000 --> 00:29:31.000]   to invite your non-Christian friends or family and friends
[00:29:31.000 --> 00:29:33.000]   to come to that, so that's what this is for.
[00:29:33.000 --> 00:29:37.000]   The other part of it is, last year we took
[00:29:37.000 --> 00:29:41.000]   a missions offering, the Lottie Moon missions offering
[00:29:41.000 --> 00:29:44.000]   for our IMB, International Mission Branch
[00:29:44.000 --> 00:29:47.000]   of our denomination, and so we're gonna be taking
[00:29:47.000 --> 00:29:49.000]   mission offerings, so we want you to be prayerful
[00:29:49.000 --> 00:29:52.000]   about that, and then next Sunday, we will be collecting
[00:29:52.000 --> 00:29:56.000]   the mission offering, our brother's, Pastor Alex
