
[00:00:00.000 --> 00:00:03.000]   (children cheering)
[00:02:59.240 --> 00:03:01.800]   and we just need to trust in him.
[00:03:01.800 --> 00:03:05.000]   - You're right, we need to trust in God.
[00:03:05.000 --> 00:03:06.160]   What should we do?
[00:03:06.160 --> 00:03:07.480]   - I'm going to pray.
[00:03:07.480 --> 00:03:10.120]   God, please help us to remember
[00:03:10.120 --> 00:03:13.800]   that you have a plan for us and that you love us.
[00:03:13.800 --> 00:03:16.280]   Thank you for sending your son to save us.
[00:03:16.280 --> 00:03:18.680]   In Jesus' name we pray, amen.
[00:03:18.680 --> 00:03:19.880]   - Amen.
[00:03:19.880 --> 00:03:21.080]   - I am cursed.
[00:03:21.080 --> 00:03:21.920]   - What?
[00:03:22.920 --> 00:03:23.760]   - What?
[00:03:23.760 --> 00:03:24.600]   - What?
[00:03:24.600 --> 00:03:25.680]   - I'm cursed.
[00:03:25.680 --> 00:03:30.880]   - Whoa, we're out.
[00:03:30.880 --> 00:03:31.720]   - Yeah.
[00:03:31.720 --> 00:03:32.800]   - I'm cursed.
[00:03:32.800 --> 00:03:33.640]   - Yeah.
[00:03:33.640 --> 00:03:34.480]   - Help me with that.
[00:03:34.480 --> 00:03:36.200]   - Quick, let's get back to the ship
[00:03:36.200 --> 00:03:37.560]   before Nemesis finds us.
[00:03:37.560 --> 00:03:38.960]   - Okay, let's go.
[00:03:38.960 --> 00:03:46.280]   - Oh look, there's a message on the screen.
[00:03:46.280 --> 00:03:47.320]   We should play it.
[00:03:47.320 --> 00:03:48.760]   (computer beeps)
[00:03:48.760 --> 00:03:51.080]   - Captain, entering message.
[00:03:51.080 --> 00:03:51.920]   - Captain.
[00:03:51.920 --> 00:03:57.440]   - Captain Quint and Quint, we are on mission right now
[00:03:57.440 --> 00:04:01.400]   in China, and our people are in extreme danger.
[00:04:01.400 --> 00:04:05.560]   We need you to continue to work for the Great Commission.
[00:04:05.560 --> 00:04:09.880]   Come back to China, that people need you.
[00:04:09.880 --> 00:04:12.800]   And we hope that everyone, all the audience
[00:04:12.800 --> 00:04:16.160]   will join us in the work of the Great Commission.
[00:04:16.160 --> 00:04:17.600]   It's up to you.
[00:04:17.600 --> 00:04:21.520]   (speaking in foreign language)
[00:04:21.520 --> 00:04:38.240]   - Hey, where did they go?
[00:04:38.240 --> 00:04:42.520]   Did you guys have anything to do with that?
[00:04:42.520 --> 00:04:45.360]   (audience cheers)
[00:04:45.360 --> 00:04:48.360]   Quint and Squirtle, where are they?
[00:04:48.360 --> 00:04:53.400]   Hey, you three, did you have anything to do with this?
[00:04:53.400 --> 00:04:55.680]   Drama.
[00:04:55.680 --> 00:05:01.360]   No, okay, Groots, my name is Nemesis of Genesis,
[00:05:01.360 --> 00:05:06.600]   not like my twin brother Andrew over there, but,
[00:05:06.600 --> 00:05:11.600]   Groots, I'm asking you, where is Captain Quint and Squirtle?
[00:05:13.160 --> 00:05:15.480]   (audience cheers)
[00:05:15.480 --> 00:05:19.480]   I am getting so sick and tired of this Groot.
[00:05:19.480 --> 00:05:21.640]   I am going to beat you up.
[00:05:21.640 --> 00:05:26.280]   (audience cheers)
[00:05:26.280 --> 00:05:34.400]   - Over here!
[00:05:34.400 --> 00:05:43.120]   (audience cheers)
[00:05:44.000 --> 00:05:46.840]   (audience cheers)
[00:05:47.680 --> 00:05:50.360]   (whistle blows)
[00:05:50.360 --> 00:05:53.600]   (growling)
[00:05:53.600 --> 00:05:55.840]   (growling)
[00:05:55.840 --> 00:06:00.680]   (audience laughs)
[00:06:00.680 --> 00:06:06.000]   (growling)
[00:06:06.000 --> 00:06:14.840]   (audience laughs)
[00:06:15.040 --> 00:06:17.880]   (audience cheers)
[00:06:17.880 --> 00:06:29.440]   - And so, God has a special plan for Captain 4-Dance 4,
[00:06:29.440 --> 00:06:31.880]   and you as well.
[00:06:31.880 --> 00:06:34.160]   Stay tuned for tomorrow's finale
[00:06:34.160 --> 00:06:36.480]   on Villagers of 4-Dance Boy.
[00:06:36.480 --> 00:06:40.440]   (audience cheers)
[00:06:40.440 --> 00:06:42.680]   (applause)
[00:06:42.680 --> 00:06:44.560]   (cheering and applause)

