
[00:00:00.000 --> 00:00:09.400]   Let's pray.
[00:03:54.000 --> 00:03:58.120]   And that's exactly what Paul is saying in verse 3 to verse 8.
[00:03:58.120 --> 00:04:02.100]   So typically, we can get into this and look at the different gifts and how they all fit
[00:04:02.100 --> 00:04:05.520]   in together, and we are going to talk some about that, but I want to give you a bigger
[00:04:05.520 --> 00:04:10.640]   picture and understand it in the context of how the Jews probably would have heard what
[00:04:10.640 --> 00:04:12.400]   he was saying.
[00:04:12.400 --> 00:04:17.820]   So the first thing that we want to look at is sanctification requires thinking soberly
[00:04:17.820 --> 00:04:21.080]   of ourselves, first and foremost.
[00:04:21.080 --> 00:04:23.720]   Sanctification requires thinking soberly of ourselves.
[00:04:23.720 --> 00:04:28.960]   He says in verse 3, "For by the grace given to me, I say to everyone among you not to
[00:04:28.960 --> 00:04:34.640]   think of himself more highly than he ought to think, but to think with sober judgment,
[00:04:34.640 --> 00:04:37.640]   each according to the measure of faith that God has assigned."
[00:04:37.640 --> 00:04:44.800]   Paul says in 1 Timothy 1, 15-16, that though he was being used to plant churches, many
[00:04:44.800 --> 00:04:47.000]   people are coming to Christ.
[00:04:47.000 --> 00:04:52.700]   He says to Timothy, his protege, training the young pastor, he says, "This saying is
[00:04:52.700 --> 00:04:56.520]   trustworthy and deserving of full acceptance, that Christ Jesus came into the world to save
[00:04:56.520 --> 00:04:59.720]   sinners of whom I am the foremost."
[00:04:59.720 --> 00:05:07.540]   Paul, even though by this time he was more than a decade into his conversion, he planted
[00:05:07.540 --> 00:05:12.120]   maybe dozens and dozens of churches, revelation was coming through this man, and obviously
[00:05:12.120 --> 00:05:17.380]   he was bearing much fruit in God's kingdom, yet he never forgot.
[00:05:17.380 --> 00:05:20.200]   He never forgot who he was.
[00:05:20.200 --> 00:05:22.200]   So he says, "I am the worst of sinners."
[00:05:22.200 --> 00:05:26.720]   He doesn't say, "God didn't save me because I had so much potential and because I was
[00:05:26.720 --> 00:05:31.520]   a Pharisee among Pharisees and because he was already probably somewhat famous, and
[00:05:31.520 --> 00:05:35.920]   so God thought, 'Man, this man could be useful for me.'"
[00:05:35.920 --> 00:05:42.800]   Instead, Paul recognized the very reason why he was saved and made an apostle was exactly
[00:05:42.800 --> 00:05:43.800]   the opposite.
[00:05:43.800 --> 00:05:47.600]   It was because he was the worst of sinners.
[00:05:47.600 --> 00:05:52.640]   The whole purpose, for the purpose of putting him on a pedestal, not to highlight him, but
[00:05:52.640 --> 00:05:55.600]   to highlight God's mercy.
[00:05:55.600 --> 00:06:00.240]   That if God could forgive him, if God could save him, the worst of sinners, and he really
[00:06:00.240 --> 00:06:02.280]   was the worst of sinners.
[00:06:02.280 --> 00:06:06.560]   Remember, he was responsible for the first martyr in the church.
[00:06:06.560 --> 00:06:12.360]   He was willing to go and drag Christians into court and even kill them.
[00:06:12.360 --> 00:06:17.880]   So when he confronts Christ on the road to Damascus, Jesus himself says, "Why are you
[00:06:17.880 --> 00:06:20.040]   persecuting me?"
[00:06:20.040 --> 00:06:21.760]   He doesn't say, "Why are you persecuting my people?"
[00:06:21.760 --> 00:06:24.240]   He says, "Why are you persecuting me?"
[00:06:24.240 --> 00:06:26.680]   So apostle Paul was responsible for all that.
[00:06:26.680 --> 00:06:32.240]   He had so much hatred for Christ and his people.
[00:06:32.240 --> 00:06:37.560]   So when Paul says he's the worst of sinners, he recognizes that God had every right to
[00:06:37.560 --> 00:06:38.840]   crush him.
[00:06:38.840 --> 00:06:44.440]   On that road to Damascus, Jesus could have easily said, and humanly speaking, well-deserved,
[00:06:44.440 --> 00:06:50.380]   "Who are you to persecute me and to kill my people?"
[00:06:50.380 --> 00:06:54.400]   And then instead of blinding him and converting him and using him, God could have easily crushed
[00:06:54.400 --> 00:06:56.160]   him.
[00:06:56.160 --> 00:06:57.920]   Paul never forgot about that.
[00:06:57.920 --> 00:07:04.520]   And that's why he says, "Timothy," this is a trustworthy saying, "that he saved me because
[00:07:04.520 --> 00:07:05.920]   I was the worst of sinners."
[00:07:05.920 --> 00:07:07.880]   Why is he telling this to Timothy?
[00:07:07.880 --> 00:07:10.880]   Because Timothy is being trained for ministry.
[00:07:10.880 --> 00:07:14.600]   And he's telling Timothy to have a sober judgment about himself.
[00:07:14.600 --> 00:07:20.880]   Now we may look at that and falsely apply, well, God is saying that we should recognize
[00:07:20.880 --> 00:07:25.120]   ourselves as the worst of sinners and every once in a while I'll hear somebody say, "My
[00:07:25.120 --> 00:07:30.920]   name is so-and-so, the worst of sinners."
[00:07:30.920 --> 00:07:34.980]   And I know they mean one, I don't mean to judge their intent, but it just doesn't come
[00:07:34.980 --> 00:07:39.880]   off right because it almost sounds like there's a competition as to who recognizes who's the
[00:07:39.880 --> 00:07:40.880]   worst.
[00:07:40.880 --> 00:07:41.880]   It's like, "No, I'm the worst of sinners."
[00:07:41.880 --> 00:07:43.880]   No, I am the worst of sinners.
[00:07:43.880 --> 00:07:44.880]   Are you kidding me?
[00:07:44.880 --> 00:07:46.280]   I am the worst of sinners.
[00:07:46.280 --> 00:07:48.080]   I am the worst of sinners.
[00:07:48.080 --> 00:07:50.400]   I am the worst sinner in the universe.
[00:07:50.400 --> 00:07:53.120]   There's nobody who's worse than me.
[00:07:53.120 --> 00:08:00.240]   It just doesn't sound right because I don't think we really truly believe that.
[00:08:00.240 --> 00:08:05.200]   We say that because we think that that's what Paul means when he says, "Don't think of yourself
[00:08:05.200 --> 00:08:06.200]   so highly."
[00:08:06.200 --> 00:08:12.360]   So we kind of deliberately try to lower ourselves and by lowering ourselves we're kind of indirectly
[00:08:12.360 --> 00:08:13.360]   raising ourselves.
[00:08:13.360 --> 00:08:14.360]   It just doesn't sound right.
[00:08:14.360 --> 00:08:15.480]   It's just false humility.
[00:08:15.480 --> 00:08:17.040]   That's not honest.
[00:08:17.040 --> 00:08:19.420]   And I don't think that's what Paul is saying here either.
[00:08:19.420 --> 00:08:27.620]   He's saying don't look at yourself higher than you ought, but to think of yourself soberly
[00:08:27.620 --> 00:08:28.620]   with right judgments.
[00:08:28.620 --> 00:08:31.900]   In other words, he's not saying, "Don't say, 'Oh, I'm the worst.
[00:08:31.900 --> 00:08:32.900]   I'm no good.
[00:08:32.900 --> 00:08:33.900]   I can't do anything.'"
[00:08:33.900 --> 00:08:35.460]   It's, "Oh, could you help out at church?"
[00:08:35.460 --> 00:08:36.460]   "No, I'm illiterate.
[00:08:36.460 --> 00:08:37.460]   I can't do anything."
[00:08:37.460 --> 00:08:39.020]   You know what I mean?
[00:08:39.020 --> 00:08:40.180]   "I don't know how to read.
[00:08:40.180 --> 00:08:41.180]   I don't know how to think.
[00:08:41.180 --> 00:08:42.180]   I have no gifts.
[00:08:42.180 --> 00:08:43.180]   I have nothing."
[00:08:43.180 --> 00:08:45.460]   It's like, "Oh, I'm so godly."
[00:08:45.460 --> 00:08:48.340]   That's not what Paul is saying here.
[00:08:48.340 --> 00:08:52.420]   Paul is not saying here not to think of yourself highly and say, "You're worthless.
[00:08:52.420 --> 00:08:53.420]   You're no good.
[00:08:53.420 --> 00:08:54.420]   You're wicked.
[00:08:54.420 --> 00:08:55.420]   You're a worm."
[00:08:55.420 --> 00:08:57.180]   And sometimes we express ourselves that way.
[00:08:57.180 --> 00:09:01.140]   You don't really mean it, but you think that that's what it means to be godly.
[00:09:01.140 --> 00:09:03.460]   That's not what he's saying at all.
[00:09:03.460 --> 00:09:09.180]   He says don't think of yourselves higher than you ought, but to think of yourselves soberly
[00:09:09.180 --> 00:09:10.180]   with correct judgment.
[00:09:10.180 --> 00:09:12.500]   What does he mean by that?
[00:09:12.500 --> 00:09:20.620]   To think how God sees us, the way God views us.
[00:09:20.620 --> 00:09:26.660]   I think the perfect example of that, when Paul introduces himself in most of his letters,
[00:09:26.660 --> 00:09:35.580]   he says, "I'm Apostle Paul," and then he says, "The bondservant of Jesus Christ."
[00:09:35.580 --> 00:09:39.140]   And the word literally means slave of Jesus Christ.
[00:09:39.140 --> 00:09:44.460]   So when you think of the word slave, automatically it's a title of humiliation.
[00:09:44.460 --> 00:09:47.740]   During that period of time, I mean, to be a slave, obviously you had no right.
[00:09:47.740 --> 00:09:50.280]   You couldn't own property.
[00:09:50.280 --> 00:09:53.620]   If your master decided to kill you, they could.
[00:09:53.620 --> 00:09:55.500]   I mean, you had no rights, no legal rights.
[00:09:55.500 --> 00:10:01.180]   So when Paul says, "I am a slave of Jesus Christ," the title in and of itself is a title
[00:10:01.180 --> 00:10:03.540]   of humility.
[00:10:03.540 --> 00:10:08.960]   But he says, "I'm a bondservant of Jesus Christ."
[00:10:08.960 --> 00:10:10.780]   That's just like saying, "I'm a cook."
[00:10:10.780 --> 00:10:11.780]   Oh, you're a cook?
[00:10:11.780 --> 00:10:12.780]   It's okay.
[00:10:12.780 --> 00:10:13.780]   "For the president."
[00:10:13.780 --> 00:10:17.540]   "I'm the secretary."
[00:10:17.540 --> 00:10:18.540]   Oh, you're a secretary.
[00:10:18.540 --> 00:10:22.900]   "Of the United States."
[00:10:22.900 --> 00:10:24.940]   So those two terms come together.
[00:10:24.940 --> 00:10:30.620]   It is a title of humility, but because it's connected to the United States, it's a title
[00:10:30.620 --> 00:10:31.760]   of honor.
[00:10:31.760 --> 00:10:38.060]   So when Paul says, "I am a slave of Jesus Christ," it is both a statement of humility
[00:10:38.060 --> 00:10:42.100]   and it is also a statement of honor.
[00:10:42.100 --> 00:10:47.300]   That's what Paul means when he says in Philippians 4.13, "I can do all things through Christ
[00:10:47.300 --> 00:10:49.500]   who strengthens me."
[00:10:49.500 --> 00:10:52.260]   It would be wrong if Paul said, "I can do all things."
[00:10:52.260 --> 00:10:53.860]   Do you know what kind of training that I've had?
[00:10:53.860 --> 00:10:55.860]   You know what kind of success I've had?
[00:10:55.860 --> 00:10:57.020]   You know what kind of education?
[00:10:57.020 --> 00:11:00.500]   I know the law better than anybody else.
[00:11:00.500 --> 00:11:01.660]   That's not what Paul is saying.
[00:11:01.660 --> 00:11:04.180]   Neither is he saying, "Oh, don't ask me.
[00:11:04.180 --> 00:11:05.180]   I'm so low.
[00:11:05.180 --> 00:11:06.660]   I'm the worst of sinners.
[00:11:06.660 --> 00:11:08.380]   I can't do anything.
[00:11:08.380 --> 00:11:09.380]   I can't lead people.
[00:11:09.380 --> 00:11:10.380]   I can't share the gospel.
[00:11:10.380 --> 00:11:11.380]   I know nothing.
[00:11:11.380 --> 00:11:13.980]   I have nothing to offer the church.
[00:11:13.980 --> 00:11:14.980]   I'm so humble."
[00:11:14.980 --> 00:11:19.060]   That's not what Paul is saying either.
[00:11:19.060 --> 00:11:24.860]   He says, "I can do all things through him who gives me strength."
[00:11:24.860 --> 00:11:32.060]   So Paul sees himself and the power that he's been given, not in and of himself, because
[00:11:32.060 --> 00:11:33.740]   he was connected to God.
[00:11:33.740 --> 00:11:39.020]   Romans 8, 37, "Knowing all these things, we are more than conquerors through him who
[00:11:39.020 --> 00:11:41.540]   loved us."
[00:11:41.540 --> 00:11:47.380]   For whatever the reason, we think that whenever we learn about Christ and his glory and what
[00:11:47.380 --> 00:11:51.420]   he expects of the church, our natural response is, "We're such failures.
[00:11:51.420 --> 00:11:53.660]   We're no good.
[00:11:53.660 --> 00:11:55.380]   We're just no good.
[00:11:55.380 --> 00:11:56.460]   We're the worst of sinners.
[00:11:56.460 --> 00:11:57.460]   We can't.
[00:11:57.460 --> 00:11:58.700]   You're so good, and we're no good.
[00:11:58.700 --> 00:11:59.780]   We're just wretched sinners.
[00:11:59.780 --> 00:12:01.280]   We're no good, no good, no good."
[00:12:01.280 --> 00:12:07.420]   And then we create this environment where we think true maturity is a bunch of weak
[00:12:07.420 --> 00:12:13.900]   people who never succeed, always sins, but God always forgives the end.
[00:12:13.900 --> 00:12:17.980]   Is that what he is saying when he says, "Do not think of yourself higher than you ought"?
[00:12:17.980 --> 00:12:24.780]   But he's saying, "No, think of yourself soberly from God's perspective, from what he sees."
[00:12:24.780 --> 00:12:30.280]   See, 2 Corinthians 10, 12, it says, "But when they measure themselves by one another and
[00:12:30.280 --> 00:12:34.980]   compare themselves with one another, they are without understanding."
[00:12:34.980 --> 00:12:41.780]   The problem with our self-esteem or our arrogance is always comes because we compare ourselves
[00:12:41.780 --> 00:12:43.740]   with each other.
[00:12:43.740 --> 00:12:47.500]   And it doesn't take a whole lot for us to become proud.
[00:12:47.500 --> 00:12:49.740]   It doesn't take us a lot.
[00:12:49.740 --> 00:12:52.600]   You walk into a room, and you're a little bit taller than everybody else.
[00:12:52.600 --> 00:12:55.420]   You don't say it, but you feel it.
[00:12:55.420 --> 00:12:58.740]   You feel dominance.
[00:12:58.740 --> 00:13:05.380]   You go to the gym, every other guy is lifting 160 pounds, and you got two plates on.
[00:13:05.380 --> 00:13:07.920]   That's right.
[00:13:07.920 --> 00:13:10.460]   You don't say it, but you feel it.
[00:13:10.460 --> 00:13:18.420]   Recently, I just read that UC Irvine has bypassed UCSD in ranking.
[00:13:18.420 --> 00:13:22.780]   I don't hear anything.
[00:13:22.780 --> 00:13:24.380]   You didn't say it, but you felt it.
[00:13:24.380 --> 00:13:27.740]   I know.
[00:13:27.740 --> 00:13:33.700]   And then there's UCLA graduates in here, it's like...
[00:13:33.700 --> 00:13:37.860]   And then the Berkeley people won't even enter the conversation.
[00:13:37.860 --> 00:13:38.860]   They don't need to.
[00:13:38.860 --> 00:13:41.180]   You already know.
[00:13:41.180 --> 00:13:44.180]   And Stanford, don't come to our church.
[00:13:44.180 --> 00:13:48.080]   They're too good for us.
[00:13:48.080 --> 00:13:51.580]   It doesn't take a lot for us to become arrogant.
[00:13:51.580 --> 00:13:52.580]   It really doesn't.
[00:13:52.580 --> 00:13:55.140]   You don't have to be so much greater than the next person.
[00:13:55.140 --> 00:14:00.220]   But when we compare ourselves with ourselves, you have either two things.
[00:14:00.220 --> 00:14:04.460]   Either one, you think you're better than everybody, and then you become proud.
[00:14:04.460 --> 00:14:07.660]   You read a little bit more, you're a little bit more fit, you're a little bit taller,
[00:14:07.660 --> 00:14:09.900]   you're a little bit better looking, your hair's straighter than somebody...
[00:14:09.900 --> 00:14:12.660]   It doesn't take a lot.
[00:14:12.660 --> 00:14:17.340]   Or the other end is low self-esteem.
[00:14:17.340 --> 00:14:22.380]   I'm unworthy, I can't, I don't make as much money as these people, I haven't been as successful,
[00:14:22.380 --> 00:14:24.600]   I can't do this, I can't do that.
[00:14:24.600 --> 00:14:27.020]   That is just as wrong.
[00:14:27.020 --> 00:14:31.340]   Because we're seeing it from the eyes of the world, what we have learned from the world,
[00:14:31.340 --> 00:14:35.360]   to value ourself based upon comparing with other people.
[00:14:35.360 --> 00:14:45.740]   So pride and self-focus can manifest in pride and also false humility.
[00:14:45.740 --> 00:14:48.180]   That's not what Paul is saying.
[00:14:48.180 --> 00:14:53.140]   Paul is saying not to think of yourself highly than you ought to think.
[00:14:53.140 --> 00:15:01.340]   In other words, besides what God says of you, but to think of yourself soberly.
[00:15:01.340 --> 00:15:06.060]   And that's why you look at James chapter 4, 6, God said, "God opposes the proud, but gives
[00:15:06.060 --> 00:15:08.140]   grace to the humble."
[00:15:08.140 --> 00:15:14.460]   I mean, the perfect example of that is Nicodemus and the Samaritan woman.
[00:15:14.460 --> 00:15:19.820]   Nicodemus comes to Christ, you know, and he's afraid about his reputation.
[00:15:19.820 --> 00:15:23.740]   He's sitting up on the mountain because he's climbed this mountain and he's an expert of
[00:15:23.740 --> 00:15:30.020]   the law and everybody's looking up to him because he's the moral example of Israel.
[00:15:30.020 --> 00:15:33.060]   He comes and he's concerned about his reputation.
[00:15:33.060 --> 00:15:35.940]   If I come and talk to him, what are my friends are going to say about me?
[00:15:35.940 --> 00:15:39.960]   So he comes proud, even though he might be the Messiah.
[00:15:39.960 --> 00:15:44.860]   You could see the pride in him and Jesus yanks him down from his mountain.
[00:15:44.860 --> 00:15:46.900]   And he says, "You have to be born again."
[00:15:46.900 --> 00:15:48.780]   It's like, how can the man be born again?
[00:15:48.780 --> 00:15:51.860]   You're right, you can't do it.
[00:15:51.860 --> 00:15:52.860]   It has to be of the spirit.
[00:15:52.860 --> 00:15:54.260]   Well, how do I do that?
[00:15:54.260 --> 00:15:55.980]   It's not up to you.
[00:15:55.980 --> 00:15:58.340]   The spirit comes and goes where it goes and no one knows.
[00:15:58.340 --> 00:16:01.020]   In other words, it's completely up to him.
[00:16:01.020 --> 00:16:03.340]   It's completely up to him, he has nothing to do with you.
[00:16:03.340 --> 00:16:06.000]   And he basically yanks him off that mountain.
[00:16:06.000 --> 00:16:11.300]   And then here's this woman in Samaritan chapter 4, she's concerned about his reputation.
[00:16:11.300 --> 00:16:12.620]   Aren't you afraid what they're going to say?
[00:16:12.620 --> 00:16:15.980]   You're talking to a sinner, a Samaritan woman?
[00:16:15.980 --> 00:16:18.220]   She said, "Go bring your husband."
[00:16:18.220 --> 00:16:21.220]   And then she recognizes, "I'm a sinner, I don't have a husband."
[00:16:21.220 --> 00:16:28.940]   And he engages her and he actually reveals himself to her and tells her, "I am that Messiah."
[00:16:28.940 --> 00:16:30.580]   And that's exactly what it means.
[00:16:30.580 --> 00:16:37.260]   In James chapter 4, 6, he opposes the proud, he humbles the proud, but he gives grace to
[00:16:37.260 --> 00:16:38.260]   the humble.
[00:16:38.260 --> 00:16:42.340]   There's a reason why Ephesians 2, 8, it says, "For by grace you have been saved through
[00:16:42.340 --> 00:16:48.380]   faith and not of yourselves, so that no one may," what?
[00:16:48.380 --> 00:16:50.220]   "Boast."
[00:16:50.220 --> 00:16:54.940]   So the whole point of justification was to humble us.
[00:16:54.940 --> 00:17:00.980]   To humble us so that we could see ourselves from God's perspective.
[00:17:00.980 --> 00:17:05.460]   So again, he's not calling us to be like, "Oh, I'm nothing, I can't be useful."
[00:17:05.460 --> 00:17:09.880]   Paul says, "I can do all things through him who strengthens me."
[00:17:09.880 --> 00:17:12.400]   It's because of him, it's because of our connection to him.
[00:17:12.400 --> 00:17:19.160]   So when we compare ourselves with ourselves, either you become arrogant or you start having
[00:17:19.160 --> 00:17:20.800]   low esteem and say, "Oh, woe is me."
[00:17:20.800 --> 00:17:25.860]   And then either way, you become useless in the kingdom of God.
[00:17:25.860 --> 00:17:28.920]   But when we see ourselves in the eyes of God.
[00:17:28.920 --> 00:17:35.200]   See, if you were a slave, if you were a slave without this connection to God, that would
[00:17:35.200 --> 00:17:38.220]   be the worst thing to call yourself.
[00:17:38.220 --> 00:17:40.920]   You had absolutely no right.
[00:17:40.920 --> 00:17:48.920]   But because you are a slave of Jesus Christ, every single one of us, no matter how successful
[00:17:48.920 --> 00:17:55.680]   you were, when you came into church, we all had level ground.
[00:17:55.680 --> 00:17:59.640]   Every single one of us comes to God as wretched sinners in need of his mercy.
[00:17:59.640 --> 00:18:02.020]   But that's not where we end.
[00:18:02.020 --> 00:18:03.020]   That's where we were.
[00:18:03.020 --> 00:18:04.920]   We were the worst of sinners.
[00:18:04.920 --> 00:18:06.760]   We have sin nature.
[00:18:06.760 --> 00:18:11.480]   It doesn't matter how successful you were, how much you've read, and no matter what it
[00:18:11.480 --> 00:18:15.920]   is that you've done, at the core of who we are, all have sinned and fall short of the
[00:18:15.920 --> 00:18:18.640]   glory of God.
[00:18:18.640 --> 00:18:23.160]   But as a result of that, as a result of it, God forgave us and made us what?
[00:18:23.160 --> 00:18:28.340]   Our source of pride is not your achievement, is not how you look, what school you came
[00:18:28.340 --> 00:18:30.720]   out of, and what the world says about you.
[00:18:30.720 --> 00:18:34.240]   Our source of pride and confidence is what?
[00:18:34.240 --> 00:18:37.120]   Is Christ.
[00:18:37.120 --> 00:18:39.480]   That I am able to call him my Abba Father.
[00:18:39.480 --> 00:18:41.720]   I am co-heirs with Christ.
[00:18:41.720 --> 00:18:43.000]   That's where my boasting is.
[00:18:43.000 --> 00:18:46.920]   That's why Paul says, "I boast in my weakness, because in my weakness, he is strong."
[00:18:46.920 --> 00:18:51.440]   So our title, in and of itself, is humiliation.
[00:18:51.440 --> 00:18:57.260]   But when we're connected to Christ, it's a source of great strength.
[00:18:57.260 --> 00:18:58.260]   So that's what Paul means.
[00:18:58.260 --> 00:19:01.120]   First, we need to have a proper view of ourselves.
[00:19:01.120 --> 00:19:07.000]   Our thinking needs to change, that we don't apply what the world says into our Christian
[00:19:07.000 --> 00:19:08.000]   lives.
[00:19:08.000 --> 00:19:14.600]   Secondly, sanctification requires humbling of ourselves, recognizing our unity.
[00:19:14.600 --> 00:19:15.600]   Our unity.
[00:19:15.600 --> 00:19:17.120]   First four and five.
[00:19:17.120 --> 00:19:22.160]   For as in one body, we have many members, and the members do not all have the same function,
[00:19:22.160 --> 00:19:28.040]   so we, though many, are one body in Christ, and individually members one of another.
[00:19:28.040 --> 00:19:34.800]   Now as a Gentile, which all of us are, when we read this passage, certain things are naturally
[00:19:34.800 --> 00:19:37.280]   are more emphasized.
[00:19:37.280 --> 00:19:38.280]   We think about the diversity.
[00:19:38.280 --> 00:19:42.840]   We think about the diversity, we think about the oneness, and we're the body of Christ,
[00:19:42.840 --> 00:19:45.560]   and how we ought to support one another, and all of that.
[00:19:45.560 --> 00:19:50.920]   And all of that is true, but I want you to think like a Jew.
[00:19:50.920 --> 00:19:56.100]   Jew in the first century, if he heard this, how he would have understood this?
[00:19:56.100 --> 00:19:59.320]   What would have been his first emotional response to this?
[00:19:59.320 --> 00:20:02.140]   To say that we're all one.
[00:20:02.140 --> 00:20:05.340]   Think about who is in the church.
[00:20:05.340 --> 00:20:06.540]   Think about who is in the church.
[00:20:06.540 --> 00:20:11.480]   So if you were a Jew, and you heard this, how you would have responded?
[00:20:11.480 --> 00:20:16.680]   Again, Paul says in Ephesians 4, 4-7, "There is one body and one spirit, just as you were
[00:20:16.680 --> 00:20:26.000]   called to one hope that belongs to your call, one Lord, one faith, one baptism, one God,
[00:20:26.000 --> 00:20:30.120]   and Father of all, who is over all and through all and in all.
[00:20:30.120 --> 00:20:35.400]   But grace was given to each one of us according to the measure of Christ's gift."
[00:20:35.400 --> 00:20:38.440]   We as Gentiles read that and say, "That's awesome.
[00:20:38.440 --> 00:20:42.200]   One God, one faith, we're all one together."
[00:20:42.200 --> 00:20:49.140]   The reason why Gentiles hear this and we say, "Great, because we weren't in the kingdom.
[00:20:49.140 --> 00:20:50.140]   We were the outsiders.
[00:20:50.140 --> 00:20:51.140]   We were the peasants.
[00:20:51.140 --> 00:20:53.040]   We didn't have the Old Testament.
[00:20:53.040 --> 00:20:55.660]   We didn't have the sacrifices.
[00:20:55.660 --> 00:20:57.960]   We weren't privileged."
[00:20:57.960 --> 00:21:02.840]   So when a Gentile hears this, "Great, we were the ones who are far off and he brought us."
[00:21:02.840 --> 00:21:06.500]   But imagine if you were a Jew.
[00:21:06.500 --> 00:21:10.040]   You were the owners of the kingdom.
[00:21:10.040 --> 00:21:12.000]   You had the law of God.
[00:21:12.000 --> 00:21:16.520]   You've been practicing the commandments for hundreds of years.
[00:21:16.520 --> 00:21:18.160]   You have the promises.
[00:21:18.160 --> 00:21:20.600]   You have the patriarchs.
[00:21:20.600 --> 00:21:26.420]   And then you're entering in, and again, it didn't take a whole lot to fill the Israelites
[00:21:26.420 --> 00:21:27.620]   with pride.
