
[00:00:00.000 --> 00:00:05.640]   All right, good morning.
[00:04:14.840 --> 00:04:22.640]   And I remember breaking the news to the church slowly and not one congratulations.
[00:04:22.640 --> 00:04:23.640]   Not one.
[00:04:23.640 --> 00:04:27.080]   It was, you know, and I don't want to repeat the things that I heard during that time,
[00:04:27.080 --> 00:04:30.240]   but it was not encouraging.
[00:04:30.240 --> 00:04:35.840]   But I can honestly say, and I think we, our whole family would agree, that having Isaiah
[00:04:35.840 --> 00:04:37.920]   in our home has been a tremendous blessing.
[00:04:37.920 --> 00:04:41.040]   And I can't imagine what life would be like without Isaiah.
[00:04:41.040 --> 00:04:43.760]   Hi Isaiah.
[00:04:43.760 --> 00:04:44.760]   Hi Addy.
[00:04:44.760 --> 00:04:49.480]   If I was Pastor Nate, I would say hi to Addy.
[00:04:49.480 --> 00:04:51.200]   But you know what's really funny?
[00:04:51.200 --> 00:04:57.720]   Was when we had Isaiah, and obviously my parents, my father who was alive at that time, named
[00:04:57.720 --> 00:05:04.320]   Isaiah's name, his Korean name, and it basically means in Korean, the end.
[00:05:04.320 --> 00:05:05.320]   Or that's enough.
[00:05:05.320 --> 00:05:10.320]   And I think, you know, the grandparents were saying like four is enough.
[00:05:10.320 --> 00:05:15.760]   But you know what's funny was Serenity, Jennifer and Tommy's, their fourth child, and I think
[00:05:15.760 --> 00:05:19.280]   their birthdays are off by maybe a month or something like that.
[00:05:19.280 --> 00:05:20.280]   Very close.
[00:05:20.280 --> 00:05:22.840]   And it was also their fourth child.
[00:05:22.840 --> 00:05:28.880]   And I didn't know this until years later that her grandfather named her in Chinese, the
[00:05:28.880 --> 00:05:30.160]   end.
[00:05:30.160 --> 00:05:33.360]   So basically it means the same thing in Chinese and Korean.
[00:05:33.360 --> 00:05:36.240]   You know, I think both grandparents were telling us that's enough.
[00:05:36.240 --> 00:05:37.680]   We obeyed and they did not.
[00:05:37.680 --> 00:05:39.200]   And so they had their fifth.
[00:05:39.200 --> 00:05:45.560]   What's interesting is that the names that are given, at least in the previous generation,
[00:05:45.560 --> 00:05:46.560]   was very significant.
[00:05:46.560 --> 00:05:50.640]   That's why when we do baby dedications or presentations, we always ask the meaning of
[00:05:50.640 --> 00:05:51.640]   the name.
[00:05:51.640 --> 00:05:56.920]   So I don't know, you children who are watching out there, if you know what your name means.
[00:05:56.920 --> 00:05:59.960]   If you don't, you can ask your parents later what the name means.
[00:05:59.960 --> 00:06:03.960]   But again, in the previous generations, names were given with specific purpose.
[00:06:03.960 --> 00:06:05.840]   Like this is what is desired of you.
[00:06:05.840 --> 00:06:10.000]   This is what we're praying that God would do in your life.
[00:06:10.000 --> 00:06:15.680]   Well, in scripture, the significance of the name is very, very important.
[00:06:15.680 --> 00:06:21.560]   In fact, when God was doing something really great, he would often change the name of the
[00:06:21.560 --> 00:06:23.140]   person that he's working through.
[00:06:23.140 --> 00:06:28.500]   So if you look in the Old Testament, Abraham's name, which means father, is changed to Abraham
[00:06:28.500 --> 00:06:33.020]   because God makes a covenant with him that he was going to be a father of many nations.
[00:06:33.020 --> 00:06:36.760]   And Abraham basically means father of multitudes.
[00:06:36.760 --> 00:06:42.840]   Jacob, his name means the one who is slippery or the one who holds the heel because that
[00:06:42.840 --> 00:06:44.680]   was kind of like his character.
[00:06:44.680 --> 00:06:47.880]   He was always kind of maneuvering to get what he wants.
[00:06:47.880 --> 00:06:52.060]   And then he wrestles with God later on in life where his faith really grows and becomes
[00:06:52.060 --> 00:06:53.520]   a man of God.
[00:06:53.520 --> 00:06:58.680]   And God names his name Israel, where we get the name Israel from.
[00:06:58.680 --> 00:07:03.040]   And the name Israel basically means the one who contends or wrestles with God.
[00:07:03.040 --> 00:07:09.000]   And I'm not going to go through all the names, but Simon, the disciple, his name is changed
[00:07:09.000 --> 00:07:11.520]   to Rock, Peter.
[00:07:11.520 --> 00:07:15.800]   And Apostle Paul, he already had both names, but Saul was his Hebrew name.
[00:07:15.800 --> 00:07:21.680]   But when God calls him to be an apostle to the Gentiles, he predominantly uses his Gentile
[00:07:21.680 --> 00:07:23.400]   name Paul.
[00:07:23.400 --> 00:07:27.740]   And so in the Old Testament and the New Testament, the significance of the name is tremendous
[00:07:27.740 --> 00:07:32.680]   because just by reading that person's name, you can tell what God is doing in their life
[00:07:32.680 --> 00:07:35.960]   and what God is doing at that particular time in history.
[00:07:35.960 --> 00:07:39.840]   And it is no exception with our God.
[00:07:39.840 --> 00:07:45.600]   When we want to know who God is, the first place that we need to start is how did he
[00:07:45.600 --> 00:07:47.400]   introduce himself?
[00:07:47.400 --> 00:07:50.720]   What is the significance of his name?
[00:07:50.720 --> 00:07:56.640]   The way we use it now in our culture, we generally just generically use the word God.
[00:07:56.640 --> 00:08:01.880]   And as a result of that, I think what has happened is many people, even inside the church,
[00:08:01.880 --> 00:08:08.880]   has become confused that whether you call God of the Bible or God of Buddhism or God
[00:08:08.880 --> 00:08:15.120]   of the Islam, that maybe it's the same God because we're calling him God, as God is the
[00:08:15.120 --> 00:08:17.640]   God who is above.
[00:08:17.640 --> 00:08:21.080]   But that is not how the Bible introduces God to us.
[00:08:21.080 --> 00:08:25.140]   You know what's interesting in Korean Christian history?
[00:08:25.140 --> 00:08:32.160]   When Christianity first began to come into Korea, the generic word for God is "Haneunim."
[00:08:32.160 --> 00:08:35.280]   So for a few of you who speak Korean, you know what I'm talking about.
[00:08:35.280 --> 00:08:38.400]   Haneunim is how they used to call him or non-Christians call him.
[00:08:38.400 --> 00:08:41.520]   It basically means a being that is above.
[00:08:41.520 --> 00:08:43.520]   Haneunim.
[00:08:43.520 --> 00:08:44.520]   Koreans changed it.
[00:08:44.520 --> 00:08:49.800]   Korean Christians changed it to distinguish him from the God of the shamans, the shamanistic
[00:08:49.800 --> 00:08:53.960]   Buddhist background, and changed that name to Haneunim.
[00:08:53.960 --> 00:08:57.120]   So if you know what that means, Haneunim means one.
[00:08:57.120 --> 00:09:00.040]   So the Christians call God Haneunim.
[00:09:00.040 --> 00:09:04.640]   The generic word in Korean means Haneunim, means the one that is above.
[00:09:04.640 --> 00:09:08.500]   But in English, we just have a generic word, God.
[00:09:08.500 --> 00:09:13.360]   And if you don't know what the Bible says and you don't know your faith that well, we
[00:09:13.360 --> 00:09:19.000]   can mistakenly think that God is God no matter how you call him, no matter what your background.
[00:09:19.000 --> 00:09:21.800]   But that is not how the Bible introduces him.
[00:09:21.800 --> 00:09:29.080]   The text that we read in Exodus chapter 3, 13 to 15 is where God is answering Moses'
[00:09:29.080 --> 00:09:30.400]   question.
[00:09:30.400 --> 00:09:34.840]   God is about to deliver Israel from bondage from Egypt.
[00:09:34.840 --> 00:09:41.600]   They were in bondage for hundreds of years, and finally God hears their groaning and answers
[00:09:41.600 --> 00:09:47.120]   their prayer, and he calls Moses to speak on his behalf and to go to Israel and say,
[00:09:47.120 --> 00:09:48.200]   God is going to deliver you.
[00:09:48.200 --> 00:09:54.560]   And he asked a question, when they come and ask me who it is that is giving us this promise,
[00:09:54.560 --> 00:09:57.600]   God says, tell them this.
[00:09:57.600 --> 00:10:02.820]   And this is where we get his name Yahweh, or at least it is explained to us.
[00:10:02.820 --> 00:10:06.920]   So first thing that we need to understand is God is not introducing himself to the nation
[00:10:06.920 --> 00:10:09.040]   of Israel for the first time.
[00:10:09.040 --> 00:10:12.640]   God is not all of a sudden, like Israel didn't know who he was, and then all of a sudden
[00:10:12.640 --> 00:10:15.920]   he's saying, well, I'm Yahweh.
[00:10:15.920 --> 00:10:22.040]   In fact, if you look at the text in Genesis 2, 4 through 9, I gave you a short example.
[00:10:22.040 --> 00:10:25.840]   And I highlighted every time the word Lord is used.
[00:10:25.840 --> 00:10:33.000]   And if you notice that it should be in your Bibles capital L, capital O, capital R, capital
[00:10:33.000 --> 00:10:35.920]   D. It should be.
[00:10:35.920 --> 00:10:38.640]   If it is not, it's not done correctly.
[00:10:38.640 --> 00:10:43.520]   The reason why that's highlighted is because every time the word Yahweh appears in the
[00:10:43.520 --> 00:10:51.080]   Bible, because the Jews didn't want to use the Lord's name in vain, breaking one of the
[00:10:51.080 --> 00:10:54.080]   commandments of God, they would not pronounce it.
[00:10:54.080 --> 00:10:57.920]   Instead, they would use the word Adonai, the word Lord.
[00:10:57.920 --> 00:11:01.600]   But in the original Hebrew, it has the word Yahweh.
[00:11:01.600 --> 00:11:05.840]   The reason why I gave you this example is because the word Yahweh, his name Yahweh was
[00:11:05.840 --> 00:11:10.040]   used from the very get-go, from Genesis.
[00:11:10.040 --> 00:11:15.360]   And I only gave you this example, but all throughout the Bible, when the word Yahweh,
[00:11:15.360 --> 00:11:22.760]   his specific name Yahweh is used, it is much more frequent than the generic word God.
[00:11:22.760 --> 00:11:26.880]   And the generic word for God is either El or Elohim.
[00:11:26.880 --> 00:11:35.920]   The word Yahweh, his specific name Yahweh is used 6,828 times, where the word God generically
[00:11:35.920 --> 00:11:41.080]   is used 2,800 times, singular or in plural.
[00:11:41.080 --> 00:11:47.160]   The reason why this is significant is because if we're not careful, we can also reflect
[00:11:47.160 --> 00:11:50.240]   this generic relationship with God.
[00:11:50.240 --> 00:11:51.240]   Because we don't know who he is.
[00:11:51.240 --> 00:11:56.280]   It's just like calling me Asian man, or guy, hey guy.
[00:11:56.280 --> 00:11:59.720]   You know, we may do that if we don't know, when we meet each other for the first time,
[00:11:59.720 --> 00:12:04.480]   or calling my name in a crowd to distinguish me from everybody else.
[00:12:04.480 --> 00:12:09.000]   But if we have a personal relationship, you would not call me, hey dude, hey guy, you
[00:12:09.000 --> 00:12:10.800]   know my name.
[00:12:10.800 --> 00:12:12.840]   You know who I am.
[00:12:12.840 --> 00:12:18.000]   Well God, God has a name.
[00:12:18.000 --> 00:12:20.640]   And his name is Yahweh.
[00:12:20.640 --> 00:12:25.440]   And it is not to say that every time we call him, that if we don't use his name Yahweh,
[00:12:25.440 --> 00:12:27.760]   that we're not calling the right God.
[00:12:27.760 --> 00:12:34.160]   But again, if we're not careful, our generic understanding of God may be a reflection of
[00:12:34.160 --> 00:12:37.520]   a generic relationship that we have with him.
[00:12:37.520 --> 00:12:44.000]   And it's important for us that God was not introducing himself for the first time.
[00:12:44.000 --> 00:12:47.200]   He was actually describing himself.
[00:12:47.200 --> 00:12:50.320]   He wasn't saying, he wasn't saying, what is your name?
[00:12:50.320 --> 00:12:53.840]   Who do I tell, what do I say to the nation of Israel who is telling me that he's going
[00:12:53.840 --> 00:12:54.840]   to do this powerful thing?
[00:12:54.840 --> 00:13:01.800]   Well he said, tell them, I am who I am is sending you.
[00:13:01.800 --> 00:13:07.800]   He says tell them, again in verse 14, tell them that I am has sent you.
[00:13:07.800 --> 00:13:13.040]   And then the third time he says, tell them that Yahweh has sent me to you.
[00:13:13.040 --> 00:13:16.120]   This is my name forever.
[00:13:16.120 --> 00:13:21.560]   So in other words, the word Yahweh, or his name Yahweh, is being described.
[00:13:21.560 --> 00:13:27.880]   And that's why the theologians believe that the statement I am is the description, is
[00:13:27.880 --> 00:13:32.120]   the meaning behind the name Yahweh.
[00:13:32.120 --> 00:13:35.160]   So how significant is this?
[00:13:35.160 --> 00:13:37.060]   Extremely significant.
[00:13:37.060 --> 00:13:41.600]   Because our understanding of who he is, our personal relationship with him, is directly
[00:13:41.600 --> 00:13:44.480]   tied to our understanding of who he is.
[00:13:44.480 --> 00:13:49.120]   Because a lot of people imagine God to be one way or the other.
[00:13:49.120 --> 00:13:53.600]   Some people think of God as a holy bell hop that if I need something I pray to him, he
[00:13:53.600 --> 00:13:55.040]   answers my prayer.
[00:13:55.040 --> 00:13:58.840]   Or he's a grandfather who always has candy in his pocket.
[00:13:58.840 --> 00:14:04.640]   If I go to him, he always loves me, there is no judgment, and he's always caring no
[00:14:04.640 --> 00:14:07.760]   matter what you do.
[00:14:07.760 --> 00:14:12.300]   Bits and pieces of that is true, but we need to make sure that we understand how the Bible
[00:14:12.300 --> 00:14:14.980]   describes who he is.
[00:14:14.980 --> 00:14:18.880]   So what does he mean when he says I am?
[00:14:18.880 --> 00:14:20.000]   What does that mean?
[00:14:20.000 --> 00:14:26.880]   Because Jesus uses that exact same term to describe himself as God of the New Testament.
[00:14:26.880 --> 00:14:30.520]   He says if you have seen me, you have seen the Father.
[00:14:30.520 --> 00:14:34.080]   Because he is I am, and then starting from next week we're going to go to the book of
[00:14:34.080 --> 00:14:38.840]   John and we're going to be studying through when he says I am.
[00:14:38.840 --> 00:14:40.540]   I am the bread of life.
[00:14:40.540 --> 00:14:41.920]   I am the good shepherd.
[00:14:41.920 --> 00:14:43.760]   I am the light of the world.
[00:14:43.760 --> 00:14:49.960]   What does he mean by that and how is that tied to this, what he's saying here?
[00:14:49.960 --> 00:14:52.320]   First of all, there's three things that I want to mention.
[00:14:52.320 --> 00:15:00.320]   First of all, first and foremost meaning of the word I am is that God is.
[00:15:00.320 --> 00:15:05.880]   Now if you're paying attention, you should be asking what does that mean?
[00:15:05.880 --> 00:15:08.920]   Because that's what the word literally means.
[00:15:08.920 --> 00:15:12.940]   I am means God is.
[00:15:12.940 --> 00:15:19.820]   In fact, there's two very well-read books, one from Francis Schaeffer and another from
[00:15:19.820 --> 00:15:26.380]   D.A. Carson, and the title, both of the books' title is God Who Is There.
[00:15:26.380 --> 00:15:30.340]   So I remember the first time picking up this book from Francis Schaeffer, reading the title
[00:15:30.340 --> 00:15:31.340]   God Who Is There.
[00:15:31.340 --> 00:15:32.340]   This guy's some philosopher.
[00:15:32.340 --> 00:15:36.380]   He's going to be talking about some weird philosophy that I don't understand.
[00:15:36.380 --> 00:15:41.260]   But one of the most profound things that I learned about the identity of God, that God
[00:15:41.260 --> 00:15:43.780]   is.
[00:15:43.780 --> 00:15:48.900]   And I could probably spend weeks and weeks and weeks just diving into this because there's
[00:15:48.900 --> 00:15:53.680]   so much content, it's just in that phrase, God is.
[00:15:53.680 --> 00:15:57.960]   But for today's sake, and the purpose of this is really to kind of use that as a springboard
[00:15:57.960 --> 00:16:00.740]   to get to Christ.
[00:16:00.740 --> 00:16:06.980]   Look what it says in Acts 17, 24 through 18, how God is described.
[00:16:06.980 --> 00:16:11.100]   The God who made the world and all things in it, since he is Lord of heaven and earth,
[00:16:11.100 --> 00:16:14.600]   does not dwell in temples made with hands.
[00:16:14.600 --> 00:16:18.860]   Nor is he served by human hands, as though he needed anything, since he himself gives
[00:16:18.860 --> 00:16:23.700]   to all people life and breath and all things.
[00:16:23.700 --> 00:16:29.020]   He made from one man every nation of mankind to live in all the face of the earth, having
[00:16:29.020 --> 00:16:35.620]   determined their appointed times and the boundaries of their habitation, that you would seek God.
[00:16:35.620 --> 00:16:40.780]   If perhaps they might grope for him and find him, though he is not far from each one of
[00:16:40.780 --> 00:16:46.060]   us, for in him we live and move and exist.
[00:16:46.060 --> 00:16:52.300]   In the NIV it says we live and move and have our being.
[00:16:52.300 --> 00:16:57.540]   So our being is directly connected to his being.
[00:16:57.540 --> 00:17:03.460]   It's because he is that we are able to call ourselves human being.
[00:17:03.460 --> 00:17:08.380]   So our being is not independent of his being, because our being comes from his being.
[00:17:08.380 --> 00:17:15.100]   So the Bible says the reason why death came to mankind is because we were disconnected
[00:17:15.100 --> 00:17:22.140]   from his being, because only his being is self-sustaining.
[00:17:22.140 --> 00:17:27.100]   Only his being who is independent of anything else.
[00:17:27.100 --> 00:17:31.820]   So in order for us to have our being, we need to be connected to his being.
[00:17:31.820 --> 00:17:34.180]   Does that make sense?
[00:17:34.180 --> 00:17:38.420]   I can't tell, because I don't see your face expressions.
[00:17:38.420 --> 00:17:44.740]   But the core of our understanding of our salvation is connected to this.
[00:17:44.740 --> 00:17:50.500]   You and I cannot have our being independent from him, because our being has a cause and
[00:17:50.500 --> 00:17:51.900]   effect.
[00:17:51.900 --> 00:17:55.580]   We are here because our parents had us, our parents had us because their grandparents
[00:17:55.580 --> 00:18:01.780]   had us, and we all came from this chain, because ultimately our life, spiritually and physically,
[00:18:01.780 --> 00:18:04.860]   is tied to something else that has happened.
[00:18:04.860 --> 00:18:09.680]   When God says that he is, there is nothing beyond him.
[00:18:09.680 --> 00:18:11.300]   He is independent.
[00:18:11.300 --> 00:18:18.620]   And so when Moses is asking the question, who is going to deliver us from Israel, God
[00:18:18.620 --> 00:18:22.220]   is reminding them there is nothing above him.
[00:18:22.220 --> 00:18:28.140]   He is of himself.
[00:18:28.140 --> 00:18:36.860]   From Shakespeare's play, The Hamlet, probably the most famous question is to be or not to
[00:18:36.860 --> 00:18:37.860]   be.
[00:18:37.860 --> 00:18:42.540]   Some of you may be familiar with that, because you did homework when you were in high school
[00:18:42.540 --> 00:18:46.060]   or took AP English or something.
[00:18:46.060 --> 00:18:48.700]   To be or not to be.
[00:18:48.700 --> 00:18:53.860]   Basically the question to be or not to be is really a question about life.
[00:18:53.860 --> 00:18:59.780]   And if you remember reading that or studying that, basically Hamlet is giving a speech
[00:18:59.780 --> 00:19:08.300]   or in his speech he basically is going over, should I live or not live?
[00:19:08.300 --> 00:19:09.900]   That's basically the question.
[00:19:09.900 --> 00:19:11.500]   To be or not to be.
[00:19:11.500 --> 00:19:15.060]   And he goes over the benefits of living.
[00:19:15.060 --> 00:19:19.300]   But he also goes over the benefits, the sufferings of living.
[00:19:19.300 --> 00:19:20.540]   The trials of living.
[00:19:20.540 --> 00:19:25.540]   And then he'll switch over back and forth to what it means to not to be.
[00:19:25.540 --> 00:19:32.400]   And the benefit of not to be is the cessation of suffering.
[00:19:32.400 --> 00:19:39.260]   But then also the difficulty of not to be means to be separated from your loved ones.
[00:19:39.260 --> 00:19:43.460]   To go somewhere where you have no idea what is there.
[00:19:43.460 --> 00:19:48.940]   And that's what he contemplates, to be or not to be.
[00:19:48.940 --> 00:19:55.720]   But at the fundamental thing that that question gets wrong is that you and I do not have the
[00:19:55.720 --> 00:20:01.340]   ability by ourselves to be or not to be.
[00:20:01.340 --> 00:20:05.640]   Because you and I do not have power of life.
[00:20:05.640 --> 00:20:09.660]   Our life is dependent on a life source.
[00:20:09.660 --> 00:20:13.620]   So only God could actually answer that question, to be or not to be.
[00:20:13.620 --> 00:20:15.300]   Because only he carried out.
[00:20:15.300 --> 00:20:17.820]   Now we say, well, we can physically take our life, right?
[00:20:17.820 --> 00:20:20.400]   So that means that we are able to be or not to be.
[00:20:20.400 --> 00:20:24.980]   You can physically take your life, but the true life that is inside of us, the Bible
[00:20:24.980 --> 00:20:27.960]   says is eternal.
[00:20:27.960 --> 00:20:31.220]   You cannot annihilate yourself.
[00:20:31.220 --> 00:20:34.280]   There is a physical life and there's a spiritual life.
[00:20:34.280 --> 00:20:37.620]   And only God has the ultimate power for that.
[00:20:37.620 --> 00:20:46.260]   And so when he says, when they ask, when they were faced with this tremendous task, who
[00:20:46.260 --> 00:20:48.580]   is going to deliver us from the superpower?
[00:20:48.580 --> 00:20:51.660]   Egypt was America at that time.
[00:20:51.660 --> 00:20:54.100]   They were the superpower.
[00:20:54.100 --> 00:21:00.700]   This tiny little group of people who's worshiping this God, he's going to challenge Pharaoh
[00:21:00.700 --> 00:21:02.740]   and deliver us?
[00:21:02.740 --> 00:21:05.500]   So he's not introducing, hey, my name is Yahweh.
[00:21:05.500 --> 00:21:08.540]   He's telling them who Yahweh is.
[00:21:08.540 --> 00:21:13.040]   And the very first thing that he is, he's saying is, I am.
[00:21:13.040 --> 00:21:15.680]   Tell them, I am has sent you.
[00:21:15.680 --> 00:21:17.740]   I am has sent you.
[00:21:17.740 --> 00:21:22.620]   Doesn't matter how great Pharaoh is, no matter how powerful he is, no matter how small Israel
[00:21:22.620 --> 00:21:26.340]   is, tell them the God that you serve is I am.
[00:21:26.340 --> 00:21:31.140]   You know, right now with all the coronavirus thing going on, people are freaking out.
[00:21:31.140 --> 00:21:32.140]   How many people are going to die?
[00:21:32.140 --> 00:21:34.800]   How many people are going to get affected?
[00:21:34.800 --> 00:21:39.420]   Be careful that we do not react like the rest of the world.
[00:21:39.420 --> 00:21:43.540]   Because the God that we serve is I am.
[00:21:43.540 --> 00:21:48.700]   Hebrews chapter 11, 6, he says, and without faith, it is impossible to please him.
[00:21:48.700 --> 00:21:53.700]   For he who comes to God must believe that he is.
[00:21:53.700 --> 00:21:58.540]   This is one of the reasons why I switched to NASB.
[00:21:58.540 --> 00:22:01.100]   One of the reasons.
[00:22:01.100 --> 00:22:05.200]   In your other translation, they may say that God exists.
[00:22:05.200 --> 00:22:10.180]   But I think Hebrew really captures, the NASB really captures the meaning behind that.
[00:22:10.180 --> 00:22:13.880]   Because it connects us to God of Exodus chapter 3.
[00:22:13.880 --> 00:22:20.380]   It says, before you come to God, you must believe that he is I am.
[00:22:20.380 --> 00:22:24.840]   Because if you don't believe he is I am, you can make him into something that you want
[00:22:24.840 --> 00:22:26.980]   him to be.
[00:22:26.980 --> 00:22:32.960]   But no matter what you make him out to be, he will always be a lesser God of the Bible.
[00:22:32.960 --> 00:22:38.540]   No matter how great your imagination, he will always be a lesser God than the God that we
[00:22:38.540 --> 00:22:39.540]   see in the Bible.
[00:22:39.540 --> 00:22:41.800]   There is nothing above I am.
[00:22:41.800 --> 00:22:48.180]   So whatever you imagine God to be, it is lesser if we do not first and foremost recognize
[00:22:48.180 --> 00:22:50.440]   that he is.
[00:22:50.440 --> 00:22:54.900]   Because if you do not recognize he is, the second part, that he is a rewarder of those
[00:22:54.900 --> 00:22:58.220]   who seek him.
[00:22:58.220 --> 00:23:03.620]   If you don't believe that he is, he is not the one you're going to seek.
[00:23:03.620 --> 00:23:07.060]   You're going to be seeking comfort, you're going to be seeking other authorities, you're
[00:23:07.060 --> 00:23:11.040]   going to be seeking a fatter bank account, you're going to be seeking a better marriage,
[00:23:11.040 --> 00:23:18.020]   you're going to be seeking everything else because you do not truly believe that he is.
[00:23:18.020 --> 00:23:21.420]   Because he's the only one who has the power of life and death.
[00:23:21.420 --> 00:23:25.740]   In fact, in the Lord's Prayer, when the disciples asked, "How should we pray?"
[00:23:25.740 --> 00:23:30.020]   The first thing that he says in the Lord's Prayer is, "Acknowledge God.
[00:23:30.020 --> 00:23:34.620]   Our Father who art in heaven, hallowed be thy name."
[00:23:34.620 --> 00:23:35.620]   Recognizing what?
[00:23:35.620 --> 00:23:37.300]   That he is.
[00:23:37.300 --> 00:23:42.100]   In Psalm chapter 90 verse 2, "Before the mountains were born, or you gave birth to the earth
