
[00:00:00.000 --> 00:00:01.400]   Let's bring him out.
[00:04:17.120 --> 00:04:19.120]   Because it does become a bit of a hamster wheel.
[00:04:19.120 --> 00:04:20.680]   Like, how do I one-up myself?
[00:04:20.680 --> 00:04:22.120]   And do you always feel this pressure
[00:04:22.120 --> 00:04:25.560]   to have to one-up yourself from the last video, literally?
[00:04:25.560 --> 00:04:26.960]   Yeah.
[00:04:26.960 --> 00:04:28.760]   Well, essentially, obviously, I've just
[00:04:28.760 --> 00:04:30.020]   been doing this for 14 years.
[00:04:30.020 --> 00:04:31.720]   And also, you said 10,000 hours.
[00:04:31.720 --> 00:04:34.840]   I think people should change that saying to 10,000 days.
[00:04:34.840 --> 00:04:36.920]   And I'm almost at my halfway point to 10,000 days.
[00:04:36.920 --> 00:04:38.880]   I think that's how people should start looking at things.
[00:04:38.880 --> 00:04:40.520]   Because to be honest, 10,000 hours is pretty easy.
[00:04:40.520 --> 00:04:41.060]   What is that?
[00:04:41.060 --> 00:04:43.240]   Like 10 hours a day for three years?
[00:04:43.240 --> 00:04:44.040]   Just a random thing.
[00:04:44.040 --> 00:04:47.320]   But yeah, just--
[00:04:47.320 --> 00:04:48.080]   I don't know.
[00:04:48.080 --> 00:04:50.680]   We would get 100,000 views on a video, take the money,
[00:04:50.680 --> 00:04:52.560]   do another video, get 150,000.
[00:04:52.560 --> 00:04:55.120]   And I've just kind of reinvested the money for 14 years.
[00:04:55.120 --> 00:04:56.800]   And even to this day, whatever I make,
[00:04:56.800 --> 00:04:58.520]   I just spend it the next month on content.
[00:04:58.520 --> 00:05:00.120]   And the videos have just progressively
[00:05:00.120 --> 00:05:01.480]   gotten bigger and bigger.
[00:05:01.480 --> 00:05:03.480]   And it's gone from me counting to 100,000
[00:05:03.480 --> 00:05:05.800]   to seeing what happens if you put a Lamborghini
[00:05:05.800 --> 00:05:07.080]   on the world's largest shredder.
[00:05:07.080 --> 00:05:09.040]   Just random things.
[00:05:09.040 --> 00:05:12.040]   Well, you also seem to have some pretty good judgment, where
[00:05:12.040 --> 00:05:14.240]   maybe some of your contemporaries don't.
[00:05:14.240 --> 00:05:17.480]   We've seen that need to get the next view
[00:05:17.480 --> 00:05:20.920]   lead to people doing increasingly dangerous stunts,
[00:05:20.920 --> 00:05:24.160]   like taking a Model X over some hill.
[00:05:24.160 --> 00:05:25.160]   I think Dobrik did that.
[00:05:25.160 --> 00:05:28.440]   Some other person was swinging somebody on a crane.
[00:05:28.440 --> 00:05:30.760]   Maybe you could talk a little bit about restraint
[00:05:30.760 --> 00:05:33.320]   and understanding, like, hey, even though this
[00:05:33.320 --> 00:05:35.480]   is going to get a lot of views, and maybe some
[00:05:35.480 --> 00:05:36.160]   of your contemporaries--
[00:05:36.160 --> 00:05:37.960]   I won't give the specific names of people--
[00:05:37.960 --> 00:05:39.840]   but they've done some really idiotic things
[00:05:39.840 --> 00:05:41.600]   and gotten hurt.
[00:05:41.600 --> 00:05:45.280]   So how do you know when a conversation and some
[00:05:45.280 --> 00:05:47.960]   of these ideas maybe go over the line?
[00:05:47.960 --> 00:05:50.800]   Well, the obvious answer is common sense.
[00:05:50.800 --> 00:05:51.920]   Great, OK.
[00:05:51.920 --> 00:05:52.480]   Next question.
[00:05:52.480 --> 00:05:53.400]   No, no, no.
[00:05:53.400 --> 00:05:56.720]   The thing is, obviously, there's a lot of things
[00:05:56.720 --> 00:05:59.280]   people do that they know will get views because of outrage.
[00:05:59.280 --> 00:06:00.680]   And it's just easy to do.
[00:06:00.680 --> 00:06:02.720]   But if you're trying to build a long-term brand,
[00:06:02.720 --> 00:06:04.560]   you don't want to just constantly piss people off
[00:06:04.560 --> 00:06:05.480]   just to get attention.
[00:06:05.480 --> 00:06:06.720]   Eventually, it stops working.
[00:06:06.720 --> 00:06:09.160]   So the real answer is you just got to not go,
[00:06:09.160 --> 00:06:11.080]   what is the easiest way to get views?
[00:06:11.080 --> 00:06:13.600]   What do people actually want to watch that isn't just
[00:06:13.600 --> 00:06:16.160]   going to get views because they're angry, essentially.
[00:06:16.160 --> 00:06:20.160]   You have a few in Greenville, North Carolina.
[00:06:20.160 --> 00:06:24.360]   You basically have your own college campus.
[00:06:24.360 --> 00:06:27.400]   It's like buildings, lots, studios,
[00:06:27.400 --> 00:06:29.960]   all these young people dynamically running around,
[00:06:29.960 --> 00:06:30.840]   doing all this stuff.
[00:06:30.840 --> 00:06:33.440]   I mean, when I saw it, I was like, this is a tech startup.
[00:06:33.440 --> 00:06:35.880]   It felt like Facebook circa 2006,
[00:06:35.880 --> 00:06:37.040]   except it's in Greenville.
[00:06:37.040 --> 00:06:40.520]   Why did you think you could pull this off there?
[00:06:40.520 --> 00:06:43.680]   Yeah, well, the thing is, as you scale up,
[00:06:43.680 --> 00:06:44.640]   you're not really--
[00:06:44.640 --> 00:06:46.080]   especially when you're in your young 20s,
[00:06:46.080 --> 00:06:47.080]   you're just kind of doing whatever
[00:06:47.080 --> 00:06:49.560]   you got to do to keep up with growing and making the videos.
[00:06:49.560 --> 00:06:52.320]   So you just kind of blink, and 10 goes to 20 employees
[00:06:52.320 --> 00:06:53.440]   to 50 to 100.
[00:06:53.440 --> 00:06:55.160]   How do you get people to go there?
[00:06:55.160 --> 00:06:57.280]   What is it that you're giving them
[00:06:57.280 --> 00:06:58.920]   where they would leave New York or LA
[00:06:58.920 --> 00:07:01.240]   and whatever their job is to try to do this with you?
[00:07:01.240 --> 00:07:02.400]   Yeah, that's the hard part.
[00:07:02.400 --> 00:07:03.960]   I'm still trying to figure it out.
[00:07:03.960 --> 00:07:08.440]   Most people, it's a lot of convincing, to be honest.
[00:07:08.440 --> 00:07:10.120]   I would highly recommend you don't
[00:07:10.120 --> 00:07:13.000]   build a company in a middle-of-nowhere woods
[00:07:13.000 --> 00:07:15.880]   in North Carolina city like ours.
[00:07:15.880 --> 00:07:18.080]   Most people don't want to live there.
[00:07:18.080 --> 00:07:20.560]   So usually, it's just people who--
[00:07:20.560 --> 00:07:22.280]   their job is kind of their life, and they're
[00:07:22.280 --> 00:07:23.740]   very passionate about what they do.
[00:07:23.740 --> 00:07:25.640]   So it's like, we provide you a cool job,
[00:07:25.640 --> 00:07:27.480]   where one day you're going to bury me alive.
[00:07:27.480 --> 00:07:29.600]   The next, you're going to figure out how to send me
[00:07:29.600 --> 00:07:31.000]   to space or whatever.
[00:07:31.000 --> 00:07:33.200]   But the real answer is you just got
[00:07:33.200 --> 00:07:34.900]   to find people where work is their life,
[00:07:34.900 --> 00:07:35.860]   and so they don't care.
[00:07:35.860 --> 00:07:38.160]   But anyone who does, they hate it.
[00:07:38.160 --> 00:07:40.640]   Well, that's actually a feature in some ways, right?
[00:07:40.640 --> 00:07:41.140]   Yeah.
[00:07:41.140 --> 00:07:43.360]   Which is how Silicon Valley used to work, by the way.
[00:07:43.360 --> 00:07:44.120]   This is what I was going to say.
[00:07:44.120 --> 00:07:45.360]   How do you recruit for that?
[00:07:45.360 --> 00:07:46.880]   And what do you do when you find out
[00:07:46.880 --> 00:07:50.120]   that there are people that want work-life balance
[00:07:50.120 --> 00:07:52.080]   and don't want to do the level--
[00:07:52.080 --> 00:07:54.500]   aren't willing to commit the way you're willing to commit?
[00:07:54.500 --> 00:07:55.120]   Yeah.
[00:07:55.120 --> 00:07:56.920]   I mean, like I said, that's the part
[00:07:56.920 --> 00:07:59.440]   I'm still trying to figure out, to be 100% honest.
[00:07:59.440 --> 00:08:01.080]   I think at some point, I just got
[00:08:01.080 --> 00:08:03.600]   to move out of the middle of nowhere in North Carolina.
[00:08:03.600 --> 00:08:07.040]   Don't recommend it, building a big company in a small city.
[00:08:07.040 --> 00:08:08.560]   How many employees do you have now?
[00:08:08.560 --> 00:08:09.960]   There, around 250.
[00:08:09.960 --> 00:08:12.480]   So you consider maybe moving into Los Angeles or something
[00:08:12.480 --> 00:08:13.560]   to be closer to Hollywood?
[00:08:13.560 --> 00:08:15.960]   No, but just somewhere where it's a decent-sized city
[00:08:15.960 --> 00:08:17.960]   would probably be more optimal.
[00:08:17.960 --> 00:08:20.600]   One that has an airport would be nice.
[00:08:20.600 --> 00:08:22.560]   Sure.
[00:08:22.560 --> 00:08:24.080]   One of the things you say a lot is
[00:08:24.080 --> 00:08:25.500]   I'm still trying to figure it out.
[00:08:25.500 --> 00:08:27.680]   I think that's the key to your success.
[00:08:27.680 --> 00:08:30.240]   Having spoken to you a bunch, I get the sense
[00:08:30.240 --> 00:08:34.760]   that you're on this insatiable journey.
[00:08:34.760 --> 00:08:36.560]   I mean, you speak in a very grandiose way
[00:08:36.560 --> 00:08:38.560]   about what you're trying to do.
[00:08:38.560 --> 00:08:40.120]   There's no frigging limit.
[00:08:40.120 --> 00:08:41.780]   You see it in your videos, but you also
[00:08:41.780 --> 00:08:42.960]   see it in how you've iterated.
[00:08:42.960 --> 00:08:44.800]   I tell people, there's no one else on Earth,
[00:08:44.800 --> 00:08:46.200]   no entrepreneur in history, where
[00:08:46.200 --> 00:08:47.760]   you can go track them longitudinally
[00:08:47.760 --> 00:08:50.520]   from the first thing they did all the way through to today.
[00:08:50.520 --> 00:08:51.920]   If you want to understand this entrepreneur,
[00:08:51.920 --> 00:08:52.760]   it's all in the open.
[00:08:52.760 --> 00:08:53.360]   Go check it out.
[00:08:53.360 --> 00:08:55.020]   And now you'll see the grind, and you'll
[00:08:55.020 --> 00:08:56.600]   see what it took to get here.
[00:08:56.600 --> 00:08:57.520]   And it doesn't stop.
[00:08:57.520 --> 00:09:00.160]   Every week, you've got some new record-breaking 24-hour video
[00:09:00.160 --> 00:09:02.320]   coming out, and it's fucking nuts.
[00:09:02.320 --> 00:09:03.760]   What's the mission?
[00:09:03.760 --> 00:09:04.680]   Where's it all going?
[00:09:04.680 --> 00:09:07.080]   And help just frame for the audience, for everyone.
[00:09:07.080 --> 00:09:08.840]   How do you think about where you're going?
[00:09:08.840 --> 00:09:10.560]   The beauty is there's--
[00:09:10.560 --> 00:09:13.360]   well, YouTube, that's my main platform.
[00:09:13.360 --> 00:09:15.040]   Obviously, if you buy an Android phone,
[00:09:15.040 --> 00:09:16.980]   YouTube's pre-installed, and Alphabet owns it.
[00:09:16.980 --> 00:09:18.720]   So when you search things on Google,
[00:09:18.720 --> 00:09:20.340]   it takes you to YouTube a lot of times.
[00:09:20.340 --> 00:09:22.280]   So YouTube is just massive.
[00:09:22.280 --> 00:09:24.440]   I mean, billions of people use it on a monthly basis.
[00:09:24.440 --> 00:09:28.200]   And so being big on YouTube, we get 100 million views
[00:09:28.200 --> 00:09:31.000]   on a video in the first seven days, which
[00:09:31.000 --> 00:09:32.640]   before the last couple of years, that's
[00:09:32.640 --> 00:09:33.960]   never been possible in history.
[00:09:33.960 --> 00:09:36.400]   So it's definitely a very interesting time
[00:09:36.400 --> 00:09:40.080]   where you can get just unfiltered access
[00:09:40.080 --> 00:09:41.880]   to basically unlimited people.
[00:09:41.880 --> 00:09:44.120]   And then we just--
[00:09:44.120 --> 00:09:45.920]   weirdly enough, it's not why I got into it,
[00:09:45.920 --> 00:09:47.280]   but it ended up just working out that way,
[00:09:47.280 --> 00:09:49.360]   that I spent 14 years of my life just studying
[00:09:49.360 --> 00:09:51.800]   how to make the most optimal videos, what type of content
[00:09:51.800 --> 00:09:53.840]   people want, and we just kind of mastered
[00:09:53.840 --> 00:09:54.840]   the art of going viral.
[00:09:54.840 --> 00:09:57.100]   And YouTube just so happens to be such a big platform.
[00:09:57.100 --> 00:10:00.520]   And so it's pretty nice, because now, like they've been saying,
[00:10:00.520 --> 00:10:02.400]   we're getting around a billion views a month.
[00:10:02.400 --> 00:10:04.400]   And yeah, we can just--
[00:10:04.400 --> 00:10:05.800]   Where do you want to take it?
[00:10:05.800 --> 00:10:08.680]   Well, recently, we started getting into selling--
[00:10:08.680 --> 00:10:09.480]   Long term, yeah.
[00:10:09.480 --> 00:10:09.980]   Yeah.
[00:10:09.980 --> 00:10:12.480]   Well, we started getting into selling some CPG products.
[00:10:12.480 --> 00:10:14.000]   So we started with chocolate.
[00:10:14.000 --> 00:10:16.840]   And it's nice, because the same people who I would take
[00:10:16.840 --> 00:10:19.200]   pictures with in Walmart, when they see our product there,
[00:10:19.200 --> 00:10:21.820]   they're like, oh, it's the guy from YouTube, and they'll buy it.
[00:10:21.820 --> 00:10:23.600]   And so just kind of--
[00:10:23.600 --> 00:10:26.000]   right now, just anything in retail
[00:10:26.000 --> 00:10:28.280]   is great, because you just put things on a shelf,
[00:10:28.280 --> 00:10:28.960]   and people buy it.
[00:10:28.960 --> 00:10:35.200]   And it's much easier than doing something complicated.
[00:10:35.200 --> 00:10:37.560]   I tell people, it's almost as if you think your job is
[00:10:37.560 --> 00:10:38.440]   to make people happy.
[00:10:38.440 --> 00:10:39.800]   Is that a good way to frame--
[00:10:39.800 --> 00:10:40.480]   Yeah, of course.
[00:10:40.480 --> 00:10:40.980]   --your job?
[00:10:40.980 --> 00:10:41.480]   Yeah.
[00:10:41.480 --> 00:10:42.640]   Yeah, because--
[00:10:42.640 --> 00:10:45.260]   The other thing that I find just extraordinary
[00:10:45.260 --> 00:10:48.160]   about your business is you're essentially
[00:10:48.160 --> 00:10:50.440]   built Walmart without any of the cost structure.
[00:10:50.440 --> 00:10:53.760]   Any brand you decide to build will immediately
[00:10:53.760 --> 00:10:55.760]   have the first 10 million customers.
[00:10:55.760 --> 00:10:57.440]   Yeah, well, the beauty is we don't have--
[00:10:57.440 --> 00:10:58.840]   essentially, don't have to do marketing.
[00:10:58.840 --> 00:10:59.340]   So yes.
[00:10:59.340 --> 00:11:02.080]   Zero marketing cost, but also zero distribution cost.
[00:11:02.080 --> 00:11:05.480]   That can go one of two ways with the Mr. Beast Burger.
[00:11:05.480 --> 00:11:07.040]   You learned a lot of lessons there.
[00:11:07.040 --> 00:11:08.280]   Maybe went too fast.
[00:11:08.280 --> 00:11:09.920]   You didn't expect it to be so popular,
[00:11:09.920 --> 00:11:11.520]   and you lost control of that.
[00:11:11.520 --> 00:11:15.760]   And then with the Feastables stuff, you nailed it.
[00:11:15.760 --> 00:11:17.800]   So maybe you could tell us the lessons from each
[00:11:17.800 --> 00:11:20.000]   of those projects.
[00:11:20.000 --> 00:11:24.760]   Well, yeah, the beauty of Feastables is--
[00:11:24.760 --> 00:11:27.520]   I mean, kind of like I said, you just put it on a shelf,
[00:11:27.520 --> 00:11:29.160]   and people go there and buy it.
[00:11:29.160 --> 00:11:31.280]   I mean, you want to ask me something more specific?
[00:11:31.280 --> 00:11:31.840]   I don't know.
[00:11:31.840 --> 00:11:32.640]   No, but be honest--
[00:11:32.640 --> 00:11:33.320]   Mr. Beast Burger.
[00:11:33.320 --> 00:11:33.820]   Yeah.
[00:11:33.820 --> 00:11:34.480]   Hold on.
[00:11:34.480 --> 00:11:37.760]   Be honest about the insane amount of product development
[00:11:37.760 --> 00:11:39.800]   work you personally do and how deeply you
[00:11:39.800 --> 00:11:42.240]   care about making it work.
[00:11:42.240 --> 00:11:44.480]   I think that's what's missing for a lot of people.
[00:11:44.480 --> 00:11:46.520]   Well, no, and then my point was Mr. Beast Burger,
[00:11:46.520 --> 00:11:49.080]   you kind of loaned your name to it,
[00:11:49.080 --> 00:11:51.240]   and it didn't have the same quality control.
[00:11:51.240 --> 00:11:52.560]   Yeah.
[00:11:52.560 --> 00:11:54.040]   That one I can't talk about, but--
[00:11:54.040 --> 00:11:54.920]   OK, no problem.
[00:11:54.920 --> 00:11:56.440]   I was wondering.
[00:11:56.440 --> 00:11:57.480]   No problem.
[00:11:57.480 --> 00:11:59.920]   OK, let's just admit these last few questions were shitty.
[00:11:59.920 --> 00:12:00.440]   Let's reset.
[00:12:00.440 --> 00:12:01.440]   No, I think it's a great question.
[00:12:01.440 --> 00:12:02.600]   We just can't talk about it.
[00:12:02.600 --> 00:12:03.840]   Let's bring it back to the--
[00:12:03.840 --> 00:12:06.080]   All right, let's go back to the two smarter people here
[00:12:06.080 --> 00:12:07.280]   at this level of stuff.
[00:12:07.280 --> 00:12:09.640]   David, you have a question?
[00:12:09.640 --> 00:12:11.600]   I want to ask about--
[00:12:11.600 --> 00:12:15.080]   I better get onto a new topic here real quick.
[00:12:15.080 --> 00:12:16.720]   The thing I've been really blown away by
[00:12:16.720 --> 00:12:19.440]   is just how elaborate your productions are.
[00:12:19.440 --> 00:12:21.720]   I mean, some of these videos are incredibly
[00:12:21.720 --> 00:12:24.680]   elaborate in the production values and in the storytelling.
[00:12:24.680 --> 00:12:29.040]   The one that comes to mind for me is the Squid Game series,
[00:12:29.040 --> 00:12:33.000]   which, I mean, that looked monumental logistically
[00:12:33.000 --> 00:12:37.120]   to pull off in terms of set design and every other way.
[00:12:37.120 --> 00:12:39.680]   I mean, I guess tell us more about what goes into that.
[00:12:39.680 --> 00:12:43.520]   And what I'm kind of hearing from you with the 250 people
[00:12:43.520 --> 00:12:45.800]   you have working, you've built this whole town,
[00:12:45.800 --> 00:12:48.240]   it sounds like the old studio system,
[00:12:48.240 --> 00:12:50.760]   like back in Hollywood, like Warner Brothers back
[00:12:50.760 --> 00:12:53.640]   in the 1930s, where they had their own lots, their own
[00:12:53.640 --> 00:12:55.920]   actors, their own everything.
[00:12:55.920 --> 00:12:57.560]   And it was very different back then.
[00:12:57.560 --> 00:13:00.080]   Like we heard Gwyneth saying that most of her time on a set
[00:13:00.080 --> 00:13:01.520]   is like waiting around.
[00:13:01.520 --> 00:13:03.560]   It doesn't sound like that's what's going on with you.
[00:13:03.560 --> 00:13:06.120]   So you're back to kind of the original studio system.
[00:13:06.120 --> 00:13:06.880]   Yeah, exactly.
[00:13:06.880 --> 00:13:09.080]   I mean, like I said, the beauty is
[00:13:09.080 --> 00:13:11.440]   we don't have a studio that tells us what we can or can't
[00:13:11.440 --> 00:13:13.600]   do, or the distribution or anything.
[00:13:13.600 --> 00:13:15.640]   It's just we own it all.
[00:13:15.640 --> 00:13:17.800]   So we just make whatever videos we think will be viral.
[00:13:17.800 --> 00:13:20.520]   And obviously, we have the direct connection.
[00:13:20.520 --> 00:13:23.880]   And so the big thing is like obviously, YouTube,
[00:13:23.880 --> 00:13:26.200]   at the moment, you don't make that much from ad revenue.
[00:13:26.200 --> 00:13:28.240]   So to do these big multimillion dollar videos,
[00:13:28.240 --> 00:13:29.740]   it's just not really possible, which
[00:13:29.740 --> 00:13:31.840]   is why doing things like Feastables and other products
[00:13:31.840 --> 00:13:33.280]   to generate revenue on the back end
[00:13:33.280 --> 00:13:35.680]   is why we're able to do that and other people aren't.
[00:13:35.680 --> 00:13:39.640]   Because it's like, even if you get 100 million views
[00:13:39.640 --> 00:13:41.240]   on a video, the RPM's $5.
[00:13:41.240 --> 00:13:42.480]   It's only $500,000.
[00:13:42.480 --> 00:13:44.280]   So it's not that crazy, which is why
[00:13:44.280 --> 00:13:47.080]   people aren't able to do these big budget spectacles
[00:13:47.080 --> 00:13:48.240]   like we are.
[00:13:48.240 --> 00:13:50.240]   Because most people don't even get anywhere
[00:13:50.240 --> 00:13:51.440]   near that kind of viewership.
[00:13:51.440 --> 00:13:54.680]   And so it's like the beauty is creating the model where
