
[00:00:00.000 --> 00:00:06.920]   [BLANK_AUDIO]
[00:05:09.960 --> 00:05:11.640]   It was God's providence.
[00:05:11.640 --> 00:05:17.440]   He just brought us together for security, comfort.
[00:05:17.440 --> 00:05:19.720]   One interviewer said to avoid the commute.
[00:05:19.720 --> 00:05:20.760]   I'm liking that too.
[00:05:20.760 --> 00:05:22.600]   >> [LAUGH]
[00:05:22.600 --> 00:05:25.360]   >> Save gas money, I know that's right.
[00:05:25.360 --> 00:05:28.200]   Serve God better together.
[00:05:28.200 --> 00:05:31.640]   Others said it was just the natural thing to do.
[00:05:31.640 --> 00:05:36.640]   One said, I wanted him to be mine all the time.
[00:05:36.640 --> 00:05:40.400]   Some great, great responses, and I enjoyed reading all of those.
[00:05:40.400 --> 00:05:43.120]   Thank you guys.
[00:05:43.120 --> 00:05:49.160]   It kind of reminds me of Tom Cruise in a movie where,
[00:05:49.160 --> 00:05:53.000]   I forgot, whatever that movie was, where he was an agent.
[00:05:53.000 --> 00:05:55.440]   Jerry Maguire, that was it, that's it.
[00:05:55.440 --> 00:05:59.320]   And he says this toward the end, and this is the climactic, romantic, right?
[00:05:59.320 --> 00:06:02.680]   All the music starts playing or whatever, and he says,
[00:06:02.680 --> 00:06:03.960]   we live in a cynical world.
[00:06:03.960 --> 00:06:06.520]   We have tough competitors.
[00:06:06.520 --> 00:06:08.440]   And then he pauses, right?
[00:06:08.440 --> 00:06:10.600]   And then you just wait for that line, right?
[00:06:10.600 --> 00:06:16.120]   And you crash and he says, I love you, cuz you complete me.
[00:06:16.120 --> 00:06:18.560]   And then he starts to talk again and she says, no, no, no, no, no,
[00:06:18.560 --> 00:06:19.560]   don't say any word.
[00:06:19.560 --> 00:06:24.000]   You, can you, what did she say, something like you had me at, hello.
[00:06:24.000 --> 00:06:26.080]   Right, right, all right, yeah, yeah, yeah, I see you.
[00:06:26.080 --> 00:06:27.560]   >> [LAUGH]
[00:06:27.560 --> 00:06:29.040]   >> All right.
[00:06:29.040 --> 00:06:33.000]   Now as I had you guys do that survey, even as we look at that example from
[00:06:33.000 --> 00:06:37.280]   Jerry Maguire, companionship, convenience,
[00:06:37.280 --> 00:06:40.280]   providence, to be sanctified, to serve God better.
[00:06:40.280 --> 00:06:43.360]   I couldn't live without him, to avoid the commute.
[00:06:43.360 --> 00:06:47.080]   These are all things, and a lot of these things are good things.
[00:06:47.080 --> 00:06:53.200]   But in some ways, many of them are very man-centered in their perspectives.
[00:06:53.200 --> 00:06:57.520]   They look in some ways to the individual, if you will, for
[00:06:57.520 --> 00:07:00.720]   a certain need or a desire to be met.
[00:07:00.720 --> 00:07:04.840]   Whether that be relational intimacy or some level of wholeness.
[00:07:04.840 --> 00:07:09.160]   And we as believers can fall into this concept or
[00:07:09.160 --> 00:07:15.920]   perspective when it comes to our spouses and when it comes to marriage.
[00:07:15.920 --> 00:07:20.000]   But the question becomes is, we do these things, but
[00:07:20.000 --> 00:07:26.200]   what happens when discontent begins to arise in these areas?
[00:07:26.200 --> 00:07:30.880]   What happens when all of a sudden he's not earning his keep or
[00:07:30.880 --> 00:07:35.360]   his leadership and his protection or his guidance isn't what you want it to be?
[00:07:35.360 --> 00:07:39.440]   Before you got me, she was just such a wonderful individual, and
[00:07:39.440 --> 00:07:43.880]   now she just nags all the time, and she gets on my nerves.
[00:07:43.880 --> 00:07:47.960]   What if actually you actually want to commute instead of avoiding the commute?
[00:07:47.960 --> 00:07:52.280]   >> [LAUGH]
[00:07:52.280 --> 00:07:55.040]   >> What about those strong passions?
[00:07:55.040 --> 00:07:58.120]   And all of a sudden it's just like, man,
[00:07:58.120 --> 00:08:02.000]   I don't even want you touching me anymore.
[00:08:02.000 --> 00:08:06.520]   When the companion lying next to you feels like an enemy,
[00:08:06.520 --> 00:08:11.480]   what happens when the honeyed list begins to infringe upon your convenience?
[00:08:11.480 --> 00:08:14.440]   I don't know how that is, man, you got anybody got honeyed list up here?
[00:08:14.440 --> 00:08:16.120]   >> [LAUGH]
[00:08:16.120 --> 00:08:20.400]   >> When the feeling of romance fades,
[00:08:20.400 --> 00:08:24.320]   what happens when you feel like instead of this person completing you,
[00:08:24.320 --> 00:08:27.880]   you begin to see how incomplete they really are, and
[00:08:27.880 --> 00:08:32.000]   you want to start to ask yourself sometimes, what have I done?
[00:08:32.000 --> 00:08:33.560]   I've been married for 19 years, and
[00:08:33.560 --> 00:08:37.440]   at times I've asked myself, what have I done to my wife more than me, clearly?
[00:08:37.440 --> 00:08:38.720]   >> [LAUGH]
[00:08:38.720 --> 00:08:39.680]   >> Keller says this, and
[00:08:39.680 --> 00:08:41.680]   I thought it was very poignant about marriage.
[00:08:41.680 --> 00:08:47.480]   He says, it is an indescribable joy coupled with blood, sweat,
[00:08:47.480 --> 00:08:52.640]   and tears, humbling defeats, and exhausting victories.
[00:08:52.640 --> 00:08:58.720]   When I first got married, my wife had a list, and
[00:08:58.720 --> 00:09:04.720]   she took this list and said, when I find a man that can complete this list, I'll marry you.
[00:09:04.720 --> 00:09:08.760]   And I was that man, every single one of those things on that list.
[00:09:08.760 --> 00:09:13.360]   And then, after a couple years, she just started checking stuff off that list,
[00:09:13.360 --> 00:09:16.800]   like, no, no, no.
[00:09:16.800 --> 00:09:18.080]   >> [LAUGH]
[00:09:18.080 --> 00:09:20.040]   >> And then we found ourselves in a place
[00:09:20.040 --> 00:09:25.440]   where we said, man, what now is going to sustain us?
[00:09:25.440 --> 00:09:33.240]   And not only sustain us, but allow us to flourish in a lot of these new realities.
[00:09:33.240 --> 00:09:35.400]   See, some of you have been there.
[00:09:35.400 --> 00:09:38.040]   Some of you maybe are there now.
[00:09:38.040 --> 00:09:43.560]   And if not, there will be a season, I guarantee, where you will have challenges
[00:09:43.560 --> 00:09:49.080]   and troubles that will cause for you to experience question marks,
[00:09:49.080 --> 00:09:54.040]   discontent, unsettledness.
[00:09:54.040 --> 00:10:00.120]   You see, the reason I had you do that survey is because the why you got married,
[00:10:00.120 --> 00:10:02.720]   your why, it matters.
[00:10:02.720 --> 00:10:06.080]   Because your why is your anchor.
[00:10:06.080 --> 00:10:11.320]   And if it's based on things that can be here today and gone tomorrow,
[00:10:11.320 --> 00:10:16.320]   if your why is based on things that can shift, then ultimately,
[00:10:16.320 --> 00:10:22.440]   you will find yourself in situations within your marriage that ultimately
[00:10:22.440 --> 00:10:27.840]   are based on things that will cause you also to shift.
[00:10:27.840 --> 00:10:33.840]   So if it's anchored in something beyond what is man-centered,
[00:10:33.840 --> 00:10:39.680]   whether that be avoiding the commute, strong passions, his sanctification,
[00:10:39.680 --> 00:10:43.800]   her submission, his leadership, whatever those things may be,
[00:10:43.800 --> 00:10:48.040]   then you will ultimately be able to go the extra mile and flourish
[00:10:48.040 --> 00:10:48.960]   in your relationship.
[00:10:48.960 --> 00:10:51.360]   So here's my question.
[00:10:51.360 --> 00:10:55.560]   What is marriage in light of eternity?
[00:10:55.560 --> 00:11:00.200]   What will enable you to go the extra mile, marriage in light of eternity,
[00:11:00.200 --> 00:11:03.520]   stronger than the last?
[00:11:03.520 --> 00:11:08.720]   I'm going to give you a why today that ultimately will anchor you.
[00:11:08.720 --> 00:11:10.600]   That's my objective.
[00:11:10.600 --> 00:11:12.760]   A why that will anchor you.
[00:11:12.760 --> 00:11:17.040]   And it's a passage that most of you are Christians, you've been in the church,
[00:11:17.040 --> 00:11:18.440]   you're familiar with.
[00:11:18.440 --> 00:11:23.280]   But sometimes familiarity can cause us to not see and gain what God wants us
[00:11:23.280 --> 00:11:24.160]   to gain in it.
[00:11:24.160 --> 00:11:28.240]   So as we go to this, don't allow for the familiar to distract you
[00:11:28.240 --> 00:11:30.360]   from what really God's wanted to say.
[00:11:30.360 --> 00:11:33.200]   Because I want you to anchor this in your why.
[00:11:33.200 --> 00:11:38.960]   This has to be your new why according to God's standard.
[00:11:38.960 --> 00:11:42.080]   So I'm going to just kind of give a little overview here.
[00:11:42.080 --> 00:11:45.360]   The first two sessions, I'm going to be giving a vertical perspective,
[00:11:45.360 --> 00:11:48.160]   vertical perspective on your marriage, okay?
[00:11:48.160 --> 00:11:53.840]   Meaning one where you're looking up into heaven and gaining a vision from God.
[00:11:53.840 --> 00:11:57.720]   And then the last two sessions are going to be a horizontal perspective.
[00:11:57.720 --> 00:12:00.680]   Now, there's going to be intermingled with vertical and horizontal,
[00:12:00.680 --> 00:12:02.520]   but that's just kind of how where it's...
[00:12:02.520 --> 00:12:06.240]   What does it look like between the two of you within marriage?
[00:12:06.240 --> 00:12:10.080]   So if you will, please turn with me to Ephesians chapter 5.
[00:12:10.080 --> 00:12:14.200]   Ephesians chapter 5, the classic passage on marriage.
[00:12:14.200 --> 00:12:20.080]   Ephesians chapter 5, starting at verse 22, and let's go through the Lord in prayer.
[00:12:20.080 --> 00:12:33.400]   God, the why matters.
[00:12:33.400 --> 00:12:38.160]   The why matters more profoundly, God, than we even know.
[00:12:38.160 --> 00:12:42.960]   And so God, Holy Spirit, I just pray right now that you would communicate
[00:12:42.960 --> 00:12:48.400]   what truly matters most to you in our marriages.
[00:12:48.400 --> 00:12:53.200]   And that God, as and when we see it, that it would anchor us.
[00:12:53.200 --> 00:12:58.560]   That it would anchor us in a way, God, that will allow for us to go the extra mile,
[00:12:58.560 --> 00:13:05.800]   to go, Lord God, long-term, and to do it, Lord God, with indescribable joy.
[00:13:05.800 --> 00:13:09.840]   So God, Holy Spirit, will you please come and be with us now?
[00:13:09.840 --> 00:13:14.760]   Help us to see and comprehend and be transformed by the wonder.
[00:13:14.760 --> 00:13:21.200]   And help me, Lord God, as your voice, to be faithful to your voice.
[00:13:21.200 --> 00:13:23.760]   I pray this in Jesus' name.
[00:13:23.760 --> 00:13:25.360]   Amen.
[00:13:25.360 --> 00:13:27.680]   Ephesians chapter 5.
[00:13:27.680 --> 00:13:30.680]   Ephesians 5, starting at verse 22.
[00:13:30.680 --> 00:13:34.720]   Now, let me give you a preview for my message, and I have a lot to say.
[00:13:34.720 --> 00:13:39.000]   I'm really going to try to keep this down, but you guys are bringing it.
[00:13:39.000 --> 00:13:43.200]   And so because I know y'all, you guys have been exercised and you have that
[00:13:43.200 --> 00:13:44.240]   stamina.
[00:13:44.240 --> 00:13:48.920]   And so I'm going to try my best to keep this as manageable as possible,
[00:13:48.920 --> 00:13:50.360]   but I have a lot here.
[00:13:50.360 --> 00:13:51.440]   So we just go through it.
[00:13:51.440 --> 00:13:52.760]   You guys ready?
[00:13:52.760 --> 00:13:56.400]   So as John Parker would say, "Gird up your loins."
[00:13:56.400 --> 00:13:57.280]   All right.
[00:13:57.280 --> 00:13:58.200]   All right, Ephesians 5.
[00:13:58.200 --> 00:14:03.400]   First, we're going to talk about the nature of your roles, the nature of a wife's role,
[00:14:03.400 --> 00:14:06.720]   according to God, and the nature of a husband's role, according to God.
[00:14:06.720 --> 00:14:10.520]   Then, secondarily, we're going to look at the nature of the marital relationship
[00:14:10.520 --> 00:14:11.560]   in general.
[00:14:11.560 --> 00:14:14.440]   What is the nature of it, according to God, when it comes to your
[00:14:14.440 --> 00:14:16.160]   relationship in general?
[00:14:16.160 --> 00:14:21.720]   And then we're going to see how the roles and the relationship come into view in
[00:14:21.720 --> 00:14:23.480]   light of eternity.
[00:14:23.480 --> 00:14:28.920]   And then, finally, we're going to see what is the outcome of us living out our roles
[00:14:28.920 --> 00:14:30.560]   in our relationship.
[00:14:30.560 --> 00:14:30.800]   Okay?
[00:14:30.800 --> 00:14:32.280]   So that's just an overview.
[00:14:32.280 --> 00:14:35.680]   So first, let's see the nature of your role.
[00:14:35.680 --> 00:14:37.600]   And we'll start with you, wives.
[00:14:37.600 --> 00:14:39.200]   Ladies first.
[00:14:39.200 --> 00:14:42.160]   Verse 22.
[00:14:42.160 --> 00:14:46.320]   Wives, "Submit to your own husbands as to the Lord.
[00:14:46.320 --> 00:14:51.160]   For the husband is the head of the wife, even as Christ is the head of the church,
[00:14:51.160 --> 00:14:54.880]   his body, and is himself its Savior."
[00:14:54.880 --> 00:14:59.120]   Now, as the church submits to Christ, so also wives should submit in everything
[00:14:59.120 --> 00:15:01.440]   to their husbands.
[00:15:01.440 --> 00:15:05.000]   Jason, do you have that joke?
[00:15:05.000 --> 00:15:07.880]   That, the kayastic?
[00:15:07.880 --> 00:15:10.520]   Yeah, yes, the AABD.
[00:15:10.520 --> 00:15:14.560]   Yeah, you want to get that for me?
[00:15:14.560 --> 00:15:18.480]   Okay.
[00:15:18.480 --> 00:15:27.400]   Now, what was very profound for me as I looked at this passage is the way that it
[00:15:27.400 --> 00:15:30.080]   is constructed.
[00:15:30.080 --> 00:15:36.280]   And it's called, what's called a kayasm, a kayasmic, if you will, structure.
[00:15:36.280 --> 00:15:40.400]   And it emphasizes some things as we're going to take a look at it.
[00:15:40.400 --> 00:15:45.040]   "Wives, submit to your own husbands," verse 22, "as to the Lord."
[00:15:45.040 --> 00:15:45.480]   Okay?
[00:15:45.480 --> 00:15:48.680]   And that's our, what's called A. Okay?
[00:15:48.680 --> 00:15:53.200]   And then, "For the husband is the head," okay?
[00:15:53.200 --> 00:15:57.160]   "As to the Lord" is the B. And then the C is, "For the husband is the head,
[00:15:57.160 --> 00:16:01.000]   even as the wife," and then C, "Christ is the head of the church," B,
[00:16:01.000 --> 00:16:07.120]   "Now is the church submits to Christ," and then A. So we'll see that all up at once.
[00:16:07.120 --> 00:16:13.240]   And so if you could imagine it and see it, Paul structures this in a particular way
[00:16:13.240 --> 00:16:14.800]   for a reason.
[00:16:14.800 --> 00:16:20.080]   He starts out by saying, "Wives, submit to your own husbands."
[00:16:20.080 --> 00:16:22.280]   So that is his central theme.
[00:16:22.280 --> 00:16:25.120]   That's what he wants to land and communicate.
[00:16:25.120 --> 00:16:28.680]   And then he brings it in and he describes what that looks like,
[00:16:28.680 --> 00:16:35.320]   "As to the Lord," and there's your B. And then he goes in even further to describe
[00:16:35.320 --> 00:16:41.040]   the connection, "As to the Lord, for you as husband is the head of the wife."
[00:16:41.040 --> 00:16:45.640]   So then he connects it to Christ, and then he does another Christ connection
[00:16:45.640 --> 00:16:51.560]   right after, "Christ is the head of the church, his body, and is himself its savior."
[00:16:51.560 --> 00:16:56.400]   So he brings a Christ parallel, and then he jumps back out slightly
[00:16:56.400 --> 00:17:01.520]   to parallel it now with, "Now as," because it was a description of how you're
[00:17:01.520 --> 00:17:06.400]   supposed to submit, "Now as the church submits to Christ," and then he lands it
[00:17:06.400 --> 00:17:10.600]   at the very end with, "Wives should submit in everything to their husbands."
[00:17:10.600 --> 00:17:16.880]   And he ends it with the very thing that he started it off from the beginning.
[00:17:16.880 --> 00:17:20.360]   Now, this exhortation, the reason why I show you this structure is
[00:17:20.360 --> 00:17:24.680]   because this exhortation is clearly very important to Paul.
[00:17:24.680 --> 00:17:28.720]   For one, he begins the passage with it.
[00:17:28.720 --> 00:17:31.760]   Number two, he repeats it.
[00:17:31.760 --> 00:17:36.120]   A, you see it in A, and then you see it at the very end in A,
[00:17:36.120 --> 00:17:41.560]   starting in verse 22, and he ends it in verse 24.
[00:17:41.560 --> 00:17:49.640]   And then he summarizes the passage from verse 22 all the way down to verse 33
[00:17:49.640 --> 00:17:53.640]   with the same idea as you'll see in verse 33.
[00:17:53.640 --> 00:17:59.680]   He then says, "However, let each one of you love his wife as himself,
[00:17:59.680 --> 00:18:02.640]   and let the wife see that she was never a dear."
[00:18:02.640 --> 00:18:05.520]   I think it's me in verse 33.
[00:18:05.520 --> 00:18:11.800]   Respects, so he redefines it again as he ends the whole passage.
[00:18:11.800 --> 00:18:18.360]   This is waiting for Paul.
[00:18:18.360 --> 00:18:21.960]   The reason he structured it that way, the reason he ends with it,
[00:18:21.960 --> 00:18:25.800]   is because your role as a wife in submission is waiting,
[00:18:25.800 --> 00:18:27.280]   and we're going to get to the waitingness.
[00:18:27.280 --> 00:18:29.800]   But I want you to notice something.
[00:18:29.800 --> 00:18:34.200]   Notice the stress that Paul didn't choose the word "obey."
[00:18:34.200 --> 00:18:36.200]   You know, you wives are like, "I remember the husbands are like,
[00:18:36.200 --> 00:18:39.080]   'Man, I wish she would have put obey in there because she don't obey me.
[00:18:39.080 --> 00:18:41.600]   She don't... Nothing I say.'"
[00:18:41.600 --> 00:18:43.200]   No, he didn't put obey.
[00:18:43.200 --> 00:18:45.440]   The Bible does say obey your leaders though, so amen.
[00:18:45.440 --> 00:18:51.360]   The passage might not be that way.
[00:18:51.360 --> 00:18:58.560]   Submission here, it means to choose to yield to another's will.
[00:18:58.560 --> 00:19:03.080]   And when he has submit in verse 22 and in verse 24,
[00:19:03.080 --> 00:19:05.680]   it's in the same voice in the Greek.
[00:19:05.680 --> 00:19:07.400]   It's in the middle voice.
[00:19:07.400 --> 00:19:13.360]   And what it basically means is it's implying a voluntary choice.
[00:19:13.360 --> 00:19:19.160]   So it's not an obligatory duty-bound kind of responsibility.
[00:19:19.160 --> 00:19:24.000]   It's one where you voluntarily as a woman, because you're first,
[00:19:24.000 --> 00:19:27.640]   submitting yourself to God because God said it.
[00:19:27.640 --> 00:19:31.720]   As a result, then you're going to submit yourself to your husband
[00:19:31.720 --> 00:19:37.360]   and yield, if you will, to his will.
[00:19:37.360 --> 00:19:39.520]   Now, the will of what?
[00:19:39.520 --> 00:19:41.400]   Well, verse 23.
[00:19:41.400 --> 00:19:44.280]   Verse 23 says, "For the husband is the..."
[00:19:44.280 --> 00:19:46.520]   What's that word, everyone?
[00:19:46.520 --> 00:19:47.480]   Hey, talk to me.
[00:19:47.480 --> 00:19:48.680]   Talk to me, come on.
[00:19:48.680 --> 00:19:50.360]   What's that word?
[00:19:50.360 --> 00:19:51.480]   "Head."
[00:19:51.480 --> 00:19:57.560]   So submission basically elicits from you guys as wives a recognition that your
[00:19:57.560 --> 00:20:01.600]   husband is the leader in the household.
[00:20:01.600 --> 00:20:08.800]   And where you, verse 24, where you, it says, "Now as the church submits to Christ,
[00:20:08.800 --> 00:20:18.440]   so also wives should submit," one of those two words, "in everything."
[00:20:18.440 --> 00:20:24.720]   So it's voluntary, middle voice, and "in everything" is indicating that this
[00:20:24.720 --> 00:20:29.880]   should be the normal disposition of a wife toward her husband.
[00:20:29.880 --> 00:20:34.440]   Where you're not holding back certain areas, where you're trying to maintain
[00:20:34.440 --> 00:20:37.720]   and hold control.
[00:20:37.720 --> 00:20:43.600]   And then Paul redefines it and gives a little more clarity by saying that
[00:20:43.600 --> 00:20:51.000]   submission at the bottom is an attitude and a demeanor of respect.
[00:20:51.000 --> 00:20:54.080]   Respect, verse 33.
[00:20:54.080 --> 00:20:54.520]   Verse 33.
[00:20:54.520 --> 00:20:56.760]   You guys know that song, "Respect"?
[00:20:56.760 --> 00:20:57.280]   All right?
[00:20:57.280 --> 00:20:57.960]   You guys know that song?
[00:20:57.960 --> 00:20:58.760]   You're clapping.
[00:20:58.760 --> 00:20:59.600]   You guys want to sing it?
[00:20:59.600 --> 00:21:00.720]   You guys want to sing it?
[00:21:00.720 --> 00:21:01.360]   All right.
[00:21:01.360 --> 00:21:01.840]   All right.
[00:21:01.840 --> 00:21:05.880]   So you guys over here, you're going to be R-E-S-P-E-C-T.
[00:21:05.880 --> 00:21:06.920]   Okay?
[00:21:06.920 --> 00:21:07.480]   All right?
[00:21:07.480 --> 00:21:10.200]   You're going to sing, "Find out what it means to me."
[00:21:10.200 --> 00:21:10.440]   Okay?
[00:21:10.440 --> 00:21:13.280]   Then you're going to be R-E-S-P-E-C-T.
[00:21:13.280 --> 00:21:14.240]   Okay?
[00:21:14.240 --> 00:21:18.920]   And then, you all are going to do "succotilly."
[00:21:18.920 --> 00:21:22.240]   And then you all are going to do "respectively."
[00:21:22.240 --> 00:21:23.440]   All right, can we do it?
[00:21:23.440 --> 00:21:24.840]   Can we do it?
[00:21:24.840 --> 00:21:25.760]   Let's go.
[00:21:25.760 --> 00:21:28.560]   All right.
[00:21:28.560 --> 00:21:29.400]   Number nine.
[00:21:29.400 --> 00:21:30.560]   Here we go.
[00:21:30.560 --> 00:21:32.640]   Five, six, seven, eight.
[00:21:32.640 --> 00:21:34.640]   R-E-S-P-E-C-T.
[00:21:34.640 --> 00:21:36.640]   Find out what it means to me.
[00:21:36.640 --> 00:21:39.120]   R-E-S-P-E-C-T.
[00:21:39.120 --> 00:21:41.120]   Do the "succotilly."
[00:21:41.120 --> 00:21:41.600]   Succotilly.
[00:21:41.600 --> 00:21:42.080]   Succotilly.
[00:21:42.080 --> 00:21:42.560]   Succotilly.
[00:21:42.560 --> 00:21:43.040]   Succotilly.
[00:21:43.040 --> 00:21:43.520]   Succotilly.
[00:21:43.520 --> 00:21:44.000]   Succotilly.
