
[00:00:00.000 --> 00:00:05.440]   Good morning.
[00:04:33.020 --> 00:04:38.420]   If you were 30, 40, 50 years, depending on how old you are, on your deathbed, and you
[00:04:38.420 --> 00:04:44.020]   were to talk to yourself now, who you are now, however old you are, what would you tell
[00:04:44.020 --> 00:04:46.020]   yourself now?
[00:04:46.020 --> 00:04:50.580]   Just give it a minute, right?
[00:04:50.580 --> 00:04:54.820]   On your deathbed, what is happening now that if you were able to come back and talk to
[00:04:54.820 --> 00:05:00.660]   you now on your deathbed, what would you tell yourself?
[00:05:00.660 --> 00:05:03.120]   Maybe physically, financially, you'll have some other thoughts.
[00:05:03.120 --> 00:05:05.300]   We don't know what's coming on in the future.
[00:05:05.300 --> 00:05:11.660]   But I know one thing for sure, if you are a believer, genuine believer, on your deathbed,
[00:05:11.660 --> 00:05:17.300]   that you're not gonna tell yourself, "Hey, maybe you should have gone to LA and tasted
[00:05:17.300 --> 00:05:20.140]   that new boba that came from Taiwan."
[00:05:20.140 --> 00:05:21.140]   You know what I mean?
[00:05:21.140 --> 00:05:23.260]   I don't think that you're not gonna be regretting that.
[00:05:23.260 --> 00:05:25.220]   You'll say, "Oh, man, that was a bucket list.
[00:05:25.220 --> 00:05:27.740]   I wanted to go travel there, and I forgot.
[00:05:27.740 --> 00:05:30.020]   I didn't get to see that."
[00:05:30.020 --> 00:05:33.900]   You know, you may have some of those regrets, but on your deathbed, you're gonna cut through
[00:05:33.900 --> 00:05:38.700]   all of that clutter, and you're gonna get to what's gonna matter the most, which is
[00:05:38.700 --> 00:05:40.980]   eternity.
[00:05:40.980 --> 00:05:47.980]   And most likely, you will say this, "See to it that no one comes short of the grace of
[00:05:47.980 --> 00:05:50.220]   God."
[00:05:50.220 --> 00:05:55.100]   In one form or another, you'll probably tell yourself this, "Make sure as we are facing
[00:05:55.100 --> 00:06:01.180]   eternity that no one comes short of the grace of God."
[00:06:01.180 --> 00:06:07.220]   What we're gonna regret, if we regret anything, is that we didn't live to the fullest in this
[00:06:07.220 --> 00:06:13.380]   short period of time that we have to love Christ and to love our neighbors as ourselves.
[00:06:13.380 --> 00:06:18.060]   We're not gonna regret that we didn't put enough money in retirement, not on our deathbed.
[00:06:18.060 --> 00:06:22.580]   We're not gonna regret that we didn't get to travel as much as we did, or that we didn't
[00:06:22.580 --> 00:06:25.140]   invest in Bitcoin early enough.
[00:06:25.140 --> 00:06:29.200]   Those are all things that we have concerns during this life.
[00:06:29.200 --> 00:06:34.040]   But as we face eternity, none of those things are gonna matter.
[00:06:34.040 --> 00:06:40.420]   And so, verse 15 is an accumulation of everything that he's been really trying to say to the
[00:06:40.420 --> 00:06:45.220]   readers of Hebrews, that you're drifting because you've forgotten what it is that you have
[00:06:45.220 --> 00:06:50.020]   in Christ, to have an eternal perspective that Christ is worth whatever it is that you're
[00:06:50.020 --> 00:06:51.020]   suffering.
[00:06:51.020 --> 00:06:56.300]   Christ is worth whatever it is that you're sacrificing, and to make sure that no one
[00:06:56.300 --> 00:06:59.100]   comes short of the grace of God.
[00:06:59.100 --> 00:07:02.060]   What does it mean to come short of the grace of God?
[00:07:02.060 --> 00:07:05.740]   I mean, grace means a free gift.
[00:07:05.740 --> 00:07:08.040]   So how do you come short of this?
[00:07:08.040 --> 00:07:13.840]   So I wanna take a few minutes this morning to talk about, like, who is he referring to?
[00:07:13.840 --> 00:07:17.900]   I think there's three different categories of people that needs to take heed of what
[00:07:17.900 --> 00:07:19.260]   he is saying.
[00:07:19.260 --> 00:07:21.140]   One, unbelievers.
[00:07:21.140 --> 00:07:27.520]   If there's anyone in this room or on the internet who is kind of on the fence, and you're here
[00:07:27.520 --> 00:07:32.980]   because you're just curious, or maybe your friend has brought you here, and you're coming
[00:07:32.980 --> 00:07:38.740]   because you think something is there, there's gotta be more to life than this, but you haven't
[00:07:38.740 --> 00:07:41.640]   come fully to Christ.
[00:07:41.640 --> 00:07:45.020]   Maybe you're telling yourself you're busy.
[00:07:45.020 --> 00:07:48.720]   Maybe sometime down the line, maybe when the kids are older, maybe when my business is
[00:07:48.720 --> 00:07:52.620]   more established, maybe when I find my job or finish my school, then I'll give my full
[00:07:52.620 --> 00:07:56.460]   attention to this, but right now I'm just too busy.
[00:07:56.460 --> 00:08:02.460]   Well, Mark chapter 8, 36, Jesus addresses this thinking, "For what does it profit a
[00:08:02.460 --> 00:08:07.120]   man to gain the whole world and forfeit his soul?"
[00:08:07.120 --> 00:08:12.760]   If eternity is real, if God is real, if what the Bible says is real, there is nothing more
[00:08:12.760 --> 00:08:18.860]   important for every human being to not only make a decision of what this is, but do our
[00:08:18.860 --> 00:08:22.420]   best to follow Christ with all our might.
[00:08:22.420 --> 00:08:24.400]   There is no in between.
[00:08:24.400 --> 00:08:31.420]   If Christ is real, then everything that we do is a preparation for eternity.
[00:08:31.420 --> 00:08:38.660]   It doesn't matter, even if you were successful in your wildest dream, that you bought $100,000
[00:08:38.660 --> 00:08:44.440]   worth of Bitcoin 15 years ago, and now you're a multi, multimillionaire, as you face eternity,
[00:08:44.440 --> 00:08:47.760]   it means absolutely nothing.
[00:08:47.760 --> 00:08:52.060]   Maybe if you're young, your fantasy is to become a professional baseball player or an
[00:08:52.060 --> 00:08:54.020]   NBA professional athlete.
[00:08:54.020 --> 00:08:59.380]   Even if your most wildest dreams came true, as we face eternity, it will mean absolutely
[00:08:59.380 --> 00:09:02.500]   nothing if this is true.
[00:09:02.500 --> 00:09:08.860]   If it is not true, there is no bigger lie that has been told in human history.
[00:09:08.860 --> 00:09:10.100]   There's nothing in between.
[00:09:10.100 --> 00:09:15.060]   Jesus didn't just say he's a good moral teacher, gave us a good example of how we ought to
[00:09:15.060 --> 00:09:22.680]   live to make mankind a better place during this lifetime.
[00:09:22.680 --> 00:09:24.880]   He claimed to be God.
[00:09:24.880 --> 00:09:27.520]   He said he has power to forgive sins.
[00:09:27.520 --> 00:09:34.160]   He resurrected from the dead, and his followers gave their life telling this lie, if it's
[00:09:34.160 --> 00:09:35.740]   a lie.
[00:09:35.740 --> 00:09:42.140]   Not tens of thousands, hundreds of thousands, millions of people have forfeited the benefit
[00:09:42.140 --> 00:09:46.760]   of this world in order to proclaim this truth.
[00:09:46.760 --> 00:09:55.380]   So there is no lie that has done more damage to mankind than this lie if this is not true.
[00:09:55.380 --> 00:09:56.600]   There is no in between.
[00:09:56.600 --> 00:10:03.880]   If he is God, that means everything in this world is temporary, and all of it should be
[00:10:03.880 --> 00:10:07.580]   forfeited so that we can have eternity.
[00:10:07.580 --> 00:10:14.860]   Or you deny him, these bunch of crazy people, that this is probably one of the worst things
[00:10:14.860 --> 00:10:18.940]   that has happened to humanity.
[00:10:18.940 --> 00:10:22.820]   Where do you stand with this?
[00:10:22.820 --> 00:10:27.300]   The Bible says in Hebrews 9, 27, "Inasmuch as it is appointed for men to die once, and
[00:10:27.300 --> 00:10:30.140]   after this comes judgment."
[00:10:30.140 --> 00:10:36.260]   Death is imminent, and it is absolute.
[00:10:36.260 --> 00:10:40.580]   I've never had a conversation with a non-Christian where we said, "Inasmuch as it is appointed
[00:10:40.580 --> 00:10:46.460]   for all men to die once," and somebody said, "No, not all men, some men, most men."
[00:10:46.460 --> 00:10:47.460]   But not all men.
[00:10:47.460 --> 00:10:51.600]   I've never had that discussion because it's not debated.
[00:10:51.600 --> 00:10:57.220]   We all know whether you are a multimillionaire or whether you are poor and homeless, we all
[00:10:57.220 --> 00:10:58.700]   die the same way.
[00:10:58.700 --> 00:10:59.700]   And we know it's coming.
[00:10:59.700 --> 00:11:01.460]   We know that our life is temporary.
[00:11:01.460 --> 00:11:04.780]   And the question is, what's after that?
[00:11:04.780 --> 00:11:08.020]   But most people live as if this is it.
[00:11:08.020 --> 00:11:11.440]   We occasionally think about eternity.
[00:11:11.440 --> 00:11:16.720]   But if eternity is real, shouldn't that be the greatest question that we wrestle with?
[00:11:16.720 --> 00:11:21.580]   Even more than Bitcoin, how much money we have in retirement, even more than any other
[00:11:21.580 --> 00:11:26.460]   question that we wrestle with, shouldn't that be the greatest question?
[00:11:26.460 --> 00:11:30.620]   The Bible says, "Inasmuch as it is appointed for all men to die once, after this will come
[00:11:30.620 --> 00:11:33.200]   judgment."
[00:11:33.200 --> 00:11:40.620]   To come into the judgment seat of Christ simply because we didn't have time, simply because
[00:11:40.620 --> 00:11:43.780]   I was just too busy.
[00:11:43.780 --> 00:11:49.180]   What a tragedy to come into judgment when the Word of God says that we will have to
[00:11:49.180 --> 00:11:55.420]   give account for every careless word, every sinful thought, to stand before a holy judge,
[00:11:55.420 --> 00:12:00.300]   everything that you and I think that we got away with because the government didn't catch
[00:12:00.300 --> 00:12:02.360]   us, the police didn't catch us.
[00:12:02.360 --> 00:12:05.140]   Maybe my wife didn't catch us.
[00:12:05.140 --> 00:12:08.100]   But a holy God who sees all things, knows all things, who is all powerful, he said,
[00:12:08.100 --> 00:12:11.060]   "We're going to stand before this holy judge," and he said, "We're going to have to give
[00:12:11.060 --> 00:12:15.820]   account for every sin, every lustful thought."
[00:12:15.820 --> 00:12:22.980]   To go into eternity to meet this holy God simply because we were too busy.
[00:12:22.980 --> 00:12:28.440]   There's no greater question that a non-Christian should be asking and to be affirmed.
[00:12:28.440 --> 00:12:37.880]   This is true, and to give my life to make him my king, or this is the biggest lie that's
[00:12:37.880 --> 00:12:42.260]   been ever told, but to be in the middle is not safe.
[00:12:42.260 --> 00:12:44.680]   See to it that no one comes short of the grace of God.
[00:12:44.680 --> 00:12:48.860]   The second group of people that this is a warning and encouragement to is professing
[00:12:48.860 --> 00:12:54.740]   believers but maybe in danger of drifting into damnation themselves.
[00:12:54.740 --> 00:12:58.340]   You notice I said professing believers.
[00:12:58.340 --> 00:13:01.740]   These are people that probably are not Christians.
[00:13:01.740 --> 00:13:07.640]   We live in a post-Christian culture where people are born into Christianity, or you
[00:13:07.640 --> 00:13:11.040]   are shamed into Christianity.
[00:13:11.040 --> 00:13:18.340]   If you are a Christian, they're in one of these campus ministries, it's hard not to
[00:13:18.340 --> 00:13:20.080]   be a Christian.
[00:13:20.080 --> 00:13:22.420]   They persecute you.
[00:13:22.420 --> 00:13:25.060]   You get persecuted for not coming to Bible study.
[00:13:25.060 --> 00:13:27.780]   You get persecuted for not joining small group.
[00:13:27.780 --> 00:13:29.600]   You get persecuted for not serving.
[00:13:29.600 --> 00:13:33.300]   You get persecuted for not going to church.
[00:13:33.300 --> 00:13:35.420]   There's heavy persecution.
[00:13:35.420 --> 00:13:40.280]   You have to pick up your cross, almost not to be a Christian.
[00:13:40.280 --> 00:13:45.960]   So in a post-Christian culture with so much pressure, during that period, now that begins
[00:13:45.960 --> 00:13:50.200]   to die down after you graduate, but during college where there's so much pressure, especially
[00:13:50.200 --> 00:13:54.280]   if you grew up in the church from the home, from your friends, from your environment,
[00:13:54.280 --> 00:14:00.480]   and so you end up just kind of going and then not really giving it serious thought.
[00:14:00.480 --> 00:14:02.740]   And so you learn to play the game.
[00:14:02.740 --> 00:14:04.340]   You know what to say.
[00:14:04.340 --> 00:14:05.580]   You know what you're supposed to do.
[00:14:05.580 --> 00:14:10.520]   You know the doctrines to profess, but it was always superficially from a distance in
[00:14:10.520 --> 00:14:16.660]   order to be accepted by whatever church or whatever group that you belong to.
[00:14:16.660 --> 00:14:20.260]   You know what the sociologists call that contagion norm theory.
[00:14:20.260 --> 00:14:26.820]   Contagion norm theory is anything that you do repetitively, you become blind to.
[00:14:26.820 --> 00:14:31.600]   That's why when we're young, we're blind to the love of parents because they just do it
[00:14:31.600 --> 00:14:33.680]   all the time.
[00:14:33.680 --> 00:14:37.880]   And then when your friends do it, it's like, "Oh my gosh, he's the best friend in the world,"
[00:14:37.880 --> 00:14:40.200]   but your parents do that every single day.
[00:14:40.200 --> 00:14:45.600]   And then you get a little bit older, then the things that you value the most, sometimes
[00:14:45.600 --> 00:14:49.340]   we are blind to until they're gone.
[00:14:49.340 --> 00:14:53.520]   And then you realize, "Wow, that had the biggest impact in my life."
[00:14:53.520 --> 00:14:56.360]   And again, that's what they call the contagion norm theory.
[00:14:56.360 --> 00:15:03.320]   If you are an individual who grew up in the church and just kind of affiliated yourself
[00:15:03.320 --> 00:15:08.020]   with Christianity, so you came and you did all of that, but you've become blind to what
[00:15:08.020 --> 00:15:10.540]   it means to be a true follower of Christ.
[00:15:10.540 --> 00:15:18.520]   You just enculturated yourself to Christianity, but you're not really a follower of Christ.
[00:15:18.520 --> 00:15:23.840]   It's a warning to those people who just kind of accepted superficially.
[00:15:23.840 --> 00:15:28.380]   And then when the test came and when it became difficult, when the persecution to become
[00:15:28.380 --> 00:15:33.680]   Christian starts to die out, and then the real persecution to bring you away from Christ,
[00:15:33.680 --> 00:15:35.480]   all of a sudden, now the tide is going the other way.
[00:15:35.480 --> 00:15:38.040]   Now you're riding the tide the other way.
[00:15:38.040 --> 00:15:41.560]   It's a warning to them, again, not to drift, not to neglect.
[00:15:41.560 --> 00:15:46.100]   In Matthew 7, 21 to 23, it says, "Not everyone who says to me, 'Lord, Lord,' will enter the
[00:15:46.100 --> 00:15:47.840]   kingdom of heaven.
[00:15:47.840 --> 00:15:52.720]   But he who does the will of my Father, who is in heaven, will enter."
[00:15:52.720 --> 00:15:57.200]   Not everybody who professes and says the right things are genuine Christians.
[00:15:57.200 --> 00:16:03.120]   Verse 22, "Many will say to me on that day," many, not a few, "Many will say to me on that
[00:16:03.120 --> 00:16:07.720]   day, 'Lord, Lord, did we not prophesy in your name?'"
[00:16:07.720 --> 00:16:11.920]   Even prophesying is not evidence of genuine faith.
[00:16:11.920 --> 00:16:13.320]   That's what he says.
[00:16:13.320 --> 00:16:15.920]   "And in your name cast out demons."
[00:16:15.920 --> 00:16:17.960]   They cast out demons.
[00:16:17.960 --> 00:16:19.720]   It wasn't evidence of genuine faith.
[00:16:19.720 --> 00:16:22.880]   "And in your name perform miracles."
[00:16:22.880 --> 00:16:30.160]   They are prophesying, casting out demons, performing miracles, calling him Lord, Lord,
[00:16:30.160 --> 00:16:35.520]   in verse 23, "And then I will declare to them, 'I never knew you.
[00:16:35.520 --> 00:16:39.760]   Depart from me, you who practice lawlessness.'"
[00:16:39.760 --> 00:16:44.040]   I remember the first time I came across this text as a young Christian, and it shook me
[00:16:44.040 --> 00:16:47.360]   to my boots, to the core.
[00:16:47.360 --> 00:16:50.560]   How do I know this is not me?
[00:16:50.560 --> 00:16:51.840]   How do I know this is not me?
[00:16:51.840 --> 00:16:56.400]   How do I know that my faith is just cultural?
[00:16:56.400 --> 00:16:59.840]   I came from a Christian home, surrounded by Christians.
[00:16:59.840 --> 00:17:02.400]   I was part of a campus ministry, went to a Christian school.
[00:17:02.400 --> 00:17:04.400]   How do I know this is not me?
[00:17:04.400 --> 00:17:06.600]   And I wanted to make sure that this was not me.
[00:17:06.600 --> 00:17:09.640]   And that was part of the motivation behind why I wanted to pursue.
[00:17:09.640 --> 00:17:10.720]   I was asking questions.
[00:17:10.720 --> 00:17:12.280]   How do I know the Trinity is real?
[00:17:12.280 --> 00:17:16.360]   How can I believe that this Bible is really God's inerrant word, simply because somebody
[00:17:16.360 --> 00:17:17.360]   told me so?
[00:17:17.360 --> 00:17:19.940]   Because my dad was a pastor?
[00:17:19.940 --> 00:17:21.040]   How do I know this?
[00:17:21.040 --> 00:17:26.320]   How do I know I'm not a Christian simply because I'm surrounded by other Christians?
[00:17:26.320 --> 00:17:27.320]   Would I believe this?
[00:17:27.320 --> 00:17:31.200]   Would I follow Christ, even if I was the only one left?
[00:17:31.200 --> 00:17:34.000]   If I was living in Iran, would I be a Christian?
[00:17:34.000 --> 00:17:38.200]   If I was living in the villages in India, where they're hostile toward Christianity,
[00:17:38.200 --> 00:17:40.520]   would I be a Christian there?
[00:17:40.520 --> 00:17:48.240]   And so I wrestled, and that's part of the reason why I pursued and I asked questions.
[00:17:48.240 --> 00:17:52.360]   When he says, "See to it no one comes short of the grace of God," he's referring also
[00:17:52.360 --> 00:18:00.440]   to people who are professing Christians, but the faith that they have is just being around
[00:18:00.440 --> 00:18:02.480]   other Christians.
[00:18:02.480 --> 00:18:07.280]   They grew up, and that's the right thing to say.
[00:18:07.280 --> 00:18:11.400]   Sometimes just being around and hearing the gospel and hearing the word of God preached,
[00:18:11.400 --> 00:18:16.360]   and again, being so much around that we become blind.
[00:18:16.360 --> 00:18:20.560]   You know, recently I've been trying to exercise, so we bought a bike, and I've been trying
[00:18:20.560 --> 00:18:23.240]   to bike back and forth, you know?
[00:18:23.240 --> 00:18:28.400]   And I've lived in the same street, right, for the last maybe about 12, 13 years on a
[00:18:28.400 --> 00:18:35.560]   cul-de-sac, and right behind us we have this nice trail that people walk on and bike along.
[00:18:35.560 --> 00:18:41.880]   For the first 10 years, I didn't think anything about it, because nobody's on that trail,
[00:18:41.880 --> 00:18:42.880]   you know?
[00:18:42.880 --> 00:18:47.640]   And then the pandemic hit, and all of a sudden there's so much noise back there, it's annoying,
[00:18:47.640 --> 00:18:51.280]   because there's a little hill, and kids go skateboarding there.
[00:18:51.280 --> 00:18:55.480]   So I hear them, you know, with music on, and they're playing, and I want to be one of those
[00:18:55.480 --> 00:19:00.360]   old guys saying, "Keep it down out there!"
[00:19:00.360 --> 00:19:05.000]   So they started using that, and then now, because I started to bike and we started to
[00:19:05.000 --> 00:19:07.560]   walk, I said, "Man, that'd be awesome!"
[00:19:07.560 --> 00:19:11.840]   But it was there all along, all along, it was right behind us, but because we weren't
[00:19:11.840 --> 00:19:12.960]   using it, I didn't appreciate it.
[00:19:12.960 --> 00:19:17.520]   Now I'm thinking, like, we have a wall, you know, between that trail and our house, so
[00:19:17.520 --> 00:19:23.560]   like I'm thinking of ways to knock the wall down without HOA knowing about it, right?
[00:19:23.560 --> 00:19:27.440]   All along, we've been there for over 10, 12 years, you know?
[00:19:27.440 --> 00:19:31.720]   And all I was, it's like, there's a train track right there, just annoyed with the train
[00:19:31.720 --> 00:19:37.000]   track, but not realizing there's this great trail right behind the house.
[00:19:37.000 --> 00:19:44.240]   There are so many people who are in the church, around the gospel, preaching, small groups,
[00:19:44.240 --> 00:19:55.120]   mission work, and being around all of this all your life, and never fully coming to Christ.
[00:19:55.120 --> 00:20:01.680]   Those people will miss and come short of the grace of God if they do not stop and ask themselves,
[00:20:01.680 --> 00:20:11.880]   "Am I a cultural Christian, or do I really believe this Jesus?"
[00:20:11.880 --> 00:20:17.360]   The author says in Hebrews 6, 4-8, this is a passage that we looked at many months ago,
[00:20:17.360 --> 00:20:23.400]   and he's referring to these very people, these cultural Christians.
[00:20:23.400 --> 00:20:27.560]   He says, "For in the case of those who have once been enlightened and have tasted of the
[00:20:27.560 --> 00:20:33.240]   heavenly gift, and have been made partakers of the Holy Spirit, and have tasted the good
[00:20:33.240 --> 00:20:36.720]   word of God, and the powers of the age to come."
[00:20:36.720 --> 00:20:40.560]   Now if you just look at verse 4 and 5, he's saying, "I mean, clearly this must be a Christian."
[00:20:40.560 --> 00:20:44.280]   I mean, he was enlightened.
[00:20:44.280 --> 00:20:49.200]   He's not talking about a Christian, he's talking about somebody who has understood.
[00:20:49.200 --> 00:20:50.320]   He's been enlightened.
[00:20:50.320 --> 00:20:52.120]   He didn't know before, but now he knows.
[00:20:52.120 --> 00:20:53.120]   Tasted the heavenly gift.
[00:20:53.120 --> 00:20:59.160]   I mean, he's been around the church, the benefit of being in a covenant community, partakers
[00:20:59.160 --> 00:21:01.020]   of the Holy Spirit.
[00:21:01.020 --> 00:21:06.160]   They had first row seats of the work of the Holy Spirit with other people, hearing testimonies,
[00:21:06.160 --> 00:21:11.640]   baptism, going out to summer mission trips, and he was around all of that.
[00:21:11.640 --> 00:21:16.960]   And then yet, in verse 6, "And then they have fallen away.
[00:21:16.960 --> 00:21:21.880]   It is impossible to renew them again to repentance, since they again crucified to themselves the
[00:21:21.880 --> 00:21:24.040]   Son of God and put him to open shame."
[00:21:24.040 --> 00:21:28.200]   Now, some people have interpreted this as saying, like, it seems like they're Christian,
[00:21:28.200 --> 00:21:31.120]   and if they fall, God won't allow them to repent again.
[00:21:31.120 --> 00:21:35.840]   Now, you have to make sure that Scripture has to interpret Scripture.
[00:21:35.840 --> 00:21:40.280]   The Bible clearly says that our salvation is a gift that God has given to us freely.
[00:21:40.280 --> 00:21:41.280]   Right?
[00:21:41.280 --> 00:21:44.400]   Everybody knows Ephesians 2, 8, and 9.
[00:21:44.400 --> 00:21:49.560]   So if it's a free gift, we didn't earn it, so we can't lose it.
[00:21:49.560 --> 00:21:51.960]   But then what does it mean here?
[00:21:51.960 --> 00:21:55.880]   He's talking about an individual who's in the church, who's been fed, and had every
[00:21:55.880 --> 00:21:59.880]   opportunity to come to Christ.
[00:21:59.880 --> 00:22:05.440]   That you were so close, you had all the benefits that any human being could possibly have to
[00:22:05.440 --> 00:22:10.600]   come to Christ, and you choose to drift away to the world.
[00:22:10.600 --> 00:22:14.240]   So when he says "fallen away," he's not talking about somebody who is Christian and
[00:22:14.240 --> 00:22:15.600]   falls away from faith.
[00:22:15.600 --> 00:22:18.680]   He's talking about somebody who's so near and chooses to go the other path.
[00:22:18.680 --> 00:22:23.560]   And when he says "there is no repentance," he's talking about if you do not receive the
[00:22:23.560 --> 00:22:28.200]   grace of God, there is no other path.
[00:22:28.200 --> 00:22:32.160]   There isn't two, three, four different ways to get to God.
[00:22:32.160 --> 00:22:33.900]   There's only one.
[00:22:33.900 --> 00:22:38.000]   And so if you drift away from that, if you drift away from the grace of God, there is
[00:22:38.000 --> 00:22:40.560]   no other way that an individual can repent.
[00:22:40.560 --> 00:22:46.600]   And so that's what he means in verse 7, "For the ground that drinks the rain, which often
[00:22:46.600 --> 00:22:52.800]   falls on it and brings forth vegetation useful to those for whose sake it has also been tilled,
[00:22:52.800 --> 00:22:54.200]   receives a blessing from God."
[00:22:54.200 --> 00:23:00.440]   In other words, the other fruits that actually come to Christ, they receive the feeding,
