
[00:00:00.000 --> 00:00:02.920]   (crowd chattering)
[00:05:04.920 --> 00:05:09.920]   So I can't emphasize enough that the first two days
[00:05:09.920 --> 00:05:12.880]   of teaching in this class,
[00:05:12.880 --> 00:05:15.200]   if that's just kind of a blur,
[00:05:15.200 --> 00:05:16.560]   and you didn't really get the weight
[00:05:16.560 --> 00:05:19.080]   of what was taught in the first two classes,
[00:05:19.080 --> 00:05:21.400]   then again, everything that we're gonna be teaching
[00:05:21.400 --> 00:05:23.080]   is you're gonna get bits and pieces,
[00:05:23.080 --> 00:05:25.320]   but you're really not gonna get the weightiness
[00:05:25.320 --> 00:05:27.320]   of why it was so important, okay?
[00:05:27.320 --> 00:05:29.400]   So again, I wanted to set that as a foundation
[00:05:29.400 --> 00:05:32.320]   just to let you know that this is not just one
[00:05:32.320 --> 00:05:34.240]   of many things that are important in the church.
[00:05:34.240 --> 00:05:36.960]   This is the central thing that, again,
[00:05:36.960 --> 00:05:39.320]   if you know it superficially,
[00:05:39.320 --> 00:05:40.800]   or you just kind of passively,
[00:05:40.800 --> 00:05:43.380]   like, "Oh, I know this," and just kind of dismiss it,
[00:05:43.380 --> 00:05:45.720]   it will affect the way you understand scripture
[00:05:45.720 --> 00:05:47.820]   and salvation and everything else, okay?
[00:05:47.820 --> 00:05:54.160]   First thing that we know is if we understand
[00:05:54.160 --> 00:05:57.240]   that God is a holy, holy, holy God,
[00:05:57.240 --> 00:06:00.120]   that we were saved from a sin
[00:06:00.120 --> 00:06:03.120]   that you and I could not possibly work toward,
[00:06:03.120 --> 00:06:05.240]   and if we have a proper understanding of God,
[00:06:05.240 --> 00:06:06.760]   the first thing that it affects
[00:06:06.760 --> 00:06:09.720]   is the way that we worship, right?
[00:06:09.720 --> 00:06:12.240]   That's why our very first vision in our church
[00:06:12.240 --> 00:06:15.580]   is to establish God-centered worship and not man-centered.
[00:06:15.580 --> 00:06:19.620]   Now, that may seem kind of obvious, maybe, to some of you,
[00:06:19.620 --> 00:06:22.740]   but I'm gonna explain the difference between the two,
[00:06:22.740 --> 00:06:25.100]   when it's not God-centered, when it's man-centered,
[00:06:25.100 --> 00:06:28.740]   when, especially in our generation,
[00:06:28.740 --> 00:06:32.580]   where market-driven churches, where if you do this
[00:06:32.580 --> 00:06:34.260]   and if you tweak the church this way
[00:06:34.260 --> 00:06:35.380]   and if you have small groups this way,
[00:06:35.380 --> 00:06:37.420]   more people will come and more people
[00:06:37.420 --> 00:06:38.860]   will be happy at church.
[00:06:38.860 --> 00:06:42.120]   First and foremost, if it is a God-centered,
[00:06:42.120 --> 00:06:44.860]   God-honoring church, the first question we need to ask
[00:06:44.860 --> 00:06:48.480]   is is God honored by doing that, right?
[00:06:48.480 --> 00:06:52.500]   So, right worship begins with the right understanding
[00:06:52.500 --> 00:06:53.580]   of who God is.
[00:06:53.580 --> 00:06:56.780]   That's at the center of what we do, right?
[00:06:56.780 --> 00:06:58.580]   So, we can't say that we're come to worship God
[00:06:58.580 --> 00:07:01.060]   and not know the God that you're worshiping.
[00:07:01.060 --> 00:07:04.720]   And of the things that we know of who God is,
[00:07:04.720 --> 00:07:07.020]   God is not, again, if you have a picture of God
[00:07:07.020 --> 00:07:11.580]   as a grandfather that just kinda is okay with sin,
[00:07:11.580 --> 00:07:14.500]   if he's kinda like Santa Claus
[00:07:14.500 --> 00:07:17.380]   that answers any prayers that you have,
[00:07:17.380 --> 00:07:19.220]   then yeah, it's gonna affect the way you understand.
[00:07:19.220 --> 00:07:20.720]   There's gonna be a lot of frustration
[00:07:20.720 --> 00:07:23.780]   because your foundation is wrong, right?
[00:07:23.780 --> 00:07:27.500]   So, first and foremost, our whole purpose of gathering
[00:07:27.500 --> 00:07:30.420]   in our personal being is to give God the glory
[00:07:30.420 --> 00:07:31.380]   and give him worship.
[00:07:31.380 --> 00:07:34.860]   So, right understanding of God is at the center of that.
[00:07:36.420 --> 00:07:40.140]   King David, having a right perspective of God,
[00:07:40.140 --> 00:07:44.260]   asked the question, "Why are you so mindful of men?"
[00:07:44.260 --> 00:07:47.660]   Modern day, when it's not God-centered,
[00:07:47.660 --> 00:07:50.840]   the question we ask is if God is so loving,
[00:07:50.840 --> 00:07:52.940]   why does he do this, right?
[00:07:52.940 --> 00:07:55.820]   If God cares, why doesn't he prove it?
[00:07:55.820 --> 00:07:58.340]   So, we're always like kinda testing God to see,
[00:07:58.340 --> 00:07:59.380]   you know, to live up to it.
[00:07:59.380 --> 00:08:01.740]   If he loves me so much, why doesn't he do this for me?
[00:08:01.740 --> 00:08:04.300]   If he loves me so much, why doesn't he answer my prayer?
[00:08:04.300 --> 00:08:07.260]   But when we have a proper understanding of who God is,
[00:08:07.260 --> 00:08:09.100]   the right question that we ought to be asking
[00:08:09.100 --> 00:08:13.780]   every single day is, why does he even care, right?
[00:08:13.780 --> 00:08:14.960]   Why does he even care?
[00:08:14.960 --> 00:08:19.420]   Who are we and who is God, right?
[00:08:19.420 --> 00:08:23.320]   In comparison to knowing who God is,
[00:08:23.320 --> 00:08:26.820]   the Bible oftentimes describes us as worm.
[00:08:26.820 --> 00:08:29.700]   We're just like a mist that comes and goes, right?
[00:08:29.700 --> 00:08:31.580]   Only reason why we're precious is because
[00:08:31.580 --> 00:08:33.540]   God chose to make us precious.
[00:08:34.540 --> 00:08:36.500]   But independent of that, I mean,
[00:08:36.500 --> 00:08:40.020]   if you really think about it, objectively, who are we?
[00:08:40.020 --> 00:08:41.860]   I mean, we're just a mist.
[00:08:41.860 --> 00:08:42.940]   Why does he even care?
[00:08:42.940 --> 00:08:46.460]   So, the greatest question that any sinner
[00:08:46.460 --> 00:08:48.300]   who's saved by the grace of God should be asking
[00:08:48.300 --> 00:08:51.240]   all the time is, why does he care?
[00:08:51.240 --> 00:08:54.180]   Why does he care to send his only begotten son, right?
[00:08:54.180 --> 00:08:57.460]   And that should be the foundation upon everything that we do.
[00:08:57.460 --> 00:09:00.340]   That's the beginning point of true worship.
[00:09:00.340 --> 00:09:02.660]   I don't understand why he did what he did for me,
[00:09:02.660 --> 00:09:05.060]   but the scripture says he did it and I believe in it,
[00:09:05.060 --> 00:09:07.700]   I accept it, and therefore I worship him, right?
[00:09:07.700 --> 00:09:11.300]   So, from that moment on, even if you're homeless and sick
[00:09:11.300 --> 00:09:13.140]   and hungry for the rest of your lives,
[00:09:13.140 --> 00:09:16.820]   you have salvation, correct?
[00:09:16.820 --> 00:09:19.420]   So, our worship should not be contingent upon
[00:09:19.420 --> 00:09:22.740]   your bills being paid, having many friends,
[00:09:22.740 --> 00:09:24.880]   have been in a certain type of a church.
[00:09:24.880 --> 00:09:28.720]   If our worship is contingent upon Jesus and anything else,
[00:09:28.720 --> 00:09:31.780]   you've really missed the whole point of worship, right?
[00:09:31.780 --> 00:09:33.100]   He gave his only begotten son.
[00:09:33.100 --> 00:09:34.900]   Why would a God who is holy, holy, holy
[00:09:34.900 --> 00:09:37.740]   send his only begotten son to save a sinner like me?
[00:09:37.740 --> 00:09:39.820]   And then to say, I believe that,
[00:09:39.820 --> 00:09:41.820]   and then spend the rest of the time complaining
[00:09:41.820 --> 00:09:43.700]   about the bike you didn't get, or car,
[00:09:43.700 --> 00:09:44.940]   or the promotion you didn't get,
[00:09:44.940 --> 00:09:46.260]   and the people you didn't like.
[00:09:46.260 --> 00:09:48.420]   It just kind of doesn't make sense.
[00:09:48.420 --> 00:09:51.060]   Something is kind of off, right?
[00:09:51.060 --> 00:09:54.420]   So, the very beginning of our relationship with God
[00:09:54.420 --> 00:09:56.920]   and at the church, at the core of why we exist
[00:09:56.920 --> 00:09:59.540]   is to celebrate this holy, holy God
[00:09:59.540 --> 00:10:02.180]   who sent his only begotten son, right?
[00:10:02.180 --> 00:10:07.180]   So, even the very word for worship in English
[00:10:07.180 --> 00:10:09.580]   is from a Latin word, we are scipe,
[00:10:09.580 --> 00:10:12.220]   which means to give value to something, right?
[00:10:12.220 --> 00:10:13.740]   To give value to something.
[00:10:13.740 --> 00:10:16.260]   So, by that very definition,
[00:10:16.260 --> 00:10:21.880]   we come and worship him because he is worthy.
[00:10:21.880 --> 00:10:24.500]   Not necessarily simply because, well, he did,
[00:10:24.500 --> 00:10:26.420]   he answered my prayers, and this and that,
[00:10:26.420 --> 00:10:29.660]   but by very nature of who he is and who we are,
[00:10:29.660 --> 00:10:32.220]   our relationship with creation and creator
[00:10:32.220 --> 00:10:34.780]   is to give worship, right?
[00:10:34.780 --> 00:10:39.540]   And J.I. Packer, in his book, Knowing God,
[00:10:39.540 --> 00:10:41.620]   says, "Ancient paganism thought of each god
[00:10:41.620 --> 00:10:44.700]   "as a bound to his worshippers by bonds of self-interest,
[00:10:44.700 --> 00:10:46.400]   "because he depended on their service
[00:10:46.400 --> 00:10:48.120]   "and gifts for his welfare.
[00:10:48.120 --> 00:10:50.300]   "Modern paganism has at the back of its mind
[00:10:50.300 --> 00:10:53.180]   "a similar feeling that God is somehow obliged to love
[00:10:53.180 --> 00:10:55.660]   "and help us, little though we deserve it."
[00:10:55.660 --> 00:10:59.180]   So, again, our very approach to God, right?
[00:10:59.180 --> 00:11:00.940]   Does it reflect paganism, where it said,
[00:11:00.940 --> 00:11:04.140]   well, you know, we're doing this to get something from God,
[00:11:04.140 --> 00:11:08.340]   but at the core of our worship is recognizing who he is
[00:11:08.340 --> 00:11:12.160]   and that he is worthy of worship, okay?
[00:11:12.160 --> 00:11:13.700]   So, again, the definition of worship
[00:11:13.700 --> 00:11:15.420]   is something that happens when we encounter
[00:11:15.420 --> 00:11:17.040]   something greater than us.
[00:11:17.040 --> 00:11:24.220]   So, if we have a very trivial view of who God is,
[00:11:24.220 --> 00:11:27.700]   it will directly affect the way you worship God, right?
[00:11:27.700 --> 00:11:31.340]   Worship, by definition, is being in awe
[00:11:31.340 --> 00:11:34.300]   in the presence of something mightier and holier than you.
[00:11:34.300 --> 00:11:38.620]   So, we worship things that we value.
[00:11:38.620 --> 00:11:42.220]   So, if you value basketball superstars,
[00:11:42.220 --> 00:11:43.460]   you end up worshiping that.
[00:11:43.460 --> 00:11:45.460]   If you value money, you end up worshiping that.
[00:11:45.460 --> 00:11:47.700]   Whatever you think that you give value to
[00:11:47.700 --> 00:11:49.660]   is what you end up worshiping, right?
[00:11:49.660 --> 00:11:51.900]   So, at the core of what worship means
[00:11:51.900 --> 00:11:56.360]   is to recognize the value of who God is, right?
[00:11:56.360 --> 00:11:59.180]   So, if the picture of God that we have
[00:11:59.180 --> 00:12:01.020]   is a servant running around,
[00:12:01.020 --> 00:12:03.060]   like doing whatever we ask him to do,
[00:12:03.060 --> 00:12:06.460]   by nature, you're not worshiping him, right?
[00:12:06.460 --> 00:12:09.420]   So, again, why a correct understanding of God
[00:12:09.420 --> 00:12:11.820]   is at the core of true worship.
[00:12:11.820 --> 00:12:15.220]   Without it, you can't really worship God, right?
[00:12:15.220 --> 00:12:17.260]   Again, the greater the object that is being encountered,
[00:12:17.260 --> 00:12:19.100]   greater the response in worship,
[00:12:19.100 --> 00:12:22.100]   and we are creatures created for this very purpose.
[00:12:22.100 --> 00:12:26.380]   So, this is the first,
[00:12:26.380 --> 00:12:30.860]   first vision of our church,
[00:12:30.860 --> 00:12:33.620]   is that more important than anything else at church,
[00:12:33.620 --> 00:12:37.100]   that we want to exalt who he is,
[00:12:37.100 --> 00:12:38.940]   and we want people who are coming to church
[00:12:38.940 --> 00:12:41.540]   for this reason, right?
[00:12:41.540 --> 00:12:44.240]   Our primary reason why we make decisions on certain things
[00:12:44.240 --> 00:12:46.860]   is not so that we can get most people into the door.
[00:12:46.860 --> 00:12:49.500]   We are interested in saving souls.
[00:12:49.500 --> 00:12:52.140]   We want to encourage people, we want to properly train,
[00:12:52.140 --> 00:12:54.300]   all of those things are of interest,
[00:12:54.300 --> 00:12:59.300]   but never to do that with this as a compromise, right?
[00:12:59.300 --> 00:13:02.900]   So, our greatest concern week after week
[00:13:02.900 --> 00:13:05.180]   is God being exalted,
[00:13:05.180 --> 00:13:09.460]   and our people recognizing the God that they worship, right?
[00:13:09.460 --> 00:13:11.620]   That our worship is not centered around you,
[00:13:11.620 --> 00:13:14.700]   it's not centered around me, it's centered around who he is.
[00:13:14.700 --> 00:13:16.580]   So, whatever decisions we make,
[00:13:16.580 --> 00:13:18.360]   philosophical things that we change,
[00:13:18.360 --> 00:13:21.880]   it's primarily because we think it'll honor God,
[00:13:21.880 --> 00:13:24.700]   even if it drives people away, right?
[00:13:24.700 --> 00:13:29.240]   So, again, that's at the core of why we do what we do.
[00:13:29.240 --> 00:13:34.580]   By definition of what worship is, it must be God-centered,
[00:13:34.580 --> 00:13:38.940]   since God is the one we are coming to encounter.
[00:13:38.940 --> 00:13:41.020]   We're not coming to encounter music,
[00:13:41.020 --> 00:13:43.140]   we're not coming to encounter the band,
[00:13:43.140 --> 00:13:45.900]   or even people, right?
[00:13:45.900 --> 00:13:49.100]   And I think it is important,
[00:13:49.100 --> 00:13:51.700]   community is very, very important, right?
[00:13:51.700 --> 00:13:54.320]   But I would say that the greatest thing
[00:13:54.320 --> 00:13:55.440]   that you should be looking for,
[00:13:55.440 --> 00:13:57.260]   let's say you just like, okay, you know,
[00:13:57.260 --> 00:14:00.100]   I'm going out of town and I need to look for a church,
[00:14:00.100 --> 00:14:01.640]   you know, in Florida or something,
[00:14:01.640 --> 00:14:02.920]   like what is the primary thing
[00:14:02.920 --> 00:14:04.180]   that you should be looking for?
[00:14:04.180 --> 00:14:07.700]   Is worship, a place where you can go to worship, right?
[00:14:07.700 --> 00:14:10.500]   First, that should be your first and foremost,
[00:14:10.500 --> 00:14:12.360]   a place where God is exalted,
[00:14:12.360 --> 00:14:16.140]   where people see God as the most,
[00:14:16.140 --> 00:14:17.860]   very, very high view of God,
[00:14:17.860 --> 00:14:20.780]   and then in that context, you wanna find fellowship,
[00:14:20.780 --> 00:14:24.580]   who are seeking God in the same manner, right?
[00:14:24.580 --> 00:14:25.580]   But if you go the other way and say,
[00:14:25.580 --> 00:14:28.600]   oh, I wanna find friends or community
[00:14:28.600 --> 00:14:30.460]   where I can connect with people,
[00:14:30.460 --> 00:14:33.940]   and then hopefully those group of friends that I find
[00:14:33.940 --> 00:14:35.500]   will be exalting God at the same time,
[00:14:35.500 --> 00:14:36.860]   I mean, you're gonna be frustrated
[00:14:36.860 --> 00:14:40.020]   because fellowship is linked to this, okay?
[00:14:40.020 --> 00:14:42.520]   So again, I wanted to, again, for those of you
[00:14:42.520 --> 00:14:44.400]   who have been at our church for a while
[00:14:44.400 --> 00:14:46.960]   and new to the church, you know, again,
[00:14:46.960 --> 00:14:50.200]   to, I mean, I wish I could just spend the whole day
[00:14:50.200 --> 00:14:51.800]   just talking about the importance of this
[00:14:51.800 --> 00:14:53.960]   and why this is so important,
[00:14:53.960 --> 00:14:58.960]   but because we are in a market-driven culture,
[00:14:58.960 --> 00:15:01.960]   we're growing the church and making it big,
[00:15:01.960 --> 00:15:04.040]   and even if it's not making it big,
[00:15:04.040 --> 00:15:07.320]   it's just satisfying the needs of the people, right?
[00:15:07.320 --> 00:15:08.320]   Like, what do you need?
[00:15:08.320 --> 00:15:09.720]   And then survey the church and see,
[00:15:09.720 --> 00:15:12.580]   well, who's unhappy and what are you unhappy about?
[00:15:12.580 --> 00:15:14.080]   And then we survey the people,
[00:15:14.080 --> 00:15:15.440]   and then we try to fix things
[00:15:15.440 --> 00:15:17.680]   so that more people can be happy in the church.
[00:15:17.680 --> 00:15:20.120]   That is not our goal in the church, right?
[00:15:20.120 --> 00:15:23.320]   As leaders and as one of the teachers in the church,
[00:15:23.320 --> 00:15:25.600]   our primary goal is a lot of times you're unsatisfied
[00:15:25.600 --> 00:15:28.340]   because there's something wrong in your heart, right?
[00:15:28.340 --> 00:15:29.680]   You might be desiring something
[00:15:29.680 --> 00:15:32.400]   that God may not be offering you, right?
[00:15:32.400 --> 00:15:34.280]   So I'm not saying that that's always the case,
[00:15:34.280 --> 00:15:36.360]   the leaders are not always right, right?
[00:15:36.360 --> 00:15:38.920]   But our primary concern is making sure
[00:15:38.920 --> 00:15:40.680]   that we're discipling the church
[00:15:40.680 --> 00:15:42.800]   to bring them to Christ first
[00:15:42.800 --> 00:15:45.720]   before we're concerned about anything else, okay?
[00:15:45.720 --> 00:15:50.920]   So the second vision of our church
[00:15:50.920 --> 00:15:54.120]   is to equip the church with God's inerrant word,
[00:15:54.120 --> 00:15:55.760]   and so I worded it a different way
[00:15:55.760 --> 00:15:57.880]   for the sake of this class,
[00:15:57.880 --> 00:15:59.320]   is that we want a God-centered
[00:15:59.320 --> 00:16:01.580]   biblical interpretation and application.
[00:16:01.580 --> 00:16:04.440]   We're not going into scripture doing eisegesis,
[00:16:04.440 --> 00:16:06.400]   meaning like, what do I want?
[00:16:06.400 --> 00:16:07.820]   Like, I want to find comfort,
[00:16:07.820 --> 00:16:11.780]   so you look for scripture that's gonna bring comfort, right?
[00:16:11.780 --> 00:16:12.960]   I survey our church,
[00:16:12.960 --> 00:16:15.540]   and a lot of people are struggling with raising children,
[00:16:15.540 --> 00:16:17.340]   so now I'm gonna go look for passages
[00:16:17.340 --> 00:16:20.200]   so that I can encourage you in raising children, right?
[00:16:20.200 --> 00:16:22.280]   That's not how we interpret the scripture.
[00:16:22.280 --> 00:16:26.400]   Even the way we study the Bible is God-centered, okay?
[00:16:26.400 --> 00:16:28.680]   So let me explain to you what that means.
[00:16:28.680 --> 00:16:34.040]   The scripture says the word of God is God-breathed.
[00:16:34.040 --> 00:16:38.060]   In 2 Timothy 3, 16, all scripture is breathed out by God,
[00:16:38.060 --> 00:16:40.220]   right, all scripture is breathed out by God.
[00:16:40.220 --> 00:16:43.380]   It means that his very breath is in his word.
[00:16:43.380 --> 00:16:47.680]   So what is the primary way that we encounter this God?
[00:16:47.680 --> 00:16:52.320]   Primary way that we encounter this God that we worship
[00:16:52.320 --> 00:16:54.460]   is through the scripture, the primary way.
[00:16:54.460 --> 00:16:56.640]   Does it mean that God can't reveal himself
[00:16:56.640 --> 00:16:59.580]   through circumstances and things that happen in our life?
[00:16:59.580 --> 00:17:01.900]   He can, but the scripture clearly says
[00:17:01.900 --> 00:17:06.380]   the avenue in which we encounter God is through his word,
[00:17:06.380 --> 00:17:08.580]   right, so remember, again,
[00:17:08.580 --> 00:17:09.820]   I'm not gonna go too deep into this
[00:17:09.820 --> 00:17:12.300]   because Pastor Mark is gonna cover it next week,
[00:17:12.300 --> 00:17:16.020]   but remember Peter, James, and John,
[00:17:16.020 --> 00:17:20.380]   when they have an encounter with God at the transfiguration,
[00:17:20.380 --> 00:17:23.340]   right, God says, "This is my son in whom I am well pleased,"
[00:17:23.340 --> 00:17:26.440]   and then when he sees the glory of Christ,
[00:17:26.440 --> 00:17:28.260]   what happens to him, right?
[00:17:28.260 --> 00:17:29.540]   They all fall down in fear.
[00:17:29.540 --> 00:17:31.100]   Remember we talked about that,
[00:17:31.100 --> 00:17:33.940]   the first act of worship when you encounter God,
[00:17:33.940 --> 00:17:36.340]   there's trembling and fear, they recognize their sin.
[00:17:36.340 --> 00:17:38.260]   Well, that's what happened to the three of them,
[00:17:38.260 --> 00:17:40.300]   and afterwards, they're warned.
[00:17:40.300 --> 00:17:43.100]   Remember what they were warned not to do?
[00:17:43.100 --> 00:17:45.980]   Anybody remember?
[00:17:45.980 --> 00:17:48.540]   After they encounter God,
[00:17:48.540 --> 00:17:51.240]   you would expect God to say, "Go tell everybody."
[00:17:51.240 --> 00:17:53.140]   Is that what God tells them?
[00:17:53.140 --> 00:17:55.740]   He said, "Don't tell anybody," right?
[00:17:55.740 --> 00:17:57.500]   He said, "'Cause it wasn't time yet.
[00:17:57.500 --> 00:18:00.940]   "It wasn't time to go and exalt him yet."
[00:18:00.940 --> 00:18:02.700]   So he kinda keeps it quiet,
