
[00:00:00.000 --> 00:00:07.000]   Okay, good morning.
[00:02:17.400 --> 00:02:23.600]   So if you think about it, all around the world, Christians are gathered on Sunday, like us,
[00:02:23.600 --> 00:02:26.080]   to give worship to God.
[00:02:26.080 --> 00:02:30.160]   According to Wikipedia, so take it for what it is and I'm not saying it's accurate, but
[00:02:30.160 --> 00:02:35.520]   I think just to give a kind of a general idea, the number of people who are gathering on
[00:02:35.520 --> 00:02:36.520]   Sunday.
[00:02:36.520 --> 00:02:41.800]   There are 800 to a billion Protestant Christians around the world.
[00:02:41.800 --> 00:02:48.560]   If broken down by region, it would look like 300 million in Sub-Saharan Africa, 260 million
[00:02:48.560 --> 00:02:55.480]   in Americas, 140 million in Asia Pacific, 100 million in Europe, and only 2 million
[00:02:55.480 --> 00:02:58.140]   in mid-north Africa.
[00:02:58.140 --> 00:03:05.240]   So obviously gathering on Sunday is an important Christian tradition, but like any tradition,
[00:03:05.240 --> 00:03:07.720]   it can be just that, a tradition.
[00:03:07.720 --> 00:03:10.960]   We come to church because we have always come to church.
[00:03:10.960 --> 00:03:16.720]   When I was young, before I became a Christian, I told myself that once I grew up that I would
[00:03:16.720 --> 00:03:19.160]   not attend church anymore.
[00:03:19.160 --> 00:03:28.120]   And the reason for that is because my father is pastor, as most of you know, and as a result,
[00:03:28.120 --> 00:03:30.960]   I was attending church all the time, right?
[00:03:30.960 --> 00:03:36.520]   Since I was born, even before I was born in my mother's womb, I was attending church service.
[00:03:36.520 --> 00:03:43.520]   So church attendance for me was just something that I had to do.
[00:03:43.520 --> 00:03:47.160]   Mostly in America, we went to a small church.
[00:03:47.160 --> 00:03:53.240]   So basically it was our family and maybe an elder's family, so the youth group was very
[00:03:53.240 --> 00:03:58.600]   small, not too much like the way we started here at Berean, right?
[00:03:58.600 --> 00:04:02.720]   So I told myself that I wasn't going to go because I didn't see the purpose behind it.
[00:04:02.720 --> 00:04:05.280]   I didn't see the reason behind going.
[00:04:05.280 --> 00:04:10.120]   It didn't make sense to me because it meant nothing to me other than it was a tradition,
[00:04:10.120 --> 00:04:15.160]   something that I did, something that I had to do on Sunday mornings.
[00:04:15.160 --> 00:04:20.120]   So in the membership covenant, when it says I commit to attending Sunday worship, it means
[00:04:20.120 --> 00:04:23.520]   more than just being at church physically.
[00:04:23.520 --> 00:04:28.920]   It means that we are committing to attendance, but also committing to understanding the reason
[00:04:28.920 --> 00:04:30.780]   for gathering together.
[00:04:30.780 --> 00:04:34.000]   Why do we gather on Sunday and not Saturday?
[00:04:34.000 --> 00:04:38.920]   The Sabbath day, doesn't the Ten Commandments say that we are to observe the Sabbath day?
[00:04:38.920 --> 00:04:42.800]   Exodus 28 says, "Remember the Sabbath day by keeping it holy.
[00:04:42.800 --> 00:04:47.980]   Six days you shall labor and do all your work, but the seventh day is the Sabbath."
[00:04:47.980 --> 00:04:51.200]   Why do we sing songs and hear messages?
[00:04:51.200 --> 00:04:55.360]   Why do we gather as a congregation and not at home alone?
[00:04:55.360 --> 00:05:00.620]   So I'll try to address these questions in some part today.
[00:05:00.620 --> 00:05:04.840]   So at some point when Pastor Peter returns, so we're going to talk about Hebrews, right?
[00:05:04.840 --> 00:05:11.200]   It might take a year or maybe longer or maybe shorter, that he will be expositing Hebrews
[00:05:11.200 --> 00:05:15.800]   10, the passage I'll be spotting and talk about.
[00:05:15.800 --> 00:05:21.300]   So consider this as a shadow of what is to come.
[00:05:21.300 --> 00:05:25.420]   A better preacher, a better message is coming.
[00:05:25.420 --> 00:05:27.520]   So he's coming back.
[00:05:27.520 --> 00:05:31.520]   Okay, so he is coming back.
[00:05:31.520 --> 00:05:35.960]   So let's begin by a word of prayer before we begin the message.
[00:05:35.960 --> 00:05:37.360]   Let's pray.
[00:05:37.360 --> 00:05:42.320]   Dear Heavenly Father, I just want to thank you, Lord God, for this morning as we gather
[00:05:42.320 --> 00:05:44.040]   together.
[00:05:44.040 --> 00:05:50.640]   We are not alone in gathering here, but we have millions and millions of other Protestant
[00:05:50.640 --> 00:05:58.480]   Christians, Lord God, coming together to give worship to you, recognizing and proclaiming
[00:05:58.480 --> 00:06:04.960]   the resurrection of Jesus Christ, that we proclaim who you are and what you've done
[00:06:04.960 --> 00:06:06.360]   on the cross.
[00:06:06.360 --> 00:06:14.360]   We gather together for our own benefit as well, Lord, because we need that you called
[00:06:14.360 --> 00:06:20.960]   us, Lord God, as people of worship, Lord God, that we were made to worship you.
[00:06:20.960 --> 00:06:26.200]   So as we gather together this morning, that you would be with your servant, who is definitely
[00:06:26.200 --> 00:06:33.040]   inadequate to speak this message this morning, but I pray, Father, that you would work through
[00:06:33.040 --> 00:06:39.600]   the preparation and that we would all be blessed this morning, Lord God, by your word.
[00:06:39.600 --> 00:06:42.080]   I want to thank you, Lord, and entrust the time to you.
[00:06:42.080 --> 00:06:43.760]   In Jesus' name I pray.
[00:06:43.760 --> 00:06:44.760]   Amen.
[00:06:44.760 --> 00:06:51.280]   So as a reminder, Hebrew is written to second or third generation Jewish believers who are
[00:06:51.280 --> 00:06:55.800]   thinking of going back to the old covenant ways and its sacrificial system.
[00:06:55.800 --> 00:07:01.120]   The book of Hebrews is an encouragement and a warning.
[00:07:01.120 --> 00:07:07.600]   An encouragement to those who are being persecuted to persevere, because there was severe persecution
[00:07:07.600 --> 00:07:12.240]   going on, some because of the persecution, was falling back.
[00:07:12.240 --> 00:07:16.720]   This is also, the book of Hebrews is also a warning to those who are drifting and who
[00:07:16.720 --> 00:07:20.880]   have neglected the great salvation they have received.
[00:07:20.880 --> 00:07:27.560]   They have forgotten the greatness of Christ's death and sacrifice on the cross and started
[00:07:27.560 --> 00:07:32.040]   to embrace the shadow instead of the real.
[00:07:32.040 --> 00:07:37.360]   The warning of drifting is a warning that is so relevant to us today, right?
[00:07:37.360 --> 00:07:41.340]   There's so much distraction around us, especially this time of the year, right?
[00:07:41.340 --> 00:07:43.720]   We just got through Thanksgiving.
[00:07:43.720 --> 00:07:46.760]   Black Friday doesn't start on Friday anymore, right?
[00:07:46.760 --> 00:07:50.960]   It starts on Thursday, Thursday night.
[00:07:50.960 --> 00:07:54.440]   Black Friday is not enough, so we have Cyber Monday.
[00:07:54.440 --> 00:08:00.960]   Some of you are getting ready to do your Christmas shopping at work, right?
[00:08:00.960 --> 00:08:06.320]   So this is also a big movie time, a lot of big bluster movies, because people are spending
[00:08:06.320 --> 00:08:07.760]   money.
[00:08:07.760 --> 00:08:10.440]   So the last Star Wars is coming out, right?
[00:08:10.440 --> 00:08:15.320]   The final trilogy before another one is made, right?
[00:08:15.320 --> 00:08:20.560]   You have Disney+ that came out, the streaming service, free seven-day trial.
[00:08:20.560 --> 00:08:23.560]   I got sucked into that, right?
[00:08:23.560 --> 00:08:24.560]   A lot of the parents, right?
[00:08:24.560 --> 00:08:28.580]   We got to see some Disney movies this holiday.
[00:08:28.580 --> 00:08:32.560]   So if you're a sports fan, right, we have sports galore.
[00:08:32.560 --> 00:08:36.080]   You have the college football championships, you know, coming together.
[00:08:36.080 --> 00:08:38.120]   Who's going to play in the final four?
[00:08:38.120 --> 00:08:39.960]   NFL playoffs, right?
[00:08:39.960 --> 00:08:46.240]   Now football is becoming more, because the championships are coming, the playoffs are
[00:08:46.240 --> 00:08:47.720]   coming, right?
[00:08:47.720 --> 00:08:51.240]   And then some of you who play fantasy football, right?
[00:08:51.240 --> 00:08:56.240]   The end is coming, you're going to win that championship, the little prize that you get,
[00:08:56.240 --> 00:09:00.360]   I guess, to say you're better than your friends.
[00:09:00.360 --> 00:09:02.600]   Lakers versus Clippers are coming this Christmas Day.
[00:09:02.600 --> 00:09:04.360]   I'm actually excited, right?
[00:09:04.360 --> 00:09:07.500]   Lakers finally, for a long time, is relevant.
[00:09:07.500 --> 00:09:08.500]   Looking forward to that.
[00:09:08.500 --> 00:09:11.920]   It's a great time of the year to be a sports fan, right?
[00:09:11.920 --> 00:09:15.320]   And people are traveling to see family or going on vacation.
[00:09:15.320 --> 00:09:20.080]   If you love to ski, right, you're looking for that storm like we had and waiting to
[00:09:20.080 --> 00:09:24.040]   go up and put on your skis and hit the slopes.
[00:09:24.040 --> 00:09:28.760]   And I can go on and on and on, and there's nothing wrong with any of this.
[00:09:28.760 --> 00:09:34.440]   However, they are all distractions, and if we are not careful, these things can cause
[00:09:34.440 --> 00:09:37.080]   us to drift.
[00:09:37.080 --> 00:09:43.520]   That's why are you not glad that in the sea of distractions that once a week we set aside
[00:09:43.520 --> 00:09:50.100]   Sunday to gather at the body of Christ to sing songs, hear God's Word, and fellowship
[00:09:50.100 --> 00:09:51.820]   with other believers.
[00:09:51.820 --> 00:09:58.220]   It's a day of rest for us.
[00:09:58.220 --> 00:10:02.700]   So Elder Joe read the passage this morning, but I'd like to focus first on the first two
[00:10:02.700 --> 00:10:07.140]   verses of Hebrews 10, 19 and 20.
[00:10:07.140 --> 00:10:14.460]   "Therefore, brethren, since we have confidence to enter the holy place by the blood of Jesus,
[00:10:14.460 --> 00:10:21.260]   by a new and living way which he inaugurated for us through the veil that is his flesh."
[00:10:21.260 --> 00:10:26.420]   So when we see the phrase, "since we have confidence to enter the holy place," it reminds
[00:10:26.420 --> 00:10:30.620]   the reader of Hebrews chapter 4 about entering his rest.
[00:10:30.620 --> 00:10:38.140]   And Pastor Peter preached the sermon on Hebrews chapter 4, 1 through 10 about this rest in
[00:10:38.140 --> 00:10:42.700]   July, and it was very deep in theology.
[00:10:42.700 --> 00:10:50.020]   I hope many of you were blessed, and I commend you to continue to review that message, because
[00:10:50.020 --> 00:10:54.780]   it's rich and blesses the content really a blessing.
[00:10:54.780 --> 00:11:01.740]   So this, the Hebrews chapter 4 is a reference to Genesis chapter 2, the rest, right, that
[00:11:01.740 --> 00:11:04.580]   occurred in creation.
[00:11:04.580 --> 00:11:10.740]   God in six days created the heavens and the earth, all of its worth, right?
[00:11:10.740 --> 00:11:16.820]   In Genesis 31, just before chapter 2, God makes all creation, he says, "it was very
[00:11:16.820 --> 00:11:17.820]   good."
[00:11:17.820 --> 00:11:20.460]   He looked at his creation, he said, "it was very good."
[00:11:20.460 --> 00:11:28.060]   And he set aside the seventh day to rest, and he blessed it and set it aside as being
[00:11:28.060 --> 00:11:31.460]   holy, right, as being holy.
[00:11:31.460 --> 00:11:41.740]   But because of the fall, as Pastor Peter preached, because of the fall, the rest became restlessness.
[00:11:41.740 --> 00:11:47.340]   So the command of observing the Sabbath is given to the nation of Israel at Mount Sinai
[00:11:47.340 --> 00:11:48.860]   through Moses.
[00:11:48.860 --> 00:11:53.100]   Sabbath, the word Sabbath doesn't come on in Genesis chapter 2.
[00:11:53.100 --> 00:11:58.380]   It first comes up in Exodus when the law is being given.
[00:11:58.380 --> 00:12:06.740]   So we see the connection of the Sabbath and of Jesus Christ, right, when the law is given,
[00:12:06.740 --> 00:12:12.180]   the law is given to observe the Sabbath.
[00:12:12.180 --> 00:12:19.580]   So we see that the rest that is talked about in the Sabbath rest, the rest that is in Genesis
[00:12:19.580 --> 00:12:23.860]   chapter 2, is the rest that comes only through Jesus Christ.
[00:12:23.860 --> 00:12:29.500]   Matthew 11, 28 to 30, it says, "Come to me, all who are weary and heavy laden, I will
[00:12:29.500 --> 00:12:30.900]   give you rest.
[00:12:30.900 --> 00:12:35.660]   Take my yoke upon you and learn from me, for I am gentle and humble in heart, and you will
[00:12:35.660 --> 00:12:42.740]   find rest for your souls, for my yoke is easy and my burden is light."
[00:12:42.740 --> 00:12:48.380]   I just want to make one statement here, that I gave my outline, and since I gave my outline,
[00:12:48.380 --> 00:12:51.900]   all the verses are there, but I might have moved it around, okay.
[00:12:51.900 --> 00:12:56.500]   So I know somebody who follows along, okay, don't get freaked out, okay, if somehow the
[00:12:56.500 --> 00:12:57.820]   passages are moved around.
[00:12:57.820 --> 00:13:03.980]   Alright, so just in general the passages are there, don't freak out, but just hear the
[00:13:03.980 --> 00:13:06.900]   word, okay.
[00:13:06.900 --> 00:13:11.420]   So the Sabbath, like our Sunday, was a day of rest for the nation of Israel, but it was
[00:13:11.420 --> 00:13:15.020]   anything but rest, right.
[00:13:15.020 --> 00:13:21.260]   Jesus is a rest, and because of the sin, there was restlessness in man.
[00:13:21.260 --> 00:13:28.380]   So Sabbath Sunday, although the command is to rest, there was no real rest for the nation
[00:13:28.380 --> 00:13:29.380]   of Israel.
[00:13:29.380 --> 00:13:34.340]   So under the old covenant with Israel, the Sabbath day was extremely strict.
[00:13:34.340 --> 00:13:39.900]   Not only was no work to be done by the Israelites and their children, they also were to give
[00:13:39.900 --> 00:13:46.600]   rest to all their household servants, livestock, even sojourners, right, sojourners, so visitors.
[00:13:46.600 --> 00:13:53.280]   So if you think about it, if you're livestock and you're slaves and no one is to work, and
[00:13:53.280 --> 00:13:54.760]   think about the livelihood.
[00:13:54.760 --> 00:14:02.320]   For these people, this is their livelihood, that to take a break and to do no work is
[00:14:02.320 --> 00:14:05.080]   not easy, if you think about it.
[00:14:05.080 --> 00:14:08.320]   Because I'm pretty sure they're thinking about, "Oh, who's going to feed this, who's going
[00:14:08.320 --> 00:14:10.360]   to do that, how are we going to take care of this?"
[00:14:10.360 --> 00:14:13.400]   Maybe some of you who are busy at work, that's what you're thinking about.
[00:14:13.400 --> 00:14:19.400]   Even though it's vacation, you can't take a break because there's work to do.
[00:14:19.400 --> 00:14:23.600]   So I liken this maybe to Chick-fil-A, that they close on Sunday.
[00:14:23.600 --> 00:14:29.520]   It's not an easy thing to do, but they do it and God has blessed them for it.
[00:14:29.520 --> 00:14:34.400]   So it's not easy to rest when there still is work to do.
[00:14:34.400 --> 00:14:38.360]   So God even gave regulatory laws over what could and could not be done.
[00:14:38.360 --> 00:14:44.640]   For example, if one even went out to gather sticks on the Sabbath in order to kindle fire,
[00:14:44.640 --> 00:14:47.520]   he was to be put to death.
[00:14:47.520 --> 00:14:53.060]   So you're in the desert, it's cold, you need to warm up, you want to go out and you want
[00:14:53.060 --> 00:14:54.060]   to grab sticks.
[00:14:54.060 --> 00:14:55.880]   Well, there was a guy who did that.
[00:14:55.880 --> 00:14:58.680]   He worked on the Sabbath and he was put to death.
[00:14:58.680 --> 00:15:00.320]   It seems very extreme.
[00:15:00.320 --> 00:15:03.560]   That was the old covenant.
[00:15:03.560 --> 00:15:08.800]   And I used to work for an Arab Jew when I was in college, and I remember coming to work
[00:15:08.800 --> 00:15:11.080]   on Saturday and he happened to show up.
[00:15:11.080 --> 00:15:15.680]   He said, "I normally don't work on Saturday because it's the Sabbath."
[00:15:15.680 --> 00:15:19.040]   But he said, "Oh, I'm a bad Jew."
[00:15:19.040 --> 00:15:20.040]   And I said, "Why?
[00:15:20.040 --> 00:15:21.280]   Why do you call yourself a bad Jew?"
[00:15:21.280 --> 00:15:26.080]   And he said, "Well, you know, on the Sabbath there's about over 600 things I'm not supposed
[00:15:26.080 --> 00:15:27.080]   to do."
[00:15:27.080 --> 00:15:30.280]   So I said, "Okay, of the 600, how many do you comply with?"
[00:15:30.280 --> 00:15:32.080]   He said, "Two.
[00:15:32.080 --> 00:15:33.080]   That's it.
[00:15:33.080 --> 00:15:38.680]   Not working on Saturday and maybe not eating meat on a particular day."
[00:15:38.680 --> 00:15:39.840]   So it's hard to do.
[00:15:39.840 --> 00:15:42.600]   There's all these regulations, right?
[00:15:42.600 --> 00:15:46.560]   Even though it was commanded to rest, there was no real rest.
[00:15:46.560 --> 00:15:51.880]   If Israel was commanded to rest on the Sabbath, but they could not because of all the laws
[00:15:51.880 --> 00:16:00.960]   and regulations they had to observe, and the penalty if they did not, so in the end, what
[00:16:00.960 --> 00:16:04.360]   was the purpose of the Sabbath?
[00:16:04.360 --> 00:16:10.200]   So that takes us to our first point in the sermon, which is that the Sabbath was a reminder
[00:16:10.200 --> 00:16:15.320]   to Israel that sin separated man from God.
[00:16:15.320 --> 00:16:23.800]   And there's nothing more illustrative of this fact than the Day of Atonement.
[00:16:23.800 --> 00:16:28.960]   So the Day of Atonement was a central point of the book of Leviticus.
[00:16:28.960 --> 00:16:30.200]   How do we know that?
[00:16:30.200 --> 00:16:34.400]   And during our Bible study on Leviticus, some of you are part of that, some of you are not,
[00:16:34.400 --> 00:16:40.160]   we learned that Leviticus is written in what's called a chiastic structure.
[00:16:40.160 --> 00:16:45.200]   And what the chiastic structure is, you kind of bookend, or you can kind of see it as a
[00:16:45.200 --> 00:16:51.600]   pyramid, that you start off and there's another bookend, and in the middle of another bookend
[00:16:51.600 --> 00:16:58.120]   there's a parallel passage, and in the end, the central point that does not have a parallel
[00:16:58.120 --> 00:17:01.000]   passage in the book is the main point.
[00:17:01.000 --> 00:17:04.520]   And that's how the book of Leviticus is divided.
[00:17:04.520 --> 00:17:15.080]   So the ritual ceremonies are discussed in chapter 1 through 7, as well as 23 to 27,
[00:17:15.080 --> 00:17:23.640]   then priesthood 8 to 10, 21 to 22, purity 11 to 15, and 10 to 20.
[00:17:23.640 --> 00:17:25.480]   So it's kind of bookending.
[00:17:25.480 --> 00:17:32.320]   And then chapter 16, the Day of Atonement, is the only chapter there is no parallel to.
[00:17:32.320 --> 00:17:33.320]   There's no parallel.
[00:17:33.320 --> 00:17:43.840]   So you see that the main point of the book of Leviticus is this day in chapter 16.
[00:17:43.840 --> 00:17:48.080]   So I don't want to spend too much time on this, but as a reminder of what we learned,
[00:17:48.080 --> 00:17:53.640]   I have some pictures to help us, I hope, to visualize the tabernacle, if that's up, if
[00:17:53.640 --> 00:17:54.640]   not.
[00:17:54.640 --> 00:17:57.080]   Okay, there you go.
[00:17:57.080 --> 00:17:58.080]   So that was the tabernacle.
[00:17:58.080 --> 00:17:59.960]   Can I get to the next one?
[00:17:59.960 --> 00:18:06.320]   All right, so this is how the tabernacle is set up.
[00:18:06.320 --> 00:18:13.200]   So you have the altar, burnt incense, and the laver where they wash up.
[00:18:13.200 --> 00:18:16.440]   And then as soon as you go into the first tent in the Tent of Meeting, that's the holy
[00:18:16.440 --> 00:18:17.440]   place.
[00:18:17.440 --> 00:18:26.320]   And then behind the second room is the Holy of Holies, where the Ark of the Covenant and
[00:18:26.320 --> 00:18:28.200]   the Mercy Seat is.
[00:18:28.200 --> 00:18:30.960]   That symbolizes the presence of God.
[00:18:30.960 --> 00:18:35.120]   So on the Day of Atonement, when it's talking about entering, and even the Hebrews, about
[00:18:35.120 --> 00:18:41.360]   entering his holy place, that is what it's talking about, being able to enter that room,
[00:18:41.360 --> 00:18:45.060]   in the presence of God.
[00:18:45.060 --> 00:18:52.440]   So to get an idea what Israel had to do, so now in Leviticus, that talks about the law,
[00:18:52.440 --> 00:19:00.120]   the ceremonial religious law, and chapter 16 being the main focus, and the center, let
[00:19:00.120 --> 00:19:04.680]   me quickly go through what the high priest had to do.
[00:19:04.680 --> 00:19:10.880]   Because the high priest is the only one, once a year, who's able to enter in that room.
[00:19:10.880 --> 00:19:18.680]   And even when he enters, he has no confidence that he's going to survive because of the
[00:19:18.680 --> 00:19:22.800]   separation between God and man because of sin.
[00:19:22.800 --> 00:19:30.360]   So the high priest, first of all, is to take a bowl and sacrifice it for his own sin, and
[00:19:30.360 --> 00:19:35.240]   even before that he had to prepare himself by washing, and also putting a special robe
[00:19:35.240 --> 00:19:36.400]   on.
[00:19:36.400 --> 00:19:44.520]   So once he gets a bowl and gives a sin offering for the sins of himself and for his family,
[00:19:44.520 --> 00:19:51.600]   he's also to take a censer full of coals, a fire from the altar, two handfuls of sweet
[00:19:51.600 --> 00:19:57.080]   incense, beat in small and bring it inside the veil, so he would go inside the veil,
[00:19:57.080 --> 00:20:01.060]   put it on the fire before the Lord, so the smoke is rising.
[00:20:01.060 --> 00:20:07.440]   He has to do that so that when the presence of God is there, that he is not killed, because
[00:20:07.440 --> 00:20:11.280]   he's not to view the face of God, right?
[00:20:11.280 --> 00:20:13.960]   Because he is so holy.
[00:20:13.960 --> 00:20:18.640]   So he has to do that for his own safety, basically.
[00:20:18.640 --> 00:20:21.560]   And all this is done to cover the mercy seat, right?
[00:20:21.560 --> 00:20:26.520]   He takes the blood and he sprinkles it, the smoke is there, right?
[00:20:26.520 --> 00:20:32.000]   And then blood of the bowl is sprinkled with his fingers from the mercy seat on front of
[00:20:32.000 --> 00:20:34.540]   the east side seven times.
[00:20:34.540 --> 00:20:41.360]   See how intricate and accurate it is that if he does not follow the letter of the law,
[00:20:41.360 --> 00:20:43.560]   then his life is in danger.
[00:20:43.560 --> 00:20:48.840]   And after that, he would take two goats, take them to the entrance of the tent of meeting,
[00:20:48.840 --> 00:20:52.920]   that's just before you get into the holy place.
[00:20:52.920 --> 00:20:59.280]   Lots are cast to see which goat is chosen to be the goat for the Lord.
[00:20:59.280 --> 00:21:04.080]   That's the one that's sacrificed for the sin, right, for the sins of the nation of Israel.
[00:21:04.080 --> 00:21:10.520]   The other one is chosen as a scapegoat, specifically to Azazel.
[00:21:10.520 --> 00:21:14.160]   And the one that the law fell to the Lord is used for all for sin offering.
[00:21:14.160 --> 00:21:20.320]   And the same thing is done, the blood is taken, sprinkled, right, as the high priest did for
[00:21:20.320 --> 00:21:22.440]   his own, the blood of bowls.
[00:21:22.440 --> 00:21:26.640]   He does that for the blood with the goat, right?
[00:21:26.640 --> 00:21:36.040]   Then afterwards, then he would take the scapegoat and pray over or put his hand over the goat
[00:21:36.040 --> 00:21:42.560]   and speak the sins of the nation of Israel, and then after that they would release it
[00:21:42.560 --> 00:21:51.720]   outside the camp, symbolizing sin being taken away from the nation, sin being atoned for.
[00:21:51.720 --> 00:21:59.440]   And then in chapter, and then at the end, 29 to 34, it kind of summarizes the point
[00:21:59.440 --> 00:22:03.840]   and the purpose of the day of atonement.
[00:22:03.840 --> 00:22:10.040]   So in Leviticus 16, 29 to 31, this is what it says, read that, "This shall be a permanent
[00:22:10.040 --> 00:22:13.600]   statute for you in the seventh month on the tenth day of the month.
[00:22:13.600 --> 00:22:18.920]   You shall humble your souls and not do any work, whether the native or the alien who
[00:22:18.920 --> 00:22:20.120]   sojourns among you.
[00:22:20.120 --> 00:22:25.080]   For it is on this day that atonement shall be made for you to cleanse you.
[00:22:25.080 --> 00:22:28.620]   You will be clean from all your sins before the Lord.
[00:22:28.620 --> 00:22:33.600]   It is to be a Sabbath of solemn rest for you, that you may humble your souls.
[00:22:33.600 --> 00:22:36.520]   It is a permanent statute."
[00:22:36.520 --> 00:22:45.280]   So in the summary of the day of atonement, it is a call, it is called the day of affliction,
[00:22:45.280 --> 00:22:46.280]   suffering in a sense.
[00:22:46.280 --> 00:22:52.760]   It is a day to be cleansed from their sin, for the sins to then, but it doesn't cover
[00:22:52.760 --> 00:22:54.620]   ongoing sins.
[00:22:54.620 --> 00:22:58.040]   It is a Sabbath of also a solemn rest, right?
[00:22:58.040 --> 00:23:04.960]   And also, you see the word Sabbath here, it was a solemn rest of remembrance.
[00:23:04.960 --> 00:23:11.080]   So in the scripture, the Sabbath always looked back to the original creation.
[00:23:11.080 --> 00:23:16.600]   So if you think about it, at this point, especially on the day of atonement, looking back to the
[00:23:16.600 --> 00:23:21.680]   creation, Genesis chapter 2, and the rest God gave, right, commanded on the seventh
[00:23:21.680 --> 00:23:28.640]   day to rest, it really is a reminder of the fall, because they lost the communion, right?
[00:23:28.640 --> 00:23:31.640]   Adam and Eve had communion with God.
[00:23:31.640 --> 00:23:37.000]   There was no reason to sacrifice animals to come before him, to come near to him, draw
[00:23:37.000 --> 00:23:43.200]   to him, but now because of the fall, Sabbath has become a reminder of what had happened.
[00:23:43.200 --> 00:23:50.200]   It also is a foreshadowing, right, of the coming Messiah who will restore them to the
[00:23:50.200 --> 00:23:56.000]   original state that they were, they had with the Lord.
[00:23:56.000 --> 00:24:01.600]   That is why in Hebrews 10 it says, "For the law, since it has only a shadow of the good
[00:24:01.600 --> 00:24:07.600]   things to come, and not the very form of things, can never, by the same sacrifices which they
[00:24:07.600 --> 00:24:14.000]   offer continually, year by year, make perfect those who draw near."
[00:24:14.000 --> 00:24:20.280]   So the whole purpose of the day of atonement was the ability for sinful Israel to be drawn
[00:24:20.280 --> 00:24:27.960]   near to God, and only the high priest is able to do it once a year, only after killing a
[00:24:27.960 --> 00:24:35.760]   bull, taking its blood for his own sins and his family, and also killing a goat, and spreading
[00:24:35.760 --> 00:24:43.060]   the blood, and cleansing, and atoning for the nation of Israel, then he could enter,
[00:24:43.060 --> 00:24:48.840]   not in confidence, but in fear, because if he did not follow every part of the law, he
[00:24:48.840 --> 00:24:50.080]   was going to be killed.
[00:24:50.080 --> 00:24:56.960]   And that is to the extent Israel could have a relationship with God, right, other than
[00:24:56.960 --> 00:24:59.680]   the law itself.
[00:24:59.680 --> 00:25:06.240]   So but in this day was repeated over and over and over, it was a perpetual covenant with
[00:25:06.240 --> 00:25:09.480]   God that they were to do this every year.
[00:25:09.480 --> 00:25:14.480]   So if the atonement is a reminder of sins to cover the sins that they've committed,
[00:25:14.480 --> 00:25:18.160]   and if you have to do this every year, what does that say?
[00:25:18.160 --> 00:25:24.680]   It means that it's inadequate, right, that we continue, that sin is always in our lives,
[00:25:24.680 --> 00:25:29.160]   that we are sinners, so that's why it is a shadow of what was to come, which was Jesus
[00:25:29.160 --> 00:25:31.840]   Christ.
[00:25:31.840 --> 00:25:37.000]   So the sacrifices of animals and all the ceremony system was a shadow of what was to come, which
[00:25:37.000 --> 00:25:38.820]   is Jesus Christ.
[00:25:38.820 --> 00:25:44.600]   The yearly ritual of the Day of Atonement could not make perfect those who came near.
