
[00:00:00.000 --> 00:00:02.500]   (organ music)
[00:11:22.780 --> 00:11:26.780]   (audience chatter)
[00:11:26.780 --> 00:11:30.780]   (audience chatter)
[00:11:30.780 --> 00:11:34.780]   (audience chatter)
[00:11:34.780 --> 00:11:38.780]   (audience chatter)
[00:11:38.780 --> 00:11:42.780]   (audience chatter)
[00:11:43.780 --> 00:11:46.780]   (audience chatter)
[00:11:46.780 --> 00:11:50.780]   (audience chatter)
[00:11:50.780 --> 00:11:54.780]   (audience chatter)
[00:11:54.780 --> 00:11:58.780]   (audience chatter)
[00:11:58.780 --> 00:12:02.780]   (audience chatter)
[00:12:02.780 --> 00:12:06.780]   (audience chatter)
[00:12:06.780 --> 00:12:10.780]   (audience chatter)
[00:12:11.780 --> 00:12:14.780]   (audience chatter)
[00:12:14.780 --> 00:12:18.780]   (audience chatter)
[00:12:18.780 --> 00:12:22.780]   (audience chatter)
[00:12:22.780 --> 00:12:26.780]   (audience chatter)
[00:12:26.780 --> 00:12:30.780]   (audience chatter)
[00:12:30.780 --> 00:12:34.780]   (audience chatter)
[00:12:34.780 --> 00:12:38.780]   (audience chatter)
[00:12:39.780 --> 00:12:42.780]   (audience chatter)
[00:12:42.780 --> 00:12:46.780]   (audience chatter)
[00:12:46.780 --> 00:12:50.780]   (audience chatter)
[00:12:50.780 --> 00:12:54.780]   (audience chatter)
[00:12:54.780 --> 00:12:58.780]   (audience chatter)
[00:12:58.780 --> 00:13:02.780]   (audience chatter)
[00:13:02.780 --> 00:13:06.780]   (audience chatter)
[00:13:07.780 --> 00:13:10.780]   (audience chatter)
[00:13:10.780 --> 00:13:14.780]   (audience chatter)
[00:13:14.780 --> 00:13:18.780]   (audience chatter)
[00:13:18.780 --> 00:13:22.780]   (audience chatter)
[00:13:22.780 --> 00:13:26.780]   (audience chatter)
[00:13:26.780 --> 00:13:30.780]   (audience chatter)
[00:13:30.780 --> 00:13:34.780]   (audience chatter)
[00:13:35.780 --> 00:13:38.780]   (audience chatter)
[00:13:38.780 --> 00:13:42.780]   (audience chatter)
[00:13:42.780 --> 00:13:46.780]   (audience chatter)
[00:13:46.780 --> 00:13:50.780]   (audience chatter)
[00:13:50.780 --> 00:13:54.780]   (audience chatter)
[00:13:54.780 --> 00:13:58.780]   (audience chatter)
[00:13:58.780 --> 00:14:02.780]   (audience chatter)
[00:14:03.780 --> 00:14:06.780]   (audience chatter)
[00:14:06.780 --> 00:14:10.780]   (audience chatter)
[00:14:10.780 --> 00:14:14.780]   (audience chatter)
[00:14:14.780 --> 00:14:18.780]   (audience chatter)
[00:14:18.780 --> 00:14:22.780]   (audience chatter)
[00:14:22.780 --> 00:14:26.780]   (audience chatter)
[00:14:26.780 --> 00:14:30.780]   (audience chatter)
[00:14:31.780 --> 00:14:34.780]   (audience chatter)
[00:14:34.780 --> 00:14:38.780]   (audience chatter)
[00:14:38.780 --> 00:14:42.780]   (audience chatter)
[00:14:42.780 --> 00:14:46.780]   (audience chatter)
[00:14:46.780 --> 00:14:50.780]   (audience chatter)
[00:14:50.780 --> 00:14:54.780]   (audience chatter)
[00:14:54.780 --> 00:14:58.780]   (audience chatter)
[00:14:59.780 --> 00:15:02.780]   (audience chatter)
[00:15:02.780 --> 00:15:06.780]   (audience chatter)
[00:15:06.780 --> 00:15:10.780]   (audience chatter)
[00:15:10.780 --> 00:15:14.780]   (audience chatter)
[00:15:14.780 --> 00:15:18.780]   (audience chatter)
[00:15:18.780 --> 00:15:22.780]   - Church family, let's go ahead and pray together
[00:15:22.780 --> 00:15:24.780]   as we come before God.
[00:15:26.780 --> 00:15:29.780]   Gracious God, we thank you for tonight.
[00:15:29.780 --> 00:15:34.780]   We desire, Lord God, to humble ourselves
[00:15:34.780 --> 00:15:38.780]   as we approach a holy, holy, holy God,
[00:15:38.780 --> 00:15:42.780]   that we come with reverence, we come with awe,
[00:15:42.780 --> 00:15:45.780]   and we come, Lord God, with joy
[00:15:45.780 --> 00:15:49.780]   because we have been reconciled by the blood of Christ.
[00:15:49.780 --> 00:15:54.780]   As we spend time today singing,
[00:15:55.780 --> 00:15:59.780]   as we spend time praying for ourselves,
[00:15:59.780 --> 00:16:01.780]   for others around us,
[00:16:01.780 --> 00:16:06.780]   Lord, we ask for softened hearts.
[00:16:06.780 --> 00:16:11.780]   We ask for a perspective, Lord,
[00:16:11.780 --> 00:16:16.780]   that we have very limited control of things around us.
[00:16:16.780 --> 00:16:21.780]   So I pray, Lord God, that you give us the right perspective,
[00:16:21.780 --> 00:16:24.780]   that you are God and we are not.
[00:16:24.780 --> 00:16:27.780]   I pray, Lord God, that our hearts may be filled
[00:16:27.780 --> 00:16:32.780]   with a continuing knowledge of who we serve,
[00:16:32.780 --> 00:16:35.780]   who we give adoration to.
[00:16:35.780 --> 00:16:40.780]   So I pray that this night may be a night filled with joy
[00:16:40.780 --> 00:16:45.780]   as well as remembrance of the grace that we get.
[00:16:45.780 --> 00:16:48.780]   So I pray for everyone here
[00:16:49.780 --> 00:16:52.780]   that we may be eager, focused,
[00:16:52.780 --> 00:16:56.780]   and motivated to honor you with our lips,
[00:16:56.780 --> 00:16:59.780]   with our hearts, with everything.
[00:16:59.780 --> 00:17:02.780]   So we thank you, Lord God, for the time that you give
[00:17:02.780 --> 00:17:04.780]   for us to gather as a corporate body of Christ.
[00:17:04.780 --> 00:17:08.780]   May it be a blessing, may it be sweet,
[00:17:08.780 --> 00:17:11.780]   may it ultimately bring you joy.
[00:17:11.780 --> 00:17:13.780]   It's in Christ and we pray, amen.
[00:17:13.780 --> 00:17:16.780]   Church family, why don't we stand together?
[00:17:16.780 --> 00:17:18.780]   So we're gonna change up a little bit of the format
[00:17:18.780 --> 00:17:20.780]   of our praise and prayer tonight.
[00:17:20.780 --> 00:17:23.780]   We're gonna sing more time, spend more time praising,
[00:17:23.780 --> 00:17:26.780]   and then we'll transition into prayer time.
[00:17:26.780 --> 00:17:35.780]   ♪ The love of God is greater far ♪
[00:17:35.780 --> 00:17:42.780]   ♪ Than tongue or pen can ever tell ♪
[00:17:43.780 --> 00:17:49.780]   ♪ It goes beyond the highest star ♪
[00:17:49.780 --> 00:17:56.780]   ♪ And reaches to the lowest hell ♪
[00:17:56.780 --> 00:18:02.780]   ♪ The guilty pair bow down with care ♪
[00:18:02.780 --> 00:18:12.780]   ♪ God gave his son to win his erring child ♪
[00:18:13.780 --> 00:18:22.780]   ♪ Here reconcile and pardon from his sin ♪
[00:18:22.780 --> 00:18:30.780]   Sing it all together, one year.
[00:18:30.780 --> 00:18:39.780]   ♪ When years of time shall pass away ♪
[00:18:40.780 --> 00:18:46.780]   ♪ And earthly thrones and kingdoms fall ♪
[00:18:46.780 --> 00:18:52.780]   ♪ When men who hear refuse to pray ♪
[00:18:52.780 --> 00:18:59.780]   ♪ On rocks and hills and mountain tops ♪
[00:18:59.780 --> 00:19:06.780]   ♪ God's love so sure shall still endure ♪
[00:19:07.780 --> 00:19:13.780]   ♪ How measureless and strong ♪
[00:19:13.780 --> 00:19:19.780]   ♪ Renaming grace to Adam's race ♪
[00:19:19.780 --> 00:19:25.780]   ♪ The saints and angels ♪
[00:19:25.780 --> 00:19:29.780]   ♪ Oh love of God ♪
[00:19:29.780 --> 00:19:33.780]   ♪ How rich and pure ♪
[00:19:34.780 --> 00:19:39.780]   ♪ How measureless and strong ♪
[00:19:39.780 --> 00:19:46.780]   ♪ And shall forevermore endure ♪
[00:19:46.780 --> 00:19:52.780]   ♪ The saints and angels ♪
[00:19:52.780 --> 00:19:55.780]   (upbeat music)
[00:19:55.780 --> 00:20:09.780]   ♪ Coming within the ocean filled ♪
[00:20:09.780 --> 00:20:16.780]   ♪ And were the skies of parchment made ♪
[00:20:17.780 --> 00:20:22.780]   ♪ For every star on earth a quill ♪
[00:20:22.780 --> 00:20:29.780]   ♪ And every man a sky by which to write ♪
[00:20:29.780 --> 00:20:36.780]   ♪ To write the love of God above ♪
[00:20:36.780 --> 00:20:42.780]   ♪ Withdrawing the ocean dry ♪
[00:20:43.780 --> 00:20:49.780]   ♪ Your goodness God contain the whole ♪
[00:20:49.780 --> 00:20:56.780]   ♪ The stretch from sky to the love of God ♪
[00:20:56.780 --> 00:20:59.780]   ♪ Oh love of God ♪
[00:20:59.780 --> 00:21:02.780]   ♪ How rich and pure ♪
[00:21:02.780 --> 00:21:09.780]   ♪ How measureless and strong ♪
[00:21:10.780 --> 00:21:16.780]   ♪ And shall forevermore endure ♪
[00:21:16.780 --> 00:21:22.780]   ♪ The saints and angels ♪
[00:21:22.780 --> 00:21:26.780]   ♪ Oh love of God ♪
[00:21:26.780 --> 00:21:29.780]   ♪ How rich and pure ♪
[00:21:29.780 --> 00:21:36.780]   ♪ How measureless and strong ♪
[00:21:37.780 --> 00:21:43.780]   ♪ And shall forevermore endure ♪
[00:21:43.780 --> 00:21:49.780]   ♪ The saints and angels ♪
[00:21:49.780 --> 00:21:53.780]   (upbeat music)
[00:22:05.780 --> 00:22:10.780]   ♪ Your grace that leads the sinner home ♪
[00:22:10.780 --> 00:22:16.780]   ♪ From death to life forever ♪
[00:22:16.780 --> 00:22:23.780]   ♪ And sings the song of righteousness ♪
[00:22:23.780 --> 00:22:28.780]   ♪ By blood and not by man ♪
[00:22:28.780 --> 00:22:32.780]   (upbeat music)
[00:22:33.780 --> 00:22:36.780]   (soft music)
[00:22:36.780 --> 00:22:45.780]   ♪ Your grace that reaches far and wide ♪
[00:22:45.780 --> 00:22:51.780]   ♪ To every tribe and nation ♪
[00:22:51.780 --> 00:22:58.780]   ♪ Has called my heart to enter in ♪
[00:22:59.780 --> 00:23:04.780]   ♪ The joy of your salvation ♪
[00:23:04.780 --> 00:23:09.780]   ♪ By grace I am redeemed ♪
[00:23:09.780 --> 00:23:14.780]   ♪ By grace I am restored ♪
[00:23:14.780 --> 00:23:24.780]   ♪ And now I freely walk into the arms of Christ my Lord ♪
[00:23:25.780 --> 00:23:28.780]   (soft music)
[00:23:28.780 --> 00:23:40.780]   ♪ Your grace that I cannot explain ♪
[00:23:40.780 --> 00:23:46.780]   ♪ Dawned by my earthly wisdom ♪
[00:23:46.780 --> 00:23:53.780]   ♪ The prince of life without a stake ♪
[00:23:54.780 --> 00:23:59.780]   ♪ Was traded for this sin ♪
[00:23:59.780 --> 00:24:04.780]   ♪ By grace I am redeemed ♪
[00:24:04.780 --> 00:24:09.780]   ♪ By grace I am restored ♪
[00:24:09.780 --> 00:24:19.780]   ♪ And now I freely walk into the arms of Christ my Lord ♪
[00:24:20.780 --> 00:24:23.780]   (soft music)
[00:24:23.780 --> 00:24:36.780]   ♪ When I rise up and overflow ♪
[00:24:36.780 --> 00:24:42.780]   ♪ My song will sound forever ♪
[00:24:42.780 --> 00:24:48.780]   ♪ For grace will see me welcomed home ♪
[00:24:49.780 --> 00:24:54.780]   ♪ To walk beside my Savior ♪
[00:24:54.780 --> 00:24:59.780]   ♪ By grace I am redeemed ♪
[00:24:59.780 --> 00:25:04.780]   ♪ By grace I am restored ♪
[00:25:04.780 --> 00:25:14.780]   ♪ And now I freely walk into the arms of Christ my Lord ♪
[00:25:15.780 --> 00:25:19.780]   ♪ By grace I am redeemed ♪
[00:25:19.780 --> 00:25:24.780]   ♪ By grace I am restored ♪
[00:25:24.780 --> 00:25:34.780]   ♪ And now I freely walk into the arms of Christ my Lord ♪
[00:25:35.780 --> 00:25:45.780]   ♪ And now I freely walk into the arms of Christ my Lord ♪
[00:25:45.780 --> 00:25:49.780]   (soft music)
[00:25:49.780 --> 00:25:58.780]   ♪ In Christ alone my hope is found ♪
[00:25:58.780 --> 00:26:02.780]   ♪ He is my light and I stray ♪
[00:26:03.780 --> 00:26:07.780]   ♪ My song this cornerstone ♪
[00:26:07.780 --> 00:26:10.780]   ♪ This solid ground ♪
[00:26:10.780 --> 00:26:15.780]   ♪ Firm through the fiercest drought and storm ♪
[00:26:15.780 --> 00:26:18.780]   ♪ What heights of love ♪
[00:26:18.780 --> 00:26:21.780]   ♪ What depths of peace ♪
[00:26:21.780 --> 00:26:24.780]   ♪ When fears are stilled ♪
[00:26:24.780 --> 00:26:27.780]   ♪ When striving seeks ♪
[00:26:27.780 --> 00:26:30.780]   ♪ My comforter ♪
[00:26:31.780 --> 00:26:37.780]   ♪ When all here in the love of Christ I am ♪
[00:26:37.780 --> 00:26:41.780]   (soft music)
[00:26:56.780 --> 00:27:03.780]   ♪ In Christ alone who took on flesh ♪
[00:27:03.780 --> 00:27:08.780]   ♪ Fullness of God in helpless faith ♪
[00:27:08.780 --> 00:27:14.780]   ♪ This gift of love and righteousness ♪
[00:27:14.780 --> 00:27:19.780]   ♪ Scorned by the ones he came to save ♪
[00:27:20.780 --> 00:27:26.780]   ♪ 'Til on that cross as Jesus died ♪
[00:27:26.780 --> 00:27:31.780]   ♪ The wrath of God was satisfied ♪
[00:27:31.780 --> 00:27:37.780]   ♪ For every sin one who was laid ♪
[00:27:37.780 --> 00:27:43.780]   ♪ Here in the blood of Christ I am ♪
[00:27:43.780 --> 00:27:47.780]   (soft music)
[00:27:48.780 --> 00:27:54.780]   ♪ And in the ground his body lay ♪
[00:27:54.780 --> 00:28:00.780]   ♪ Light of the world by darkness slain ♪
[00:28:00.780 --> 00:28:06.780]   ♪ Then bursting forth in glorious day ♪
[00:28:06.780 --> 00:28:10.780]   ♪ Up from the grave he rose ♪
[00:28:10.780 --> 00:28:12.780]   ♪ And as he stands ♪
[00:28:13.780 --> 00:28:15.780]   ♪ In victory ♪
[00:28:15.780 --> 00:28:21.780]   ♪ His curse has lost its grip on me ♪
[00:28:21.780 --> 00:28:27.780]   ♪ For I am his and he is mine ♪
[00:28:27.780 --> 00:28:33.780]   ♪ Bought with the precious blood of God ♪
[00:28:33.780 --> 00:28:37.780]   (soft music)
[00:28:37.780 --> 00:28:40.780]   (soft music)
[00:28:40.780 --> 00:28:44.780]   ♪ No guilt ♪
[00:28:44.780 --> 00:28:47.780]   ♪ No guilt in life ♪
[00:28:47.780 --> 00:28:50.780]   ♪ No fear in death ♪
[00:28:50.780 --> 00:28:55.780]   ♪ This is the power of Christ in me ♪
[00:28:55.780 --> 00:29:01.780]   ♪ From life's first cry to final breath ♪
[00:29:01.780 --> 00:29:05.780]   ♪ Jesus commands my destiny ♪
[00:29:06.780 --> 00:29:09.780]   ♪ No power of hell ♪
[00:29:09.780 --> 00:29:12.780]   ♪ No scheme of man ♪
[00:29:12.780 --> 00:29:17.780]   ♪ Could ever pluck me from his hand ♪
[00:29:17.780 --> 00:29:23.780]   ♪ To rejuice or cause me wrong ♪
[00:29:23.780 --> 00:29:28.780]   ♪ Here in the power of Christ and I know my own ♪
[00:29:28.780 --> 00:29:31.780]   ♪ No power of hell ♪
[00:29:31.780 --> 00:29:34.780]   ♪ No scheme of man ♪
[00:29:35.780 --> 00:29:40.780]   ♪ Could ever pluck me from his hand ♪
[00:29:40.780 --> 00:29:46.780]   ♪ To rejoice or cause me wrong ♪
[00:29:46.780 --> 00:29:52.780]   ♪ Here in the power of Christ I stand ♪
[00:29:52.780 --> 00:29:56.780]   (soft music)
[00:29:56.780 --> 00:30:02.780]   - We're gonna sing this last song together.
[00:30:02.780 --> 00:30:06.780]   Behold our God as we prepare ourselves to come before him
[00:30:06.780 --> 00:30:07.780]   in praise and worship,
[00:30:07.780 --> 00:30:10.780]   that we honor him because he is our king.
[00:30:10.780 --> 00:30:14.780]   (soft music)
[00:30:14.780 --> 00:30:31.780]   ♪ He who has held the oceans in his hands ♪
[00:30:31.780 --> 00:30:37.780]   ♪ Who has numbered every grain of sand ♪
[00:30:37.780 --> 00:30:44.780]   ♪ Kings and nations tremble at his voice ♪
[00:30:44.780 --> 00:30:51.780]   ♪ All creation rises to rejoice ♪
[00:30:51.780 --> 00:31:00.780]   ♪ Behold our God seated on his throne ♪
[00:31:00.780 --> 00:31:05.780]   ♪ Come let us adore him ♪
[00:31:05.780 --> 00:31:10.780]   ♪ Behold our king ♪
[00:31:10.780 --> 00:31:13.780]   ♪ Nothing can compare ♪
[00:31:13.780 --> 00:31:20.780]   ♪ Come let us adore him ♪
[00:31:20.780 --> 00:31:24.780]   (soft music)
[00:31:24.780 --> 00:31:27.780]   (soft music)
[00:31:27.780 --> 00:31:32.780]   - Let's give him counsel.
[00:31:32.780 --> 00:31:38.780]   ♪ Who has given counsel to the Lord ♪
[00:31:38.780 --> 00:31:45.780]   ♪ Who can question any of his words ♪
[00:31:45.780 --> 00:31:51.780]   ♪ Who can teach the one who knows all things ♪
[00:31:52.780 --> 00:31:59.780]   ♪ Who can fathom all his wondrous deeds ♪
[00:31:59.780 --> 00:32:08.780]   ♪ Behold our God seated on his throne ♪
[00:32:08.780 --> 00:32:12.780]   ♪ Come let us adore him ♪
[00:32:12.780 --> 00:32:17.780]   ♪ Behold our king ♪
[00:32:17.780 --> 00:32:21.780]   ♪ Nothing can compare ♪
[00:32:21.780 --> 00:32:28.780]   ♪ Come let us adore him ♪
[00:32:28.780 --> 00:32:32.780]   (soft music)
[00:32:32.780 --> 00:32:45.780]   ♪ Who has felt the nails upon his hands ♪
[00:32:46.780 --> 00:32:52.780]   ♪ Bearing all the guilt of sinful man ♪
[00:32:52.780 --> 00:32:59.780]   ♪ God eternal humbled to the grave ♪
[00:32:59.780 --> 00:33:07.780]   ♪ Jesus savior risen now to bless the grave ♪
[00:33:08.780 --> 00:33:16.780]   ♪ Behold our God seated on his throne ♪
[00:33:16.780 --> 00:33:20.780]   ♪ Come let us adore him ♪
[00:33:20.780 --> 00:33:25.780]   ♪ Behold our king ♪
[00:33:25.780 --> 00:33:29.780]   ♪ Nothing can compare ♪
[00:33:29.780 --> 00:33:36.780]   ♪ Come let us adore him ♪
[00:33:37.780 --> 00:33:40.780]   (soft music)
[00:33:40.780 --> 00:33:46.780]   - Let us work you a reign.
[00:33:46.780 --> 00:33:50.780]   ♪ You will reign forever ♪
[00:33:50.780 --> 00:33:53.780]   ♪ Let your glory fill the earth ♪
