
[00:00:00.000 --> 00:00:02.580]   (gentle music)
[00:08:05.180 --> 00:08:10.180]   So we do have a lot of newlyweds coming into this ministry.
[00:08:10.180 --> 00:08:11.960]   And if this pertains to you,
[00:08:11.960 --> 00:08:15.140]   and especially if you are kind of earlier on
[00:08:15.140 --> 00:08:17.360]   in your marriage, it's a good opportunity
[00:08:17.360 --> 00:08:20.120]   for you to get to know different members of our church.
[00:08:20.120 --> 00:08:23.920]   So we have once a quarter workshops.
[00:08:23.920 --> 00:08:27.160]   We do have a small army of mentoring couples
[00:08:27.160 --> 00:08:30.740]   who also come just to participate in that.
[00:08:30.740 --> 00:08:32.840]   Our first one is next Saturday.
[00:08:32.840 --> 00:08:35.380]   So if you are a newly year wed,
[00:08:35.380 --> 00:08:38.280]   please do sign up for that so we can just account for food.
[00:08:38.280 --> 00:08:41.680]   You don't have to be a member to participate in that.
[00:08:41.680 --> 00:08:44.560]   But that's just something as an FYI.
[00:08:45.380 --> 00:08:47.540]   And if you have any questions,
[00:08:47.540 --> 00:08:49.300]   my information is on the website,
[00:08:49.300 --> 00:08:53.300]   or you can contact Jason Choi if you know who he is,
[00:08:53.300 --> 00:08:56.100]   or just hit up, ask a question on the URL.
[00:08:56.100 --> 00:08:57.660]   All right, thank you very much.
[00:08:57.660 --> 00:09:03.220]   - All right, a couple of other announcements.
[00:09:03.220 --> 00:09:06.500]   Our BCC service auction fundraiser is still taking place,
[00:09:06.500 --> 00:09:09.300]   and they're taking signups for that.
[00:09:09.300 --> 00:09:10.460]   And if you are a member of the church
[00:09:10.460 --> 00:09:12.860]   and you wanna donate something or donate a service,
[00:09:12.860 --> 00:09:13.700]   they're still taking signups.
[00:09:13.700 --> 00:09:16.320]   And the actual auction is taking place in March.
[00:09:16.320 --> 00:09:19.080]   And again, just a reminder that this is going to go
[00:09:19.080 --> 00:09:23.000]   for adoption fund at church.
[00:09:23.000 --> 00:09:25.880]   Men's ministry meeting is happening this coming Saturday
[00:09:25.880 --> 00:09:28.520]   at 9 a.m. to 12.30.
[00:09:28.520 --> 00:09:30.560]   It's gonna be a time for men to gather together.
[00:09:30.560 --> 00:09:33.280]   We're gonna have light breakfast and then full-blown lunch.
[00:09:33.280 --> 00:09:35.000]   The cost of it is $10.
[00:09:35.000 --> 00:09:38.280]   And again, to get together, to take some time to pray,
[00:09:38.280 --> 00:09:40.520]   we're gonna be talking about the subject
[00:09:40.520 --> 00:09:43.320]   of men's purity in and of itself.
[00:09:43.320 --> 00:09:45.340]   But again, it's not too late to sign up,
[00:09:45.340 --> 00:09:47.660]   but please sign up either on-site,
[00:09:47.660 --> 00:09:50.360]   or I think there might be a table stationed outside,
[00:09:50.360 --> 00:09:51.200]   so you can visit that.
[00:09:51.200 --> 00:09:52.840]   But if you don't see one,
[00:09:52.840 --> 00:09:54.960]   you can go online and do that as well.
[00:09:54.960 --> 00:09:59.760]   Okay, Seeds Nursery PTA meeting on February 26 at 1 p.m.
[00:09:59.760 --> 00:10:01.800]   So if you have a child in the nursery
[00:10:01.800 --> 00:10:04.040]   and you're a parent there,
[00:10:04.040 --> 00:10:05.320]   and you don't have to be a member,
[00:10:05.320 --> 00:10:06.920]   but they are having a PTA meeting
[00:10:06.920 --> 00:10:09.360]   to kinda let you know what's going on,
[00:10:09.360 --> 00:10:11.060]   what are things that they're doing there
[00:10:11.060 --> 00:10:13.560]   to run the program.
[00:10:13.560 --> 00:10:15.400]   And so it'd be informational meeting there.
[00:10:15.400 --> 00:10:19.960]   So if you have a child there, at 1 p.m. on February 26.
[00:10:19.960 --> 00:10:22.680]   All right, so let me pray for the offering.
[00:10:22.680 --> 00:10:24.320]   Again, if you are visiting us
[00:10:24.320 --> 00:10:27.640]   and you have a physical check or something to give,
[00:10:27.640 --> 00:10:29.880]   it will be in the back as you're going.
[00:10:29.880 --> 00:10:31.800]   Let me pray for us,
[00:10:31.800 --> 00:10:32.640]   and then we'll give you an opportunity
[00:10:32.640 --> 00:10:33.480]   to give your offering.
[00:10:33.480 --> 00:10:34.300]   Let's pray.
[00:10:34.300 --> 00:10:39.800]   Heavenly Father, we thank you for your continued grace
[00:10:39.800 --> 00:10:41.720]   and love that you pour upon us.
[00:10:41.720 --> 00:10:45.360]   We pray that our worship that we give you
[00:10:45.360 --> 00:10:48.560]   would be intentional in spirit and in truth.
[00:10:48.560 --> 00:10:51.360]   I pray, Father God, that the songs that we sing
[00:10:51.360 --> 00:10:53.680]   would come from an overflow of abundance
[00:10:53.680 --> 00:10:57.880]   of grace and love and thanksgiving that you've given us,
[00:10:57.880 --> 00:11:01.140]   that what we give to you may be a pleasing sacrifice.
[00:11:01.140 --> 00:11:04.280]   I pray that you would bless the offering that we give.
[00:11:04.280 --> 00:11:07.280]   May it be multiplied 30, 60, 100-fold,
[00:11:07.280 --> 00:11:10.660]   and as the harvest is plentiful and the workers are few,
[00:11:10.660 --> 00:11:13.320]   may it be used, Lord God, to magnify your name
[00:11:13.320 --> 00:11:17.120]   and that the gospel may continue to spread all over.
[00:11:17.120 --> 00:11:18.720]   We pray for your blessing over this time.
[00:11:18.720 --> 00:11:20.440]   In Jesus' name we pray, amen.
[00:11:20.440 --> 00:11:23.520]   (gentle piano music)
[00:11:23.520 --> 00:11:26.600]   (gentle piano music)
[00:11:26.600 --> 00:11:29.680]   (gentle piano music)
[00:11:29.760 --> 00:11:32.840]   (gentle piano music)
[00:11:32.840 --> 00:11:35.920]   (gentle piano music)
[00:11:35.920 --> 00:11:41.480]   (gentle piano music)
[00:11:41.480 --> 00:11:50.360]   (gentle piano music)
[00:11:50.360 --> 00:12:00.360]   (gentle piano music)
[00:12:00.360 --> 00:12:03.440]   (gentle piano music)
[00:12:03.440 --> 00:12:07.080]   Church family, Happy Lord's Day.
[00:12:07.080 --> 00:12:10.280]   Let's all rise together as we come before God to sing.
[00:12:10.280 --> 00:12:15.020]   (upbeat music)
[00:12:15.020 --> 00:12:22.760]   ♪ We won't fear ♪
[00:12:22.760 --> 00:12:25.000]   ♪ We won't fear the battle ♪
[00:12:25.000 --> 00:12:27.280]   ♪ We won't fear the night ♪
[00:12:27.280 --> 00:12:31.840]   ♪ We will walk the valley with you by our side ♪
[00:12:31.840 --> 00:12:34.160]   ♪ You will go before us ♪
[00:12:34.160 --> 00:12:36.400]   ♪ You will lead the way ♪
[00:12:36.400 --> 00:12:38.720]   ♪ We have found a refuge ♪
[00:12:38.720 --> 00:12:42.040]   ♪ Only you can stay ♪
[00:12:42.040 --> 00:12:44.680]   ♪ Sing with joy now ♪
[00:12:44.680 --> 00:12:46.920]   ♪ Our God is for us ♪
[00:12:46.920 --> 00:12:51.240]   ♪ The Father's love is a strong and mighty fortress ♪
[00:12:51.240 --> 00:12:53.840]   ♪ Raise your voice now ♪
[00:12:53.840 --> 00:12:55.880]   ♪ No love is greater ♪
[00:12:55.880 --> 00:13:00.880]   ♪ Who can stand against us if our God is for us ♪
[00:13:00.880 --> 00:13:07.280]   ♪ Even when I stumble ♪
[00:13:07.280 --> 00:13:09.560]   ♪ Even when I fall ♪
[00:13:09.560 --> 00:13:11.760]   ♪ Even when I turn back ♪
[00:13:11.760 --> 00:13:14.080]   ♪ Still your love is sure ♪
[00:13:14.080 --> 00:13:16.400]   ♪ You will not abandon ♪
[00:13:16.400 --> 00:13:18.680]   ♪ You will not forsake ♪
[00:13:18.680 --> 00:13:23.280]   ♪ You will cheer me onward with never-ending grace ♪
[00:13:23.280 --> 00:13:25.840]   ♪ Sing with joy now ♪
[00:13:25.840 --> 00:13:28.080]   ♪ Our God is for us ♪
[00:13:28.080 --> 00:13:32.360]   ♪ The Father's love is a strong and mighty fortress ♪
[00:13:32.360 --> 00:13:34.960]   ♪ Raise your voice now ♪
[00:13:34.960 --> 00:13:36.960]   ♪ No love is greater ♪
[00:13:36.960 --> 00:13:41.960]   ♪ Who can stand against us if our God is for us ♪
[00:13:41.960 --> 00:13:49.960]   ♪ Sing it out, neither high ♪
[00:13:49.960 --> 00:13:54.960]   ♪ And neither high nor death can separate us ♪
[00:13:55.240 --> 00:13:59.800]   ♪ Hell and death will not defeat us ♪
[00:13:59.800 --> 00:14:04.360]   ♪ He who gave his Son to free us ♪
[00:14:04.360 --> 00:14:06.880]   ♪ Holds me in his love ♪
[00:14:06.880 --> 00:14:08.400]   - One more time.
[00:14:08.400 --> 00:14:13.400]   ♪ Neither high nor death can separate us ♪
[00:14:13.400 --> 00:14:18.080]   ♪ Hell and death will not defeat us ♪
[00:14:18.080 --> 00:14:22.720]   ♪ He who gave his Son to free us ♪
[00:14:22.720 --> 00:14:25.720]   ♪ Holds me in his love ♪
[00:14:25.720 --> 00:14:28.440]   - Sing it out.
[00:14:28.440 --> 00:14:32.120]   ♪ Sing with joy now ♪
[00:14:32.120 --> 00:14:34.400]   ♪ Our God is for us ♪
[00:14:34.400 --> 00:14:38.680]   ♪ The Father's love is a strong and mighty fortress ♪
[00:14:38.680 --> 00:14:41.280]   ♪ Raise your voice now ♪
[00:14:41.280 --> 00:14:43.320]   ♪ No love is greater ♪
[00:14:43.320 --> 00:14:47.960]   ♪ Who can stand against us if our God is for us ♪
[00:14:47.960 --> 00:14:50.440]   ♪ Sing with joy now ♪
[00:14:50.440 --> 00:14:52.760]   ♪ Our God is for us ♪
[00:14:52.760 --> 00:14:57.040]   ♪ The Father's love is a strong and mighty fortress ♪
[00:14:57.040 --> 00:14:59.600]   ♪ Raise your voice now ♪
[00:14:59.600 --> 00:15:01.600]   ♪ No love is greater ♪
[00:15:01.600 --> 00:15:06.600]   ♪ Who can stand against us if our God is for us ♪
[00:15:06.600 --> 00:15:09.200]   (upbeat music)
[00:15:09.200 --> 00:15:32.960]   ♪ For my waking breath ♪
[00:15:32.960 --> 00:15:37.960]   ♪ For my daily breath ♪
[00:15:37.960 --> 00:15:43.160]   ♪ I depend on you ♪
[00:15:43.160 --> 00:15:47.360]   ♪ I depend on you ♪
[00:15:47.360 --> 00:15:52.160]   ♪ For the sun to rise ♪
[00:15:52.160 --> 00:15:57.160]   ♪ For my sleep at night ♪
[00:15:57.160 --> 00:16:02.360]   ♪ I depend on you ♪
[00:16:02.360 --> 00:16:07.360]   ♪ I depend on you ♪
[00:16:07.360 --> 00:16:12.480]   ♪ You're the way, the truth and the life ♪
[00:16:12.480 --> 00:16:17.280]   ♪ You're the well that never runs dry ♪
[00:16:17.280 --> 00:16:22.080]   ♪ I'm the branch and you are the vine ♪
[00:16:22.080 --> 00:16:26.680]   ♪ Draw me close and teach me to abide ♪
[00:16:27.680 --> 00:16:30.280]   (upbeat music)
[00:16:30.280 --> 00:16:35.400]   ♪ Where your spirit ♪
[00:16:35.400 --> 00:16:40.200]   ♪ Where your spirit meets ♪
[00:16:40.200 --> 00:16:45.200]   ♪ As I'm following ♪
[00:16:45.200 --> 00:16:50.480]   ♪ I depend on you ♪
[00:16:50.480 --> 00:16:54.560]   ♪ I depend on you ♪
[00:16:54.560 --> 00:16:59.280]   ♪ For the victories ♪
[00:16:59.280 --> 00:17:04.280]   ♪ Still in front of me ♪
[00:17:04.280 --> 00:17:09.680]   ♪ I depend on you ♪
[00:17:09.680 --> 00:17:14.680]   ♪ I depend on you ♪
[00:17:14.680 --> 00:17:19.680]   ♪ You're the way, the truth and the life ♪
[00:17:19.680 --> 00:17:24.480]   ♪ You're the well that never runs dry ♪
[00:17:24.480 --> 00:17:29.280]   ♪ I'm the branch and you are the vine ♪
[00:17:29.280 --> 00:17:34.080]   ♪ Draw me close and teach me to abide ♪
[00:17:34.080 --> 00:17:38.880]   ♪ Be my strength, my song in the night ♪
[00:17:38.880 --> 00:17:43.680]   ♪ Be my all, my treasure, my prize ♪
[00:17:43.680 --> 00:17:48.480]   ♪ I am yours forever, you're mine ♪
[00:17:48.480 --> 00:17:53.080]   ♪ Draw me close and teach me to abide ♪
[00:17:53.080 --> 00:17:55.680]   (upbeat music)
[00:17:55.680 --> 00:18:01.880]   ♪ When I pass through ♪
[00:18:01.880 --> 00:18:06.480]   ♪ When I pass through death ♪
[00:18:06.480 --> 00:18:11.480]   ♪ As I enter rest ♪
[00:18:11.480 --> 00:18:16.880]   ♪ I depend on you ♪
[00:18:16.880 --> 00:18:20.880]   ♪ I depend on you ♪
[00:18:20.880 --> 00:18:25.480]   ♪ For eternal life ♪
[00:18:25.480 --> 00:18:30.480]   ♪ To be raised with Christ ♪
[00:18:30.480 --> 00:18:35.880]   ♪ I depend on you ♪
[00:18:35.880 --> 00:18:40.880]   ♪ I depend on you ♪
[00:18:40.880 --> 00:18:45.880]   ♪ You're the way, the truth and the life ♪
[00:18:45.880 --> 00:18:50.680]   ♪ You're the well that never runs dry ♪
[00:18:50.680 --> 00:18:55.480]   ♪ I'm the branch and you are the vine ♪
[00:18:55.480 --> 00:19:00.280]   ♪ Draw me close and teach me to abide ♪
[00:19:00.280 --> 00:19:05.080]   ♪ Be my strength, my song in the night ♪
[00:19:05.080 --> 00:19:09.880]   ♪ Be my all, my treasure, my prize ♪
[00:19:09.880 --> 00:19:14.680]   ♪ I am yours forever, you're mine ♪
[00:19:14.680 --> 00:19:19.680]   ♪ Draw me close and teach me to abide ♪
[00:19:19.680 --> 00:19:24.280]   ♪ Be my strength, my song in the night ♪
[00:19:24.280 --> 00:19:29.280]   ♪ Be my all, my treasure, my prize ♪
[00:19:29.280 --> 00:19:34.280]   ♪ I am yours forever, you're mine ♪
[00:19:34.280 --> 00:19:38.880]   ♪ Draw me close and teach me to abide ♪
[00:19:42.480 --> 00:19:44.480]   Amen, you may be seated.
[00:19:44.480 --> 00:19:55.880]   - All right, this morning,
[00:19:55.880 --> 00:20:00.680]   we have our baby presentation dedication this morning.
[00:20:00.680 --> 00:20:02.880]   So if we can have all the parents
[00:20:02.880 --> 00:20:05.080]   who are back there to come up.
[00:20:05.080 --> 00:20:07.080]   Okay.
[00:20:07.080 --> 00:20:10.680]   And do you guys know what order you're supposed to stand in?
[00:20:10.680 --> 00:20:12.680]   - [Audience Member] Six.
[00:20:12.680 --> 00:20:14.080]   - Okay, I'm sure you were instructed,
[00:20:14.080 --> 00:20:16.680]   so I'll just kind of let you come up and stand.
[00:20:16.680 --> 00:20:22.280]   Jack, are you the first?
[00:20:22.280 --> 00:20:30.080]   Okay, so these are all babies within the last few months.
[00:20:30.080 --> 00:20:37.080]   So our church is very obedient to the creation mandate
[00:20:37.080 --> 00:20:38.880]   (audience laughing)
[00:20:38.880 --> 00:20:40.480]   to be fruitful and multiply.
[00:20:40.480 --> 00:20:42.880]   Okay, come on up.
[00:20:42.880 --> 00:20:44.680]   All right.
[00:20:44.680 --> 00:20:54.280]   So as you can see, we have been multiplying, okay?
[00:20:54.280 --> 00:20:58.480]   So I am always stressed that we need more space
[00:20:58.480 --> 00:21:01.680]   every time another child comes into our church.
[00:21:01.680 --> 00:21:03.880]   You know, when we travel to India,
[00:21:03.880 --> 00:21:06.080]   we have an option to either go through the Middle East
[00:21:06.080 --> 00:21:07.880]   or we go through Asia.
[00:21:07.880 --> 00:21:10.080]   And when we go through the Middle East,
[00:21:10.080 --> 00:21:14.280]   there's a very stark difference that you can notice,
[00:21:14.280 --> 00:21:15.880]   is that if you go through the Middle East,
[00:21:15.880 --> 00:21:19.680]   the Muslim countries, it's packed with children
[00:21:19.680 --> 00:21:22.880]   because their philosophy is they wanna saturate,
[00:21:22.880 --> 00:21:25.680]   they wanna produce children and have many children
[00:21:25.680 --> 00:21:28.080]   as possible so that in the next generation,
[00:21:28.080 --> 00:21:30.480]   that they would raise up children in their religion.
[00:21:30.480 --> 00:21:31.680]   If you go through Asia,
[00:21:31.680 --> 00:21:33.680]   the population is actually decreasing.
[00:21:33.680 --> 00:21:35.880]   So when you go fly to the other way,
[00:21:35.880 --> 00:21:38.680]   you don't see a lot of children on the airplane.
[00:21:38.680 --> 00:21:40.880]   So that's why I'm very thankful for our church
[00:21:40.880 --> 00:21:43.680]   that we're doing our part to offset that.
[00:21:43.680 --> 00:21:45.680]   (audience laughing)
[00:21:45.680 --> 00:21:48.080]   Where I remember when I was younger,
[00:21:48.080 --> 00:21:50.680]   when we had small children, we had four children
[00:21:50.680 --> 00:21:51.480]   everywhere we went.
[00:21:51.480 --> 00:21:53.880]   It's like, oh my gosh, you have four kids.
[00:21:53.880 --> 00:21:55.880]   Now I just fit in with the rest of the church
[00:21:55.880 --> 00:21:57.680]   'cause more and more people are having children.
[00:21:57.680 --> 00:22:00.280]   So let me start by,
[00:22:00.280 --> 00:22:03.480]   the fathers are going to introduce the children, okay?
[00:22:03.480 --> 00:22:04.880]   - Hi, my name is Jack.
[00:22:04.880 --> 00:22:06.480]   This is my wife, Sincere.
[00:22:06.480 --> 00:22:09.880]   This is our daughter, Allison.
[00:22:09.880 --> 00:22:14.880]   No specific reason other than we like the name
[00:22:14.880 --> 00:22:17.080]   and also my wife says so.
[00:22:17.080 --> 00:22:19.080]   (audience laughing)
[00:22:19.080 --> 00:22:24.080]   And I guess her request is just in God's timing,
[00:22:24.080 --> 00:22:28.880]   may Allison just come to know his saving love.
[00:22:28.880 --> 00:22:32.880]   - Hey, good morning, everybody.
[00:22:32.880 --> 00:22:34.480]   My name's Dan Dezee Evangeling
[00:22:34.480 --> 00:22:36.080]   and this is our daughter, Celine.
[00:22:36.080 --> 00:22:40.280]   So her name means heavenly
[00:22:40.280 --> 00:22:43.080]   and it also just happens to rhyme with Evangeline.
[00:22:43.080 --> 00:22:44.880]   (audience laughing)
[00:22:44.880 --> 00:22:47.280]   But our prayer request for her
[00:22:47.280 --> 00:22:49.080]   has been the same from the beginning.
[00:22:49.080 --> 00:22:50.480]   We got pregnant with her
[00:22:50.480 --> 00:22:51.880]   right when we started our study on Luke.
[00:22:51.880 --> 00:22:54.480]   So Luke chapter one, that she'll be filled with the spirit
[00:22:54.480 --> 00:22:56.880]   and just be great in the sight of the Lord,
[00:22:56.880 --> 00:22:58.280]   staying strong with her convictions,
[00:22:58.280 --> 00:23:00.480]   no matter what the world tells her.
[00:23:00.480 --> 00:23:01.280]   Thank you.
[00:23:01.280 --> 00:23:04.280]   - Hi, good morning, everyone.
[00:23:04.280 --> 00:23:06.280]   I'm Victor, this is Lauren.
[00:23:06.280 --> 00:23:07.680]   This is our daughter, Olivia.
[00:23:07.680 --> 00:23:10.880]   We named her Olivia in honor of my mom.
[00:23:10.880 --> 00:23:12.680]   She passed away in 2009 of breast cancer.
[00:23:12.680 --> 00:23:15.680]   So I always thought that if I had a daughter
[00:23:15.680 --> 00:23:17.280]   that I would want to name her Olivia
[00:23:17.280 --> 00:23:19.480]   and thankfully Lauren was on board.
[00:23:19.480 --> 00:23:20.680]   (audience laughing)
[00:23:20.680 --> 00:23:22.480]   Her middle name, Karis.
[00:23:22.480 --> 00:23:27.480]   Insides or I guess inside joke between us,
[00:23:27.480 --> 00:23:30.280]   my full name is Victor C. Fu.
[00:23:30.280 --> 00:23:32.480]   C means nothing, it's just an initial.
[00:23:32.480 --> 00:23:35.280]   So we just wanted to kind of keep that tradition along,
[00:23:35.280 --> 00:23:36.880]   start with the letter C.
[00:23:36.880 --> 00:23:40.280]   I wanted to name her Grace and Karis just happens to
[00:23:40.280 --> 00:23:42.480]   match with that, sort of worked out.
[00:23:42.480 --> 00:23:44.280]   And prayer requests for her, yeah,
[00:23:44.280 --> 00:23:46.480]   that the Lord would save her
[00:23:46.480 --> 00:23:48.680]   and that she would use her spiritual gifts
[00:23:48.680 --> 00:23:50.280]   to expand the kingdom.
[00:23:50.280 --> 00:23:51.680]   And yeah, thank you.
[00:23:51.680 --> 00:23:54.280]   - Morning, everyone.
[00:23:54.280 --> 00:23:55.280]   My name is Vince.
[00:23:55.280 --> 00:23:57.080]   This is my wife, Connie.
[00:23:57.080 --> 00:24:00.080]   This is our son, Luke, our daughter, Evie's in SIDS right now.
[00:24:01.080 --> 00:24:04.480]   Luke, because I am his father.
[00:24:04.480 --> 00:24:07.480]   (audience laughing)
[00:24:07.480 --> 00:24:12.480]   But, seriously though, we were playing with Luke,
[00:24:12.480 --> 00:24:16.080]   like, oh, you know, I love Star Wars.
[00:24:16.080 --> 00:24:16.880]   Luke would be cool.
[00:24:16.880 --> 00:24:19.480]   And then Pastor Peter started going over the gospel of Luke.
[00:24:19.480 --> 00:24:21.080]   So thank you, Pastor Peter.
[00:24:21.080 --> 00:24:23.680]   (audience laughing)
[00:24:23.680 --> 00:24:25.280]   Prayer requests for Luke,
[00:24:25.280 --> 00:24:29.680]   just that he would come to love the Lord at an early age
[00:24:29.680 --> 00:24:32.880]   and that as his parents and as Evie's parents,
[00:24:32.880 --> 00:24:35.880]   that we could be just showing the love of Christ
[00:24:35.880 --> 00:24:38.080]   and that they would live to see that.
[00:24:38.080 --> 00:24:40.080]   So if you could pray for that, thank you.
[00:24:40.080 --> 00:24:45.080]   - Hello, I'm David and this is my wife, Joyce.
[00:24:45.080 --> 00:24:47.680]   And then this is Elizabeth, Alice, John.
[00:24:47.680 --> 00:24:50.480]   I had nothing funny to say, so I'm sorry.
[00:24:50.480 --> 00:24:51.280]   (audience laughing)
[00:24:51.280 --> 00:24:54.480]   Elizabeth, just, we thought it was pretty and classic.
[00:24:54.480 --> 00:24:56.680]   And Alice is named after my mom.
[00:24:56.680 --> 00:25:00.280]   And her Korean name actually means, or is Eunhae,
[00:25:00.280 --> 00:25:02.880]   or Yeeun, sorry, which is short for,
[00:25:02.880 --> 00:25:06.280]   Yesunim as Yesunim Eunhae, which means Jesus is grace.
[00:25:06.280 --> 00:25:07.680]   And that's our prayer for her,
[00:25:07.680 --> 00:25:09.480]   just that she would come to know him and his timing
[00:25:09.480 --> 00:25:14.480]   and for us to trust and submit to God's will over her life.
[00:25:14.480 --> 00:25:19.080]   - Hi, my name's Mike.
[00:25:19.080 --> 00:25:20.680]   This is my wife, Cheryl.
[00:25:20.680 --> 00:25:22.280]   These are our boys, Brandon and Andrew.
[00:25:22.280 --> 00:25:24.080]   And this is Madison.
[00:25:24.080 --> 00:25:28.080]   And her name, again, we didn't choose any of their names
[00:25:28.080 --> 00:25:31.880]   because they meant anything, just thought it sounded good.
[00:25:31.880 --> 00:25:34.080]   But their Chinese names, their middle names,
[00:25:34.080 --> 00:25:36.680]   have like a more Christian meaning.
[00:25:36.680 --> 00:25:39.680]   So our oldest is Tang Enyu.
[00:25:39.680 --> 00:25:42.480]   And then our middle child is Tang Enxin,
[00:25:42.480 --> 00:25:47.480]   which means gracious faith, gracious word, gracious faith.
[00:25:47.480 --> 00:25:50.480]   And then her middle name is Enling,
[00:25:50.480 --> 00:25:51.880]   which means gracious spirit.
