
[00:00:00.000 --> 00:00:02.300]   (coughing)
[00:07:53.240 --> 00:08:02.240]   (gentle music)
[00:08:02.240 --> 00:08:13.240]   (gentle music)
[00:08:14.240 --> 00:08:16.820]   (gentle music)
[00:08:16.820 --> 00:08:41.820]   (gentle music)
[00:08:42.820 --> 00:08:45.400]   (gentle music)
[00:08:45.400 --> 00:09:00.400]   (gentle music)
[00:09:01.400 --> 00:09:03.980]   (gentle music)
[00:09:03.980 --> 00:09:16.980]   (gentle music)
[00:09:17.980 --> 00:09:20.560]   (gentle music)
[00:09:20.560 --> 00:09:29.560]   (gentle music)
[00:09:29.560 --> 00:09:39.560]   (gentle music)
[00:09:39.560 --> 00:09:42.140]   (gentle music)
[00:09:42.140 --> 00:09:55.140]   (gentle music)
[00:09:55.140 --> 00:10:05.140]   (gentle music)
[00:10:06.140 --> 00:10:08.720]   (gentle music)
[00:10:08.720 --> 00:10:20.720]   (gentle music)
[00:10:21.720 --> 00:10:24.300]   (gentle music)
[00:10:24.300 --> 00:10:38.300]   (gentle music)
[00:10:39.300 --> 00:10:41.880]   (gentle music)
[00:10:41.880 --> 00:10:54.880]   (gentle music)
[00:10:55.880 --> 00:10:58.460]   (gentle music)
[00:10:58.460 --> 00:11:07.460]   (gentle music)
[00:11:07.460 --> 00:11:18.460]   (gentle music)
[00:11:19.460 --> 00:11:22.040]   (gentle music)
[00:11:22.040 --> 00:11:30.040]   (gentle music)
[00:11:30.040 --> 00:11:40.040]   (gentle music)
[00:11:41.040 --> 00:11:43.620]   (gentle music)
[00:11:43.620 --> 00:11:55.620]   (gentle music)
[00:11:55.620 --> 00:12:03.620]   (gentle music)
[00:12:04.620 --> 00:12:07.200]   (gentle music)
[00:12:07.200 --> 00:12:19.200]   (gentle music)
[00:12:19.200 --> 00:12:29.200]   (gentle music)
[00:12:30.200 --> 00:12:32.780]   (gentle music)
[00:12:32.780 --> 00:12:46.780]   (gentle music)
[00:12:47.780 --> 00:12:50.360]   (gentle music)
[00:12:50.360 --> 00:13:02.360]   (gentle music)
[00:13:03.360 --> 00:13:05.940]   (gentle music)
[00:13:05.940 --> 00:13:14.940]   (gentle music)
[00:13:14.940 --> 00:13:24.940]   (gentle music)
[00:13:24.940 --> 00:13:27.520]   (gentle music)
[00:13:27.520 --> 00:13:47.520]   (gentle music)
[00:13:47.520 --> 00:13:50.100]   (gentle music)
[00:13:50.100 --> 00:14:16.100]   (gentle music)
[00:14:17.100 --> 00:14:19.680]   (gentle music)
[00:14:19.680 --> 00:14:28.680]   (gentle music)
[00:14:28.680 --> 00:14:38.680]   (gentle music)
[00:14:38.680 --> 00:14:41.260]   (gentle music)
[00:14:41.260 --> 00:14:57.260]   (gentle music)
[00:14:57.260 --> 00:14:59.840]   (gentle music)
[00:14:59.840 --> 00:15:09.840]   (gentle music)
[00:15:09.840 --> 00:15:19.840]   (gentle music)
[00:15:19.840 --> 00:15:22.420]   (gentle music)
[00:15:22.420 --> 00:15:42.420]   (gentle music)
[00:15:42.420 --> 00:15:45.000]   (gentle music)
[00:16:10.420 --> 00:16:13.000]   (gentle music)
[00:16:13.000 --> 00:16:15.580]   (gentle music)
[00:16:15.580 --> 00:16:29.580]   (gentle music)
[00:16:29.580 --> 00:16:32.160]   (gentle music)
[00:16:32.160 --> 00:16:43.160]   (gentle music)
[00:16:44.160 --> 00:16:46.740]   (gentle music)
[00:16:46.740 --> 00:17:06.740]   (gentle music)
[00:17:07.740 --> 00:17:10.320]   (gentle music)
[00:17:10.320 --> 00:17:26.320]   (gentle music)
[00:17:27.320 --> 00:17:29.900]   (gentle music)
[00:17:29.900 --> 00:17:41.900]   (gentle music)
[00:17:42.900 --> 00:17:45.480]   (gentle music)
[00:17:45.480 --> 00:17:59.480]   (gentle music)
[00:18:00.480 --> 00:18:03.060]   (gentle music)
[00:18:03.060 --> 00:18:15.060]   (gentle music)
[00:18:16.060 --> 00:18:18.640]   (gentle music)
[00:18:18.640 --> 00:18:32.640]   (gentle music)
[00:18:33.640 --> 00:18:36.220]   (gentle music)
[00:18:36.220 --> 00:18:56.220]   (gentle music)
[00:18:57.220 --> 00:18:59.800]   (gentle music)
[00:18:59.800 --> 00:19:10.220]   - More church family, happy Lord's Day.
[00:19:10.220 --> 00:19:12.800]   We will now begin our service.
[00:19:12.800 --> 00:19:17.800]   (gentle music)
[00:19:17.800 --> 00:19:20.380]   (gentle music)
[00:19:20.380 --> 00:19:29.800]   Let's sing together, "As the Dear."
[00:19:29.800 --> 00:19:34.800]   ♪ As the dear Pantiphone ♪
[00:19:34.800 --> 00:19:39.800]   ♪ The water soothed my soul long after thee ♪
[00:19:44.800 --> 00:19:49.800]   ♪ To you alone are my heart's desire ♪
[00:19:49.800 --> 00:19:56.800]   ♪ And I long to worship thee ♪
[00:19:56.800 --> 00:20:04.800]   ♪ To you alone are my strength, my shield ♪
[00:20:04.800 --> 00:20:11.800]   ♪ To you alone may my spirit give ♪
[00:20:11.800 --> 00:20:16.800]   ♪ To you alone are my heart's desire ♪
[00:20:16.800 --> 00:20:22.800]   ♪ And I long to worship thee ♪
[00:20:22.800 --> 00:20:28.800]   ♪ To you alone are my heart's desire ♪
[00:20:28.800 --> 00:20:33.800]   ♪ And I long to worship thee ♪
[00:20:33.800 --> 00:20:38.800]   ♪ To you alone are my heart's desire ♪
[00:20:39.800 --> 00:20:42.800]   ♪ You are my friend ♪
[00:20:42.800 --> 00:20:47.800]   ♪ You're my friend and you are my brother ♪
[00:20:47.800 --> 00:20:54.800]   ♪ Even though you are a king ♪
[00:20:54.800 --> 00:21:02.800]   ♪ I love you more than any other ♪
[00:21:04.800 --> 00:21:09.800]   ♪ Much more than any other ♪
[00:21:09.800 --> 00:21:17.800]   ♪ You alone are my strength, my shield ♪
[00:21:17.800 --> 00:21:24.800]   ♪ To you alone may my spirit give ♪
[00:21:29.800 --> 00:21:34.800]   ♪ To you alone are my heart's desire ♪
[00:21:34.800 --> 00:21:40.800]   ♪ And I long to worship thee ♪
[00:21:40.800 --> 00:21:54.800]   I want you.
[00:21:55.800 --> 00:22:00.800]   ♪ I want you more than gold or silver ♪
[00:22:00.800 --> 00:22:07.800]   ♪ Only you can satisfy ♪
[00:22:07.800 --> 00:22:15.800]   ♪ You alone are the way ♪
[00:22:15.800 --> 00:22:20.800]   ♪ You're given in the hour of my life ♪
[00:22:20.800 --> 00:22:25.800]   ♪ Of my life ♪
[00:22:25.800 --> 00:22:31.800]   ♪ You alone are my strength, my shield ♪
[00:22:31.800 --> 00:22:38.800]   ♪ To you alone may my spirit give ♪
[00:22:38.800 --> 00:22:47.800]   ♪ To you alone are my heart's desire ♪
[00:22:49.800 --> 00:22:54.800]   ♪ And I long to worship thee ♪
[00:22:54.800 --> 00:22:56.800]   You alone.
[00:22:56.800 --> 00:23:02.800]   ♪ You alone are my heart's desire ♪
[00:23:02.800 --> 00:23:08.800]   ♪ And I long to worship thee ♪
[00:23:16.800 --> 00:23:19.800]   - Amen, good morning, everybody.
[00:23:19.800 --> 00:23:21.800]   I wanna extend a warm welcome to you,
[00:23:21.800 --> 00:23:23.800]   especially if you're new.
[00:23:23.800 --> 00:23:25.800]   Welcome to our service, and please do join us
[00:23:25.800 --> 00:23:27.800]   at our welcome booth just right at the tip
[00:23:27.800 --> 00:23:29.800]   of the parking lot there.
[00:23:29.800 --> 00:23:32.800]   You'll see our welcome team members with the blue vests,
[00:23:32.800 --> 00:23:34.800]   and I'd be happy to just direct you
[00:23:34.800 --> 00:23:37.800]   with any answers to questions you may have.
[00:23:37.800 --> 00:23:39.800]   Now, I'd like to highlight just a few
[00:23:39.800 --> 00:23:43.800]   of our announcements going on during this time.
[00:23:43.800 --> 00:23:48.800]   So, one, the BAM, which is our singles ministry,
[00:23:48.800 --> 00:23:52.800]   is having a Christmas party on December 14th.
[00:23:52.800 --> 00:23:55.800]   That's gonna be at 5.30 here in the main sanctuary.
[00:23:55.800 --> 00:23:58.800]   Please make sure you sign up for that.
[00:23:58.800 --> 00:24:03.800]   And the logistics and team organizing that event
[00:24:03.800 --> 00:24:05.800]   has made a special request
[00:24:05.800 --> 00:24:08.800]   to please show up dressed festively, okay?
[00:24:08.800 --> 00:24:11.800]   So that means bright colors, red, green,
[00:24:11.800 --> 00:24:13.800]   all that kind of stuff, but come ready for fellowship,
[00:24:13.800 --> 00:24:16.800]   games, and a great time together.
[00:24:16.800 --> 00:24:18.800]   Likewise, the family ministry is gonna be having
[00:24:18.800 --> 00:24:20.800]   their separate Christmas party here,
[00:24:20.800 --> 00:24:21.800]   again, in the main sanctuary,
[00:24:21.800 --> 00:24:24.800]   but that's gonna be on December 7th.
[00:24:24.800 --> 00:24:26.800]   Today is the last day to sign up for that,
[00:24:26.800 --> 00:24:30.800]   so please make sure you register.
[00:24:30.800 --> 00:24:32.800]   There is gonna be childcare,
[00:24:32.800 --> 00:24:35.800]   and then also, if you're having a tough time
[00:24:35.800 --> 00:24:37.800]   finding the link, et cetera,
[00:24:37.800 --> 00:24:39.800]   there's gonna be a table outside
[00:24:39.800 --> 00:24:41.800]   to make sure we capture everybody.
[00:24:41.800 --> 00:24:44.800]   For the family members who are doing a performance,
[00:24:44.800 --> 00:24:47.800]   you are not automatically signed up
[00:24:47.800 --> 00:24:48.800]   because you're doing a performance,
[00:24:48.800 --> 00:24:52.800]   so please make sure you all register for that, okay?
[00:24:52.800 --> 00:24:56.800]   The last thing is going to be that our--
[00:24:56.800 --> 00:24:58.800]   Oh, for that family Christmas party,
[00:24:58.800 --> 00:25:00.800]   they are looking for some babysitters,
[00:25:00.800 --> 00:25:04.800]   so if you are able to help out, lend a hand
[00:25:04.800 --> 00:25:07.800]   in taking care of the children during that event,
[00:25:07.800 --> 00:25:08.800]   please sign up for that as well.
[00:25:08.800 --> 00:25:10.800]   The last announcement is that we have,
[00:25:10.800 --> 00:25:13.800]   for the sake of fellowship and bringing people together,
[00:25:13.800 --> 00:25:15.800]   our BBA season that's gonna start,
[00:25:15.800 --> 00:25:16.800]   our basketball season,
[00:25:16.800 --> 00:25:19.800]   so the league for the men and the women
[00:25:19.800 --> 00:25:23.800]   are gonna be taking place starting from January 5th,
[00:25:23.800 --> 00:25:26.800]   and so please make sure to sign up for that.
[00:25:26.800 --> 00:25:27.800]   The requirement is,
[00:25:27.800 --> 00:25:31.800]   because it's a commitment of sequential weeks,
[00:25:31.800 --> 00:25:35.800]   the requirement for that is either you are a member
[00:25:35.800 --> 00:25:36.800]   or you are in the process
[00:25:36.800 --> 00:25:39.800]   of becoming a member at the church.
[00:25:39.800 --> 00:25:40.800]   So again, look out for the sign-up,
[00:25:40.800 --> 00:25:42.800]   and there will be a table outside
[00:25:42.800 --> 00:25:44.800]   for any questions that you may have.
[00:25:44.800 --> 00:25:47.800]   All right, at this time, we'll go into time of offering.
[00:25:47.800 --> 00:25:49.800]   If you do have a physical check,
[00:25:49.800 --> 00:25:52.800]   there is a drop box right by the entrance as you come in.
[00:25:52.800 --> 00:25:55.800]   Otherwise, you can go ahead and give that online.
[00:25:55.800 --> 00:25:58.800]   Let's take a moment to pray.
[00:25:58.800 --> 00:26:02.800]   Heavenly Father, we are so grateful to you.
[00:26:02.800 --> 00:26:05.800]   God, we want to lift up to you our heart of thanks,
[00:26:05.800 --> 00:26:08.800]   knowing, God, that every single thing we have,
[00:26:08.800 --> 00:26:12.800]   it comes, Lord God, through your mercy, your love,
[00:26:12.800 --> 00:26:15.800]   and the grace that you have poured out to us.
[00:26:15.800 --> 00:26:18.800]   So we thank you this morning and gather with appreciation
[00:26:18.800 --> 00:26:21.800]   and also gather with our offering.
[00:26:21.800 --> 00:26:24.800]   Lord, the offering of our heart, our attention,
[00:26:24.800 --> 00:26:27.800]   also, Lord God, even our finances,
[00:26:27.800 --> 00:26:30.800]   and I pray, Lord, that the condition of our heart, Lord,
[00:26:30.800 --> 00:26:33.800]   would always be so trusting in you,
[00:26:33.800 --> 00:26:36.800]   so thankful and abiding in you, God,
[00:26:36.800 --> 00:26:39.800]   that all that we're doing is blessed by you.
[00:26:39.800 --> 00:26:41.800]   We thank you in Christ's name, amen.
[00:26:42.800 --> 00:26:45.800]   (soft piano music)
[00:26:46.800 --> 00:26:49.800]   (soft piano music)
[00:26:50.800 --> 00:26:53.800]   (soft piano music)
[00:27:17.800 --> 00:27:20.800]   (soft piano music)
[00:27:20.800 --> 00:27:25.800]   (soft piano music)
[00:27:25.800 --> 00:27:29.800]   (soft piano music)
[00:27:29.800 --> 00:27:33.800]   (soft piano music)
[00:27:33.800 --> 00:27:37.800]   (soft piano music)
[00:27:37.800 --> 00:27:41.800]   (soft piano music)
[00:27:41.800 --> 00:27:44.800]   - Let us all rise, and let's spend a few moments
[00:27:44.800 --> 00:27:46.800]   just to greet the neighbors around us.
[00:27:46.800 --> 00:27:51.800]   (soft piano music)
[00:27:51.800 --> 00:27:56.800]   (soft piano music)
[00:27:56.800 --> 00:28:00.800]   (soft piano music)
[00:28:00.800 --> 00:28:11.800]   (upbeat music)
[00:28:11.800 --> 00:28:14.800]   (upbeat music)
[00:28:14.800 --> 00:28:17.800]   (upbeat music)
[00:28:17.800 --> 00:28:20.800]   (upbeat music)
[00:28:20.800 --> 00:28:23.800]   (upbeat music)
[00:28:23.800 --> 00:28:27.800]   - There is an endless, there is an endless song
[00:28:27.800 --> 00:28:31.800]   that goes in my soul.
[00:28:31.800 --> 00:28:37.800]   I hear the music ring.
[00:28:39.800 --> 00:28:43.800]   And though the storms may come,
[00:28:43.800 --> 00:28:47.800]   I am holding on
[00:28:47.800 --> 00:28:53.800]   to the rock I came.
[00:28:53.800 --> 00:28:57.800]   How could I keep, how could I keep
[00:28:57.800 --> 00:29:01.800]   from singing your praise?
[00:29:01.800 --> 00:29:06.800]   How could I ever say enough?
[00:29:07.800 --> 00:29:11.800]   How amazing is your love?
[00:29:11.800 --> 00:29:17.800]   How could I keep from shouting your name?
[00:29:17.800 --> 00:29:22.800]   I know I am loved by the few,
[00:29:22.800 --> 00:29:28.800]   and it makes my heart want to sing.
[00:29:28.800 --> 00:29:32.800]   (upbeat music)
[00:29:33.800 --> 00:29:38.800]   (upbeat music)
[00:29:38.800 --> 00:29:44.800]   (upbeat music)
[00:29:44.800 --> 00:29:50.800]   (upbeat music)
[00:29:50.800 --> 00:29:56.800]   (upbeat music)
[00:29:56.800 --> 00:30:02.800]   (upbeat music)
[00:30:02.800 --> 00:30:07.800]   (upbeat music)
[00:30:07.800 --> 00:30:13.800]   (upbeat music)
[00:30:13.800 --> 00:30:19.800]   (upbeat music)
[00:30:19.800 --> 00:30:25.800]   (upbeat music)
[00:30:26.800 --> 00:30:31.800]   (upbeat music)
[00:30:31.800 --> 00:30:37.800]   (upbeat music)
[00:30:37.800 --> 00:30:43.800]   (upbeat music)
[00:30:43.800 --> 00:30:49.800]   (upbeat music)
[00:30:50.800 --> 00:30:55.800]   (upbeat music)
[00:30:55.800 --> 00:31:01.800]   (upbeat music)
[00:31:01.800 --> 00:31:07.800]   (upbeat music)
[00:31:07.800 --> 00:31:13.800]   (upbeat music)
[00:31:14.800 --> 00:31:19.800]   (upbeat music)
[00:31:19.800 --> 00:31:25.800]   (upbeat music)
[00:31:25.800 --> 00:31:31.800]   (upbeat music)
[00:31:31.800 --> 00:31:37.800]   (upbeat music)
[00:31:38.800 --> 00:31:43.800]   (upbeat music)
[00:31:43.800 --> 00:31:49.800]   (upbeat music)
[00:31:49.800 --> 00:31:55.800]   (upbeat music)
[00:31:55.800 --> 00:32:01.800]   (upbeat music)
[00:32:02.800 --> 00:32:07.800]   (upbeat music)
[00:32:07.800 --> 00:32:13.800]   (upbeat music)
[00:32:13.800 --> 00:32:19.800]   (upbeat music)
[00:32:19.800 --> 00:32:25.800]   (upbeat music)
[00:32:26.800 --> 00:32:31.800]   (upbeat music)
[00:32:31.800 --> 00:32:37.800]   (upbeat music)
[00:32:37.800 --> 00:32:43.800]   (upbeat music)
[00:32:43.800 --> 00:32:49.800]   (upbeat music)
[00:32:50.800 --> 00:32:55.800]   (upbeat music)
[00:32:55.800 --> 00:33:01.800]   (upbeat music)
[00:33:01.800 --> 00:33:07.800]   (upbeat music)
[00:33:07.800 --> 00:33:13.800]   (upbeat music)
[00:33:14.800 --> 00:33:19.800]   (upbeat music)
[00:33:19.800 --> 00:33:25.800]   (upbeat music)
[00:33:25.800 --> 00:33:31.800]   (upbeat music)
[00:33:31.800 --> 00:33:37.800]   (upbeat music)
[00:33:38.800 --> 00:33:43.800]   (upbeat music)
[00:33:43.800 --> 00:33:49.800]   (upbeat music)
[00:33:49.800 --> 00:33:55.800]   (upbeat music)
[00:33:55.800 --> 00:34:01.800]   (upbeat music)
[00:34:02.800 --> 00:34:07.800]   (upbeat music)
[00:34:07.800 --> 00:34:13.800]   (upbeat music)
[00:34:13.800 --> 00:34:19.800]   (upbeat music)
[00:34:19.800 --> 00:34:25.800]   (upbeat music)
[00:34:26.800 --> 00:34:31.800]   (upbeat music)
[00:34:31.800 --> 00:34:37.800]   (upbeat music)
[00:34:37.800 --> 00:34:43.800]   (upbeat music)
[00:34:43.800 --> 00:34:49.800]   (upbeat music)
[00:34:50.800 --> 00:34:55.800]   (upbeat music)
[00:34:55.800 --> 00:35:01.800]   (upbeat music)
[00:35:01.800 --> 00:35:07.800]   (upbeat music)
[00:35:07.800 --> 00:35:13.800]   (upbeat music)
[00:35:14.800 --> 00:35:19.800]   (upbeat music)
[00:35:19.800 --> 00:35:25.800]   (upbeat music)
[00:35:25.800 --> 00:35:31.800]   (upbeat music)
[00:35:31.800 --> 00:35:37.800]   (upbeat music)
[00:35:38.800 --> 00:35:43.800]   (upbeat music)
[00:35:43.800 --> 00:35:49.800]   (upbeat music)
[00:35:49.800 --> 00:35:55.800]   (upbeat music)
[00:35:55.800 --> 00:36:01.800]   (upbeat music)
[00:36:02.800 --> 00:36:07.800]   (upbeat music)
[00:36:07.800 --> 00:36:13.800]   (upbeat music)
[00:36:13.800 --> 00:36:19.800]   (upbeat music)
[00:36:19.800 --> 00:36:25.800]   (upbeat music)
[00:36:26.800 --> 00:36:31.800]   (upbeat music)
[00:36:31.800 --> 00:36:37.800]   (upbeat music)
[00:36:37.800 --> 00:36:43.800]   (upbeat music)
[00:36:43.800 --> 00:36:49.800]   (upbeat music)
[00:36:49.800 --> 00:36:55.800]   (upbeat music)
[00:36:56.800 --> 00:36:58.800]   - Good morning once more.
[00:36:58.800 --> 00:37:00.800]   And if you would please go ahead
[00:37:00.800 --> 00:37:04.800]   and take your Bibles and turn to Exodus chapter 15
[00:37:04.800 --> 00:37:08.800]   verses one to three.
[00:37:08.800 --> 00:37:13.800]   Exodus chapter 15.
[00:37:13.800 --> 00:37:19.800]   And this morning we'll be,
[00:37:19.800 --> 00:37:22.800]   as we head into a week of Thanksgiving,
[00:37:22.800 --> 00:37:27.800]   meditating on a thankful heart of the people of God
[00:37:27.800 --> 00:37:30.800]   through many generations,
[00:37:30.800 --> 00:37:32.800]   designed for us also to have
[00:37:32.800 --> 00:37:35.800]   a deep-seated gratitude in our soul.
[00:37:35.800 --> 00:37:37.800]   So let's take a moment to read this and it says,
[00:37:37.800 --> 00:37:39.800]   "Then Moses and the sons of Israel
[00:37:39.800 --> 00:37:42.800]   "sang this song to the Lord and said,
[00:37:42.800 --> 00:37:46.800]   "'I will sing to the Lord for he is highly exalted.
[00:37:46.800 --> 00:37:50.800]   "'The horse and its rider he has hurled into the sea.
[00:37:50.800 --> 00:37:52.800]   "'The Lord is my strength and song
[00:37:52.800 --> 00:37:55.800]   "'and he has become my salvation.
[00:37:55.800 --> 00:37:57.800]   "'This is my God and I will praise him.
[00:37:57.800 --> 00:38:00.800]   "'My Father's God and I will extol him.
[00:38:00.800 --> 00:38:01.800]   "'The Lord is a warrior.
[00:38:01.800 --> 00:38:02.800]   "'The Lord is his name.'"
[00:38:02.800 --> 00:38:05.800]   Let's pray.
[00:38:05.800 --> 00:38:09.800]   Heavenly Father, we thank you, God, for your grace.
[00:38:09.800 --> 00:38:14.800]   Lord, for generations and generations,
[00:38:14.800 --> 00:38:17.800]   you have continued to reveal yourself
[00:38:17.800 --> 00:38:21.800]   in all of your perfection, holiness, and love.
[00:38:21.800 --> 00:38:24.800]   And I pray, Father God, that we as a people
[00:38:24.800 --> 00:38:27.800]   would not only see it with our eyes,
[00:38:27.800 --> 00:38:30.800]   but be amazed and be so filled with gratitude
[00:38:30.800 --> 00:38:32.800]   that we may know you.
[00:38:32.800 --> 00:38:36.800]   And what's more, God, that being known by you through Christ,
[00:38:36.800 --> 00:38:38.800]   Lord, that you provide for us,
[00:38:38.800 --> 00:38:42.800]   you take care of us, and you love us to the end.
[00:38:42.800 --> 00:38:45.800]   We thank you so much, it's in Christ's name, amen.
[00:38:45.800 --> 00:38:49.800]   Well, as we think about the Thanksgiving season,
[00:38:49.800 --> 00:38:53.800]   it is tradition to get together as a family,
[00:38:53.800 --> 00:38:57.800]   tradition to get together and put on a big feast,
[00:38:57.800 --> 00:38:59.800]   tradition to, you know, bake the turkey,
[00:38:59.800 --> 00:39:01.800]   all that kind of stuff.
[00:39:01.800 --> 00:39:03.800]   And in our family, we try to make sure that,
[00:39:03.800 --> 00:39:05.800]   in many ways, we protect this tradition
[00:39:05.800 --> 00:39:09.800]   because it is such a sweet time for our worship to God
[00:39:09.800 --> 00:39:11.800]   and together as a family.
[00:39:11.800 --> 00:39:13.800]   And one of the ways we protect it is say,
[00:39:13.800 --> 00:39:17.800]   "Hey, no premature Christmas song singing."
[00:39:17.800 --> 00:39:20.800]   We try to make sure that we don't just bypass Christmas.
[00:39:20.800 --> 00:39:22.800]   Obviously, we love Christmas carols,
[00:39:22.800 --> 00:39:25.800]   we love all the Christmas songs and festivities,
[00:39:25.800 --> 00:39:27.800]   but we try not to bypass it.
[00:39:27.800 --> 00:39:30.800]   What's more, my request is let's not call this season
[00:39:30.800 --> 00:39:34.800]   like Harvest Festival season because, as you know,
[00:39:34.800 --> 00:39:36.800]   Harvest Festival, that kind of thing,
[00:39:36.800 --> 00:39:38.800]   is practiced by almost every religion.
[00:39:38.800 --> 00:39:40.800]   I mean, you just go back as long as mankind
[00:39:40.800 --> 00:39:42.800]   has ever planted a seed,
[00:39:42.800 --> 00:39:44.800]   they had some kind of annual festivities
[00:39:44.800 --> 00:39:46.800]   for Harvest Season,
[00:39:46.800 --> 00:39:48.800]   praying that it would be bountiful,
[00:39:48.800 --> 00:39:50.800]   praying that the gods would bless them.
[00:39:50.800 --> 00:39:54.800]   So Greeks, Romans, Chinese, Korean,
[00:39:54.800 --> 00:39:56.800]   they have Harvest Festivals, right?
[00:39:56.800 --> 00:39:59.800]   So obviously, we're not necessarily celebrating that
[00:39:59.800 --> 00:40:02.800]   as a tradition, but here in America, we celebrate
[00:40:02.800 --> 00:40:05.800]   what is typically known as, essentially,
[00:40:05.800 --> 00:40:08.800]   kind of the start of the country.
[00:40:08.800 --> 00:40:10.800]   Looking back a little bit into history,
[00:40:10.800 --> 00:40:12.800]   I want to take a moment to go back
[00:40:12.800 --> 00:40:15.800]   and kind of appreciate what has happened.
[00:40:15.800 --> 00:40:17.800]   You guys know that on the Mayflower,
