
[00:00:00.000 --> 00:00:02.000]   >> One minute.
[00:01:38.000 --> 00:01:42.000]   Father, as we have just discussed,
[00:01:42.000 --> 00:01:48.000]   help us not to forget the why behind all these applications
[00:01:48.000 --> 00:01:52.000]   we're exhorted to have in our lives.
[00:01:52.000 --> 00:01:54.000]   Ultimately, it's for your glory,
[00:01:54.000 --> 00:02:00.000]   for adorning the doctrine of our God, our Savior,
[00:02:00.000 --> 00:02:03.000]   and help us, Lord God, to leave here after the teaching,
[00:02:03.000 --> 00:02:06.000]   after the sharing and the praying,
[00:02:06.000 --> 00:02:12.000]   just longing to just be better representatives of your truth.
[00:02:12.000 --> 00:02:19.000]   So would you minister to us in this time of short feeding
[00:02:19.000 --> 00:02:23.000]   and help us to really apply appropriately
[00:02:23.000 --> 00:02:26.000]   in all these things we pray in Jesus' name?
[00:02:26.000 --> 00:02:29.000]   So the first couple slides is a review of last week,
[00:02:29.000 --> 00:02:32.000]   but I felt like it's important because the context
[00:02:32.000 --> 00:02:34.000]   of what we're looking at today is the same.
[00:02:34.000 --> 00:02:36.000]   Okay?
[00:02:36.000 --> 00:02:43.000]   So the whole thrust is how should we behave as Christians?
[00:02:43.000 --> 00:02:47.000]   And if you guys noticed the repetition of good deeds
[00:02:47.000 --> 00:02:50.000]   and show yourself, that showed up twice today.
[00:02:50.000 --> 00:02:53.000]   Najarez, if you saw that, show, show, right?
[00:02:53.000 --> 00:02:55.000]   It's to be measurable, right?
[00:02:55.000 --> 00:02:58.000]   Are Christians supposed to judge Christians,
[00:02:58.000 --> 00:02:59.000]   I mean, in the best of ways?
[00:02:59.000 --> 00:03:02.000]   Absolutely, right?
[00:03:02.000 --> 00:03:04.000]   Our works are supposed to be visible.
[00:03:04.000 --> 00:03:07.000]   So how should we behave as Christians
[00:03:07.000 --> 00:03:11.000]   is what we're looking at in chapters 2, verses 1 through 10.
[00:03:11.000 --> 00:03:15.000]   And as we looked at the why should we behave as Christians
[00:03:15.000 --> 00:03:17.000]   is actually more important.
[00:03:17.000 --> 00:03:20.000]   So one, it's to be a good example to the next generation
[00:03:20.000 --> 00:03:23.000]   of Christians, to be faithful stewards of the word of God,
[00:03:23.000 --> 00:03:26.000]   nonbelievers and scoffers, that they may be silenced,
[00:03:26.000 --> 00:03:29.000]   and that we as Christians can make the doctrine of God
[00:03:29.000 --> 00:03:31.000]   attractive and beautiful to nonbelievers.
[00:03:31.000 --> 00:03:34.000]   So that's, like, all the qualities,
[00:03:34.000 --> 00:03:37.000]   even if you're an older man, some of the things
[00:03:37.000 --> 00:03:40.000]   that are in the qualities for younger women,
[00:03:40.000 --> 00:03:42.000]   we should strive to excel at those things too, right,
[00:03:42.000 --> 00:03:44.000]   where appropriate.
[00:03:44.000 --> 00:03:47.000]   So the ultimate point in chapter 2 really is
[00:03:47.000 --> 00:03:52.000]   the evangelistic impact of a spiritually healthy congregation.
[00:03:52.000 --> 00:03:55.000]   It's not for our well-being, it really is for God's glory,
[00:03:55.000 --> 00:03:57.000]   and that's the thrust.
[00:03:57.000 --> 00:04:02.000]   And like I shared with you last week, when I break it down,
[00:04:02.000 --> 00:04:06.000]   I look at all the--like, I'm just doing this in English,
[00:04:06.000 --> 00:04:10.000]   and I look at this, and I have all the commands on the side.
[00:04:10.000 --> 00:04:13.000]   And I discovered today that in chapter 2, verse 9,
[00:04:13.000 --> 00:04:15.000]   that urge is not in the command.
[00:04:15.000 --> 00:04:18.000]   So then I'll go back, and I will--
[00:04:18.000 --> 00:04:21.000]   and you guys notice that? It's italicized.
[00:04:21.000 --> 00:04:23.000]   It's implied from previous verses.
[00:04:23.000 --> 00:04:27.000]   But all of these are commands given to Titus.
[00:04:27.000 --> 00:04:29.000]   These are the groups.
[00:04:29.000 --> 00:04:32.000]   And today we looked at young men, Titus himself,
[00:04:32.000 --> 00:04:36.000]   and bond slaves, and there are four hinnas,
[00:04:36.000 --> 00:04:38.000]   the so-that's, right?
[00:04:38.000 --> 00:04:43.000]   And that's the reason why we are called to do these things.
[00:04:43.000 --> 00:04:47.000]   And so whenever you look at a chapter,
[00:04:47.000 --> 00:04:52.000]   it's also important not to get lost in the nitty-gritty details
[00:04:52.000 --> 00:04:54.000]   of, like, one particular verse.
[00:04:54.000 --> 00:04:57.000]   You want to look at it in the context of the whole.
[00:04:57.000 --> 00:04:58.000]   All right?
[00:04:58.000 --> 00:05:01.000]   So because a lot of what we looked at today
[00:05:01.000 --> 00:05:04.000]   is similar to elements for the elders in chapter 1
[00:05:04.000 --> 00:05:06.000]   and the things that we looked at last week,
[00:05:06.000 --> 00:05:09.000]   I'm going to do something a little bit different today.
[00:05:09.000 --> 00:05:11.000]   I'm going to go over one word, "sensible,"
[00:05:11.000 --> 00:05:13.000]   and then I'm going to look at bond slaves
[00:05:13.000 --> 00:05:15.000]   and how it relates to us, and that's--
[00:05:15.000 --> 00:05:17.000]   hopefully it's going to be a little bit shorter.
[00:05:17.000 --> 00:05:19.000]   So here's chapter 2, verse 6.
[00:05:19.000 --> 00:05:23.000]   It says, "Sensible, likewise urge the young men
[00:05:23.000 --> 00:05:25.000]   to be sensible," and this word "sensible,"
[00:05:25.000 --> 00:05:27.000]   now it's the fourth time it's shown up.
[00:05:27.000 --> 00:05:31.000]   It's going to show up again next week in an adverb form.
[00:05:31.000 --> 00:05:32.000]   Okay?
[00:05:32.000 --> 00:05:38.000]   So the word "sensible" is "sophron,"
[00:05:38.000 --> 00:05:43.000]   and it's very--it's a very talented word
[00:05:43.000 --> 00:05:46.000]   because it can take the shape of many different meanings.
[00:05:46.000 --> 00:05:47.000]   Okay?
[00:05:47.000 --> 00:05:51.000]   So the way I read the word "sensible," "sophron,"
[00:05:51.000 --> 00:05:55.000]   it really is having the mind of Christ.
[00:05:55.000 --> 00:05:57.000]   Okay, having a balanced mind of Christ,
[00:05:57.000 --> 00:06:01.000]   being sound, spiritual mind.
[00:06:01.000 --> 00:06:02.000]   All right?
[00:06:02.000 --> 00:06:05.000]   So here the definition is "possessing mental
[00:06:05.000 --> 00:06:09.000]   and emotional composure," not being distracted,
[00:06:09.000 --> 00:06:11.000]   not impulsive, but focused,
[00:06:11.000 --> 00:06:15.000]   and this was a requirement for pastors, elders.
[00:06:15.000 --> 00:06:18.000]   It's a requirement for older men, for younger women,
[00:06:18.000 --> 00:06:23.000]   and here for the younger men as well.
[00:06:23.000 --> 00:06:24.000]   Okay?
[00:06:24.000 --> 00:06:27.000]   And this is how elsewhere in the New Testament
[00:06:27.000 --> 00:06:29.000]   the word "sensible" has been used.
[00:06:29.000 --> 00:06:33.000]   So to give you the multi-talented usages
[00:06:33.000 --> 00:06:36.000]   of this word "sensible," to kind of give you a mean--
[00:06:36.000 --> 00:06:40.000]   like a better feel for the meaning of the word "sensible."
[00:06:40.000 --> 00:06:44.000]   Mark 5:15, this is the demoniac, okay?
[00:06:44.000 --> 00:06:46.000]   "They came to Jesus and observed the man
[00:06:46.000 --> 00:06:48.000]   who had been demon-possessed sitting down,
[00:06:48.000 --> 00:06:52.000]   clothed and sophron."
[00:06:52.000 --> 00:06:54.000]   The very man who had the legion,
[00:06:54.000 --> 00:06:57.000]   and they became frightened.
[00:06:57.000 --> 00:07:00.000]   So this is almost made whole, restored.
[00:07:00.000 --> 00:07:02.000]   Demon has been cast out.
[00:07:02.000 --> 00:07:05.000]   He is now sophron.
[00:07:05.000 --> 00:07:08.000]   Another way it's being used, Romans 12:3,
[00:07:08.000 --> 00:07:11.000]   "For through the grace given to me,
[00:07:11.000 --> 00:07:13.000]   I say to everyone among you
[00:07:13.000 --> 00:07:16.000]   not to think more highly of himself
[00:07:16.000 --> 00:07:18.000]   than he ought to think,
[00:07:18.000 --> 00:07:21.000]   but to think so as to sophron,
[00:07:21.000 --> 00:07:23.000]   have sound judgment,
[00:07:23.000 --> 00:07:25.000]   as God has allotted to each man
[00:07:25.000 --> 00:07:28.000]   each a measure of faith."
[00:07:28.000 --> 00:07:32.000]   So here is an objective humility as well, right?
[00:07:32.000 --> 00:07:36.000]   Humility is not insecurity or like inferiority complex.
[00:07:36.000 --> 00:07:39.000]   If you are really good at something,
[00:07:39.000 --> 00:07:42.000]   saying you're not is not humility.
[00:07:42.000 --> 00:07:47.000]   That's just disguised pride, right?
[00:07:47.000 --> 00:07:50.000]   But here, understanding that
[00:07:50.000 --> 00:07:53.000]   all that we've been given is from the grace of God,
[00:07:53.000 --> 00:07:58.000]   just being a humble person
[00:07:58.000 --> 00:08:00.000]   with a sound mind, okay,
[00:08:00.000 --> 00:08:02.000]   is also a way sophron is used.
[00:08:02.000 --> 00:08:05.000]   2 Corinthians 5, 13-14,
[00:08:05.000 --> 00:08:08.000]   this is Paul talking about his cohorts,
[00:08:08.000 --> 00:08:11.000]   "For if we are beside ourselves, it is for God.
[00:08:11.000 --> 00:08:14.000]   If we are of sound mind, it is for you.
[00:08:14.000 --> 00:08:16.000]   For the love of Christ controls us,
[00:08:16.000 --> 00:08:19.000]   having concluded this, that one died for all,
[00:08:19.000 --> 00:08:21.000]   therefore all died."
[00:08:21.000 --> 00:08:24.000]   So here's an element of a very contained,
[00:08:24.000 --> 00:08:28.000]   controlled zeal, okay?
[00:08:28.000 --> 00:08:30.000]   1 Peter 4, 7,
[00:08:30.000 --> 00:08:35.000]   "The end of all things is near, therefore be sophron."
[00:08:35.000 --> 00:08:38.000]   So thinking clearly.
[00:08:38.000 --> 00:08:40.000]   And in Ephesians 5, 18, like we looked at last week,
[00:08:40.000 --> 00:08:42.000]   being filled with the spirit.
[00:08:42.000 --> 00:08:44.000]   Really, right?
[00:08:44.000 --> 00:08:46.000]   Like just don't be drunk on wine,
[00:08:46.000 --> 00:08:48.000]   or Netflix, or video games,
[00:08:48.000 --> 00:08:50.000]   or the internet, or Facebook,
[00:08:50.000 --> 00:08:52.000]   or social media, nothing.
[00:08:52.000 --> 00:08:55.000]   Just be filled with the spirit
[00:08:55.000 --> 00:08:58.000]   is another way I would describe sophron, sensible.
[00:08:58.000 --> 00:09:00.000]   It's a fruit of the spirit.
[00:09:00.000 --> 00:09:02.000]   The word sophron doesn't show up in the fruit of the spirit,
[00:09:02.000 --> 00:09:04.000]   but its adjectives, or its, what do you call it,
[00:09:04.000 --> 00:09:06.000]   synonyms do, alright?
[00:09:06.000 --> 00:09:08.000]   And the reason I wanted to do it like this
[00:09:08.000 --> 00:09:12.000]   is because sophron is mentioned often
[00:09:12.000 --> 00:09:14.000]   in all these lists, okay?
[00:09:14.000 --> 00:09:18.000]   And it comes in different shapes and colors,
[00:09:18.000 --> 00:09:23.000]   but all of it really is having the mind of Christ, okay?
[00:09:23.000 --> 00:09:26.000]   And not being, not having that mind
[00:09:26.000 --> 00:09:30.000]   distracted or perverted in any way.
[00:09:30.000 --> 00:09:35.000]   So I'm gonna get to some fun stuff here.
[00:09:35.000 --> 00:09:39.000]   We're gonna look at verse 9 and 10.
[00:09:39.000 --> 00:09:42.000]   "Urge bond slaves to be subject to their own masters
[00:09:42.000 --> 00:09:44.000]   "and everything to be well-pleasing,
[00:09:44.000 --> 00:09:45.000]   "not argumentative, not pilfering,
[00:09:45.000 --> 00:09:46.000]   "but showing all good faith
[00:09:46.000 --> 00:09:48.000]   "so that they will adorn the doctrine of God,
[00:09:48.000 --> 00:09:51.000]   "our Savior, in every respect."
[00:09:51.000 --> 00:09:53.000]   I'm just gonna be looking at the word masters.
[00:09:53.000 --> 00:09:55.000]   The Greek word is despotis.
[00:09:55.000 --> 00:09:57.000]   It sounds like what?
[00:09:57.000 --> 00:09:59.000]   Despot, okay?
[00:09:59.000 --> 00:10:03.000]   So it denotes a person with absolute power and authority.
[00:10:03.000 --> 00:10:06.000]   Now the slavery, or the master-slave relationship
[00:10:06.000 --> 00:10:09.000]   that we think of in more modern history,
[00:10:09.000 --> 00:10:14.000]   it is different from that of biblical times, okay?
[00:10:14.000 --> 00:10:19.000]   So there is more of an employee-employer feel,
[00:10:19.000 --> 00:10:23.000]   just minus any kind of union protection, all right?
[00:10:23.000 --> 00:10:24.000]   Just think of it like that.
[00:10:24.000 --> 00:10:25.000]   You have no rights.
[00:10:25.000 --> 00:10:28.000]   But it's not like the slavery that we're thinking of
[00:10:28.000 --> 00:10:31.000]   when we're looking at, like, Civil War, okay?
[00:10:31.000 --> 00:10:34.000]   So a despotis really is a master.
[00:10:34.000 --> 00:10:37.000]   One question that I asked as I was preparing this was like,
[00:10:37.000 --> 00:10:40.000]   in Colossians, there's actually requirements
[00:10:40.000 --> 00:10:41.000]   for Christian masters, too.
[00:10:41.000 --> 00:10:44.000]   How come in Titus there's nothing about masters?
[00:10:44.000 --> 00:10:46.000]   I thought that just was interesting.
[00:10:46.000 --> 00:10:49.000]   Were there no Cretan Christian masters at this time?
[00:10:49.000 --> 00:10:51.000]   Only bond slaves?
[00:10:51.000 --> 00:10:53.000]   Bond slaves seem to have a lot of freedom.
[00:10:53.000 --> 00:10:55.000]   They can pilfer.
[00:10:55.000 --> 00:10:56.000]   They can talk back.
[00:10:56.000 --> 00:10:58.000]   It's like, how dare you, right?
[00:10:58.000 --> 00:11:04.000]   So there's stuff that these masters have power over
[00:11:04.000 --> 00:11:06.000]   in terms of a person.
[00:11:06.000 --> 00:11:07.000]   Okay?
[00:11:07.000 --> 00:11:09.000]   And here's just something that, like, on his commentary on Titus
[00:11:09.000 --> 00:11:12.000]   that John MacArthur wrote that I just wanted to share.
[00:11:12.000 --> 00:11:14.000]   If bond slaves are obligated to submit to their absolute
[00:11:14.000 --> 00:11:17.000]   and often cruel and arbitrary masters,
[00:11:17.000 --> 00:11:20.000]   how much more are free believers obligated to submit
[00:11:20.000 --> 00:11:23.000]   to an employer, even one who is mean, unreasonable,
[00:11:23.000 --> 00:11:24.000]   and overbearing?
[00:11:24.000 --> 00:11:27.000]   And we're going to--I'm going to talk about this toward the end.
[00:11:27.000 --> 00:11:38.000]   But in your workplaces, there is a master figure, right?
[00:11:38.000 --> 00:11:43.000]   So I want to see how verses 9 through 10 apply to us, okay?
[00:11:43.000 --> 00:11:50.000]   So verse 9, it talks about, "In everything to be well-pleasing."
[00:11:50.000 --> 00:11:51.000]   Okay?
[00:11:51.000 --> 00:11:55.000]   Then that causes you, if you're a very good Bible student,
[00:11:55.000 --> 00:11:57.000]   to start asking all kinds of inductive questions.
[00:11:57.000 --> 00:11:59.000]   What does "in everything" mean?
[00:11:59.000 --> 00:12:00.000]   Right?
[00:12:00.000 --> 00:12:03.000]   If they tell us to go kill somebody, do we do that?
[00:12:03.000 --> 00:12:07.000]   If they tell us to lie and change this form
[00:12:07.000 --> 00:12:11.000]   or submit a faulty report, is that what we do?
[00:12:11.000 --> 00:12:12.000]   Right?
[00:12:12.000 --> 00:12:15.000]   And you guys inevitably may come to situations
[00:12:15.000 --> 00:12:19.000]   where you're actually asked to do stuff like--
[00:12:19.000 --> 00:12:21.000]   that goes against your conscience, right?
[00:12:21.000 --> 00:12:25.000]   So one thing that's tricky about making absolutes--
[00:12:25.000 --> 00:12:28.000]   we're going to get to one in chapter 3
[00:12:28.000 --> 00:12:32.000]   where it says, "Remind them to be obedient to the authorities."
[00:12:32.000 --> 00:12:34.000]   It's like, "Ooh, but what does that mean?"
[00:12:34.000 --> 00:12:35.000]   Right?
[00:12:35.000 --> 00:12:41.000]   So when the Scripture commands us to do something like this,
[00:12:41.000 --> 00:12:46.000]   and then we also know in Scriptures, like Acts 5:28-29,
[00:12:46.000 --> 00:12:49.000]   we must obey God rather than men.
[00:12:49.000 --> 00:12:51.000]   Wait, which one are we to apply?
[00:12:51.000 --> 00:12:53.000]   Right?
[00:12:53.000 --> 00:12:58.000]   Acts 25, 28-29, saying, "We gave you strict orders
[00:12:58.000 --> 00:13:00.000]   not to continue teaching in this name,
[00:13:00.000 --> 00:13:02.000]   and yet you have filled Jerusalem with your teaching
[00:13:02.000 --> 00:13:06.000]   and intend to bring this man's blood upon us."
[00:13:06.000 --> 00:13:08.000]   But Peter and the apostles answered,
[00:13:08.000 --> 00:13:14.000]   "We must obey God rather than men."
[00:13:14.000 --> 00:13:18.000]   So now there are probably going to be many,
[00:13:18.000 --> 00:13:21.000]   like, "But what about..." kind of questions
[00:13:21.000 --> 00:13:23.000]   that come into your mind.
[00:13:23.000 --> 00:13:26.000]   But I'm going to try to keep it simple.
[00:13:26.000 --> 00:13:29.000]   As far as it doesn't cause you to have to sin
[00:13:29.000 --> 00:13:35.000]   or compromise, truth.
[00:13:35.000 --> 00:13:40.000]   Here it says, "Be subject to your masters in everything."
[00:13:40.000 --> 00:13:45.000]   As far as--however far you have to go,
[00:13:45.000 --> 00:13:48.000]   "Be subject to your own masters in everything
[00:13:48.000 --> 00:13:51.000]   to the point where, or as long as,
[00:13:51.000 --> 00:13:54.000]   it doesn't cause you to have to sin or compromise truth."
[00:13:54.000 --> 00:13:55.000]   Okay?
[00:13:55.000 --> 00:13:57.000]   Now, there's tension already.
[00:13:57.000 --> 00:14:00.000]   Okay? I'm going to unpack this a little bit.
[00:14:00.000 --> 00:14:05.000]   Titus 2--or 1 Peter 2, 18-19 in Colossians 3
[00:14:05.000 --> 00:14:07.000]   also give us additional instructions
[00:14:07.000 --> 00:14:11.000]   on how bond slaves are to be toward their masters.
[00:14:11.000 --> 00:14:16.000]   1 Peter 2, "Servants, be submissive to your masters
[00:14:16.000 --> 00:14:20.000]   with all respect, not only to those who are good
[00:14:20.000 --> 00:14:25.000]   and gentle, but also to those who are unreasonable.
[00:14:25.000 --> 00:14:29.000]   For this finds favor, if for the sake of conscience
[00:14:29.000 --> 00:14:33.000]   toward God a person bears up under sorrows
[00:14:33.000 --> 00:14:40.000]   when suffering unjustly."
[00:14:40.000 --> 00:14:44.000]   Colossians 3, 1-3, and then 22-24.
[00:14:44.000 --> 00:14:46.000]   We're looking at our identity first,
[00:14:46.000 --> 00:14:49.000]   and then the exhortations to slaves.
[00:14:49.000 --> 00:14:52.000]   "Therefore, if you have been raised up with Christ,
[00:14:52.000 --> 00:14:54.000]   keep seeking the things above,
[00:14:54.000 --> 00:14:57.000]   where Christ is seated at the right hand of God.
[00:14:57.000 --> 00:14:59.000]   Set your mind on the things above,
[00:14:59.000 --> 00:15:01.000]   not on the things that are on the earth.
[00:15:01.000 --> 00:15:04.000]   For you have died, and your life is hidden
[00:15:04.000 --> 00:15:07.000]   with Christ in God."
[00:15:07.000 --> 00:15:11.000]   So that's the premise of the beginning of Colossians,
[00:15:11.000 --> 00:15:14.000]   and here's one application for slaves.
[00:15:14.000 --> 00:15:18.000]   "Slaves, in all things obey those
[00:15:18.000 --> 00:15:21.000]   who are your masters on earth,
[00:15:21.000 --> 00:15:26.000]   not with external service as those who merely please men,
[00:15:26.000 --> 00:15:30.000]   but with sincerity of heart, fearing the Lord.
[00:15:30.000 --> 00:15:34.000]   Whatever you do, do your work heartily.
[00:15:34.000 --> 00:15:38.000]   Ask for the Lord rather than for men,
[00:15:38.000 --> 00:15:40.000]   knowing that from the Lord you will receive
[00:15:40.000 --> 00:15:43.000]   the reward of the inheritance.
[00:15:43.000 --> 00:15:49.000]   It is the Lord Christ whom you serve."
[00:15:49.000 --> 00:15:52.000]   Now, obviously, there are going to be some differences
[00:15:52.000 --> 00:15:56.000]   between the situation of the bond slaves in Crete
[00:15:56.000 --> 00:16:00.000]   to our situations being workers
[00:16:00.000 --> 00:16:05.000]   in Orange County, United States in 2021,
[00:16:05.000 --> 00:16:10.000]   but just draw the appropriate parallels, okay?
[00:16:10.000 --> 00:16:17.000]   If you are an employee, and you have an employer, okay?
[00:16:17.000 --> 00:16:21.000]   Can that be--
[00:16:21.000 --> 00:16:23.000]   can the bond slave master illustration
[00:16:23.000 --> 00:16:26.000]   be applicable to your situation, yes or no?
[00:16:26.000 --> 00:16:31.000]   Yeah. Raise your hand if you have an employer.
[00:16:31.000 --> 00:16:33.000]   Okay, that's most of you.
[00:16:33.000 --> 00:16:35.000]   If you're a boss, there's nothing in here about bosses,
[00:16:35.000 --> 00:16:38.000]   so we're going to leave you alone for tonight, all right?
[00:16:38.000 --> 00:16:42.000]   But most of us are employees.
[00:16:42.000 --> 00:16:46.000]   So when you're trying to figure out how to honor the Lord
[00:16:46.000 --> 00:16:50.000]   by applying these verses in Titus, 1 Peter,
[00:16:50.000 --> 00:16:53.000]   Colossians appropriately, there are going to be times
[00:16:53.000 --> 00:16:56.000]   where it's very uncomfortable trying to figure out
[00:16:56.000 --> 00:17:04.000]   what is the best way to, like, be faithful
[00:17:04.000 --> 00:17:07.000]   to what the scriptures are telling me to do
[00:17:07.000 --> 00:17:10.000]   and being very unhappy at work, right?
[00:17:10.000 --> 00:17:13.000]   Like, the owner is nudging me towards
[00:17:13.000 --> 00:17:15.000]   some kind of a compromise.
[00:17:15.000 --> 00:17:17.000]   How do I--right?
[00:17:17.000 --> 00:17:19.000]   There's going to be a lot of situations
[00:17:19.000 --> 00:17:21.000]   that will make you feel uncomfortable,
[00:17:21.000 --> 00:17:24.000]   and that's normal, okay,
[00:17:24.000 --> 00:17:26.000]   because we're living in a fallen world.
[00:17:26.000 --> 00:17:29.000]   But in Colossians, at the end, it actually says
[00:17:29.000 --> 00:17:34.000]   it's the Lord Christ whom you serve.
[00:17:34.000 --> 00:17:39.000]   So have you thought about this question?
[00:17:39.000 --> 00:17:46.000]   At your workplace, are you serving the Lord?
[00:17:46.000 --> 00:17:52.000]   If you've never asked this question, shame on you,
[00:17:52.000 --> 00:17:57.000]   because you've, like, you've--what do you call that?
[00:17:57.000 --> 00:18:00.000]   Like, just divided your spheres of life, right?
[00:18:00.000 --> 00:18:02.000]   I'm at work.
[00:18:02.000 --> 00:18:04.000]   I'm all in it for me and my future and my career
[00:18:04.000 --> 00:18:06.000]   and blah, blah, blah.
[00:18:06.000 --> 00:18:09.000]   At church, I'm a holy, moly Christian.
[00:18:09.000 --> 00:18:13.000]   At home, kind of like a combination of the two.
[00:18:13.000 --> 00:18:16.000]   I don't know.
[00:18:16.000 --> 00:18:19.000]   But one thing that I wanted to emphasize tonight
[00:18:19.000 --> 00:18:26.000]   is that if you are an employee anywhere,
[00:18:26.000 --> 00:18:30.000]   you are a missionary.
[00:18:30.000 --> 00:18:33.000]   Nod your heads if you understand.
[00:18:33.000 --> 00:18:35.000]   It's not try to be a missionary.
[00:18:35.000 --> 00:18:37.000]   You are.
[00:18:37.000 --> 00:18:47.000]   You are a representative of Christ in that place.
[00:18:47.000 --> 00:18:48.000]   Just by default.
[00:18:48.000 --> 00:18:50.000]   Unless you've never shared with anybody about your faith,
[00:18:50.000 --> 00:18:53.000]   about church, okay, then that's a different problem
[00:18:53.000 --> 00:18:55.000]   in and of itself.
[00:18:55.000 --> 00:18:59.000]   But in this area where there is a human master
[00:18:59.000 --> 00:19:03.000]   under whom you're supposed to be subject at work
[00:19:03.000 --> 00:19:06.000]   for some kind of compensation, obviously,
[00:19:06.000 --> 00:19:10.000]   you are a Christian bond slave.
[00:19:10.000 --> 00:19:13.000]   And as a Christian bond slave,
[00:19:13.000 --> 00:19:18.000]   it is the Lord Christ whom you are serving in that arena,
[00:19:18.000 --> 00:19:21.000]   whether you realize it or not.
[00:19:21.000 --> 00:19:23.000]   Okay?
[00:19:23.000 --> 00:19:25.000]   So the thing that I want to emphasize,
[00:19:25.000 --> 00:19:27.000]   because we don't need to go into all the, like,
[00:19:27.000 --> 00:19:29.000]   what does this word mean, what does that word mean,
[00:19:29.000 --> 00:19:32.000]   because this section has kept it, for the most part,
[00:19:32.000 --> 00:19:37.000]   pretty simple.
[00:19:37.000 --> 00:19:39.000]   But the things that I wanted to challenge you with,
[00:19:39.000 --> 00:19:41.000]   tonight's more of a pastoral, like,
[00:19:41.000 --> 00:19:45.000]   let's really get to the nitty-gritty of where the rubber
[00:19:45.000 --> 00:19:47.000]   meets the road.
[00:19:47.000 --> 00:19:52.000]   In your workplace, in your mission field,
[00:19:52.000 --> 00:19:56.000]   are you regularly preparing for and engaging
[00:19:56.000 --> 00:20:03.000]   in spiritual combat?
[00:20:03.000 --> 00:20:11.000]   In your mission field, are you gearing up really
[00:20:11.000 --> 00:20:16.000]   for spiritual combat?
[00:20:16.000 --> 00:20:26.000]   Are you there to make money or to glorify the Lord?
[00:20:26.000 --> 00:20:29.000]   Are you there to put in your time,
[00:20:29.000 --> 00:20:32.000]   or in your mission field, do you have a concern
[00:20:32.000 --> 00:20:36.000]   and a care for souls?
[00:20:36.000 --> 00:20:38.000]   And if you're going to, we're going to look at verse 11,
[00:20:38.000 --> 00:20:40.000]   and you're going to see why I'm making this jump.
[00:20:40.000 --> 00:20:41.000]   Okay, it's not a jump.
[00:20:41.000 --> 00:20:43.000]   It's a natural, logical flow.
[00:20:43.000 --> 00:20:49.000]   Are you caring about the souls that are at your job?
[00:20:49.000 --> 00:20:52.000]   So for me, sometimes I wonder, people who prefer
