
[00:00:00.000 --> 00:00:06.880]   [Pause]
[00:04:26.880 --> 00:04:29.940]   And it was just very open.
[00:04:29.940 --> 00:04:34.060]   In fact, one of the guys actually joked with us because we were sitting around a bunch
[00:04:34.060 --> 00:04:36.260]   of pastors at late at night talking.
[00:04:36.260 --> 00:04:39.780]   One guy came in and he said, "Hey, you guys want to go and have fun with us?"
[00:04:39.780 --> 00:04:41.100]   And they were drinking.
[00:04:41.100 --> 00:04:44.220]   And so we just kind of laughed it off and a bunch of pastors sitting around talking
[00:04:44.220 --> 00:04:45.580]   about ministry.
[00:04:45.580 --> 00:04:48.220]   And then they were coming trying to get us to go with them.
[00:04:48.220 --> 00:04:49.460]   And we're just kind of laughing it off.
[00:04:49.460 --> 00:04:55.060]   The next thing we see is two young, very young Filipino girls walking and going out with
[00:04:55.060 --> 00:04:56.060]   them.
[00:04:56.060 --> 00:04:59.340]   And that's when it kind of hit us what was happening.
[00:04:59.340 --> 00:05:03.540]   And again, all of this stuff is happening because of poverty.
[00:05:03.540 --> 00:05:05.860]   And they're not there doing this forcefully.
[00:05:05.860 --> 00:05:10.480]   It's happening because a lot of the families don't have any other options.
[00:05:10.480 --> 00:05:15.980]   So a lot of times a young girl will go and sell herself to these older men to get enough
[00:05:15.980 --> 00:05:16.980]   money.
[00:05:16.980 --> 00:05:21.380]   And they're not going to using this money to buy better cars or live in a nice house.
[00:05:21.380 --> 00:05:24.220]   A lot of times it's just to buy medicine.
[00:05:24.220 --> 00:05:28.500]   That somebody has pneumonia and they don't have enough money for medicine.
[00:05:28.500 --> 00:05:34.060]   The only way to get enough money to pay for this is for one of the girls to go sell themselves.
[00:05:34.060 --> 00:05:38.300]   And I didn't hear this myself, but Pastor Peter said in his previous trips, he had one
[00:05:38.300 --> 00:05:40.340]   man stand up and give a testimony.
[00:05:40.340 --> 00:05:44.100]   And every church we went to, they were giving testimonies of what was happening and how
[00:05:44.100 --> 00:05:45.620]   they received the Lord.
[00:05:45.620 --> 00:05:50.620]   And he said one man stood up and gave a testimony of how before he met the Lord, he took his
[00:05:50.620 --> 00:05:56.980]   13 year old daughter and basically gave her to a Russian man to have sex with her.
[00:05:56.980 --> 00:06:01.000]   And then he took that money and he basically went drinking with it.
[00:06:01.000 --> 00:06:04.780]   And he was confessing how filthy and dirty he was and how God forgave his sins.
[00:06:04.780 --> 00:06:07.820]   And again, he was crying and he was sharing this story.
[00:06:07.820 --> 00:06:12.100]   And he shared another story about a young girl who was part of the program and she dropped
[00:06:12.100 --> 00:06:14.260]   out and didn't show up for a while.
[00:06:14.260 --> 00:06:16.100]   So they were wondering what happened.
[00:06:16.100 --> 00:06:21.500]   So they went and found the parents and found out that the parents ended up selling her
[00:06:21.500 --> 00:06:24.700]   to a Middle Eastern man and took her basically as a slave.
[00:06:24.700 --> 00:06:28.260]   And the parents did that because they felt like that was the only way that the rest of
[00:06:28.260 --> 00:06:30.140]   the family could survive.
[00:06:30.140 --> 00:06:35.820]   Now this is again heart wrenching stories, but these things are happening routinely all
[00:06:35.820 --> 00:06:37.780]   over the world.
[00:06:37.780 --> 00:06:42.060]   You and I happen to be living in an area of the world where it's just shocking to hear
[00:06:42.060 --> 00:06:43.060]   this.
[00:06:43.060 --> 00:06:45.520]   But when you're in the midst of this, to them it's everyday life.
[00:06:45.520 --> 00:06:48.160]   That's the only way that they know how to survive.
[00:06:48.160 --> 00:06:51.380]   And that's the sin of what we see around us.
[00:06:51.380 --> 00:06:56.220]   But again, ultimately the problem is not poverty in itself.
[00:06:56.220 --> 00:06:58.940]   We can get sidetracked and think, well, here's these problems.
[00:06:58.940 --> 00:06:59.940]   We have money.
[00:06:59.940 --> 00:07:03.700]   We can put some money into that and we can fix this problem.
[00:07:03.700 --> 00:07:06.300]   Those things are only symptoms.
[00:07:06.300 --> 00:07:11.060]   Whether it's sex trafficking or whether it's pornography or extreme poverty, whatever it
[00:07:11.060 --> 00:07:13.580]   may be, all of these things, it's not one.
[00:07:13.580 --> 00:07:19.300]   Wars, rumors of wars, all of these things are symptoms of what the scripture says about
[00:07:19.300 --> 00:07:21.940]   the fallen world.
[00:07:21.940 --> 00:07:26.780]   And that's why Paul is telling Timothy, he said, yes, you may end up forfeiting your
[00:07:26.780 --> 00:07:28.860]   life.
[00:07:28.860 --> 00:07:33.420]   And there's tremendous consequence of being a light in the dark world.
[00:07:33.420 --> 00:07:36.020]   But you are on the right path, Timothy.
[00:07:36.020 --> 00:07:39.940]   And he tells Timothy, he said, watch out because these men who have gone before you, they're
[00:07:39.940 --> 00:07:42.420]   not speaking the truth.
[00:07:42.420 --> 00:07:47.580]   They're producing false gospels, maybe even false miracles to divide the church, to confuse
[00:07:47.580 --> 00:07:54.140]   the church because our enemy knows that the church loses its strength once we are confused.
[00:07:54.140 --> 00:08:02.300]   So he tells Timothy, these people in chapter 2, 2 Timothy 3.13, these people are imposters.
[00:08:02.300 --> 00:08:06.380]   They will go from bad to worse, deceiving and being deceived.
[00:08:06.380 --> 00:08:11.500]   And Jesus continues to tell us to remain, continue steadfastly.
[00:08:11.500 --> 00:08:15.040]   And he tells Timothy, that's not you, Timothy.
[00:08:15.040 --> 00:08:20.300]   Sometimes we can get so caught up in our little world and we get so entangled with our immediate
[00:08:20.300 --> 00:08:22.100]   problems.
[00:08:22.100 --> 00:08:25.820]   And of course, if you can't pay your bills and if you're having a hard time taking care
[00:08:25.820 --> 00:08:31.620]   of your family, it's understandable that that becomes our primary focus.
[00:08:31.620 --> 00:08:38.420]   But sometimes when that's all we see and we don't see the larger picture of why we are
[00:08:38.420 --> 00:08:42.900]   here this morning to worship this God.
[00:08:42.900 --> 00:08:47.420]   You're not at a church that's teaching you that if you believe in Jesus and if you pray
[00:08:47.420 --> 00:08:51.420]   enough, and if you do the right things enough, that God's going to bless your business, he's
[00:08:51.420 --> 00:08:54.780]   going to make you healthy, he's going to give you many, many children.
[00:08:54.780 --> 00:08:56.040]   That's a lie.
[00:08:56.040 --> 00:08:57.780]   That's not what the scripture says.
[00:08:57.780 --> 00:09:00.940]   And I don't think any of you are here for that reason.
[00:09:00.940 --> 00:09:04.480]   You are, you're hearing the truth because you're, you're hearing and seeing and studying
[00:09:04.480 --> 00:09:06.700]   the word of God.
[00:09:06.700 --> 00:09:11.180]   But sometimes we can get so caught up in our little concerns and our little business that
[00:09:11.180 --> 00:09:17.700]   we're, that we get so entangled with, that we don't see the larger picture of why Christ
[00:09:17.700 --> 00:09:26.300]   came and why we worship him and why we are constantly reminded to proclaim him.
[00:09:26.300 --> 00:09:29.300]   Not simply because that's the right thing to do.
[00:09:29.300 --> 00:09:33.060]   It's not simply because that's what a good Christian does or because God, we want God
[00:09:33.060 --> 00:09:35.020]   to hear our prayers.
[00:09:35.020 --> 00:09:39.960]   Ultimately, because it's just common sense.
[00:09:39.960 --> 00:09:50.160]   If we truly believe that the answer to all the suffering of mankind is Christ crucified,
[00:09:50.160 --> 00:09:56.100]   then the natural response would be to proclaim him, to cling to him, to make sure that other
[00:09:56.100 --> 00:10:02.800]   people know of him, and to be constantly reminded week after week, day after day, this is why
[00:10:02.800 --> 00:10:04.940]   I live.
[00:10:04.940 --> 00:10:06.600]   This is why I go to school.
[00:10:06.600 --> 00:10:08.640]   This is why I make money.
[00:10:08.640 --> 00:10:10.520]   And this is what I want to do when I raise children.
[00:10:10.520 --> 00:10:14.520]   I don't want my children to be raised and think like, if you grow up and have a nice
[00:10:14.520 --> 00:10:19.400]   job and get a great job and pay bills and able to have a great vacation, I've done my
[00:10:19.400 --> 00:10:20.400]   job.
[00:10:20.400 --> 00:10:25.320]   Because that's not my goal and neither should it be yours.
[00:10:25.320 --> 00:10:31.640]   If we are genuine followers of Jesus Christ, and he tells Timothy, "Timothy, that is not
[00:10:31.640 --> 00:10:32.640]   you."
[00:10:32.640 --> 00:10:36.360]   And he's been telling Timothy to follow my example.
[00:10:36.360 --> 00:10:42.480]   And Paul repeatedly says it over and over again, "Follow me as I follow Christ.
[00:10:42.480 --> 00:10:45.760]   Follow me as I follow Christ."
[00:10:45.760 --> 00:10:51.080]   You know, one of the things that I feel bad for my children being raised in California
[00:10:51.080 --> 00:10:53.400]   is that they don't get to see snow.
[00:10:53.400 --> 00:10:58.240]   You know, the closest that they've ever seen snow was when we were driving to Victorville,
[00:10:58.240 --> 00:11:00.440]   going to their uncle's house, and there's snow falling on the freeway.
[00:11:00.440 --> 00:11:01.800]   And that's about it.
[00:11:01.800 --> 00:11:04.080]   And we've gone, of course, we've gone to the mountains to see snow.
[00:11:04.080 --> 00:11:10.400]   But after it's fallen and all the dirt and junk is on there and they're trying to make
[00:11:10.400 --> 00:11:13.560]   snowman out of half dirt, half snowman.
[00:11:13.560 --> 00:11:14.560]   You know what I mean?
[00:11:14.560 --> 00:11:15.960]   That's the closest they've gotten to see snow.
[00:11:15.960 --> 00:11:20.960]   But I remember whether it was when I was younger in Korea or living in Philadelphia, we had
[00:11:20.960 --> 00:11:23.320]   such bad snow storms.
[00:11:23.320 --> 00:11:27.360]   And I probably, in history, they'll probably say that was one of the worst snow storms
[00:11:27.360 --> 00:11:30.360]   ever and how all the adults had such a hard time.
[00:11:30.360 --> 00:11:33.880]   And our school was closed for a month.
[00:11:33.880 --> 00:11:38.160]   And maybe for them it was bad memories, but for me it was great memories.
[00:11:38.160 --> 00:11:41.640]   One because the school was closed down for a whole month.
[00:11:41.640 --> 00:11:46.280]   But secondly, seeing a lot of snow when you're a young kid, you know, that's fun.
[00:11:46.280 --> 00:11:51.040]   And I remember when I was a young kid, after the snow fell, you know, you try to go outside
[00:11:51.040 --> 00:11:52.040]   and you walk.
[00:11:52.040 --> 00:11:55.280]   And again, when you're too small, obviously, you have to be very careful.
[00:11:55.280 --> 00:12:00.640]   So, the way we would walk on the snow is to see where the adults went and stepped.
[00:12:00.640 --> 00:12:03.120]   Because they're heavier and they know where they're going.
[00:12:03.120 --> 00:12:04.600]   So all the steps that they took.
[00:12:04.600 --> 00:12:08.760]   So in order for us to be able to function in the snow, we'd have to find the footsteps
[00:12:08.760 --> 00:12:10.160]   that have gone before us.
[00:12:10.160 --> 00:12:13.400]   And we would step on those places because if we step on anywhere else, we may slip and
[00:12:13.400 --> 00:12:14.400]   fall.
[00:12:14.400 --> 00:12:18.360]   Well, that's the kind of image that I see when Paul is telling Timothy.
[00:12:18.360 --> 00:12:24.120]   He says, where the steps that Jesus took was the steps that the apostles were taking.
[00:12:24.120 --> 00:12:26.680]   The steps that the apostles were taking, he was telling Timothy.
[00:12:26.680 --> 00:12:29.040]   Isn't that exactly what he says in Timothy?
[00:12:29.040 --> 00:12:33.760]   Things you heard from me, commit to other men who will be able to teach others.
[00:12:33.760 --> 00:12:38.120]   In other words, the steps that I'm taking, you come after me so that the others who are
[00:12:38.120 --> 00:12:40.000]   coming come after you as well.
[00:12:40.000 --> 00:12:46.120]   And the older and older I get, it's not something that I'm trying to do, but the older and older
[00:12:46.120 --> 00:12:50.680]   I get, it's hard for me not to think about how my behavior affects my children.
[00:12:50.680 --> 00:12:54.520]   Now, I've been a pastor for a long time.
[00:12:54.520 --> 00:12:59.320]   And so the reality of my behavior affecting the church, and that's always been obvious,
[00:12:59.320 --> 00:13:01.200]   even in my early twenties.
[00:13:01.200 --> 00:13:05.480]   But now that I have children, I have one who is preparing to go to college, and I'm thinking
[00:13:05.480 --> 00:13:10.160]   to myself, the footprints that I have left behind for my kids.
[00:13:10.160 --> 00:13:13.800]   And I'm starting to think even for our church, what will the next generation of Christians
[00:13:13.800 --> 00:13:14.800]   look like?
[00:13:14.800 --> 00:13:18.360]   How will the things that we do today, what kind of impact will it make on them?
[00:13:18.360 --> 00:13:21.560]   Now, I'm not a grandparent, so I can't go beyond that.
[00:13:21.560 --> 00:13:24.680]   Because that's as far as I've gone.
[00:13:24.680 --> 00:13:32.240]   But our thinking, our application, the things that, not just what I said, but how I lived,
[00:13:32.240 --> 00:13:37.360]   what I valued, what I did when I didn't have to prepare sermons.
[00:13:37.360 --> 00:13:39.120]   What will my children remember of me?
[00:13:39.120 --> 00:13:43.760]   What are the footsteps, what are the footprints am I leaving behind?
[00:13:43.760 --> 00:13:46.760]   Paul says he lived with a clear conscience.
[00:13:46.760 --> 00:13:51.680]   And that's why he was able to say with a clear conscience to Timothy, he says in verse 10,
[00:13:51.680 --> 00:13:56.600]   however have followed, you however, Timothy, were not like those people.
[00:13:56.600 --> 00:13:57.840]   That's not where you've been going.
[00:13:57.840 --> 00:13:59.000]   You've been following me.
[00:13:59.000 --> 00:14:05.680]   My teaching, my conduct, my aim in life, my faith, my patience, my love, my steadfastness,
[00:14:05.680 --> 00:14:11.320]   my persecutions and suffering have happened to me in Antioch, Iconium, and Lystra.
[00:14:11.320 --> 00:14:16.360]   On the surface, it may sound like arrogance, but in reality, that's what discipleship ultimately
[00:14:16.360 --> 00:14:17.360]   is.
[00:14:17.360 --> 00:14:19.760]   Discipleship is not simply a program.
[00:14:19.760 --> 00:14:23.040]   You have nine months, and if you teach them this, this, this, and this, that they're going
[00:14:23.040 --> 00:14:27.160]   to be discipled and they're going to be followers of Jesus Christ.
[00:14:27.160 --> 00:14:33.000]   Discipleship ultimately is an imitation of the one that is being discipled.
[00:14:33.000 --> 00:14:36.000]   That they're just going to follow you and they're going to do what you do.
[00:14:36.000 --> 00:14:39.360]   That's what discipleship ultimately is.
[00:14:39.360 --> 00:14:43.960]   We can't be a teacher if we're not living like a teacher.
[00:14:43.960 --> 00:14:48.160]   We can't tell them what the scripture says if the scripture is not being manifested in
[00:14:48.160 --> 00:14:49.160]   my life.
[00:14:49.160 --> 00:14:50.160]   And that's what Paul is saying.
[00:14:50.160 --> 00:14:53.800]   Follow me as I follow Christ.
[00:14:53.800 --> 00:14:57.760]   What you and I do has consequences.
[00:14:57.760 --> 00:14:59.640]   It has consequences.
[00:14:59.640 --> 00:15:05.360]   If you have children, no matter how much you tell them God is important, if they don't
[00:15:05.360 --> 00:15:10.040]   see it in your life, that's not what they're going to learn.
[00:15:10.040 --> 00:15:16.720]   No matter how much you tell them how important your walk with God is, if they don't see it,
[00:15:16.720 --> 00:15:22.360]   if they don't see you taking the steps before them, that's not what they're going to learn.
[00:15:22.360 --> 00:15:27.640]   It's important for us to live day to day knowing not only for our children, but for the next
[00:15:27.640 --> 00:15:29.140]   generation.
[00:15:29.140 --> 00:15:34.100]   When I am gone, when you are gone, what will the children, what will the kids in our nursery,
[00:15:34.100 --> 00:15:35.720]   how will they be running this church?
[00:15:35.720 --> 00:15:37.980]   What are the things they are going to value?
[00:15:37.980 --> 00:15:42.080]   When they are adults in this church in 20, 30 years from now, what kind of decisions
[00:15:42.080 --> 00:15:44.280]   will they make?
[00:15:44.280 --> 00:15:46.640]   What are they going to value?
[00:15:46.640 --> 00:15:51.700]   It's important for us as a church to be able to say in every generation, look at the footprints
[00:15:51.700 --> 00:15:53.920]   that were left behind.
[00:15:53.920 --> 00:16:00.960]   You know, I'm so thankful that as a young believer, I was surrounded by committed Christians.
[00:16:00.960 --> 00:16:03.120]   Now theologically they were all over the place.
[00:16:03.120 --> 00:16:06.840]   I had charismatic Presbyterians, Armenians, I mean all over the place.
[00:16:06.840 --> 00:16:11.400]   In fact, one of the first pastors I really respected and loved to hear was a woman pastor.
[00:16:11.400 --> 00:16:14.360]   I used to drive down to Northridge to hear her speak.
[00:16:14.360 --> 00:16:19.000]   And so when I came to Biola and I started wrestling with this, you know, complementarianism,
[00:16:19.000 --> 00:16:22.840]   I really struggled with it for about two years, you know.
[00:16:22.840 --> 00:16:28.520]   I mean, but I had people in my life that set an example in their life, in their conduct,
[00:16:28.520 --> 00:16:30.300]   in preaching.
[00:16:30.300 --> 00:16:35.120]   And I'm so thankful for them because even now, as I look and think about my walk with
[00:16:35.120 --> 00:16:42.120]   God, I have visible examples of people, "I wish I could pray like that person prayed."
[00:16:42.120 --> 00:16:44.840]   You know, "I wish I could be an evangelist like that guy."
[00:16:44.840 --> 00:16:45.840]   I remember him.
[00:16:45.840 --> 00:16:49.080]   You know, we used to be in a small group and we would share about how he would go to the
[00:16:49.080 --> 00:16:53.640]   coin laundry at night after work and he would stay there hoping that he would run into a
[00:16:53.640 --> 00:16:55.880]   non-Christian to share the gospel.
[00:16:55.880 --> 00:17:02.440]   You know, and I actually knew a guy who fasted 30 days, once a year, you know.
[00:17:02.440 --> 00:17:10.320]   And so God allowed me to be in the presence of these godly men and women who I can think
[00:17:10.320 --> 00:17:12.240]   about as, "That's the kind of person I want to be.
[00:17:12.240 --> 00:17:14.560]   That's what it means to be a follower of Jesus Christ."
[00:17:14.560 --> 00:17:19.200]   And I'm trying very hard to follow in their footsteps.
[00:17:19.200 --> 00:17:24.760]   Everything that we do leaves an imprint, good or bad.
[00:17:24.760 --> 00:17:27.080]   Our children are going to follow those steps.
[00:17:27.080 --> 00:17:31.140]   The people that you are influencing, the younger ones, the next generation, are following those
[00:17:31.140 --> 00:17:32.140]   steps.
[00:17:32.140 --> 00:17:36.440]   And I pray with all my heart that we can say the same thing that Paul is saying.
[00:17:36.440 --> 00:17:42.300]   To imitate me in my teaching, in my conduct, in my aim of life.
[00:17:42.300 --> 00:17:46.080]   With Paul, his aim was pretty clear.
[00:17:46.080 --> 00:17:53.120]   In Acts 20.24, as he was rounding out his second or third missionary journey and people
[00:17:53.120 --> 00:17:57.080]   were telling him, prophets were coming and telling him, "Don't go to Jerusalem because
[00:17:57.080 --> 00:17:59.000]   if you go, you're going to be bound.
[00:17:59.000 --> 00:18:01.280]   You're going to be put into prison."
[00:18:01.280 --> 00:18:06.980]   And so they were pleading with him, crying, hoping that he would turn his path.
[00:18:06.980 --> 00:18:13.380]   But Paul says in Acts 20.24 to the elders of Ephesus, "I do not count my life of any
[00:18:13.380 --> 00:18:16.220]   value nor as precious to myself.
[00:18:16.220 --> 00:18:21.200]   If only I may finish my course in the ministry that I received from the Lord Jesus to testify
[00:18:21.200 --> 00:18:24.580]   to the gospel of the grace of God."
[00:18:24.580 --> 00:18:28.940]   Now again, you know, we can't say this is Paul's life verse because this is, Paul said
[00:18:28.940 --> 00:18:29.940]   it.
[00:18:29.940 --> 00:18:32.820]   This is supposed to be our life verse, but I'm pretty sure this pretty much sums up his
[00:18:32.820 --> 00:18:33.820]   life.
[00:18:33.820 --> 00:18:38.820]   That he's already, when he met Christ, when Christ called him to the gospel ministry,
[00:18:38.820 --> 00:18:39.820]   he already died.
[00:18:39.820 --> 00:18:40.820]   He's dead.
[00:18:40.820 --> 00:18:43.620]   It's no longer about him.
[00:18:43.620 --> 00:18:47.380]   Now the life I now live, I live by the faith of the Son of God who loved me and gave himself
[00:18:47.380 --> 00:18:48.420]   for me.
[00:18:48.420 --> 00:18:50.900]   My life is now hidden with Christ.
[00:18:50.900 --> 00:18:54.760]   And I, when he comes in his glory, we will also be glorified with him.
[00:18:54.760 --> 00:18:59.920]   So Paul was crucified at his baptism.
[00:18:59.920 --> 00:19:04.640]   And so what he's saying here is basically what he's living out.
[00:19:04.640 --> 00:19:05.640]   This is how he's living.
[00:19:05.640 --> 00:19:11.640]   So if I go to Jerusalem and preach in the gospel and if I die, so be it.
[00:19:11.640 --> 00:19:12.640]   This is my calling.
[00:19:12.640 --> 00:19:16.600]   When Paul said, "Here am I, send me," he meant it.
[00:19:16.600 --> 00:19:19.400]   You know, I wrestle with that.
[00:19:19.400 --> 00:19:20.960]   People just assume, "Oh, you're a pastor.
[00:19:20.960 --> 00:19:23.160]   You've already committed your life to a full-time ministry."
[00:19:23.160 --> 00:19:26.960]   But yes, I did.
[00:19:26.960 --> 00:19:29.200]   I did many years ago.
[00:19:29.200 --> 00:19:33.720]   But I realized that this is something that keeps creeping back in over and over.
[00:19:33.720 --> 00:19:36.360]   And I'm very comfortable at our church.
[00:19:36.360 --> 00:19:37.360]   Very comfortable.
[00:19:37.360 --> 00:19:41.440]   There was a period in our church, the first maybe about six, seven years, where every
[00:19:41.440 --> 00:19:47.000]   week I came home discouraged and thinking, "Do I want to keep doing this?
[00:19:47.000 --> 00:19:48.600]   How long am I going to be able to do this?"
[00:19:48.600 --> 00:19:50.360]   And struggling with that.
[00:19:50.360 --> 00:19:54.960]   But the last seven, eight, nine years, it's been comfortable.
[00:19:54.960 --> 00:19:56.640]   You know, we have a nice church facility.
[00:19:56.640 --> 00:19:59.400]   We have a church filled with people that I care about.
[00:19:59.400 --> 00:20:01.280]   Hopefully you care about me too.
[00:20:01.280 --> 00:20:02.280]   Hopefully.
[00:20:02.280 --> 00:20:04.480]   Knock on wood.
[00:20:04.480 --> 00:20:05.480]   Right?
[00:20:05.480 --> 00:20:10.240]   As we have a lot of college students coming in, coming in from all over.
[00:20:10.240 --> 00:20:14.400]   We have a lot of foreign students coming in town that we have an opportunity to share
[00:20:14.400 --> 00:20:15.400]   the gospel.
[00:20:15.400 --> 00:20:16.920]   We have a church plant up north.
[00:20:16.920 --> 00:20:21.400]   We have men and women who are willing to pack up their bags and go out to China and plant
[00:20:21.400 --> 00:20:22.400]   churches.
[00:20:22.400 --> 00:20:26.080]   And so this is a great church in my view.
[00:20:26.080 --> 00:20:27.640]   I love this church.
[00:20:27.640 --> 00:20:28.640]   The bills are paid.
[00:20:28.640 --> 00:20:32.160]   Our children are taken care of.
[00:20:32.160 --> 00:20:34.640]   And so it's not very hard to be here.
[00:20:34.640 --> 00:20:39.600]   In fact, most of my pastor friends look at our church and they're envious of me.
[00:20:39.600 --> 00:20:42.700]   You know, I wish I was in that situation.
[00:20:42.700 --> 00:20:46.800]   So I'm thankful for what we have.
[00:20:46.800 --> 00:20:49.920]   But at the same time, this is a struggle.
[00:20:49.920 --> 00:20:55.520]   Because I have to ask myself, when Paul says, "I do not account my life of any value, nor
[00:20:55.520 --> 00:20:57.240]   is it precious to myself.
[00:20:57.240 --> 00:21:01.520]   If only I may finish my course and ministry that I received from the Lord Jesus Christ."
[00:21:01.520 --> 00:21:05.320]   Is that my honest confession?
[00:21:05.320 --> 00:21:06.320]   Is that my confession?
[00:21:06.320 --> 00:21:13.480]   Or am I laboring and working so hard to protect what we have?
