
[00:00:00.000 --> 00:00:09.400]   - Good evening, everyone.
[00:04:28.920 --> 00:04:31.480]   Because this order appears in other passages of the New
[00:04:31.480 --> 00:04:32.640]   Testament as well.
[00:04:32.640 --> 00:04:37.560]   For example, 1 Corinthians chapter 12, verse 28 through 31.
[00:04:37.560 --> 00:04:39.720]   In this passage, Apostle Paul says,
[00:04:39.720 --> 00:04:42.440]   "And God has appointed in the church first apostles,
[00:04:42.440 --> 00:04:46.120]   second prophets, third teachers, then miracles,
[00:04:46.120 --> 00:04:48.320]   then gifts of healing, helps, administration,
[00:04:48.320 --> 00:04:49.600]   various gifts of tongues."
[00:04:49.600 --> 00:04:51.480]   All are not apostles, are they?
[00:04:51.480 --> 00:04:53.360]   All are not prophets, are they?
[00:04:53.360 --> 00:04:55.720]   All are not teachers, are they?
[00:04:55.720 --> 00:04:59.040]   And so there are specific designated gifts.
[00:04:59.040 --> 00:05:02.040]   But what's more, there seems to be an order of the gifts,
[00:05:02.040 --> 00:05:04.680]   where it says first, second, and third.
[00:05:04.680 --> 00:05:07.240]   What's more, when we take a look at Ephesians chapter 2,
[00:05:07.240 --> 00:05:11.040]   verses 19 through 20, it talks about the building
[00:05:11.040 --> 00:05:14.840]   of the house, and there's always a sequence to a build.
[00:05:14.840 --> 00:05:18.200]   Verse 19 says, "So then you are no longer strangers and aliens,
[00:05:18.200 --> 00:05:20.600]   but you are fellow citizens with the saints,
[00:05:20.600 --> 00:05:22.560]   and are of God's household.
[00:05:22.560 --> 00:05:25.360]   Having been built upon the foundation of the apostles
[00:05:25.360 --> 00:05:27.600]   and prophets, Christ Jesus himself
[00:05:27.600 --> 00:05:29.320]   being the chief cornerstone."
[00:05:29.320 --> 00:05:32.840]   So within the blueprint, within your build order,
[00:05:32.840 --> 00:05:34.720]   Christ is going to be the cornerstone that
[00:05:34.720 --> 00:05:36.960]   sets the lines.
[00:05:36.960 --> 00:05:38.760]   He's going to be the one that sets
[00:05:38.760 --> 00:05:42.200]   the trajectory of how things should be laid out.
[00:05:42.200 --> 00:05:44.760]   And there is the foundation, the doctrinal foundation
[00:05:44.760 --> 00:05:47.400]   of the teachings that have been given to the apostles
[00:05:47.400 --> 00:05:51.040]   as ones sent from Christ.
[00:05:51.040 --> 00:05:53.920]   That being the case, there is significance to these things,
[00:05:53.920 --> 00:05:57.960]   that there is this order by which Christ has given,
[00:05:57.960 --> 00:06:01.160]   as a very then valuable and significant gift,
[00:06:01.160 --> 00:06:04.280]   that the church should have these apostles, prophets,
[00:06:04.280 --> 00:06:08.080]   shepherds, evangelists, pastors, and teachers.
[00:06:08.080 --> 00:06:09.880]   Now in thinking about that, though,
[00:06:09.880 --> 00:06:13.000]   we take a look at the list and we're kind of wondering,
[00:06:13.000 --> 00:06:14.720]   OK, so there seems to be an order.
[00:06:14.720 --> 00:06:16.400]   There seems to be a significance.
[00:06:16.400 --> 00:06:17.520]   But how do they differ?
[00:06:17.520 --> 00:06:18.560]   Who are these people?
[00:06:18.560 --> 00:06:19.680]   Is there any similarity?
[00:06:19.680 --> 00:06:23.760]   Those kind of questions are all questions maybe we should ask.
[00:06:23.760 --> 00:06:27.320]   But one other interesting thing that we notice
[00:06:27.320 --> 00:06:30.040]   is that some of the terms in the Bible that we see,
[00:06:30.040 --> 00:06:32.200]   we actually don't see in this list.
[00:06:32.200 --> 00:06:34.720]   So this is something-- you don't have to jot down everything
[00:06:34.720 --> 00:06:36.320]   because it's going to take you a while.
[00:06:36.320 --> 00:06:38.520]   But I just wanted you to notice that within the Bible,
[00:06:38.520 --> 00:06:41.200]   there are lots of different titles for people.
[00:06:41.200 --> 00:06:43.160]   There are different types of leadership.
[00:06:43.160 --> 00:06:45.880]   So some of the ones that we're more accustomed to
[00:06:45.880 --> 00:06:47.480]   and hear often are elders.
[00:06:47.480 --> 00:06:49.080]   How come they're not on the list?
[00:06:49.080 --> 00:06:50.680]   They're like leaders of the church.
[00:06:50.680 --> 00:06:52.360]   Deacons and servants who are ministers,
[00:06:52.360 --> 00:06:54.200]   like why aren't they on the list?
[00:06:54.200 --> 00:06:55.600]   What's going on?
[00:06:55.600 --> 00:06:59.040]   And so an important observation that we make is this, OK?
[00:06:59.040 --> 00:07:03.480]   An important observation is that there is a unifying form--
[00:07:03.480 --> 00:07:06.240]   sorry, a unifying function of the individuals
[00:07:06.240 --> 00:07:08.840]   that have been listed.
[00:07:08.840 --> 00:07:11.080]   And what is that unifying function?
[00:07:11.080 --> 00:07:13.240]   That unifying function is that all of them
[00:07:13.240 --> 00:07:17.200]   have to do with the teaching of the foundational doctrines
[00:07:17.200 --> 00:07:21.560]   of Christ, essentially the proclamation of the truth.
[00:07:21.560 --> 00:07:25.240]   Pretty much all the commentators that I read kind of uniformly
[00:07:25.240 --> 00:07:28.040]   agreed that the highlight of this
[00:07:28.040 --> 00:07:31.200]   is as he comes down this list, apostles and prophets,
[00:07:31.200 --> 00:07:34.000]   these are not offices for the church.
[00:07:34.000 --> 00:07:36.080]   The highlight is not the offices of the church.
[00:07:36.080 --> 00:07:37.040]   Why?
[00:07:37.040 --> 00:07:39.040]   Because we have not been given instructions,
[00:07:39.040 --> 00:07:41.880]   go therefore and establish apostles at your church.
[00:07:41.880 --> 00:07:46.080]   Those are uniquely God-given specific roles and privileges
[00:07:46.080 --> 00:07:48.760]   in the sense that Christ has given them authority
[00:07:48.760 --> 00:07:50.840]   to teach with his authority.
[00:07:50.840 --> 00:07:53.360]   And upon that teaching that has been handed down to us
[00:07:53.360 --> 00:07:58.360]   once and for all, we are continuing to minister the truth.
[00:07:58.360 --> 00:07:59.280]   OK?
[00:07:59.280 --> 00:08:00.160]   So that being the case,
[00:08:00.160 --> 00:08:02.000]   clearly this is not a delineation of,
[00:08:02.000 --> 00:08:05.000]   these are all the offices you should have at your church.
[00:08:05.000 --> 00:08:06.880]   'Cause some of them are already passed.
[00:08:06.880 --> 00:08:09.000]   They don't exist anymore, right?
[00:08:09.000 --> 00:08:11.320]   But rather it is highlighting this idea.
[00:08:11.320 --> 00:08:15.440]   A gift to us is the word.
[00:08:15.440 --> 00:08:16.920]   The word is light.
[00:08:16.920 --> 00:08:20.240]   The word is better than sweet honeycomb, better than money.
[00:08:20.240 --> 00:08:22.440]   The word is better than the wisdom of the world.
[00:08:22.440 --> 00:08:24.560]   The word is actually better than you
[00:08:24.560 --> 00:08:26.880]   trying to go and pursue happiness in life.
[00:08:26.880 --> 00:08:28.040]   Why?
[00:08:28.040 --> 00:08:30.920]   Because the word is God's reality.
[00:08:30.920 --> 00:08:34.680]   And living in God's reality is the greatest blessing.
[00:08:34.680 --> 00:08:36.280]   What am I trying to say here?
[00:08:36.280 --> 00:08:39.280]   We should meditate on the fact that the invaluable,
[00:08:39.280 --> 00:08:41.240]   the precious gift that God has given,
[00:08:41.240 --> 00:08:43.080]   yes, are these individuals.
[00:08:43.080 --> 00:08:46.720]   But these individuals have a primary function of teaching.
[00:08:46.720 --> 00:08:50.480]   They are to be the ground laying workers in the church
[00:08:50.480 --> 00:08:54.280]   who have laid a foundation of doctrines for us to believe.
[00:08:54.280 --> 00:08:57.680]   And therefore hitting this idea again for our church.
[00:08:57.680 --> 00:08:59.720]   Let's take a moment to meditate on that.
[00:08:59.720 --> 00:09:03.240]   If, if we jettison the preaching of God's word
[00:09:03.240 --> 00:09:04.960]   faithfully to you,
[00:09:04.960 --> 00:09:09.520]   we are completely jettisoning Christ's gift, right?
[00:09:09.520 --> 00:09:12.800]   If the foundational truths that we have been receiving
[00:09:12.800 --> 00:09:15.240]   and our role then as pastors and teachers
[00:09:15.240 --> 00:09:18.360]   are to give to you as a blessing to the church,
[00:09:18.360 --> 00:09:20.640]   as an edifying force in the church,
[00:09:20.640 --> 00:09:22.960]   as a sanctifying force in the church,
[00:09:22.960 --> 00:09:25.400]   we're completely misusing God's gift.
[00:09:25.400 --> 00:09:29.080]   It would be like having this, like a Apple product,
[00:09:29.080 --> 00:09:31.840]   which is a laptop computer that I bought five years ago,
[00:09:31.840 --> 00:09:33.280]   serving me well.
[00:09:33.280 --> 00:09:35.200]   It's useful for preparing sermons,
[00:09:35.200 --> 00:09:36.800]   studying, typing up my notes.
[00:09:36.800 --> 00:09:39.160]   It's powerful equipment, right?
[00:09:39.160 --> 00:09:42.760]   But instead I'm like, nice, thank you.
[00:09:42.760 --> 00:09:43.800]   And I started saying,
[00:09:43.800 --> 00:09:48.240]   let me turn up the screen brightness and use it as a lamp.
[00:09:48.240 --> 00:09:49.760]   So I could use my number two pencil
[00:09:49.760 --> 00:09:51.440]   and write down my notes on a piece of paper, right?
[00:09:51.440 --> 00:09:53.520]   Like that would be ridiculous.
[00:09:53.520 --> 00:09:55.560]   What a waste.
[00:09:55.560 --> 00:09:56.720]   Yeah, as a matter of fact,
[00:09:56.720 --> 00:10:00.640]   if we continue to jettison God's word within the church,
[00:10:00.640 --> 00:10:02.680]   absolute waste, but more than that,
[00:10:02.680 --> 00:10:05.240]   in Old Testament,
[00:10:05.240 --> 00:10:08.240]   if God has given us the blessing of the truth,
[00:10:08.240 --> 00:10:11.080]   meaning if God has given the nation of Israel,
[00:10:11.080 --> 00:10:12.640]   his proclamation,
[00:10:12.640 --> 00:10:15.680]   and they instead turn to the wisdom of the world,
[00:10:15.680 --> 00:10:17.960]   it's like, but they have kings over there.
[00:10:17.960 --> 00:10:19.480]   If they turn to the wisdom of Egypt and say,
[00:10:19.480 --> 00:10:22.920]   but that nation is powerful.
[00:10:22.920 --> 00:10:24.440]   That is not seen as a waste.
[00:10:24.440 --> 00:10:26.400]   That is seen as betrayal.
[00:10:26.400 --> 00:10:30.440]   This loyalty and a front against God's gift, right?
[00:10:30.440 --> 00:10:31.360]   Now, why am I saying this?
[00:10:31.360 --> 00:10:33.320]   Is because even in our day,
[00:10:33.320 --> 00:10:35.480]   there are things that people turn to
[00:10:35.480 --> 00:10:37.680]   aside from the word of God.
[00:10:37.680 --> 00:10:39.760]   And the point that I'm making is not so much like,
[00:10:39.760 --> 00:10:40.600]   whoa, right?
[00:10:40.600 --> 00:10:44.160]   It's just simply that not everything is neutral.
[00:10:44.160 --> 00:10:46.280]   Things compete for our loyalties.
[00:10:46.280 --> 00:10:48.840]   Things compete for our mind and our heart.
[00:10:48.840 --> 00:10:50.600]   And what's more,
[00:10:50.600 --> 00:10:52.040]   we always want to think and consider
[00:10:52.040 --> 00:10:55.120]   our Lord Jesus Christ in his victorious nature
[00:10:55.120 --> 00:10:58.000]   has given the church various gifts.
[00:10:58.000 --> 00:11:00.520]   And then for us to not fully commit,
[00:11:00.520 --> 00:11:04.080]   not fully accept it would be a big, big offense to him.
[00:11:04.080 --> 00:11:05.880]   Okay, number two.
[00:11:05.880 --> 00:11:08.840]   In number two, the scripture says,
[00:11:08.840 --> 00:11:11.560]   for the equipping of the saints for the work of service
[00:11:11.560 --> 00:11:13.960]   to the building up of the body of Christ.
[00:11:13.960 --> 00:11:17.840]   So Christ has a very specific intent
[00:11:17.840 --> 00:11:20.200]   of why he gave those gifts to the church.
[00:11:20.200 --> 00:11:21.400]   That's what we're talking about.
[00:11:21.400 --> 00:11:22.320]   The intent.
[00:11:22.320 --> 00:11:25.320]   And so what we want to say is purpose, objective.
[00:11:25.320 --> 00:11:29.040]   What does God purpose in the teaching of the word,
[00:11:29.040 --> 00:11:32.080]   in the various titles and positions that are there?
[00:11:32.080 --> 00:11:33.360]   And also more specifically,
[00:11:33.360 --> 00:11:35.360]   these gifts in history that God has given
[00:11:35.360 --> 00:11:38.400]   in terms of specifically the apostles, prophets,
[00:11:38.400 --> 00:11:39.760]   evangelists and so forth.
[00:11:39.760 --> 00:11:40.600]   Okay?
[00:11:40.600 --> 00:11:42.600]   So when we take a look at this passage again,
[00:11:42.600 --> 00:11:45.080]   I just want to highlight that in good Bible study,
[00:11:45.080 --> 00:11:47.000]   we pay attention to prepositions.
[00:11:47.000 --> 00:11:48.280]   Why?
[00:11:48.280 --> 00:11:49.800]   These prepositions I highlight for you.
[00:11:49.800 --> 00:11:51.520]   For, for, to.
[00:11:51.520 --> 00:11:54.680]   Prepositions just gives you relationships
[00:11:54.680 --> 00:11:56.200]   between words and nouns, right?
[00:11:56.200 --> 00:11:57.320]   And phrases.
[00:11:57.320 --> 00:11:59.120]   So what you should be thinking is,
[00:11:59.120 --> 00:12:00.760]   what is the relationship of thought here?
[00:12:00.760 --> 00:12:03.640]   And you totally see a progression.
[00:12:03.640 --> 00:12:06.600]   This is for the purpose of this and for the purpose of that.
[00:12:06.600 --> 00:12:09.880]   And you just naturally see a build.
[00:12:09.880 --> 00:12:11.800]   Okay, I just want to highlight that.
[00:12:11.800 --> 00:12:16.200]   And what's more, he says that this is for the equipping,
[00:12:16.200 --> 00:12:17.520]   working and building.
[00:12:17.520 --> 00:12:19.040]   So there are some unique terms
[00:12:19.040 --> 00:12:20.640]   that we should pay attention to.
[00:12:20.640 --> 00:12:23.480]   I just want to comment on these just briefly here.
[00:12:23.480 --> 00:12:26.000]   First, I actually want to start with the idea
[00:12:26.000 --> 00:12:28.480]   of building up the body of Christ.
[00:12:28.480 --> 00:12:31.000]   Let's take a moment to think about this.
[00:12:31.000 --> 00:12:36.000]   An objective and purpose that I know God is doing right now.
[00:12:36.000 --> 00:12:39.520]   He desires in this day, in our generation,
[00:12:39.520 --> 00:12:43.360]   but also in this day, to continue to build up his church.
[00:12:43.360 --> 00:12:45.040]   That is something I know for sure.
[00:12:45.040 --> 00:12:47.160]   People ask me sometimes for advice.
[00:12:47.160 --> 00:12:48.880]   Is it God's will for me now to do this?
[00:12:48.880 --> 00:12:51.080]   Is it for now God's will for me to do that,
[00:12:51.080 --> 00:12:53.040]   to be single, to be in this job?
[00:12:53.040 --> 00:12:54.240]   And there's a lot of questions.
[00:12:54.240 --> 00:12:56.200]   Now, a lot of times we recognize
[00:12:56.200 --> 00:12:57.720]   that there's a general will of God.
[00:12:57.720 --> 00:12:59.920]   He always wants to draw you near to him.
[00:12:59.920 --> 00:13:01.840]   He wants to build you up in your character
[00:13:01.840 --> 00:13:04.040]   that's more closer to his own image.
[00:13:04.040 --> 00:13:06.440]   He wants to make sure that he's sanctifying you.
[00:13:06.440 --> 00:13:08.040]   He's all that stuff, right?
[00:13:08.040 --> 00:13:09.680]   But one of the short things we can say is,
[00:13:09.680 --> 00:13:13.520]   this is a purpose, an objective of God.
[00:13:13.520 --> 00:13:16.560]   And what's really interesting is that he uses a term
[00:13:16.560 --> 00:13:19.600]   that has a very kind of literal and specific nuance,
[00:13:19.600 --> 00:13:21.760]   which is, he's not just generally building,
[00:13:21.760 --> 00:13:23.920]   it literally means to be building a home.
[00:13:23.920 --> 00:13:26.880]   It's there in the Greek, oikodome, okay?
[00:13:26.880 --> 00:13:28.560]   Oikodome.
[00:13:28.560 --> 00:13:30.800]   And so when we think about that,
[00:13:30.800 --> 00:13:33.600]   we recognize that what he is building,
[00:13:33.600 --> 00:13:37.760]   we rehearse what he said before, it is his dwelling.
[00:13:37.760 --> 00:13:39.640]   When you think about his church,
[00:13:39.640 --> 00:13:41.840]   what we have here at Berean,
[00:13:41.840 --> 00:13:43.200]   again, by our eyes,
[00:13:43.200 --> 00:13:46.560]   we just see a gathering of a mass of people.
[00:13:46.560 --> 00:13:48.000]   But what we should be also seeing
[00:13:48.000 --> 00:13:51.200]   is God is building his loving home.
[00:13:51.200 --> 00:13:53.800]   God is building his dwelling place.
[00:13:53.800 --> 00:13:55.680]   He said his temple, right?
[00:13:55.680 --> 00:13:57.880]   And so here's this question then for us,
[00:13:57.880 --> 00:14:01.160]   for us, we have to ask this question.
[00:14:01.160 --> 00:14:06.160]   Have I also then bought into that objective and purpose?
[00:14:06.160 --> 00:14:08.560]   Is that to me, something of a conviction?
[00:14:08.560 --> 00:14:10.280]   I know what God is doing,
[00:14:10.280 --> 00:14:12.960]   and therefore I've completely aligned myself
[00:14:12.960 --> 00:14:15.280]   to that goal and purpose.
[00:14:15.280 --> 00:14:18.240]   If that's his intention, so is mine.
[00:14:18.240 --> 00:14:20.600]   What's more, he says to that end,
[00:14:20.600 --> 00:14:22.120]   there should be equipping of the saints
[00:14:22.120 --> 00:14:24.080]   for the work of service, okay?
[00:14:24.080 --> 00:14:26.120]   Equipping of the saints for the work of service.
[00:14:26.120 --> 00:14:27.520]   Let's ask this question.
[00:14:27.520 --> 00:14:31.640]   What does it mean to equip, okay?
[00:14:31.640 --> 00:14:35.120]   We recognize that clearly for the building up of the church,
[00:14:35.120 --> 00:14:36.800]   the building up of the church does not happen
[00:14:36.800 --> 00:14:40.040]   just because we have crazy professionals.
[00:14:40.040 --> 00:14:41.480]   The building up of the church does not happen
[00:14:41.480 --> 00:14:43.840]   just because we have crazy finances
[00:14:43.840 --> 00:14:46.360]   and a crazy building, right?
[00:14:46.360 --> 00:14:47.880]   The building up of the church happens
[00:14:47.880 --> 00:14:50.680]   through the equipping of the saints for the work of service.
[00:14:50.680 --> 00:14:52.720]   But what does this equipping mean?
[00:14:52.720 --> 00:14:56.360]   I highlight it because the definition of this term
[00:14:56.360 --> 00:14:59.160]   when we do a word study specifically of equipping,
[00:14:59.160 --> 00:15:03.040]   it is the word, "Ketartismus,"
[00:15:03.040 --> 00:15:05.720]   and it means perfection or completion.
[00:15:05.720 --> 00:15:07.440]   The word dictionary of the New Testament says
[00:15:07.440 --> 00:15:10.840]   this differs from another term, "Ketartisis,"
[00:15:10.840 --> 00:15:14.080]   which is talking about the act of fitting something in
[00:15:14.080 --> 00:15:15.720]   or making perfect.
[00:15:15.720 --> 00:15:18.640]   But he says the term used here is actually talking about,
[00:15:18.640 --> 00:15:21.400]   it denotes the process as completed.
[00:15:21.400 --> 00:15:23.200]   So what am I saying?
[00:15:23.200 --> 00:15:26.920]   I recognize from that, that when we think of equipping,
[00:15:26.920 --> 00:15:30.040]   we're probably thinking of something far too narrow.
[00:15:30.040 --> 00:15:31.480]   What do I mean?
[00:15:31.480 --> 00:15:33.760]   I think in error, sometimes when we think of equipping,
[00:15:33.760 --> 00:15:36.000]   we think of educational study.
[00:15:36.000 --> 00:15:37.920]   We think of let's run a class.
[00:15:37.920 --> 00:15:39.520]   Let's have this training where you sit
[00:15:39.520 --> 00:15:41.920]   and a pastor teaches you, right?
[00:15:41.920 --> 00:15:43.480]   And then, or what's more, we say, you know what?
[00:15:43.480 --> 00:15:44.400]   You should tag me.
[00:15:44.400 --> 00:15:46.160]   You should tag along with what I do,
[00:15:46.160 --> 00:15:48.240]   and we should kind of do it like maybe the medical field.
[00:15:48.240 --> 00:15:49.120]   You're gonna be a resident,
[00:15:49.120 --> 00:15:51.200]   and you're just gonna walk alongside me, right?
[00:15:51.200 --> 00:15:54.480]   But when we think about equipping,
[00:15:54.480 --> 00:15:58.640]   here, it's a pretty broad term,
[00:15:58.640 --> 00:16:01.200]   general perfection and completion.
[00:16:01.200 --> 00:16:04.320]   Now, here's another passage in Hebrews 13, it says this,
[00:16:04.320 --> 00:16:08.120]   "Now the God of peace who brought up from the dead
[00:16:08.120 --> 00:16:09.440]   "the great shepherd of the sheep
[00:16:09.440 --> 00:16:10.920]   "through the blood of the eternal covenant,
[00:16:10.920 --> 00:16:12.360]   "even Jesus our Lord,
[00:16:12.360 --> 00:16:15.680]   "equip you in every good thing to do his will,
[00:16:15.680 --> 00:16:18.720]   "working in us that which is pleasing in his sight,
[00:16:18.720 --> 00:16:20.800]   "through Jesus Christ to whom be the glory
[00:16:20.800 --> 00:16:23.480]   "forever and ever, amen."
[00:16:23.480 --> 00:16:25.720]   So what we see there is the equipping
[00:16:25.720 --> 00:16:28.400]   should be in every good thing.
[00:16:28.400 --> 00:16:29.480]   Why do I bring this up?
[00:16:29.480 --> 00:16:32.160]   Because the tendency that I see sometimes
[00:16:32.160 --> 00:16:33.960]   is a lot of times people have a narrow view
[00:16:33.960 --> 00:16:35.480]   of what equipping means.
[00:16:35.480 --> 00:16:38.280]   Typically, they think equipping to lead a small group,
[00:16:38.280 --> 00:16:40.000]   equipping to lead and teach,
[00:16:40.000 --> 00:16:42.120]   equipping to be essentially somebody
[00:16:42.120 --> 00:16:44.320]   who is higher up on the hierarchy.
[00:16:44.320 --> 00:16:47.560]   But that's not necessarily the case.
[00:16:47.560 --> 00:16:51.800]   Because plus, not only is the term broader than that,
[00:16:51.800 --> 00:16:53.520]   we recognize that generally
[00:16:53.520 --> 00:16:55.400]   as the scripture speaks about equipping,
[00:16:55.400 --> 00:16:57.360]   it is not just education.
[00:16:57.360 --> 00:17:00.600]   To do a specific task such as leading.
[00:17:00.600 --> 00:17:03.600]   Do equipping comes to us through the scriptures primarily?
[00:17:03.600 --> 00:17:04.440]   Yes.
