
[00:00:00.000 --> 00:00:04.000]   [no audio]
[00:05:38.000 --> 00:05:42.000]   he runs away from Him, and God basically strikes him, he is swallowed by a
[00:05:42.000 --> 00:05:46.000]   whale, he comes back, he repents, and then sends him back into the city.
[00:05:46.000 --> 00:05:50.000]   And a huge revival breaks out because of his preaching.
[00:05:50.000 --> 00:05:54.000]   Now again, you have to remember that this was a reluctant prophet. I'm just going
[00:05:54.000 --> 00:05:58.000]   to read this passage for you, and hopefully you can catch my point.
[00:05:58.000 --> 00:06:02.000]   Jonah 3, 3-5, "Now Nineveh was an exceedingly
[00:06:02.000 --> 00:06:06.000]   great city, three days journey in breath."
[00:06:06.000 --> 00:06:10.000]   I wanted to highlight this, it takes three days to just even cross the city.
[00:06:10.000 --> 00:06:14.000]   "Jonah began to go into the city, going a day's journey."
[00:06:14.000 --> 00:06:18.000]   Meaning he's only gone through a third of the city, when
[00:06:18.000 --> 00:06:22.000]   he begins to cry out, "Yet forty days Nineveh shall be
[00:06:22.000 --> 00:06:26.000]   overthrown." And the people of Nineveh believed God, they called for a fast
[00:06:26.000 --> 00:06:30.000]   and put on sackcloth from the greatest of them to the least of them.
[00:06:30.000 --> 00:06:34.000]   It says because of Jonah's preaching, again
[00:06:34.000 --> 00:06:38.000]   he didn't even go through the whole city, it says it was a three days journey, he goes through
[00:06:38.000 --> 00:06:42.000]   one third of it, and you would think that there would be an elaborate
[00:06:42.000 --> 00:06:46.000]   presentation of what Jonah said. What was it that he said that was so
[00:06:46.000 --> 00:06:50.000]   powerful that the whole city would come to repentance and fast, even
[00:06:50.000 --> 00:06:54.000]   the king would decree a fast for the whole city. All it
[00:06:54.000 --> 00:06:58.000]   says is, he says, "Yet forty days Nineveh shall be overthrown."
[00:06:58.000 --> 00:07:02.000]   Man, that would be so easy. Right?
[00:07:02.000 --> 00:07:06.000]   You know, my job would be so easy if all you had to do is, you know, forty
[00:07:06.000 --> 00:07:10.000]   days. Can you imagine? Nineveh probably didn't even say this
[00:07:10.000 --> 00:07:14.000]   with that kind of excitement because he didn't want to be here. He didn't even want them to hear
[00:07:14.000 --> 00:07:18.000]   this because he wanted judgment to come. And simply by warning
[00:07:18.000 --> 00:07:22.000]   them. Forty days, judgment is coming and everybody
[00:07:22.000 --> 00:07:26.000]   freaks out and they believe him and they end up repenting and revival breaks out, at least for that
[00:07:26.000 --> 00:07:30.000]   period. I've always wondered why. What was it
[00:07:30.000 --> 00:07:34.000]   about what he said and how he said it that brought this kind of revival? Why did they take
[00:07:34.000 --> 00:07:38.000]   him so seriously? My guess is, ok this is not biblical, this is just my guess
[00:07:38.000 --> 00:07:42.000]   that maybe some of the people who were on that boat
[00:07:42.000 --> 00:07:46.000]   that saw him being thrown out, coming back spit out, and
[00:07:46.000 --> 00:07:50.000]   then you know like they saw all this miracle and said, "Man, your God is the real God."
[00:07:50.000 --> 00:07:54.000]   That some of these guys came to the city before him
[00:07:54.000 --> 00:07:58.000]   and they were telling the story about what this guy's God did and then all of a sudden
[00:07:58.000 --> 00:08:02.000]   he comes into town and is like, "Remember that story we were talking about? That's the guy."
[00:08:02.000 --> 00:08:06.000]   And then he comes in and is like, "Forty days, you're going to die. Forty days,
[00:08:06.000 --> 00:08:10.000]   you're going to die." He's like, "Oh my gosh, he's serious. I've seen what
[00:08:10.000 --> 00:08:14.000]   happened with him." And revival breaks out as a
[00:08:14.000 --> 00:08:18.000]   result of that. We look in the book of Acts.
[00:08:18.000 --> 00:08:22.000]   You know Peter's first preaching in front of the very same
[00:08:22.000 --> 00:08:26.000]   people who crucified Jesus. His message in a nutshell
[00:08:26.000 --> 00:08:30.000]   is, "You crucified Jesus, who was proven
[00:08:30.000 --> 00:08:34.000]   to you by God with signs and wonders, and yet you crucified
[00:08:34.000 --> 00:08:38.000]   the Author of life." You would think that people would get offended, "How dare you
[00:08:38.000 --> 00:08:42.000]   say this? Do you not know what we did to this Jesus that we can do to you?"
[00:08:42.000 --> 00:08:46.000]   And I think Peter was expecting probably to be crucified.
[00:08:46.000 --> 00:08:50.000]   Why not? If they can crucify his Master, I mean who is he?
[00:08:50.000 --> 00:08:54.000]   I think he was fully ready to do this.
[00:08:54.000 --> 00:08:58.000]   But it says in Acts 2.37, it says,
[00:08:58.000 --> 00:09:02.000]   "Now when they heard this, they were cut to the heart,
[00:09:02.000 --> 00:09:06.000]   and said to Peter and the rest of the apostles, 'Brothers, what shall we do?' And Peter said to them,
[00:09:06.000 --> 00:09:10.000]   'Repent and be baptized, every one of you, in the name of Jesus Christ, for the forgiveness
[00:09:10.000 --> 00:09:14.000]   of your sins.'" In our generation, the Gospel
[00:09:14.000 --> 00:09:18.000]   has been peddled and it's been passed out where people don't understand
[00:09:18.000 --> 00:09:22.000]   why it is that we desperately need Christ crucified.
[00:09:22.000 --> 00:09:26.000]   Why we need to constantly remind people over and over again why justification
[00:09:26.000 --> 00:09:30.000]   can only be by faith. Because
[00:09:30.000 --> 00:09:34.000]   we made the Gospel so palatable to so many people
[00:09:34.000 --> 00:09:38.000]   that the bite, that the warning of the wrath of God
[00:09:38.000 --> 00:09:42.000]   is not understood. You know,
[00:09:42.000 --> 00:09:46.000]   in the previous section, Paul goes through details
[00:09:46.000 --> 00:09:50.000]   in verse 18 all the way to verse 32 about the sin and why the wrath of God
[00:09:50.000 --> 00:09:54.000]   is coming. And so the group that he is talking to in
[00:09:54.000 --> 00:09:58.000]   chapter 2, are these groups of people that are looking at this and says,
[00:09:58.000 --> 00:10:02.000]   "Yeah, you know that's right, these people need judgment.
[00:10:02.000 --> 00:10:06.000]   They worship in idols. They are practicing all kinds of sexual immorality.
[00:10:06.000 --> 00:10:10.000]   You know, they are haters of parents, covetous, malice,
[00:10:10.000 --> 00:10:14.000]   murderers, deceitful people. Of course they need the judgment
[00:10:14.000 --> 00:10:18.000]   of God." But what Paul is doing here in chapter 2
[00:10:18.000 --> 00:10:22.000]   he is going further than that. Just like if you went to a hospital and
[00:10:22.000 --> 00:10:26.000]   you have a wound on your leg and you've kind of bandaged it up. You go to the
[00:10:26.000 --> 00:10:30.000]   doctor and the doctor takes a look at it, "Oh, it's just a superficial cut."
[00:10:30.000 --> 00:10:34.000]   But he looks at it and says, "This thing goes deeper than that. There may be a broken
[00:10:34.000 --> 00:10:38.000]   bone underneath there." So he takes it into the x-ray and he sees
[00:10:38.000 --> 00:10:42.000]   not just the surface but deep within. And he needs to examine
[00:10:42.000 --> 00:10:46.000]   that to be able to properly assess what the problem is so that they
[00:10:46.000 --> 00:10:50.000]   may have to have surgery. They may have to get the bone fixed correctly.
[00:10:50.000 --> 00:10:54.000]   That's exactly what he is doing in chapter 2. He is examining
[00:10:54.000 --> 00:10:58.000]   beyond the surface. Today he is going to be examining
[00:10:58.000 --> 00:11:02.000]   these self-righteous people. These are the people who
[00:11:02.000 --> 00:11:06.000]   read chapter 1 and it was in full agreement. Of course the judgment
[00:11:06.000 --> 00:11:10.000]   of God is coming. And God releases them to their own sins. Of course they
[00:11:10.000 --> 00:11:14.000]   need this. And they are sitting there, "Yes, God, go get them."
[00:11:14.000 --> 00:11:18.000]   But he is exposing the inner sin of the self-righteous.
[00:11:18.000 --> 00:11:22.000]   And we are going to be looking at four different things that he says here.
[00:11:22.000 --> 00:11:26.000]   And again some of these points overlap but for the sake of clarity
[00:11:26.000 --> 00:11:30.000]   that we can kind of understand what he is saying. He is revealing four separate things
[00:11:30.000 --> 00:11:34.000]   about the self-righteous. And why they
[00:11:34.000 --> 00:11:38.000]   are also under condemnation. So he begins by saying, "Therefore
[00:11:38.000 --> 00:11:42.000]   you have no excuse." Even though you may look at
[00:11:42.000 --> 00:11:46.000]   chapter 1 verse 18-32 and say, "You know what? That's not me." But he says,
[00:11:46.000 --> 00:11:50.000]   "But Paul is saying, 'Yes, it is you.'" Your sin may not look
[00:11:50.000 --> 00:11:54.000]   like the pagans of chapter 1, but your sins are just
[00:11:54.000 --> 00:11:58.000]   as hideous and you are in just as much need as these people.
[00:11:58.000 --> 00:12:02.000]   So the first thing, a self-righteous person
[00:12:02.000 --> 00:12:06.000]   is always more concerned about the sins of others than their own.
[00:12:06.000 --> 00:12:10.000]   One, a self-righteous person is always concerned more about the sins
[00:12:10.000 --> 00:12:14.000]   of others than their own. Remember
[00:12:14.000 --> 00:12:18.000]   Luke chapter 18, 1-13, Jesus is giving this parable
[00:12:18.000 --> 00:12:22.000]   about this Pharisee and a tax collector who goes up. And this
[00:12:22.000 --> 00:12:26.000]   is what the tax collector, this is what the Pharisee, how he prays.
[00:12:26.000 --> 00:12:30.000]   In verse 11, "The Pharisee standing by himself prayed thus, 'God,
[00:12:30.000 --> 00:12:34.000]   I thank you that I am not like other men.'"
[00:12:34.000 --> 00:12:38.000]   That's the first thing that the Pharisee says, "Thank you God
[00:12:38.000 --> 00:12:42.000]   that you didn't make me like these tax collectors, like these other sinners,
[00:12:42.000 --> 00:12:46.000]   that I am not like these other men, extortioners, unjust,
[00:12:46.000 --> 00:12:50.000]   adulterers, and even this tax collector.
[00:12:50.000 --> 00:12:54.000]   I fast twice a week. I give tithes of all
[00:12:54.000 --> 00:12:58.000]   that I get." He looks at what he is doing externally and he feels justified
[00:12:58.000 --> 00:13:02.000]   before God. And a self-righteous person is
[00:13:02.000 --> 00:13:06.000]   always more concerned about the other person. Remember last week we talked
[00:13:06.000 --> 00:13:10.000]   about how we have a tendency
[00:13:10.000 --> 00:13:14.000]   to get bothered by other people's BO more than ours.
[00:13:14.000 --> 00:13:18.000]   Let me change the illustration to bad breath.
[00:13:18.000 --> 00:13:22.000]   We are a young church so we are trying to get the illustrations to fit.
[00:13:22.000 --> 00:13:26.000]   I think as an illustrator, it may be crude but I think it will help us understand.
[00:13:26.000 --> 00:13:30.000]   A self-righteous person is like an individual who just has
[00:13:30.000 --> 00:13:34.000]   bad breath and it just stinks and every time you tongue it, like other people notice it but they don't know.
[00:13:34.000 --> 00:13:38.000]   You know what I mean? But there is
[00:13:38.000 --> 00:13:42.000]   only one thing more worse than sitting in front of somebody who just has
[00:13:42.000 --> 00:13:46.000]   stinky breath and they don't know and every time they open their mouth they are like, "Oh, you want to say something but you don't want to be
[00:13:46.000 --> 00:13:50.000]   crude." What's worse than that is somebody who has bad breath,
[00:13:50.000 --> 00:13:54.000]   they don't know it but they are disgusted with yours.
[00:13:54.000 --> 00:13:58.000]   You know, they cringe every time you open your mouth and they let you
[00:13:58.000 --> 00:14:02.000]   know it. Your breath stinks!
[00:14:02.000 --> 00:14:06.000]   And he says, "Oh my gosh!" See, that's
[00:14:06.000 --> 00:14:10.000]   the self-righteous person who is absolutely convinced the problem is
[00:14:10.000 --> 00:14:14.000]   you. And that's what he says. He begins by saying,
[00:14:14.000 --> 00:14:18.000]   "Oh man, every one of you who judge, that you are
[00:14:18.000 --> 00:14:22.000]   constantly in judgment of other people and you are not aware of where you are
[00:14:22.000 --> 00:14:26.000]   with God." We have a tendency
[00:14:26.000 --> 00:14:30.000]   again, every time this type of person will always hear a sermon and they are always thinking,
[00:14:30.000 --> 00:14:34.000]   "That person needed to be here." You know? "My wife
[00:14:34.000 --> 00:14:38.000]   needed to hear this. Thank you pastor for this sermon." You know?
[00:14:38.000 --> 00:14:42.000]   "Can you do it again next week when I bring my friend? Because they need to hear this."
[00:14:42.000 --> 00:14:46.000]   "They need to hear this." "The singles need to hear this." "My husband needs
[00:14:46.000 --> 00:14:50.000]   to hear this." It's an individual who is always hearing sermons
[00:14:50.000 --> 00:14:54.000]   for the purpose of other people.
[00:14:54.000 --> 00:14:58.000]   This type of person is dangerous when they know the Bible.
[00:14:58.000 --> 00:15:02.000]   Because the Word of God, instead of being a lamp unto their feet, it becomes a flashlight.
[00:15:02.000 --> 00:15:06.000]   Where they are just constantly. The Word of God is to flash and show
[00:15:06.000 --> 00:15:10.000]   you what's wrong with you. So they know the Word of God, but it's always used
[00:15:10.000 --> 00:15:14.000]   not to judge the thoughts and intentions of their heart, but to judge
[00:15:14.000 --> 00:15:18.000]   the thoughts and intentions of your heart. So he said, "First and foremost,
[00:15:18.000 --> 00:15:22.000]   a self-righteous person is always preoccupied with
[00:15:22.000 --> 00:15:26.000]   other people's sins. Secondly, a
[00:15:26.000 --> 00:15:30.000]   self-righteous person believes in the judgment of God.
[00:15:30.000 --> 00:15:34.000]   They just don't believe that this judgment is for them."
[00:15:34.000 --> 00:15:38.000]   In Romans chapter 2, verse 2, it says, "We know that the judgment of God rightly falls on those
[00:15:38.000 --> 00:15:42.000]   who do such things." So in other words, we're in agreement with this.
[00:15:42.000 --> 00:15:46.000]   We believe in the judgment of God. Now I know that
[00:15:46.000 --> 00:15:50.000]   one of the reasons that when we go out and share the Gospel with people and they say,
[00:15:50.000 --> 00:15:54.000]   "How can I believe in a God who brings judgment and 9/11 and famine
[00:15:54.000 --> 00:15:58.000]   and all this stuff?" I've never met an individual who doesn't
[00:15:58.000 --> 00:16:02.000]   believe in justice. Never.
[00:16:02.000 --> 00:16:06.000]   Let me give you an example. If you're driving a car and you're just
[00:16:06.000 --> 00:16:10.000]   driving under the speed limit. You're not doing
[00:16:10.000 --> 00:16:14.000]   anything crazy, but somebody's ticked off because you're not going fast enough. They come
[00:16:14.000 --> 00:16:18.000]   around and they give you the finger. Right? This finger, right?
[00:16:18.000 --> 00:16:22.000]   They give you the finger and they're ticked off and they cuss you out and they go
[00:16:22.000 --> 00:16:26.000]   speeding past you. And then all of a sudden, because he's speeding, there's a cop
[00:16:26.000 --> 00:16:30.000]   up ahead and pulls him over. And as you're driving by,
[00:16:30.000 --> 00:16:34.000]   do you say, "Oh, I feel so bad for that guy." Is that
[00:16:34.000 --> 00:16:38.000]   your thought? Karma, right? You say judgment.
[00:16:38.000 --> 00:16:42.000]   Yes, he got what he deserved. Right? You don't
[00:16:42.000 --> 00:16:46.000]   come by and say, "I feel so bad for him." You know what I mean? "I wonder,
[00:16:46.000 --> 00:16:50.000]   you know, he must have been having a hard day." That's not our natural
[00:16:50.000 --> 00:16:54.000]   inclination. Right? Something probably more serious than that. Some of you guys
[00:16:54.000 --> 00:16:58.000]   may or may not remember OJ Simpson.
[00:16:58.000 --> 00:17:02.000]   How many of you guys know who OJ Simpson is? Wow.
[00:17:02.000 --> 00:17:06.000]   Okay. I would think everybody would know. But OJ Simpson basically
[00:17:06.000 --> 00:17:10.000]   was a superstar football player of my generation.
[00:17:10.000 --> 00:17:14.000]   He was like the Michael Jordan of football. That's the best way to describe him. Right?
[00:17:14.000 --> 00:17:18.000]   And so, in 1994,
[00:17:18.000 --> 00:17:22.000]   in November, he was accused of murdering his ex-wife, Nicole
[00:17:22.000 --> 00:17:26.000]   Brown, and possibly her boyfriend, Ron Goldman. Both of them were brutally
[00:17:26.000 --> 00:17:30.000]   murdered. And they thought, you know, they did some
[00:17:30.000 --> 00:17:34.000]   background check and found out that they thought OJ Simpson did it. And it was
[00:17:34.000 --> 00:17:38.000]   huge. And I was living in Irvine at that time, and his wife, Bronco,
[00:17:38.000 --> 00:17:42.000]   that they were chasing, they went past by 5 Freeway, and everybody went out on the
[00:17:42.000 --> 00:17:46.000]   bridge to watch him at that time. Well, the trial went on
[00:17:46.000 --> 00:17:50.000]   for about a year. And again, you have to imagine, it's like
[00:17:50.000 --> 00:17:54.000]   watching Michael Jordan. Like, "Oh, he got accused of murder."
[00:17:54.000 --> 00:17:58.000]   And so the whole year, they were going through these things, and they found out, they found
[00:17:58.000 --> 00:18:02.000]   traces of his blood in the car. They found the glove
[00:18:02.000 --> 00:18:06.000]   that had blood in the back of his house.
[00:18:06.000 --> 00:18:10.000]   They found a shoe that had the imprint on it.
[00:18:10.000 --> 00:18:14.000]   And they didn't find the shoe itself, but they found a picture of him wearing that shoe
[00:18:14.000 --> 00:18:18.000]   while he was interviewing somebody. And so, all this evidence, anybody who watched
[00:18:18.000 --> 00:18:22.000]   the trial, look at it and say, "How can this guy not be guilty?"
[00:18:22.000 --> 00:18:26.000]   But after the end, in October 3rd, 1995,
[00:18:26.000 --> 00:18:30.000]   they came out and said he was innocent.
[00:18:30.000 --> 00:18:34.000]   Yeah, everybody was dumbfounded. How can that be innocent?
[00:18:34.000 --> 00:18:38.000]   Now, there was a lot of stuff going on at that time. It's kind of like the environment that is today,
[00:18:38.000 --> 00:18:42.000]   maybe even worse. That LAPD was found to have corruption.
[00:18:42.000 --> 00:18:46.000]   They were beating people. And there was this hatred toward the cops that was unfair
[00:18:46.000 --> 00:18:50.000]   in particular to the African American community. And so,
[00:18:50.000 --> 00:18:54.000]   they were concerned that if they indict this guy, that there was going to be
[00:18:54.000 --> 00:18:58.000]   another riot, and it's going to go crazy and all this stuff. And there was a lot of political things behind it.
[00:18:58.000 --> 00:19:02.000]   But basically, he got away with murder.
[00:19:02.000 --> 00:19:06.000]   I don't remember anybody being interviewed saying, like,
[00:19:06.000 --> 00:19:10.000]   "We live in such a great country that even after you get
[00:19:10.000 --> 00:19:14.000]   murdered, you can live free. This is a great country."
[00:19:14.000 --> 00:19:18.000]   Every single person, "How can a murderer
[00:19:18.000 --> 00:19:22.000]   be set free?" And there was a, again,
[00:19:22.000 --> 00:19:26.000]   everybody lost confidence in the justice system because the justice system was
[00:19:26.000 --> 00:19:30.000]   supposed to punish the wicked. I haven't
[00:19:30.000 --> 00:19:34.000]   met anybody who doesn't believe that justice needs to be carried out.
[00:19:34.000 --> 00:19:38.000]   But the problem is, we don't see
[00:19:38.000 --> 00:19:42.000]   ourselves in that position. And that's what the self-righteous
[00:19:42.000 --> 00:19:46.000]   person is. He says, "You believe in the judgment of God." And rightly
[00:19:46.000 --> 00:19:50.000]   falls on people who are like this.
[00:19:50.000 --> 00:19:54.000]   But they don't believe that that's them. Do you remember John chapter
[00:19:54.000 --> 00:19:58.000]   8, 4-7, where Jesus is standing there and a bunch
[00:19:58.000 --> 00:20:02.000]   of Jews bring this adulterous woman and basically
[00:20:02.000 --> 00:20:06.000]   put him in a trap. She's an adulterous woman. According to
[00:20:06.000 --> 00:20:10.000]   Old Testament law, you're supposed to stone her. So here's this Jewish rabbi
[00:20:10.000 --> 00:20:14.000]   that everybody is praising. Maybe he's the Messiah. And they're going to say, "You know what?
[00:20:14.000 --> 00:20:18.000]   We're going to put him in a trap. If he says to kill her, he's going to be guilty of murder, according
[00:20:18.000 --> 00:20:22.000]   to the Roman law. If he says don't kill her, he's going to be
[00:20:22.000 --> 00:20:26.000]   guilty of breaking the Mosaic law. So either way,
[00:20:26.000 --> 00:20:30.000]   he's going to be in trouble. But Jesus
[00:20:30.000 --> 00:20:34.000]   being Jesus, right? They didn't know who they were messing with, right?
[00:20:34.000 --> 00:20:38.000]   Jesus says, "He who has no sin, let him
[00:20:38.000 --> 00:20:42.000]   cast the first stone." You know what's interesting
[00:20:42.000 --> 00:20:46.000]   to me? You know what happens. They all drop their stone and they walk away. That until
[00:20:46.000 --> 00:20:50.000]   that point, they didn't even think about it.
[00:20:50.000 --> 00:20:54.000]   Until Jesus called them out and says, "Are you in a position
[00:20:54.000 --> 00:20:58.000]   to be able to judge her?"
[00:20:58.000 --> 00:21:02.000]   And for the first time they turned around and said,
[00:21:02.000 --> 00:21:06.000]   "That's a good answer. That's a good answer." That's the only way he could have gotten
[00:21:06.000 --> 00:21:10.000]   out of it. And they turn around and they disappear. See,
[00:21:10.000 --> 00:21:14.000]   the second thing that he says, a self-righteous person, that they demand justice.
[00:21:14.000 --> 00:21:18.000]   But it's not for them. It's for those people.
[00:21:18.000 --> 00:21:22.000]   Thirdly, a self-righteous person, ultimately Paul says, is a hypocrite.
[00:21:22.000 --> 00:21:26.000]   Because they practice the same things that they condemn others.
[00:21:26.000 --> 00:21:30.000]   In verse 1, "In passing judgment on another, you condemn yourself
[00:21:30.000 --> 00:21:34.000]   because you the judge practice the very same things." He said, "You do
[00:21:34.000 --> 00:21:38.000]   these things." Again in verse 3, "Do you suppose O man, you who judge those
[00:21:38.000 --> 00:21:42.000]   who do such things, yet you do the same things that you will escape
[00:21:42.000 --> 00:21:46.000]   the judgment of God." Now this person
[00:21:46.000 --> 00:21:50.000]   is probably sitting here answering, "What are you talking about? We do the same thing."
[00:21:50.000 --> 00:21:54.000]   These guys are idol worshipers. We never worshiped an idol.
[00:21:54.000 --> 00:21:58.000]   These guys are lustful people committing adultery, all kinds of immoral acts.
[00:21:58.000 --> 00:22:02.000]   That's not us. In fact, when Paul probably said this
[00:22:02.000 --> 00:22:06.000]   and they read this, they were probably thinking to themselves, "Thank God I'm not like these people." Like the tax
[00:22:06.000 --> 00:22:10.000]   collector. "Thank God I'm not like these men." But Paul says, "No, you are
[00:22:10.000 --> 00:22:14.000]   exactly like them. You do what you accuse them of doing."
[00:22:14.000 --> 00:22:18.000]   He said, "By the same judgment that you judge them, you will also
