
[00:00:00.000 --> 00:00:02.740]   (audio cuts out)
[00:01:47.180 --> 00:01:50.060]   Election and all of that is in God's world,
[00:01:50.060 --> 00:01:51.700]   and so therefore it fits the rest
[00:01:51.700 --> 00:01:53.940]   of the biblical worldview, okay?
[00:01:53.940 --> 00:01:55.480]   So that was just a really brief thing
[00:01:55.480 --> 00:01:58.180]   that I attached to the end of the last packet.
[00:01:58.180 --> 00:02:00.760]   Okay, let's take a moment to pray
[00:02:00.760 --> 00:02:02.420]   and then jump into today's study.
[00:02:02.420 --> 00:02:08.140]   Our Lord, God, we take a moment to really ask
[00:02:08.140 --> 00:02:12.260]   that your spirit will help us and guide us as we study,
[00:02:12.260 --> 00:02:17.120]   and what's more, Lord, that your truth and your word
[00:02:17.120 --> 00:02:21.380]   will affect every aspect of our thinking
[00:02:21.380 --> 00:02:25.180]   and then our emotions, and most importantly also,
[00:02:25.180 --> 00:02:26.980]   our desires.
[00:02:26.980 --> 00:02:30.620]   God, that as we look at the salvation
[00:02:30.620 --> 00:02:34.660]   that you have enacted across history,
[00:02:34.660 --> 00:02:37.460]   Lord, that our hearts would be most desiring
[00:02:37.460 --> 00:02:41.540]   of such a gracious God, such an intentional God,
[00:02:41.540 --> 00:02:43.580]   and our desires would be set upon you
[00:02:43.580 --> 00:02:45.780]   and the salvation that you give.
[00:02:45.780 --> 00:02:47.820]   And even though for many of us, Father God,
[00:02:47.820 --> 00:02:50.660]   we've been walking as a Christian for many years,
[00:02:50.660 --> 00:02:54.420]   may that longing for you, may that longing for eternity
[00:02:54.420 --> 00:02:57.420]   be all the more real as we walk with you, Lord.
[00:02:57.420 --> 00:03:00.500]   We thank you so much in Christ's name we pray, amen.
[00:03:00.500 --> 00:03:01.780]   Okey dokey.
[00:03:01.780 --> 00:03:06.620]   So we're gonna begin with a couple of just highlights
[00:03:06.620 --> 00:03:07.900]   from the last time.
[00:03:07.900 --> 00:03:11.840]   I mentioned to you that this whole section
[00:03:11.840 --> 00:03:15.980]   is verse three through 14, one long just rhapsody,
[00:03:15.980 --> 00:03:19.100]   like it's a lyrical, there's a flow.
[00:03:19.100 --> 00:03:21.760]   (phone buzzing)
[00:03:21.760 --> 00:03:25.460]   Good call, dude, thank you.
[00:03:25.460 --> 00:03:28.460]   I'm sorry.
[00:03:28.460 --> 00:03:33.580]   For the viewers at home.
[00:03:33.580 --> 00:03:36.780]   There we go, great.
[00:03:36.780 --> 00:03:37.620]   Okay.
[00:03:37.620 --> 00:03:45.540]   Okay, so then overall the impression that we get
[00:03:45.540 --> 00:03:47.980]   when we read through the passage is like,
[00:03:47.980 --> 00:03:50.340]   dang, what an amazing just explosion
[00:03:50.340 --> 00:03:52.460]   of praise and worship, right?
[00:03:52.460 --> 00:03:56.380]   And I gave you various like, I guess tips as to,
[00:03:56.380 --> 00:03:59.180]   man, this is such an amazing, just like,
[00:03:59.180 --> 00:04:02.460]   it's both beautiful, super articulate,
[00:04:02.460 --> 00:04:06.020]   and there is this like, kinda long windedness to it.
[00:04:06.020 --> 00:04:09.420]   There is this repetitiveness, there are these terms
[00:04:09.420 --> 00:04:11.580]   where he can see the big picture
[00:04:11.580 --> 00:04:14.980]   and give you amazing summaries of huge thought
[00:04:14.980 --> 00:04:18.260]   into little, just like little summary phrases.
[00:04:18.260 --> 00:04:20.060]   But also there was something else that I found
[00:04:20.060 --> 00:04:22.540]   as I was studying was, you know how again,
[00:04:22.540 --> 00:04:24.500]   when you, if you speak a different language,
[00:04:24.500 --> 00:04:27.700]   you know that there are certain terms within your culture
[00:04:27.700 --> 00:04:30.620]   that hits a certain note, yes?
[00:04:30.620 --> 00:04:32.820]   And there are certain terms and idioms that you use
[00:04:32.820 --> 00:04:36.180]   in your culture that really does capture
[00:04:36.180 --> 00:04:37.620]   the emotions of it, right?
[00:04:37.620 --> 00:04:39.820]   And what I found was that as we go through
[00:04:39.820 --> 00:04:42.460]   this portion of scripture, there is actually a ton
[00:04:42.460 --> 00:04:44.060]   of variance between different translations.
[00:04:44.060 --> 00:04:44.980]   Have you noticed that?
[00:04:44.980 --> 00:04:46.660]   If you compare the translation,
[00:04:46.660 --> 00:04:48.060]   there's like good amount of variance
[00:04:48.060 --> 00:04:50.620]   and what that was showing was that certain terms
[00:04:50.620 --> 00:04:54.740]   were hard to capture in one English word, yes?
[00:04:54.740 --> 00:04:56.780]   And so what you find is that kind of,
[00:04:56.780 --> 00:04:59.780]   man, this is just like depth of the expressions
[00:04:59.780 --> 00:05:02.460]   that Apostle Paul is giving within this.
[00:05:02.460 --> 00:05:04.660]   And the effect that we have then was
[00:05:04.660 --> 00:05:07.820]   there was an overwhelming, like the way I wanted to say it
[00:05:07.820 --> 00:05:11.060]   was we were just like drenched with the feelings
[00:05:11.060 --> 00:05:13.140]   that there was so many spiritual blessings
[00:05:13.140 --> 00:05:15.260]   of God in Christ, okay?
[00:05:15.260 --> 00:05:17.420]   And so I got a bunch of blanks for you there
[00:05:17.420 --> 00:05:18.460]   that you can fill in.
[00:05:18.460 --> 00:05:22.500]   The whole section is about the blessings,
[00:05:22.500 --> 00:05:26.820]   every spiritual blessings God has given us in Christ.
[00:05:26.820 --> 00:05:29.420]   And it's amazing how it just delineated,
[00:05:29.420 --> 00:05:30.620]   boom, boom, boom, boom, boom,
[00:05:30.620 --> 00:05:33.340]   and there was this overwhelming feeling in that.
[00:05:33.340 --> 00:05:37.100]   And what's more, what was so clear was that the means
[00:05:37.100 --> 00:05:40.460]   to all of these blessings was in Christ and Christ alone.
[00:05:40.460 --> 00:05:42.860]   So many times we saw in Christ,
[00:05:42.860 --> 00:05:44.860]   so many times we saw through Christ,
[00:05:44.860 --> 00:05:46.940]   through his blood, right?
[00:05:46.940 --> 00:05:50.460]   And what's more, I think what was pretty emphatic
[00:05:50.460 --> 00:05:53.820]   was that we were enamored by the manner of the grace,
[00:05:53.820 --> 00:05:57.260]   that it was so descriptive that his grace was freely given,
[00:05:57.260 --> 00:06:01.420]   it was lavished upon us, it was intentionally given, right?
[00:06:01.420 --> 00:06:03.500]   Those adverbs matter.
[00:06:03.500 --> 00:06:07.180]   It shows us the manner by which he was showing his grace.
[00:06:07.180 --> 00:06:09.820]   What's more, our minds were blown
[00:06:09.820 --> 00:06:12.260]   because we noticed that he repeated the idea
[00:06:12.260 --> 00:06:15.180]   there was a central focus in last paragraph,
[00:06:15.180 --> 00:06:17.500]   or at least the first portion of the paragraph,
[00:06:17.500 --> 00:06:19.940]   the extent of the grace.
[00:06:19.940 --> 00:06:23.700]   Extent meaning it wasn't five minutes ago he thought,
[00:06:23.700 --> 00:06:25.540]   you know what, be nice, right?
[00:06:25.540 --> 00:06:28.700]   It was prior to the foundation of the world
[00:06:28.700 --> 00:06:30.300]   he predestined us.
[00:06:30.300 --> 00:06:33.540]   When you think about that kind of chronology,
[00:06:33.540 --> 00:06:34.780]   that should blow your mind
[00:06:34.780 --> 00:06:37.820]   because then the extent of his intentionality
[00:06:37.820 --> 00:06:41.220]   crossed far beyond what you and I can even fathom.
[00:06:41.220 --> 00:06:45.980]   And then what Apostle Paul was challenging us to do was,
[00:06:45.980 --> 00:06:49.220]   when you see this, when you see the means,
[00:06:49.220 --> 00:06:51.620]   the manner, the extent of his grace,
[00:06:51.620 --> 00:06:54.380]   you should bless the Lord, right?
[00:06:54.380 --> 00:06:56.660]   There was this implicit challenge for you
[00:06:56.660 --> 00:06:58.940]   to bless and praise God.
[00:06:58.940 --> 00:07:01.700]   Now today, as we transition into that,
[00:07:01.700 --> 00:07:03.460]   here's what I'm gonna say.
[00:07:03.460 --> 00:07:06.460]   This next section obviously has an ongoing list
[00:07:06.460 --> 00:07:07.640]   of the blessings of God,
[00:07:07.640 --> 00:07:09.420]   and they're gonna be magnanimous,
[00:07:09.420 --> 00:07:11.260]   they're gonna be amazing.
[00:07:11.260 --> 00:07:13.940]   But he's going to emphasize all the more
[00:07:13.940 --> 00:07:18.220]   that there is intentionality and purpose to all this, okay?
[00:07:18.220 --> 00:07:19.420]   Intentionality and purpose.
[00:07:19.420 --> 00:07:21.500]   So you're gonna see the repetition
[00:07:21.500 --> 00:07:23.140]   and the thoughts of purpose
[00:07:23.140 --> 00:07:26.260]   behind all the blessings that God gives, okay?
[00:07:26.260 --> 00:07:28.780]   Now, what I'd like to do then is read.
[00:07:28.780 --> 00:07:30.820]   I'll read for us starting from verse three.
[00:07:30.820 --> 00:07:34.180]   Blessed be the God and Father of our Lord Jesus Christ,
[00:07:34.180 --> 00:07:36.740]   who has blessed us with every spiritual blessing
[00:07:36.740 --> 00:07:38.960]   in the heavenly places in Christ.
[00:07:38.960 --> 00:07:41.280]   Just as he chose us in him before the foundation
[00:07:41.280 --> 00:07:44.680]   of the world, that we would be holy
[00:07:44.680 --> 00:07:46.320]   and blameless before him.
[00:07:46.320 --> 00:07:49.080]   In love, he predestined us to adoption as sons
[00:07:49.080 --> 00:07:51.000]   through Jesus Christ to himself
[00:07:51.000 --> 00:07:53.680]   according to the kind intention of his will,
[00:07:53.680 --> 00:07:55.860]   to the praise of the glory of his grace,
[00:07:55.860 --> 00:07:58.980]   which he freely bestowed on us in the beloved.
[00:07:58.980 --> 00:08:01.920]   In him, we have redemption through his blood,
[00:08:01.920 --> 00:08:03.920]   the forgiveness of our trespasses,
[00:08:03.920 --> 00:08:05.920]   according to the riches of his grace,
[00:08:05.920 --> 00:08:07.720]   which he lavished on us.
[00:08:07.720 --> 00:08:09.200]   In all wisdom and insight,
[00:08:09.200 --> 00:08:11.780]   he made known to us the mystery of his will,
[00:08:11.780 --> 00:08:13.440]   according to his kind intention,
[00:08:13.440 --> 00:08:14.840]   which he purposed in him,
[00:08:14.840 --> 00:08:17.560]   with a view to an administration suitable
[00:08:17.560 --> 00:08:18.880]   to the fullness of the times,
[00:08:18.880 --> 00:08:22.120]   that is, the summing up of all things in Christ,
[00:08:22.120 --> 00:08:24.720]   things in the heavens and things on the earth.
[00:08:24.720 --> 00:08:27.840]   In him, also we have obtained an inheritance,
[00:08:27.840 --> 00:08:29.960]   having been predestined according to his purpose,
[00:08:29.960 --> 00:08:32.720]   who works all things after the counsel of his will,
[00:08:32.720 --> 00:08:36.400]   to the end that we who were the first to hope in Christ
[00:08:36.400 --> 00:08:38.680]   would be to the praise of his glory.
[00:08:38.680 --> 00:08:41.800]   In him, you also, after listening to the message of truth,
[00:08:41.800 --> 00:08:43.920]   the gospel of your salvation,
[00:08:43.920 --> 00:08:46.540]   having also believed, you were sealed in him
[00:08:46.540 --> 00:08:48.480]   with the Holy Spirit of promise,
[00:08:48.480 --> 00:08:51.040]   who is given as a pledge of our inheritance,
[00:08:51.040 --> 00:08:53.960]   with a view to the redemption of God's own possession,
[00:08:53.960 --> 00:08:56.960]   to the praise of his glory.
[00:08:56.960 --> 00:08:59.960]   Man, what a, again, really, really rich,
[00:08:59.960 --> 00:09:01.600]   rich section of scripture,
[00:09:01.600 --> 00:09:06.360]   summarizing just the massive, like, redemptive history,
[00:09:06.360 --> 00:09:09.400]   what God has been doing, what God is going to be doing,
[00:09:09.400 --> 00:09:12.560]   and all the blessings he has incurred on you, okay?
[00:09:12.560 --> 00:09:14.800]   Within this section, though,
[00:09:14.800 --> 00:09:17.600]   what I, as you guys know, what I like to do
[00:09:17.600 --> 00:09:21.760]   is always break things down into digestible sections.
[00:09:21.760 --> 00:09:23.920]   I hope that if you're not able to, like,
[00:09:23.920 --> 00:09:26.040]   diagram a sentence, 'cause you don't have to do that
[00:09:26.040 --> 00:09:29.040]   every single devotion that you do, right?
[00:09:29.040 --> 00:09:31.840]   But what you do is at least hit
[00:09:31.840 --> 00:09:35.640]   the main thrust of the thought, right?
[00:09:35.640 --> 00:09:38.840]   The main statement that God is giving you
[00:09:38.840 --> 00:09:42.360]   in every section of scripture, precept by precept.
[00:09:42.360 --> 00:09:44.960]   And so when you look at this, right,
[00:09:44.960 --> 00:09:48.240]   you're thinking, wow, what a mass of truth's coming at me.
[00:09:48.240 --> 00:09:50.600]   And if you're reading just one cursory time,
[00:09:50.600 --> 00:09:52.860]   there's very little that's gonna stick.
[00:09:52.860 --> 00:09:54.080]   You might hit certain things like,
[00:09:54.080 --> 00:09:56.280]   whoa, he said to his glory many times.
[00:09:56.280 --> 00:09:58.960]   So that'll stick, 'cause he repeats it a bunch.
[00:09:58.960 --> 00:10:02.400]   But what we need to do is break it down just into sentences.
[00:10:02.400 --> 00:10:06.960]   Now, here, the verses, okay,
[00:10:06.960 --> 00:10:09.460]   the verse, like, verse nine, verse 10, whatever,
[00:10:09.460 --> 00:10:11.400]   it kinda doesn't help. (laughs)
[00:10:11.400 --> 00:10:12.800]   Because it's like, it was placed
[00:10:12.800 --> 00:10:14.360]   into, like, weird settings, right?
[00:10:14.360 --> 00:10:16.040]   But what does help is, again,
[00:10:16.040 --> 00:10:18.560]   the formulation of the sentences that were there.
[00:10:18.560 --> 00:10:20.520]   Now, these sentences are still long.
[00:10:20.520 --> 00:10:22.200]   If you guys remember, I mentioned
[00:10:22.200 --> 00:10:24.360]   that starting from verse three to 14 in the Greek
[00:10:24.360 --> 00:10:26.120]   is actually one long run-on sentence,
[00:10:26.120 --> 00:10:27.600]   so it's just, like, hard, okay?
[00:10:27.600 --> 00:10:30.480]   However, there are markings that help us
[00:10:30.480 --> 00:10:32.900]   at least consolidate a thought.
[00:10:32.900 --> 00:10:35.400]   And here, you notice, this is what I did.
[00:10:35.400 --> 00:10:39.000]   Verse 8b to 10, the main concept there is,
[00:10:39.000 --> 00:10:41.560]   he made known to us the mystery of his will.
[00:10:41.560 --> 00:10:43.240]   Blessing one, boom.
[00:10:43.240 --> 00:10:45.160]   Identify it, tag it.
[00:10:45.160 --> 00:10:47.800]   Verse 11, he says, we have obtained an inheritance.
[00:10:47.800 --> 00:10:50.260]   The blessing of inheritance is there.
[00:10:50.260 --> 00:10:51.400]   Tag it.
[00:10:51.400 --> 00:10:53.900]   Verse 13, it says, you were sealed in him
[00:10:53.900 --> 00:10:55.740]   with the Holy Spirit.
[00:10:55.740 --> 00:10:58.520]   Tag that and label it as a blessing.
[00:10:58.520 --> 00:11:00.700]   For those of you guys looking at the,
[00:11:00.700 --> 00:11:04.400]   oh, hold on, looking at your packet,
[00:11:04.400 --> 00:11:06.360]   I summarize those things by saying
[00:11:06.360 --> 00:11:09.340]   we have three major blessings to deal with here, then.
[00:11:09.340 --> 00:11:11.140]   We have the blessing of revelation,
[00:11:11.140 --> 00:11:14.320]   okay, which is the first one, when he says,
[00:11:14.320 --> 00:11:16.940]   he made known to us the mystery of his will.
[00:11:16.940 --> 00:11:21.220]   In the second part, we have the blessing of inheritance.
[00:11:21.220 --> 00:11:25.160]   We have obtained this inheritance from God.
[00:11:25.160 --> 00:11:28.520]   And then, in verse 13, the blessing of the seal
[00:11:28.520 --> 00:11:30.480]   by the Spirit, by the Holy Spirit, okay,
[00:11:30.480 --> 00:11:31.560]   blessing of the seal.
[00:11:31.560 --> 00:11:34.800]   That alone, for you, when you identify
[00:11:34.800 --> 00:11:37.520]   three major blessings from God,
[00:11:37.520 --> 00:11:39.080]   you could have a time of meditation
[00:11:39.080 --> 00:11:41.160]   and devotion to the Lord.
[00:11:41.160 --> 00:11:42.640]   How have you blessed me in this way?
[00:11:42.640 --> 00:11:45.640]   How in the world is making known to me a mystery?
[00:11:45.640 --> 00:11:48.320]   If you tell me a secret, how is that a blessing to me?
[00:11:48.320 --> 00:11:50.080]   And then, as you think through that,
[00:11:50.080 --> 00:11:52.980]   that should really, really warm and encourage your heart.
[00:11:52.980 --> 00:11:54.080]   Okay?
[00:11:54.080 --> 00:11:56.360]   But for our sake, just like last time,
[00:11:56.360 --> 00:11:58.880]   we're gonna do a quick walkthrough of the observations
[00:11:58.880 --> 00:12:00.540]   and then draw some conclusions.
[00:12:00.540 --> 00:12:03.680]   First section, observations in section one,
[00:12:03.680 --> 00:12:05.880]   where we say, in all wisdom and insight,
[00:12:05.880 --> 00:12:08.240]   he made known to us the mystery of his will
[00:12:08.240 --> 00:12:11.240]   according to his kind intention which he purposed in him
[00:12:11.240 --> 00:12:13.080]   with a view to an administration suitable
[00:12:13.080 --> 00:12:15.000]   to the fullness of the times, that is,
[00:12:15.000 --> 00:12:16.800]   the summing up of all things in Christ,
[00:12:16.800 --> 00:12:20.480]   things in the heavens, and things on the earth.
[00:12:20.480 --> 00:12:23.520]   Again, when we look at it in paragraph form,
[00:12:24.160 --> 00:12:26.640]   it's a little tough because there's so much.
[00:12:26.640 --> 00:12:28.340]   What I'll typically like to do
[00:12:28.340 --> 00:12:30.800]   is break it down into phrases.
[00:12:30.800 --> 00:12:32.240]   Why?
[00:12:32.240 --> 00:12:33.240]   When you write your essays,
[00:12:33.240 --> 00:12:34.600]   you guys do the exact same thing.
[00:12:34.600 --> 00:12:36.980]   Your paragraph has a thought.
[00:12:36.980 --> 00:12:38.960]   Then, your sentence has a thought.
[00:12:38.960 --> 00:12:41.160]   Then, each phrase of your sentence has a thought.
[00:12:41.160 --> 00:12:43.040]   And all you're doing is making sure
[00:12:43.040 --> 00:12:46.720]   that you appreciate every element of the thought there.
[00:12:46.720 --> 00:12:47.560]   Right?
[00:12:47.560 --> 00:12:49.840]   And truthfully speaking, let's say, for example,
[00:12:49.840 --> 00:12:52.020]   if I was preaching a sermon,
[00:12:53.080 --> 00:12:54.840]   and I know you guys don't preach sermons,
[00:12:54.840 --> 00:12:57.680]   however, the whole point of preaching the sermon
[00:12:57.680 --> 00:13:01.060]   is that there's exhortational points for you to take home.
[00:13:01.060 --> 00:13:03.180]   Then, likewise, when you do your Bible study,
[00:13:03.180 --> 00:13:06.740]   each one of the phrases can be points for you to take home.
[00:13:06.740 --> 00:13:07.800]   Think about this.
[00:13:07.800 --> 00:13:11.120]   In all wisdom and insight, question one, who's wisdom?
[00:13:11.120 --> 00:13:12.440]   God's or yours?
[00:13:12.440 --> 00:13:16.440]   Is God giving you wisdom, or is he exercising his wisdom?
[00:13:16.440 --> 00:13:17.640]   All wisdom.
[00:13:17.640 --> 00:13:18.460]   Hmm.
[00:13:18.460 --> 00:13:21.520]   What kind of wisdom is included in all wisdom, right?
[00:13:21.520 --> 00:13:23.440]   And then, if I sat here and I said,
[00:13:23.440 --> 00:13:24.800]   you know, I can make a sermon out of this,
[00:13:24.800 --> 00:13:27.560]   can we take time to cross-reference
[00:13:27.560 --> 00:13:29.560]   every time the scripture was, wow,
[00:13:29.560 --> 00:13:31.040]   look at the wisdom of God.
[00:13:31.040 --> 00:13:34.320]   Let's appreciate the wisdom and insight that God has.
[00:13:34.320 --> 00:13:35.480]   Right?
[00:13:35.480 --> 00:13:39.920]   I could sit here and just dwell and meditate on one phrase.
[00:13:39.920 --> 00:13:43.680]   What's more, him making known to us a mystery.
[00:13:43.680 --> 00:13:44.700]   What is a mystery?
[00:13:44.700 --> 00:13:49.880]   Is it like, ooh, the unsolved mysteries of crime?
[00:13:49.880 --> 00:13:52.880]   Like, is it that kind of mystery?
[00:13:52.880 --> 00:13:54.400]   According to his kind intention,
[00:13:54.400 --> 00:13:57.140]   I mean, we could sit and just reflect and meditate
[00:13:57.140 --> 00:13:58.480]   on the kindness of God
[00:13:58.480 --> 00:14:00.600]   and the intentionality he expresses, right?
[00:14:00.600 --> 00:14:02.920]   We would have to stop right there.
[00:14:02.920 --> 00:14:03.760]   Right?
[00:14:03.760 --> 00:14:07.040]   And that's how some pastors preach one book for seven years.
[00:14:07.040 --> 00:14:11.240]   Okay, because they stop at three phrases of the Bible.
[00:14:11.240 --> 00:14:13.560]   And so, we recognize, I recognize, guys,
[00:14:13.560 --> 00:14:14.960]   that sometimes even our effort
[00:14:14.960 --> 00:14:17.500]   to break down this Bible study into smaller verses,
[00:14:17.500 --> 00:14:19.200]   it's still tough, huh?
[00:14:19.200 --> 00:14:20.040]   Right?
[00:14:20.040 --> 00:14:21.040]   'Cause if you did it this way,
[00:14:21.040 --> 00:14:22.480]   it would take you even just an hour
[00:14:22.480 --> 00:14:24.240]   just to go through several verses.
[00:14:24.240 --> 00:14:26.200]   However, I wanted to at least show you this
[00:14:26.200 --> 00:14:30.220]   because sometimes, as you regularly do Bible study,
[00:14:30.220 --> 00:14:32.480]   certain concepts were repeated,
[00:14:32.480 --> 00:14:33.520]   and you don't have to sit there
[00:14:33.520 --> 00:14:35.480]   and camp on every single word.
[00:14:35.480 --> 00:14:38.240]   However, you should be able to notice,
[00:14:38.240 --> 00:14:41.280]   within this paragraph, what was the main point?
[00:14:41.280 --> 00:14:44.280]   I underlined he made known to us the mystery of his will,
[00:14:44.280 --> 00:14:45.740]   but why did I underline that?
[00:14:45.740 --> 00:14:48.560]   Right?
[00:14:48.560 --> 00:14:50.400]   Like, could I be wrong?
[00:14:50.400 --> 00:14:53.640]   You know, Pastor Mark, I think you're wrong, right?
[00:14:53.640 --> 00:14:54.880]   I think it's this last one
[00:14:54.880 --> 00:14:57.040]   where it's summing up all things in Christ.
[00:14:57.040 --> 00:14:58.480]   How do I know?
[00:14:58.480 --> 00:15:01.800]   Well, this is where I think good inductive Bible study
[00:15:01.800 --> 00:15:04.000]   and observations is key.
[00:15:04.000 --> 00:15:05.600]   The reason why I did this was because,
[00:15:05.600 --> 00:15:07.920]   remember one of the things I shared with you guys
[00:15:07.920 --> 00:15:09.480]   in terms of Bible study,
[00:15:09.480 --> 00:15:12.280]   is that not only is delineating
[00:15:12.280 --> 00:15:14.280]   the different phrases important,
[00:15:14.280 --> 00:15:16.400]   but seeing the relationship.
[00:15:16.400 --> 00:15:17.240]   Right?
[00:15:17.240 --> 00:15:19.880]   And one of the key things I always like to show people
[00:15:19.880 --> 00:15:21.280]   is this.
[00:15:21.280 --> 00:15:23.120]   How do you find the main thought
[00:15:23.120 --> 00:15:26.760]   in this huge list of various concepts?
[00:15:26.760 --> 00:15:30.800]   You make sure to tag the stand alone concept.
[00:15:30.800 --> 00:15:32.480]   Meaning this, if I just read,
[00:15:32.480 --> 00:15:33.980]   in all wisdom and insight,
[00:15:33.980 --> 00:15:37.540]   can that stand alone as a sentence?
[00:15:37.540 --> 00:15:38.380]   No.
[00:15:38.380 --> 00:15:39.460]   And as a matter of fact,
[00:15:39.460 --> 00:15:41.680]   it is just a pointer,
[00:15:41.680 --> 00:15:43.480]   so I could actually even move it around.
[00:15:43.480 --> 00:15:45.000]   I can move it around after.
[00:15:45.000 --> 00:15:46.480]   I can move it around later on.
[00:15:46.480 --> 00:15:47.320]   Right?
[00:15:47.320 --> 00:15:49.040]   It doesn't even have to be right there.
[00:15:49.040 --> 00:15:50.920]   What's more, according to his kind intention,
[00:15:50.920 --> 00:15:51.880]   can that stand alone?
[00:15:51.880 --> 00:15:53.200]   You know exactly what I'm saying now.
[00:15:53.200 --> 00:15:54.800]   The stand alone sentence is,
[00:15:54.800 --> 00:15:57.580]   he made known to us this mystery, period.
[00:15:57.580 --> 00:15:59.040]   That could be a stand alone sentence
[00:15:59.040 --> 00:16:00.520]   that's giving you a complete thought,
[00:16:00.520 --> 00:16:03.920]   and everything is giving you additional information
[00:16:03.920 --> 00:16:06.700]   about his making known to you the mystery.
[00:16:06.700 --> 00:16:08.400]   For those of you guys who like a visual,
[00:16:08.400 --> 00:16:09.760]   boom, okay?
[00:16:09.760 --> 00:16:11.160]   You don't have to take a photo or whatever.
[00:16:11.160 --> 00:16:13.080]   I'm just wanting to give you a visual
[00:16:13.080 --> 00:16:14.800]   that this is how I like to say,
[00:16:14.800 --> 00:16:15.640]   you know what?
[00:16:15.640 --> 00:16:18.800]   What I need to take home is this incredible blessing
[00:16:18.800 --> 00:16:22.120]   he made known to me his thought.
[00:16:22.120 --> 00:16:25.960]   He made known to me his intention,
[00:16:25.960 --> 00:16:28.480]   particularly his will,
[00:16:28.480 --> 00:16:30.400]   what he desired to accomplish,
[00:16:30.400 --> 00:16:32.560]   he revealed that to me.
[00:16:32.560 --> 00:16:34.240]   He did that in his wisdom.
[00:16:34.240 --> 00:16:36.200]   He did that because his heart's kind,
[00:16:36.200 --> 00:16:37.720]   and he did that with an administration,
[00:16:37.720 --> 00:16:38.740]   meaning a plan.
[00:16:38.740 --> 00:16:40.760]   Does that make sense?
[00:16:40.760 --> 00:16:43.840]   And then all the different parts just describe it,
[00:16:43.840 --> 00:16:45.840]   and this is the way I map it out for you,
[00:16:45.840 --> 00:16:49.080]   that his intention was purposed in him, that is Christ,
[00:16:49.080 --> 00:16:50.400]   and one of you guys asked the question,
[00:16:50.400 --> 00:16:52.320]   man, is there a way, easy way,
[00:16:52.320 --> 00:16:54.360]   to differentiate the pronouns?
[00:16:54.360 --> 00:16:56.660]   Because there is him and he and him and he,
[00:16:56.660 --> 00:16:58.720]   and then it's like, is that God, is it Jesus?
[00:16:58.720 --> 00:17:00.440]   Is it God, is it Jesus, right?
[00:17:00.440 --> 00:17:02.400]   That part's hard.
[00:17:02.400 --> 00:17:04.440]   Well, what I'm gonna say is,
