
[00:00:00.000 --> 00:00:03.000]   [ Silence ]
[00:24:02.000 --> 00:24:12.000]   [ Inaudible ]
[00:24:13.000 --> 00:24:42.000]   [ Inaudible ]
[00:24:42.000 --> 00:25:11.000]   [ Inaudible ]
[00:25:11.000 --> 00:25:34.000]   [ Inaudible ]
[00:25:35.000 --> 00:26:02.000]   [ Inaudible ]
[00:26:03.000 --> 00:26:31.000]   [ Inaudible ]
[00:26:32.000 --> 00:26:44.000]   [ Inaudible ]
[00:26:45.000 --> 00:27:11.000]   [ Inaudible ]
[00:27:12.000 --> 00:27:22.000]   [ Inaudible ]
[00:27:22.000 --> 00:27:36.000]   [ Inaudible ]
[00:27:37.000 --> 00:28:01.000]   [ Inaudible ]
[00:28:02.000 --> 00:28:14.000]   [ Inaudible ]
[00:28:15.000 --> 00:28:43.000]   [ Inaudible ]
[00:28:44.000 --> 00:28:56.000]   [ Inaudible ]
[00:28:57.000 --> 00:29:25.000]   [ Inaudible ]
[00:29:26.000 --> 00:29:38.000]   [ Inaudible ]
[00:29:39.000 --> 00:30:01.000]   [ Inaudible ]
[00:30:02.000 --> 00:30:26.000]   [ Inaudible ]
[00:30:27.000 --> 00:30:37.000]   [ Inaudible ]
[00:30:38.000 --> 00:31:05.000]   [ Inaudible ]
[00:31:06.000 --> 00:31:16.000]   [ Inaudible ]
[00:31:16.000 --> 00:31:29.000]   [ Inaudible ]
[00:31:30.000 --> 00:31:42.000]   [ Inaudible ]
[00:31:43.000 --> 00:32:07.000]   [ Inaudible ]
[00:32:08.000 --> 00:32:18.000]   [ Inaudible ]
[00:32:18.000 --> 00:32:31.000]   [ Inaudible ]
[00:32:32.000 --> 00:33:00.000]   [ Inaudible ]
[00:33:01.000 --> 00:33:11.000]   [ Inaudible ]
[00:33:12.000 --> 00:33:40.000]   [ Inaudible ]
[00:33:41.000 --> 00:33:51.000]   [ Inaudible ]
[00:33:52.000 --> 00:34:14.000]   [ Inaudible ]
[00:34:15.000 --> 00:34:30.000]   [ Inaudible ]
[00:34:31.000 --> 00:34:55.000]   [ Inaudible ]
[00:34:56.000 --> 00:35:24.000]   [ Inaudible ]
[00:35:25.000 --> 00:35:35.000]   [ Inaudible ]
[00:35:35.000 --> 00:35:48.000]   [ Inaudible ]
[00:35:49.000 --> 00:35:59.000]   [ Inaudible ]
[00:35:59.000 --> 00:36:12.000]   [ Inaudible ]
[00:36:13.000 --> 00:36:25.000]   [ Inaudible ]
[00:36:25.000 --> 00:36:27.000]   [ Laughter ]
[00:36:28.000 --> 00:36:54.000]   [ Inaudible ]
[00:36:55.000 --> 00:37:11.000]   [ Inaudible ]
[00:37:12.000 --> 00:37:20.000]   [ Inaudible ]
[00:37:20.000 --> 00:37:29.000]   [ Inaudible ]
[00:37:30.000 --> 00:37:44.000]   [ Inaudible ]
[00:37:44.000 --> 00:37:58.000]   [ Inaudible ]
[00:37:59.000 --> 00:38:09.000]   [ Inaudible ]
[00:38:09.000 --> 00:38:22.000]   [ Inaudible ]
[00:38:23.000 --> 00:38:33.000]   [ Inaudible ]
[00:38:33.000 --> 00:38:46.000]   [ Inaudible ]
[00:38:47.000 --> 00:38:56.000]   [ Inaudible ]
[00:38:56.000 --> 00:39:05.000]   [ Inaudible ]
[00:39:06.000 --> 00:39:24.000]   [ Inaudible ]
[00:39:25.000 --> 00:39:35.000]   [ Inaudible ]
[00:39:35.000 --> 00:39:46.000]   [ Inaudible ]
[00:39:47.000 --> 00:39:57.000]   [ Inaudible ]
[00:39:57.000 --> 00:40:08.000]   [ Inaudible ]
[00:40:09.000 --> 00:40:19.000]   [ Inaudible ]
[00:40:19.000 --> 00:40:30.000]   [ Inaudible ]
[00:40:31.000 --> 00:40:41.000]   [ Inaudible ]
[00:40:41.000 --> 00:40:54.000]   [ Inaudible ]
[00:40:55.000 --> 00:41:05.000]   [ Inaudible ]
[00:41:05.000 --> 00:41:18.000]   [ Inaudible ]
[00:41:19.000 --> 00:41:29.000]   [ Inaudible ]
[00:41:29.000 --> 00:41:40.000]   [ Inaudible ]
[00:41:41.000 --> 00:41:49.000]   [ Inaudible ]
[00:41:49.000 --> 00:41:58.000]   [ Inaudible ]
[00:41:58.000 --> 00:42:10.000]   [ Inaudible ]
[00:42:10.000 --> 00:42:20.000]   [ Inaudible ]
[00:42:20.000 --> 00:42:31.000]   [ Inaudible ]
[00:42:32.000 --> 00:42:42.000]   [ Inaudible ]
[00:42:42.000 --> 00:42:53.000]   [ Inaudible ]
[00:42:54.000 --> 00:43:04.000]   [ Inaudible ]
[00:43:04.000 --> 00:43:15.000]   [ Inaudible ]
[00:43:16.000 --> 00:43:26.000]   [ Inaudible ]
[00:43:26.000 --> 00:43:37.000]   [ Inaudible ]
[00:43:38.000 --> 00:43:48.000]   [ Inaudible ]
[00:43:48.000 --> 00:44:01.000]   [ Inaudible ]
[00:44:02.000 --> 00:44:12.000]   [ Inaudible ]
[00:44:12.000 --> 00:44:25.000]   [ Inaudible ]
[00:44:26.000 --> 00:44:36.000]   [ Inaudible ]
[00:44:36.000 --> 00:44:47.000]   [ Inaudible ]
[00:44:48.000 --> 00:44:58.000]   [ Inaudible ]
[00:44:58.000 --> 00:45:09.000]   [ Inaudible ]
[00:45:10.000 --> 00:45:20.000]   [ Inaudible ]
[00:45:20.000 --> 00:45:31.000]   [ Inaudible ]
[00:45:32.000 --> 00:45:42.000]   [ Inaudible ]
[00:45:42.000 --> 00:45:53.000]   [ Inaudible ]
[00:45:54.000 --> 00:46:04.000]   [ Inaudible ]
[00:46:04.000 --> 00:46:15.000]   [ Inaudible ]
[00:46:16.000 --> 00:46:26.000]   [ Inaudible ]
[00:46:26.000 --> 00:46:37.000]   [ Inaudible ]
[00:46:38.000 --> 00:46:48.000]   [ Inaudible ]
[00:46:48.000 --> 00:46:59.000]   [ Inaudible ]
[00:47:00.000 --> 00:47:10.000]   [ Inaudible ]
[00:47:10.000 --> 00:47:21.000]   [ Inaudible ]
[00:47:22.000 --> 00:47:32.000]   [ Inaudible ]
[00:47:32.000 --> 00:47:43.000]   [ Inaudible ]
[00:47:44.000 --> 00:47:54.000]   [ Inaudible ]
[00:47:54.000 --> 00:48:05.000]   [ Inaudible ]
[00:48:06.000 --> 00:48:16.000]   [ Inaudible ]
[00:48:16.000 --> 00:48:27.000]   [ Inaudible ]
[00:48:28.000 --> 00:48:38.000]   [ Inaudible ]
[00:48:38.000 --> 00:48:49.000]   [ Inaudible ]
[00:48:50.000 --> 00:49:00.000]   [ Inaudible ]
[00:49:00.000 --> 00:49:11.000]   [ Inaudible ]
[00:49:12.000 --> 00:49:20.000]   [ Inaudible ]
[00:49:20.000 --> 00:49:29.000]   [ Inaudible ]
[00:49:29.000 --> 00:49:40.000]   [ Inaudible ]
[00:49:41.000 --> 00:49:51.000]   [ Inaudible ]
[00:49:51.000 --> 00:50:02.000]   [ Inaudible ]
[00:50:03.000 --> 00:50:13.000]   [ Inaudible ]
[00:50:13.000 --> 00:50:24.000]   [ Inaudible ]
[00:50:25.000 --> 00:50:35.000]   [ Inaudible ]
[00:50:35.000 --> 00:50:46.000]   [ Inaudible ]
[00:50:47.000 --> 00:50:57.000]   [ Inaudible ]
[00:50:57.000 --> 00:51:08.000]   [ Inaudible ]
[00:51:09.000 --> 00:51:17.000]   [ Inaudible ]
[00:51:17.000 --> 00:51:26.000]   [ Inaudible ]
[00:51:26.000 --> 00:51:35.000]   [ Inaudible ]
[00:51:36.000 --> 00:51:44.000]   [ Inaudible ]
[00:51:44.000 --> 00:51:53.000]   [ Inaudible ]
[00:51:53.000 --> 00:52:02.000]   [ Inaudible ]
[00:52:03.000 --> 00:52:11.000]   [ Inaudible ]
[00:52:11.000 --> 00:52:20.000]   [ Inaudible ]
[00:52:20.000 --> 00:52:29.000]   [ Inaudible ]
[00:52:30.000 --> 00:52:38.000]   [ Inaudible ]
[00:52:38.000 --> 00:52:47.000]   [ Inaudible ]
[00:52:47.000 --> 00:52:56.000]   [ Inaudible ]
[00:52:57.000 --> 00:53:05.000]   [ Inaudible ]
[00:53:05.000 --> 00:53:14.000]   [ Inaudible ]
[00:53:14.000 --> 00:53:23.000]   [ Inaudible ]

