
[00:00:00.000 --> 00:00:07.000]   Leviticus chapter 26.
[00:05:41.000 --> 00:05:44.000]   It was meant to be restoration of rest,
[00:05:44.000 --> 00:05:47.000]   but then you make it into a work.
[00:05:47.000 --> 00:05:52.000]   But to completely ignore the principle of Sabbath
[00:05:52.000 --> 00:05:58.000]   is to ignore the importance of what this day represents,
[00:05:58.000 --> 00:06:04.000]   to be mindful of the fact that God set aside a certain time,
[00:06:04.000 --> 00:06:08.000]   a certain day for us to find rest and to be restored.
[00:06:08.000 --> 00:06:12.000]   So coming to church on Sunday, right?
[00:06:12.000 --> 00:06:15.000]   Again, not to check off and say,
[00:06:15.000 --> 00:06:18.000]   "I came and I gave worship on Sunday, so therefore I observe the Sabbath,"
[00:06:18.000 --> 00:06:22.000]   but to connect with God corporately, right?
[00:06:22.000 --> 00:06:25.000]   Connect with God corporately to be restored, to be refreshed,
[00:06:25.000 --> 00:06:29.000]   to connect with God in Scripture, in prayer, in my quiet time.
[00:06:29.000 --> 00:06:33.000]   The principle of Sabbath needs to apply to every Christian.
[00:06:33.000 --> 00:06:37.000]   The reason why we don't as a church say,
[00:06:37.000 --> 00:06:40.000]   "On Sabbath we do this and on Sabbath we don't do this,"
[00:06:40.000 --> 00:06:45.000]   because then it becomes something that you have to do or you don't do.
[00:06:45.000 --> 00:06:48.000]   But again, the principle of Sabbath is something that every Christian
[00:06:48.000 --> 00:06:54.000]   ought to be regularly thinking about, like, "Are you in the Sabbath?"
[00:06:54.000 --> 00:06:58.000]   Even in the way that we pursue sanctification, right?
[00:06:58.000 --> 00:07:00.000]   Even in the way we pursue sanctification,
[00:07:00.000 --> 00:07:04.000]   if you pursue sanctification as of, like,
[00:07:04.000 --> 00:07:08.000]   "I'm going to work hard to be righteous, to be in the presence of God,"
[00:07:08.000 --> 00:07:11.000]   you flip the concept of Sabbath,
[00:07:11.000 --> 00:07:14.000]   because the Sabbath is that God restores the rest,
[00:07:14.000 --> 00:07:17.000]   so therefore you work in the rest.
[00:07:17.000 --> 00:07:20.000]   Does that make any sense?
[00:07:20.000 --> 00:07:24.000]   You don't work to get your way into the presence of God.
[00:07:24.000 --> 00:07:28.000]   And that's why the Scripture says to live up to
[00:07:28.000 --> 00:07:31.000]   the gospel that you have received, right?
[00:07:31.000 --> 00:07:34.000]   To live up to it. In other words, it's been given to you.
[00:07:34.000 --> 00:07:37.000]   Righteousness has been imputed to you. It's been given to you.
[00:07:37.000 --> 00:07:41.000]   Now live what God has already given.
[00:07:41.000 --> 00:07:44.000]   So if you look at the Genesis account,
[00:07:44.000 --> 00:07:49.000]   Adam and Eve, did they work or not work before the fall?
[00:07:49.000 --> 00:07:52.000]   They did work. They were being fruitful,
[00:07:52.000 --> 00:07:55.000]   multiplying, subduing the land, and then when sin comes in,
[00:07:55.000 --> 00:07:58.000]   he says, "You're going to be working, but what's it going to produce?
[00:07:58.000 --> 00:08:01.000]   Thorns and thistles from the sweat of your brow."
[00:08:01.000 --> 00:08:04.000]   Eve was created to be a suitable helper,
[00:08:04.000 --> 00:08:07.000]   but she's going to bring contention in the home.
[00:08:07.000 --> 00:08:10.000]   Instead of being a helper, you're going to be next to him,
[00:08:10.000 --> 00:08:13.000]   but it's going to cause trouble.
[00:08:13.000 --> 00:08:16.000]   So what the Sabbath is,
[00:08:16.000 --> 00:08:19.000]   is a restoration of what was lost because of our sin.
[00:08:19.000 --> 00:08:22.000]   And so how do we practice that in the New Testament?
[00:08:22.000 --> 00:08:26.000]   So the idea of Sabbath in the New Testament ought to be, like God did,
[00:08:26.000 --> 00:08:29.000]   so these are principles that are taught in the Old Testament.
[00:08:29.000 --> 00:08:32.000]   They set aside a specific day so that they do nothing else
[00:08:32.000 --> 00:08:36.000]   but to come before God and find rest and to worship
[00:08:36.000 --> 00:08:39.000]   and to reconnect with the Father.
[00:08:39.000 --> 00:08:42.000]   So for the New Covenant people,
[00:08:42.000 --> 00:08:45.000]   we move the Sabbath from Saturday to Sunday
[00:08:45.000 --> 00:08:48.000]   because Jesus' resurrection
[00:08:48.000 --> 00:08:51.000]   restored the Sabbath for Christians.
[00:08:51.000 --> 00:08:55.000]   So we no longer practice the physical Sabbath, but the spiritual Sabbath.
[00:08:55.000 --> 00:08:58.000]   So we do practice the Sabbath,
[00:08:58.000 --> 00:09:02.000]   but we have to practice the Sabbath with Christ in mind,
[00:09:02.000 --> 00:09:05.000]   to connect with Christ.
[00:09:05.000 --> 00:09:08.000]   That's our ultimate purpose, to rest in Christ.
[00:09:08.000 --> 00:09:11.000]   You cannot work all day and not practice Sabbath.
[00:09:11.000 --> 00:09:14.000]   You can sit around and do nothing all day and not practice Sabbath.
[00:09:14.000 --> 00:09:17.000]   You can come to church and have morning and night service
[00:09:17.000 --> 00:09:20.000]   and not practice Sabbath
[00:09:20.000 --> 00:09:23.000]   but it's the physical Sabbath that we are to practice in the New Covenant.
[00:09:23.000 --> 00:09:26.000]   Okay?
[00:09:26.000 --> 00:09:29.000]   All right, I'm out of breath already.
[00:09:29.000 --> 00:09:32.000]   So chapter 26.
[00:09:32.000 --> 00:09:35.000]   Let me pray first and we'll jump in.
[00:09:35.000 --> 00:09:43.000]   Heavenly Father, we thank you for allowing us to study the book of Leviticus.
[00:09:43.000 --> 00:09:48.000]   I know there's a lot of things in here that we still don't fully understand,
[00:09:48.000 --> 00:09:52.000]   but we thank you, Father God, that you've taken time
[00:09:52.000 --> 00:09:55.000]   to prepare the nation of Israel, Lord God,
[00:09:55.000 --> 00:09:58.000]   and all these things just bring greater light
[00:09:58.000 --> 00:10:02.000]   into what we already believe and what we've already been affected by.
[00:10:02.000 --> 00:10:05.000]   I pray that the few more sessions that we have,
[00:10:05.000 --> 00:10:08.000]   that you would continue to open our eyes,
[00:10:08.000 --> 00:10:11.000]   help us to connect the dots, that we may have a greater sense of awe
[00:10:11.000 --> 00:10:14.000]   in the things that you've already given.
[00:10:14.000 --> 00:10:17.000]   In Jesus' name we pray. Amen.
[00:10:17.000 --> 00:10:20.000]   All right, so let's jump right in.
[00:10:20.000 --> 00:10:23.000]   So this chapter 26 is part 2.
[00:10:23.000 --> 00:10:26.000]   Remember we talked about how the three chapters,
[00:10:26.000 --> 00:10:32.000]   chapter 25, 26, 27, is exhortation on how to live a blessed life in the Promised Land.
[00:10:32.000 --> 00:10:36.000]   So God's teaching them that when you get into this land,
[00:10:36.000 --> 00:10:39.000]   these are the things that you ought to do.
[00:10:39.000 --> 00:10:42.000]   So in chapter 25, he talks about when you get in there,
[00:10:42.000 --> 00:10:45.000]   make sure that you practice the Sabbath.
[00:10:45.000 --> 00:10:48.000]   Practice the Sabbath for yourself, practice the Sabbath for the land,
[00:10:48.000 --> 00:10:51.000]   practice the Sabbath economically and socially, right?
[00:10:51.000 --> 00:10:55.000]   And every 49th and the 50th year you have the year of Jubilee,
[00:10:55.000 --> 00:10:58.000]   every 7th year you have the year of the Sabbath,
[00:10:58.000 --> 00:11:02.000]   and then every 7th day you practice the Sabbath, right?
[00:11:02.000 --> 00:11:06.000]   And then chapter 27, if you've already gone there,
[00:11:06.000 --> 00:11:10.000]   the very last chapter, ends with how to redeem certain things.
[00:11:10.000 --> 00:11:13.000]   What can be redeemed, what can't be redeemed,
[00:11:13.000 --> 00:11:15.000]   what are the valuations?
[00:11:15.000 --> 00:11:17.000]   So if you haven't gone there already,
[00:11:17.000 --> 00:11:19.000]   I'm just going to give you a heads up, a warning,
[00:11:19.000 --> 00:11:23.000]   that some of you, if you don't understand what God is doing in chapter 27,
[00:11:23.000 --> 00:11:26.000]   some of you are going to be very offended.
[00:11:26.000 --> 00:11:31.000]   Because he begins to give monetary value on women,
[00:11:31.000 --> 00:11:37.000]   on men, on children, on older people, and younger people, infants, animals.
[00:11:37.000 --> 00:11:40.000]   And so if you don't understand what he's doing,
[00:11:40.000 --> 00:11:45.000]   it will sound kind of like, "Okay, you're more valued and you're of less value."
[00:11:45.000 --> 00:11:49.000]   But obviously it points to something much deeper than just what you see on the surface.
[00:11:49.000 --> 00:11:51.000]   So that's what he talks about in chapter 27,
[00:11:51.000 --> 00:11:56.000]   how does God want us to redeem certain things, right?
[00:11:56.000 --> 00:12:00.000]   So chapter 26 is about the covenant of blessing and curses.
[00:12:00.000 --> 00:12:04.000]   Now this list of what curses you bring if you disobey,
[00:12:04.000 --> 00:12:06.000]   what blessings you get if you do obey,
[00:12:06.000 --> 00:12:08.000]   this is not the only place that's written, right?
[00:12:08.000 --> 00:12:11.000]   There are other places where there's a list,
[00:12:11.000 --> 00:12:13.000]   in particular in the book of Deuteronomy.
[00:12:13.000 --> 00:12:15.000]   But that's, again, the overview, that's where we are.
[00:12:15.000 --> 00:12:19.000]   We're in the second part of the three-part at the end of the book of Leviticus
[00:12:19.000 --> 00:12:21.000]   that if you want to live a life that is blessed by God,
[00:12:21.000 --> 00:12:25.000]   these are the things that you ought to do.
[00:12:25.000 --> 00:12:29.000]   So blessing and obedience, verses 1 to 3.
[00:12:29.000 --> 00:12:33.000]   He says, "If you obey, God will provide rain in their season
[00:12:33.000 --> 00:12:39.000]   so that they will bear much fruit."
[00:12:39.000 --> 00:12:42.000]   Now what I want you to pay attention to,
[00:12:42.000 --> 00:12:45.000]   what blessings that God's going to give,
[00:12:45.000 --> 00:12:48.000]   you're going to notice that everything that God gives them
[00:12:48.000 --> 00:12:53.000]   is something that God already gave to mankind.
[00:12:53.000 --> 00:12:56.000]   Like rain in season is, they're supposed to come in season,
[00:12:56.000 --> 00:13:01.000]   meaning that God ordained this particular season out of the year to rain.
[00:13:01.000 --> 00:13:06.000]   And he says, "But if you obey, I will not withhold the rain, I will let it rain."
[00:13:06.000 --> 00:13:09.000]   So if you'll notice, all the things that he promises,
[00:13:09.000 --> 00:13:14.000]   "If you obey," is exactly what he intended to begin with.
[00:13:14.000 --> 00:13:17.000]   Basically what he's doing is he's taking the consequence of sin
[00:13:17.000 --> 00:13:22.000]   on mankind and on creation, and he's kind of withholding that.
[00:13:22.000 --> 00:13:24.000]   He's withholding his wrath against mankind.
[00:13:24.000 --> 00:13:27.000]   So obedience doesn't bring something new.
[00:13:27.000 --> 00:13:31.000]   Obedience is restoration, it was what he's already given.
[00:13:31.000 --> 00:13:33.000]   Does that make sense?
[00:13:33.000 --> 00:13:36.000]   So it's not like God is withholding anything good.
[00:13:36.000 --> 00:13:38.000]   This is what God gave to mankind to begin with,
[00:13:38.000 --> 00:13:41.000]   but it's sin that blocks us from his blessing.
[00:13:41.000 --> 00:13:45.000]   So if you take the sin away, the blessing that he intended in creation
[00:13:45.000 --> 00:13:47.000]   is going to be given to you.
[00:13:47.000 --> 00:13:50.000]   So you'll notice that everything he mentions here in this part
[00:13:50.000 --> 00:13:56.000]   is basically a description of Garden of Eden.
[00:13:56.000 --> 00:14:00.000]   He says he will give security so that they may enjoy fruits of the land.
[00:14:00.000 --> 00:14:03.000]   In other words, they're going to walk around, and there are no enemies,
[00:14:03.000 --> 00:14:08.000]   there are no wild beasts, so they're going to be able to enjoy life,
[00:14:08.000 --> 00:14:17.000]   enjoy food, enjoy family, without having to worry about danger.
[00:14:17.000 --> 00:14:20.000]   God will give peace in the land, verses 6 through 8.
[00:14:20.000 --> 00:14:23.000]   And the way he describes peace is that they will sleep in peace
[00:14:23.000 --> 00:14:25.000]   without having to fear their enemies.
[00:14:25.000 --> 00:14:28.000]   There are no enemies.
[00:14:28.000 --> 00:14:33.000]   Enemies are a direct result of the fall.
[00:14:33.000 --> 00:14:41.000]   The hatred between Democrats and Republicans is a direct result of the fall.
[00:14:41.000 --> 00:14:45.000]   The animosity between husband and wife is a direct result of the fall.
[00:14:45.000 --> 00:14:50.000]   The reason why we have locks on our doors is because it's a direct result of the fall.
[00:14:50.000 --> 00:14:57.000]   The reason why we have police officers guarding our streets is a direct result of the fall.
[00:14:57.000 --> 00:15:04.000]   He says that when obedience, when we obey, and God comes to protect us,
[00:15:04.000 --> 00:15:09.000]   there is no need to worry. We will be able to sleep in peace.
[00:15:09.000 --> 00:15:13.000]   He will eliminate the harmful beasts.
[00:15:13.000 --> 00:15:19.000]   For people who are living in the city, at most you might be worried about coyotes.
[00:15:19.000 --> 00:15:21.000]   We don't worry about wild beasts.
[00:15:21.000 --> 00:15:25.000]   But if you've ever been to a part of the country where they're living out in the open,
[00:15:25.000 --> 00:15:28.000]   which is what they probably were used to.
[00:15:28.000 --> 00:15:31.000]   Remember, I think I shared this before, I asked our Indian pastors,
[00:15:31.000 --> 00:15:35.000]   what's the greatest danger they faced in sharing the gospel?
[00:15:35.000 --> 00:15:38.000]   And they said they ran into a tiger.
[00:15:38.000 --> 00:15:41.000]   They didn't run into the tiger, but they were in the open field
[00:15:41.000 --> 00:15:44.000]   and they saw a tiger coming from way over there.
[00:15:44.000 --> 00:15:48.000]   And then so they hid behind the rock, and if the tiger smelled them,
[00:15:48.000 --> 00:15:50.000]   they would have been done.
[00:15:50.000 --> 00:15:53.000]   But the tiger never came by. He said that was probably the scariest.
[00:15:53.000 --> 00:15:59.000]   I was expecting the Hindus throwing rocks at them, and they said, "Tiger."
[00:15:59.000 --> 00:16:05.000]   And then I was in Kenya, and in the rural side of Kenya,
[00:16:05.000 --> 00:16:09.000]   the biggest problem over there were elephants.
[00:16:09.000 --> 00:16:16.000]   And they said the elephants, I think they said it was the number one killer of man in that area were elephants.
[00:16:16.000 --> 00:16:21.000]   We would never think of elephants as being dangerous because we usually see them in zoos.
[00:16:21.000 --> 00:16:27.000]   So when he says there's no more wild beasts, to us, like where we live, we can't relate.
[00:16:27.000 --> 00:16:31.000]   But imagine when at that period of time, and you're a farmer,
[00:16:31.000 --> 00:16:35.000]   and you had wolves and whatever animals coming by,
[00:16:35.000 --> 00:16:40.000]   he says that when that day comes, remember if you look at the Garden of Eden,
[00:16:40.000 --> 00:16:43.000]   there was no hostility between man and animals.
[00:16:43.000 --> 00:16:48.000]   They were coming, and Adam was actually beginning to name them one by one.
[00:16:48.000 --> 00:16:55.000]   So all this is a picture of the Garden of Eden before sin comes in.
[00:16:55.000 --> 00:16:59.000]   And obviously to the nation of Israel, when they enter the Promised Land,
[00:16:59.000 --> 00:17:02.000]   they are going to be surrounded by enemies.
[00:17:02.000 --> 00:17:11.000]   But if the enemies do come, he says he promises victory.
[00:17:11.000 --> 00:17:15.000]   God will grant them to be fruitful and multiply.
[00:17:15.000 --> 00:17:19.000]   Again, what was broken because of the fall.
[00:17:19.000 --> 00:17:24.000]   God told them to be fruitful and multiply, and that's exactly what they were doing until sin comes in.
[00:17:24.000 --> 00:17:31.000]   And they are no longer able to be fruitful or to multiply because of their sins.
[00:17:31.000 --> 00:17:41.000]   In fact, the very first fruit that Adam and Eve have, what happens to that?
[00:17:41.000 --> 00:17:45.000]   They are two sons, and one gets murdered.
[00:17:45.000 --> 00:17:51.000]   He says when God blesses you, you're going to be fruitful and multiply.
[00:17:51.000 --> 00:17:53.000]   The Lord will make his dwelling in their midst.
[00:17:53.000 --> 00:17:57.000]   And the reason why all of this is possible is because the Lord is in their midst.
[00:17:57.000 --> 00:18:02.000]   So if you remember in the book of Genesis, when Adam and Eve fall, what is the first thing that happens?
[00:18:02.000 --> 00:18:07.000]   They hide from each other, and then they hide from God.
[00:18:07.000 --> 00:18:09.000]   So they were shunned from the presence of God.
[00:18:09.000 --> 00:18:13.000]   So therefore the Sabbath was broken because the rest is in God.
[00:18:13.000 --> 00:18:17.000]   So he said all of these things come because God is among them.
[00:18:17.000 --> 00:18:20.000]   The reason why the enemies can't touch them? Because God is with them.
[00:18:20.000 --> 00:18:23.000]   The reason why they are able to be fruitful is because God is with them.
[00:18:23.000 --> 00:18:33.000]   The reason why the animals are not hostile is because God is in their midst.
[00:18:33.000 --> 00:18:38.000]   He says he will walk among them.
[00:18:38.000 --> 00:18:47.000]   So this is a different picture because in the book of Leviticus, where is God?
[00:18:47.000 --> 00:18:49.000]   Where is God in the book of Leviticus?
[00:18:49.000 --> 00:18:51.000]   In Exodus, he's up in the mountain.
[00:18:51.000 --> 00:18:54.000]   In Leviticus, where is he?
[00:18:54.000 --> 00:18:58.000]   He's at the tabernacle, so he's in their midst.
[00:18:58.000 --> 00:19:01.000]   But he's in the tabernacle.
[00:19:01.000 --> 00:19:05.000]   But he says in obedience, where does he say he was going to be?
[00:19:05.000 --> 00:19:10.000]   He's not just going to be within them, he's going to be walking with them.
[00:19:10.000 --> 00:19:14.000]   So it's a much more intimate scene than even at the tabernacle.
[00:19:14.000 --> 00:19:17.000]   There is no barrier.
[00:19:17.000 --> 00:19:22.000]   Does that happen in the nation of Israel?
[00:19:22.000 --> 00:19:26.000]   I mean, the actual fulfillment of that, it happens in the New Testament with Christ,
[00:19:26.000 --> 00:19:28.000]   because the Holy Spirit makes an indwelling with us.
[00:19:28.000 --> 00:19:32.000]   And that's why we are commanded to walk with him.
[00:19:32.000 --> 00:19:40.000]   But in Leviticus, he dwelt among them, but he does not walk with them.
[00:19:40.000 --> 00:19:44.000]   And then he says the motivation behind that, why you can trust God that he would do that,
[00:19:44.000 --> 00:19:50.000]   he says because he's the one who brought them out of Egypt.
[00:19:50.000 --> 00:19:54.000]   Anybody memorize Romans 8.32?
[00:19:54.000 --> 00:19:59.000]   He who did not spare his own son, how will he not along with him give him all things?
[00:19:59.000 --> 00:20:04.000]   In other words, God's the one who delivered them out of Egypt.
[00:20:04.000 --> 00:20:08.000]   He is more than willing to restore the blessing.
[00:20:08.000 --> 00:20:11.000]   In fact, we're going to go through all of these different curses,
[00:20:11.000 --> 00:20:15.000]   but God's heart for the nation of Israel is the blessing.
[00:20:15.000 --> 00:20:20.000]   The reason why he gives all of these warnings is so that they can stay in the narrow path
[00:20:20.000 --> 00:20:22.000]   and live in the blessing of God.
[00:20:22.000 --> 00:20:24.000]   That's his ultimate purpose.
[00:20:24.000 --> 00:20:29.000]   He said, "Why would I deliver you out of Egypt and go through all of that drama just to punish you?"
[00:20:29.000 --> 00:20:32.000]   So he's reminding them, "I'm the one who delivered you out of Egypt.
[00:20:32.000 --> 00:20:37.000]   I'm the one who loves you. I'm the one who cares for you."
[00:20:37.000 --> 00:20:46.000]   So you can trust that if you obey my commandments, that these are things that God is more than eager to do.
[00:20:46.000 --> 00:20:53.000]   But the problem is the curses for the disobedience.
[00:20:53.000 --> 00:20:57.000]   As in Deuteronomy 28, the curses far outnumber the blessings.
[00:20:57.000 --> 00:21:02.000]   So if you look at it, verses 1 through 13 is about the blessing.
[00:21:02.000 --> 00:21:04.000]   If you obey that these are the things that God's going to do,
[00:21:04.000 --> 00:21:09.000]   and then two-thirds of it, 14 to 39, is about the curses.
[00:21:09.000 --> 00:21:15.000]   Just like in the book of Deuteronomy, 13 verses of blessing, but 53 verses of curses.
[00:21:15.000 --> 00:21:22.000]   So if you've ever read through the list, you'll have maybe about half a page of blessing,
[00:21:22.000 --> 00:21:25.000]   and then two or three pages of curses.
[00:21:25.000 --> 00:21:29.000]   If you do this, this is what's going to happen.
[00:21:29.000 --> 00:21:32.000]   We know in the new covenant why God does that.
[00:21:32.000 --> 00:21:36.000]   Because one, he knows what's going to happen, right?
[00:21:36.000 --> 00:21:39.000]   And he's preparing them.
[00:21:39.000 --> 00:21:46.000]   He's preparing them for the coming of Christ, so that the burden of this curse will be made clear to them.
[00:21:46.000 --> 00:21:47.000]   You understand?
[00:21:47.000 --> 00:21:53.000]   He says, "What was the purpose of the law? To make sin, what? Utterly sinful."
[00:21:53.000 --> 00:21:56.000]   So in other words, Israel...
[00:21:56.000 --> 00:22:02.000]   The reason why God lays in detail these curses is that every year of their life,
[00:22:02.000 --> 00:22:07.000]   and every decade of Israel's history, this is curses being piled up.
[00:22:07.000 --> 00:22:10.000]   Right? Curses being piled up.
[00:22:10.000 --> 00:22:14.000]   So hundreds and hundreds of years of disobedience, by the time Malachi finishes,
[00:22:14.000 --> 00:22:17.000]   there is no way to get out of this debt.
[00:22:17.000 --> 00:22:18.000]   Right?
