
[00:00:00.000 --> 00:00:15.340]   ♪ ♪
[00:05:11.400 --> 00:05:18.400]   ♪ But God who called me here below ♪
[00:05:18.400 --> 00:05:26.400]   ♪ Will be forever mine ♪
[00:05:26.400 --> 00:05:34.400]   ♪ Will be forever mine ♪
[00:05:34.400 --> 00:05:39.400]   ♪ Will be forever mine ♪
[00:05:39.400 --> 00:05:45.660]   ♪ You are forever mine ♪
[00:05:45.660 --> 00:06:01.980]   (gentle music)
[00:06:02.980 --> 00:06:05.560]   (gentle music)
[00:06:05.560 --> 00:06:14.980]   ♪ You have my heart ♪
[00:06:14.980 --> 00:06:19.980]   ♪ And I am yours forever ♪
[00:06:19.980 --> 00:06:22.980]   ♪ You are my strength ♪
[00:06:22.980 --> 00:06:27.980]   ♪ God of grace and power ♪
[00:06:28.980 --> 00:06:33.980]   ♪ In everything you hold in your hand ♪
[00:06:33.980 --> 00:06:38.980]   ♪ Still you make time for me ♪
[00:06:38.980 --> 00:06:42.980]   ♪ I can't understand ♪
[00:06:42.980 --> 00:06:45.980]   ♪ Praise you God of earth and sky ♪
[00:06:45.980 --> 00:06:50.980]   ♪ How beautiful your unfailing love ♪
[00:06:50.980 --> 00:06:55.980]   ♪ Unfailing love ♪
[00:06:55.980 --> 00:07:00.980]   ♪ And you never change God you remain the holy one ♪
[00:07:00.980 --> 00:07:04.980]   ♪ In my unfailing love ♪
[00:07:04.980 --> 00:07:08.980]   ♪ Unfailing love ♪
[00:07:08.980 --> 00:07:11.980]   ♪ You are my right ♪
[00:07:11.980 --> 00:07:16.980]   ♪ The one I hold on to ♪
[00:07:16.980 --> 00:07:20.980]   ♪ You are my song ♪
[00:07:20.980 --> 00:07:25.980]   ♪ The one I sing for you ♪
[00:07:25.980 --> 00:07:31.980]   ♪ In everything you hold in your hand ♪
[00:07:31.980 --> 00:07:35.980]   ♪ Still you make time for me ♪
[00:07:35.980 --> 00:07:39.980]   ♪ I can't understand ♪
[00:07:39.980 --> 00:07:42.980]   ♪ Praise you God of earth and sky ♪
[00:07:42.980 --> 00:07:47.980]   ♪ How beautiful your unfailing love ♪
[00:07:48.980 --> 00:07:52.980]   ♪ Unfailing love ♪
[00:07:52.980 --> 00:07:57.980]   ♪ And you never change God you remain the holy one ♪
[00:07:57.980 --> 00:08:01.980]   ♪ In my unfailing love ♪
[00:08:01.980 --> 00:08:06.980]   ♪ Unfailing love ♪
[00:08:06.980 --> 00:08:11.980]   ♪ In everything you hold in your hand ♪
[00:08:11.980 --> 00:08:15.980]   ♪ Still you make time for me ♪
[00:08:15.980 --> 00:08:19.980]   ♪ I can't understand ♪
[00:08:19.980 --> 00:08:22.980]   ♪ Praise you God of earth and sky ♪
[00:08:22.980 --> 00:08:27.980]   ♪ How beautiful your unfailing love ♪
[00:08:27.980 --> 00:08:32.980]   ♪ Unfailing love ♪
[00:08:32.980 --> 00:08:37.980]   ♪ And you never change God you remain the holy one ♪
[00:08:37.980 --> 00:08:41.980]   ♪ In my unfailing love ♪
[00:08:41.980 --> 00:08:45.980]   ♪ Unfailing love ♪
[00:08:45.980 --> 00:08:47.980]   ♪ Oh praise you ♪
[00:08:47.980 --> 00:08:50.980]   ♪ Praise you God of earth and sky ♪
[00:08:50.980 --> 00:08:55.980]   ♪ How beautiful your unfailing love ♪
[00:08:55.980 --> 00:08:58.980]   ♪ Unfailing love ♪
[00:08:58.980 --> 00:09:00.980]   ♪ Unfailing love ♪
[00:09:00.980 --> 00:09:05.980]   ♪ And you never change God you remain the holy one ♪
[00:09:05.980 --> 00:09:09.980]   ♪ In my unfailing love ♪
[00:09:09.980 --> 00:09:12.980]   ♪ Unfailing love ♪
[00:09:12.980 --> 00:09:15.980]   ♪ Unfailing love ♪
[00:09:15.980 --> 00:09:18.980]   ♪ Unfailing love ♪
[00:09:18.980 --> 00:09:36.980]   ♪ Unfailing love ♪
[00:09:37.980 --> 00:09:41.980]   ♪ Unfailing love ♪
[00:09:41.980 --> 00:09:44.980]   ♪ You are unfailing ♪
[00:09:44.980 --> 00:09:48.980]   ♪ My unfailing love ♪
[00:09:48.980 --> 00:09:51.980]   ♪ How beautiful ♪
[00:09:51.980 --> 00:09:53.980]   ♪ You are ♪
[00:09:53.980 --> 00:10:00.980]   (soft music)
[00:10:01.980 --> 00:10:04.980]   (soft music)
[00:10:04.980 --> 00:10:12.980]   ♪ Christ the short land ♪
[00:10:12.980 --> 00:10:14.980]   ♪ Steady anchor ♪
[00:10:14.980 --> 00:10:19.980]   ♪ In the flurry of the storm ♪
[00:10:19.980 --> 00:10:24.980]   ♪ When the winds of doubt blow through me ♪
[00:10:24.980 --> 00:10:29.980]   ♪ And my sails have all been torn ♪
[00:10:29.980 --> 00:10:34.980]   ♪ In the suffering in the sorrow ♪
[00:10:34.980 --> 00:10:39.980]   ♪ When my sinking hopes are few ♪
[00:10:39.980 --> 00:10:44.980]   ♪ I will hold fast to the anchor ♪
[00:10:44.980 --> 00:10:48.980]   ♪ It shall never be removed ♪
[00:10:57.980 --> 00:11:00.980]   ♪ Christ the short land ♪
[00:11:00.980 --> 00:11:02.980]   ♪ Steady anchor ♪
[00:11:02.980 --> 00:11:07.980]   ♪ While the tempest wages on ♪
[00:11:07.980 --> 00:11:12.980]   ♪ When temptation claims the battle ♪
[00:11:12.980 --> 00:11:17.980]   ♪ And it seems the night has won ♪
[00:11:17.980 --> 00:11:22.980]   ♪ Deep the still bank does it anchor ♪
[00:11:22.980 --> 00:11:27.980]   ♪ The lives of slaves and accused ♪
[00:11:27.980 --> 00:11:32.980]   ♪ I will hold fast to the anchor ♪
[00:11:32.980 --> 00:11:36.980]   ♪ It shall never be removed ♪
[00:11:36.980 --> 00:11:47.980]   ♪ Christ the short land ♪
[00:11:47.980 --> 00:11:50.980]   ♪ Steady anchor ♪
[00:11:50.980 --> 00:11:55.980]   ♪ Through the floods of unbelief ♪
[00:11:55.980 --> 00:11:58.980]   ♪ Hopeless somehow ♪
[00:11:58.980 --> 00:12:00.980]   ♪ Oh my soul now ♪
[00:12:00.980 --> 00:12:05.980]   ♪ Lift your eyes to Calvary ♪
[00:12:05.980 --> 00:12:10.980]   ♪ This my palace of assurance ♪
[00:12:10.980 --> 00:12:15.980]   ♪ Sees love forever proved ♪
[00:12:15.980 --> 00:12:20.980]   ♪ I will hold fast to the anchor ♪
[00:12:20.980 --> 00:12:25.980]   ♪ It shall never be removed ♪
[00:12:25.980 --> 00:12:32.980]   ♪ It shall never be removed ♪
[00:12:32.980 --> 00:12:36.980]   ♪ Oh, never be removed ♪
[00:12:43.980 --> 00:12:46.980]   ♪ Christ the short land ♪
[00:12:46.980 --> 00:12:49.980]   ♪ Steady anchor ♪
[00:12:49.980 --> 00:12:54.980]   ♪ As we face the wave of death ♪
[00:12:54.980 --> 00:12:59.980]   ♪ When these trials give way to glory ♪
[00:12:59.980 --> 00:13:04.980]   ♪ As we draw our final breath ♪
[00:13:04.980 --> 00:13:09.980]   ♪ We will cross that great horizon ♪
[00:13:09.980 --> 00:13:14.980]   ♪ Clouds behind and life secure ♪
[00:13:14.980 --> 00:13:19.980]   ♪ And the calm will be the better ♪
[00:13:19.980 --> 00:13:24.980]   ♪ For the storms that we endure ♪
[00:13:24.980 --> 00:13:29.980]   ♪ Christ the shore of our salvation ♪
[00:13:29.980 --> 00:13:34.980]   ♪ Ever faithful, ever true ♪
[00:13:34.980 --> 00:13:39.980]   ♪ We will hold fast to the anchor ♪
[00:13:39.980 --> 00:13:43.980]   ♪ It shall never be removed ♪
[00:13:43.980 --> 00:13:56.980]   ♪ No eye has seen ♪
[00:13:56.980 --> 00:13:59.980]   ♪ And no ear has heard ♪
[00:13:59.980 --> 00:14:04.980]   ♪ And no mind has ever conceived ♪
[00:14:04.980 --> 00:14:11.980]   ♪ The glorious things that you have prepared ♪
[00:14:11.980 --> 00:14:17.980]   ♪ For everyone who has believed ♪
[00:14:17.980 --> 00:14:19.980]   ♪ You brought us near ♪
[00:14:19.980 --> 00:14:24.980]   ♪ You brought us near and you called us your own ♪
[00:14:25.980 --> 00:14:30.980]   ♪ And made us join heirs with your son ♪
[00:14:30.980 --> 00:14:34.980]   ♪ How high and how far ♪
[00:14:34.980 --> 00:14:37.980]   ♪ How deep and how long ♪
[00:14:37.980 --> 00:14:42.980]   ♪ How sweet and how strong is your love ♪
[00:14:42.980 --> 00:14:46.980]   ♪ How lavish your grace ♪
[00:14:46.980 --> 00:14:49.980]   ♪ How faithful your ways ♪
[00:14:49.980 --> 00:14:54.980]   ♪ How great is your love, oh Lord ♪
[00:14:54.980 --> 00:14:59.980]   ♪ How great is your love ♪
[00:14:59.980 --> 00:15:02.980]   ♪ Objects of mercy ♪
[00:15:02.980 --> 00:15:05.980]   ♪ You should have no wrath ♪
[00:15:05.980 --> 00:15:08.980]   ♪ You're filled with unseekable joy ♪
[00:15:08.980 --> 00:15:09.980]   ♪ Unseekable joy ♪
[00:15:09.980 --> 00:15:11.980]   - Thank you, Lord.
[00:15:11.980 --> 00:15:14.980]   ♪ Ditches of wisdom ♪
[00:15:14.980 --> 00:15:17.980]   ♪ Unsearchable wealth ♪
[00:15:17.980 --> 00:15:22.980]   ♪ And wonder unknowing of our hearts ♪
[00:15:23.980 --> 00:15:28.980]   ♪ You are our treasure and our great reward ♪
[00:15:28.980 --> 00:15:30.980]   ♪ Our hope and our glory ♪
[00:15:30.980 --> 00:15:31.980]   ♪ And our glorious name ♪
[00:15:31.980 --> 00:15:34.980]   ♪ You made us near ♪
[00:15:34.980 --> 00:15:37.980]   ♪ How high and how far ♪
[00:15:37.980 --> 00:15:40.980]   ♪ How deep and how long ♪
[00:15:40.980 --> 00:15:45.980]   ♪ How sweet and how strong is your love ♪
[00:15:45.980 --> 00:15:49.980]   ♪ How lavish your grace ♪
[00:15:49.980 --> 00:15:52.980]   ♪ How faithful your ways ♪
[00:15:52.980 --> 00:15:57.980]   ♪ How great is your love, oh Lord ♪
[00:15:57.980 --> 00:16:00.980]   ♪ How high and how far ♪
[00:16:00.980 --> 00:16:03.980]   ♪ How deep and how long ♪
[00:16:03.980 --> 00:16:08.980]   ♪ How sweet and how strong is your love ♪
[00:16:08.980 --> 00:16:12.980]   ♪ How lavish your grace ♪
[00:16:12.980 --> 00:16:15.980]   ♪ How faithful your ways ♪
[00:16:15.980 --> 00:16:20.980]   ♪ How great is your love, oh Lord ♪
[00:16:21.980 --> 00:16:24.980]   ♪ How high and how far ♪
[00:16:24.980 --> 00:16:26.980]   ♪ How deep and how long ♪
[00:16:26.980 --> 00:16:31.980]   ♪ How sweet and how strong is your love ♪
[00:16:31.980 --> 00:16:35.980]   ♪ How lavish your grace ♪
[00:16:35.980 --> 00:16:38.980]   ♪ How faithful your ways ♪
[00:16:38.980 --> 00:16:43.980]   ♪ How great is your love, oh Lord ♪
[00:16:43.980 --> 00:16:49.980]   ♪ How great is your love, oh Lord ♪
[00:16:50.980 --> 00:16:55.980]   ♪ How great is your love, oh Lord ♪
[00:16:55.980 --> 00:17:06.980]   - Higher than the heavens.
[00:17:06.980 --> 00:17:08.980]   You're faithful.
[00:17:08.980 --> 00:17:11.980]   Your love is eternal, Lord.
[00:17:11.980 --> 00:17:13.980]   We glorify you.
[00:17:13.980 --> 00:17:15.980]   Thank you, Lord.
[00:17:19.980 --> 00:17:24.980]   ♪ Higher than I was, than I was ♪
[00:17:24.980 --> 00:17:34.860]   ♪ Higher than I was, and farther than I had my mind ♪
[00:17:34.860 --> 00:17:37.960]   ♪ Higher than I was ♪
[00:17:37.960 --> 00:17:40.540]   (upbeat music)
[00:17:40.540 --> 00:17:43.540]   (audience cheering)
[00:17:43.540 --> 00:17:46.120]   (upbeat music)
[00:17:46.120 --> 00:17:53.740]   (audience cheering)
[00:17:53.740 --> 00:17:56.320]   (upbeat music)
[00:17:56.320 --> 00:18:00.520]   (audience cheering)
[00:18:00.520 --> 00:18:03.520]   (audience cheering)
[00:18:03.520 --> 00:18:06.520]   (audience cheering)
[00:18:06.520 --> 00:18:30.100]   (gentle music)
[00:18:30.100 --> 00:18:32.680]   (gentle music)
[00:18:32.680 --> 00:18:35.260]   (gentle music)
[00:18:35.260 --> 00:18:41.840]   (gentle music)
[00:18:41.840 --> 00:18:48.640]   (gentle music)
[00:18:48.640 --> 00:18:55.340]   (gentle music)
[00:18:55.340 --> 00:18:57.920]   (gentle music)
[00:18:57.920 --> 00:19:07.920]   (gentle music)
[00:19:07.920 --> 00:19:15.920]   (gentle music)
[00:19:15.920 --> 00:19:18.500]   (gentle music)
[00:19:18.500 --> 00:19:28.500]   (gentle music)
[00:19:28.500 --> 00:19:36.500]   (gentle music)
[00:19:36.500 --> 00:19:39.080]   (gentle music)
[00:19:39.080 --> 00:19:49.080]   (gentle music)
[00:19:49.080 --> 00:20:00.080]   (gentle music)
[00:20:00.080 --> 00:20:02.660]   (gentle music)
[00:20:02.660 --> 00:20:12.660]   (gentle music)
[00:20:12.660 --> 00:20:22.660]   (gentle music)
[00:20:22.660 --> 00:20:25.240]   (gentle music)
[00:20:25.240 --> 00:20:35.240]   (gentle music)
[00:20:35.240 --> 00:20:46.240]   (gentle music)
[00:20:46.240 --> 00:20:48.820]   (gentle music)
[00:20:48.820 --> 00:20:58.820]   (gentle music)
[00:20:58.820 --> 00:21:08.820]   (gentle music)
[00:21:08.820 --> 00:21:11.400]   (gentle music)
[00:21:11.400 --> 00:21:31.400]   (gentle music)
[00:21:31.400 --> 00:21:33.980]   (gentle music)
[00:21:33.980 --> 00:21:43.980]   (gentle music)
[00:21:43.980 --> 00:21:53.980]   (gentle music)
[00:21:53.980 --> 00:21:56.560]   (gentle music)
[00:21:56.560 --> 00:22:06.560]   (gentle music)
[00:22:06.560 --> 00:22:16.560]   (gentle music)
[00:22:16.560 --> 00:22:19.140]   (gentle music)
[00:22:19.140 --> 00:22:37.140]   (gentle music)
[00:22:37.140 --> 00:22:39.720]   (gentle music)
[00:22:39.720 --> 00:22:49.720]   (gentle music)
[00:22:49.720 --> 00:22:59.720]   (gentle music)
[00:22:59.720 --> 00:23:02.300]   (gentle music)
[00:23:02.300 --> 00:23:17.300]   (gentle music)
[00:23:17.300 --> 00:23:19.880]   (gentle music)
[00:23:19.880 --> 00:23:32.880]   (gentle music)
[00:23:32.880 --> 00:23:35.460]   (gentle music)
[00:23:35.460 --> 00:23:57.460]   (gentle music)
[00:23:57.460 --> 00:24:00.040]   (gentle music)
[00:24:00.040 --> 00:24:10.040]   (gentle music)
[00:24:10.040 --> 00:24:22.040]   (gentle music)
[00:24:22.040 --> 00:24:24.620]   (gentle music)
[00:24:24.620 --> 00:24:37.620]   (gentle music)
[00:24:37.620 --> 00:24:40.200]   (gentle music)
[00:24:40.200 --> 00:24:55.200]   (gentle music)
[00:24:56.200 --> 00:24:58.780]   (gentle music)
[00:24:58.780 --> 00:25:12.780]   (gentle music)
[00:25:13.780 --> 00:25:16.360]   (gentle music)
[00:25:16.360 --> 00:25:28.360]   (gentle music)
[00:25:29.360 --> 00:25:31.940]   (gentle music)
[00:25:31.940 --> 00:25:43.940]   (gentle music)
[00:25:44.940 --> 00:25:47.520]   (gentle music)
[00:25:47.520 --> 00:26:01.520]   (gentle music)
[00:26:02.520 --> 00:26:05.100]   (gentle music)
[00:26:05.100 --> 00:26:17.100]   (gentle music)
[00:26:18.100 --> 00:26:20.680]   (gentle music)
[00:26:20.680 --> 00:26:32.680]   (gentle music)
[00:26:32.680 --> 00:26:42.680]   (gentle music)
[00:26:43.680 --> 00:26:46.260]   (gentle music)
[00:26:46.260 --> 00:26:58.260]   (gentle music)
[00:26:58.260 --> 00:27:08.260]   (gentle music)
[00:27:09.260 --> 00:27:11.840]   (gentle music)
[00:27:11.840 --> 00:27:25.840]   (gentle music)
[00:27:26.840 --> 00:27:29.420]   (gentle music)
[00:27:29.420 --> 00:27:43.420]   (gentle music)
[00:27:43.420 --> 00:27:53.420]   (gentle music)
[00:27:54.420 --> 00:27:57.000]   (gentle music)
[00:27:57.000 --> 00:28:11.000]   (gentle music)
[00:28:12.000 --> 00:28:14.580]   (gentle music)
[00:28:14.580 --> 00:28:26.580]   (gentle music)
[00:28:40.000 --> 00:28:42.580]   (gentle music)
[00:29:09.000 --> 00:29:11.580]   (gentle music)
[00:29:12.580 --> 00:29:15.160]   (gentle music)
[00:29:15.160 --> 00:29:27.160]   (gentle music)
[00:29:28.160 --> 00:29:30.740]   (gentle music)
[00:29:30.740 --> 00:29:44.740]   (gentle music)
[00:29:45.740 --> 00:29:48.320]   (gentle music)
[00:29:48.320 --> 00:30:06.320]   (gentle music)
[00:30:07.320 --> 00:30:09.900]   (gentle music)
[00:30:09.900 --> 00:30:21.900]   (gentle music)
[00:30:22.900 --> 00:30:25.480]   (gentle music)
[00:30:25.480 --> 00:30:45.480]   (gentle music)
[00:30:46.480 --> 00:30:49.060]   (gentle music)
[00:30:49.060 --> 00:31:01.060]   (gentle music)
[00:31:01.060 --> 00:31:11.060]   (gentle music)
[00:31:12.060 --> 00:31:14.640]   (gentle music)
[00:31:14.640 --> 00:31:26.640]   (gentle music)
[00:31:27.640 --> 00:31:30.220]   (gentle music)
[00:31:30.220 --> 00:31:42.220]   (gentle music)
[00:31:55.640 --> 00:31:58.220]   (gentle music)
[00:31:58.220 --> 00:32:11.220]   (gentle music)
[00:32:12.220 --> 00:32:14.800]   (gentle music)
[00:32:14.800 --> 00:32:32.060]   - Good morning, Church family.
[00:32:32.060 --> 00:32:32.880]   Happy Lord's Day.
[00:32:32.880 --> 00:32:35.300]   We will now begin our service.
[00:32:35.300 --> 00:32:40.380]   (upbeat music)
[00:32:41.380 --> 00:32:43.960]   (upbeat music)
[00:32:43.960 --> 00:32:51.380]   ♪ Before the throne of God above ♪
[00:32:51.380 --> 00:32:56.880]   ♪ I had a strong and perfect queen ♪
[00:32:56.880 --> 00:33:01.880]   ♪ A great high priest whose name is love ♪
[00:33:01.880 --> 00:33:06.880]   ♪ Whoever lives and bleeds for me ♪
[00:33:06.880 --> 00:33:11.880]   ♪ My name is Graymon on his hands ♪
[00:33:11.880 --> 00:33:16.880]   ♪ My name is Rixon on his heart ♪
[00:33:16.880 --> 00:33:21.880]   ♪ I know that while in these stands ♪
[00:33:21.880 --> 00:33:26.880]   ♪ No tongue can bid me this depart ♪
[00:33:26.880 --> 00:33:31.880]   ♪ No tongue can bid me this depart ♪
[00:33:31.880 --> 00:33:34.460]   (upbeat music)
[00:33:34.460 --> 00:33:37.040]   (upbeat music)
[00:33:37.040 --> 00:33:44.460]   ♪ When sin tempts me to despair ♪
[00:33:44.460 --> 00:33:49.460]   ♪ And tells me of a guilt within ♪
[00:33:49.460 --> 00:33:54.460]   ♪ A word I look and see in there ♪
[00:33:54.460 --> 00:33:59.460]   ♪ Who made an end to all my sin ♪
[00:33:59.460 --> 00:34:04.460]   ♪ Because a sinless Savior died ♪
[00:34:04.460 --> 00:34:09.460]   ♪ My sinful soul is counted free ♪
[00:34:09.460 --> 00:34:14.460]   ♪ For God the justice satisfied ♪
[00:34:14.460 --> 00:34:19.460]   ♪ To look on him and pardon me ♪
[00:34:19.460 --> 00:34:23.460]   ♪ To look on him and pardon me ♪
[00:34:23.460 --> 00:34:26.040]   (upbeat music)
[00:34:27.040 --> 00:34:29.620]   (upbeat music)
[00:34:29.620 --> 00:34:33.040]   ♪ Behold him there ♪
[00:34:33.040 --> 00:34:38.040]   ♪ Behold him there, the risen lamb ♪
[00:34:38.040 --> 00:34:43.040]   ♪ My perfect spotless righteousness ♪
[00:34:43.040 --> 00:34:48.040]   ♪ The great unchangeable I am ♪
[00:34:48.040 --> 00:34:53.040]   ♪ The king of glory and of grace ♪
[00:34:53.040 --> 00:34:58.040]   ♪ One with himself I cannot die ♪
[00:34:58.040 --> 00:35:03.040]   ♪ My soul is purchased by his blood ♪
[00:35:03.040 --> 00:35:08.040]   ♪ My life is filled with Christ on high ♪
[00:35:08.040 --> 00:35:13.040]   ♪ With Christ my Savior and my God ♪
[00:35:13.040 --> 00:35:17.040]   ♪ With Christ my Savior and my ♪
[00:35:17.040 --> 00:35:19.040]   ♪ Because a sinless Savior ♪
[00:35:19.040 --> 00:35:24.040]   ♪ Because a sinless Savior died ♪
[00:35:24.040 --> 00:35:29.040]   ♪ My sinful soul is counted free ♪
[00:35:29.040 --> 00:35:34.040]   ♪ For God the justice satisfied ♪
[00:35:34.040 --> 00:35:39.040]   ♪ To look on him and pardon me ♪
[00:35:39.040 --> 00:35:43.040]   ♪ To look on him and pardon me ♪
[00:35:43.040 --> 00:35:45.620]   (upbeat music)
[00:35:46.620 --> 00:35:49.200]   (upbeat music)
[00:35:49.200 --> 00:35:58.120]   - Good morning.
[00:35:58.120 --> 00:36:00.120]   Welcome to Breen Community Church.
[00:36:00.120 --> 00:36:03.360]   I wanna first start off by telling you
[00:36:03.360 --> 00:36:06.120]   that we were scheduled to have communion this morning,
[00:36:06.120 --> 00:36:08.240]   but we're gonna have to, at least for this service,
[00:36:08.240 --> 00:36:10.240]   we're gonna postpone that to next Sunday.
[00:36:10.240 --> 00:36:12.360]   Because of the growing size of our church,
[00:36:12.360 --> 00:36:16.020]   we miscalculated a number of the things that we have.
[00:36:16.020 --> 00:36:18.100]   So instead of having some of you participate
[00:36:18.100 --> 00:36:19.980]   and some of you not participating,
[00:36:19.980 --> 00:36:24.060]   that we wanna keep the unity of what communion represents.
[00:36:24.060 --> 00:36:25.980]   And so, yeah, so we apologize.
[00:36:25.980 --> 00:36:28.020]   So we're gonna participate at least for this service.
[00:36:28.020 --> 00:36:29.380]   First service, we're okay with.
[00:36:29.380 --> 00:36:31.860]   Second service, we're gonna do that next week, okay?
[00:36:31.860 --> 00:36:36.060]   We have a Christmas service that's coming up
[00:36:36.060 --> 00:36:39.300]   in a couple weeks, not this Sunday, but Sunday after that.
[00:36:39.300 --> 00:36:41.760]   And so for that, every Christmas,
[00:36:41.760 --> 00:36:45.960]   we try to be deliberate about inviting non-Christian friends
[00:36:45.960 --> 00:36:49.120]   or you may have friends that maybe kinda claim
[00:36:49.120 --> 00:36:50.680]   to be Christian, but they only go to church
[00:36:50.680 --> 00:36:52.560]   maybe once a year, twice a year.
[00:36:52.560 --> 00:36:55.520]   And so people are usually more open to coming to church
[00:36:55.520 --> 00:36:58.000]   during Christmas than any other time of the year.
[00:36:58.000 --> 00:36:59.840]   And so we wanna take advantage of that
[00:36:59.840 --> 00:37:02.400]   and we wanna redeem the time that we have.
[00:37:02.400 --> 00:37:05.320]   And so our outreach team and our media team
[00:37:05.320 --> 00:37:07.640]   has created these cards of invitation
[00:37:07.640 --> 00:37:09.120]   for the Christmas service.
[00:37:09.120 --> 00:37:11.060]   So they can come and hear the clear presentation
[00:37:11.060 --> 00:37:13.660]   of the gospel, what does Christmas mean?
[00:37:13.660 --> 00:37:16.380]   And so that by celebrating Christmas,
[00:37:16.380 --> 00:37:18.680]   that we'll be able to invite non-Christians
[00:37:18.680 --> 00:37:19.760]   and be able to hear the gospel.
[00:37:19.760 --> 00:37:22.540]   So if you didn't get this, make sure that as you're going
[00:37:22.540 --> 00:37:25.940]   out to grab a few of 'em, grab as much as you need.
[00:37:25.940 --> 00:37:28.180]   And it's a good way to open conversations
[00:37:28.180 --> 00:37:31.160]   with non-Christians just by asking them what Christmas is.
[00:37:31.160 --> 00:37:33.500]   And even if they don't come, it's an opportunity
[00:37:33.500 --> 00:37:35.940]   to share with them what the meaning of Christmas is.
[00:37:35.940 --> 00:37:37.820]   And by doing so, maybe you can break the ice
[00:37:37.820 --> 00:37:39.740]   of some people, your coworkers,
[00:37:39.740 --> 00:37:40.860]   people that you've been praying for.
[00:37:40.860 --> 00:37:43.340]   So we want to, they've made this,
[00:37:43.340 --> 00:37:44.780]   so grab as many as you need.
[00:37:44.780 --> 00:37:46.720]   And if we run out, we can always print some more.
[00:37:46.720 --> 00:37:50.140]   But again, be mindful of this for both services, 9 and 11.
[00:37:50.140 --> 00:37:53.380]   And also, after that, an announcement was made last week,
[00:37:53.380 --> 00:37:56.100]   but there is going to be a table that's gonna be set up
[00:37:56.100 --> 00:37:58.660]   on the 19th for people who are seeking
[00:37:58.660 --> 00:37:59.520]   and they have questions.
[00:37:59.520 --> 00:38:02.100]   And Pastor Mark is gonna give a brief presentation
[00:38:02.100 --> 00:38:03.300]   of the gospel there.
