
[00:00:00.000 --> 00:00:02.160]   (silence)
[00:03:02.140 --> 00:03:04.660]   "and sent a delegation after him saying,
[00:03:04.660 --> 00:03:08.040]   "We don't want this man to reign over us.
[00:03:08.040 --> 00:03:11.120]   "When he returned, having received the kingdom,
[00:03:11.120 --> 00:03:15.000]   "he ordered these servants to whom he had given the money to
[00:03:15.000 --> 00:03:17.120]   "be called to him that he might know
[00:03:17.120 --> 00:03:20.700]   "what they had gained by doing business.
[00:03:20.700 --> 00:03:22.260]   "The first came before him saying,
[00:03:22.260 --> 00:03:27.260]   "Lord, your mina has made 10 minas more.
[00:03:27.260 --> 00:03:31.300]   "And he said to him, well done, good servant.
[00:03:31.300 --> 00:03:33.780]   "Because you have been faithful in a very little,
[00:03:33.780 --> 00:03:35.920]   "you shall have very little more."
[00:03:35.920 --> 00:03:36.840]   Oh, I'm sorry, that's not what it says,
[00:03:36.840 --> 00:03:38.200]   I'm sorry about that.
[00:03:38.200 --> 00:03:41.020]   "Because you have been faithful in a very little,
[00:03:41.020 --> 00:03:44.980]   "you shall have authority over 10 cities.
[00:03:46.220 --> 00:03:47.480]   "And the second came saying,
[00:03:47.480 --> 00:03:51.300]   "Lord, your mina has made five minas.
[00:03:51.300 --> 00:03:56.300]   "And he said to him, and you are to be over five cities.
[00:03:56.300 --> 00:03:57.520]   "Then another came saying,
[00:03:57.520 --> 00:03:59.640]   "Lord, here is your mina,
[00:03:59.640 --> 00:04:02.100]   "which I kept laid away in a handkerchief.
[00:04:02.100 --> 00:04:05.580]   "For I was afraid of you because you are a severe man.
[00:04:05.580 --> 00:04:07.340]   "You take what you did not deposit
[00:04:07.340 --> 00:04:09.440]   "and reap what you did not sow.
[00:04:09.440 --> 00:04:13.580]   "He said to him, I will condemn you with your own words,
[00:04:13.580 --> 00:04:15.000]   "you wicked servant.
[00:04:15.000 --> 00:04:17.040]   "You knew that I was a severe man,
[00:04:17.040 --> 00:04:18.360]   "taking what I did not deposit
[00:04:18.360 --> 00:04:20.200]   "and reaping what I did not sow.
[00:04:20.200 --> 00:04:22.840]   "Why then did you not put my money in the bank?
[00:04:22.840 --> 00:04:26.020]   "And at my coming, I might have collected it with interest.
[00:04:26.020 --> 00:04:28.020]   "And he said to those who stood by,
[00:04:28.020 --> 00:04:29.720]   "take the mina from him
[00:04:29.720 --> 00:04:32.280]   "and give it to the one who has 10 minas.
[00:04:32.280 --> 00:04:35.640]   "And they said to him, Lord, he has 10 minas.
[00:04:35.640 --> 00:04:39.960]   "I tell you that to everyone who has, more will be given.
[00:04:39.960 --> 00:04:41.520]   "But from the one who has not,
[00:04:41.520 --> 00:04:44.120]   "even what he has will be taken away.
[00:04:44.120 --> 00:04:46.160]   "But as for these enemies of mine
[00:04:46.160 --> 00:04:48.320]   "who did not want me to reign over them,
[00:04:48.320 --> 00:04:51.760]   "bring them here and slaughter them before me."
[00:04:51.760 --> 00:04:52.920]   The word of God to us today.
[00:04:52.920 --> 00:04:55.220]   Please take a moment to look at that yourself.
[00:04:55.220 --> 00:04:58.360]   Try to picture it.
[00:04:58.360 --> 00:05:03.740]   Imagine, feel the tension,
[00:05:03.740 --> 00:05:09.760]   the joy, the elation, all these things,
[00:05:09.760 --> 00:05:11.220]   the fear, all that stuff.
[00:05:11.220 --> 00:05:13.580]   Okay?
[00:05:14.220 --> 00:05:16.260]   And now let's just take a moment to pray
[00:05:16.260 --> 00:05:18.580]   as we enter into the word of God.
[00:05:18.580 --> 00:05:21.460]   Heavenly Father, thank you for your love.
[00:05:21.460 --> 00:05:24.860]   Thank you that as you look upon your sons and daughters,
[00:05:24.860 --> 00:05:27.140]   you absolutely adore them.
[00:05:27.140 --> 00:05:28.820]   In fact, you love them so much
[00:05:28.820 --> 00:05:31.580]   that you gave your only son for them.
[00:05:31.580 --> 00:05:35.300]   Is there anything that you would not provide for their needs?
[00:05:35.300 --> 00:05:37.500]   Lord, you are so good, you are generous.
[00:05:37.500 --> 00:05:40.760]   Every good and perfect gift comes from you.
[00:05:40.760 --> 00:05:42.820]   And I pray that today, Lord, as we look into your word,
[00:05:42.820 --> 00:05:44.580]   and once again, remind it,
[00:05:44.580 --> 00:05:45.740]   that Lord, as we live our life,
[00:05:45.740 --> 00:05:47.300]   that we would live it knowing
[00:05:47.300 --> 00:05:49.020]   that you alone are worthy of our praise,
[00:05:49.020 --> 00:05:50.980]   you alone are worthy of all of our life,
[00:05:50.980 --> 00:05:53.220]   and God, that you are a good and generous God.
[00:05:53.220 --> 00:05:55.020]   We love you, we serve you today.
[00:05:55.020 --> 00:05:57.340]   We pray that you would fill us with your spirit and guide us.
[00:05:57.340 --> 00:05:59.880]   We ask this in Jesus' name, amen, amen.
[00:05:59.880 --> 00:06:01.860]   So I think that as we look at this parable,
[00:06:01.860 --> 00:06:03.380]   it's kind of clear, right?
[00:06:03.380 --> 00:06:05.820]   Let me, can we do some interaction, is that okay?
[00:06:05.820 --> 00:06:07.260]   You guys can respond to me, okay?
[00:06:07.260 --> 00:06:09.500]   If you're wrong, I'm not gonna go, "Eh," get out.
[00:06:09.500 --> 00:06:10.940]   I'm not gonna do that kind of stuff.
[00:06:10.940 --> 00:06:12.860]   But I would like some interaction, okay?
[00:06:12.860 --> 00:06:15.000]   So who is the nobleman in this story?
[00:06:15.000 --> 00:06:17.820]   Jesus, very good, right?
[00:06:17.820 --> 00:06:20.020]   He's a nobleman who goes off,
[00:06:20.020 --> 00:06:21.820]   I thought I heard someone say Jesus.
[00:06:21.820 --> 00:06:23.740]   Okay, and he's the nobleman who goes off
[00:06:23.740 --> 00:06:26.900]   to a distant country to become king.
[00:06:26.900 --> 00:06:29.780]   That means we don't know how long he's going to be away.
[00:06:29.780 --> 00:06:33.260]   Okay, currently, he's been away for over 2,000 years.
[00:06:33.260 --> 00:06:34.480]   He goes away.
[00:06:34.480 --> 00:06:36.580]   Also, what else do we see in this passage?
[00:06:36.580 --> 00:06:41.060]   That he has given his servants one mina each.
[00:06:41.060 --> 00:06:44.140]   A mina is worth three months' wages, okay?
[00:06:44.140 --> 00:06:48.540]   So he gives each of his 10 servants one mina each.
[00:06:48.540 --> 00:06:50.820]   While he is away receiving his kingdom,
[00:06:50.820 --> 00:06:52.740]   there will also be haters,
[00:06:52.740 --> 00:06:56.380]   people who don't want Jesus to be king.
[00:06:56.380 --> 00:06:58.980]   And we see that all the time around us, right?
[00:06:58.980 --> 00:07:00.580]   Sometimes even in our own life,
[00:07:00.580 --> 00:07:01.900]   we don't want Jesus to be king.
[00:07:01.900 --> 00:07:06.340]   We want ourselves to be king or queen in that sense, right?
[00:07:06.340 --> 00:07:09.540]   But Jesus is coming back as king,
[00:07:09.540 --> 00:07:11.980]   and when he comes back, he's gonna call everybody,
[00:07:11.980 --> 00:07:14.780]   his servants, to give account for their life,
[00:07:14.780 --> 00:07:16.700]   for what they've done with the mina,
[00:07:16.700 --> 00:07:19.540]   as well as the enemies who opposed him,
[00:07:19.540 --> 00:07:21.620]   he will call them to give account, okay?
[00:07:21.620 --> 00:07:23.860]   So that's pretty much what the parable is saying.
[00:07:23.860 --> 00:07:26.940]   Now, what Jesus has done is he has given us, actually,
[00:07:26.940 --> 00:07:31.940]   a future parable of what the framework of our life
[00:07:31.940 --> 00:07:33.540]   is going to look like, okay?
[00:07:33.540 --> 00:07:34.380]   So here we go.
[00:07:34.380 --> 00:07:36.620]   Let's imagine this is the picture frame.
[00:07:36.620 --> 00:07:37.980]   Slide number one.
[00:07:37.980 --> 00:07:38.860]   Ding!
[00:07:38.860 --> 00:07:39.700]   Wonderful.
[00:07:39.700 --> 00:07:40.700]   (audience laughs)
[00:07:40.700 --> 00:07:42.060]   So the picture frame at the top,
[00:07:42.060 --> 00:07:45.820]   Jesus is king, or going away to be king,
[00:07:45.820 --> 00:07:49.900]   and as he left, he gives us minas, his servants,
[00:07:49.900 --> 00:07:51.380]   but also there are haters.
[00:07:51.380 --> 00:07:53.300]   So this could be this side, right?
[00:07:53.300 --> 00:07:55.260]   Jesus is coming back.
[00:07:55.260 --> 00:07:57.660]   We do not know when, but he is coming back.
[00:07:57.660 --> 00:07:59.660]   And lastly, when he comes back,
[00:07:59.660 --> 00:08:02.100]   he will call us to give account for our life.
[00:08:02.100 --> 00:08:04.500]   This is the framework of our life.
[00:08:04.500 --> 00:08:05.620]   There's nothing you could do about it.
[00:08:05.620 --> 00:08:07.260]   You cannot change this.
[00:08:07.260 --> 00:08:09.420]   You cannot stop Jesus from becoming king.
[00:08:09.420 --> 00:08:11.780]   You cannot deny that he's given you minas.
[00:08:11.780 --> 00:08:13.300]   You cannot stop haters in this world.
[00:08:13.300 --> 00:08:14.620]   There's always gonna be haters.
[00:08:14.620 --> 00:08:15.980]   You cannot stop him from coming back.
[00:08:15.980 --> 00:08:16.980]   One day he's gonna come back,
[00:08:16.980 --> 00:08:18.660]   and nothing you can do can stop it,
[00:08:18.660 --> 00:08:21.340]   and when he does come back, we'll all give account.
[00:08:21.340 --> 00:08:22.580]   So the only thing that's missing
[00:08:22.580 --> 00:08:24.860]   from this picture frame is what?
[00:08:24.860 --> 00:08:25.700]   Ding!
[00:08:25.700 --> 00:08:27.540]   Ding!
[00:08:27.540 --> 00:08:31.140]   The picture of what your life is going to look like.
[00:08:31.860 --> 00:08:34.380]   Of what your life will be about.
[00:08:34.380 --> 00:08:37.660]   That is the only thing that is missing from this frame.
[00:08:37.660 --> 00:08:39.460]   Everything else, you cannot do anything about it.
[00:08:39.460 --> 00:08:41.220]   It is already set this way.
[00:08:41.220 --> 00:08:43.220]   But how you will live your life.
[00:08:43.220 --> 00:08:46.060]   What will be the picture of your life?
[00:08:46.060 --> 00:08:48.980]   So let's go back to the passage now, okay?
[00:08:48.980 --> 00:08:52.740]   This begins by, "As they heard these things,"
[00:08:52.740 --> 00:08:56.060]   and so it's a connector from verse 10, right, and on.
[00:08:56.060 --> 00:08:57.660]   Who are the they that heard?
[00:08:57.660 --> 00:08:58.860]   Who are the they?
[00:08:58.860 --> 00:09:02.260]   The they are not just his 12 disciples.
[00:09:02.260 --> 00:09:04.780]   The they are literally thousands,
[00:09:04.780 --> 00:09:09.260]   if not 10,000 people that are crowded around Jesus.
[00:09:09.260 --> 00:09:12.020]   They have watched Jesus raise the dead.
[00:09:12.020 --> 00:09:14.220]   They have watched Jesus heal the sick,
[00:09:14.220 --> 00:09:16.900]   cast out demons, feed the multitude
[00:09:16.900 --> 00:09:19.860]   with five loaves and two fishes.
[00:09:19.860 --> 00:09:23.980]   And they are in this frenzy, this euphoria.
[00:09:23.980 --> 00:09:26.420]   They are following Jesus because they believe
[00:09:26.420 --> 00:09:31.420]   that Jesus fits the exact model of the Old Testament prophets
[00:09:31.420 --> 00:09:34.140]   that are prophesied of the Messiah.
[00:09:34.140 --> 00:09:36.420]   They look at Jesus and they say,
[00:09:36.420 --> 00:09:38.860]   "If there's gonna be anyone who's gonna be Messiah,
[00:09:38.860 --> 00:09:39.980]   "it's Jesus."
[00:09:39.980 --> 00:09:41.780]   And so there are literally thousands,
[00:09:41.780 --> 00:09:44.460]   if not tens of thousands, that are following Jesus
[00:09:44.460 --> 00:09:46.220]   on his way to Jerusalem.
[00:09:46.220 --> 00:09:49.660]   Verse Luke 18, he was going through Jericho.
[00:09:49.660 --> 00:09:50.780]   As he was going through Jericho,
[00:09:50.780 --> 00:09:53.860]   there was a blind man by the name of Bartimaeus.
[00:09:53.860 --> 00:09:55.740]   Cries out, "Son of David, have mercy on me."
[00:09:55.740 --> 00:09:57.060]   What does Jesus do?
[00:09:57.060 --> 00:09:58.260]   Gives the man sight.
[00:09:58.260 --> 00:10:01.100]   Crowd gets even more frenzied, more excited.
[00:10:01.100 --> 00:10:02.420]   He's walking through Jericho.
[00:10:02.420 --> 00:10:04.860]   Remember he sees a small guy, what was his name?
[00:10:04.860 --> 00:10:09.180]   Zacchaeus, right, the chief tax collector.
[00:10:09.180 --> 00:10:11.740]   The one that is hated by the other Jewish people
[00:10:11.740 --> 00:10:13.700]   because he's considered a traitor.
[00:10:13.700 --> 00:10:16.340]   What does Zacchaeus do when he encounters Jesus?
[00:10:16.340 --> 00:10:18.380]   He says, "Look, Lord, right here and now,
[00:10:18.380 --> 00:10:20.820]   "I give half my wealth to the poor,
[00:10:20.820 --> 00:10:24.620]   "and anyone I cheated, I will pay back four times."
[00:10:24.620 --> 00:10:27.100]   He is returning the hearts of the traitors
[00:10:27.100 --> 00:10:29.340]   back to the heart of God in that sense.
[00:10:29.340 --> 00:10:32.540]   So they're like, "Jesus is unstoppable.
[00:10:32.540 --> 00:10:33.660]   "He's going to Jerusalem.
[00:10:33.660 --> 00:10:36.940]   "He's going to establish the kingdom of Israel."
[00:10:36.940 --> 00:10:38.500]   And they're pumped.
[00:10:38.500 --> 00:10:39.700]   But this is the thing.
[00:10:39.700 --> 00:10:41.440]   Jesus is not going to Jerusalem
[00:10:41.440 --> 00:10:43.420]   to establish a political kingdom.
[00:10:43.420 --> 00:10:46.420]   In fact, he tried so hard for those three years
[00:10:46.420 --> 00:10:48.440]   to do ministry in like these little towns,
[00:10:48.440 --> 00:10:51.540]   like Capernaum and Galilee, where he would be unknown,
[00:10:51.540 --> 00:10:53.500]   but it just continued to spread.
[00:10:53.500 --> 00:10:56.080]   Because in Luke 19, verse 10, he says this,
[00:10:56.080 --> 00:11:00.740]   "The Son of Man came to seek and save the lost.
[00:11:00.740 --> 00:11:03.140]   "That's why I came.
[00:11:03.140 --> 00:11:06.040]   "I came to do the salvation work
[00:11:06.040 --> 00:11:09.200]   "before I build my kingdom.
[00:11:09.200 --> 00:11:12.580]   "I've come to save lives, to lead people back to Christ,
[00:11:12.580 --> 00:11:14.780]   "back to me, to salvation,
[00:11:14.780 --> 00:11:19.780]   "before I establish my kingdom," in that sense.
[00:11:19.780 --> 00:11:21.740]   And so he's saying the first time he's come,
[00:11:21.740 --> 00:11:23.380]   he's come as savior.
[00:11:23.380 --> 00:11:26.460]   But when he returns, he's going to come back as king
[00:11:26.460 --> 00:11:28.500]   and as judge.
[00:11:28.500 --> 00:11:30.900]   Now, the thing is this, even though he's telling them this,
[00:11:30.900 --> 00:11:33.220]   even though he's saying this to the people,
[00:11:33.220 --> 00:11:34.500]   they don't get it.
[00:11:34.500 --> 00:11:36.740]   Especially the disciples, they don't get it.
[00:11:36.740 --> 00:11:38.080]   They're like, "Jesus, when we get to Jerusalem,
[00:11:38.080 --> 00:11:38.920]   "can I sit on your right?
[00:11:38.920 --> 00:11:40.040]   "And can I sit on your left?"
[00:11:40.040 --> 00:11:42.320]   And they're arguing about this.
[00:11:42.320 --> 00:11:44.860]   Because their whole thought is this,
[00:11:44.860 --> 00:11:47.240]   "Jesus, we are sick and tired
[00:11:47.240 --> 00:11:50.400]   "of the Roman government oppressing us.
[00:11:50.400 --> 00:11:54.780]   "We are sick and tired of the pagan Roman worship.
[00:11:54.780 --> 00:11:56.720]   "We are sick and tired of all these idols
[00:11:56.720 --> 00:11:57.680]   "that are set up around us.
[00:11:57.680 --> 00:12:00.360]   "We are sick and tired of all our fellow Jewish people
[00:12:00.360 --> 00:12:01.480]   "just falling away.
[00:12:01.480 --> 00:12:04.320]   "We want you to make Israel great again.
[00:12:04.320 --> 00:12:07.860]   "Make America great again.
[00:12:07.860 --> 00:12:12.880]   "And we want you to do it now,
[00:12:12.880 --> 00:12:14.920]   "like I said, immediately."
[00:12:14.920 --> 00:12:20.020]   But Jesus is saying, "No, that's not why I came for.
[00:12:20.020 --> 00:12:23.240]   "I did not come to establish a political kingdom.
[00:12:23.240 --> 00:12:26.040]   "I did not come to become a political king.
[00:12:26.040 --> 00:12:29.240]   "I came to seek and save the lost.
[00:12:29.240 --> 00:12:31.800]   "When I come back, then there will be,
[00:12:31.800 --> 00:12:34.440]   "the eternal kingdom will be established."
[00:12:34.440 --> 00:12:35.860]   So we need to think about this,
[00:12:35.860 --> 00:12:37.800]   because I think many of us,
[00:12:37.800 --> 00:12:40.800]   we're kind of in the same attitude as the disciples.
[00:12:40.800 --> 00:12:44.360]   Oh Jesus, I'm sick and tired of these laws.
[00:12:44.360 --> 00:12:47.160]   I'm sick and tired of these transgender issues
[00:12:47.160 --> 00:12:48.960]   where guys can use the girls' bathroom.
[00:12:48.960 --> 00:12:51.100]   I'm sick and tired of all, I'm sick and tired,
[00:12:51.100 --> 00:12:53.620]   God, either you come back now,
[00:12:53.620 --> 00:12:56.280]   or you stop all this and bring judgment,
[00:12:56.280 --> 00:12:58.940]   and this is the kind of, take me away.
[00:12:58.940 --> 00:13:04.500]   And so in a real sense, we are just like the disciples.
[00:13:04.500 --> 00:13:06.840]   I notice when I look at YouTube
[00:13:06.840 --> 00:13:09.080]   and I see a lot of the 666 or the end of the world,
[00:13:09.080 --> 00:13:12.400]   a lot of those YouTube clips, they come from America.
[00:13:12.400 --> 00:13:14.080]   They don't come from other parts of the world.
[00:13:14.080 --> 00:13:15.480]   They're kind of just going on.
[00:13:15.480 --> 00:13:18.160]   It's the Christians in America.
[00:13:18.160 --> 00:13:20.800]   Come back now, Jesus, get us out of here.
[00:13:20.800 --> 00:13:22.360]   Rescue us, save us.
[00:13:22.360 --> 00:13:26.560]   And Jesus is saying, "No, it's not time.
[00:13:26.560 --> 00:13:29.480]   "The king is gonna go away for a while."
[00:13:29.480 --> 00:13:31.360]   And so he gives them this parable
[00:13:31.360 --> 00:13:34.080]   to help them to understand, okay?
[00:13:34.080 --> 00:13:37.060]   And the parable is the nobleman go off to a far country.
[00:13:37.060 --> 00:13:38.440]   We don't know how long,
[00:13:38.440 --> 00:13:39.880]   but there's two things Jesus is sure of,
[00:13:39.880 --> 00:13:43.360]   that he is gonna become king, and he's going to return.
[00:13:43.360 --> 00:13:47.660]   And when he returns, every single person on this world
[00:13:47.660 --> 00:13:50.440]   will stand before him and give account.
[00:13:50.440 --> 00:13:54.240]   And those who have been faithful,
[00:13:54.240 --> 00:13:57.080]   those who have been obedient, will receive a great reward.
[00:13:57.080 --> 00:14:00.360]   But those who have not will face a great judgment,
[00:14:00.360 --> 00:14:02.120]   as we see here, right?
[00:14:02.120 --> 00:14:04.160]   It's all dependent on how we live.
[00:14:04.160 --> 00:14:07.220]   He calls his 10 servants and he gives them one minna each,
[00:14:07.220 --> 00:14:08.560]   says, "Engage in business."
[00:14:08.560 --> 00:14:10.600]   Everyone say, "Engage."
[00:14:10.600 --> 00:14:14.220]   That word, engage, in the Greek is the word pragmatoumai,
[00:14:14.220 --> 00:14:16.720]   which is where we get the word pragmatic, right?
[00:14:16.720 --> 00:14:17.560]   Pragmatic.
[00:14:17.560 --> 00:14:22.560]   It means to carry on business, to trade, to occupy.
[00:14:22.560 --> 00:14:25.200]   The king, the nobleman is telling his servants,
[00:14:25.200 --> 00:14:26.320]   "Be active.
[00:14:26.320 --> 00:14:29.800]   "Multiply the minna that was given to them."
[00:14:29.800 --> 00:14:32.480]   The command is simple, I think, and very clear.
[00:14:32.480 --> 00:14:34.880]   What, as a servant, am I to do?
[00:14:34.880 --> 00:14:36.760]   Engage.
[00:14:36.760 --> 00:14:38.960]   Engage in business.
[00:14:38.960 --> 00:14:41.280]   It's hard, though, right?
[00:14:41.280 --> 00:14:43.240]   Because we look around and we go,
[00:14:43.240 --> 00:14:45.500]   "Oh man, there's so much crime.
[00:14:45.500 --> 00:14:46.420]   "There's so much greed.
[00:14:46.420 --> 00:14:47.780]   "There's so much backstabbing.
[00:14:47.780 --> 00:14:48.620]   "I don't wanna engage.
[00:14:48.620 --> 00:14:50.660]   "I just wanna stay in a handkerchief.
[00:14:50.660 --> 00:14:52.440]   "I just wanna stay safe.
[00:14:52.440 --> 00:14:54.120]   "I just wanna protect myself."
[00:14:54.120 --> 00:14:56.640]   In fact, what happens is most of the people,
[00:14:56.640 --> 00:14:57.960]   if you look at the world,
[00:14:57.960 --> 00:15:01.320]   the population of the world is moving into cities.
[00:15:01.320 --> 00:15:04.840]   And so God is saying, "I want you to engage in cities."
[00:15:04.840 --> 00:15:07.360]   And I live in Gangnam, which is ridiculously crowded.
[00:15:07.360 --> 00:15:09.120]   If you haven't been to Korea, Seoul,
[00:15:09.120 --> 00:15:13.560]   it makes LA look like a countryside, really.
[00:15:13.560 --> 00:15:15.680]   You get into a subway, people are crammed against you.
[00:15:15.680 --> 00:15:16.840]   The first time I went to Korea,
[00:15:16.840 --> 00:15:18.880]   I sat down in the subway, I had no idea, okay?
[00:15:18.880 --> 00:15:20.260]   I had no idea, I'm from LA.
[00:15:20.260 --> 00:15:22.360]   I sit down, there's no such thing as personal space.
[00:15:22.360 --> 00:15:23.760]   I sit down, and all of a sudden,
[00:15:23.760 --> 00:15:25.800]   this girl who's wearing a short skirt
[00:15:25.800 --> 00:15:28.320]   stands right between my legs.
[00:15:28.320 --> 00:15:30.520]   And I'm just like, "What is going on here?"
[00:15:30.520 --> 00:15:31.600]   Personal space, you know?
[00:15:31.600 --> 00:15:32.920]   So when I encounter, you know,
[00:15:32.920 --> 00:15:35.800]   people are bumping, little ajummas are pushing me.
[00:15:35.800 --> 00:15:38.000]   When I encounter that,
[00:15:38.000 --> 00:15:40.000]   I'm telling you, I don't want to engage.
[00:15:40.000 --> 00:15:43.280]   I want to disengage and go off to some secluded area.
[00:15:43.280 --> 00:15:47.680]   But Jesus said, "No, I want you to engage.
[00:15:47.680 --> 00:15:48.880]   "I want you to engage."
[00:15:48.880 --> 00:15:52.240]   And he gives this parable, engage.
[00:15:52.240 --> 00:15:54.560]   But the question then becomes,
[00:15:54.560 --> 00:15:56.840]   okay, it's clear what you want us to do,
[00:15:56.840 --> 00:15:59.720]   but what does he mean by engage?
[00:15:59.720 --> 00:16:00.560]   Right?
[00:16:00.560 --> 00:16:02.120]   Because, you know, that could be kind of nebulous.
[00:16:02.120 --> 00:16:03.320]   What do you mean by engage?
[00:16:03.320 --> 00:16:07.360]   And secondly, maybe more importantly, how do we engage?
[00:16:07.360 --> 00:16:08.680]   Because I don't want you to just leave here
[00:16:08.680 --> 00:16:10.040]   and say, "Yeah, I have to engage, I have to engage,
[00:16:10.040 --> 00:16:11.400]   "but I don't really know how to."
[00:16:11.400 --> 00:16:15.560]   I want us to start thinking about how do we engage as well?
[00:16:15.560 --> 00:16:17.840]   So we are to engage, what does it mean,
[00:16:17.840 --> 00:16:18.960]   and how do we do it?
[00:16:18.960 --> 00:16:20.240]   So let's start by saying,
[00:16:20.240 --> 00:16:22.000]   by looking at what does it mean.
[00:16:22.000 --> 00:16:26.840]   To engage, literally, it means to put my money to work.
[00:16:26.840 --> 00:16:29.880]   Invest this for me while I'm gone.
[00:16:29.880 --> 00:16:32.480]   Literally, word for word, Jesus is commanding
[00:16:32.480 --> 00:16:33.960]   that the money given to us,
[00:16:33.960 --> 00:16:36.320]   all of it, since it belongs to God,
[00:16:36.320 --> 00:16:38.440]   somehow we figure out how to multiply it
