
[00:00:00.000 --> 00:00:05.960]   Good morning, Church family.
[00:02:21.440 --> 00:02:23.240]   would dare even to die.
[00:02:23.240 --> 00:02:27.280]   But God shows His own love for us, in that while we were still sinners, Christ died for
[00:02:27.280 --> 00:02:28.280]   us."
[00:02:28.280 --> 00:02:30.100]   Romans 5, 6-8.
[00:02:30.100 --> 00:02:32.860]   The truth of Scripture cut like a sword into my heart.
[00:02:32.860 --> 00:02:39.000]   I had never thought intently on the character of God and His love in contrast to my weakness.
[00:02:39.000 --> 00:02:43.080]   Over the next few weeks, I went back to reading Romans, examining who I was in respect to
[00:02:43.080 --> 00:02:44.680]   a holy God.
[00:02:44.680 --> 00:02:48.160]   My respectable sins as I saw them were an offense to Him.
[00:02:48.160 --> 00:02:52.800]   Without Christ, without relationship with the one true God, my life was meaningless.
[00:02:52.800 --> 00:02:56.200]   All of those things were searching for fulfillment outside of Christ.
[00:02:56.200 --> 00:02:58.760]   I was a sinner in need of saving.
[00:02:58.760 --> 00:03:03.120]   God opened my eyes through that time to the sorrow that my sin caused Him.
[00:03:03.120 --> 00:03:06.440]   Scripture made the truth that I had known in my head, that Christ had atoned for my
[00:03:06.440 --> 00:03:13.360]   sins, that had eternally separated me from life with God, become a truth that was life-transforming.
[00:03:13.360 --> 00:03:15.560]   Acts 3, 17-19.
[00:03:15.560 --> 00:03:19.860]   And now, brethren, I know that you acted in ignorance just as your rulers did also.
[00:03:19.860 --> 00:03:23.920]   But the things which Christ announced beforehand by the mouth of the prophets, that Christ
[00:03:23.920 --> 00:03:26.560]   would suffer, He has thus fulfilled.
[00:03:26.560 --> 00:03:30.600]   Therefore repent and return so that your sins may be wiped away, in order that times of
[00:03:30.600 --> 00:03:34.280]   refreshing may come from the presence of the Lord.
[00:03:34.280 --> 00:03:38.320]   One evening that year, I sincerely prayed for forgiveness of my sins.
[00:03:38.320 --> 00:03:42.860]   It was then that I believed that Jesus, the Son of God, could save me from my sins.
[00:03:42.860 --> 00:03:47.640]   I knew that I fully deserved the just punishment and separation from God.
[00:03:47.640 --> 00:03:51.760]   I prayed that I would be dependent on God to define my life and my future.
[00:03:51.760 --> 00:03:55.900]   It was then that I believed I received the free gift of salvation and eternal life through
[00:03:55.900 --> 00:03:57.340]   Jesus Christ.
[00:03:57.340 --> 00:03:59.320]   For this salvation, I praise God.
[00:03:59.320 --> 00:04:02.440]   He used trials in my life to show my sin to me.
[00:04:02.440 --> 00:04:05.360]   In His kindness and grace, He brought me to repentance.
[00:04:05.360 --> 00:04:08.480]   This is a story of how God rescued me from my sin.
[00:04:08.480 --> 00:04:12.940]   He led me out of darkness, and by the sacrifice of His Son, I was justified.
[00:04:12.940 --> 00:04:17.380]   He is continuing to sanctify me, and I look towards the hope of being glorified with Him
[00:04:17.380 --> 00:04:19.380]   in eternity.
[00:04:19.380 --> 00:04:44.300]   Let me understand when you go into the water, you are united with Christ Jesus Christ.
[00:04:44.300 --> 00:04:55.740]   Amen.
[00:04:55.740 --> 00:04:58.140]   [APPLAUSE]

