
[00:00:00.000 --> 00:00:07.000]   [silence]
[00:02:16.000 --> 00:02:21.000]   And so, again, there's about four or five things that he mentions in this text.
[00:02:21.000 --> 00:02:25.000]   I thought we were going to take two weeks, but it's going to take at least three weeks to get through this text.
[00:02:25.000 --> 00:02:28.000]   And so hopefully you guys can follow along.
[00:02:28.000 --> 00:02:36.000]   I want to read a quote from J.I. Packer, and it's from his book, "The Little Book on the Word of God."
[00:02:36.000 --> 00:02:44.000]   This is what he says, "Certainly about the great issues of Christian faith and conduct is lacking all along the line.
[00:02:44.000 --> 00:02:53.000]   The outside observer sees us as staggering on from a gimmick to gimmick, stunt to stunt like so many drunks in a fog,
[00:02:53.000 --> 00:02:58.000]   not knowing at all where we are or which way we should be going.
[00:02:58.000 --> 00:03:08.000]   Preaching is hazy, heads are muddled, hearts fret, doubts drain strength, uncertainty paralyzes action.
[00:03:08.000 --> 00:03:12.000]   Unlike the first century Christians who in three centuries won the Roman world,
[00:03:12.000 --> 00:03:18.000]   and those later Christians who pioneered the Reformation and the Puritan awakening and the Evangelical revival
[00:03:18.000 --> 00:03:25.000]   and the great missionary movement of the last century, we lack certainty."
[00:03:25.000 --> 00:03:33.000]   We have to admit that we live in a culture where everything is okay unless you're certain about something.
[00:03:33.000 --> 00:03:38.000]   It's arrogant to speak with any kind of authority, any kind of certainty.
[00:03:38.000 --> 00:03:45.000]   And sad to say that's true even in the church. You can hold on to your doctrines, but don't be too strong.
[00:03:45.000 --> 00:03:55.000]   Don't speak with certainty. So we live in a culture where if you really love Christ, that we're accepting of everything.
[00:03:55.000 --> 00:04:00.000]   And as a result of that, we have strayed away from the doctrines of the scripture,
[00:04:00.000 --> 00:04:05.000]   and we have, like, you can hold on to your opinions, but you don't be too strong on anything.
[00:04:05.000 --> 00:04:11.000]   And as a result of that, what J. I. Packer describes of haziness in our doctrines,
[00:04:11.000 --> 00:04:17.000]   haziness in understanding our faith, and as a result of this confusion as to what the Word of God says,
[00:04:17.000 --> 00:04:22.000]   he says, "Uncertainty paralyzes action."
[00:04:22.000 --> 00:04:27.000]   So when you're not certain about something, when you're not convicted about something,
[00:04:27.000 --> 00:04:32.000]   it naturally, the fruit that it produces is uncertainty.
[00:04:32.000 --> 00:04:40.000]   That's why we have Christians who profess to believe, but very few who are actually committed.
[00:04:40.000 --> 00:04:43.000]   Because to say, "I am committed to this," oh, that's his personality.
[00:04:43.000 --> 00:04:46.000]   You know, he has that way, or he goes to this church, or he does that.
[00:04:46.000 --> 00:04:50.000]   But to be convicted about something, naturally you get criticism.
[00:04:50.000 --> 00:04:55.000]   That guy's self-righteous. He's judgmental, or maybe this or that, and kind of, you know,
[00:04:55.000 --> 00:04:58.000]   the pressure is to come to the middle where everything is okay.
[00:04:58.000 --> 00:05:03.000]   And sad to say, that's kind of like the culture that you and I live in.
[00:05:03.000 --> 00:05:07.000]   You can belong to a church, you can belong to a denomination, you can be active at church,
[00:05:07.000 --> 00:05:12.000]   and you can do all these things, but don't speak with absolute certainty about anything.
[00:05:12.000 --> 00:05:18.000]   Because if you do, you're self-righteous. You're proud.
[00:05:18.000 --> 00:05:24.000]   Paul, in describing his own ministry, he says in verse 15 and 16,
[00:05:24.000 --> 00:05:30.000]   "But on some of these points that I have written to you, very boldly, by way of reminder,
[00:05:30.000 --> 00:05:33.000]   because of the grace given to me by God."
[00:05:33.000 --> 00:05:39.000]   Paul describes what he says. He said, "I spoke to you boldly for a reason."
[00:05:39.000 --> 00:05:45.000]   The first thing that we want to understand about Paul's writings and all the doctrines that he says,
[00:05:45.000 --> 00:05:47.000]   there is absolute certainty with what Paul is saying.
[00:05:47.000 --> 00:05:53.000]   Paul doesn't say, you know, "Here are some suggestions. These are things that I think are true."
[00:05:53.000 --> 00:05:59.000]   He said, "I'm writing these things. Even the things that may make you feel uncomfortable.
[00:05:59.000 --> 00:06:02.000]   This is absolute truth."
[00:06:02.000 --> 00:06:07.000]   And the reason why he's able to speak so boldly, he states it in verse 15 and 16, he says,
[00:06:07.000 --> 00:06:13.000]   "I speak boldly in reminder because, one, grace was given to me by God."
[00:06:13.000 --> 00:06:22.000]   In other words, Paul was absolutely certain that what he is saying is because God told him to say it.
[00:06:22.000 --> 00:06:28.000]   It is not just regurgitation of information. It's not because I read some books and I went to seminary,
[00:06:28.000 --> 00:06:33.000]   so I learned these truths, and so I'm going to take what I have learned and I'm going to disseminate it to you.
[00:06:33.000 --> 00:06:37.000]   Paul says, no, he is absolutely convinced that he is speaking for God.
[00:06:37.000 --> 00:06:41.000]   The words coming out of his mouth represents God himself.
[00:06:41.000 --> 00:06:46.000]   You can't be an ambassador to the UN with uncertainty.
[00:06:46.000 --> 00:06:51.000]   You can't say that I'm an ambassador to the United States and say, "What does America think about this?"
[00:06:51.000 --> 00:06:55.000]   Well, you know, they think this and we think that, and this is my opinion.
[00:06:55.000 --> 00:07:00.000]   Then you can't be an ambassador. An ambassador has to be certain where he stands.
[00:07:00.000 --> 00:07:06.000]   An ambassador has to be certain what the president desires to say, and he's just simply a mouthpiece.
[00:07:06.000 --> 00:07:11.000]   Paul's certainty came from knowing that his calling was from God.
[00:07:11.000 --> 00:07:24.000]   Secondly, he says to be a minister of Christ, that he was called from God for the purpose of representing Christ.
[00:07:24.000 --> 00:07:32.000]   His primary goal is not to be overly concerned about his listeners.
[00:07:32.000 --> 00:07:36.000]   Now, that may sound weird to some of you, you know,
[00:07:36.000 --> 00:07:46.000]   but I'm going to say that my primary goal as a pastor is not to make sure that all of you want to hear me.
[00:07:46.000 --> 00:07:54.000]   I am very aware that there's some things that I say that some of you are not going to like.
[00:07:54.000 --> 00:07:59.000]   But my primary concern is not how you will respond to what is said.
[00:07:59.000 --> 00:08:06.000]   My primary concern is, am I saying what Jesus would say if he was standing up on his pulpit?
[00:08:06.000 --> 00:08:11.000]   So Paul says, "My calling is from God, so therefore he's a minister of Christ, first and foremost."
[00:08:11.000 --> 00:08:20.000]   Every once in a while, I would get somebody who tells me that I don't think my non-Christian friends would be comfortable at this church.
[00:08:20.000 --> 00:08:27.000]   Now, I have no intention of deliberately making non-Christians uncomfortable.
[00:08:27.000 --> 00:08:35.000]   I don't want to deliberately use big words, dispensationalism and hypostatic union of Christ.
[00:08:35.000 --> 00:08:42.000]   There's no need for me to sound with high vocabulary and confuse people.
[00:08:42.000 --> 00:08:51.000]   But the primary goal of the church is not to make non-Christians feel comfortable in the church.
[00:08:51.000 --> 00:08:56.000]   The church was called to be distinct from the world.
[00:08:56.000 --> 00:09:05.000]   The problem that you and I get into in our generation is that we are so concerned about being distinct from the world
[00:09:05.000 --> 00:09:11.000]   that more and more you can't tell the difference between Christian and non-Christian.
[00:09:11.000 --> 00:09:21.000]   Nobody ever travels to different countries and complain that the country that you are at is different than the country that you came from.
[00:09:21.000 --> 00:09:25.000]   You don't go to Japan and say, "You know what? Japan doesn't look anything like the United States.
[00:09:25.000 --> 00:09:28.000]   I don't think I'll ever come back here again."
[00:09:28.000 --> 00:09:35.000]   Because there's that understanding that when you enter into their world, their culture, that there's going to be different things.
[00:09:35.000 --> 00:09:39.000]   You don't travel to Kenya and say, "You know what? The food tastes so different."
[00:09:39.000 --> 00:09:41.000]   You expect it to be different.
[00:09:41.000 --> 00:09:45.000]   You don't go in there and the leaders of Japan and leaders of different countries say,
[00:09:45.000 --> 00:09:52.000]   "You know what? We want Americans to feel comfortable where we're at, so we're going to change our food to make sure that they're comfortable where we're at."
[00:09:52.000 --> 00:09:59.000]   We expect when we travel to different kingdoms, different countries, that there's going to be distinct things about them.
[00:09:59.000 --> 00:10:06.000]   When non-Christians come into the church, they are entering into a different kingdom where Christ rules.
[00:10:06.000 --> 00:10:08.000]   The god of this age is Satan.
[00:10:08.000 --> 00:10:14.000]   Satan has rule over the entertainment, over the values, over the direction of the world.
[00:10:14.000 --> 00:10:21.000]   So if they enter into a church body of Christ where Christ is the head of the church, there should be distinction.
[00:10:21.000 --> 00:10:23.000]   It should look distinctly different.
[00:10:23.000 --> 00:10:26.000]   There should be a culture shock.
[00:10:26.000 --> 00:10:34.000]   And as a result of this culture shock, to open their eyes to see the god that we worship.
[00:10:34.000 --> 00:10:42.000]   See, Paul says he speaks with boldness and clarity because he's clear who he serves.
[00:10:42.000 --> 00:10:46.000]   And as a result of that, he says he's a minister of Christ Jesus to the Gentiles.
[00:10:46.000 --> 00:10:50.000]   He recognizes that God has called him specifically for them.
[00:10:50.000 --> 00:10:59.000]   He didn't only preach to the Gentiles, but he represents Christ to the Gentiles in the priestly service of the gospel of God.
[00:10:59.000 --> 00:11:01.000]   Of the gospel of God.
[00:11:01.000 --> 00:11:11.000]   Again, in our churches, if we're not careful, we can be a self-help instructional place where people who are having hard times raising kids
[00:11:11.000 --> 00:11:17.000]   and how to be a good mother, how to be a good father, how to organize your family, how to reach the poor and do social justice.
[00:11:17.000 --> 00:11:21.000]   And all of these things are good things that the scripture teaches.
[00:11:21.000 --> 00:11:24.000]   But the primary calling of the church is to preach the gospel.
[00:11:24.000 --> 00:11:29.000]   To bring sinners to repentance and reconcile them to the holy God.
[00:11:29.000 --> 00:11:32.000]   Our primary calling is not to feed the poor.
[00:11:32.000 --> 00:11:36.000]   He called us as Christians to be concerned for the poor.
[00:11:36.000 --> 00:11:43.000]   Our primary calling is not to make a community of people who care about each other and raise our children together.
[00:11:43.000 --> 00:11:48.000]   All of these things are byproducts of people who have been reconciled to God.
[00:11:48.000 --> 00:11:53.000]   But the primary calling of the church is to reconcile sinners, to bring them to repentance,
[00:11:53.000 --> 00:11:59.000]   to be reconciled to the only source of life.
[00:11:59.000 --> 00:12:03.000]   To preach the gospel. In season and out of season.
[00:12:03.000 --> 00:12:07.000]   That's why Paul speaks with such clarity, with such boldness.
[00:12:07.000 --> 00:12:10.000]   He does not apologize about anything that he says.
[00:12:10.000 --> 00:12:18.000]   2 Timothy 1.7, "For God gave us a spirit not of fear or timidity, but of power and love and self-control."
[00:12:18.000 --> 00:12:24.000]   The reason why he writes that is because Timothy, when Paul is writing the second letter to Timothy,
[00:12:24.000 --> 00:12:31.000]   the spiritual environment has changed drastically from the first time he was in prison in Philippians.
[00:12:31.000 --> 00:12:39.000]   In Philippians he says, "I thank God for my imprisonment because it has emboldened other brothers to preach the word of God more boldly."
[00:12:39.000 --> 00:12:43.000]   And so it was actually producing more boldness in other people.
[00:12:43.000 --> 00:12:49.000]   But by the time he's writing 2 Timothy, he's writing this last letter, and people are beginning to fall out.
[00:12:49.000 --> 00:12:57.000]   Even his fellow companions who are with him suffering for the gospel saw that Apostle Paul was waiting for death to come,
[00:12:57.000 --> 00:13:00.000]   and some of them were starting to return back.
[00:13:00.000 --> 00:13:08.000]   And he's writing to this young protege, telling Timothy, concerned that he might fall into this fear.
[00:13:08.000 --> 00:13:16.000]   And he's reminding them, commending him, challenging him, that the spirit that leads you back into your old life is not from God.
[00:13:16.000 --> 00:13:26.000]   God called us, and he gave us a spirit, not a spirit of fear or of timidity, but of power and of love and self-control.
[00:13:26.000 --> 00:13:34.000]   You always hear from people saying, "You know, we need to get back to the early church. We need to be like the book of Acts."
[00:13:34.000 --> 00:13:40.000]   One of the primary characteristics of the early church was boldness, clarity.
[00:13:40.000 --> 00:13:48.000]   In Acts 4.13, after Peter and John gives their testimony about Christ preaching the gospel, this is what they said.
[00:13:48.000 --> 00:13:51.000]   "Now when they saw the boldness of Peter and John..."
[00:13:51.000 --> 00:13:56.000]   I mean, think about everything that they could have observed about Peter's preaching.
[00:13:56.000 --> 00:14:00.000]   It was clear, he exposited the Old Testament.
[00:14:00.000 --> 00:14:09.000]   But of all the things that they could have said, after being convicted about the Word, he said, "Wow, they were amazed by his boldness."
[00:14:09.000 --> 00:14:12.000]   They were amazed by his boldness, how he spoke with authority.
[00:14:12.000 --> 00:14:14.000]   And they said, "These are just fishermen."
[00:14:14.000 --> 00:14:17.000]   And they perceived that they were uneducated, common men.
[00:14:17.000 --> 00:14:21.000]   So in other words, their boldness did not come from education.
[00:14:21.000 --> 00:14:27.000]   Their boldness did not come because they went to some specific schools and got an MDiv or a PhD.
[00:14:27.000 --> 00:14:31.000]   Or from their many experiences, they were raised in a priestly home.
[00:14:31.000 --> 00:14:33.000]   Or maybe their parents were from San Hedron.
[00:14:33.000 --> 00:14:39.000]   They said they had no connection whatsoever from the religious order of that time.
[00:14:39.000 --> 00:14:42.000]   They were just uneducated fishermen.
[00:14:42.000 --> 00:14:46.000]   So where did this boldness come from?
[00:14:46.000 --> 00:14:51.000]   They said, "And they recognized that they had been with Jesus."
[00:14:51.000 --> 00:14:54.000]   And immediately they gave credit to Christ.
[00:14:54.000 --> 00:15:02.000]   What made these men and their preaching and their lives so powerful is their proximity to Christ.
[00:15:02.000 --> 00:15:04.000]   And that's exactly what Paul was saying.
[00:15:04.000 --> 00:15:10.000]   He said, "I speak with boldness because God called me to be a minister of Christ to the Gentiles for the preaching of the Gospel."
[00:15:10.000 --> 00:15:13.000]   And he was clear.
[00:15:13.000 --> 00:15:20.000]   Peter and John is standing in the presence of the same people who cried out and wanted to crucify Christ.
[00:15:20.000 --> 00:15:29.000]   He's standing before the leaders of Israel who had the authority to put him in jail, beat them, and possibly crucify them as well.
[00:15:29.000 --> 00:15:35.000]   What gave them this boldness that even they were willing to even give their life?
[00:15:35.000 --> 00:15:38.000]   And they recognized that they were with Jesus.
[00:15:38.000 --> 00:15:44.000]   Acts 4, 31, "And when they had prayed, the place in which they were gathered together was shaken,
[00:15:44.000 --> 00:15:51.000]   and they were all filled with the Holy Spirit and continued to speak the word of God with boldness."
[00:15:51.000 --> 00:16:00.000]   Their proximity to Jesus and the filling of the Holy Spirit immediately led to boldness, clarity, conviction.
[00:16:00.000 --> 00:16:10.000]   Acts 13, 46, "And Paul and Barnabas spoke out boldly, saying, 'It was necessary that the word of God be spoken first to you.'"
[00:16:10.000 --> 00:16:19.000]   So over and over again, if you read the book of Acts, it is the movement of the Holy Spirit as it empowers people to speak with boldness.
[00:16:19.000 --> 00:16:25.000]   God has ordained the preaching of his word, the foolishness of preaching, to bring about the salvation of the lost.
[00:16:25.000 --> 00:16:28.000]   But it is not just any kind of preaching.
[00:16:28.000 --> 00:16:31.000]   It is not just regurgitation of information.
[00:16:31.000 --> 00:16:34.000]   It is not just things that you have read that you are transferring for somebody else.
[00:16:34.000 --> 00:16:39.000]   It is the boldness that is accompanied by the presence of the Holy Spirit.
[00:16:39.000 --> 00:16:41.000]   That is what the early church was characterized by.
[00:16:41.000 --> 00:16:49.000]   And that is what Paul says. He says, "I am preaching to you with clarity and boldness because this is from God."
[00:16:49.000 --> 00:16:57.000]   Most of Paul's letters, he writes with the introduction, "A bond slave of Jesus Christ."
[00:16:57.000 --> 00:17:03.000]   So I remember early on when I would read that, I thought, "Oh, Apostle Paul is humbling himself."
[00:17:03.000 --> 00:17:08.000]   He is trying to serve the church, and he is saying, "I am a bond servant of Jesus Christ, so I am here to serve you."
[00:17:08.000 --> 00:17:16.000]   And I realized, the more I studied the text, that though, yes, Apostle Paul recognizes that he is a servant of Christ,
[00:17:16.000 --> 00:17:23.000]   but the reason why he calls himself the bond servant or the slave of Jesus Christ is to establish authority in that letter.
[00:17:23.000 --> 00:17:26.000]   That these are not his words.
[00:17:26.000 --> 00:17:32.000]   This is not an opinion of many experiences, and he tried this and tried that, and he found that these things work.
[00:17:32.000 --> 00:17:37.000]   So I am writing these things to you because I know better than you.
[00:17:37.000 --> 00:17:47.000]   Instead, Paul establishes authority right from the beginning of the letter, saying, "Listen to what I have to say because it is coming from Christ himself."
[00:17:47.000 --> 00:17:51.000]   And that is why he is able to speak with such boldness.
[00:17:51.000 --> 00:17:54.000]   In particular, the book of Galatians.
[00:17:54.000 --> 00:18:00.000]   Galatians 1.10, it says, "For I am, am I now seeking the approval of man or of God?
[00:18:00.000 --> 00:18:06.000]   Am I trying to please man? If I were still trying to please man, I would not be a servant of Christ."
[00:18:06.000 --> 00:18:12.000]   Those of you who know the content of the book of Galatians, Paul is writing to a church,
[00:18:12.000 --> 00:18:24.000]   not just one church, but many churches in that area, because of Judaizers were coming in and they were trying to mix the gospel with the Jewish laws.
[00:18:24.000 --> 00:18:32.000]   And so Paul begins the letter by saying, "If anyone preaches a different gospel, other than what you already know, let him be anathema, let him be condemned."
[00:18:32.000 --> 00:18:35.000]   In other words, it is a modern way of saying, "Let him go to hell."
[00:18:35.000 --> 00:18:39.000]   It is the harshest statement that he can say.
[00:18:39.000 --> 00:18:47.000]   But the reason why he writes Galatians 1.10 is because he was rebuking Peter and Barnabas by name, publicly.
[00:18:47.000 --> 00:18:57.000]   If there was any two people that Apostle Paul may have been tempted to compromise in order to not cause conflict and embarrassment,
[00:18:57.000 --> 00:19:01.000]   the first person would have been Barnabas.
[00:19:01.000 --> 00:19:06.000]   Because Barnabas was Apostle Paul's mentor in the beginning, when everybody else was like,
[00:19:06.000 --> 00:19:15.000]   "How can that guy who was just a few months ago trying to kill everybody, how can he be now preaching the gospel?"
[00:19:15.000 --> 00:19:25.000]   So even the people who saw Jesus resurrected from the dead had a hard time believing that his conversion was real.
[00:19:25.000 --> 00:19:27.000]   That's how radical his conversion was.
[00:19:27.000 --> 00:19:33.000]   So Barnabas was the first one who stood up and he said, "I can testify that his conversion is real."
[00:19:33.000 --> 00:19:37.000]   So Barnabas was the first guy who stood up for him to be accepted in the church.
[00:19:37.000 --> 00:19:43.000]   So if there was anybody that he would have been tempted to compromise the gospel for, it would have been Barnabas.
[00:19:43.000 --> 00:19:46.000]   If there was a second person he would have been tempted, it would have been Peter.
[00:19:46.000 --> 00:19:54.000]   Because he knew if he got on the other side of Peter, he could have had the whole early church turn against Apostle Paul.
[00:19:54.000 --> 00:19:57.000]   Because Peter was a leader among the apostles.
[00:19:57.000 --> 00:20:03.000]   Who was this latecomer who was about to kill us and now he's calling Peter out, embarrassing him,
[00:20:03.000 --> 00:20:06.000]   because he was confusing the gospel.
[00:20:06.000 --> 00:20:12.000]   He says in Galatians that Peter and Barnabas were being affected by the Judaizers coming from Jerusalem
[00:20:12.000 --> 00:20:18.000]   and they refused to sit with the Gentiles and would only eat with the Jews, confusing the gospel.
[00:20:18.000 --> 00:20:25.000]   That the lines, the hostility between Jews and Gentiles has been abolished by the blood of Christ and now we are one.
[00:20:25.000 --> 00:20:30.000]   But because of their action, because of their compromise, the gospel is being compromised.
[00:20:30.000 --> 00:20:34.000]   So Paul calls them out.
[00:20:34.000 --> 00:20:41.000]   If we are more concerned about the opinion of man, we are automatically disqualified.
[00:20:41.000 --> 00:20:44.000]   Automatically disqualified.
[00:20:44.000 --> 00:20:49.000]   If we are more concerned about if I say this will more people come, we are disqualified.
[00:20:49.000 --> 00:20:53.000]   If I say this, will people leave the church, then we are disqualified.
[00:20:53.000 --> 00:20:58.000]   First and foremost, are we called by God?
[00:20:58.000 --> 00:21:04.000]   Are we convicted of the things that we profess or is it enough that you just sing the songs?
[00:21:04.000 --> 00:21:08.000]   Is it enough that you are just part of the church?
[00:21:08.000 --> 00:21:16.000]   See, when we are hazy and our convictions aren't strong, it's enough to just belong to the right church.
[00:21:16.000 --> 00:21:21.000]   To sit under a man of conviction rather than being convicted yourself.
[00:21:21.000 --> 00:21:23.000]   When you are not clear.
[00:21:23.000 --> 00:21:34.000]   But when we are clear, when we are convicted, when we are certain that this is from God, it leads to boldness.
[00:21:34.000 --> 00:21:40.000]   Now let me give an encouragement and a warning at the same time.
[00:21:40.000 --> 00:21:48.000]   Let me just sidetrack for a second because whenever we say this, we can easily apply it in the wrong way.
[00:21:48.000 --> 00:21:51.000]   One, an encouragement.
[00:21:51.000 --> 00:21:54.000]   We named ourselves Berean Community Church for a reason.
[00:21:54.000 --> 00:22:02.000]   Because as you guys know, that Bereans were commended for testing what Paul was saying to see if it was scriptural.
[00:22:02.000 --> 00:22:08.000]   So right off the bat, we wanted to make sure that the authority is established in the word of God.
[00:22:08.000 --> 00:22:15.000]   I don't want ever for anybody in our church, for my words to be the final authority.
[00:22:15.000 --> 00:22:20.000]   If you ever get in an argument and you say, "But Pastor Peter said this."
[00:22:20.000 --> 00:22:26.000]   Don't ever think that I'm like, "Hmm, they're quoting me?"
[00:22:26.000 --> 00:22:29.000]   Job well done, right?
[00:22:29.000 --> 00:22:34.000]   The whole purpose of why we named ourselves Berean Community Church is because we want you to test the leaders.
[00:22:34.000 --> 00:22:37.000]   We want you to test the teaching.
[00:22:37.000 --> 00:22:42.000]   So the final authority isn't what does the church believe.
[00:22:42.000 --> 00:22:46.000]   What does it matter what the church believes? What do you believe?
[00:22:46.000 --> 00:22:48.000]   What are your convictions?
[00:22:48.000 --> 00:22:55.000]   So that whatever conversations that we have, whatever conflict that we have, that we make sure that it's a biblical conversation.
[00:22:55.000 --> 00:22:59.000]   That quoting leadership doesn't end that conversation.
[00:22:59.000 --> 00:23:02.000]   So we encourage you and we challenge you.
[00:23:02.000 --> 00:23:08.000]   If our church is going to be where Christ is the head of the church, and our church is going to have convictions,
[00:23:08.000 --> 00:23:14.000]   that you do not coattail, you do not just get on the train just because I'm convicted.
[00:23:14.000 --> 00:23:18.000]   You need to be convicted. You need to see what the word of God says.
[00:23:18.000 --> 00:23:20.000]   So that's my encouragement to you.
[00:23:20.000 --> 00:23:29.000]   But the other part of caution, one is don't let your authority come from the leadership.
[00:23:29.000 --> 00:23:34.000]   But the warning is don't let your authority come from yourself either.
[00:23:34.000 --> 00:23:41.000]   Where we, our danger could be that we have all kinds of thoughts and opinions,
[00:23:41.000 --> 00:23:47.000]   and we want this and we want that, and don't let that be from you either.
[00:23:47.000 --> 00:23:55.000]   Not from your experience, not from your personality, not from your intellect, not from your education.
[00:23:55.000 --> 00:23:57.000]   That it needs to be from his word.
[00:23:57.000 --> 00:24:04.000]   That's why Jesus says, "Before you judge others, make sure you take out the log out of your eyes,
[00:24:04.000 --> 00:24:08.000]   so you can see clearly the speck in someone else's eye."
[00:24:08.000 --> 00:24:14.000]   In other words, if we're not right with God, if we're not saturated with his words,
[00:24:14.000 --> 00:24:17.000]   our vision is tainted.
[00:24:17.000 --> 00:24:26.000]   So we want a church that debates and has conversations and have Bible studies centered around what is the meaning of the text,
[00:24:26.000 --> 00:24:31.000]   but we want to make sure that whatever conversation we're having, that the end conclusion is the text.
[00:24:31.000 --> 00:24:37.000]   End conclusion is what he is saying, not my opinions.
[00:24:37.000 --> 00:24:42.000]   Paul was clear and convicted.
[00:24:42.000 --> 00:24:50.000]   We need to be a church, not just from the pulpit, but congregation who is committed to the truth themselves.
[00:24:50.000 --> 00:24:56.000]   Jeremiah 14, 13-15, Jeremiah says, "O sovereign Lord, the prophets keep telling them,
[00:24:56.000 --> 00:25:01.000]   'You will not see the sword or suffer famine. Indeed, I will give you lasting peace in this place.'"
[00:25:01.000 --> 00:25:05.000]   Why were the false prophets telling them this?
[00:25:05.000 --> 00:25:10.000]   Because who wants to go and tell a bunch of people that judgment is coming,
[00:25:10.000 --> 00:25:15.000]   that if you don't turn from your sins, that judgment is coming, because that's the message that God gave Jeremiah.
[00:25:15.000 --> 00:25:23.000]   And the reason why he's preaching peace is because he is more concerned about their opinion and what they think of him
[00:25:23.000 --> 00:25:26.000]   than what God sent him to do.
[00:25:26.000 --> 00:25:34.000]   And so the common message of the false prophets was to tickle their ear, to encourage them, to strengthen them.
[00:25:34.000 --> 00:25:39.000]   Verse 14, "And the Lord said to me, 'The prophets are prophesying lies in my name.
[00:25:39.000 --> 00:25:44.000]   I have not sent them or appointed them or spoken to them.
[00:25:44.000 --> 00:25:51.000]   They are prophesying to you false visions, divination, idolatries, and delusions of their own minds.
[00:25:51.000 --> 00:25:55.000]   Therefore, this is what the Lord says about the prophets who are prophesying in my name,
[00:25:55.000 --> 00:26:00.000]   I did not send them, yet they are saying, 'No sword or famine will touch this land.
[00:26:00.000 --> 00:26:05.000]   Those same prophets will perish by sword and famine.'"
[00:26:05.000 --> 00:26:10.000]   The reason why there's fuzziness, there's reason why there's haziness and lack of conviction
[00:26:10.000 --> 00:26:16.000]   is because, again, at that time, because these false prophets were there to tickle their ears.
[00:26:16.000 --> 00:26:23.000]   Again, you and I have to admit, we are living in a generation that in order for the Protestant churches to succeed,
[00:26:23.000 --> 00:26:34.000]   we need to gather as many people into the room and pay their tithes so we can grow.
[00:26:34.000 --> 00:26:39.000]   But the danger behind all of that, the way that the church is being established today,
[00:26:39.000 --> 00:26:42.000]   it naturally leads to haziness.
[00:26:42.000 --> 00:26:46.000]   Today, if somebody wants to go into ministry, and this is very typical,
[00:26:46.000 --> 00:26:51.000]   this is not an extraordinary way somebody comes into ministry.
[00:26:51.000 --> 00:26:56.000]   You go short-term missions, you get convicted, or you're active in campus ministry,
[00:26:56.000 --> 00:27:02.000]   and so you really enjoyed what you did, and so you unilaterally decide,
[00:27:02.000 --> 00:27:07.000]   maybe opinion of a few of your friends, decide to go into ministry.
[00:27:07.000 --> 00:27:10.000]   And so you choose to go and you apply for a seminary,
[00:27:10.000 --> 00:27:16.000]   and seminary, the threshold of getting into seminary is pretty low.
[00:27:16.000 --> 00:27:18.000]   And I went to seminary, but let's be honest.
[00:27:18.000 --> 00:27:22.000]   You don't need to be an A+ student to be a seminary student.
[00:27:22.000 --> 00:27:25.000]   I'm a living testimony of that.
[00:27:25.000 --> 00:27:32.000]   You could be a C-, C-, maybe a D if you know what to say, right?
[00:27:32.000 --> 00:27:36.000]   But it's just basically they'll accept you. You got money, they'll accept you, basically.
[00:27:36.000 --> 00:27:40.000]   Oh, is that too harsh?
