
[00:00:00.000 --> 00:00:03.160]   (audience chattering)
[00:04:42.720 --> 00:04:45.220]   (audience chattering continues)
[00:04:45.220 --> 00:04:46.700]   I like it.
[00:04:46.700 --> 00:04:48.980]   Sound team tried to tell you something.
[00:04:48.980 --> 00:04:52.220]   Sound team tried to tell you something.
[00:04:52.220 --> 00:04:55.000]   That's Eugene's way of saying,
[00:04:55.000 --> 00:04:56.320]   "You have a beautiful voice."
[00:04:56.320 --> 00:04:57.480]   (audience member laughs)
[00:04:57.480 --> 00:05:01.560]   (audience chattering continues)
[00:05:01.560 --> 00:05:08.580]   All right.
[00:05:08.580 --> 00:05:10.940]   Good evening, everyone.
[00:05:10.940 --> 00:05:13.900]   We're gonna go ahead and get started with some praise.
[00:05:13.900 --> 00:05:17.200]   I'll just pray for us and then we'll go into it.
[00:05:17.200 --> 00:05:19.460]   Heavenly Father, I thank you for,
[00:05:19.460 --> 00:05:22.800]   I thank you for bringing us here tonight
[00:05:22.800 --> 00:05:26.320]   to just finish off this study of Galatians.
[00:05:26.320 --> 00:05:31.320]   Lord, I pray that in this time as we sing,
[00:05:31.320 --> 00:05:33.520]   God, that you would lead our worship of you,
[00:05:33.520 --> 00:05:37.680]   that you would be glorified in these lyrics as we sing them,
[00:05:37.680 --> 00:05:40.120]   that we would reflect on them,
[00:05:40.120 --> 00:05:42.520]   and that we would lift them up to you
[00:05:42.520 --> 00:05:45.520]   as our praise and our worship of you.
[00:05:45.520 --> 00:05:48.360]   So thank you again, I pray all this in Jesus' name, amen.
[00:05:48.360 --> 00:05:55.760]   (gentle piano music)
[00:05:55.760 --> 00:06:05.640]   ♪ We were ruined in our sin ♪
[00:06:05.640 --> 00:06:10.240]   ♪ We were guilty and undone ♪
[00:06:10.240 --> 00:06:15.240]   ♪ When your love reached down with sovereign hands ♪
[00:06:15.320 --> 00:06:19.520]   ♪ And beckoned us to come ♪
[00:06:19.520 --> 00:06:24.200]   ♪ You sought out the wanderers ♪
[00:06:24.200 --> 00:06:28.960]   ♪ Made the prodigals come home ♪
[00:06:28.960 --> 00:06:33.960]   ♪ With a lavish feast you welcomed us ♪
[00:06:33.960 --> 00:06:39.000]   ♪ For you made us your own ♪
[00:06:40.840 --> 00:06:45.840]   ♪ You have loved us like you love your Son ♪
[00:06:45.840 --> 00:06:55.400]   ♪ We are heirs with Christ but by his blood ♪
[00:06:55.400 --> 00:07:04.960]   ♪ Oh, how great the love that we've been shown ♪
[00:07:09.480 --> 00:07:14.480]   ♪ To your children now you've made us your own ♪
[00:07:14.480 --> 00:07:28.560]   ♪ We are strangers to the world ♪
[00:07:28.560 --> 00:07:33.320]   ♪ But no strangers to your throne ♪
[00:07:33.320 --> 00:07:38.320]   ♪ We draw near you now with confidence ♪
[00:07:38.480 --> 00:07:42.960]   ♪ For all our fears are gone ♪
[00:07:42.960 --> 00:07:47.680]   ♪ And when Christ our God meets us ♪
[00:07:47.680 --> 00:07:52.520]   ♪ We'll meet saints we've never known ♪
[00:07:52.520 --> 00:07:57.520]   ♪ And forever we will be amazed ♪
[00:07:57.520 --> 00:08:02.680]   ♪ That you made us your own ♪
[00:08:04.560 --> 00:08:09.560]   ♪ You have loved us like you love your Son ♪
[00:08:09.560 --> 00:08:19.200]   ♪ We are heirs with Christ but by his blood ♪
[00:08:19.200 --> 00:08:28.800]   ♪ Oh, how great the love that we've been shown ♪
[00:08:33.400 --> 00:08:38.400]   ♪ To your children now you've made us your own ♪
[00:08:38.400 --> 00:08:48.120]   ♪ You have loved us like you love your Son ♪
[00:08:48.120 --> 00:08:57.520]   ♪ We are heirs with Christ but by his blood ♪
[00:09:02.040 --> 00:09:07.040]   ♪ Oh, how great the love that we've been shown ♪
[00:09:07.040 --> 00:09:16.600]   ♪ To your children now you've made us your own ♪
[00:09:16.640 --> 00:09:21.640]   ♪ To your children now you've made us your own ♪
[00:09:21.640 --> 00:09:34.580]   (gentle music)
[00:09:34.580 --> 00:09:37.160]   (gentle music)
[00:09:37.160 --> 00:09:55.320]   ♪ Be thou my vision ♪
[00:09:55.320 --> 00:10:00.320]   ♪ O Lord of my heart ♪
[00:10:01.020 --> 00:10:05.820]   ♪ God be all else to me ♪
[00:10:05.820 --> 00:10:10.820]   ♪ Savior of the world ♪
[00:10:10.820 --> 00:10:14.960]   ♪ Thou my best thought ♪
[00:10:14.960 --> 00:10:19.960]   ♪ By day or by night ♪
[00:10:19.960 --> 00:10:24.800]   ♪ Waking or sleeping ♪
[00:10:24.800 --> 00:10:29.800]   ♪ Thy presence my light ♪
[00:10:29.800 --> 00:10:32.380]   (gentle music)
[00:10:32.380 --> 00:10:51.480]   ♪ Be thou my wisdom ♪
[00:10:51.480 --> 00:10:56.480]   ♪ And thou my true word ♪
[00:10:57.060 --> 00:11:01.040]   ♪ I ever with thee ♪
[00:11:01.040 --> 00:11:06.040]   ♪ And thou with me Lord ♪
[00:11:06.040 --> 00:11:11.000]   ♪ Thou my great Father ♪
[00:11:11.000 --> 00:11:16.000]   ♪ And I thy true son ♪
[00:11:16.000 --> 00:11:20.900]   ♪ Thou in me dwelleth ♪
[00:11:20.900 --> 00:11:25.900]   ♪ And I with thee will ♪
[00:11:26.660 --> 00:11:29.240]   (gentle music)
[00:11:29.240 --> 00:11:47.660]   ♪ Riches I heed not ♪
[00:11:47.660 --> 00:11:52.660]   ♪ Nor man's empty praise ♪
[00:11:53.260 --> 00:11:58.140]   ♪ Thou my inheritance ♪
[00:11:58.140 --> 00:12:03.060]   ♪ Now and always ♪
[00:12:03.060 --> 00:12:07.900]   ♪ Thou and thou only ♪
[00:12:07.900 --> 00:12:12.780]   ♪ First in my heart ♪
[00:12:12.780 --> 00:12:16.840]   ♪ High King of heaven ♪
[00:12:16.840 --> 00:12:21.840]   ♪ My treasure thou art ♪
[00:12:22.540 --> 00:12:26.720]   ♪ High King of heaven ♪
[00:12:26.720 --> 00:12:31.720]   ♪ My victory won ♪
[00:12:31.720 --> 00:12:37.460]   ♪ May I reach heaven's joys ♪
[00:12:37.460 --> 00:12:42.460]   ♪ O bright heaven's sun ♪
[00:12:42.460 --> 00:12:46.620]   ♪ Heart of my own heart ♪
[00:12:46.620 --> 00:12:51.620]   ♪ Whatever be ♪
[00:12:52.180 --> 00:12:56.340]   ♪ Still be my vision ♪
[00:12:56.340 --> 00:13:01.340]   ♪ O ruler of all ♪
[00:13:01.340 --> 00:13:06.480]   ♪ Heart of my own heart ♪
[00:13:06.480 --> 00:13:11.480]   ♪ Whatever befall ♪
[00:13:11.480 --> 00:13:16.580]   ♪ Still be my vision ♪
[00:13:16.580 --> 00:13:21.580]   ♪ O ruler of all ♪
[00:13:22.180 --> 00:13:23.340]   - Let's pray.
[00:13:23.340 --> 00:13:29.500]   Lord, I thank you again for bringing us here.
[00:13:29.500 --> 00:13:34.180]   God, I thank you that you love us.
[00:13:34.180 --> 00:13:38.580]   God, that your grace was given to us in Christ.
[00:13:38.580 --> 00:13:43.300]   Lord, as we head into this study,
[00:13:43.300 --> 00:13:45.660]   Lord, as we share what you've been teaching us,
[00:13:45.660 --> 00:13:48.700]   our convictions, Lord, I pray that you would
[00:13:48.700 --> 00:13:51.060]   strengthen us to apply it.
[00:13:51.060 --> 00:13:54.340]   Lord, especially as we head into summer
[00:13:54.340 --> 00:13:58.300]   and a bit of a break, Lord, help us to hold fast
[00:13:58.300 --> 00:14:00.580]   to the convictions that you've brought us to
[00:14:00.580 --> 00:14:03.540]   through this study, and that you would continue
[00:14:03.540 --> 00:14:06.700]   to guide us and strengthen us in your word.
[00:14:06.700 --> 00:14:10.060]   So Father, just bless the conversations tonight.
[00:14:10.060 --> 00:14:11.980]   Pray for us in Jesus' name, amen.
[00:14:11.980 --> 00:14:13.260]   We'll meet back at eight.
[00:14:13.260 --> 00:14:15.420]   (silence)
[00:14:15.420 --> 00:14:17.580]   (silence)
[00:14:17.580 --> 00:14:19.740]   (silence)
[00:14:19.740 --> 00:14:21.900]   (silence)
[00:14:21.900 --> 00:14:24.060]   (silence)
[00:14:24.060 --> 00:14:26.220]   (silence)
[00:14:26.220 --> 00:14:28.380]   (silence)
[00:14:28.380 --> 00:14:30.540]   (silence)
[00:14:30.700 --> 00:14:32.860]   (silence)
[00:14:32.860 --> 00:14:35.020]   (silence)
[00:14:35.020 --> 00:14:37.180]   (silence)
[00:14:37.180 --> 00:14:39.340]   (silence)
[00:14:39.340 --> 00:14:41.500]   (silence)
[00:14:41.500 --> 00:14:43.660]   (silence)
[00:14:43.660 --> 00:14:45.820]   (silence)
[00:14:45.820 --> 00:14:47.980]   (silence)
[00:14:47.980 --> 00:14:50.140]   (silence)
[00:14:50.140 --> 00:14:52.300]   (silence)
[00:14:52.300 --> 00:14:54.460]   (silence)
[00:14:54.460 --> 00:14:56.620]   (silence)
[00:14:56.620 --> 00:14:58.780]   (silence)
[00:14:58.780 --> 00:15:00.940]   (silence)
[00:15:00.940 --> 00:15:03.100]   (silence)
[00:15:03.100 --> 00:15:05.260]   (silence)
[00:15:05.260 --> 00:15:07.420]   (silence)
[00:15:07.420 --> 00:15:09.580]   (silence)
[00:15:09.580 --> 00:15:11.740]   (silence)
[00:15:11.740 --> 00:15:13.900]   (silence)
[00:15:13.900 --> 00:15:16.060]   (silence)
[00:15:16.060 --> 00:15:18.220]   (silence)
[00:15:18.220 --> 00:15:20.380]   (silence)
[00:15:20.380 --> 00:15:22.540]   (silence)
[00:15:22.540 --> 00:15:24.700]   (silence)
[00:15:24.700 --> 00:15:26.860]   (silence)
[00:15:26.860 --> 00:15:29.020]   (silence)
[00:15:29.020 --> 00:15:31.180]   (silence)
[00:15:31.180 --> 00:15:33.340]   (silence)
[00:15:33.340 --> 00:15:35.500]   (silence)
[00:15:35.500 --> 00:15:37.660]   (silence)
[00:15:37.660 --> 00:15:39.820]   (silence)
[00:15:39.820 --> 00:15:41.980]   (silence)
[00:15:41.980 --> 00:15:44.140]   (silence)
[00:15:44.140 --> 00:15:46.300]   (silence)
[00:15:46.300 --> 00:15:48.460]   (silence)
[00:15:48.460 --> 00:15:50.620]   (silence)
[00:15:50.620 --> 00:15:52.780]   (silence)
[00:15:52.780 --> 00:15:54.940]   (silence)
[00:15:54.940 --> 00:15:57.100]   (silence)
[00:15:57.100 --> 00:15:59.260]   (silence)
[00:15:59.260 --> 00:16:01.420]   (silence)
[00:16:01.420 --> 00:16:03.580]   (silence)
[00:16:03.580 --> 00:16:13.580]   (silence)
[00:16:13.580 --> 00:16:23.580]   (silence)
[00:16:23.580 --> 00:16:25.740]   (silence)
[00:16:25.740 --> 00:16:35.740]   (silence)
[00:16:35.740 --> 00:16:45.740]   (silence)
[00:16:45.740 --> 00:16:47.900]   (silence)
[00:16:47.900 --> 00:16:57.900]   (silence)
[00:16:57.900 --> 00:17:07.900]   (silence)
[00:17:07.900 --> 00:17:10.060]   (silence)
[00:17:10.060 --> 00:17:20.060]   (silence)
[00:17:20.060 --> 00:17:30.060]   (silence)
[00:17:30.060 --> 00:17:32.220]   (silence)
[00:17:32.220 --> 00:17:42.220]   (silence)
[00:17:42.220 --> 00:17:52.220]   (silence)
[00:17:52.220 --> 00:17:54.380]   (silence)
[00:17:54.380 --> 00:18:04.380]   (silence)
[00:18:04.380 --> 00:18:14.380]   (silence)
[00:18:14.380 --> 00:18:16.540]   (silence)
[00:18:16.540 --> 00:18:32.540]   (silence)
[00:18:32.540 --> 00:18:34.700]   (silence)
[00:18:34.700 --> 00:18:36.860]   (silence)
[00:18:36.860 --> 00:18:39.020]   (silence)
[00:18:39.020 --> 00:18:41.180]   (silence)
[00:18:41.180 --> 00:18:43.340]   (silence)
[00:18:43.340 --> 00:18:45.500]   (silence)
[00:18:45.500 --> 00:18:47.660]   (silence)
[00:18:47.660 --> 00:18:49.820]   (silence)
[00:18:49.820 --> 00:18:51.980]   (silence)
[00:18:51.980 --> 00:18:54.140]   (silence)
[00:18:54.140 --> 00:18:56.300]   (silence)
[00:18:56.300 --> 00:18:58.460]   (silence)
[00:18:58.460 --> 00:19:00.620]   (silence)
[00:19:00.620 --> 00:19:02.780]   (silence)
[00:19:02.780 --> 00:19:04.940]   (silence)
[00:19:04.940 --> 00:19:07.100]   (silence)
[00:19:07.100 --> 00:19:17.100]   (silence)
[00:19:17.100 --> 00:19:27.100]   (silence)
[00:19:27.100 --> 00:19:29.260]   (silence)
[00:19:29.260 --> 00:19:39.260]   (silence)
[00:19:39.260 --> 00:19:49.260]   (silence)
[00:19:49.260 --> 00:19:51.420]   (silence)
[00:19:51.420 --> 00:20:01.420]   (silence)
[00:20:01.420 --> 00:20:11.420]   (silence)
[00:20:11.420 --> 00:20:13.580]   (silence)
[00:20:13.580 --> 00:20:23.580]   (silence)
[00:20:23.580 --> 00:20:33.580]   (silence)
[00:20:33.580 --> 00:20:35.740]   (silence)
[00:20:35.740 --> 00:20:45.740]   (silence)
[00:20:45.740 --> 00:20:55.740]   (silence)
[00:20:55.740 --> 00:20:57.900]   (silence)
[00:20:57.900 --> 00:21:09.900]   (silence)
[00:21:09.900 --> 00:21:21.900]   (silence)
[00:21:21.900 --> 00:21:24.060]   (silence)
[00:21:24.060 --> 00:21:34.060]   (silence)
[00:21:34.060 --> 00:21:44.060]   (silence)
[00:21:44.060 --> 00:21:46.220]   (silence)
[00:21:46.220 --> 00:21:58.220]   (silence)
[00:21:58.220 --> 00:22:10.220]   (silence)
[00:22:10.220 --> 00:22:12.380]   (silence)
[00:22:12.380 --> 00:22:22.380]   (silence)
[00:22:22.380 --> 00:22:30.380]   (silence)
[00:22:30.380 --> 00:22:32.540]   (silence)
[00:22:32.540 --> 00:22:44.540]   (silence)
[00:22:44.540 --> 00:22:56.540]   (silence)
[00:22:56.540 --> 00:22:58.700]   (silence)
[00:22:58.700 --> 00:23:08.700]   (silence)
[00:23:08.700 --> 00:23:18.700]   (silence)
[00:23:18.700 --> 00:23:20.860]   (silence)
[00:23:20.860 --> 00:23:30.860]   (silence)
[00:23:30.860 --> 00:23:40.860]   (silence)
[00:23:40.860 --> 00:23:43.020]   (silence)
[00:23:43.020 --> 00:23:53.020]   (silence)
[00:23:53.020 --> 00:24:03.020]   (silence)
[00:24:03.020 --> 00:24:05.180]   (silence)
[00:24:05.180 --> 00:24:15.180]   (silence)
[00:24:15.180 --> 00:24:25.180]   (silence)
[00:24:25.180 --> 00:24:27.340]   (silence)
[00:24:27.340 --> 00:24:37.340]   (silence)
[00:24:37.340 --> 00:24:49.340]   (silence)
[00:24:49.340 --> 00:24:51.500]   (silence)
[00:24:51.500 --> 00:25:03.500]   (silence)
[00:25:03.500 --> 00:25:15.500]   (silence)
[00:25:15.500 --> 00:25:17.660]   (silence)
[00:25:17.660 --> 00:25:27.660]   (silence)
[00:25:27.660 --> 00:25:37.660]   (silence)
[00:25:37.660 --> 00:25:39.820]   (silence)
[00:25:39.820 --> 00:25:49.820]   (silence)
[00:25:49.820 --> 00:25:59.820]   (silence)
[00:25:59.820 --> 00:26:01.980]   (silence)
[00:26:01.980 --> 00:26:11.980]   (silence)
[00:26:11.980 --> 00:26:21.980]   (silence)
[00:26:21.980 --> 00:26:24.140]   (silence)
[00:26:24.140 --> 00:26:34.140]   (silence)
[00:26:34.140 --> 00:26:44.140]   (silence)
[00:26:44.140 --> 00:26:46.300]   (silence)
[00:26:46.300 --> 00:26:56.300]   (silence)
[00:26:56.300 --> 00:27:06.300]   (silence)
[00:27:06.300 --> 00:27:08.460]   (silence)
[00:27:08.460 --> 00:27:18.460]   (silence)
[00:27:18.460 --> 00:27:28.460]   (silence)
[00:27:28.460 --> 00:27:30.620]   (silence)
[00:27:30.620 --> 00:27:40.620]   (silence)
[00:27:40.620 --> 00:27:50.620]   (silence)
[00:27:50.620 --> 00:27:52.780]   (silence)
[00:27:52.780 --> 00:28:02.780]   (silence)
[00:28:02.780 --> 00:28:12.780]   (silence)
[00:28:12.780 --> 00:28:14.940]   (silence)
[00:28:14.940 --> 00:28:24.940]   (silence)
[00:28:24.940 --> 00:28:34.940]   (silence)
[00:28:34.940 --> 00:28:37.100]   (silence)
[00:28:37.100 --> 00:28:47.100]   (silence)
[00:28:47.100 --> 00:28:57.100]   (silence)
[00:28:57.100 --> 00:28:59.260]   (silence)
[00:28:59.260 --> 00:29:09.260]   (silence)
[00:29:09.260 --> 00:29:19.260]   (silence)
[00:29:19.260 --> 00:29:21.420]   (silence)
[00:29:21.420 --> 00:29:31.420]   (silence)
[00:29:31.420 --> 00:29:41.420]   (silence)
[00:29:41.420 --> 00:29:43.580]   (silence)
[00:29:43.580 --> 00:29:57.580]   (silence)
[00:29:57.580 --> 00:29:59.740]   (silence)
[00:29:59.740 --> 00:30:09.740]   (silence)
[00:30:09.740 --> 00:30:19.740]   (silence)
[00:30:19.740 --> 00:30:21.900]   (silence)
[00:30:21.900 --> 00:30:31.900]   (silence)
[00:30:31.900 --> 00:30:41.900]   (silence)
[00:30:41.900 --> 00:30:44.060]   (silence)
[00:30:44.060 --> 00:30:54.060]   (silence)
[00:30:54.060 --> 00:31:04.060]   (silence)
[00:31:04.060 --> 00:31:06.220]   (silence)
[00:31:06.220 --> 00:31:16.220]   (silence)
[00:31:16.220 --> 00:31:26.220]   (silence)
[00:31:26.220 --> 00:31:28.380]   (silence)
[00:31:28.380 --> 00:31:38.380]   (silence)
[00:31:38.380 --> 00:31:48.380]   (silence)
[00:31:48.380 --> 00:31:50.540]   (silence)
[00:31:50.540 --> 00:32:04.540]   (silence)
[00:32:04.540 --> 00:32:06.700]   (silence)
[00:32:06.700 --> 00:32:16.700]   (silence)
[00:32:16.700 --> 00:32:26.700]   (silence)
[00:32:26.700 --> 00:32:28.860]   (silence)
[00:32:28.860 --> 00:32:38.860]   (silence)
[00:32:38.860 --> 00:32:48.860]   (silence)
[00:32:48.860 --> 00:32:51.020]   (silence)
[00:32:51.020 --> 00:33:01.020]   (silence)
[00:33:01.020 --> 00:33:11.020]   (silence)
[00:33:11.020 --> 00:33:13.180]   (silence)
[00:33:13.180 --> 00:33:23.180]   (silence)
[00:33:23.180 --> 00:33:33.180]   (silence)
[00:33:33.180 --> 00:33:35.340]   (silence)
[00:33:35.340 --> 00:33:45.340]   (silence)
[00:33:45.340 --> 00:33:55.340]   (silence)
[00:33:55.340 --> 00:33:57.500]   (silence)
[00:33:57.500 --> 00:34:07.500]   (silence)
[00:34:07.500 --> 00:34:17.500]   (silence)
[00:34:17.500 --> 00:34:19.660]   (silence)
[00:34:19.660 --> 00:34:29.660]   (silence)
[00:34:29.660 --> 00:34:39.660]   (silence)
[00:34:39.660 --> 00:34:41.820]   (silence)
[00:34:41.820 --> 00:34:51.820]   (silence)
[00:34:51.820 --> 00:35:01.820]   (silence)
[00:35:01.820 --> 00:35:03.980]   (silence)
[00:35:03.980 --> 00:35:15.980]   (silence)
[00:35:15.980 --> 00:35:27.980]   (silence)
[00:35:27.980 --> 00:35:30.140]   (silence)
[00:35:30.140 --> 00:35:40.140]   (silence)
[00:35:40.140 --> 00:35:50.140]   (silence)
[00:35:50.140 --> 00:35:52.300]   (silence)
[00:35:52.300 --> 00:36:02.300]   (silence)
[00:36:02.300 --> 00:36:12.300]   (silence)
[00:36:12.300 --> 00:36:14.460]   (silence)
[00:36:14.460 --> 00:36:24.460]   (silence)
[00:36:24.460 --> 00:36:34.460]   (silence)
[00:36:34.460 --> 00:36:36.620]   (silence)
[00:36:36.620 --> 00:36:46.620]   (silence)
[00:36:46.620 --> 00:36:56.620]   (silence)
[00:36:56.620 --> 00:36:58.780]   (silence)
[00:36:58.780 --> 00:37:08.780]   (silence)
[00:37:08.780 --> 00:37:18.780]   (silence)
[00:37:18.780 --> 00:37:20.940]   (silence)
[00:37:20.940 --> 00:37:30.940]   (silence)
[00:37:30.940 --> 00:37:40.940]   (silence)
[00:37:40.940 --> 00:37:43.100]   (silence)
[00:37:43.100 --> 00:37:53.100]   (silence)
[00:37:53.100 --> 00:38:03.100]   (silence)
[00:38:03.100 --> 00:38:05.260]   (silence)
[00:38:05.260 --> 00:38:15.260]   (silence)
[00:38:15.260 --> 00:38:25.260]   (silence)
[00:38:25.260 --> 00:38:27.420]   (silence)
[00:38:27.420 --> 00:38:37.420]   (silence)
[00:38:37.420 --> 00:38:47.420]   (silence)
[00:38:47.420 --> 00:38:49.580]   (silence)
[00:38:49.580 --> 00:38:59.580]   (silence)
[00:38:59.580 --> 00:39:09.580]   (silence)
[00:39:09.580 --> 00:39:11.740]   (silence)
[00:39:11.740 --> 00:39:21.740]   (silence)
[00:39:21.740 --> 00:39:31.740]   (silence)
[00:39:31.740 --> 00:39:33.900]   (silence)
[00:39:33.900 --> 00:39:43.900]   (silence)
[00:39:43.900 --> 00:39:53.900]   (silence)
[00:39:53.900 --> 00:39:56.060]   (silence)
[00:39:56.060 --> 00:40:06.060]   (silence)
[00:40:06.060 --> 00:40:16.060]   (silence)
[00:40:16.060 --> 00:40:18.220]   (silence)
[00:40:18.220 --> 00:40:28.220]   (silence)
[00:40:28.220 --> 00:40:38.220]   (silence)
[00:40:38.220 --> 00:40:40.380]   (silence)
[00:40:40.380 --> 00:40:50.380]   (silence)
[00:40:50.380 --> 00:41:00.380]   (silence)
[00:41:00.380 --> 00:41:02.540]   (silence)
[00:41:02.540 --> 00:41:12.540]   (silence)
[00:41:12.540 --> 00:41:22.540]   (silence)
[00:41:22.540 --> 00:41:24.700]   (silence)
[00:41:24.700 --> 00:41:34.700]   (silence)
[00:41:34.700 --> 00:41:44.700]   (silence)
[00:41:44.700 --> 00:41:46.860]   (silence)
[00:41:46.860 --> 00:41:56.860]   (silence)
[00:41:56.860 --> 00:42:06.860]   (silence)
[00:42:06.860 --> 00:42:09.020]   (silence)
[00:42:09.020 --> 00:42:19.020]   (silence)
[00:42:19.020 --> 00:42:29.020]   (silence)
[00:42:29.020 --> 00:42:31.180]   (silence)
[00:42:31.180 --> 00:42:41.180]   (silence)
[00:42:41.180 --> 00:42:51.180]   (silence)
[00:42:51.180 --> 00:42:53.340]   (silence)
[00:42:53.340 --> 00:43:03.340]   (silence)
[00:43:03.340 --> 00:43:13.340]   (silence)
[00:43:13.340 --> 00:43:15.500]   (silence)
[00:43:15.500 --> 00:43:25.500]   (silence)
[00:43:25.500 --> 00:43:35.500]   (silence)
[00:43:35.500 --> 00:43:37.660]   (silence)
[00:43:37.660 --> 00:43:47.660]   (silence)
[00:43:47.660 --> 00:43:57.660]   (silence)
[00:43:57.660 --> 00:43:59.820]   (silence)
[00:43:59.820 --> 00:44:09.820]   (silence)
[00:44:09.820 --> 00:44:19.820]   (silence)
[00:44:19.820 --> 00:44:21.980]   (silence)
[00:44:21.980 --> 00:44:31.980]   (silence)
[00:44:31.980 --> 00:44:41.980]   (silence)
[00:44:41.980 --> 00:44:44.140]   (silence)
[00:44:44.140 --> 00:44:54.140]   (silence)
[00:44:54.140 --> 00:45:04.140]   (silence)
[00:45:04.140 --> 00:45:06.300]   (silence)
[00:45:06.300 --> 00:45:16.300]   (silence)
[00:45:16.300 --> 00:45:26.300]   (silence)
[00:45:26.300 --> 00:45:28.460]   (silence)
[00:45:28.460 --> 00:45:38.460]   (silence)
[00:45:38.460 --> 00:45:48.460]   (silence)
[00:45:48.460 --> 00:45:50.620]   (silence)
[00:45:50.620 --> 00:46:00.620]   (silence)
[00:46:00.620 --> 00:46:10.620]   (silence)
[00:46:10.620 --> 00:46:12.780]   (silence)
[00:46:12.780 --> 00:46:22.780]   (silence)
[00:46:22.780 --> 00:46:32.780]   (silence)
[00:46:32.780 --> 00:46:34.940]   (silence)
[00:46:34.940 --> 00:46:44.940]   (silence)
[00:46:44.940 --> 00:46:54.940]   (silence)
[00:46:54.940 --> 00:46:57.100]   (silence)
[00:46:57.100 --> 00:47:07.100]   (silence)
[00:47:07.100 --> 00:47:17.100]   (silence)
[00:47:17.100 --> 00:47:19.260]   (silence)
[00:47:19.260 --> 00:47:29.260]   (silence)
