
[00:00:00.000 --> 00:00:10.520]   Father, we thank you.
[00:04:13.360 --> 00:04:20.720]   So when sin comes in, that Sabbath that we had in the presence of God is broken, right?
[00:04:20.720 --> 00:04:26.600]   So when somebody is in sin, another way to describe it is unrest.
[00:04:26.600 --> 00:04:31.480]   And that's why, again, when we study the book of Hebrews, He describes salvation as entering
[00:04:31.480 --> 00:04:36.160]   the Sabbath, and He says to make every effort to enter into that Sabbath.
[00:04:36.160 --> 00:04:41.200]   So the practice of Sabbath, ultimately, the restoration of Sabbath, the true Sabbath found
[00:04:41.200 --> 00:04:45.620]   in Christ, is another way to describe salvation itself.
[00:04:45.620 --> 00:04:50.220]   So you can say the whole redemptive history is to bring us back to that seventh day Sabbath
[00:04:50.220 --> 00:04:56.920]   that God entered, that was broken when sin came into the world.
[00:04:56.920 --> 00:05:00.040]   The Sabbath served as a sign between God and His covenant people.
[00:05:00.040 --> 00:05:05.640]   And details of this are not mentioned all of it in Exodus 23, or Leviticus 23.
[00:05:05.640 --> 00:05:07.320]   It's all over the book of Exodus.
[00:05:07.320 --> 00:05:10.440]   It's in the book of Deuteronomy and other parts.
[00:05:10.440 --> 00:05:14.680]   So I'm going to reference that, but a lot of these things may not be specifically mentioned
[00:05:14.680 --> 00:05:18.000]   in chapter 23.
[00:05:18.000 --> 00:05:21.760]   Then He says, "It is the Sabbath to the Lord in all your dwellings."
[00:05:21.760 --> 00:05:28.880]   So this is commanded by God, that this is something that they were...it was not a suggestion.
[00:05:28.880 --> 00:05:34.440]   In fact, the penalty for breaking the Sabbath was capital punishment.
[00:05:34.440 --> 00:05:39.520]   To break the Sabbath and to disrespect the Sabbath basically meant to basically shake
[00:05:39.520 --> 00:05:42.600]   your fist at God and saying, "I don't need you."
[00:05:42.600 --> 00:05:44.180]   And so it was a very serious thing.
[00:05:44.180 --> 00:05:49.840]   So even though He lays out these seven feasts and this particular Sabbath, this is not like
[00:05:49.840 --> 00:05:50.840]   holiday today.
[00:05:50.840 --> 00:05:54.940]   It was, "Oh, well, Thanksgiving, we'll celebrate it on Thursday or Wednesday, or I might take
[00:05:54.940 --> 00:05:56.480]   a break, not take a break."
[00:05:56.480 --> 00:06:00.320]   For the Jews, this was not an option.
[00:06:00.320 --> 00:06:04.120]   Not working on the Sabbath was mandatory.
[00:06:04.120 --> 00:06:07.080]   Mandatory meaning like you don't get a slap on the hand.
[00:06:07.080 --> 00:06:08.360]   It was capital punishment.
[00:06:08.360 --> 00:06:11.880]   And the seven feasts were to be approached in the same manner.
[00:06:11.880 --> 00:06:16.360]   That's why He puts His name on it and said, "I am the Lord," meaning that this is not
[00:06:16.360 --> 00:06:17.360]   a suggestion.
[00:06:17.360 --> 00:06:20.520]   This is not coming from the priests.
[00:06:20.520 --> 00:06:24.440]   This is not a think tank, a group of them had a discussion.
[00:06:24.440 --> 00:06:31.120]   He said, "God Himself is saying that this is something you need to take seriously."
[00:06:31.120 --> 00:06:36.360]   There are seven feasts of the Lord that is mentioned in chapter 23, and these were to
[00:06:36.360 --> 00:06:38.400]   be celebrated each year in Leviticus.
[00:06:38.400 --> 00:06:42.920]   So some of them lasted maybe a week, some of them it was one day.
[00:06:42.920 --> 00:06:50.180]   But collectively, just the seven feasts, if you put it all together, it could have easily
[00:06:50.180 --> 00:06:51.880]   gone into several months.
[00:06:51.880 --> 00:06:55.960]   Today, when we think about Christmas, it's usually one day.
[00:06:55.960 --> 00:06:59.880]   You might get a whole week off, or a lot of you will get a whole week off, or you have
[00:06:59.880 --> 00:07:03.160]   Thanksgiving, you might get Thanksgiving and a couple of days off after that.
[00:07:03.160 --> 00:07:06.520]   And then you have a few days just scattered, and you put it all together, it might be a
[00:07:06.520 --> 00:07:09.520]   total of maybe about three weeks.
[00:07:09.520 --> 00:07:16.080]   But the Jewish calendar, if you put all of that together, and the seven feasts were only
[00:07:16.080 --> 00:07:19.240]   the major things, but there's a lot of other things that they celebrate.
[00:07:19.240 --> 00:07:23.480]   So if you look at the Jewish calendar, we're talking about a huge chunk of time in their
[00:07:23.480 --> 00:07:29.720]   calendar where they took time to remember specific things of God, and this was commanded.
[00:07:29.720 --> 00:07:34.920]   He said that these feasts are literally called appointed times.
[00:07:34.920 --> 00:07:40.840]   In the ESV and the NASV, it says it's holy convocation.
[00:07:40.840 --> 00:07:45.120]   In the NIV, it's called the sacred assembly.
[00:07:45.120 --> 00:07:49.760]   Basically it means that this was an appointed, sacred convocation that was supposed to be
[00:07:49.760 --> 00:07:57.480]   set apart each year during this time.
[00:07:57.480 --> 00:08:02.200]   These times were celebrations, these times of celebration are important not only to Israel,
[00:08:02.200 --> 00:08:06.200]   but also to overall message of the biblical narrative.
[00:08:06.200 --> 00:08:10.580]   So the reason why these seven feasts are so important for us to study is because ultimately
[00:08:10.580 --> 00:08:12.520]   it finds fulfillment in Christ.
[00:08:12.520 --> 00:08:19.120]   So there's something about these feasts that helps us better understand what Christ did
[00:08:19.120 --> 00:08:22.240]   on the cross.
[00:08:22.240 --> 00:08:26.920]   So it's not only relevant for Israel's history, but also for us in the new covenant.
[00:08:26.920 --> 00:08:30.320]   So there's seven specific feasts.
[00:08:30.320 --> 00:08:35.520]   The Passover is the beginning in the Jewish calendar.
[00:08:35.520 --> 00:08:40.000]   The Feast of Unleavened Bread, the Feast of First Fruit, Feast of Weeks, oftentimes called
[00:08:40.000 --> 00:08:45.320]   the Feast of Pentecost, Feast of Trumpets, Day of Atonement, and Feast of Tabernacle.
[00:08:45.320 --> 00:08:56.760]   And so we're going to be looking at the three significances of these seven feasts.
[00:08:56.760 --> 00:09:01.280]   So as I mentioned to you, I can go into detail on each one of these feasts and spend the
[00:09:01.280 --> 00:09:05.520]   whole day just talking about what the Feast of Tabernacle did and why God commanded that
[00:09:05.520 --> 00:09:09.720]   and what they practiced and what did these practices point to.
[00:09:09.720 --> 00:09:14.880]   And if we had more time, I think it would be beneficial to do that, but to do that we
[00:09:14.880 --> 00:09:19.440]   would have to take seven weeks because each one of them has that much material.
[00:09:19.440 --> 00:09:25.240]   Not necessarily in Leviticus, but if you collect all the other passages, there's quite a bit
[00:09:25.240 --> 00:09:26.240]   of material.
[00:09:26.240 --> 00:09:30.660]   But the way that we're going to be approaching it tonight is to give you an overview of why
[00:09:30.660 --> 00:09:31.660]   this is here.
[00:09:31.660 --> 00:09:33.160]   So there's three significances.
[00:09:33.160 --> 00:09:37.760]   One is it pointed to a current blessing.
[00:09:37.760 --> 00:09:43.480]   So every one of these things, these feasts, are attached to some kind of agricultural
[00:09:43.480 --> 00:09:45.920]   harvest.
[00:09:45.920 --> 00:09:48.040]   So it wasn't random, right?
[00:09:48.040 --> 00:09:54.740]   So if you had a Feast of Tabernacle, they celebrated because of something physical that
[00:09:54.740 --> 00:09:58.840]   was happening at that time of the year.
[00:09:58.840 --> 00:10:03.600]   The second significance was to celebrate historical blessings.
[00:10:03.600 --> 00:10:10.400]   So every one of these festivals reminded them of some activity of God, something that God
[00:10:10.400 --> 00:10:12.040]   did for them.
[00:10:12.040 --> 00:10:17.220]   And so they took time off to remember.
[00:10:17.220 --> 00:10:22.200]   And then the ultimate fulfillment, the third, they all had a prophetic message that pointed
[00:10:22.200 --> 00:10:25.680]   to the fulfillment in Christ.
[00:10:25.680 --> 00:10:28.720]   So remember those three, right?
[00:10:28.720 --> 00:10:35.540]   So it's connected to some kind of harvest that was going on, and during that harvest,
[00:10:35.540 --> 00:10:42.700]   they remembered something in Israel's history, right, that triggered that.
[00:10:42.700 --> 00:10:48.300]   But then the ultimate fulfillment ultimately pointed to what Christ was going to do, right?
[00:10:48.300 --> 00:10:55.720]   So every one of these feasts had three specific elements.
[00:10:55.720 --> 00:10:58.720]   So let's look at the first one, the current blessing.
[00:10:58.720 --> 00:11:05.020]   The feasts all had certain harvests attached to it to be celebrated when to give thanks
[00:11:05.020 --> 00:11:09.960]   for fruitfulness and to acknowledge the worship of God for a particular harvest.
[00:11:09.960 --> 00:11:19.280]   Again, the reason behind this is to make sure that whatever physical blessings that they
[00:11:19.280 --> 00:11:24.860]   had, that they were to constantly acknowledge their dependence on God.
[00:11:24.860 --> 00:11:28.440]   So even in the Lord's Prayer, you know how we pray to give us this day our daily bread,
[00:11:28.440 --> 00:11:33.920]   and we talked about that last week, how that wasn't just triggered because of the manna,
[00:11:33.920 --> 00:11:39.580]   that was embedded into the Levitical system that people understood that their daily sustenance
[00:11:39.580 --> 00:11:41.920]   was dependent upon God.
[00:11:41.920 --> 00:11:48.080]   And so part of the reason for these feasts was whenever they had the harvest of any kind,
[00:11:48.080 --> 00:11:54.240]   it would remind them and point them to recognize that they had the rain because of God, that
[00:11:54.240 --> 00:12:00.040]   the harvest was fruitful because of God, that they're able to eat and to live and have
[00:12:00.040 --> 00:12:01.680]   their being ultimately because of God.
[00:12:01.680 --> 00:12:05.960]   So it's to acknowledge God, right?
[00:12:05.960 --> 00:12:16.480]   So these harvests that triggered these feasts, first three of them are spring feasts.
[00:12:16.480 --> 00:12:21.240]   And the beginning of their calendar usually started somewhere in March and April, right?
[00:12:21.240 --> 00:12:26.680]   So the spring feasts, they were Passover, Feast of Unleavened Bread, and Feast of First
[00:12:26.680 --> 00:12:27.680]   Fruit.
[00:12:27.680 --> 00:12:34.480]   They were all triggered because of the beginning of the harvest.
[00:12:34.480 --> 00:12:38.480]   Now so you had the harvest of the wheat, harvest of the barley, and so each one of them are
[00:12:38.480 --> 00:12:46.400]   attached to a different festival, but overall, the spring feasts were celebrated at the beginning
[00:12:46.400 --> 00:12:47.440]   of the harvest.
[00:12:47.440 --> 00:12:53.120]   So if you know, again, if you study 23, you'll know that Passover is mentioned in verse 4
[00:12:53.120 --> 00:12:54.120]   just in passing.
[00:12:54.120 --> 00:12:57.200]   Nothing is mentioned about it other than you need to celebrate Passover, and then he goes
[00:12:57.200 --> 00:13:00.360]   right into the Feast of Unleavened Bread.
[00:13:00.360 --> 00:13:05.080]   And the reason why that is is there's so much teaching on the Passover in other passages,
[00:13:05.080 --> 00:13:09.300]   it's kind of already embedded into the Jewish culture, right?
[00:13:09.300 --> 00:13:13.440]   And so he goes in and gives more detailed instructions about the unleavened bread.
[00:13:13.440 --> 00:13:18.040]   And oftentimes, the Passover and unleavened bread is mentioned together, right?
[00:13:18.040 --> 00:13:24.840]   They'll say a Feast of Unleavened Bread, and they include the Passover because the Passover
[00:13:24.840 --> 00:13:29.920]   was celebrated on one day, and then that triggered the Feast of Booths.
[00:13:29.920 --> 00:13:32.400]   I mean, sorry, Feast of Unleavened Bread.
[00:13:32.400 --> 00:13:35.200]   So it was celebrated back to back, right?
[00:13:35.200 --> 00:13:37.480]   So it happened simultaneously.
[00:13:37.480 --> 00:13:42.120]   And that's the reason why oftentimes when they say Passover, they're already assuming
[00:13:42.120 --> 00:13:43.640]   the unleavened bread.
[00:13:43.640 --> 00:13:47.400]   But again, all of this was at the Spring Festival.
[00:13:47.400 --> 00:13:55.440]   The Summer Feast was the Feast or the Weeks, Feast of Pentecost, which happened 50 days
[00:13:55.440 --> 00:14:00.900]   after the last Spring Feast, okay?
[00:14:00.900 --> 00:14:10.440]   And it pointed to a wheat harvest, and then the Fall Feast, the Feast of Trumpets, Day
[00:14:10.440 --> 00:14:16.440]   of Atonement, Feast of Booths, and all of that pointed to the end of the harvest, okay?
[00:14:16.440 --> 00:14:22.760]   So they had the harvesting of grapes or sheep shearing or whatever it may be.
[00:14:22.760 --> 00:14:29.200]   All of these feasts were specifically related to some kind of harvest that was taking place
[00:14:29.200 --> 00:14:34.280]   at that particular time.
[00:14:34.280 --> 00:14:37.360]   Now why was this so significant?
[00:14:37.360 --> 00:14:44.880]   So in James 117, it says, "Every good thing given and every perfect gift is from above.
[00:14:44.880 --> 00:14:50.080]   Coming down from the Father lies with whom there is no variation or shifting shadow."
[00:14:50.080 --> 00:14:58.640]   And so the moment that we forget that whatever good that we have is from God, we become self-dependent,
[00:14:58.640 --> 00:15:00.560]   self-reliant, right?
[00:15:00.560 --> 00:15:06.820]   And we think somehow, "I woke up this morning because I willed myself to do that," right?
[00:15:06.820 --> 00:15:07.820]   Now we may think so.
[00:15:07.820 --> 00:15:11.760]   I mean, there's always theologians that are debating between does man have free will or
[00:15:11.760 --> 00:15:16.960]   not, but just logically speaking, there's like a hundred thousand things that needs
[00:15:16.960 --> 00:15:22.440]   to be taking place all at the same time just for us to wake up every day, right?
[00:15:22.440 --> 00:15:27.120]   Whether it's the sun, whether it's the rotation, whether it's the heat, whether it's the cold,
[00:15:27.120 --> 00:15:29.560]   whether it's the oxygen, speed of the rotation.
[00:15:29.560 --> 00:15:34.320]   I mean, there's a hundred thousand things that needs to happen in order for us to live.
[00:15:34.320 --> 00:15:41.140]   So for a man to say, "I willed myself to live," is just supreme arrogance, right?
[00:15:41.140 --> 00:15:45.880]   That's why when the Bible says, when God just describes himself as I am, he is truly the
[00:15:45.880 --> 00:15:49.440]   only being that is completely independent of anything else.
[00:15:49.440 --> 00:15:51.160]   He is self-existent.
[00:15:51.160 --> 00:15:53.960]   Everything else depends on him, right?
[00:15:53.960 --> 00:15:57.160]   Not only did he create all things, he sustains all things.
[00:15:57.160 --> 00:16:03.280]   So if God chose not to sustain it, all of creation would just deteriorate and die, right?
[00:16:03.280 --> 00:16:07.440]   And so this was a constant reminder to the nation of Israel of their dependence upon
[00:16:07.440 --> 00:16:08.440]   God.
[00:16:08.440 --> 00:16:15.000]   I think part of the reason why it's harder for us to remember God, you know, people who
[00:16:15.000 --> 00:16:19.520]   live in the city, is because we're not dependent upon rain for our sustenance.
[00:16:19.520 --> 00:16:25.480]   You know, if you happen to live on a farm and raise sheep or grow corn or whatever,
[00:16:25.480 --> 00:16:29.600]   you know, you're dependent upon things that you can't control.
[00:16:29.600 --> 00:16:34.640]   So you're constantly like praying before God and then when rain comes, "Thank God you sent
[00:16:34.640 --> 00:16:35.640]   rain."
[00:16:35.640 --> 00:16:38.920]   But if we have problems, we just find another job.
[00:16:38.920 --> 00:16:39.920]   You know what I mean?
[00:16:39.920 --> 00:16:41.960]   We invest better or we find stocks.
[00:16:41.960 --> 00:16:47.880]   And so everything around us is man-made for the most part, right?
[00:16:47.880 --> 00:16:54.280]   I mean, obviously even the material here ultimately is made by God, but a man put this together.
[00:16:54.280 --> 00:16:58.680]   So you know, our tendency is every once in a while we might travel and go up to the mountains
[00:16:58.680 --> 00:17:00.480]   and then we say, "Oh, God is so good."
[00:17:00.480 --> 00:17:04.340]   But we don't think like that when we're here, right?
[00:17:04.340 --> 00:17:11.040]   And so the harvest, the festivals was to get them to slow down and to remind them that
[00:17:11.040 --> 00:17:14.240]   these ultimately without God, we can't exist.
[00:17:14.240 --> 00:17:19.400]   And so remember the sin that is mentioned in Romans chapter one, "For even though they
[00:17:19.400 --> 00:17:23.160]   knew God, they did not honor him as God or give thanks, but they became futile in their
[00:17:23.160 --> 00:17:26.360]   speculations and their foolish heart was darkened.
[00:17:26.360 --> 00:17:29.680]   Then to be wise, they became fools and exchanged the glory of the incorruptible God for an
[00:17:29.680 --> 00:17:34.200]   image in the form of corruptible man and birds and four-footed animals and crawling creatures."
[00:17:34.200 --> 00:17:41.320]   So everything about the harvest, ultimately it applies to all mankind, whether they acknowledge
[00:17:41.320 --> 00:17:43.060]   him or not, right?
[00:17:43.060 --> 00:17:44.360]   Because God is the one who created.
[00:17:44.360 --> 00:17:54.100]   So even if they don't acknowledge God as creator, harvest ultimately affects everybody, right?
[00:17:54.100 --> 00:17:59.880]   So the first part of it is a reminder to mankind, which Israel is a part of, is a reminder to
[00:17:59.880 --> 00:18:01.660]   mankind how dependent they are.
[00:18:01.660 --> 00:18:09.580]   But the second part of it is specific to the nation of Israel.
[00:18:09.580 --> 00:18:15.780]   The feast reminded them of some significant historical event of how God delivered Israel,
[00:18:15.780 --> 00:18:19.340]   sustained them, established them as a nation.
[00:18:19.340 --> 00:18:26.720]   So all of it reminds Israel, right, of God's deliverance.
[00:18:26.720 --> 00:18:28.200]   So let's look at the Passover.
[00:18:28.200 --> 00:18:33.400]   Now, Passover, a lot of us already know what that is because every time we have communion,
[00:18:33.400 --> 00:18:35.040]   we're reminded of that, right?
[00:18:35.040 --> 00:18:38.760]   If you study the New Testament, you know, one of the most important event that takes
[00:18:38.760 --> 00:18:43.280]   place in the New Testament is Jesus at the Passover meal says, "Do this in remembrance
[00:18:43.280 --> 00:18:44.280]   of me."
[00:18:44.280 --> 00:18:51.400]   So we know that it celebrated how God spared the nation of Israel by passing over the homes
[00:18:51.400 --> 00:18:53.460]   that were covered by the blood of the lamb.
[00:18:53.460 --> 00:18:59.080]   And clearly Jesus' blood represented that blood, right?
[00:18:59.080 --> 00:19:05.720]   But to the nation of Israel before Jesus came, it was to remind them of how God delivered
[00:19:05.720 --> 00:19:08.260]   the nation of Israel, right?
[00:19:08.260 --> 00:19:12.220]   And so every time they had the Passover, it was to remind the nation that the only reason
[00:19:12.220 --> 00:19:17.960]   why they even existed, why they were independent, and why they became a nation was because God
[00:19:17.960 --> 00:19:20.240]   had mercy on them, right?
[00:19:20.240 --> 00:19:24.340]   So their thankfulness goes beyond just the harvest.
[00:19:24.340 --> 00:19:25.340]   They're very sustenant.
[00:19:25.340 --> 00:19:29.040]   Their nation, their sacrifices, all of it is because God delivered them.
[00:19:29.040 --> 00:19:32.120]   And that's what the Passover reminded them of.
[00:19:32.120 --> 00:19:38.400]   Feast of Unleavened Bread, right, which happened right after the Passover, it celebrated how
[00:19:38.400 --> 00:19:41.380]   God delivered them, right?
[00:19:41.380 --> 00:19:45.280]   So during the Feast of Unleavened Bread, they would search the home and make sure that there's
[00:19:45.280 --> 00:19:48.240]   no yeast in the house, each representing sin.
[00:19:48.240 --> 00:19:54.400]   And they were to clean that all out and they had to eat their meal in haste, right?
[00:19:54.400 --> 00:19:55.520]   And there was no yeast.
[00:19:55.520 --> 00:19:59.980]   And so every time they did that, again, it was they acted out how God delivered the nation
[00:19:59.980 --> 00:20:01.800]   of Israel, how they didn't have time.
[00:20:01.800 --> 00:20:04.080]   So they didn't have time for the yeast.
[00:20:04.080 --> 00:20:07.080]   And so they hurried and ate in haste.
[00:20:07.080 --> 00:20:12.360]   And so every time they celebrated that, it reminded them not only the Passover, but how
[00:20:12.360 --> 00:20:17.840]   God physically led them out of Israel.
[00:20:17.840 --> 00:20:21.320]   Feast of Firstfruits.
[00:20:21.320 --> 00:20:27.400]   Feast of Firstfruits was to remind the nation of Israel that despite them out in the desert,
[00:20:27.400 --> 00:20:30.720]   when they came into the promised land, God caused them to be fruitful.
[00:20:30.720 --> 00:20:36.600]   And the first harvest that they dedicated to the Lord was what this thing pointed to,
[00:20:36.600 --> 00:20:37.600]   right?
[00:20:37.600 --> 00:20:46.360]   That not only did God deliver them by covering over them by the blood of the lamb, not only
[00:20:46.360 --> 00:20:50.560]   did he deliver them in haste out of Egypt, but even after they left, God provided for
[00:20:50.560 --> 00:20:52.560]   them miraculously.
[00:20:52.560 --> 00:20:57.560]   And so the Feast of Firstfruits reminded them of God's caring sustenance for them.
[00:20:57.560 --> 00:21:02.000]   So when they gave their offering, it was to say, "All of this is because you gave this
[00:21:02.000 --> 00:21:03.880]   to us," right?
[00:21:03.880 --> 00:21:05.880]   And that was the Feast of Firstfruits.
[00:21:05.880 --> 00:21:24.640]   Okay, we're going to come back to that later.
[00:21:24.640 --> 00:21:34.880]   The Pentecost, or the Feast of Weeks.
[00:21:34.880 --> 00:21:38.040]   This celebrated the inauguration of the Mosaic Covenant.
[00:21:38.040 --> 00:21:40.840]   The word Pentecost literally means 50.
[00:21:40.840 --> 00:21:47.480]   And the reason why they celebrated this, again, the historical aspect of it, was that 50 days
[00:21:47.480 --> 00:21:53.040]   after they left Egypt was when Moses goes up to Mount Sinai and he receives the law.
[00:21:53.040 --> 00:22:00.360]   So the Pentecost was the celebration of receiving the Mosaic Law, the first covenant that Israel
[00:22:00.360 --> 00:22:01.680]   enters into.
[00:22:01.680 --> 00:22:07.400]   Now this is really significant because this later on, something very significant happens
[00:22:07.400 --> 00:22:08.960]   in the New Testament at Pentecost.
[00:22:08.960 --> 00:22:14.880]   Some of you guys probably already know, right?
[00:22:14.880 --> 00:22:17.920]   The Feast of Trumpets.
[00:22:17.920 --> 00:22:21.800]   The Feast of Trumpets celebrated the gathering of the nation of Israel.
[00:22:21.800 --> 00:22:28.720]   So not only did God give them, but remember the whole book of Leviticus is about gathering
[00:22:28.720 --> 00:22:32.680]   the people around the tabernacle and he begins to call them his people.
[00:22:32.680 --> 00:22:35.000]   And then they start to get organized.
[00:22:35.000 --> 00:22:42.360]   And so the Feast of Trumpets, either they blew trumpets to give some sort of a command,
[00:22:42.360 --> 00:22:47.620]   or it was a declaration of something, or a calling.
[00:22:47.620 --> 00:22:51.720]   So when they blew the trumpets, everybody heard it, it meant that everybody was to gather.
[00:22:51.720 --> 00:22:56.240]   So Feast of Trumpets was to remind them that they were God's people.
[00:22:56.240 --> 00:23:00.920]   When God blows a trumpet, the people of God hear his voice in the New Testament and we
[00:23:00.920 --> 00:23:01.920]   follow him.
[00:23:01.920 --> 00:23:07.600]   So the trumpet was meant to signify God's voice that people hear and then they gather.
[00:23:07.600 --> 00:23:09.120]   And so that's what that pointed to.
[00:23:09.120 --> 00:23:10.840]   And then you guys know about the Day of Atonement.
[00:23:10.840 --> 00:23:16.720]   We studied this earlier, I think it was chapter 16.
[00:23:16.720 --> 00:23:18.720]   It celebrated his forgiveness.
[00:23:18.720 --> 00:23:24.120]   The establishment of the tabernacle, it was basically cleansing of sin of the nation
[00:23:24.120 --> 00:23:30.560]   of Israel, which made it possible for them to have a relationship with this holy God.
[00:23:30.560 --> 00:23:37.880]   That was the Feast of Day of Atonement.
[00:23:37.880 --> 00:23:42.760]   The Feast of Booths or Feast of Tabernacle.
[00:23:42.760 --> 00:23:47.800]   This feast celebrated how God sustained them through the wandering through the desert before
[00:23:47.800 --> 00:23:49.040]   entering into the promised land.
[00:23:49.040 --> 00:23:54.040]   So the Feast of Booths, during that time, they would basically live in their shack,
[00:23:54.040 --> 00:24:02.120]   a little, you know, made tent and they would sleep in there for a period of time to remember
[00:24:02.120 --> 00:24:07.000]   that during the period of wandering the wilderness, how they were nomads, right?
[00:24:07.000 --> 00:24:10.560]   And during that period of 40 years, how God was faithful to them.
[00:24:10.560 --> 00:24:13.840]   And so the Feast of Booths was to remind them.
[00:24:13.840 --> 00:24:19.160]   So all of these events pointed back to something that God did in Israel's history so that they
[00:24:19.160 --> 00:24:24.800]   wouldn't forget that the only reason why they're there is because God permitted it and God
[00:24:24.800 --> 00:24:26.440]   was gracious to them.
