
[00:00:00.000 --> 00:00:12.640]   Guilty pair bowed down with care, God gave His Son to win.
[00:56:19.120 --> 00:56:23.120]   Wash me thoroughly from my iniquity and cleanse me from my sin.
[00:56:23.120 --> 00:56:27.120]   For I know my transgressions and my sin is ever before me.
[00:56:27.120 --> 00:56:32.120]   Against you, you only, I have sinned and done what is evil in your sight,
[00:56:32.120 --> 00:56:38.120]   so that you are justified when you speak and blameless when you judge."
[00:56:38.120 --> 00:56:46.120]   This Psalm of David reminds us that our sin is always before us, before God,
[00:56:46.120 --> 00:56:49.120]   and it's very humbling.
[00:56:49.120 --> 00:56:53.120]   It should break our hearts.
[00:56:53.120 --> 00:56:56.120]   It should cause a huge burden on us.
[00:56:56.120 --> 00:57:02.120]   But the amazing thing is as children of God, we have the privilege
[00:57:02.120 --> 00:57:06.120]   to come before him and surrender it to him.
[00:57:06.120 --> 00:57:14.120]   So if you guys have any sins, hidden sins that you've been just holding back,
[00:57:14.120 --> 00:57:18.120]   been living with each and every day, surrender them to God
[00:57:18.120 --> 00:57:22.120]   as you guys sing these next songs.
[00:57:22.120 --> 00:57:26.120]   Ask God for forgiveness. Ask him to heal you.
[00:57:26.120 --> 00:57:30.120]   Ask him to bring life to you.
[00:57:30.120 --> 00:57:35.120]   And it's a reminder to us that it is not loneliness.
[00:57:35.120 --> 00:57:37.120]   It is not our circumstances.
[00:57:37.120 --> 00:57:43.120]   It is not our jobs, situations that cause us to be distant from God.
[00:57:43.120 --> 00:57:45.120]   It is our sin.
[00:57:45.120 --> 00:57:52.120]   So as James says, "Submit to God. Draw near to him, and he will draw near to you.
[00:57:52.120 --> 00:57:55.120]   Cleanse your hands. Purify your hearts.
[00:57:55.120 --> 00:58:00.120]   Humble yourselves in the presence of God, and he will exalt you."
[00:58:00.120 --> 00:58:04.120]   So take these next--as we sing these next songs,
[00:58:04.120 --> 00:58:08.120]   just repent and surrender those sins.
[00:58:09.120 --> 00:58:12.120]   [music]
[00:58:12.120 --> 00:58:15.120]   [music]
[00:58:16.120 --> 00:58:19.120]   [music]
[00:58:19.120 --> 00:58:38.120]   ♪ Create in me a clean heart, oh God, ♪
[00:58:38.120 --> 00:58:48.120]   ♪ and renew a right spirit within me. ♪
[00:58:48.120 --> 00:59:05.120]   ♪ Create in me a clean heart, oh God, ♪
[00:59:05.120 --> 00:59:18.120]   ♪ and renew a right spirit within me. ♪
[00:59:18.120 --> 00:59:31.120]   ♪ Cast me not away from thy presence, oh God, ♪
[00:59:31.120 --> 00:59:44.120]   ♪ and take not thy Holy Spirit from me. ♪
[00:59:44.120 --> 01:00:00.120]   ♪ Restore unto me the joy of thy salvation, ♪
[01:00:00.120 --> 01:00:10.120]   ♪ and renew a right spirit within me. ♪
[01:00:10.120 --> 01:00:27.120]   ♪ Create in me a clean heart, oh God, ♪
[01:00:27.120 --> 01:00:36.120]   ♪ and renew a right spirit within me. ♪
[01:00:36.120 --> 01:00:40.120]   ♪ Cast me not away. ♪
[01:00:40.120 --> 01:00:53.120]   ♪ Cast me not away from thy presence, oh Lord, ♪
[01:00:53.120 --> 01:01:06.120]   ♪ and take not thy Holy Spirit from me. ♪
[01:01:06.120 --> 01:01:22.120]   ♪ Restore unto me the joy of thy salvation, ♪
[01:01:22.120 --> 01:01:31.120]   ♪ and renew a right spirit within me. ♪
[01:01:31.120 --> 01:01:36.120]   [music]
[01:01:36.120 --> 01:01:44.120]   ♪ And renew a right spirit within me. ♪
[01:01:44.120 --> 01:01:47.120]   [music]
[01:01:49.120 --> 01:01:55.120]   [music]
[01:01:55.120 --> 01:02:02.120]   ♪ All that I am, all that I have, ♪
[01:02:02.120 --> 01:02:09.120]   ♪ I laid them down before you, oh Lord. ♪
[01:02:09.120 --> 01:02:15.120]   ♪ All my regrets, all my acclaim, ♪
[01:02:15.120 --> 01:02:24.120]   ♪ the joy and the pain, I'm making them yours. ♪
[01:02:24.120 --> 01:02:29.120]   ♪ Lord, I offer my life to you. ♪
[01:02:29.120 --> 01:02:37.120]   ♪ Everything I've been through, use it for your glory. ♪
[01:02:37.120 --> 01:02:42.120]   ♪ Lord, I offer my days to you, ♪
[01:02:42.120 --> 01:02:54.120]   ♪ lifting my praise to you as a pleasing sacrifice. ♪
[01:02:54.120 --> 01:03:02.120]   ♪ Lord, I offer you my life. ♪
[01:03:02.120 --> 01:03:04.120]   Things in the past.
[01:03:04.120 --> 01:03:11.120]   ♪ Things in the past, things yet unseen, ♪
[01:03:11.120 --> 01:03:18.120]   ♪ wishes and dreams that are yet to come true. ♪
[01:03:18.120 --> 01:03:24.120]   ♪ All of my hopes, all of my plans, ♪
[01:03:24.120 --> 01:03:33.120]   ♪ my heart and my hands are lifted to you. ♪
[01:03:33.120 --> 01:03:38.120]   ♪ Lord, I offer my life to you. ♪
[01:03:38.120 --> 01:03:46.120]   ♪ Everything I've been through, use it for your glory. ♪
[01:03:46.120 --> 01:03:51.120]   ♪ Lord, I offer my days to you, ♪
[01:03:51.120 --> 01:04:02.120]   ♪ lifting my praise to you as a pleasing sacrifice. ♪
[01:04:02.120 --> 01:04:05.120]   ♪ Lord, I offer you my life. ♪
[01:04:05.120 --> 01:04:10.120]   ♪ Lord, I offer my life to you. ♪
[01:04:10.120 --> 01:04:18.120]   ♪ Everything I've been through, use it for your glory. ♪
[01:04:18.120 --> 01:04:23.120]   ♪ Lord, I offer my days to you, ♪
[01:04:23.120 --> 01:04:35.120]   ♪ lifting my praise to you as a pleasing sacrifice. ♪
[01:04:35.120 --> 01:04:41.120]   ♪ Lord, I offer you my life. ♪
[01:04:41.120 --> 01:04:50.120]   We'll be moving on to the fourth topic.
[01:04:51.120 --> 01:04:55.120]   The fourth topic is thankfulness and hope.
[01:04:55.120 --> 01:05:01.120]   1 Thessalonians 5.18 says, "Give thanks in all circumstances,
[01:05:01.120 --> 01:05:05.120]   for this is the will of God in Christ Jesus for you."
[01:05:05.120 --> 01:05:09.120]   You know, a lot of times, it's really easy for us to be
[01:05:09.120 --> 01:05:12.120]   discontent with the situations we might be in,
[01:05:12.120 --> 01:05:16.120]   the relationships we might have, coworkers, schoolwork,
[01:05:16.120 --> 01:05:19.120]   work, whatever it is.
[01:05:19.120 --> 01:05:23.120]   But I remember something that Pastor Peter shared a couple
