
[00:00:00.000 --> 00:00:02.740]   (audio cuts out)
[00:01:44.660 --> 00:01:46.620]   when I ask you guys questions,
[00:01:46.620 --> 00:01:49.100]   and I'm gonna expect you guys to try to answer
[00:01:49.100 --> 00:01:50.820]   and then volunteer to raise your hand
[00:01:50.820 --> 00:01:53.700]   and say your answer to the question, okay?
[00:01:53.700 --> 00:01:55.700]   So please, please let's do that.
[00:01:55.700 --> 00:01:58.840]   All right, in turning to Psalm 119,
[00:01:58.840 --> 00:02:02.680]   I wanna give you guys some preliminary information
[00:02:02.680 --> 00:02:04.520]   about the Psalm, all right?
[00:02:04.520 --> 00:02:07.060]   So, first, authorship.
[00:02:07.060 --> 00:02:10.740]   In this class, I remember reading a part,
[00:02:10.740 --> 00:02:14.260]   only a portion of Psalm 119 to you,
[00:02:14.260 --> 00:02:17.940]   and telling you flat out, hey, it's young King David, okay?
[00:02:17.940 --> 00:02:21.420]   He's a young man who wants to love the word of God.
[00:02:21.420 --> 00:02:22.540]   And then I remember someone asking,
[00:02:22.540 --> 00:02:25.540]   well, hey, how come my study Bible says it's not King David?
[00:02:25.540 --> 00:02:30.100]   Well, traditionally, okay, by,
[00:02:30.100 --> 00:02:31.740]   like, if you go to old school theologians,
[00:02:31.740 --> 00:02:35.020]   if you go to Jewish tradition, King David is the author.
[00:02:35.020 --> 00:02:36.300]   If you were to talk to an individual
[00:02:36.300 --> 00:02:38.460]   who is of the Jewish religion, okay,
[00:02:38.460 --> 00:02:39.860]   not a Christian, but Jewish religion,
[00:02:39.860 --> 00:02:42.980]   he would say, Psalm 119 is for sure King David.
[00:02:42.980 --> 00:02:44.420]   And there are a lot of reasons why.
[00:02:44.420 --> 00:02:47.420]   So for me, I just, you know, when I read it,
[00:02:47.420 --> 00:02:48.620]   I just assume it's King David,
[00:02:48.620 --> 00:02:50.500]   'cause that's what I was taught, too.
[00:02:50.500 --> 00:02:53.020]   I realized there are different views, okay?
[00:02:53.020 --> 00:02:57.540]   There is a view that because of the way this person sounds
[00:02:57.540 --> 00:03:00.300]   in Psalm 119, the struggles, the difficulties,
[00:03:00.300 --> 00:03:02.940]   the pains that he has, it might be somebody
[00:03:02.940 --> 00:03:04.940]   who is in the post-exilic era,
[00:03:04.940 --> 00:03:07.420]   meaning Northern Israel has already fallen,
[00:03:07.420 --> 00:03:10.220]   Southern Israel has fallen to Babylon.
[00:03:10.220 --> 00:03:12.420]   And if you remember the time of, like,
[00:03:12.420 --> 00:03:14.900]   Daniel and his friends, and King Nebuchadnezzar,
[00:03:14.900 --> 00:03:19.300]   who was forcing everybody to obey and worship idols,
[00:03:19.300 --> 00:03:21.620]   you can imagine how, you know, devastating
[00:03:21.620 --> 00:03:23.180]   of a situation that would have been.
[00:03:23.180 --> 00:03:25.060]   People say, it sounds like that.
[00:03:25.060 --> 00:03:28.540]   So maybe it's somebody in that post-exilic time.
[00:03:28.540 --> 00:03:30.260]   Somebody else would say, you know,
[00:03:30.260 --> 00:03:32.440]   it seems like it's even worse than that,
[00:03:32.440 --> 00:03:36.060]   where the word is so far, this person is hungry for it.
[00:03:36.060 --> 00:03:39.980]   And when were they so eager to reestablish the word?
[00:03:39.980 --> 00:03:42.260]   When they were coming back to Jerusalem.
[00:03:42.260 --> 00:03:43.940]   So not only the post-exilic era,
[00:03:43.940 --> 00:03:45.900]   but the era of the return.
[00:03:45.900 --> 00:03:48.260]   So we're talking like Ezra, Nehemiah, okay?
[00:03:48.260 --> 00:03:50.560]   So about 450 BC.
[00:03:50.560 --> 00:03:54.820]   For me, sometimes that kind of logic, yes, is good,
[00:03:54.820 --> 00:03:57.060]   because you read it and you see the content,
[00:03:57.060 --> 00:03:59.100]   and you say, it sounds like somebody
[00:03:59.100 --> 00:04:00.900]   who spoke out of this context.
[00:04:00.900 --> 00:04:05.220]   For me, I still take the position that it's King David,
[00:04:05.220 --> 00:04:07.100]   and I wrote for you the reasons why.
[00:04:07.100 --> 00:04:09.480]   Okay, I'm not gonna go into detail,
[00:04:09.480 --> 00:04:13.300]   but essentially, comparing one Psalm to another,
[00:04:13.300 --> 00:04:17.200]   and the fact that this Psalm is, in many ways,
[00:04:17.200 --> 00:04:22.200]   not only big, but it's meticulously beautiful
[00:04:22.200 --> 00:04:23.740]   to a huge scale.
[00:04:23.740 --> 00:04:25.980]   And let me make sense of that.
[00:04:25.980 --> 00:04:30.260]   It's kind of like, you know, somebody who is devoted
[00:04:30.260 --> 00:04:34.000]   to writing Psalm, or writing, can write a good essay.
[00:04:34.000 --> 00:04:36.620]   Somebody who's made an entire career,
[00:04:36.620 --> 00:04:38.820]   lifelong career out of writing,
[00:04:38.820 --> 00:04:42.740]   will have huge works of art, like huge essays, or books.
[00:04:42.740 --> 00:04:43.840]   Does that make sense?
[00:04:43.840 --> 00:04:46.540]   So, in thinking about comparing different Psalms
[00:04:46.540 --> 00:04:49.300]   one to another, there's evidence that
[00:04:49.300 --> 00:04:53.760]   this kind of meticulous attention to detail,
[00:04:53.760 --> 00:04:57.300]   beautiful, like, basically this is an art, you know?
[00:04:57.300 --> 00:04:58.380]   Shows that it's King David.
[00:04:58.380 --> 00:05:00.980]   Furthermore, he calls himself your servant,
[00:05:00.980 --> 00:05:03.580]   which exists in other Davidic Psalms,
[00:05:03.580 --> 00:05:05.860]   and the psalmist mentions that he speaks of God's
[00:05:05.860 --> 00:05:09.900]   testimonies in the presence of noblemen and kings.
[00:05:09.900 --> 00:05:14.220]   He doesn't sound like, you know, just your average leader.
[00:05:14.220 --> 00:05:17.340]   He sounds like royalty, okay?
[00:05:17.340 --> 00:05:21.080]   So, that's just a tidbit about the authorship of Psalm 119.
[00:05:21.080 --> 00:05:24.860]   Moving forward to the structure of it,
[00:05:24.860 --> 00:05:28.160]   this is a massive work, okay?
[00:05:28.160 --> 00:05:30.560]   Psalm 119, as many of you guys know,
[00:05:30.560 --> 00:05:32.720]   because on your Bible, it'll say,
[00:05:32.720 --> 00:05:35.620]   and break up the Psalm into little sections,
[00:05:35.620 --> 00:05:37.780]   is a ginormous acrostic.
[00:05:37.780 --> 00:05:39.700]   You guys know what an acrostic is, right?
[00:05:39.700 --> 00:05:41.260]   You know that song, "Love"?
[00:05:41.260 --> 00:05:43.900]   L is for the way you look at me.
[00:05:43.900 --> 00:05:46.540]   O is for the only one I see.
[00:05:46.540 --> 00:05:49.320]   It's like an acrostic, L-O-V, it all sounds,
[00:05:49.320 --> 00:05:51.460]   it all matches, it's a way to remember,
[00:05:51.460 --> 00:05:54.580]   it's a way to express, it's a way to say something
[00:05:54.580 --> 00:05:56.620]   in a very artistic way, okay?
[00:05:56.620 --> 00:05:58.140]   You guys don't know that song?
[00:05:58.140 --> 00:06:00.980]   You do know that song, okay, thank you.
[00:06:00.980 --> 00:06:02.260]   Now, here's the thing, though.
[00:06:02.260 --> 00:06:05.820]   The thing is, 22 stanzas, okay?
[00:06:05.820 --> 00:06:10.020]   22 stanzas, because it follows the Hebrew alphabet.
[00:06:10.020 --> 00:06:12.900]   And so, if some of your translations
[00:06:12.900 --> 00:06:15.340]   have actually the heading, it'll say,
[00:06:15.340 --> 00:06:19.580]   Aleph, Beth, Gimel, Daleth, that's the Hebrew alphabet.
[00:06:19.580 --> 00:06:21.380]   And what's beautiful about it is,
[00:06:21.380 --> 00:06:24.920]   all eight verses in each stanza
[00:06:24.920 --> 00:06:28.120]   begins with that Hebrew letter, okay?
[00:06:28.120 --> 00:06:30.380]   And so, if you think about it,
[00:06:30.380 --> 00:06:33.540]   to write something like this, and in this way,
[00:06:33.540 --> 00:06:37.100]   at the time, it must have required such great attention,
[00:06:37.100 --> 00:06:40.460]   and required such dedication, okay?
[00:06:40.460 --> 00:06:41.940]   And I ask you the question,
[00:06:41.940 --> 00:06:44.980]   what can we deduce by something like this?
[00:06:44.980 --> 00:06:48.180]   For me, I sit and I think, gosh,
[00:06:48.180 --> 00:06:50.620]   for us, we live in a generation
[00:06:50.620 --> 00:06:54.940]   where spontaneous, in-the-moment speech
[00:06:54.940 --> 00:06:56.700]   is seen as most real and genuine.
[00:06:56.700 --> 00:06:59.180]   You know what I mean?
[00:06:59.180 --> 00:07:02.700]   Like, to be real, it has to be unedited,
[00:07:02.700 --> 00:07:04.180]   it has to be raw.
[00:07:04.180 --> 00:07:09.900]   For this, I think King David, psalmist,
[00:07:09.900 --> 00:07:13.300]   took time meditating, and essentially saying,
[00:07:13.300 --> 00:07:17.180]   I'm thinking about God and his word to such a detail,
[00:07:17.180 --> 00:07:21.500]   he is not only writing such a huge work of art,
[00:07:21.500 --> 00:07:23.240]   but essentially, he's kind of like saying,
[00:07:23.240 --> 00:07:25.180]   from A to Z, from front to end,
[00:07:25.180 --> 00:07:27.620]   I've thought about this, you know what I mean?
[00:07:27.620 --> 00:07:29.740]   And so, to think about the devotion, dedication,
[00:07:29.740 --> 00:07:32.380]   and the time just to work at this,
[00:07:32.380 --> 00:07:34.380]   you appreciate the fact that this individual
[00:07:34.380 --> 00:07:39.020]   has thought deeply about God and his truth, okay?
[00:07:39.020 --> 00:07:40.820]   That's an encouragement to us.
[00:07:40.820 --> 00:07:44.340]   For us who live in a time when our deepest thoughts
[00:07:44.340 --> 00:07:47.780]   come from like one-liners, from a generation
[00:07:47.780 --> 00:07:51.360]   where if a sermon goes for an X amount of time,
[00:07:51.360 --> 00:07:54.380]   we zone out, and all that kind of stuff,
[00:07:54.380 --> 00:07:56.340]   this psalm is a huge work of art
[00:07:56.340 --> 00:07:58.900]   showing the depth of devotion and thought
[00:07:58.900 --> 00:08:01.560]   that the psalmist has, okay?
[00:08:01.560 --> 00:08:04.900]   So that being said as a way to think about it,
[00:08:04.900 --> 00:08:07.020]   let's read a section and really dive into it.
[00:08:07.020 --> 00:08:09.440]   So let's go into verse one,
[00:08:09.440 --> 00:08:11.900]   and we're gonna read to verse eight,
[00:08:11.900 --> 00:08:14.500]   and our goal today is to really dive into
[00:08:14.500 --> 00:08:19.100]   verses one through 17, or one to 16 and stop there, okay?
[00:08:19.100 --> 00:08:21.740]   But I'm gonna break it up into two sections.
[00:08:21.740 --> 00:08:26.740]   The first, how blessed are those whose way is blameless,
[00:08:26.740 --> 00:08:29.700]   who walk in the law of the Lord.
[00:08:29.700 --> 00:08:33.060]   How blessed are those who observe his testimonies,
[00:08:33.060 --> 00:08:36.100]   who seek him with all their heart.
[00:08:36.100 --> 00:08:39.920]   They also do no unrighteousness, they walk in his ways.
[00:08:39.920 --> 00:08:41.580]   You have ordained your precepts
[00:08:41.580 --> 00:08:43.940]   that we should keep them diligently.
[00:08:43.940 --> 00:08:48.100]   Oh, that my ways may be established to keep your statutes.
[00:08:48.100 --> 00:08:49.560]   Then I shall not be ashamed
[00:08:49.560 --> 00:08:52.180]   when I look upon all your commandments.
[00:08:52.180 --> 00:08:55.140]   I shall give thanks to you with uprightness of heart
[00:08:55.140 --> 00:08:58.180]   when I learn your righteous judgments.
[00:08:58.180 --> 00:09:03.180]   I shall keep your statutes, do not forsake me utterly.
[00:09:03.180 --> 00:09:04.420]   Okay?
[00:09:04.420 --> 00:09:09.740]   Now in this, in verses one and two,
[00:09:09.740 --> 00:09:15.180]   the author begins with a questioning statement.
[00:09:15.180 --> 00:09:16.380]   It's in the form of a question,
[00:09:16.380 --> 00:09:18.900]   but it's basically a statement that causes us to ponder
[00:09:18.900 --> 00:09:21.360]   what it means to truly be blessed.
[00:09:21.360 --> 00:09:24.140]   I want you guys to take a moment
[00:09:24.140 --> 00:09:26.580]   to scan down verses one through eight,
[00:09:26.580 --> 00:09:29.840]   and please describe the person who is blessed
[00:09:29.840 --> 00:09:32.980]   according to verses one through eight.
[00:09:32.980 --> 00:09:35.860]   So, skim it really quickly, and when you're ready,
[00:09:35.860 --> 00:09:37.800]   raise your hand and tell me,
[00:09:37.800 --> 00:09:40.060]   in verses one through eight, what is the description,
[00:09:40.060 --> 00:09:44.160]   just one, of an individual who's really, really blessed?
[00:09:44.160 --> 00:09:47.420]   Okay?
[00:09:48.420 --> 00:09:50.580]   (silence)
[00:09:50.580 --> 00:09:59.420]   All right.
[00:09:59.420 --> 00:10:02.140]   Giving you a little time to scan.
[00:10:02.140 --> 00:10:04.180]   Who's got a, yes?
[00:10:04.180 --> 00:10:11.100]   Whoever sees God and obeys his statutes.
[00:10:11.100 --> 00:10:16.540]   Great, whoever sees God by obeying his laws,
[00:10:16.540 --> 00:10:18.300]   his statutes.
[00:10:18.300 --> 00:10:19.580]   Any other descriptions?
[00:10:19.580 --> 00:10:26.140]   Yes.
[00:10:26.140 --> 00:10:29.580]   His way is blameless.
[00:10:29.580 --> 00:10:30.420]   What else?
[00:10:30.420 --> 00:10:36.980]   Yes.
[00:10:36.980 --> 00:10:41.420]   They do know unrighteousness, okay?
[00:10:41.420 --> 00:10:44.900]   So obviously this first section has,
[00:10:46.180 --> 00:10:49.980]   a theme to it here, as it describes the individual
[00:10:49.980 --> 00:10:52.340]   who's really, really blessed.
[00:10:52.340 --> 00:10:53.740]   And I want you guys to take a moment
[00:10:53.740 --> 00:10:55.300]   to think about that, okay?
[00:10:55.300 --> 00:10:59.740]   For us, when we think of an individual
[00:10:59.740 --> 00:11:02.460]   who's been really, really blessed by God,
[00:11:02.460 --> 00:11:05.860]   is that the same kind of concept that you have?
[00:11:05.860 --> 00:11:09.180]   That's an important question to ask.
[00:11:09.180 --> 00:11:10.780]   As a matter of fact, let's think about this
[00:11:10.780 --> 00:11:12.220]   for a little deeper.
[00:11:12.220 --> 00:11:15.020]   He says, twice, in verse one and two,
[00:11:15.020 --> 00:11:19.180]   how blessed, oh gosh, how blessed are you?
[00:11:19.180 --> 00:11:21.900]   If we see people with lots of wonderful,
[00:11:21.900 --> 00:11:24.500]   beautiful children, we might say, how blessed.
[00:11:24.500 --> 00:11:26.740]   You must be so blessed.
[00:11:26.740 --> 00:11:30.100]   If we see an individual who's just worked so hard
[00:11:30.100 --> 00:11:34.380]   to achieve a significant milestone in their life,
[00:11:34.380 --> 00:11:35.540]   whether it be getting accredited,
[00:11:35.540 --> 00:11:37.140]   whether it be having a degree,
[00:11:37.140 --> 00:11:39.900]   and then once they achieve it, what do they say?
[00:11:39.900 --> 00:11:41.980]   I feel so blessed, okay?
[00:11:42.940 --> 00:11:45.220]   Well, is that all the kind of same perspective
[00:11:45.220 --> 00:11:47.260]   of what it means to be blessed?
[00:11:47.260 --> 00:11:49.820]   Someone answered for us, when you think of blessed even,
[00:11:49.820 --> 00:11:51.860]   what do you think of in the first place?
[00:11:51.860 --> 00:11:55.300]   What do you think of when you think blessed?
[00:11:55.300 --> 00:11:58.900]   What comes to mind?
[00:11:58.900 --> 00:12:02.820]   Just anything that comes to mind.
[00:12:02.820 --> 00:12:04.540]   It could be something from other parts of scripture
[00:12:04.540 --> 00:12:05.700]   or just what you think.
[00:12:05.700 --> 00:12:09.640]   The Beatitudes, great.
[00:12:09.640 --> 00:12:11.540]   Blessed are those, right?
[00:12:11.540 --> 00:12:15.380]   Who are meek, who suffer for righteousness,
[00:12:15.380 --> 00:12:17.500]   blessed are the peacemakers, et cetera.
[00:12:17.500 --> 00:12:18.340]   Good.
[00:12:18.340 --> 00:12:22.180]   If you've ever heard a sermon from the Beatitudes,
[00:12:22.180 --> 00:12:25.180]   they probably spend time on the concept of being blessed.
[00:12:25.180 --> 00:12:28.420]   The Beatitudes goes completely contrary
[00:12:28.420 --> 00:12:31.340]   to what we think is typically blessing.
[00:12:31.340 --> 00:12:33.500]   Lots of material, safety, security,
[00:12:33.500 --> 00:12:35.260]   and having their life be a success
[00:12:35.260 --> 00:12:36.700]   in the lives of the world.
[00:12:36.700 --> 00:12:38.900]   So what does blessed mean there in the Beatitudes,
[00:12:38.900 --> 00:12:43.020]   and what does blessed mean here in Psalm 119?
[00:12:43.020 --> 00:12:47.100]   If you can write it down, the Hebrew word is assure.
[00:12:47.100 --> 00:12:52.180]   Assure.
[00:12:52.180 --> 00:12:57.340]   Now, the concept in the Hebrew word here
[00:12:57.340 --> 00:13:00.300]   and the Greek word in the Beatitudes is really similar,
[00:13:00.300 --> 00:13:03.860]   and what it means is content and happy.
[00:13:03.860 --> 00:13:07.520]   And I find that incredibly surprising.
[00:13:07.800 --> 00:13:09.200]   Okay?
[00:13:09.200 --> 00:13:11.320]   Again, it just goes against and shatters
[00:13:11.320 --> 00:13:15.000]   the expectations that we have in our day, in our life.
[00:13:15.000 --> 00:13:16.760]   When we think about happiness
[00:13:16.760 --> 00:13:20.160]   and the things that we pursue in order to be happy,
[00:13:20.160 --> 00:13:22.120]   does this fall in line?
[00:13:22.120 --> 00:13:23.960]   Does it fall in line for you?
[00:13:23.960 --> 00:13:26.960]   And it really goes to shatter what we think about all this.
[00:13:26.960 --> 00:13:30.120]   And so it reminds me of a passage that we studied
[00:13:30.120 --> 00:13:32.680]   at the very beginning of our whole series
[00:13:32.680 --> 00:13:35.560]   in Psalm 1, verses one through three.
[00:13:35.560 --> 00:13:37.880]   "How blessed is the man who does not walk
[00:13:37.880 --> 00:13:39.080]   "in the counsel of the wicked,
[00:13:39.080 --> 00:13:41.080]   "nor stand in the path of the sinners,
[00:13:41.080 --> 00:13:44.120]   "nor sit in the seat of scoffers.
[00:13:44.120 --> 00:13:45.920]   "But his delight is in the law of the Lord,
[00:13:45.920 --> 00:13:47.960]   "and his law he meditates day and night.
[00:13:47.960 --> 00:13:52.960]   "He will be like a tree firmly planted by streams of water."
[00:13:52.960 --> 00:13:55.620]   And so as we think about this,
[00:13:55.620 --> 00:14:00.080]   the concept for this psalmist, for King David,
[00:14:00.080 --> 00:14:04.440]   to feel truly blessed is not so much to win something,
[00:14:04.440 --> 00:14:07.120]   it's not so much to achieve something in life.
[00:14:07.120 --> 00:14:09.960]   For him to feel really, really blessed
[00:14:09.960 --> 00:14:12.320]   is to be in the model,
[00:14:12.320 --> 00:14:16.440]   to be in the form of God's word,
[00:14:16.440 --> 00:14:20.240]   to have God's truth be evident in his life,
[00:14:20.240 --> 00:14:23.000]   to have God's presence as near as possible.
[00:14:23.000 --> 00:14:25.380]   And what you'll see is that
[00:14:25.380 --> 00:14:27.920]   that's what he talks about, really.
[00:14:27.920 --> 00:14:30.880]   When he considers, again, in verse one,
[00:14:30.880 --> 00:14:32.840]   when he considers how blessed are those
[00:14:32.840 --> 00:14:35.080]   whose way is blameless,
[00:14:35.080 --> 00:14:38.120]   I always really had a problem,
[00:14:38.120 --> 00:14:40.860]   to tell you honestly, with the word blameless.
[00:14:40.860 --> 00:14:43.520]   You know, while I was getting ordained,
[00:14:43.520 --> 00:14:46.500]   the elders led me through that passage on leadership,
[00:14:46.500 --> 00:14:50.280]   and there's that word again, blameless, you know?
[00:14:50.280 --> 00:14:52.240]   An elder in the church or a leader in the church,
[00:14:52.240 --> 00:14:55.120]   a servant of God, a deacon, must be blameless.
[00:14:55.120 --> 00:14:57.840]   And that's always like, okay,
[00:14:57.840 --> 00:15:00.060]   who's really blameless, you know?
[00:15:01.120 --> 00:15:03.680]   And there's a sense in which this passage, for me,
[00:15:03.680 --> 00:15:06.640]   just continues to challenge every standard.
[00:15:06.640 --> 00:15:08.800]   Who is the one who is blameless?
[00:15:08.800 --> 00:15:11.300]   Who is the one who is, you know,
[00:15:11.300 --> 00:15:12.980]   where no accusation can come?
[00:15:12.980 --> 00:15:16.520]   Well, the concept here, when we think of blameless,
[00:15:16.520 --> 00:15:18.120]   if you can write down,
[00:15:18.120 --> 00:15:21.900]   it's the individual who is complete and has integrity.
[00:15:21.900 --> 00:15:25.580]   In some of your other translations,
[00:15:25.580 --> 00:15:28.320]   it'll just, rather than saying blameless,
[00:15:28.320 --> 00:15:30.900]   it'll use the word integrity or sincerity.
[00:15:31.700 --> 00:15:33.860]   But he describes for us that concept
[00:15:33.860 --> 00:15:36.020]   because that concept is hard.
[00:15:36.020 --> 00:15:37.820]   If you just leave it at that and say,
[00:15:37.820 --> 00:15:39.780]   every single one of you must be blameless,
[00:15:39.780 --> 00:15:43.100]   which is true, that concept is difficult.
[00:15:43.100 --> 00:15:45.180]   But he describes it and he says,
[00:15:45.180 --> 00:15:47.460]   the one who is blameless is the one
[00:15:47.460 --> 00:15:50.020]   who walks in the law of the Lord.
[00:15:50.020 --> 00:15:54.320]   He's the one who observes and keeps his testimony.
[00:15:54.320 --> 00:15:58.820]   And so, you think about that a little bit,
[00:15:58.820 --> 00:16:00.860]   and then you get a little better picture.
[00:16:01.140 --> 00:16:03.140]   And I am all the more convicted and challenged
[00:16:03.140 --> 00:16:04.500]   to think about all this.
[00:16:04.500 --> 00:16:09.420]   One of the things that we all struggle with
[00:16:09.420 --> 00:16:14.140]   is maintaining and keeping alive
[00:16:14.140 --> 00:16:16.820]   that passion and faithfulness to God.
[00:16:16.820 --> 00:16:18.900]   One of the things that's hard is not so much
[00:16:18.900 --> 00:16:20.460]   in the moment when there's an event,
[00:16:20.460 --> 00:16:21.620]   when there's a praise meeting,
[00:16:21.620 --> 00:16:25.940]   to go and worship with all your lungs and heart and voice,
[00:16:25.940 --> 00:16:27.940]   when there is a conference to go and study
[00:16:27.940 --> 00:16:30.800]   with your notebook and with everything laid out
[00:16:30.800 --> 00:16:33.420]   and you're receiving all that good food.
[00:16:33.420 --> 00:16:39.220]   What's actually hard is having a longevity, right?
[00:16:39.220 --> 00:16:44.140]   Persevering in growth and study and walking with God daily.
[00:16:44.140 --> 00:16:45.540]   And so, how does he describe it?
[00:16:45.540 --> 00:16:48.300]   He describes it as the one who is healthy,
[00:16:48.300 --> 00:16:50.700]   the one who is complete, the one who has integrity
[00:16:50.700 --> 00:16:53.540]   is the one who maintains this
[00:16:53.540 --> 00:16:55.820]   and keeps a walk faithful to the Lord.
[00:16:55.820 --> 00:16:58.660]   And if you think about that,
[00:16:58.660 --> 00:17:00.360]   wouldn't that be a huge blessing?
[00:17:00.360 --> 00:17:05.520]   I mean, for you guys, just think on your own personal level.
[00:17:05.520 --> 00:17:08.920]   I feel like, you know, as you get older,
[00:17:08.920 --> 00:17:13.060]   you don't have huge ups and downs, so to speak,
[00:17:13.060 --> 00:17:14.840]   but you have this slow progressing,
[00:17:14.840 --> 00:17:18.740]   like neglect, neglect, neglect, and oh, shoot.
[00:17:18.740 --> 00:17:20.880]   And then, you know what I mean?
[00:17:20.880 --> 00:17:23.480]   When we were younger, we had super highs.
[00:17:23.480 --> 00:17:25.160]   We went to high school ministry stuff
[00:17:25.160 --> 00:17:27.420]   and we were like, yeah, give you everything, God.
[00:17:27.420 --> 00:17:30.720]   And then, boom, you fell to like, I don't know,
[00:17:30.720 --> 00:17:32.080]   like stealing and petty theft,
[00:17:32.080 --> 00:17:34.080]   or you fell to like lying or cursing
[00:17:34.080 --> 00:17:36.680]   or compromising with a girlfriend or boyfriend.
[00:17:36.680 --> 00:17:38.480]   So you had these huge ups and downs.
[00:17:38.480 --> 00:17:41.920]   Wouldn't it be a blessing in your own,
[00:17:41.920 --> 00:17:43.280]   do you have that kind of heart where you say,
[00:17:43.280 --> 00:17:46.560]   wouldn't it be a blessing to be able to walk with the Lord
[00:17:46.560 --> 00:17:50.800]   steadily in fervency for a long time?
[00:17:50.800 --> 00:17:54.000]   So this is the way the author is thinking, okay?
[00:17:55.160 --> 00:17:57.820]   All right, now looking at the next verses,
[00:17:57.820 --> 00:18:02.020]   let's read verse three all the way down to verse seven.
[00:18:02.020 --> 00:18:07.940]   They also do no unrighteousness, they walk in His ways.
[00:18:07.940 --> 00:18:09.380]   You have ordained your precepts
[00:18:09.380 --> 00:18:11.700]   that we should keep them diligently.
[00:18:11.700 --> 00:18:14.060]   Pay attention now to verses five through seven.
[00:18:14.060 --> 00:18:20.020]   Oh, that my ways may be established to keep your statutes.
[00:18:20.020 --> 00:18:21.900]   Then I shall not be ashamed
[00:18:21.900 --> 00:18:24.500]   when I look upon all your commandments.
[00:18:24.500 --> 00:18:27.400]   I shall give thanks to you with uprightness of heart
[00:18:27.400 --> 00:18:30.920]   when I learn your righteous judgments.
[00:18:30.920 --> 00:18:33.120]   I wanna ask you a question here.
[00:18:33.120 --> 00:18:36.240]   Now, to say in general,
[00:18:36.240 --> 00:18:40.520]   by keeping the Lord's word, we're gonna be blessed.
[00:18:40.520 --> 00:18:44.600]   That's really general stuff, right?
[00:18:44.600 --> 00:18:47.600]   But from this little segment that we read,
[00:18:47.600 --> 00:18:51.160]   what other benefits does the, you know, does King David see?
[00:18:51.160 --> 00:18:53.380]   I'm just gonna say King David, okay?
[00:18:53.380 --> 00:18:56.240]   What other benefits does King David see
[00:18:56.240 --> 00:18:57.800]   from keeping God's word?
[00:18:57.800 --> 00:19:04.680]   What are the results that's gonna come about in his life
[00:19:04.680 --> 00:19:07.440]   by means of keeping His word?
[00:19:07.440 --> 00:19:10.300]   Yes.
[00:19:10.300 --> 00:19:12.920]   He won't be ashamed.
[00:19:12.920 --> 00:19:15.400]   What else is there?
[00:19:16.400 --> 00:19:19.160]   (pages rustling)
[00:19:19.160 --> 00:19:27.860]   He's going to be able to praise and give thanks to God.
[00:19:27.860 --> 00:19:29.880]   What else is there?
[00:19:29.880 --> 00:19:36.160]   Be acknowledged.
[00:19:36.160 --> 00:19:38.380]   I like that, be acknowledged.
[00:19:38.380 --> 00:19:42.860]   In the NASB, translate that established.
[00:19:42.860 --> 00:19:45.220]   If you think about that, my goodness,
[00:19:45.220 --> 00:19:48.220]   aren't some of those things
[00:19:48.220 --> 00:19:49.820]   perhaps some of the deepest longings
