
[00:00:00.000 --> 00:00:08.160]   - Good morning again.
[00:03:36.400 --> 00:03:38.160]   And I felt the temptation to hide.
[00:03:38.160 --> 00:03:40.760]   So I said something silly like, oh, you know,
[00:03:40.760 --> 00:03:41.920]   just a pretty penny.
[00:03:41.920 --> 00:03:45.520]   But then the question doesn't stop there,
[00:03:45.520 --> 00:03:46.400]   how much did it cost?
[00:03:46.400 --> 00:03:48.880]   It always goes to, where did you buy it?
[00:03:48.880 --> 00:03:50.160]   And it's like, oh, don't be silly.
[00:03:50.160 --> 00:03:51.800]   It's just on Amazon, you know?
[00:03:51.800 --> 00:03:54.600]   But then I think, oh gosh, they're gonna know.
[00:03:54.600 --> 00:03:56.960]   Once they look it up on Amazon,
[00:03:56.960 --> 00:03:58.760]   they're gonna know how much I paid.
[00:03:58.760 --> 00:04:01.280]   So there was this weird temptation.
[00:04:01.280 --> 00:04:03.440]   Now the truth is I had some gift cards.
[00:04:03.440 --> 00:04:04.600]   It was on sale.
[00:04:04.600 --> 00:04:06.720]   (audience laughing)
[00:04:06.720 --> 00:04:07.560]   Rationalizing.
[00:04:07.560 --> 00:04:13.280]   But I started in my head looking for a number
[00:04:13.280 --> 00:04:15.840]   that seemed like reasonable.
[00:04:15.840 --> 00:04:18.400]   Now I'm giving you the most menial,
[00:04:18.400 --> 00:04:21.720]   smallest of peripheral temptations.
[00:04:21.720 --> 00:04:24.560]   But that temptation exists.
[00:04:24.560 --> 00:04:27.280]   It's like there waiting for us.
[00:04:27.280 --> 00:04:31.920]   And that's a bit scary because that can be a habit.
[00:04:31.920 --> 00:04:36.920]   It can be a lie that exists in major decisions.
[00:04:36.920 --> 00:04:40.080]   And certain things can deeply hurt people.
[00:04:40.080 --> 00:04:42.920]   And in the end, it could cause us to be very, very far
[00:04:42.920 --> 00:04:45.040]   from the holiness of God.
[00:04:45.040 --> 00:04:46.320]   Now the reason why I think through this
[00:04:46.320 --> 00:04:48.440]   is because I've been doing my devotions through Genesis.
[00:04:48.440 --> 00:04:51.200]   And so today's sermon is gonna be a bit of a walkthrough
[00:04:51.200 --> 00:04:52.520]   of passages in Genesis.
[00:04:52.520 --> 00:04:55.520]   As a heads up, we'll hit lots of different passages.
[00:04:55.520 --> 00:04:59.120]   And what I wanna do is observe, wow,
[00:04:59.120 --> 00:05:01.840]   when sin expresses itself,
[00:05:01.840 --> 00:05:05.720]   it expresses itself in the way that we talk.
[00:05:05.720 --> 00:05:07.600]   And our Lord Jesus talked about this,
[00:05:07.600 --> 00:05:11.320]   saying out of what's contained in your heart,
[00:05:11.320 --> 00:05:12.160]   the mouth speaks.
[00:05:12.160 --> 00:05:14.200]   It's not a matter of what goes in.
[00:05:14.200 --> 00:05:17.440]   And what I realize is as we look at the history of mankind
[00:05:17.440 --> 00:05:19.040]   through the book of Genesis,
[00:05:19.040 --> 00:05:21.480]   yes, we're looking at patriarchs,
[00:05:21.480 --> 00:05:24.480]   members of the hall of faith, so to speak.
[00:05:24.480 --> 00:05:28.240]   But when you look at the history of sinful man,
[00:05:28.240 --> 00:05:31.100]   what we will find commonly is this,
[00:05:31.100 --> 00:05:36.280]   this pervasive expression of our sin, which is lies.
[00:05:36.280 --> 00:05:39.360]   And so straight into it, my point is going to be
[00:05:39.360 --> 00:05:41.520]   that as I read through these passages,
[00:05:41.520 --> 00:05:46.520]   I recognized I myself, I'm a man of unclean lips.
[00:05:46.520 --> 00:05:49.920]   And we come from a people of unclean lips.
[00:05:49.920 --> 00:05:53.000]   We began by going to Genesis chapter four,
[00:05:53.000 --> 00:05:55.400]   to at least turn your Bibles there.
[00:05:55.400 --> 00:05:58.920]   In Genesis chapter four, we have the story of Cain.
[00:05:58.920 --> 00:06:01.320]   You guys are very familiar with it.
[00:06:01.320 --> 00:06:05.520]   Essentially, these are the early first human beings,
[00:06:05.520 --> 00:06:07.520]   first sons.
[00:06:07.520 --> 00:06:11.400]   And we have animosity between two brothers.
[00:06:11.400 --> 00:06:14.840]   It says in this passage, Cain told Abel his brother,
[00:06:14.840 --> 00:06:17.580]   and it came about when they were in the field,
[00:06:17.580 --> 00:06:21.400]   Cain rose up against Abel, his brother, and killed him.
[00:06:21.400 --> 00:06:24.980]   Then the Lord said to Cain, "Where is Abel, your brother?"
[00:06:24.980 --> 00:06:27.520]   And he said, "I don't know.
[00:06:27.520 --> 00:06:29.680]   "Am I my brother's keeper?"
[00:06:29.680 --> 00:06:30.860]   Wow.
[00:06:30.860 --> 00:06:34.360]   Just from the very get-go, what we see is Cain
[00:06:34.360 --> 00:06:38.600]   exhibiting this false claim of ignorance.
[00:06:39.520 --> 00:06:43.560]   And it's wild because he, of all people,
[00:06:43.560 --> 00:06:46.800]   being that close to God where God is speaking to him,
[00:06:46.800 --> 00:06:50.460]   should know in the back of his head, God probably knows.
[00:06:50.460 --> 00:06:55.200]   And yet just this irrational lie.
[00:06:55.200 --> 00:06:57.320]   I don't know, but then there's also deflection.
[00:06:57.320 --> 00:06:59.180]   Is it my responsibility?
[00:06:59.180 --> 00:07:05.320]   This is at the heart of the kind of motivation behind sin.
[00:07:06.560 --> 00:07:11.560]   Have we ever instinctually lied to avoid guilt and blame?
[00:07:11.560 --> 00:07:16.840]   Have we ever instinctually just lied to shift?
[00:07:16.840 --> 00:07:19.120]   Like, wait a minute, is this my fault?
[00:07:19.120 --> 00:07:21.340]   It's his fault.
[00:07:21.340 --> 00:07:23.200]   Maybe it's your fault.
[00:07:23.200 --> 00:07:24.680]   It's not my responsibility.
[00:07:24.680 --> 00:07:29.080]   This is at the knee-jerk reaction of the sinful heart
[00:07:29.080 --> 00:07:31.480]   when it comes to these circumstances.
[00:07:31.480 --> 00:07:35.440]   But the line continues to Abraham, okay?
[00:07:35.440 --> 00:07:38.080]   Genesis chapter 12, turn your Bible there
[00:07:38.080 --> 00:07:39.700]   and take a look at verse 11.
[00:07:39.700 --> 00:07:43.800]   In the story of Abraham, what we see
[00:07:43.800 --> 00:07:48.060]   is another motivation to deceive.
[00:07:48.060 --> 00:07:51.800]   And what happens is as God had called Abraham
[00:07:51.800 --> 00:07:55.800]   to travel out of his homeland into a promised land
[00:07:55.800 --> 00:07:57.340]   that he was going to give,
[00:07:57.340 --> 00:08:00.920]   they run into scenarios where it's dicey.
[00:08:00.920 --> 00:08:03.560]   And look how he responds, verse 11.
[00:08:03.560 --> 00:08:06.080]   It came about when he came near Egypt.
[00:08:06.080 --> 00:08:08.600]   He said to Sarai, his wife,
[00:08:08.600 --> 00:08:12.000]   "See now, I know you're a beautiful woman.
[00:08:12.000 --> 00:08:13.520]   "And when the Egyptians see you,
[00:08:13.520 --> 00:08:15.840]   "they will say, 'This is his wife,'
[00:08:15.840 --> 00:08:17.460]   "and they'll kill me.
[00:08:17.460 --> 00:08:19.160]   "But they will let you live.
[00:08:19.160 --> 00:08:21.400]   "Please say that you're my sister
[00:08:21.400 --> 00:08:24.140]   "so that it may go well with me because of you
[00:08:24.140 --> 00:08:27.320]   "and that I may live on account of you."
[00:08:27.320 --> 00:08:29.480]   Now, ladies, what a man, huh?
[00:08:29.480 --> 00:08:30.960]   (laughs)
[00:08:30.960 --> 00:08:33.680]   So what I want you to do is lie.
[00:08:33.680 --> 00:08:35.280]   Just say, "You're my sister."
[00:08:35.280 --> 00:08:36.840]   It's like, say what?
[00:08:36.840 --> 00:08:38.920]   Because, because, it's gonna work.
[00:08:38.920 --> 00:08:42.640]   You're beautiful, they're gonna like you,
[00:08:42.640 --> 00:08:44.400]   and then me, they're gonna kill.
[00:08:44.400 --> 00:08:47.020]   Don't worry, it'll all work out.
[00:08:47.020 --> 00:08:50.240]   You see, what happens here is
[00:08:50.240 --> 00:08:52.060]   he is lying to save his hide.
[00:08:52.060 --> 00:08:54.960]   One of the great motivators of lies,
[00:08:54.960 --> 00:08:57.920]   when you're afraid, maybe even paranoid
[00:08:57.920 --> 00:09:00.560]   of what's gonna happen, it tends to lie.
[00:09:00.560 --> 00:09:02.680]   Scripture says, actually, those who are paranoid,
[00:09:02.680 --> 00:09:04.720]   they'll say, "Lions and bears out there."
[00:09:04.720 --> 00:09:06.920]   There are no lions and bears out there.
[00:09:06.920 --> 00:09:08.840]   But you'll say it, 'cause it gives them
[00:09:08.840 --> 00:09:12.160]   every excuse for you to guard yourself, right?
[00:09:12.160 --> 00:09:14.160]   Exaggerations.
[00:09:14.160 --> 00:09:19.080]   These predictions, so to speak, cause us to lie,
[00:09:19.080 --> 00:09:22.080]   and then he's inspiring his wife to lie.
[00:09:22.080 --> 00:09:23.380]   Now, here's the dangerous thing
[00:09:23.380 --> 00:09:27.320]   that sometimes lies lie about.
[00:09:27.320 --> 00:09:28.760]   What am I saying there is,
[00:09:28.760 --> 00:09:32.400]   your lies that you actually commit lie to you.
[00:09:32.400 --> 00:09:34.160]   And you know what that lie is?
[00:09:34.160 --> 00:09:35.880]   It's gonna work.
[00:09:35.880 --> 00:09:37.080]   They say to a gambler,
[00:09:37.080 --> 00:09:40.540]   one of the worst things that can happen to you ever
[00:09:40.540 --> 00:09:42.040]   is what?
[00:09:42.040 --> 00:09:43.720]   First time gambler wins a big hand.
[00:09:43.720 --> 00:09:45.200]   That's the worst thing that happens to you.
[00:09:45.200 --> 00:09:46.040]   Why?
[00:09:46.040 --> 00:09:47.720]   'Cause now you believe it.
[00:09:47.720 --> 00:09:49.020]   Next hand, I'm gonna win.
[00:09:49.020 --> 00:09:50.280]   I double down, you lose all of it.
[00:09:50.280 --> 00:09:53.080]   It's okay, the next time I'm gonna win.
[00:09:53.080 --> 00:09:56.280]   Liars are good gamblers.
[00:09:56.280 --> 00:09:57.480]   'Cause why not what happens?
[00:09:57.480 --> 00:09:58.520]   'Cause he lies again.
[00:09:58.520 --> 00:10:00.680]   Turn your Bible to Genesis chapter 20,
[00:10:00.680 --> 00:10:01.920]   verses one through seven.
[00:10:01.920 --> 00:10:06.640]   In Genesis chapter 20, verses one through seven,
[00:10:06.640 --> 00:10:08.720]   it says, "Abraham journeyed from there
[00:10:08.720 --> 00:10:10.720]   "toward the land of Negev,
[00:10:10.720 --> 00:10:13.240]   "and settled between Kadesh and Shur.
[00:10:13.240 --> 00:10:15.360]   "Then he sojourned into Gerar,
[00:10:15.360 --> 00:10:19.220]   "and Abraham said of Sarah his wife,
[00:10:19.220 --> 00:10:20.680]   "she's my sister."
[00:10:20.680 --> 00:10:23.400]   So there he is in the same exact tactic.
[00:10:23.400 --> 00:10:26.400]   "So Abimelech, king of Gerar, sent and took Sarah."
[00:10:26.400 --> 00:10:27.880]   Oh no.
[00:10:27.880 --> 00:10:30.360]   But then, this is one of the most scariest things
[00:10:30.360 --> 00:10:32.540]   that I've ever read in scripture.
[00:10:32.540 --> 00:10:35.460]   "God came to Abimelech in the dream of the night
[00:10:35.460 --> 00:10:39.920]   "and said to him, behold, you are a dead man.
[00:10:39.920 --> 00:10:42.220]   "And Abimelech wet his pants.
[00:10:42.220 --> 00:10:47.220]   "Because the woman whom you have taken for she is married."
[00:10:47.220 --> 00:10:48.720]   Think about that.
[00:10:48.720 --> 00:10:51.520]   So Abimelech, he hadn't come near here yet,
[00:10:51.520 --> 00:10:54.200]   and he said, "Lord, will you slay an entire nation
[00:10:54.200 --> 00:10:55.840]   "even though we're blameless?
[00:10:55.840 --> 00:10:58.480]   "Did he not say to me, she's my sister?
[00:10:58.480 --> 00:11:00.760]   "And she said herself, he's my brother?
[00:11:00.760 --> 00:11:03.280]   "In the integrity of my heart and the innocence of my hands,
[00:11:03.280 --> 00:11:04.200]   "I have done this."
[00:11:04.200 --> 00:11:05.560]   Then God sent him in his dream.
[00:11:05.560 --> 00:11:07.360]   Yes, I know in the integrity of your heart,
[00:11:07.360 --> 00:11:08.680]   you have done this.
[00:11:08.680 --> 00:11:10.640]   "And I also kept you from sinning against me.
[00:11:10.640 --> 00:11:13.440]   "Therefore, I did not let you touch her.
[00:11:13.440 --> 00:11:15.320]   "Now therefore, restore the man's wife,
[00:11:15.320 --> 00:11:17.600]   "for he is a prophet, and he will pray for you,
[00:11:17.600 --> 00:11:19.180]   "and you will live.
[00:11:19.180 --> 00:11:20.400]   "But if you do not restore her,
[00:11:20.400 --> 00:11:23.360]   "know that you shall surely die,
[00:11:23.360 --> 00:11:26.160]   "you and all who are yours."
[00:11:26.160 --> 00:11:32.280]   Some silly part of superstitious living
[00:11:32.280 --> 00:11:36.120]   will read these stories of the Old Testament
[00:11:36.120 --> 00:11:39.220]   and be like, "Oh, what a cunning man.
[00:11:39.220 --> 00:11:40.280]   "It worked.
[00:11:40.280 --> 00:11:43.040]   "He saved his butt."
[00:11:43.040 --> 00:11:45.840]   Not true at all.
[00:11:45.840 --> 00:11:48.520]   What God was doing is God has a plan
[00:11:48.520 --> 00:11:52.280]   for his people to come through this pure line.
[00:11:52.280 --> 00:11:55.240]   Therefore, he guarded Sarah with his power.
[00:11:55.240 --> 00:11:59.600]   But this is utter sin.
[00:11:59.600 --> 00:12:02.760]   And utter sin tends to create incredible drama.
[00:12:02.760 --> 00:12:07.320]   See, we have this false belief that it's just a small lie,
[00:12:07.320 --> 00:12:08.360]   maybe a white lie,
[00:12:08.360 --> 00:12:11.600]   and maybe something really, really unharmful.
[00:12:11.600 --> 00:12:14.640]   But that in itself is a lie.
[00:12:14.640 --> 00:12:17.120]   Lies tend to break relationships.
[00:12:17.120 --> 00:12:19.120]   Lies tend to destroy trust.
[00:12:19.120 --> 00:12:21.780]   Lies tend to create this kind of drama where,
[00:12:21.780 --> 00:12:23.340]   man, lo and behold,
[00:12:23.340 --> 00:12:25.360]   the entire nation could have been wiped out
[00:12:25.360 --> 00:12:26.740]   because of Abraham's lie.
[00:12:26.740 --> 00:12:29.220]   We don't see that.
[00:12:29.220 --> 00:12:30.060]   Why?
[00:12:30.060 --> 00:12:32.960]   Because we ourselves are deceived when we lie.
[00:12:32.960 --> 00:12:38.780]   Now, what's more is when we resort to ungodly means,
[00:12:38.780 --> 00:12:41.360]   lying is a tool.
[00:12:41.360 --> 00:12:43.900]   When we resort to ungodly means,
[00:12:43.900 --> 00:12:46.660]   it ends up setting a pace for the rest.
[00:12:46.660 --> 00:12:50.480]   It ends up actually inspiring more ungodliness around us.
[00:12:50.480 --> 00:12:53.140]   Take a look at the next story in Genesis 26,
[00:12:53.140 --> 00:12:55.140]   verses six through nine.
[00:12:55.140 --> 00:13:01.780]   I know right now it's already feeling a little heavy
[00:13:01.780 --> 00:13:03.700]   because as we walk through the biblical narratives,
[00:13:03.700 --> 00:13:06.900]   you recognize there is just a lot of sin.
[00:13:06.900 --> 00:13:12.020]   And for me, as I walk through it, I recognize there is,
[00:13:12.020 --> 00:13:14.320]   because more and more I also recognize
[00:13:14.320 --> 00:13:17.060]   there are a variety of ways where, yes,
[00:13:17.060 --> 00:13:21.520]   I may not be saying blatant, high, brazen lies,
[00:13:21.520 --> 00:13:23.400]   but there's a lot of deception.
[00:13:23.400 --> 00:13:26.160]   Here, what I was trying to make the point of is,
[00:13:26.160 --> 00:13:29.680]   when we lie, it sets a precedence for the rest.
[00:13:29.680 --> 00:13:33.960]   And look at Isaac, Abraham's son, Abraham's precious son,
[00:13:33.960 --> 00:13:35.560]   the one who was so dear.
[00:13:35.560 --> 00:13:36.720]   In Genesis 26, it says,
[00:13:36.720 --> 00:13:38.000]   "So Isaac lived in Gerard,
[00:13:38.000 --> 00:13:39.640]   "the same place that his father was.
[00:13:39.640 --> 00:13:42.040]   "And when the men of the place asked about his wife,
[00:13:42.040 --> 00:13:43.720]   "guess what he said?
[00:13:43.720 --> 00:13:45.940]   "She's my sister.
[00:13:45.940 --> 00:13:48.180]   "For he was afraid to say my wife,
[00:13:48.180 --> 00:13:49.720]   "thinking the men of this place
[00:13:49.720 --> 00:13:51.560]   "would kill me on the account of Rebekah."
[00:13:51.560 --> 00:13:52.400]   Why?
[00:13:52.400 --> 00:13:55.320]   For she was beautiful.
[00:13:55.320 --> 00:13:58.120]   Now, I relate to these guys, you know?
[00:13:58.120 --> 00:14:00.520]   You marry a beautiful woman, your life is hard.
[00:14:00.520 --> 00:14:04.240]   No, what we recognize actually is,
[00:14:04.240 --> 00:14:08.160]   these guys are just trying to save their own lives,
[00:14:08.160 --> 00:14:10.160]   trying to preserve.
[00:14:10.160 --> 00:14:12.040]   Came about when he was there for a long time,
[00:14:12.040 --> 00:14:13.440]   a Bimilic king of the Palestinians
[00:14:13.440 --> 00:14:14.920]   looked out through a window and saw,
[00:14:14.920 --> 00:14:17.380]   and behold, Isaac was caressing his wife, Rebekah,
[00:14:17.380 --> 00:14:19.160]   and a Bimilic called him and said,
[00:14:19.160 --> 00:14:22.320]   "Behold, certainly she's your wife.
[00:14:22.320 --> 00:14:26.000]   "Now then, didn't you say she is my sister?"
[00:14:26.000 --> 00:14:26.840]   And Isaac said to him,
[00:14:26.840 --> 00:14:30.920]   "Because," I said, "I might die on her account."
[00:14:30.920 --> 00:14:35.920]   You recognize, you recognize that the same logic,
[00:14:35.920 --> 00:14:41.980]   something that may seem pretty rational,
[00:14:41.980 --> 00:14:43.480]   he's just projecting ahead,
[00:14:44.380 --> 00:14:46.960]   is causing this motivation to lie.
[00:14:46.960 --> 00:14:50.040]   And what we're getting at is, there is a thought process.
[00:14:50.040 --> 00:14:53.200]   There is not just this like, oh, I just happened to say,
[00:14:53.200 --> 00:14:55.080]   it just happened to come out of my mouth.
[00:14:55.080 --> 00:14:57.080]   There is absolutely a thought process
[00:14:57.080 --> 00:14:59.140]   behind the lies that come.
[00:14:59.140 --> 00:15:00.920]   The last individual we're going to see
[00:15:00.920 --> 00:15:02.680]   as we walk down these patriarchs
[00:15:02.680 --> 00:15:04.400]   and we walk down these significant figures
[00:15:04.400 --> 00:15:07.560]   of the Old Testament is Jacob.
[00:15:07.560 --> 00:15:10.240]   Turn your Bibles over to chapter 27,
[00:15:10.240 --> 00:15:13.880]   a story that you guys are very familiar with, okay?
[00:15:14.820 --> 00:15:18.260]   As you know, Isaac, once he becomes old in his age,
[00:15:18.260 --> 00:15:20.420]   he can't really even see.
[00:15:20.420 --> 00:15:22.780]   And as he thinks about his passing,
[00:15:22.780 --> 00:15:24.700]   he calls his oldest son Esau and says,
[00:15:24.700 --> 00:15:29.700]   "Come, prepare for me a meal from the hunt."
[00:15:29.700 --> 00:15:31.780]   He wants to eat a good meal.
[00:15:31.780 --> 00:15:34.780]   And from that, he wants to give his blessing over.
[00:15:34.780 --> 00:15:37.380]   Mom hears of it and she devises a plan,
[00:15:37.380 --> 00:15:38.820]   tells her son Jacob and says,
[00:15:38.820 --> 00:15:40.600]   "I want you to act like your Esau.
[00:15:40.600 --> 00:15:42.720]   "Come back, feed him his favorite meal.
[00:15:42.720 --> 00:15:45.460]   "It's going to be delicious 'cause I'll make it for you
[00:15:45.460 --> 00:15:48.120]   "and earn that blessing."
[00:15:48.120 --> 00:15:50.620]   But think about this story as you hear it.
[00:15:50.620 --> 00:15:54.700]   Verse 18, so we're in chapter 27, verse 18.
[00:15:54.700 --> 00:15:58.220]   He said, "Then he came to his father and said,
[00:15:58.220 --> 00:16:02.460]   "My father, and he said, here I am.
[00:16:02.460 --> 00:16:04.020]   "Who are you, my son?
[00:16:04.020 --> 00:16:06.860]   "And Jacob said to his father, I am Esau."
[00:16:06.860 --> 00:16:11.520]   I mean, maybe he did the, "I am Esau, your son, firstborn.
[00:16:11.520 --> 00:16:12.960]   "I have done as you told me.
[00:16:12.960 --> 00:16:15.580]   "Get up, please, sit and eat of my game
[00:16:15.580 --> 00:16:17.260]   "that you may bless me."
[00:16:17.260 --> 00:16:18.140]   Right?
[00:16:18.140 --> 00:16:20.460]   You know he wasn't fooling anybody.
[00:16:20.460 --> 00:16:23.340]   Now Isaac said to his son, "How is this
[00:16:23.340 --> 00:16:25.420]   "that you have it so quickly, my son?"
[00:16:25.420 --> 00:16:28.900]   And he said, "Because the Lord, your God,
[00:16:28.900 --> 00:16:30.980]   "has caused it to happen to me."
[00:16:30.980 --> 00:16:32.740]   Take a moment to pause right there.
[00:16:32.740 --> 00:16:37.440]   When we lie, there's no rhyme or reason.
[00:16:37.440 --> 00:16:40.460]   And when you have no rhyme or reason,
[00:16:40.460 --> 00:16:42.720]   you actually don't really have boundaries.
[00:16:42.720 --> 00:16:44.620]   You think about the extent of his lie
[00:16:44.620 --> 00:16:47.820]   and what he has to say when Isaac starts to question him.
[00:16:47.820 --> 00:16:50.620]   He is going to use pieces and family members,
[00:16:50.620 --> 00:16:53.280]   probably, to uphold his story.
[00:16:53.280 --> 00:16:57.100]   But here and now, he uses God as a piece
[00:16:57.100 --> 00:16:58.860]   in his false narrative.
[00:16:58.860 --> 00:17:02.720]   Think about God who's watching.
[00:17:02.720 --> 00:17:04.860]   They're like, "What?
[00:17:04.860 --> 00:17:08.380]   "I didn't do that for you."
[00:17:09.620 --> 00:17:11.720]   Think about what's happening.
[00:17:11.720 --> 00:17:16.100]   In order for Jacob to hold up the story,
[00:17:16.100 --> 00:17:18.500]   he has to be quite brazen.
[00:17:18.500 --> 00:17:19.960]   Take a look at verse 21.
[00:17:19.960 --> 00:17:23.660]   In verse 21, it says, "Then Isaac said to Jacob,
[00:17:23.660 --> 00:17:26.800]   "Please come close, that I may feel you, my son,
[00:17:26.800 --> 00:17:29.180]   "whether you are really my son Esau or not."
[00:17:29.180 --> 00:17:32.000]   So I am guessing if you just picture yourself
[00:17:32.000 --> 00:17:33.340]   in this scenario and you're Jacob,
[00:17:33.340 --> 00:17:35.520]   now you're just like, oh shoot.
[00:17:35.520 --> 00:17:39.060]   Like you put on the wool and stuff like that,
[00:17:39.060 --> 00:17:43.460]   but in the end, I mean, you gotta be scared.
[00:17:43.460 --> 00:17:44.660]   You gotta be deathly afraid.
[00:17:44.660 --> 00:17:46.420]   He's gonna know, right?
[00:17:46.420 --> 00:17:49.260]   He's inching closer and he already knows his voice
[00:17:49.260 --> 00:17:51.800]   wasn't a good sell because he says,
[00:17:51.800 --> 00:17:54.180]   "So Jacob came close to Isaac his father
[00:17:54.180 --> 00:17:55.340]   "and he felt him and said,
[00:17:55.340 --> 00:17:58.000]   "The voice is the voice of Jacob,
[00:17:58.000 --> 00:18:00.500]   "but the hands are the hands of Esau."
[00:18:00.500 --> 00:18:02.960]   He did not recognize him because his hands were hairy
[00:18:02.960 --> 00:18:04.720]   like his brother Esau's hand.
[00:18:04.720 --> 00:18:08.300]   So he blessed him and he said, "Are you really my son?"
[00:18:08.300 --> 00:18:10.940]   So even after as he's blessing him,
[00:18:10.940 --> 00:18:13.720]   Isaac is suspicious of him.
[00:18:13.720 --> 00:18:16.020]   And look what happens.
