
[00:00:00.000 --> 00:00:02.420]   (soft music)
[00:11:54.760 --> 00:11:57.600]   Here in this passage, Apostle Paul takes it
[00:11:57.600 --> 00:12:01.120]   even to another step, where he describes himself
[00:12:01.120 --> 00:12:04.380]   as hupertest, which just simply means you're an underling.
[00:12:04.380 --> 00:12:08.240]   He sees himself as a servant of the stewardship
[00:12:08.240 --> 00:12:10.560]   of these great mysteries of God.
[00:12:10.560 --> 00:12:13.640]   And the way that I want to think about this is,
[00:12:13.640 --> 00:12:17.280]   you know, a lot of people make much of
[00:12:17.280 --> 00:12:19.640]   being a part of a great cause.
[00:12:19.640 --> 00:12:23.280]   And it makes them feel like, wow, that was so rewarding.
[00:12:23.280 --> 00:12:25.680]   Even if, let's say, they weren't paid for it.
[00:12:25.680 --> 00:12:27.360]   And you know what I'm talking about.
[00:12:27.360 --> 00:12:30.560]   People in this day, they talk about being a part
[00:12:30.560 --> 00:12:34.160]   of a great movement that really inspires them.
[00:12:34.160 --> 00:12:36.440]   And yes, those are inspiring, especially, let's say,
[00:12:36.440 --> 00:12:39.720]   if we're talking about disaster relief movements,
[00:12:39.720 --> 00:12:41.820]   when we're talking about crisis scenarios,
[00:12:41.820 --> 00:12:45.280]   and we're willing, because the cause is so great,
[00:12:45.280 --> 00:12:48.000]   then to take a moment's pause from our daily activities.
[00:12:48.000 --> 00:12:50.400]   People, when they are willing to sacrifice
[00:12:50.400 --> 00:12:52.600]   the security of their jobs, they let it go,
[00:12:52.600 --> 00:12:55.960]   and they go join a cause, is that a bad thing?
[00:12:55.960 --> 00:12:58.080]   No, that's actually a great thing,
[00:12:58.080 --> 00:13:01.520]   especially if that cause is something worthwhile and noble.
[00:13:01.520 --> 00:13:04.000]   What's really interesting to me is that people do that
[00:13:04.000 --> 00:13:05.720]   for lots of different causes.
[00:13:05.720 --> 00:13:08.600]   If they get a chance to, let's say, travel on tour
[00:13:08.600 --> 00:13:12.040]   with the band that they love, with the team that they love.
[00:13:12.040 --> 00:13:13.800]   And sometimes, I've been seeing right now,
[00:13:13.800 --> 00:13:16.320]   there's a lot of game shows, reality TVs.
[00:13:16.320 --> 00:13:19.320]   And people are straight up willing to risk their job
[00:13:19.320 --> 00:13:21.920]   so that they devote full time into something
[00:13:21.920 --> 00:13:24.000]   like American Ninja or something like that.
[00:13:24.000 --> 00:13:28.200]   Now, if that was your dream, I'm not trying to crush it,
[00:13:28.200 --> 00:13:30.400]   but here's what I'm saying.
[00:13:30.400 --> 00:13:33.320]   Apostle Paul, here and now, is showing to us,
[00:13:33.320 --> 00:13:38.320]   in his perspective, his sight, his appreciation
[00:13:38.320 --> 00:13:40.440]   for the grandeur of God's call,
[00:13:41.400 --> 00:13:46.400]   for the absolute, just sheer magnitude of a cause so big,
[00:13:46.400 --> 00:13:48.920]   it just naturally causes us to lose sight
[00:13:48.920 --> 00:13:51.400]   of our little significance.
[00:13:51.400 --> 00:13:55.120]   See, Apostle Paul, he's not elated, he's not grateful,
[00:13:55.120 --> 00:13:58.880]   because he was a leader before, clearly, right?
[00:13:58.880 --> 00:14:02.080]   When he was a Pharisee, when he was a Sadducee,
[00:14:02.080 --> 00:14:04.680]   when he was a leader amongst leaders,
[00:14:04.680 --> 00:14:07.560]   and thank goodness, now he gets to become another leader.
[00:14:07.560 --> 00:14:09.520]   Now he gets to become a spokesperson.
[00:14:09.520 --> 00:14:11.360]   No, that's not what he's thinking.
[00:14:11.360 --> 00:14:15.120]   What he's thinking is the cause of God is so great,
[00:14:15.120 --> 00:14:17.640]   it absolutely makes him subservient.
[00:14:17.640 --> 00:14:22.280]   It causes him to be a servant of the cause of Christ.
[00:14:22.280 --> 00:14:27.040]   And so he recognizes the ministry of God is so massive.
[00:14:27.040 --> 00:14:31.520]   You see, one of the things I want to challenge us
[00:14:31.520 --> 00:14:33.840]   in that moment, then, is to ask,
[00:14:33.840 --> 00:14:37.600]   last time we recognized that Apostle Paul
[00:14:37.600 --> 00:14:39.800]   was teaching about the gospel,
[00:14:39.800 --> 00:14:44.080]   and again, how mind-blowing it should be,
[00:14:44.080 --> 00:14:48.360]   to take us from dead to life, to take us from far to near.
[00:14:48.360 --> 00:14:50.880]   And that shift, we have to regularly stop and ask,
[00:14:50.880 --> 00:14:53.520]   do we actually appreciate and understand
[00:14:53.520 --> 00:14:55.480]   the magnitude of the gospel?
[00:14:55.480 --> 00:14:59.280]   Otherwise, all of these roles that I just highlighted
[00:14:59.280 --> 00:15:01.880]   for you, being a prisoner, a steward, a writer,
[00:15:01.880 --> 00:15:03.520]   a minister, and a preacher,
[00:15:03.520 --> 00:15:07.520]   none of these things will be privileges for you.
[00:15:07.520 --> 00:15:09.560]   None of them will be worthwhile.
[00:15:09.560 --> 00:15:11.320]   All of the things actually could be
[00:15:11.320 --> 00:15:13.440]   very well a burden to you.
[00:15:13.440 --> 00:15:15.600]   And as a matter of fact, if I come to you then,
[00:15:15.600 --> 00:15:17.920]   and you actually don't understand and grasp
[00:15:17.920 --> 00:15:19.840]   with Apostle Paul,
[00:15:19.840 --> 00:15:23.960]   the incredible cause that we are a part of,
[00:15:23.960 --> 00:15:26.960]   then if I come and say, hey, can I ask you to do something?
[00:15:26.960 --> 00:15:31.760]   Then your first response wouldn't be, yes, what can I do?
[00:15:31.760 --> 00:15:36.600]   Your first response would be like, oh, what is it, right?
[00:15:36.600 --> 00:15:38.360]   There would be hesitancy.
[00:15:38.360 --> 00:15:41.040]   You would have to start asking, like, is it worth it?
[00:15:41.040 --> 00:15:44.720]   But what if these questions were asked of you
[00:15:44.720 --> 00:15:48.920]   to be a small part, perhaps, to be in God's wisdom?
[00:15:48.920 --> 00:15:51.000]   Remember how this church was called a body,
[00:15:51.000 --> 00:15:53.400]   and within the body you had presentable parts
[00:15:53.400 --> 00:15:54.880]   and unpresentable parts?
[00:15:54.880 --> 00:15:57.520]   The parts that you want to show off, you know?
[00:15:57.520 --> 00:15:59.800]   And the parts that you just kind of want to hide?
[00:15:59.800 --> 00:16:01.040]   I share with people all the time,
[00:16:01.040 --> 00:16:03.200]   I have really ugly hands, right?
[00:16:03.200 --> 00:16:05.560]   They're very fat, they're like, it almost looks,
[00:16:05.560 --> 00:16:07.000]   one time someone looked at my hands
[00:16:07.000 --> 00:16:08.680]   and they turned around and asked me, like,
[00:16:08.680 --> 00:16:11.720]   your hands are swollen, and I said, oh no,
[00:16:11.720 --> 00:16:14.520]   it's not swollen, that's just the way it looks.
[00:16:14.520 --> 00:16:16.280]   And we just had a fun laugh, right?
[00:16:16.280 --> 00:16:20.520]   But think about that for a moment.
[00:16:20.520 --> 00:16:23.800]   For the great cause of highlighting
[00:16:23.800 --> 00:16:26.520]   the great redemptive privileges in Christ,
[00:16:26.520 --> 00:16:28.680]   the glory that we have in Christ,
[00:16:28.680 --> 00:16:33.680]   should God ask you, be the hands, the calloused hands,
[00:16:33.880 --> 00:16:36.280]   be the feet, the sweaty feet.
[00:16:36.280 --> 00:16:39.960]   Is that to us a privilege because we understand
[00:16:39.960 --> 00:16:43.160]   the greatness of what God is calling us?
[00:16:43.160 --> 00:16:45.760]   Or do we have hesitancy to think, like,
[00:16:45.760 --> 00:16:47.880]   I want to be a steward, but I don't want to be a steward
[00:16:47.880 --> 00:16:50.320]   of the janitorial supplies, I want to be a steward
[00:16:50.320 --> 00:16:52.720]   of the proclamation on the pulpit, right?
[00:16:52.720 --> 00:16:55.740]   Like, what are we actually willing and wanting,
[00:16:55.740 --> 00:17:00.160]   because we understand the magnitude of the cause.
[00:17:00.160 --> 00:17:01.720]   And we also know that in the future,
[00:17:01.720 --> 00:17:03.160]   Apostle Paul is going to call us.
[00:17:03.160 --> 00:17:04.680]   This is not just for pastors,
[00:17:04.680 --> 00:17:07.040]   this is not just for the preachers.
[00:17:07.040 --> 00:17:09.080]   He's going to call every single one of us later on
[00:17:09.080 --> 00:17:12.680]   in chapters three, four, and five, chapter four and five,
[00:17:12.680 --> 00:17:17.320]   what we should be in imitation of Apostle Paul,
[00:17:17.320 --> 00:17:19.720]   but even greater, of God himself.
[00:17:19.720 --> 00:17:22.320]   Now, in thinking about this then,
[00:17:22.320 --> 00:17:25.800]   there is this challenge, which is,
[00:17:25.800 --> 00:17:29.640]   Apostle Paul, in his perspective,
[00:17:29.640 --> 00:17:33.560]   he has a response and an attitude that shows forth.
[00:17:33.560 --> 00:17:35.880]   And his attitude I summarize as,
[00:17:35.880 --> 00:17:39.080]   I humbly and greatly accept.
[00:17:39.080 --> 00:17:40.960]   Okay, I humbly and greatly accept.
[00:17:40.960 --> 00:17:45.900]   You see, when we think about our possible responses,
[00:17:45.900 --> 00:17:50.960]   Apostle Paul was not necessarily, like, given choices.
[00:17:50.960 --> 00:17:52.680]   Do you want to be the spokesperson,
[00:17:52.680 --> 00:17:54.800]   or would you like to be the background player?
[00:17:54.800 --> 00:17:56.800]   God didn't give him those choices.
[00:17:56.800 --> 00:18:00.440]   Apostle Paul says, "God gave me this privilege."
[00:18:00.440 --> 00:18:02.600]   Now, what's interesting is,
[00:18:02.600 --> 00:18:05.160]   there are different responses, perhaps.
[00:18:05.160 --> 00:18:08.240]   For example, someone could have this impervious attitude
[00:18:08.240 --> 00:18:10.480]   and say, "You know what?
[00:18:10.480 --> 00:18:14.500]   "Yes, I get it, the Lord gave me a call.
[00:18:14.500 --> 00:18:16.580]   "Like, how am I supposed to respond to that?
[00:18:16.580 --> 00:18:18.080]   "You know, I don't really have a choice here, right?
[00:18:18.080 --> 00:18:19.520]   "I just have to be like, well, thanks, big guy,
[00:18:19.520 --> 00:18:21.120]   "and then I got to do it, right?"
[00:18:21.120 --> 00:18:23.800]   And they might have just this really kind of
[00:18:23.800 --> 00:18:26.440]   bitter, unfair mentality and attitude.
[00:18:27.080 --> 00:18:29.040]   Or we can do a Moses.
[00:18:29.040 --> 00:18:31.400]   You know, "Lord, no thank you.
[00:18:31.400 --> 00:18:33.480]   "I stutter."
[00:18:33.480 --> 00:18:35.560]   You know, like, that's what Moses did.
[00:18:35.560 --> 00:18:37.220]   Or on another scene, Moses went,
[00:18:37.220 --> 00:18:38.800]   "I got a better idea, what about that guy?
[00:18:38.800 --> 00:18:40.180]   "You send him.
[00:18:40.180 --> 00:18:41.100]   "I've got good ideas.
[00:18:41.100 --> 00:18:43.320]   "I like to play the supportive role.
[00:18:43.320 --> 00:18:44.360]   "We'll send Aaron."
[00:18:44.360 --> 00:18:47.240]   Right, like, we could have different kind of responses.
[00:18:47.240 --> 00:18:50.760]   Or Apostle Paul, he essentially almost, like,
[00:18:50.760 --> 00:18:53.560]   repeats multiple times, starting from verse two.
