
[00:00:00.000 --> 00:00:03.160]   (audience chattering)
[00:04:32.120 --> 00:04:36.120]   (audience chattering continues)
[00:04:36.120 --> 00:04:40.120]   (audience chattering continues)
[00:04:40.120 --> 00:04:44.120]   (audience chattering continues)
[00:04:44.120 --> 00:04:48.120]   (audience chattering continues)
[00:04:48.120 --> 00:04:52.120]   (audience chattering continues)
[00:04:52.120 --> 00:04:56.120]   (audience chattering continues)
[00:04:56.120 --> 00:05:00.120]   (audience chattering continues)
[00:05:00.120 --> 00:05:04.120]   (audience chattering continues)
[00:05:04.120 --> 00:05:08.120]   (audience chattering continues)
[00:05:08.120 --> 00:05:12.120]   (audience chattering continues)
[00:05:12.120 --> 00:05:16.120]   (audience chattering continues)
[00:05:16.120 --> 00:05:36.120]   (audience chattering continues)
[00:05:36.120 --> 00:05:40.120]   (audience chattering continues)
[00:05:40.120 --> 00:05:44.120]   (audience chattering continues)
[00:05:44.120 --> 00:06:02.120]   (audience chattering continues)
[00:06:02.120 --> 00:06:06.120]   (audience chattering continues)
[00:06:06.120 --> 00:06:10.120]   (audience chattering continues)
[00:06:10.120 --> 00:06:14.120]   (audience chattering continues)
[00:06:14.120 --> 00:06:18.120]   (audience chattering continues)
[00:06:18.120 --> 00:06:22.120]   (audience chattering continues)
[00:06:22.120 --> 00:06:26.120]   (audience chattering continues)
[00:06:26.120 --> 00:06:30.120]   (audience chattering continues)
[00:06:30.120 --> 00:06:34.120]   (audience chattering continues)
[00:06:34.120 --> 00:06:38.120]   (audience chattering continues)
[00:06:38.120 --> 00:06:42.120]   (audience chattering continues)
[00:06:42.120 --> 00:06:46.120]   (audience chattering continues)
[00:06:46.120 --> 00:06:50.120]   (audience chattering continues)
[00:06:50.120 --> 00:06:54.120]   (audience chattering continues)
[00:06:54.120 --> 00:06:58.120]   (audience chattering continues)
[00:06:58.120 --> 00:07:02.120]   (audience chattering continues)
[00:07:02.120 --> 00:07:06.120]   (audience chattering continues)
[00:07:06.120 --> 00:07:10.120]   (audience chattering continues)
[00:07:10.120 --> 00:07:14.120]   (audience chattering continues)
[00:07:14.120 --> 00:07:18.120]   (audience chattering continues)
[00:07:18.120 --> 00:07:22.120]   (audience chattering continues)
[00:07:22.120 --> 00:07:26.120]   (audience chattering continues)
[00:07:26.120 --> 00:07:30.120]   (audience chattering continues)
[00:07:30.120 --> 00:07:34.120]   (audience chattering continues)
[00:07:34.120 --> 00:07:38.120]   (audience chattering continues)
[00:07:38.120 --> 00:07:42.120]   (audience chattering continues)
[00:07:42.120 --> 00:07:46.120]   (audience chattering continues)
[00:07:46.120 --> 00:07:50.120]   (audience chattering continues)
[00:07:50.120 --> 00:07:54.120]   (audience chattering continues)
[00:07:54.120 --> 00:07:58.120]   (audience chattering continues)
[00:07:58.120 --> 00:08:02.120]   (audience chattering continues)
[00:08:02.120 --> 00:08:06.120]   (audience chattering continues)
[00:08:06.120 --> 00:08:10.120]   (audience chattering continues)
[00:08:10.120 --> 00:08:14.120]   (audience chattering continues)
[00:08:14.120 --> 00:08:18.120]   (audience chattering continues)
[00:08:18.120 --> 00:08:22.120]   (audience chattering continues)
[00:08:22.120 --> 00:08:26.120]   (audience chattering continues)
[00:08:26.120 --> 00:08:30.120]   (audience chattering continues)
[00:08:30.120 --> 00:08:34.120]   (audience chattering continues)
[00:08:34.120 --> 00:08:52.120]   (audience chattering continues)
[00:08:52.120 --> 00:08:56.120]   (audience chattering continues)
[00:08:56.120 --> 00:09:00.120]   (audience chattering continues)
[00:09:00.120 --> 00:09:04.120]   (audience chattering continues)
[00:09:04.120 --> 00:09:08.120]   (audience chattering continues)
[00:09:08.120 --> 00:09:12.120]   (audience chattering continues)
[00:09:12.120 --> 00:09:16.120]   (audience chattering continues)
[00:09:16.120 --> 00:09:20.120]   (audience chattering continues)
[00:09:20.120 --> 00:09:24.120]   (audience chattering continues)
[00:09:24.120 --> 00:09:28.120]   (audience chattering continues)
[00:09:28.120 --> 00:09:32.120]   (audience chattering continues)
[00:09:32.120 --> 00:09:36.120]   (audience chattering continues)
[00:09:36.120 --> 00:09:40.120]   (audience chattering continues)
[00:09:40.120 --> 00:09:44.120]   (audience chattering continues)
[00:09:44.120 --> 00:09:48.120]   (audience chattering continues)
[00:09:48.120 --> 00:09:52.120]   (audience chattering continues)
[00:09:52.120 --> 00:09:56.120]   (audience chattering continues)
[00:09:56.120 --> 00:10:00.120]   (audience chattering continues)
[00:10:00.120 --> 00:10:04.120]   (audience chattering continues)
[00:10:04.120 --> 00:10:08.120]   (audience chattering continues)
[00:10:08.120 --> 00:10:12.120]   (audience chattering continues)
[00:10:36.120 --> 00:10:40.120]   (audience chattering continues)
[00:10:40.120 --> 00:10:44.120]   (audience chattering continues)
[00:10:44.120 --> 00:10:48.120]   (audience chattering continues)
[00:10:48.120 --> 00:10:52.120]   (audience chattering continues)
[00:10:52.120 --> 00:10:55.120]   - All right, good evening, everybody.
[00:10:55.120 --> 00:10:59.120]   I know it was raining hard, treacherous terrain outside.
[00:10:59.120 --> 00:11:01.120]   I'm glad you guys are all here.
[00:11:01.120 --> 00:11:03.120]   Let's take a moment to have everybody settle
[00:11:03.120 --> 00:11:06.120]   to their tables, and then we'll pray
[00:11:06.120 --> 00:11:08.120]   to begin our Bible study.
[00:11:08.120 --> 00:11:10.120]   Please join me in prayer.
[00:11:10.120 --> 00:11:13.120]   Lord, Heavenly Father, we want to thank you
[00:11:13.120 --> 00:11:15.120]   for your amazing grace.
[00:11:15.120 --> 00:11:18.120]   God, we are so grateful when we think about you
[00:11:18.120 --> 00:11:22.120]   and your holiness and your absolute grandeur
[00:11:22.120 --> 00:11:28.120]   looking upon us with both pity, kindness, and love.
[00:11:28.120 --> 00:11:30.120]   And God, knowing who we are, Lord,
[00:11:30.120 --> 00:11:34.120]   we're oftentimes slow to learn, oftentimes resistant,
[00:11:34.120 --> 00:11:36.120]   and yet with your perfect patience,
[00:11:36.120 --> 00:11:38.120]   you continue to instruct us and teach us.
[00:11:38.120 --> 00:11:40.120]   We thank you, God.
[00:11:40.120 --> 00:11:42.120]   And Lord, as we participate in another Bible study,
[00:11:42.120 --> 00:11:45.120]   we pray with that kind of gratitude.
[00:11:45.120 --> 00:11:48.120]   We would be longing, Lord, to receive your instruction.
[00:11:48.120 --> 00:11:50.120]   We would long for conviction from your truth, Lord,
[00:11:50.120 --> 00:11:52.120]   that we would grow.
[00:11:52.120 --> 00:11:55.120]   We want to now join our voices to praise you.
[00:11:55.120 --> 00:11:57.120]   We want to lift you up on high as you deserve,
[00:11:57.120 --> 00:12:01.120]   and we ask, God, that as we give to you the worship,
[00:12:01.120 --> 00:12:04.120]   Lord, ultimately, it would be pleasing unto you.
[00:12:04.120 --> 00:12:06.120]   It's in Christ's name, amen.
[00:12:06.120 --> 00:12:08.120]   - Amen.
[00:12:08.120 --> 00:12:11.120]   (gentle music)
[00:12:11.120 --> 00:12:17.120]   Sing "I Stand."
[00:12:22.120 --> 00:12:28.120]   ♪ I stand amazed in the presence ♪
[00:12:28.120 --> 00:12:34.120]   ♪ Of Jesus the Nazarene ♪
[00:12:34.120 --> 00:12:42.120]   ♪ And wonder how he could love me ♪
[00:12:42.120 --> 00:12:48.120]   ♪ A sinner condemned unclean ♪
[00:12:49.120 --> 00:12:56.120]   ♪ Singing how marvelous, how wonderful ♪
[00:12:56.120 --> 00:13:02.120]   ♪ And my song shall ever be ♪
[00:13:02.120 --> 00:13:09.120]   ♪ How marvelous, how wonderful ♪
[00:13:09.120 --> 00:13:16.120]   ♪ Is my Savior's love for me ♪
[00:13:17.120 --> 00:13:19.120]   (gentle music)
[00:13:19.120 --> 00:13:20.120]   He took my sin.
[00:13:20.120 --> 00:13:27.120]   ♪ He took my sin and my sorrows ♪
[00:13:27.120 --> 00:13:33.120]   ♪ And made them his very own ♪
[00:13:33.120 --> 00:13:41.120]   ♪ And bore the burdens of calvary ♪
[00:13:42.120 --> 00:13:47.120]   ♪ Suffered and died alone ♪
[00:13:47.120 --> 00:13:55.120]   ♪ Singing how marvelous, how wonderful ♪
[00:13:55.120 --> 00:14:01.120]   ♪ And my song shall ever be ♪
[00:14:01.120 --> 00:14:08.120]   ♪ How marvelous, how wonderful ♪
[00:14:09.120 --> 00:14:15.120]   ♪ Is my Savior's love for me ♪
[00:14:15.120 --> 00:14:19.120]   (gentle music)
[00:14:19.120 --> 00:14:26.120]   ♪ And with the ransomed in glory ♪
[00:14:26.120 --> 00:14:32.120]   ♪ His face I at last shall see ♪
[00:14:33.120 --> 00:14:39.120]   ♪ And with my joy through the ages ♪
[00:14:39.120 --> 00:14:45.120]   ♪ To sing of his love for me ♪
[00:14:45.120 --> 00:14:53.120]   ♪ Singing how marvelous, how wonderful ♪
[00:14:53.120 --> 00:15:00.120]   ♪ And my song shall ever be ♪
[00:15:01.120 --> 00:15:07.120]   ♪ How marvelous, how wonderful ♪
[00:15:07.120 --> 00:15:14.120]   ♪ Is my Savior's love for me ♪
[00:15:14.120 --> 00:15:26.120]   (gentle music)
[00:15:26.120 --> 00:15:28.120]   Sing I will trust.
[00:15:29.120 --> 00:15:34.120]   ♪ I will trust my Savior Jesus ♪
[00:15:34.120 --> 00:15:39.120]   ♪ When my darkest hours befall ♪
[00:15:39.120 --> 00:15:44.120]   ♪ And trust him when to simply trust him ♪
[00:15:44.120 --> 00:15:49.120]   ♪ Seems the hardest thing of all ♪
[00:15:49.120 --> 00:15:55.120]   ♪ I will trust my Savior Jesus ♪
[00:15:56.120 --> 00:16:00.120]   ♪ Trust him when my strength is small ♪
[00:16:00.120 --> 00:16:05.120]   ♪ For I know the shield of Jesus ♪
[00:16:05.120 --> 00:16:11.120]   ♪ Is the safest place of all ♪
[00:16:11.120 --> 00:16:16.120]   ♪ Jesus, only Jesus ♪
[00:16:16.120 --> 00:16:21.120]   ♪ Help me trust you more and more ♪
[00:16:22.120 --> 00:16:26.120]   ♪ Jesus, only Jesus ♪
[00:16:26.120 --> 00:16:31.120]   ♪ May my heart be ever yours ♪
[00:16:31.120 --> 00:16:34.120]   (gentle music)
[00:16:34.120 --> 00:16:39.120]   ♪ I will trust my Savior Jesus ♪
[00:16:39.120 --> 00:16:44.120]   ♪ He has set his way as best ♪
[00:16:44.120 --> 00:16:49.120]   ♪ And I know the path he's chosen ♪
[00:16:50.120 --> 00:16:54.120]   ♪ Leads to everlasting rest ♪
[00:16:54.120 --> 00:16:59.120]   ♪ Jesus, only Jesus ♪
[00:16:59.120 --> 00:17:04.120]   ♪ Help me trust you more and more ♪
[00:17:04.120 --> 00:17:09.120]   ♪ Jesus, only Jesus ♪
[00:17:09.120 --> 00:17:15.120]   ♪ May my heart be ever yours ♪
[00:17:15.120 --> 00:17:17.120]   Sing oh.
[00:17:18.120 --> 00:17:22.120]   ♪ Oh on that cross ♪
[00:17:22.120 --> 00:17:27.120]   ♪ How it was seen ♪
[00:17:27.120 --> 00:17:32.120]   ♪ I can go now ever trusting ♪
[00:17:32.120 --> 00:17:38.120]   ♪ In the one who died for me ♪
[00:17:38.120 --> 00:17:42.120]   ♪ What could I bring ♪
[00:17:43.120 --> 00:17:48.120]   ♪ For your gift is complete ♪
[00:17:48.120 --> 00:17:53.120]   ♪ And so I trust you, simply trust you ♪
[00:17:53.120 --> 00:17:57.120]   ♪ Lord with every part of me ♪
[00:17:57.120 --> 00:17:59.120]   Sing that again.
[00:17:59.120 --> 00:18:03.120]   ♪ Oh on that cross ♪
[00:18:03.120 --> 00:18:07.120]   ♪ How it was seen ♪
[00:18:08.120 --> 00:18:13.120]   ♪ I can go now ever trusting ♪
[00:18:13.120 --> 00:18:18.120]   ♪ In the one who died for me ♪
[00:18:18.120 --> 00:18:22.120]   ♪ What could I bring ♪
[00:18:22.120 --> 00:18:27.120]   ♪ For your gift is complete ♪
[00:18:27.120 --> 00:18:32.120]   ♪ And so I trust you, simply trust you ♪
[00:18:33.120 --> 00:18:38.120]   ♪ Lord with every part of me ♪
[00:18:38.120 --> 00:18:40.120]   Sing Jesus.
[00:18:40.120 --> 00:18:45.120]   ♪ Jesus, only Jesus ♪
[00:18:45.120 --> 00:18:50.120]   ♪ Help me trust you more and more ♪
[00:18:50.120 --> 00:18:55.120]   ♪ Jesus, only Jesus ♪
[00:18:55.120 --> 00:19:00.120]   ♪ May my heart be ever yours ♪
[00:19:01.120 --> 00:19:05.120]   ♪ Jesus, only Jesus ♪
[00:19:05.120 --> 00:19:10.120]   ♪ Help me trust you more and more ♪
[00:19:10.120 --> 00:19:15.120]   ♪ Jesus, only Jesus ♪
[00:19:15.120 --> 00:19:20.120]   ♪ May my heart be ever yours ♪
[00:19:20.120 --> 00:19:26.120]   ♪ May my heart be ever yours ♪
[00:19:26.120 --> 00:19:29.120]   Okay, let's pray.
[00:19:30.120 --> 00:19:33.120]   Father, we just thank you for this time of worship.
[00:19:33.120 --> 00:19:35.120]   And as we just sang, God,
[00:19:35.120 --> 00:19:36.120]   we wanna trust in you, Lord,
[00:19:36.120 --> 00:19:39.120]   and we wanna trust in you more and more each day.
[00:19:39.120 --> 00:19:41.120]   Lord, as you just remind us, God,
[00:19:41.120 --> 00:19:42.120]   that you are the same God
[00:19:42.120 --> 00:19:44.120]   that made those promises to Abraham.
[00:19:44.120 --> 00:19:47.120]   We're the same God that we worshiped here today.
[00:19:47.120 --> 00:19:49.120]   So God, as we just continue through the study
[00:19:49.120 --> 00:19:52.120]   and just continue to reflect on the cross, Lord,
[00:19:52.120 --> 00:19:56.120]   we pray that we would continue to just grow in amazement,
[00:19:56.120 --> 00:19:58.120]   Lord, of the beauty of the cross
[00:19:58.120 --> 00:20:00.120]   and what you've done for us, God.
[00:20:00.120 --> 00:20:02.120]   I would just thank you for this time once again,
[00:20:02.120 --> 00:20:04.120]   and it's in Christ's name we pray, amen.
[00:20:04.120 --> 00:20:06.120]   So we'll just break off into our small groups
[00:20:06.120 --> 00:20:08.120]   and then meet back at eight o'clock.
[00:20:08.120 --> 00:20:09.120]   Thanks.
[00:20:09.120 --> 00:20:10.120]   - Thanks.
[00:20:11.120 --> 00:20:13.120]   (indistinct)
[00:20:13.120 --> 00:20:18.120]   (indistinct)
[00:20:18.120 --> 00:20:23.120]   (indistinct)
[00:20:23.120 --> 00:20:28.120]   (indistinct)
[00:20:28.120 --> 00:20:33.120]   (indistinct)
[00:20:33.120 --> 00:20:38.120]   (indistinct)
[00:20:38.120 --> 00:20:43.120]   (indistinct)
[00:20:43.120 --> 00:20:48.120]   (indistinct)
[00:20:48.120 --> 00:20:53.120]   (indistinct)
[00:20:53.120 --> 00:20:58.120]   (indistinct)
[00:20:58.120 --> 00:21:03.120]   (indistinct)
[00:21:03.120 --> 00:21:08.120]   (indistinct)
[00:21:08.120 --> 00:21:13.120]   (indistinct)
[00:21:13.120 --> 00:21:18.120]   (indistinct)
[00:21:18.120 --> 00:21:23.120]   (indistinct)
[00:21:23.120 --> 00:21:28.120]   (indistinct)
[00:21:28.120 --> 00:21:33.120]   (indistinct)
[00:21:33.120 --> 00:21:38.120]   (indistinct)
[00:21:38.120 --> 00:21:43.120]   (indistinct)
[00:21:43.120 --> 00:21:48.120]   (indistinct)
[00:21:48.120 --> 00:21:53.120]   (indistinct)
[00:21:53.120 --> 00:21:58.120]   (indistinct)
[00:21:58.120 --> 00:22:03.120]   (indistinct)
[00:22:03.120 --> 00:22:08.120]   (indistinct)
[00:22:08.120 --> 00:22:13.120]   (indistinct)
[00:22:13.120 --> 00:22:18.120]   (indistinct)
[00:22:18.120 --> 00:22:23.120]   (indistinct)
[00:22:23.120 --> 00:22:28.120]   (indistinct)
[00:22:28.120 --> 00:22:33.120]   (indistinct)
[00:22:33.120 --> 00:22:38.120]   (indistinct)
[00:22:38.120 --> 00:22:43.120]   (indistinct)
[00:22:43.120 --> 00:22:48.120]   (indistinct)
[00:22:48.120 --> 00:22:53.120]   (indistinct)
[00:22:53.120 --> 00:22:58.120]   (indistinct)
[00:22:58.120 --> 00:23:03.120]   (indistinct)
[00:23:03.120 --> 00:23:08.120]   (indistinct)
[00:23:08.120 --> 00:23:13.120]   (indistinct)
[00:23:13.120 --> 00:23:18.120]   (indistinct)
[00:23:18.120 --> 00:23:23.120]   (indistinct)
[00:23:23.120 --> 00:23:28.120]   (indistinct)
[00:23:28.120 --> 00:23:33.120]   (indistinct)
[00:23:33.120 --> 00:23:38.120]   (indistinct)
[00:23:38.120 --> 00:23:43.120]   (indistinct)
[00:23:43.120 --> 00:23:48.120]   (indistinct)
[00:23:48.120 --> 00:23:53.120]   (indistinct)
[00:23:53.120 --> 00:23:58.120]   (indistinct)
[00:23:58.120 --> 00:24:03.120]   (indistinct)
[00:24:03.120 --> 00:24:08.120]   (indistinct)
[00:24:08.120 --> 00:24:13.120]   (indistinct)
[00:24:13.120 --> 00:24:18.120]   (indistinct)
[00:24:18.120 --> 00:24:23.120]   (indistinct)
[00:24:23.120 --> 00:24:28.120]   (indistinct)
[00:24:28.120 --> 00:24:33.120]   (indistinct)
[00:24:33.120 --> 00:24:38.120]   (indistinct)
[00:24:38.120 --> 00:24:43.120]   (indistinct)
[00:24:43.120 --> 00:24:48.120]   (indistinct)
[00:24:48.120 --> 00:24:53.120]   (indistinct)
[00:24:53.120 --> 00:24:58.120]   (indistinct)
[00:24:58.120 --> 00:25:03.120]   (indistinct)
[00:25:03.120 --> 00:25:08.120]   (indistinct)
[00:25:08.120 --> 00:25:13.120]   (indistinct)
[00:25:13.120 --> 00:25:18.120]   (indistinct)
[00:25:18.120 --> 00:25:23.120]   (indistinct)
[00:25:23.120 --> 00:25:28.120]   (indistinct)
[00:25:28.120 --> 00:25:33.120]   (indistinct)
[00:25:33.120 --> 00:25:38.120]   (indistinct)
[00:25:38.120 --> 00:25:43.120]   (indistinct)
[00:25:43.120 --> 00:25:48.120]   (indistinct)
[00:25:48.120 --> 00:25:53.120]   (indistinct)
[00:25:53.120 --> 00:25:58.120]   (indistinct)
[00:25:58.120 --> 00:26:03.120]   (indistinct)
[00:26:03.120 --> 00:26:08.120]   (indistinct)
[00:26:08.120 --> 00:26:13.120]   (indistinct)
[00:26:13.120 --> 00:26:18.120]   (indistinct)
[00:26:18.120 --> 00:26:23.120]   (indistinct)
[00:26:23.120 --> 00:26:28.120]   (indistinct)
[00:26:28.120 --> 00:26:33.120]   (indistinct)
[00:26:33.120 --> 00:26:38.120]   (indistinct)
[00:26:38.120 --> 00:26:43.120]   (indistinct)
[00:26:43.120 --> 00:26:48.120]   (indistinct)
[00:26:48.120 --> 00:26:53.120]   (indistinct)
[00:26:53.120 --> 00:26:58.120]   (indistinct)
[00:26:58.120 --> 00:27:03.120]   (indistinct)
[00:27:03.120 --> 00:27:08.120]   (indistinct)
[00:27:08.120 --> 00:27:13.120]   (indistinct)
[00:27:13.120 --> 00:27:18.120]   (indistinct)
[00:27:18.120 --> 00:27:23.120]   (indistinct)
[00:27:23.120 --> 00:27:28.120]   (indistinct)
[00:27:28.120 --> 00:27:33.120]   (indistinct)
[00:27:33.120 --> 00:27:38.120]   (indistinct)
[00:27:38.120 --> 00:27:43.120]   (indistinct)
[00:27:43.120 --> 00:27:48.120]   (indistinct)
[00:27:48.120 --> 00:27:53.120]   (indistinct)
[00:27:53.120 --> 00:27:58.120]   (indistinct)
[00:27:58.120 --> 00:28:03.120]   (indistinct)
[00:28:03.120 --> 00:28:08.120]   (indistinct)
[00:28:08.120 --> 00:28:13.120]   (indistinct)
[00:28:13.120 --> 00:28:18.120]   (indistinct)
[00:28:18.120 --> 00:28:23.120]   (indistinct)
[00:28:23.120 --> 00:28:28.120]   (indistinct)
[00:28:28.120 --> 00:28:33.120]   (indistinct)
[00:28:33.120 --> 00:28:38.120]   (indistinct)
[00:28:38.120 --> 00:28:43.120]   (indistinct)
[00:28:43.120 --> 00:28:48.120]   (indistinct)
[00:28:48.120 --> 00:28:53.120]   (indistinct)
[00:28:53.120 --> 00:28:58.120]   (indistinct)
[00:28:58.120 --> 00:29:03.120]   (indistinct)
[00:29:03.120 --> 00:29:08.120]   (indistinct)
[00:29:08.120 --> 00:29:13.120]   (indistinct)
[00:29:13.120 --> 00:29:18.120]   (indistinct)
[00:29:18.120 --> 00:29:23.120]   (indistinct)
[00:29:23.120 --> 00:29:28.120]   (indistinct)
[00:29:28.120 --> 00:29:33.120]   (indistinct)
[00:29:33.120 --> 00:29:38.120]   (indistinct)
[00:29:38.120 --> 00:29:43.120]   (indistinct)
[00:29:43.120 --> 00:29:48.120]   (indistinct)
[00:29:48.120 --> 00:29:53.120]   (indistinct)
[00:29:53.120 --> 00:29:58.120]   (indistinct)
[00:29:58.120 --> 00:30:03.120]   (indistinct)
[00:30:03.120 --> 00:30:08.120]   (indistinct)
[00:30:08.120 --> 00:30:13.120]   (indistinct)
[00:30:13.120 --> 00:30:18.120]   (indistinct)
[00:30:18.120 --> 00:30:23.120]   (indistinct)
[00:30:23.120 --> 00:30:28.120]   (indistinct)
[00:30:28.120 --> 00:30:33.120]   (indistinct)
[00:30:33.120 --> 00:30:38.120]   (indistinct)
[00:30:38.120 --> 00:30:43.120]   (indistinct)
[00:30:43.120 --> 00:30:48.120]   (indistinct)
[00:30:48.120 --> 00:30:53.120]   (indistinct)
[00:30:53.120 --> 00:30:58.120]   (indistinct)
[00:30:58.120 --> 00:31:03.120]   (indistinct)
[00:31:03.120 --> 00:31:08.120]   (indistinct)
[00:31:08.120 --> 00:31:13.120]   (indistinct)
[00:31:13.120 --> 00:31:18.120]   (indistinct)
[00:31:18.120 --> 00:31:23.120]   (indistinct)
[00:31:23.120 --> 00:31:28.120]   (indistinct)
[00:31:28.120 --> 00:31:33.120]   (indistinct)
[00:31:33.120 --> 00:31:38.120]   (indistinct)
[00:31:38.120 --> 00:31:43.120]   (indistinct)
[00:31:43.120 --> 00:31:48.120]   (indistinct)
[00:31:48.120 --> 00:31:53.120]   (indistinct)
[00:31:53.120 --> 00:31:58.120]   (indistinct)
[00:31:58.120 --> 00:32:03.120]   (indistinct)
[00:32:03.120 --> 00:32:08.120]   (indistinct)
[00:32:08.120 --> 00:32:13.120]   (indistinct)
[00:32:13.120 --> 00:32:18.120]   (indistinct)
[00:32:18.120 --> 00:32:23.120]   (indistinct)
[00:32:23.120 --> 00:32:28.120]   (indistinct)
[00:32:28.120 --> 00:32:33.120]   (indistinct)
[00:32:33.120 --> 00:32:38.120]   (indistinct)
[00:32:38.120 --> 00:32:43.120]   (indistinct)
[00:32:43.120 --> 00:32:48.120]   (indistinct)
[00:32:48.120 --> 00:32:53.120]   (indistinct)
[00:32:53.120 --> 00:32:58.120]   (indistinct)
[00:32:58.120 --> 00:33:03.120]   (indistinct)
[00:33:03.120 --> 00:33:08.120]   (indistinct)
[00:33:08.120 --> 00:33:13.120]   (indistinct)
[00:33:13.120 --> 00:33:18.120]   (indistinct)
[00:33:18.120 --> 00:33:23.120]   (indistinct)
[00:33:23.120 --> 00:33:28.120]   (indistinct)
[00:33:28.120 --> 00:33:33.120]   (indistinct)
[00:33:33.120 --> 00:33:38.120]   (indistinct)
[00:33:38.120 --> 00:33:43.120]   (indistinct)
[00:33:43.120 --> 00:33:48.120]   (indistinct)
[00:33:48.120 --> 00:33:53.120]   (indistinct)
[00:33:53.120 --> 00:33:58.120]   (indistinct)
[00:33:58.120 --> 00:34:03.120]   (indistinct)
[00:34:03.120 --> 00:34:08.120]   (indistinct)
[00:34:08.120 --> 00:34:13.120]   (indistinct)
[00:34:13.120 --> 00:34:18.120]   (indistinct)
[00:34:18.120 --> 00:34:23.120]   (indistinct)
[00:34:23.120 --> 00:34:28.120]   (indistinct)
[00:34:28.120 --> 00:34:33.120]   (indistinct)
[00:34:33.120 --> 00:34:38.120]   (indistinct)
[00:34:38.120 --> 00:34:43.120]   (indistinct)
[00:34:43.120 --> 00:34:48.120]   (indistinct)
[00:34:48.120 --> 00:34:53.120]   (indistinct)
