
[00:00:00.000 --> 00:00:03.300]   ♪ Rejoice ♪
[00:11:05.660 --> 00:11:10.660]   ♪ It's time to sing your song again ♪
[00:11:10.660 --> 00:11:14.660]   ♪ Whatever may pass ♪
[00:11:14.660 --> 00:11:19.660]   ♪ And whatever lies before you ♪
[00:11:19.660 --> 00:11:25.660]   ♪ Let me be singing when the evening comes ♪
[00:11:30.660 --> 00:11:34.660]   ♪ Bless the Lord, O my soul ♪
[00:11:34.660 --> 00:11:37.660]   ♪ O my soul ♪
[00:11:37.660 --> 00:11:42.660]   ♪ Worship his holy name ♪
[00:11:42.660 --> 00:11:47.660]   ♪ Sing like never before ♪
[00:11:47.660 --> 00:11:50.660]   ♪ O my soul ♪
[00:11:50.660 --> 00:11:55.660]   ♪ I'll worship your holy name ♪
[00:11:58.660 --> 00:12:00.660]   ♪ You're rich in love ♪
[00:12:00.660 --> 00:12:03.660]   ♪ You're rich in love ♪
[00:12:03.660 --> 00:12:07.660]   ♪ And you're slow to anger ♪
[00:12:07.660 --> 00:12:09.660]   ♪ Your name is great ♪
[00:12:09.660 --> 00:12:13.660]   ♪ And your heart is kind ♪
[00:12:13.660 --> 00:12:16.660]   ♪ For all your goodness ♪
[00:12:16.660 --> 00:12:21.660]   ♪ I will keep on singing ♪
[00:12:21.660 --> 00:12:27.660]   ♪ 10,000 reasons for my heart to find ♪
[00:12:28.660 --> 00:12:31.660]   (upbeat music)
[00:12:31.660 --> 00:12:33.660]   ♪ Bless the Lord ♪
[00:12:33.660 --> 00:12:37.660]   ♪ Bless the Lord, O my soul ♪
[00:12:37.660 --> 00:12:40.660]   ♪ O my soul ♪
[00:12:40.660 --> 00:12:45.660]   ♪ Worship his holy name ♪
[00:12:45.660 --> 00:12:50.660]   ♪ Sing like never before ♪
[00:12:50.660 --> 00:12:53.660]   ♪ O my soul ♪
[00:12:53.660 --> 00:12:58.660]   ♪ I'll worship your holy name ♪
[00:12:58.660 --> 00:13:02.660]   (upbeat music)
[00:13:02.660 --> 00:13:05.660]   (upbeat music)
[00:13:05.660 --> 00:13:08.660]   (upbeat music)
[00:13:08.660 --> 00:13:11.660]   (upbeat music)
[00:13:11.660 --> 00:13:14.660]   (upbeat music)
[00:13:14.660 --> 00:13:17.660]   (upbeat music)
[00:13:17.660 --> 00:13:20.660]   (upbeat music)
[00:13:20.660 --> 00:13:23.660]   (upbeat music)
[00:13:23.660 --> 00:13:26.660]   ♪ And on that day ♪
[00:13:26.660 --> 00:13:29.660]   ♪ And on that day ♪
[00:13:29.660 --> 00:13:33.660]   ♪ When my strength is failing ♪
[00:13:33.660 --> 00:13:35.660]   ♪ The end draws near ♪
[00:13:35.660 --> 00:13:39.660]   ♪ And my time has come ♪
[00:13:39.660 --> 00:13:44.660]   ♪ Still my soul will sing your praise unending ♪
[00:13:44.660 --> 00:13:53.660]   ♪ 10,000 years and then forevermore ♪
[00:13:53.660 --> 00:13:58.660]   ♪ Forevermore ♪
[00:13:58.660 --> 00:14:02.660]   ♪ Bless the Lord, O my soul ♪
[00:14:02.660 --> 00:14:05.660]   ♪ O my soul ♪
[00:14:05.660 --> 00:14:10.660]   ♪ Worship his holy name ♪
[00:14:10.660 --> 00:14:15.660]   ♪ Sing like never before ♪
[00:14:15.660 --> 00:14:18.660]   ♪ O my soul ♪
[00:14:18.660 --> 00:14:23.660]   ♪ I'll worship your holy name ♪
[00:14:24.660 --> 00:14:28.660]   ♪ Bless the Lord, O my soul ♪
[00:14:28.660 --> 00:14:31.660]   ♪ O my soul ♪
[00:14:31.660 --> 00:14:36.660]   ♪ Worship his holy name ♪
[00:14:36.660 --> 00:14:41.660]   ♪ Sing like never before ♪
[00:14:41.660 --> 00:14:44.660]   ♪ O my soul ♪
[00:14:44.660 --> 00:14:49.660]   ♪ I'll worship your holy name ♪
[00:14:50.660 --> 00:14:55.660]   ♪ Yes, I will worship your holy name ♪
[00:14:55.660 --> 00:15:02.660]   ♪ Lord, I'll worship your holy name ♪
[00:15:02.660 --> 00:15:09.660]   - All right, good morning.
[00:15:09.660 --> 00:15:11.660]   Welcome to Breen Community Church.
[00:15:11.660 --> 00:15:13.660]   A few announcements to begin with.
[00:15:13.660 --> 00:15:15.660]   First of all, this coming Saturday
[00:15:15.660 --> 00:15:18.660]   is our church maintenance and cleaning day,
[00:15:18.660 --> 00:15:21.660]   and I've been asked by our logistics team
[00:15:21.660 --> 00:15:23.660]   that we need some more people to sign up,
[00:15:23.660 --> 00:15:25.660]   and so the table is outside,
[00:15:25.660 --> 00:15:28.660]   so if you're available this coming Saturday,
[00:15:28.660 --> 00:15:29.660]   the whole church,
[00:15:29.660 --> 00:15:31.660]   there's maintenance and cleaning going on,
[00:15:31.660 --> 00:15:35.660]   so please sign up, encourage you to sign up,
[00:15:35.660 --> 00:15:36.660]   and come out this coming Saturday.
[00:15:36.660 --> 00:15:40.660]   Again, if you exit, the table that you see,
[00:15:40.660 --> 00:15:42.660]   all the sign-ups are gonna be taking place over there.
[00:15:42.660 --> 00:15:44.660]   The Thanksgiving regional dinner
[00:15:44.660 --> 00:15:47.660]   that's happening next Sunday at 5 p.m.
[00:15:47.660 --> 00:15:49.660]   Today is the last day to sign up,
[00:15:49.660 --> 00:15:53.660]   so if you did sign up and you didn't get any email,
[00:15:53.660 --> 00:15:54.660]   something may have gone wrong,
[00:15:54.660 --> 00:15:56.660]   so please contact Justin directly
[00:15:56.660 --> 00:15:58.660]   and say, "Hey, I didn't get any emails.
[00:15:58.660 --> 00:16:01.660]   "Please, maybe it fell through the cracks
[00:16:01.660 --> 00:16:03.660]   "and you need it to be added somewhere."
[00:16:03.660 --> 00:16:06.660]   Please contact him, and if you haven't signed up,
[00:16:06.660 --> 00:16:08.660]   today is the very last day to sign up,
[00:16:08.660 --> 00:16:09.660]   so if you're planning to come,
[00:16:09.660 --> 00:16:11.660]   please go outside at the table
[00:16:11.660 --> 00:16:13.660]   and sign up directly there, okay?
[00:16:13.660 --> 00:16:15.660]   Family ministry Christmas party
[00:16:15.660 --> 00:16:17.660]   that's happening on December 7th
[00:16:17.660 --> 00:16:19.660]   at 5 p.m. in the main sanctuary.
[00:16:19.660 --> 00:16:22.660]   There will be childcare that's gonna be involved,
[00:16:22.660 --> 00:16:24.660]   and the cost of the food is right now
[00:16:24.660 --> 00:16:26.660]   about $15 and then $5 for children,
[00:16:26.660 --> 00:16:29.660]   and again, childcare is gonna be happening here,
[00:16:29.660 --> 00:16:31.660]   so if you haven't signed up for that, please sign up.
[00:16:31.660 --> 00:16:34.660]   So even if you're part of the home group,
[00:16:34.660 --> 00:16:37.660]   and because you're doing the Christmas presentation
[00:16:37.660 --> 00:16:40.660]   and various things, you still need to sign up for it
[00:16:40.660 --> 00:16:42.660]   because they need to prepare food,
[00:16:42.660 --> 00:16:45.660]   so just don't assume that you're signed up in your group.
[00:16:45.660 --> 00:16:47.660]   You're supposed to sign up individually,
[00:16:47.660 --> 00:16:49.660]   so if you're planning to come to that,
[00:16:49.660 --> 00:16:51.660]   please sign up for that outside in the courtyard,
[00:16:51.660 --> 00:16:52.660]   and then along with that,
[00:16:52.660 --> 00:16:54.660]   they are asking for more babysitters
[00:16:54.660 --> 00:16:56.660]   because obviously the whole family ministry
[00:16:56.660 --> 00:16:57.660]   is gonna be here,
[00:16:57.660 --> 00:16:59.660]   and they're looking for a few more volunteers
[00:16:59.660 --> 00:17:02.660]   to help with the seeds and the sprouts babysitting, okay?
[00:17:02.660 --> 00:17:05.660]   Again, all of this is-- the sign-up table is outside,
[00:17:05.660 --> 00:17:06.660]   so as you're walking outside,
[00:17:06.660 --> 00:17:10.660]   you'll run into the table, so please sign up there.
[00:17:10.660 --> 00:17:12.660]   I think that's it for the announcements.
[00:17:12.660 --> 00:17:13.660]   Let me pray for us,
[00:17:13.660 --> 00:17:16.660]   and then those of you who have physical offering,
[00:17:16.660 --> 00:17:18.660]   again, we have an offering box in the back
[00:17:18.660 --> 00:17:20.660]   on the way out on the wall, okay?
[00:17:20.660 --> 00:17:24.660]   Let me pray for us.
[00:17:24.660 --> 00:17:27.660]   Father, we thank you for this morning.
[00:17:27.660 --> 00:17:29.660]   Thank you for your grace and mercy.
[00:17:29.660 --> 00:17:33.660]   We thank you, Father God, that you've opened our eyes
[00:17:33.660 --> 00:17:37.660]   to be able to see who you are and what you have done.
[00:17:37.660 --> 00:17:38.660]   I pray that as you said,
[00:17:38.660 --> 00:17:42.660]   that your sheep will hear your voice and follow you.
[00:17:42.660 --> 00:17:44.660]   Help us, Lord God, to proclaim your glory,
[00:17:44.660 --> 00:17:46.660]   to make your voice clear,
[00:17:46.660 --> 00:17:48.660]   and that your children will be drawn
[00:17:48.660 --> 00:17:51.660]   to worship you in spirit and in truth.
[00:17:51.660 --> 00:17:53.660]   I pray that you will bless this morning,
[00:17:53.660 --> 00:17:54.660]   and even in the offering,
[00:17:54.660 --> 00:17:56.660]   may it be an act of obedience,
[00:17:56.660 --> 00:18:00.660]   act of service, an abundance of joy, Father God,
[00:18:00.660 --> 00:18:02.660]   that we would give to you what you deserve,
[00:18:02.660 --> 00:18:05.660]   and may it be multiplied for the sake of your kingdom.
[00:18:05.660 --> 00:18:09.660]   In Jesus' name we pray, amen.
[00:18:10.660 --> 00:18:15.660]   [music]
[00:18:15.660 --> 00:18:20.660]   [music]
[00:18:20.660 --> 00:18:25.660]   [music]
[00:18:25.660 --> 00:18:30.660]   [music]
[00:18:30.660 --> 00:18:35.660]   [music]
[00:18:35.660 --> 00:18:40.660]   [music]
[00:18:40.660 --> 00:18:44.660]   [music]
[00:18:44.660 --> 00:18:46.660]   Church family, would you please stand
[00:18:46.660 --> 00:18:48.660]   and take a moment to greet those around you
[00:18:48.660 --> 00:18:51.660]   before we continue our worship.
[00:18:51.660 --> 00:18:56.660]   [music]
[00:18:56.660 --> 00:19:01.660]   [music]
[00:19:01.660 --> 00:19:06.660]   [music]
[00:19:06.660 --> 00:19:11.660]   [music]
[00:19:11.660 --> 00:19:16.660]   [music]
[00:19:16.660 --> 00:19:21.660]   [music]
[00:19:21.660 --> 00:19:26.660]   [music]
[00:19:26.660 --> 00:19:31.660]   [music]
[00:19:31.660 --> 00:19:36.660]   [music]
[00:19:36.660 --> 00:19:41.660]   [music]
[00:19:41.660 --> 00:19:46.660]   [music]
[00:19:46.660 --> 00:19:51.660]   [music]
[00:19:51.660 --> 00:19:56.660]   [music]
[00:19:56.660 --> 00:20:01.660]   [music]
[00:20:01.660 --> 00:20:06.660]   [music]
[00:20:06.660 --> 00:20:11.660]   [music]
[00:20:11.660 --> 00:20:16.660]   [music]
[00:20:16.660 --> 00:20:21.660]   [music]
[00:20:21.660 --> 00:20:26.660]   [music]
[00:20:26.660 --> 00:20:31.660]   [music]
[00:20:31.660 --> 00:20:36.660]   [music]
[00:20:36.660 --> 00:20:41.660]   [music]
[00:20:41.660 --> 00:20:46.660]   [music]
[00:20:46.660 --> 00:20:51.660]   [music]
[00:20:51.660 --> 00:20:56.660]   [music]
[00:20:56.660 --> 00:21:01.660]   [music]
[00:21:01.660 --> 00:21:06.660]   [music]
[00:21:06.660 --> 00:21:11.660]   [music]
[00:21:11.660 --> 00:21:16.660]   [music]
[00:21:16.660 --> 00:21:21.660]   [music]
[00:21:21.660 --> 00:21:26.660]   [music]
[00:21:26.660 --> 00:21:31.660]   [music]
[00:21:31.660 --> 00:21:36.660]   [music]
[00:21:36.660 --> 00:21:41.660]   [music]
[00:21:41.660 --> 00:21:46.660]   [music]
[00:21:46.660 --> 00:21:51.660]   [music]
[00:21:51.660 --> 00:21:56.660]   [music]
[00:21:56.660 --> 00:22:01.660]   [music]
[00:22:01.660 --> 00:22:06.660]   [music]
[00:22:06.660 --> 00:22:11.660]   [music]
[00:22:11.660 --> 00:22:16.660]   [music]
[00:22:16.660 --> 00:22:21.660]   [music]
[00:22:21.660 --> 00:22:26.660]   [music]
[00:22:26.660 --> 00:22:31.660]   [music]
[00:22:31.660 --> 00:22:36.660]   [music]
[00:22:36.660 --> 00:22:41.660]   [music]
[00:22:41.660 --> 00:22:46.660]   [music]
[00:22:46.660 --> 00:22:51.660]   [music]
[00:22:51.660 --> 00:22:56.660]   [music]
[00:22:56.660 --> 00:23:01.660]   [music]
[00:23:01.660 --> 00:23:06.660]   [music]
[00:23:06.660 --> 00:23:11.660]   [music]
[00:23:11.660 --> 00:23:16.660]   [music]
[00:23:16.660 --> 00:23:21.660]   [music]
[00:23:21.660 --> 00:23:26.660]   [music]
[00:23:26.660 --> 00:23:31.660]   [music]
[00:23:31.660 --> 00:23:36.660]   [music]
[00:23:36.660 --> 00:23:41.660]   [music]
[00:23:41.660 --> 00:23:46.660]   [music]
[00:23:46.660 --> 00:23:51.660]   [music]
[00:23:51.660 --> 00:23:56.660]   [music]
[00:23:56.660 --> 00:24:01.660]   [music]
[00:24:01.660 --> 00:24:06.660]   [music]
[00:24:06.660 --> 00:24:11.660]   [music]
[00:24:11.660 --> 00:24:16.660]   [music]
[00:24:16.660 --> 00:24:21.660]   [music]
[00:24:21.660 --> 00:24:26.660]   [music]
[00:24:26.660 --> 00:24:31.660]   [music]
[00:24:31.660 --> 00:24:36.660]   [music]
[00:24:36.660 --> 00:24:41.660]   [music]
[00:24:41.660 --> 00:24:46.660]   [music]
[00:24:46.660 --> 00:24:51.660]   [music]
[00:24:51.660 --> 00:24:56.660]   [music]
[00:24:56.660 --> 00:25:01.660]   [music]
[00:25:01.660 --> 00:25:06.660]   [music]
[00:25:06.660 --> 00:25:11.660]   [music]
[00:25:11.660 --> 00:25:16.660]   [music]
[00:25:16.660 --> 00:25:21.660]   [music]
[00:25:21.660 --> 00:25:26.660]   [music]
[00:25:26.660 --> 00:25:31.660]   [music]
[00:25:31.660 --> 00:25:36.660]   [music]
[00:25:36.660 --> 00:25:41.660]   [music]
[00:25:41.660 --> 00:25:46.660]   [music]
[00:25:46.660 --> 00:25:51.660]   [music]
[00:25:51.660 --> 00:25:56.660]   [music]
[00:25:56.660 --> 00:26:01.660]   [music]
[00:26:01.660 --> 00:26:06.660]   [music]
[00:26:06.660 --> 00:26:11.660]   [music]
[00:26:11.660 --> 00:26:16.660]   [music]
[00:26:16.660 --> 00:26:21.660]   [music]
[00:26:21.660 --> 00:26:26.660]   [music]
[00:26:26.660 --> 00:26:31.660]   [music]
[00:26:31.660 --> 00:26:36.660]   [music]
[00:26:36.660 --> 00:26:41.660]   [music]
[00:26:41.660 --> 00:26:46.660]   [music]
[00:26:46.660 --> 00:26:51.660]   [music]
[00:26:51.660 --> 00:26:56.660]   [music]
[00:26:56.660 --> 00:27:01.660]   [music]
[00:27:01.660 --> 00:27:06.660]   [music]
[00:27:06.660 --> 00:27:11.660]   [music]
[00:27:11.660 --> 00:27:16.660]   [music]
[00:27:16.660 --> 00:27:21.660]   [music]
[00:27:21.660 --> 00:27:26.660]   [music]
[00:27:26.660 --> 00:27:31.660]   [music]
[00:27:31.660 --> 00:27:36.660]   [music]
[00:27:36.660 --> 00:27:41.660]   [music]
[00:27:41.660 --> 00:27:46.660]   [music]
[00:27:46.660 --> 00:27:51.660]   [music]
[00:27:51.660 --> 00:27:56.660]   [music]
[00:27:56.660 --> 00:28:01.660]   [music]
[00:28:01.660 --> 00:28:06.660]   [music]
[00:28:06.660 --> 00:28:11.660]   [music]
[00:28:11.660 --> 00:28:16.660]   [music]
[00:28:16.660 --> 00:28:21.660]   [music]
[00:28:21.660 --> 00:28:26.660]   [music]
[00:28:26.660 --> 00:28:31.660]   [music]
[00:28:31.660 --> 00:28:36.660]   [music]
[00:28:36.660 --> 00:28:41.660]   [music]
[00:28:41.660 --> 00:28:46.660]   [music]
[00:28:46.660 --> 00:28:51.660]   [music]
[00:28:51.660 --> 00:28:56.660]   [music]
[00:28:56.660 --> 00:29:01.660]   [music]
[00:29:01.660 --> 00:29:06.660]   [music]
[00:29:06.660 --> 00:29:11.660]   [music]
[00:29:11.660 --> 00:29:16.660]   [music]
[00:29:16.660 --> 00:29:21.660]   [music]
[00:29:21.660 --> 00:29:26.660]   [music]
[00:29:26.660 --> 00:29:31.660]   [music]
[00:29:31.660 --> 00:29:36.660]   [music]
[00:29:36.660 --> 00:29:41.660]   [music]
[00:29:41.660 --> 00:29:46.660]   [music]
[00:29:46.660 --> 00:29:51.660]   [music]
[00:29:51.660 --> 00:29:56.660]   [music]
[00:29:56.660 --> 00:30:01.660]   [music]
[00:30:01.660 --> 00:30:06.660]   [music]
[00:30:06.660 --> 00:30:11.660]   [music]
[00:30:11.660 --> 00:30:16.660]   [music]
[00:30:16.660 --> 00:30:21.660]   [music]
[00:30:21.660 --> 00:30:26.660]   [music]
[00:30:26.660 --> 00:30:31.660]   [music]
[00:30:31.660 --> 00:30:36.660]   [music]
[00:30:36.660 --> 00:30:41.660]   [music]
[00:30:41.660 --> 00:30:46.660]   [music]
[00:30:46.660 --> 00:30:51.660]   [music]
[00:30:51.660 --> 00:30:56.660]   [music]
[00:30:56.660 --> 00:31:01.660]   [music]
[00:31:01.660 --> 00:31:06.660]   [music]
[00:31:06.660 --> 00:31:11.660]   [music]
[00:31:11.660 --> 00:31:16.660]   [music]
[00:31:16.660 --> 00:31:21.660]   [music]
[00:31:21.660 --> 00:31:26.660]   [music]
[00:31:26.660 --> 00:31:31.660]   [music]
[00:31:31.660 --> 00:31:36.660]   [music]
[00:31:36.660 --> 00:31:41.660]   [music]
[00:31:41.660 --> 00:31:46.660]   [music]
[00:31:46.660 --> 00:31:51.660]   [music]
[00:31:51.660 --> 00:31:56.660]   [music]
[00:31:56.660 --> 00:32:01.660]   [music]
[00:32:01.660 --> 00:32:06.660]   [music]
[00:32:06.660 --> 00:32:11.660]   [music]
[00:32:11.660 --> 00:32:16.660]   [music]
[00:32:16.660 --> 00:32:21.660]   [music]
[00:32:21.660 --> 00:32:26.660]   [music]
[00:32:26.660 --> 00:32:31.660]   [music]
[00:32:31.660 --> 00:32:36.660]   [music]
[00:32:36.660 --> 00:32:41.660]   [music]
[00:32:41.660 --> 00:32:46.660]   [music]
[00:32:46.660 --> 00:32:51.660]   [music]
[00:32:51.660 --> 00:32:56.660]   [music]
[00:32:56.660 --> 00:33:01.660]   [music]
[00:33:01.660 --> 00:33:06.660]   [music]
[00:33:06.660 --> 00:33:11.660]   [music]
[00:33:11.660 --> 00:33:16.660]   [music]
[00:33:16.660 --> 00:33:21.660]   [music]
[00:33:21.660 --> 00:33:26.660]   [music]
[00:33:26.660 --> 00:33:31.660]   [music]
[00:33:31.660 --> 00:33:36.660]   [music]
[00:33:36.660 --> 00:33:41.660]   [music]
[00:33:41.660 --> 00:33:46.660]   [music]
[00:33:46.660 --> 00:33:51.660]   [music]
[00:33:51.660 --> 00:33:56.660]   [music]
[00:33:56.660 --> 00:34:01.660]   [music]
[00:34:01.660 --> 00:34:06.660]   [music]
[00:34:06.660 --> 00:34:11.660]   [music]
[00:34:11.660 --> 00:34:16.660]   [music]
[00:34:16.660 --> 00:34:21.660]   [music]
[00:34:21.660 --> 00:34:26.660]   [music]
[00:34:26.660 --> 00:34:31.660]   [music]
[00:34:31.660 --> 00:34:36.660]   [music]
[00:34:36.660 --> 00:34:41.660]   [music]
[00:34:41.660 --> 00:34:46.660]   [music]
[00:34:46.660 --> 00:34:51.660]   [music]
[00:34:51.660 --> 00:34:56.660]   [music]
[00:34:56.660 --> 00:35:01.660]   [music]
[00:35:01.660 --> 00:35:06.660]   [music]
[00:35:06.660 --> 00:35:11.660]   [music]
[00:35:11.660 --> 00:35:16.660]   [music]
[00:35:16.660 --> 00:35:21.660]   [music]
[00:35:21.660 --> 00:35:26.660]   [music]
[00:35:26.660 --> 00:35:31.660]   [music]
[00:35:31.660 --> 00:35:36.660]   [music]
[00:35:36.660 --> 00:35:41.660]   [music]
[00:35:41.660 --> 00:35:46.660]   [music]
[00:35:46.660 --> 00:35:51.660]   [music]
[00:35:51.660 --> 00:35:56.660]   [music]
[00:35:56.660 --> 00:36:01.660]   [music]
[00:36:01.660 --> 00:36:06.660]   [music]
[00:36:06.660 --> 00:36:11.660]   [music]
[00:36:11.660 --> 00:36:16.660]   [music]
[00:36:16.660 --> 00:36:21.660]   [music]
[00:36:21.660 --> 00:36:26.660]   [music]
[00:36:26.660 --> 00:36:31.660]   [music]
[00:36:31.660 --> 00:36:36.660]   [music]
[00:36:36.660 --> 00:36:41.660]   [music]
[00:36:41.660 --> 00:36:46.660]   [music]
[00:36:46.660 --> 00:36:51.660]   [music]
[00:36:51.660 --> 00:36:56.660]   [music]
[00:36:56.660 --> 00:37:01.660]   [music]
