
[00:00:00.000 --> 00:00:09.080]   - Good evening, everyone.
[00:03:00.440 --> 00:03:02.360]   Remember that in the last passage,
[00:03:02.360 --> 00:03:07.280]   we rehearse and review that Christ gave gifts.
[00:03:07.280 --> 00:03:09.280]   And what he talked about was to each one,
[00:03:09.280 --> 00:03:10.880]   God has given gifts.
[00:03:10.880 --> 00:03:14.760]   Christ as the victor, Christ as the conquering king,
[00:03:14.760 --> 00:03:17.840]   has been generous with us, has been generous with the church.
[00:03:17.840 --> 00:03:19.680]   And so he gives gifts to men.
[00:03:19.680 --> 00:03:21.280]   And he has authority to do so.
[00:03:21.280 --> 00:03:23.840]   And what he says here is that he gave some to be apostles,
[00:03:23.840 --> 00:03:26.080]   and some as prophets, and so forth.
[00:03:26.080 --> 00:03:27.720]   And so we have to ask the question, OK,
[00:03:27.720 --> 00:03:29.800]   so clearly Christ has been generous.
[00:03:29.800 --> 00:03:31.640]   What has he given?
[00:03:31.640 --> 00:03:34.880]   And what we already said was that the concept of gift
[00:03:34.880 --> 00:03:37.640]   in the New Testament has various different references,
[00:03:37.640 --> 00:03:41.320]   everything from your enablement, the skills that you have,
[00:03:41.320 --> 00:03:43.920]   your disposition, your character traits, the things
[00:03:43.920 --> 00:03:45.600]   that you can use for the church.
[00:03:45.600 --> 00:03:48.040]   We also talked about the Holy Spirit as a gift.
[00:03:48.040 --> 00:03:51.120]   We talked about obviously having even the collective whole
[00:03:51.120 --> 00:03:52.240]   as a gift.
[00:03:52.240 --> 00:03:55.080]   But more specifically, specific individuals,
[00:03:55.080 --> 00:03:57.440]   the individuals that are given to the church,
[00:03:57.440 --> 00:04:00.040]   and here, namely apostles, prophets, and evangelists,
[00:04:00.040 --> 00:04:01.760]   pastors, teachers.
[00:04:01.760 --> 00:04:04.080]   So we essentially want to say that.
[00:04:04.080 --> 00:04:06.320]   But what I like to do is whenever
[00:04:06.320 --> 00:04:09.360]   I make observations about a passage,
[00:04:09.360 --> 00:04:11.320]   and there happens to be a listing,
[00:04:11.320 --> 00:04:12.480]   I actually try to list it.
[00:04:12.480 --> 00:04:14.000]   And I recommend you do the same.
[00:04:14.000 --> 00:04:14.920]   Why?
[00:04:14.920 --> 00:04:16.800]   Because every time you see a list,
[00:04:16.800 --> 00:04:19.200]   you do want to observe and ask the questions of,
[00:04:19.200 --> 00:04:21.000]   is there a theme there?
[00:04:21.000 --> 00:04:22.040]   Is there a sequence?
[00:04:22.040 --> 00:04:23.600]   Is there an order?
[00:04:23.600 --> 00:04:25.920]   And the observation that I see is that, yes, there
[00:04:25.920 --> 00:04:27.640]   does seem to be a sequence.
[00:04:27.640 --> 00:04:28.560]   Why?
[00:04:28.560 --> 00:04:31.160]   Because this order appears in other passages of the New
[00:04:31.160 --> 00:04:32.400]   Testament as well.
[00:04:32.400 --> 00:04:37.200]   For example, 1 Corinthians chapter 12, verse 28 through 31.
[00:04:37.200 --> 00:04:39.360]   In this passage, Apostle Paul says,
[00:04:39.360 --> 00:04:42.080]   "And God has appointed in the church first apostles,
[00:04:42.080 --> 00:04:44.440]   second prophets, third teachers.
[00:04:44.440 --> 00:04:46.960]   Then miracles, then gifts of healing,
[00:04:46.960 --> 00:04:49.320]   helps, administration, various gifts of tongues."
[00:04:49.320 --> 00:04:51.200]   All are not apostles, are they?
[00:04:51.200 --> 00:04:53.080]   All are not prophets, are they?
[00:04:53.080 --> 00:04:55.440]   All are not teachers, are they?
[00:04:55.440 --> 00:04:58.720]   And so there are specific designated gifts.
[00:04:58.720 --> 00:05:01.720]   But what's more, there seems to be an order of the gifts,
[00:05:01.720 --> 00:05:04.360]   where it says first, second, and third.
[00:05:04.360 --> 00:05:06.920]   What's more, when we take a look at Ephesians chapter 2,
[00:05:06.920 --> 00:05:10.760]   verses 19 through 20, it talks about the building
[00:05:10.760 --> 00:05:14.560]   of the house, and there's always a sequence to a build.
[00:05:14.560 --> 00:05:17.920]   Verse 19 says, "So then you are no longer strangers and aliens,
[00:05:17.920 --> 00:05:20.320]   but you are fellow citizens with the saints,
[00:05:20.320 --> 00:05:22.240]   and are of God's household.
[00:05:22.240 --> 00:05:25.080]   Having been built upon the foundation of the apostles
[00:05:25.080 --> 00:05:27.320]   and prophets, Christ Jesus himself
[00:05:27.320 --> 00:05:29.040]   being the chief cornerstone."
[00:05:29.040 --> 00:05:32.520]   So within the blueprint, within your build order,
[00:05:32.520 --> 00:05:34.400]   Christ is going to be the cornerstone that
[00:05:34.400 --> 00:05:36.680]   sets the lines.
[00:05:36.680 --> 00:05:38.480]   He's going to be the one that sets
[00:05:38.480 --> 00:05:41.920]   the trajectory of how things should be laid out.
[00:05:41.920 --> 00:05:44.440]   And there is the foundation, the doctrinal foundation
[00:05:44.440 --> 00:05:47.120]   of the teachings that have been given to the apostles
[00:05:47.120 --> 00:05:50.760]   as ones sent from Christ.
[00:05:50.760 --> 00:05:53.640]   That being the case, there is significance to these things,
[00:05:53.640 --> 00:05:57.680]   that there is this order by which Christ has given,
[00:05:57.680 --> 00:06:00.880]   as a very then valuable and significant gift,
[00:06:00.880 --> 00:06:04.000]   that the church should have these apostles, prophets,
[00:06:04.000 --> 00:06:07.840]   shepherds, evangelists, pastors, and teachers.
[00:06:07.840 --> 00:06:09.600]   Now in thinking about that, though,
[00:06:09.600 --> 00:06:11.680]   we take a look at the list and we're kind of wondering,
[00:06:11.680 --> 00:06:14.480]   hmm, OK, so there seems to be an order,
[00:06:14.480 --> 00:06:16.160]   there seems to be a significance,
[00:06:16.160 --> 00:06:17.280]   but how do they differ?
[00:06:17.280 --> 00:06:18.320]   Who are these people?
[00:06:18.320 --> 00:06:19.440]   Is there any similarity?
[00:06:19.440 --> 00:06:21.520]   Those kind of questions are all questions
[00:06:21.520 --> 00:06:23.520]   maybe we should ask.
[00:06:23.520 --> 00:06:27.080]   But one other interesting thing that we notice
[00:06:27.080 --> 00:06:29.800]   is that some of the terms in the Bible that we see,
[00:06:29.800 --> 00:06:31.960]   we actually don't see in this list.
[00:06:31.960 --> 00:06:34.480]   So this is something, you don't have to jot down everything
[00:06:34.480 --> 00:06:36.080]   because it's going to take you a while,
[00:06:36.080 --> 00:06:38.240]   but I just wanted you to notice that within the Bible,
[00:06:38.240 --> 00:06:40.920]   there are lots of different titles for people.
[00:06:40.920 --> 00:06:42.880]   There are different types of leadership.
[00:06:42.880 --> 00:06:45.600]   So some of the ones that we're more accustomed to
[00:06:45.600 --> 00:06:47.200]   and hear often are elders.
[00:06:47.200 --> 00:06:48.800]   How come they're not on the list?
[00:06:48.800 --> 00:06:50.400]   They're like leaders of the church.
[00:06:50.400 --> 00:06:52.080]   Deacons and servants who are ministers,
[00:06:52.080 --> 00:06:53.920]   like why aren't they on the list?
[00:06:53.920 --> 00:06:55.280]   What's going on?
[00:06:55.280 --> 00:06:58.760]   And so an important observation that we make is this, OK?
[00:06:58.760 --> 00:07:03.200]   An important observation is that there is a unifying form,
[00:07:03.200 --> 00:07:05.960]   sorry, a unifying function of the individuals
[00:07:05.960 --> 00:07:08.520]   that have been listed.
[00:07:08.520 --> 00:07:10.760]   And what is that unifying function?
[00:07:10.760 --> 00:07:13.720]   That unifying function is that all of them have to do
[00:07:13.720 --> 00:07:17.720]   with the teaching of the foundational doctrines of Christ,
[00:07:17.720 --> 00:07:21.280]   essentially the proclamation of the truth.
[00:07:21.280 --> 00:07:24.080]   Pretty much all the commentators that I read
[00:07:24.080 --> 00:07:27.720]   kind of uniformly agreed that the highlight of this
[00:07:27.720 --> 00:07:30.920]   is as he comes down this list, apostles and prophets,
[00:07:30.920 --> 00:07:33.640]   these are not offices for the church.
[00:07:33.640 --> 00:07:35.800]   The highlight is not the offices of the church.
[00:07:35.800 --> 00:07:36.720]   Why?
[00:07:36.720 --> 00:07:38.720]   Because we have not been given instructions,
[00:07:38.720 --> 00:07:41.600]   go therefore and establish apostles at your church.
[00:07:41.600 --> 00:07:45.800]   Those are uniquely God-given specific roles and privileges
[00:07:45.800 --> 00:07:48.480]   in the sense that Christ has given them authority
[00:07:48.480 --> 00:07:50.560]   to teach with his authority.
[00:07:50.560 --> 00:07:53.080]   And upon that teaching that has been handed down to us
[00:07:53.080 --> 00:07:58.080]   once and for all, we are continuing to minister the truth.
[00:07:58.080 --> 00:07:58.960]   OK?
[00:07:58.960 --> 00:07:59.840]   So that being the case,
[00:07:59.840 --> 00:08:01.680]   clearly this is not a delineation of,
[00:08:01.680 --> 00:08:04.680]   these are all the offices you should have at your church.
[00:08:04.680 --> 00:08:06.560]   'Cause some of them are already passed.
[00:08:06.560 --> 00:08:08.680]   They don't exist anymore, right?
[00:08:08.680 --> 00:08:11.000]   But rather it is highlighting this idea.
[00:08:11.000 --> 00:08:15.120]   A gift to us is the word.
[00:08:15.120 --> 00:08:16.640]   The word is light.
[00:08:16.640 --> 00:08:19.920]   The word is better than sweet honeycomb, better than money.
[00:08:19.920 --> 00:08:22.120]   The word is better than the wisdom of the world.
[00:08:22.120 --> 00:08:24.240]   The word is actually better than you
[00:08:24.240 --> 00:08:26.560]   trying to go and pursue happiness in life.
[00:08:26.560 --> 00:08:27.720]   Why?
[00:08:27.720 --> 00:08:30.600]   Because the word is God's reality.
[00:08:30.600 --> 00:08:34.360]   And living in God's reality is the greatest blessing.
[00:08:34.360 --> 00:08:35.960]   What am I trying to say here?
[00:08:35.960 --> 00:08:38.960]   We should meditate on the fact that the invaluable,
[00:08:38.960 --> 00:08:40.920]   the precious gift that God has given,
[00:08:40.920 --> 00:08:42.760]   yes, are these individuals.
[00:08:42.760 --> 00:08:46.440]   But these individuals have a primary function of teaching.
[00:08:46.440 --> 00:08:50.160]   They are to be the ground laying workers in the church
[00:08:50.160 --> 00:08:53.960]   who have laid a foundation of doctrines for us to believe.
[00:08:53.960 --> 00:08:57.360]   And therefore hitting this idea again for our church.
[00:08:57.360 --> 00:08:59.400]   Let's take a moment to meditate on that.
[00:08:59.400 --> 00:09:02.920]   If, if we jettison the preaching of God's word
[00:09:02.920 --> 00:09:04.640]   faithfully to you,
[00:09:04.640 --> 00:09:09.200]   we are completely jettisoning Christ's gift, right?
[00:09:09.200 --> 00:09:12.480]   If the foundational truths that we have been receiving
[00:09:12.480 --> 00:09:14.920]   and our role then as pastors and teachers
[00:09:14.920 --> 00:09:18.040]   are to give to you as a blessing to the church,
[00:09:18.040 --> 00:09:20.320]   as an edifying force in the church,
[00:09:20.320 --> 00:09:22.640]   as a sanctifying force in the church,
[00:09:22.640 --> 00:09:25.080]   we're completely misusing God's gift.
[00:09:25.080 --> 00:09:28.760]   It would be like having this, like a Apple product,
[00:09:28.760 --> 00:09:31.560]   which is a laptop computer that I bought five years ago,
[00:09:31.560 --> 00:09:32.960]   serving me well.
[00:09:32.960 --> 00:09:34.880]   It's useful for preparing sermons,
[00:09:34.880 --> 00:09:36.480]   studying, typing up my notes.
[00:09:36.480 --> 00:09:38.840]   It's powerful equipment, right?
[00:09:38.840 --> 00:09:42.440]   But instead I'm like, nice, thank you.
[00:09:42.440 --> 00:09:46.600]   And I started saying, let me turn up the screen brightness
[00:09:46.600 --> 00:09:47.920]   and use it as a lamp.
[00:09:47.920 --> 00:09:49.480]   So I could use my number two pencil
[00:09:49.480 --> 00:09:51.160]   and write down my notes on a piece of paper, right?
[00:09:51.160 --> 00:09:53.240]   Like that would be ridiculous.
[00:09:53.240 --> 00:09:55.280]   What a waste.
[00:09:55.280 --> 00:09:56.440]   Yeah, as a matter of fact,
[00:09:56.440 --> 00:10:00.360]   if we continue to jettison God's word within the church,
[00:10:00.360 --> 00:10:02.400]   absolute waste, but more than that,
[00:10:02.400 --> 00:10:04.960]   in Old Testament,
[00:10:04.960 --> 00:10:07.960]   if God has given us the blessing of the truth,
[00:10:07.960 --> 00:10:10.800]   meaning if God has given the nation of Israel,
[00:10:10.800 --> 00:10:12.360]   his proclamation,
[00:10:12.360 --> 00:10:15.400]   and they instead turn to the wisdom of the world,
[00:10:15.400 --> 00:10:17.680]   it's like, but they have kings over there.
[00:10:17.680 --> 00:10:19.200]   If they turn to the wisdom of Egypt and say,
[00:10:19.200 --> 00:10:22.640]   but that nation is powerful.
[00:10:22.640 --> 00:10:24.160]   That is not seen as a waste.
[00:10:24.160 --> 00:10:26.120]   That is seen as betrayal.
[00:10:26.120 --> 00:10:30.160]   This loyalty and a front against God's gift, right?
[00:10:30.160 --> 00:10:31.120]   Now, why am I saying this?
[00:10:31.120 --> 00:10:33.040]   Is because even in our day,
[00:10:33.040 --> 00:10:35.200]   there are things that people turn to
[00:10:35.200 --> 00:10:37.400]   aside from the word of God.
[00:10:37.400 --> 00:10:39.480]   And the point that I'm making is not so much like,
[00:10:39.480 --> 00:10:40.320]   whoa, right?
[00:10:40.320 --> 00:10:43.880]   It's just simply that not everything is neutral.
[00:10:43.880 --> 00:10:46.000]   Things compete for our loyalties.
[00:10:46.000 --> 00:10:48.560]   Things compete for our mind and our heart.
[00:10:48.560 --> 00:10:51.760]   And what's more, we always want to think and consider
[00:10:51.760 --> 00:10:54.840]   our Lord Jesus Christ in his victorious nature
[00:10:54.840 --> 00:10:57.720]   has given the church various gifts.
[00:10:57.720 --> 00:11:00.240]   And then for us to not fully commit,
[00:11:00.240 --> 00:11:03.800]   not fully accept it would be a big, big offense to him.
[00:11:03.800 --> 00:11:05.600]   Okay, number two.
[00:11:05.600 --> 00:11:08.560]   In number two, the scripture says,
[00:11:08.560 --> 00:11:11.280]   for the equipping of the saints for the work of service
[00:11:11.280 --> 00:11:13.680]   to the building up of the body of Christ.
[00:11:13.680 --> 00:11:17.560]   So Christ has a very specific intent
[00:11:17.560 --> 00:11:19.920]   of why he gave those gifts to the church.
[00:11:19.920 --> 00:11:21.080]   That's what we're talking about.
[00:11:21.080 --> 00:11:21.960]   The intent.
[00:11:21.960 --> 00:11:25.000]   And so what we want to say is purpose, objective.
[00:11:25.000 --> 00:11:28.720]   What does God purpose in the teaching of the word,
[00:11:28.720 --> 00:11:31.760]   in the various titles and positions that are there?
[00:11:31.760 --> 00:11:33.040]   And also more specifically,
[00:11:33.040 --> 00:11:35.000]   these gifts in history that God has given
[00:11:35.000 --> 00:11:38.040]   in terms of specifically the apostles, prophets,
[00:11:38.040 --> 00:11:40.200]   evangelists and so forth, okay?
[00:11:40.200 --> 00:11:42.040]   So when we take a look at this passage,
[00:11:42.040 --> 00:11:44.760]   again, I just want to highlight that in good Bible study,
[00:11:44.760 --> 00:11:46.640]   we pay attention to prepositions.
[00:11:46.640 --> 00:11:47.920]   Why?
[00:11:47.920 --> 00:11:49.440]   These prepositions I highlight for you.
[00:11:49.440 --> 00:11:51.160]   For, for, to.
[00:11:51.160 --> 00:11:54.320]   Prepositions just gives you relationships
[00:11:54.320 --> 00:11:55.840]   between words and nouns, right?
[00:11:55.840 --> 00:11:56.960]   And phrases.
[00:11:56.960 --> 00:11:58.720]   So what you should be thinking is,
[00:11:58.720 --> 00:12:00.400]   what is the relationship of thought here?
[00:12:00.400 --> 00:12:03.280]   And you totally see a progression.
[00:12:03.280 --> 00:12:06.200]   This is for the purpose of this and for the purpose of that.
[00:12:06.200 --> 00:12:09.520]   And you just naturally see a build.
[00:12:09.520 --> 00:12:11.440]   Okay, I just want to highlight that.
[00:12:11.440 --> 00:12:15.840]   And what's more, he says that this is for the equipping,
[00:12:15.840 --> 00:12:17.160]   working and building.
[00:12:17.160 --> 00:12:18.680]   So there are some unique terms
[00:12:18.680 --> 00:12:20.280]   that we should pay attention to.
[00:12:20.280 --> 00:12:23.120]   I just want to comment on these just briefly here.
[00:12:23.120 --> 00:12:25.640]   First, I actually want to start with the idea
[00:12:25.640 --> 00:12:28.080]   of building up the body of Christ.
[00:12:28.080 --> 00:12:30.600]   Let's take a moment to think about this.
[00:12:30.600 --> 00:12:35.600]   An objective and purpose that I know God is doing right now.
[00:12:35.600 --> 00:12:39.120]   He desires in this day, in our generation,
[00:12:39.120 --> 00:12:42.960]   but also in this day, to continue to build up his church.
[00:12:42.960 --> 00:12:44.680]   That is something I know for sure.
[00:12:44.680 --> 00:12:46.760]   People ask me sometimes for advice.
[00:12:46.760 --> 00:12:48.480]   Is it God's will for me now to do this?
[00:12:48.480 --> 00:12:50.680]   Is it for now God's will for me to do that?
[00:12:50.680 --> 00:12:52.640]   To be single, to be in this job?
[00:12:52.640 --> 00:12:53.840]   And there's a lot of questions.
[00:12:53.840 --> 00:12:55.760]   Now, a lot of times we recognize
[00:12:55.760 --> 00:12:57.320]   that there's a general will of God.
[00:12:57.320 --> 00:12:59.520]   He always wants to draw you near to him.
[00:12:59.520 --> 00:13:01.440]   He wants to build you up in your character
[00:13:01.440 --> 00:13:03.640]   that's more closer to his own image.
[00:13:03.640 --> 00:13:06.040]   He wants to make sure that he's sanctifying you.
[00:13:06.040 --> 00:13:07.600]   He's all that stuff, right?
[00:13:07.600 --> 00:13:09.240]   But one of the short things we can say is,
[00:13:09.240 --> 00:13:13.120]   this is a purpose, an objective of God.
[00:13:13.120 --> 00:13:16.160]   And what's really interesting is that he uses a term
[00:13:16.160 --> 00:13:19.200]   that has a very kind of literal and specific nuance,
[00:13:19.200 --> 00:13:21.360]   which is, he's not just generally building,
[00:13:21.360 --> 00:13:23.520]   it literally means to be building a home.
[00:13:23.520 --> 00:13:26.480]   It's there in the Greek, oikodome, okay?
[00:13:26.480 --> 00:13:28.160]   Oikodome.
[00:13:28.160 --> 00:13:30.360]   And so when we think about that,
[00:13:30.360 --> 00:13:33.200]   we recognize that what he is building,
[00:13:33.200 --> 00:13:37.360]   we rehearse what he said before, it is his dwelling.
[00:13:37.360 --> 00:13:39.200]   When you think about his church,
[00:13:39.200 --> 00:13:41.400]   what we have here at Berean,
[00:13:41.400 --> 00:13:42.800]   again, by our eyes,
[00:13:42.800 --> 00:13:46.200]   we just see a gathering of a mass of people.
[00:13:46.200 --> 00:13:47.640]   But what we should be also seeing
[00:13:47.640 --> 00:13:50.840]   is God is building his loving home.
[00:13:50.840 --> 00:13:53.440]   God is building his dwelling place.
[00:13:53.440 --> 00:13:55.280]   He said his temple, right?
[00:13:55.280 --> 00:13:57.520]   And so here's this question then for us,
[00:13:57.520 --> 00:14:00.800]   for us, we have to ask this question.
[00:14:00.800 --> 00:14:05.800]   Have I also then bought into that objective and purpose?
[00:14:05.800 --> 00:14:08.160]   Is that to me, something of a conviction?
[00:14:08.160 --> 00:14:09.920]   I know what God is doing,
[00:14:09.920 --> 00:14:12.600]   and therefore I've completely aligned myself
[00:14:12.600 --> 00:14:14.960]   to that goal and purpose.
[00:14:14.960 --> 00:14:17.920]   If that's his intention, so is mine.
[00:14:17.920 --> 00:14:20.280]   What's more, he says to that end,
[00:14:20.280 --> 00:14:21.800]   there should be equipping of the saints
[00:14:21.800 --> 00:14:23.760]   for the work of service, okay?
[00:14:23.760 --> 00:14:25.800]   Equipping of the saints for the work of service.
[00:14:25.800 --> 00:14:27.200]   Let's ask this question.
[00:14:27.200 --> 00:14:31.320]   What does it mean to equip, okay?
[00:14:31.320 --> 00:14:34.800]   We recognize that clearly for the building up of the church,
[00:14:34.800 --> 00:14:36.480]   the building up of the church does not happen
[00:14:36.480 --> 00:14:39.720]   just because we have crazy professionals.
[00:14:39.720 --> 00:14:41.160]   The building up of the church does not happen
[00:14:41.160 --> 00:14:43.520]   just because we have crazy finances
[00:14:43.520 --> 00:14:46.040]   and a crazy building, right?
[00:14:46.040 --> 00:14:47.600]   The building up of the church happens
[00:14:47.600 --> 00:14:50.360]   through the equipping of the saints for the work of service.
[00:14:50.360 --> 00:14:52.400]   But what does this equipping mean?
[00:14:52.400 --> 00:14:56.040]   I highlight it because the definition of this term
[00:14:56.040 --> 00:14:58.880]   when we do a word study specifically of equipping,
[00:14:58.880 --> 00:15:02.720]   it is the word, "Ketartismus,"
[00:15:02.720 --> 00:15:05.400]   and it means perfection or completion.
[00:15:05.400 --> 00:15:07.160]   The word dictionary of the New Testament says
[00:15:07.160 --> 00:15:10.520]   this differs from another term, "Ketartisis,"
[00:15:10.520 --> 00:15:13.760]   which is talking about the act of fitting something in
[00:15:13.760 --> 00:15:15.400]   or making perfect.
[00:15:15.400 --> 00:15:18.320]   But he says the term used here is actually talking about,
[00:15:18.320 --> 00:15:21.080]   it denotes the process as completed.
[00:15:21.080 --> 00:15:22.880]   So what am I saying?
[00:15:22.880 --> 00:15:26.600]   I recognize from that, that when we think of equipping,
[00:15:26.600 --> 00:15:29.720]   we're probably thinking of something far too narrow.
[00:15:29.720 --> 00:15:31.160]   What do I mean?
[00:15:31.160 --> 00:15:33.440]   I think in error, sometimes when we think of equipping,
[00:15:33.440 --> 00:15:35.680]   we think of educational study.
[00:15:35.680 --> 00:15:37.600]   We think of, let's run a class.
[00:15:37.600 --> 00:15:39.200]   Let's have this training where you sit
[00:15:39.200 --> 00:15:41.600]   and a pastor teaches you, right?
[00:15:41.600 --> 00:15:43.160]   And then, or what's more, we say, you know what?
[00:15:43.160 --> 00:15:44.080]   You should tag me.
[00:15:44.080 --> 00:15:45.840]   You should tag along with what I do,
[00:15:45.840 --> 00:15:47.880]   and we should kind of do it like maybe the medical field.
[00:15:47.880 --> 00:15:48.800]   You're gonna be a resident,
[00:15:48.800 --> 00:15:50.880]   and you're just gonna walk alongside me, right?
[00:15:50.880 --> 00:15:54.120]   But when we think about equipping,
[00:15:54.120 --> 00:15:58.280]   here, it's a pretty broad term,
[00:15:58.280 --> 00:16:00.880]   general perfection and completion.
[00:16:00.880 --> 00:16:03.920]   Now, here's another passage in Hebrews 13, it says this,
[00:16:03.920 --> 00:16:07.800]   "Now the God of peace who brought up from the dead
[00:16:07.800 --> 00:16:09.120]   "the great shepherd of the sheep
[00:16:09.120 --> 00:16:10.600]   "through the blood of the eternal covenant,
[00:16:10.600 --> 00:16:12.040]   "even Jesus our Lord,
[00:16:12.040 --> 00:16:15.000]   "equip you in every good thing to do his will,
[00:16:15.000 --> 00:16:18.360]   "a working in us that which is pleasing in his sight,
[00:16:18.360 --> 00:16:20.480]   "through Jesus Christ to whom be the glory
[00:16:20.480 --> 00:16:23.120]   "forever and ever, amen."
[00:16:23.120 --> 00:16:25.400]   So what we see there is the equipping
[00:16:25.400 --> 00:16:28.080]   should be in every good thing.
[00:16:28.080 --> 00:16:29.120]   Why do I bring this up?
[00:16:29.120 --> 00:16:31.800]   Because the tendency that I see sometimes
[00:16:31.800 --> 00:16:33.640]   is a lot of times people have a narrow view
[00:16:33.640 --> 00:16:35.160]   of what equipping means.
[00:16:35.160 --> 00:16:37.960]   Typically, they think equipping to lead a small group,
[00:16:37.960 --> 00:16:39.680]   equipping to lead and teach,
[00:16:39.680 --> 00:16:41.800]   equipping to be essentially somebody
[00:16:41.800 --> 00:16:44.000]   who is higher up on the hierarchy.
[00:16:44.000 --> 00:16:47.240]   But that's not necessarily the case.
[00:16:47.240 --> 00:16:51.440]   Because plus, not only is the term broader than that,
[00:16:51.440 --> 00:16:53.200]   we recognize that generally,
[00:16:53.200 --> 00:16:55.080]   as the scripture speaks about equipping,
[00:16:55.080 --> 00:16:57.040]   it is not just education.
[00:16:57.040 --> 00:17:00.280]   To do a specific task, such as leading.
[00:17:00.280 --> 00:17:02.680]   Do equipping comes to us through the scriptures?
