
[00:00:00.000 --> 00:00:02.580]   (gentle music)
[00:03:47.540 --> 00:03:52.300]   ♪ What could I bring ♪
[00:03:52.300 --> 00:03:57.100]   ♪ For Your gift is complete ♪
[00:03:57.100 --> 00:04:02.100]   ♪ So I trust You, simply trust You ♪
[00:04:02.100 --> 00:04:07.160]   ♪ With every heart of me ♪
[00:04:07.160 --> 00:04:12.820]   ♪ Who on that cross ♪
[00:04:12.820 --> 00:04:16.980]   ♪ How it was seen ♪
[00:04:16.980 --> 00:04:21.980]   ♪ I can go now ever trusting ♪
[00:04:21.980 --> 00:04:26.980]   ♪ In the One who died for me ♪
[00:04:26.980 --> 00:04:31.700]   ♪ What could I bring ♪
[00:04:31.700 --> 00:04:36.700]   ♪ For Your gift is complete ♪
[00:04:36.700 --> 00:04:41.700]   ♪ So I trust You, simply trust You ♪
[00:04:41.700 --> 00:04:46.700]   ♪ With every heart of me ♪
[00:04:49.900 --> 00:04:53.980]   ♪ Jesus, only Jesus ♪
[00:04:53.980 --> 00:04:58.980]   ♪ Help me trust You more and more ♪
[00:04:58.980 --> 00:05:03.900]   ♪ Jesus, only Jesus ♪
[00:05:03.900 --> 00:05:08.900]   ♪ Make my heart be ever Yours ♪
[00:05:08.900 --> 00:05:13.820]   ♪ Jesus, only Jesus ♪
[00:05:13.820 --> 00:05:18.820]   ♪ Help me trust You more and more ♪
[00:05:19.540 --> 00:05:23.740]   ♪ Jesus, only Jesus ♪
[00:05:23.740 --> 00:05:27.660]   ♪ Make my heart be ever Yours ♪
[00:05:46.420 --> 00:05:51.420]   ♪ What can wash away our sins ♪
[00:05:51.420 --> 00:05:57.580]   ♪ What can make us whole again ♪
[00:05:57.580 --> 00:06:01.860]   ♪ Nothing but the blood ♪
[00:06:01.860 --> 00:06:06.860]   ♪ Nothing but the blood of Jesus ♪
[00:06:06.860 --> 00:06:16.300]   ♪ What can wash us pure as snow ♪
[00:06:17.300 --> 00:06:22.300]   ♪ Welcomed as the friends of God ♪
[00:06:22.300 --> 00:06:26.700]   ♪ Nothing but Your blood ♪
[00:06:26.700 --> 00:06:31.120]   ♪ Nothing but Your blood, King Jesus ♪
[00:06:41.980 --> 00:06:46.980]   ♪ Your blood speaks a better word ♪
[00:06:46.980 --> 00:06:50.100]   ♪ Than all the empty claims ♪
[00:06:50.100 --> 00:06:52.900]   ♪ I've heard upon this earth ♪
[00:06:52.900 --> 00:06:56.260]   ♪ Speaks righteousness from You ♪
[00:06:56.260 --> 00:06:59.500]   ♪ And stands in my defense ♪
[00:06:59.500 --> 00:07:04.500]   ♪ Jesus, it's Your blood ♪
[00:07:07.260 --> 00:07:12.260]   ♪ What can wash away our sins ♪
[00:07:12.260 --> 00:07:18.500]   ♪ What can make us whole again ♪
[00:07:18.500 --> 00:07:22.860]   ♪ Nothing but the blood ♪
[00:07:22.860 --> 00:07:27.860]   ♪ Nothing but the blood of Jesus ♪
[00:07:27.860 --> 00:07:37.180]   ♪ What can wash us pure as snow ♪
[00:07:38.180 --> 00:07:43.180]   ♪ Welcomed as the friends of God ♪
[00:07:43.180 --> 00:07:47.700]   ♪ Nothing but Your blood ♪
[00:07:47.700 --> 00:07:52.700]   ♪ Nothing but Your blood, King Jesus ♪
[00:07:52.700 --> 00:08:01.340]   ♪ Your cross testifies and cleans ♪
[00:08:01.340 --> 00:08:04.660]   ♪ Settles on the Father's heart ♪
[00:08:04.660 --> 00:08:07.660]   ♪ To make a way for us ♪
[00:08:07.660 --> 00:08:10.780]   ♪ Now only we approach ♪
[00:08:10.780 --> 00:08:14.100]   ♪ That by earthly confidence ♪
[00:08:14.100 --> 00:08:19.100]   ♪ It's only by Your blood ♪
[00:08:19.100 --> 00:08:27.020]   ♪ What can wash away our sins ♪
[00:08:27.020 --> 00:08:33.260]   ♪ What can make us whole again ♪
[00:08:34.460 --> 00:08:37.540]   ♪ Nothing but the blood ♪
[00:08:37.540 --> 00:08:42.540]   ♪ Nothing but the blood of Jesus ♪
[00:08:42.540 --> 00:08:51.900]   ♪ What can wash us pure as snow ♪
[00:08:51.900 --> 00:08:58.180]   ♪ Welcomed as the friends of God ♪
[00:08:58.180 --> 00:09:02.540]   ♪ Nothing but Your blood ♪
[00:09:02.540 --> 00:09:07.540]   ♪ Nothing but Your blood, King Jesus ♪
[00:09:07.540 --> 00:09:16.300]   ♪ What can wash away our sins ♪
[00:09:16.300 --> 00:09:21.300]   ♪ What can make us whole again ♪
[00:09:21.300 --> 00:09:27.180]   ♪ Nothing but the blood ♪
[00:09:27.180 --> 00:09:32.180]   ♪ Nothing but the blood of Jesus ♪
[00:09:32.180 --> 00:09:37.180]   ♪ King Jesus ♪
[00:09:37.180 --> 00:09:42.220]   ♪ What can wash us pure as snow ♪
[00:09:42.220 --> 00:09:48.300]   ♪ Welcomed as the friends of God ♪
[00:09:48.300 --> 00:09:52.740]   ♪ Nothing but Your blood ♪
[00:09:52.740 --> 00:09:57.740]   ♪ Nothing but Your blood, King Jesus ♪
[00:10:01.700 --> 00:10:06.700]   ♪ Your blood ♪
[00:10:06.700 --> 00:10:09.200]   ♪ King Jesus ♪
[00:10:09.200 --> 00:10:19.740]   - Good morning, church family.
[00:10:19.740 --> 00:10:20.820]   Happy Lord's Day.
[00:10:20.820 --> 00:10:24.100]   I'm gonna have you just remain seated for this first song,
[00:10:24.100 --> 00:10:26.660]   and then Pastor Peter's gonna come up for announcements.
[00:10:26.660 --> 00:10:29.420]   But as we reflect on this first song,
[00:10:29.420 --> 00:10:33.620]   I wanted to pick a song that exalts our God and King.
[00:10:33.620 --> 00:10:36.940]   We are all His creatures, and He deserves all the glory.
[00:10:36.940 --> 00:10:43.480]   (upbeat music)
[00:10:54.620 --> 00:10:59.620]   ♪ O creatures of our God and King ♪
[00:10:59.620 --> 00:11:06.100]   ♪ Lift up your voice and with us sing ♪
[00:11:06.100 --> 00:11:09.860]   ♪ O praise Him ♪
[00:11:09.860 --> 00:11:13.900]   ♪ Hallelujah ♪
[00:11:13.900 --> 00:11:18.900]   ♪ Thou burning sun with golden beam ♪
[00:11:20.260 --> 00:11:25.260]   ♪ Thou silver moon with softer gleam ♪
[00:11:25.260 --> 00:11:29.100]   ♪ Oh, praise Him ♪
[00:11:29.100 --> 00:11:32.380]   ♪ Oh, praise Him ♪
[00:11:32.380 --> 00:11:35.540]   ♪ Hallelujah ♪
[00:11:35.540 --> 00:11:38.680]   ♪ Hallelujah ♪
[00:11:38.680 --> 00:11:41.100]   ♪ Hallelujah ♪
[00:11:41.100 --> 00:11:43.680]   (upbeat music)
[00:11:43.680 --> 00:11:53.980]   ♪ Let all things ♪
[00:11:53.980 --> 00:11:58.980]   ♪ Let all things their creator bless ♪
[00:11:58.980 --> 00:12:05.380]   ♪ And worship Him in humbleness ♪
[00:12:05.380 --> 00:12:09.160]   ♪ Oh, praise this Lord ♪
[00:12:09.160 --> 00:12:11.420]   ♪ Hallelujah ♪
[00:12:11.420 --> 00:12:13.200]   ♪ Praise, praise ♪
[00:12:13.200 --> 00:12:15.540]   ♪ Praise, praise the Father ♪
[00:12:15.540 --> 00:12:19.580]   ♪ Praise the Son ♪
[00:12:19.580 --> 00:12:24.580]   ♪ And praise the Spirit three in one ♪
[00:12:24.580 --> 00:12:28.380]   ♪ Oh, praise Him ♪
[00:12:28.380 --> 00:12:31.580]   ♪ Oh, praise Him ♪
[00:12:31.580 --> 00:12:34.740]   ♪ Hallelujah ♪
[00:12:34.740 --> 00:12:37.980]   ♪ Hallelujah ♪
[00:12:37.980 --> 00:12:40.400]   ♪ Hallelujah ♪
[00:12:40.400 --> 00:12:42.980]   (upbeat music)
[00:12:42.980 --> 00:12:53.220]   ♪ All are redeemed ♪
[00:12:53.220 --> 00:12:58.220]   ♪ All are redeemed washed by His blood ♪
[00:12:58.220 --> 00:13:04.620]   ♪ Come and rejoice in His great love ♪
[00:13:05.180 --> 00:13:08.340]   ♪ Oh, praise Him ♪
[00:13:08.340 --> 00:13:10.260]   ♪ Hallelujah ♪
[00:13:10.260 --> 00:13:12.340]   ♪ Christ has ♪
[00:13:12.340 --> 00:13:17.340]   ♪ Christ has defeated every sin ♪
[00:13:17.340 --> 00:13:22.500]   ♪ This Lord has cast all your burdens now on Him ♪
[00:13:22.500 --> 00:13:27.540]   ♪ Oh, praise Him ♪
[00:13:27.540 --> 00:13:30.740]   ♪ Oh, praise Him ♪
[00:13:30.740 --> 00:13:33.940]   ♪ Hallelujah ♪
[00:13:33.940 --> 00:13:37.100]   ♪ Hallelujah ♪
[00:13:37.100 --> 00:13:42.100]   ♪ Hallelujah ♪
[00:13:42.100 --> 00:13:46.260]   ♪ He shall ♪
[00:13:46.260 --> 00:13:51.260]   ♪ He shall return to power to reign ♪
[00:13:51.260 --> 00:13:57.300]   ♪ Heaven and earth will join to sing ♪
[00:13:57.300 --> 00:14:01.140]   ♪ Oh, praise Him ♪
[00:14:01.140 --> 00:14:05.280]   ♪ Hallelujah ♪
[00:14:05.280 --> 00:14:10.280]   ♪ Then we shall fall on bended knees ♪
[00:14:10.280 --> 00:14:16.280]   ♪ All creatures of our God and King ♪
[00:14:16.280 --> 00:14:20.420]   ♪ Oh praise him ♪
[00:14:20.420 --> 00:14:23.460]   ♪ Oh praise him ♪
[00:14:23.460 --> 00:14:26.700]   ♪ Hallelujah ♪
[00:14:26.700 --> 00:14:29.880]   ♪ Hallelujah, oh praise ♪
[00:14:29.880 --> 00:14:33.100]   ♪ Oh praise him ♪
[00:14:33.100 --> 00:14:36.300]   ♪ Oh praise him ♪
[00:14:36.300 --> 00:14:39.480]   ♪ Hallelujah ♪
[00:14:39.480 --> 00:14:42.700]   ♪ Hallelujah ♪
[00:14:42.700 --> 00:14:45.120]   ♪ Hallelujah ♪
[00:14:45.120 --> 00:14:47.700]   (upbeat music)
[00:14:47.700 --> 00:15:03.840]   - Oh, good morning.
[00:15:03.840 --> 00:15:04.740]   This is weird.
[00:15:04.740 --> 00:15:08.960]   All right, so it's good to see you live.
[00:15:08.960 --> 00:15:10.820]   Oh shoot.
[00:15:10.820 --> 00:15:13.800]   Give me a second.
[00:15:13.800 --> 00:15:16.060]   This is very, very important.
[00:15:16.060 --> 00:15:17.060]   All our children.
[00:15:17.060 --> 00:15:20.160]   What happened?
[00:15:20.160 --> 00:15:25.600]   All right, we're gonna have to stop service for a minute.
[00:15:25.600 --> 00:15:26.880]   All right.
[00:15:26.880 --> 00:15:27.840]   What happened here?
[00:15:27.840 --> 00:15:34.280]   (laughs)
[00:15:34.280 --> 00:15:40.160]   We haven't done this in a while,
[00:15:40.160 --> 00:15:41.740]   so this is kind of messing me up.
[00:15:41.740 --> 00:15:42.580]   All right.
[00:15:42.580 --> 00:15:43.560]   You know what?
[00:15:44.320 --> 00:15:46.840]   I am so sorry, but we're gonna have to
[00:15:46.840 --> 00:15:48.860]   do the birthdays next week.
[00:15:48.860 --> 00:15:51.680]   And some of you guys who have been waiting eagerly
[00:15:51.680 --> 00:15:56.320]   to hear your name, Pastor Peter has failed you today.
[00:15:56.320 --> 00:15:57.160]   All right?
[00:15:57.160 --> 00:15:58.200]   It has nothing to do with God.
[00:15:58.200 --> 00:16:01.400]   Still love God, but Pastor Peter has failed you this morning
[00:16:01.400 --> 00:16:02.660]   so I don't have the paper with me.
[00:16:02.660 --> 00:16:04.120]   Sorry about that, okay?
[00:16:04.120 --> 00:16:07.360]   But we wanna congratulate those who are graduating
[00:16:07.360 --> 00:16:08.900]   from Chapman University.
[00:16:08.900 --> 00:16:10.280]   I don't have all your names,
[00:16:10.280 --> 00:16:11.760]   but again, we wanna congratulate you.
[00:16:11.760 --> 00:16:14.480]   And then I know that there are elementary students
[00:16:14.480 --> 00:16:18.760]   and my son himself has had promotion this week online.
[00:16:18.760 --> 00:16:22.160]   And we had Cal State Long Beach, Cal State Fullerton,
[00:16:22.160 --> 00:16:23.920]   UC Irvine I know is coming up soon.
[00:16:23.920 --> 00:16:25.880]   So again, we wanna congratulate all of you
[00:16:25.880 --> 00:16:27.800]   high school students who are graduating.
[00:16:27.800 --> 00:16:28.900]   Congratulations.
[00:16:28.900 --> 00:16:32.360]   Okay, I'm just gonna have to wing it with the announcement.
[00:16:32.360 --> 00:16:35.760]   So if I forget anything, just wave your hand, okay?
[00:16:35.760 --> 00:16:37.240]   All right.
[00:16:37.240 --> 00:16:41.640]   So first of all, we have, again, we have three services
[00:16:41.640 --> 00:16:44.400]   and those of you who are desiring to come
[00:16:44.400 --> 00:16:46.800]   and you're on the waiting list and you couldn't get in,
[00:16:46.800 --> 00:16:49.960]   please let us know because we do have space
[00:16:49.960 --> 00:16:51.960]   and so we can fill you in.
[00:16:51.960 --> 00:16:54.400]   So email Pastor Mark and let him know.
[00:16:54.400 --> 00:16:56.180]   And there is a place to sign up online
[00:16:56.180 --> 00:16:58.280]   so they'll be able to get the message
[00:16:58.280 --> 00:17:01.200]   and then get you into one of the services, okay?
[00:17:01.200 --> 00:17:03.560]   So please do that ahead of time.
[00:17:03.560 --> 00:17:06.160]   And what's the other one that I was supposed to say?
[00:17:06.160 --> 00:17:09.120]   Somebody has three legs.
[00:17:09.120 --> 00:17:10.120]   What does this mean?
[00:17:11.500 --> 00:17:14.800]   Membership, okay, so it's an M, not three legs, okay.
[00:17:14.800 --> 00:17:16.640]   All right, so membership.
[00:17:16.640 --> 00:17:19.360]   Okay, so starting from the first week of July,
[00:17:19.360 --> 00:17:21.960]   we have our new membership class.
[00:17:21.960 --> 00:17:25.960]   Before we used to have membership and church introduction,
[00:17:25.960 --> 00:17:29.680]   foundational Christian doctrine all in one class.
[00:17:29.680 --> 00:17:32.640]   But starting from July, the first week of July,
[00:17:32.640 --> 00:17:34.420]   July 7th, I believe, right?
[00:17:34.420 --> 00:17:38.960]   July 5th, okay, so July 5th, the first Sunday of July,
[00:17:38.960 --> 00:17:40.600]   we're gonna start a new membership class.
[00:17:40.600 --> 00:17:43.160]   It's gonna go for about an hour and a half for eight weeks
[00:17:43.160 --> 00:17:46.580]   instead of one hour class for 10 weeks.
[00:17:46.580 --> 00:17:48.620]   So it's actually, time-wise, it's longer,
[00:17:48.620 --> 00:17:50.280]   but the days is shortened.
[00:17:50.280 --> 00:17:52.160]   And it's gonna be strictly for membership.
[00:17:52.160 --> 00:17:53.600]   So there is going to be a separate class
[00:17:53.600 --> 00:17:55.780]   for people who wanna learn about Christianity
[00:17:55.780 --> 00:17:57.720]   and ask different questions about that.
[00:17:57.720 --> 00:18:00.400]   But now it's going to be specific for membership
[00:18:00.400 --> 00:18:01.860]   'cause we wanna dive a little bit deeper
[00:18:01.860 --> 00:18:04.180]   into some of the things that we wanna talk about
[00:18:04.180 --> 00:18:06.240]   and make sure that we properly prepare people
[00:18:06.240 --> 00:18:08.520]   for membership and so just keep that in mind.
[00:18:08.520 --> 00:18:12.520]   So July 5th is when the beginning of that will be.
[00:18:12.520 --> 00:18:15.800]   So if you need to do that, please sign up with Pastor Mark
[00:18:15.800 --> 00:18:17.960]   and it will be taking place during the second service,
[00:18:17.960 --> 00:18:20.840]   at 1030 service, at the cafeteria area.
[00:18:20.840 --> 00:18:23.360]   And so we wanna do that because there's more space there
[00:18:23.360 --> 00:18:25.260]   so people can kinda spread out, all right?
[00:18:25.260 --> 00:18:26.440]   So if you have any questions about that,
[00:18:26.440 --> 00:18:28.360]   please let Pastor Mark know or email
[00:18:28.360 --> 00:18:31.060]   and then he'll give you more information, okay?
[00:18:31.060 --> 00:18:33.400]   All right, again, I apologize, kids.
[00:18:33.400 --> 00:18:35.520]   I'll make sure that I get to you next week.
[00:18:35.520 --> 00:18:37.000]   And those of you who are extra good
[00:18:37.000 --> 00:18:40.000]   and you are waiting, sorry, parents, I failed today.
[00:18:40.000 --> 00:18:41.560]   I'll make sure I drink plenty of coffee
[00:18:41.560 --> 00:18:43.640]   so this doesn't happen next time, all right?
[00:18:43.640 --> 00:18:45.520]   So let me pray for us and just kinda,
[00:18:45.520 --> 00:18:47.280]   to let you know those who are here,
[00:18:47.280 --> 00:18:50.120]   the physical offering, if you choose to do so,
[00:18:50.120 --> 00:18:52.000]   there is an offering box in the back.
[00:18:52.000 --> 00:18:54.080]   As you're going out, you can give it there.
[00:18:54.080 --> 00:18:56.720]   So our offering, for the sake of not passing out
[00:18:56.720 --> 00:18:58.920]   the offering baskets, we're not gonna be doing that
[00:18:58.920 --> 00:19:01.880]   for a while and most of you who've gotten the habit
[00:19:01.880 --> 00:19:05.120]   of giving online and you wanna continue to do that,
[00:19:05.120 --> 00:19:07.240]   so during the offering time, just do that.
[00:19:07.240 --> 00:19:09.480]   We'll give you about 15, 20 seconds to do that
[00:19:09.480 --> 00:19:11.280]   and then the others of you who wanna bring
[00:19:11.280 --> 00:19:14.160]   a physical check, that can be done in the back, okay?
[00:19:14.160 --> 00:19:16.240]   So let me pray for us and then pray for the offering
[00:19:16.240 --> 00:19:18.640]   and then our worship team will begin to lead us.
[00:19:18.640 --> 00:19:24.400]   Heavenly Father, we praise you
[00:19:24.400 --> 00:19:26.000]   and thank you for your goodness.
[00:19:26.000 --> 00:19:30.120]   Thank you so much, Lord God, for allowing us
[00:19:30.120 --> 00:19:31.600]   to open up the church again.
[00:19:32.400 --> 00:19:34.320]   And even though it's not ideal
[00:19:34.320 --> 00:19:36.800]   and it's not exactly what we want,
[00:19:36.800 --> 00:19:39.640]   but we thank you, Father God, that we're able to gather
[00:19:39.640 --> 00:19:42.920]   and we pray that the coming weeks, coming months,
[00:19:42.920 --> 00:19:47.480]   that we'd be able to come together, all of us, Lord God,
[00:19:47.480 --> 00:19:50.240]   that we may fellowship, that we may love,
[00:19:50.240 --> 00:19:53.720]   we may practice the things that you teach us.
[00:19:53.720 --> 00:19:56.080]   And I pray, Father God, that through all of this,
[00:19:56.080 --> 00:19:57.760]   that it would cause us to love the church
[00:19:57.760 --> 00:20:00.320]   that you sent your son to die for even more.
[00:20:01.240 --> 00:20:03.160]   We pray that you would bless this morning, Lord God,
[00:20:03.160 --> 00:20:04.120]   as we worship you.
[00:20:04.120 --> 00:20:07.880]   Help us to do it in spirit and in truth,
[00:20:07.880 --> 00:20:10.400]   that even in our giving, help us to be intentional,
[00:20:10.400 --> 00:20:13.040]   help us, Lord God, to be generous,
[00:20:13.040 --> 00:20:16.600]   help us to give joyfully, that it may be multiplied
[00:20:16.600 --> 00:20:18.320]   for your use in your kingdom.
[00:20:18.320 --> 00:20:20.040]   In Jesus' name we pray, amen.
[00:20:20.040 --> 00:20:25.080]   (gentle piano music)
[00:20:25.080 --> 00:20:27.920]  ,
[00:20:27.920 --> 00:20:40.960]   I'm gonna have you stand now.
[00:20:40.960 --> 00:20:43.800]   Those of you at home as well, please stand
[00:20:43.800 --> 00:20:46.280]   in where you are and worship with us.
[00:20:46.280 --> 00:20:52.140]   (upbeat music)
[00:20:52.140 --> 00:20:54.720]   (upbeat music)
[00:20:54.720 --> 00:21:13.340]   ♪ The radiance of the Father ♪
[00:21:13.340 --> 00:21:20.300]   ♪ Before the dawn of time ♪
[00:21:20.340 --> 00:21:24.340]   ♪ Spoken of creation came to be ♪
[00:21:24.340 --> 00:21:35.460]   ♪ The molecules and planets ♪
[00:21:35.460 --> 00:21:40.500]   ♪ Reveal your great design ♪
[00:21:40.500 --> 00:21:45.540]   ♪ And everyone was made so we could see ♪
[00:21:49.180 --> 00:21:54.180]   ♪ So we could see you are the glorious ♪
[00:21:54.180 --> 00:21:59.580]   ♪ You are the glorious Christ ♪
[00:21:59.580 --> 00:22:04.460]   ♪ The greatest of all delights ♪
[00:22:04.460 --> 00:22:07.060]   ♪ Your power is unequaled ♪
[00:22:07.060 --> 00:22:09.860]   ♪ Your love beyond all heights ♪
[00:22:09.860 --> 00:22:14.860]   ♪ No greater sacrifice ♪
[00:22:14.900 --> 00:22:19.700]   ♪ When you lay down your life ♪
[00:22:19.700 --> 00:22:22.260]   ♪ We join the song of angels ♪
[00:22:22.260 --> 00:22:25.060]   ♪ Who praise you day and night ♪
[00:22:25.060 --> 00:22:28.060]   ♪ Glorious Christ ♪
[00:22:28.060 --> 00:22:30.640]   (upbeat music)
[00:22:30.640 --> 00:22:41.180]   ♪ You left the air of heaven ♪
[00:22:41.220 --> 00:22:46.220]   ♪ To breathe the dust of earth ♪
[00:22:46.220 --> 00:22:51.260]   ♪ And dwell among the outcasts and the poor ♪
[00:22:51.260 --> 00:23:01.380]   ♪ You came to be forsaken ♪
[00:23:01.380 --> 00:23:06.420]   ♪ And died to take our curse ♪
[00:23:06.460 --> 00:23:11.460]   ♪ So you could be our joy forevermore ♪
[00:23:11.460 --> 00:23:18.300]   ♪ Forevermore ♪
[00:23:18.300 --> 00:23:20.660]   Sing it out, you are the glorious.
[00:23:20.660 --> 00:23:25.420]   ♪ You are the glorious Christ ♪
[00:23:25.420 --> 00:23:30.420]   ♪ The greatest of all delights ♪
[00:23:30.420 --> 00:23:33.020]   ♪ Your power is unequaled ♪
[00:23:33.020 --> 00:23:35.860]   ♪ Your love beyond all heights ♪
[00:23:35.860 --> 00:23:40.660]   ♪ No greater sacrifice ♪
[00:23:40.660 --> 00:23:45.660]   ♪ When you lay down your life ♪
[00:23:45.660 --> 00:23:48.180]   ♪ We join the song of angels ♪
[00:23:48.180 --> 00:23:50.980]   ♪ Who praise you day and night ♪
[00:23:50.980 --> 00:23:53.500]   ♪ Glorious Christ ♪
[00:23:53.500 --> 00:23:55.580]   You're seated now, Lord.
[00:23:55.580 --> 00:24:00.260]   ♪ You're seated now in heaven ♪
[00:24:00.260 --> 00:24:02.780]   ♪ And on that God's way ♪
[00:24:02.780 --> 00:24:07.780]   ♪ You shatter death and freedom from our fears ♪
[00:24:07.780 --> 00:24:10.340]   ♪ And though we cannot see you ♪
[00:24:10.340 --> 00:24:12.900]   ♪ You're coming back again ♪
[00:24:12.900 --> 00:24:16.060]   ♪ And all will be made right ♪
[00:24:16.060 --> 00:24:20.460]   ♪ When you appear, yes Lord ♪
[00:24:20.460 --> 00:24:23.620]   ♪ And all will be made right ♪
[00:24:23.620 --> 00:24:28.620]   ♪ When you appear, oh ♪
[00:24:29.020 --> 00:24:33.740]   ♪ You are the glorious Christ ♪
[00:24:33.740 --> 00:24:38.580]   ♪ The greatest of all delights ♪
[00:24:38.580 --> 00:24:41.140]   ♪ Your power is unequaled ♪
[00:24:41.140 --> 00:24:42.740]   ♪ Your love beyond all ♪
[00:24:42.740 --> 00:24:43.980]   One more time.
[00:24:43.980 --> 00:24:48.780]   ♪ You are the glorious Christ ♪
[00:24:48.780 --> 00:24:53.780]   ♪ The greatest of all delights ♪
[00:24:53.780 --> 00:24:56.340]   ♪ Your power is unequaled ♪
[00:24:56.340 --> 00:24:59.140]   ♪ Your love beyond all heights ♪
[00:24:59.140 --> 00:25:03.940]   ♪ No greater sacrifice ♪
[00:25:03.940 --> 00:25:08.940]   ♪ When you lay down your life ♪
[00:25:08.940 --> 00:25:11.460]   ♪ We join the song of angels ♪
[00:25:11.460 --> 00:25:14.300]   ♪ Who praise you day and night ♪
[00:25:14.300 --> 00:25:17.140]   ♪ Glorious Christ ♪
[00:25:17.140 --> 00:25:19.740]   (upbeat music)
[00:25:19.740 --> 00:25:28.380]   Amen.
[00:25:28.380 --> 00:25:36.980]   (upbeat music)
[00:25:36.980 --> 00:25:39.580]   (upbeat music)
[00:25:39.580 --> 00:26:02.300]   ♪ You ignite the fire of a thousand burning suns ♪
[00:26:02.300 --> 00:26:05.460]   ♪ Blazing in the heavens ♪
[00:26:05.460 --> 00:26:07.500]   ♪ There is only one ♪
[00:26:07.500 --> 00:26:10.180]   ♪ He is our God ♪
[00:26:10.180 --> 00:26:12.180]   Who commands?
[00:26:12.180 --> 00:26:15.980]   ♪ Who commands the nations ♪
[00:26:15.980 --> 00:26:19.020]   ♪ Building up and tearing down ♪
[00:26:19.020 --> 00:26:21.820]   ♪ Silencing his rivals ♪
[00:26:21.820 --> 00:26:23.900]   ♪ There is only one ♪
[00:26:23.900 --> 00:26:25.740]   ♪ He is our God ♪
[00:26:25.740 --> 00:26:26.660]   Yes, he is.
[00:26:26.660 --> 00:26:34.340]   ♪ He is our God ♪
[00:26:35.340 --> 00:26:38.060]   ♪ Holy ♪
[00:26:38.060 --> 00:26:43.060]   ♪ You alone are holy ♪
[00:26:43.060 --> 00:26:48.500]   ♪ Matchless in your glory ♪
[00:26:48.500 --> 00:26:51.220]   ♪ Holy God ♪
[00:26:51.220 --> 00:27:01.540]   Who would come?
[00:27:02.580 --> 00:27:05.020]   ♪ Who would come to save us ♪
[00:27:05.020 --> 00:27:08.020]   ♪ When we turned away his love ♪
[00:27:08.020 --> 00:27:10.780]   ♪ Conquer us with kindness ♪
[00:27:10.780 --> 00:27:12.820]   ♪ There is only one ♪
[00:27:12.820 --> 00:27:17.820]   ♪ He is our God ♪
[00:27:17.820 --> 00:27:23.260]   ♪ He is our God ♪
