
[00:00:00.000 --> 00:00:03.480]   [MUSIC PLAYING]
[00:14:51.360 --> 00:14:56.360]   (music playing)
[00:14:56.360 --> 00:15:01.360]   (music playing)
[00:15:01.360 --> 00:15:06.360]   (music playing)
[00:15:06.360 --> 00:15:11.360]   (music playing)
[00:15:11.360 --> 00:15:16.360]   (music playing)
[00:15:16.360 --> 00:15:21.360]   (music playing)
[00:15:21.360 --> 00:15:26.360]   (music playing)
[00:15:26.360 --> 00:15:31.360]   (music playing)
[00:15:31.360 --> 00:15:36.360]   (music playing)
[00:15:36.360 --> 00:15:41.360]   (music playing)
[00:15:41.360 --> 00:15:46.360]   (music playing)
[00:15:46.360 --> 00:15:51.360]   (music playing)
[00:15:51.360 --> 00:15:56.360]   (music playing)
[00:15:56.360 --> 00:16:01.360]   (music playing)
[00:16:01.360 --> 00:16:06.360]   (music playing)
[00:16:06.360 --> 00:16:11.360]   (music playing)
[00:16:11.360 --> 00:16:16.360]   (music playing)
[00:16:16.360 --> 00:16:21.360]   (music playing)
[00:16:21.360 --> 00:16:26.360]   (music playing)
[00:16:26.360 --> 00:16:31.360]   (music playing)
[00:16:31.360 --> 00:16:36.360]   (music playing)
[00:16:36.360 --> 00:16:41.360]   (music playing)
[00:16:41.360 --> 00:16:46.360]   (music playing)
[00:16:46.360 --> 00:16:51.360]   (music playing)
[00:16:51.360 --> 00:16:56.360]   (music playing)
[00:16:56.360 --> 00:17:01.360]   (music playing)
[00:17:01.360 --> 00:17:06.360]   (music playing)
[00:17:06.360 --> 00:17:11.360]   (music playing)
[00:17:11.360 --> 00:17:16.360]   (music playing)
[00:17:16.360 --> 00:17:21.360]   (music playing)
[00:17:21.360 --> 00:17:26.360]   (music playing)
[00:17:26.360 --> 00:17:31.360]   (music playing)
[00:17:31.360 --> 00:17:36.360]   (music playing)
[00:17:36.360 --> 00:17:41.360]   (music playing)
[00:17:41.360 --> 00:17:46.360]   (music playing)
[00:17:46.360 --> 00:17:51.360]   (music playing)
[00:17:51.360 --> 00:17:56.360]   (music playing)
[00:17:56.360 --> 00:18:01.360]   (music playing)
[00:18:01.360 --> 00:18:06.360]   (music playing)
[00:18:06.360 --> 00:18:11.360]   (music playing)
[00:18:11.360 --> 00:18:16.360]   (music playing)
[00:18:16.360 --> 00:18:21.360]   (music playing)
[00:18:21.360 --> 00:18:26.360]   (music playing)
[00:18:26.360 --> 00:18:31.360]   (music playing)
[00:18:31.360 --> 00:18:36.360]   (music playing)
[00:18:36.360 --> 00:18:41.360]   (music playing)
[00:18:41.360 --> 00:18:46.360]   (music playing)
[00:18:46.360 --> 00:18:51.360]   (music playing)
[00:18:51.360 --> 00:18:56.360]   (music playing)
[00:18:56.360 --> 00:19:01.360]   (music playing)
[00:19:01.360 --> 00:19:06.360]   (music playing)
[00:19:06.360 --> 00:19:11.360]   (music playing)
[00:19:11.360 --> 00:19:16.360]   (music playing)
[00:19:16.360 --> 00:19:21.360]   (music playing)
[00:19:21.360 --> 00:19:26.360]   (music playing)
[00:19:26.360 --> 00:19:31.360]   (music playing)
[00:19:31.360 --> 00:19:36.360]   (music playing)
[00:19:36.360 --> 00:19:41.360]   (music playing)
[00:19:41.360 --> 00:19:46.360]   (music playing)
[00:19:46.360 --> 00:19:51.360]   (music playing)
[00:19:51.360 --> 00:19:56.360]   (music playing)
[00:19:56.360 --> 00:20:01.360]   (music playing)
[00:20:01.360 --> 00:20:06.360]   (music playing)
[00:20:06.360 --> 00:20:11.360]   (music playing)
[00:20:11.360 --> 00:20:16.360]   (music playing)
[00:20:16.360 --> 00:20:21.360]   (music playing)
[00:20:21.360 --> 00:20:26.360]   (music playing)
[00:20:26.360 --> 00:20:31.360]   (music playing)
[00:20:31.360 --> 00:20:36.360]   (music playing)
[00:20:36.360 --> 00:20:41.360]   (music playing)
[00:20:41.360 --> 00:20:46.360]   (music playing)
[00:20:46.360 --> 00:20:51.360]   (music playing)
[00:20:51.360 --> 00:20:56.360]   (music playing)
[00:20:56.360 --> 00:21:01.360]   (music playing)
[00:21:01.360 --> 00:21:06.360]   (music playing)
[00:21:06.360 --> 00:21:11.360]   (music playing)
[00:21:11.360 --> 00:21:16.360]   (music playing)
[00:21:16.360 --> 00:21:21.360]   (music playing)
[00:21:21.360 --> 00:21:26.360]   (music playing)
[00:21:26.360 --> 00:21:31.360]   (music playing)
[00:21:31.360 --> 00:21:36.360]   (music playing)
[00:21:36.360 --> 00:21:41.360]   (music playing)
[00:21:41.360 --> 00:21:46.360]   (music playing)
[00:21:46.360 --> 00:21:51.360]   (music playing)
[00:21:51.360 --> 00:21:56.360]   (music playing)
[00:21:56.360 --> 00:22:01.360]   (music playing)
[00:22:01.360 --> 00:22:06.360]   (music playing)
[00:22:06.360 --> 00:22:11.360]   (music playing)
[00:22:11.360 --> 00:22:16.360]   (music playing)
[00:22:16.360 --> 00:22:21.360]   (music playing)
[00:22:21.360 --> 00:22:26.360]   (music playing)
[00:22:26.360 --> 00:22:31.360]   (music playing)
[00:22:31.360 --> 00:22:36.360]   (music playing)
[00:22:36.360 --> 00:22:41.360]   (music playing)
[00:22:41.360 --> 00:22:46.360]   (music playing)
[00:22:46.360 --> 00:22:51.360]   (music playing)
[00:22:51.360 --> 00:22:56.360]   (music playing)
[00:22:56.360 --> 00:23:01.360]   (music playing)
[00:23:01.360 --> 00:23:06.360]   (music playing)
[00:23:06.360 --> 00:23:11.360]   (music playing)
[00:23:11.360 --> 00:23:16.360]   (music playing)
[00:23:16.360 --> 00:23:21.360]   (music playing)
[00:23:21.360 --> 00:23:26.360]   (music playing)
[00:23:26.360 --> 00:23:31.360]   (music playing)
[00:23:31.360 --> 00:23:36.360]   (music playing)
[00:23:36.360 --> 00:23:41.360]   (music playing)
[00:23:41.360 --> 00:23:46.360]   (music playing)
[00:23:46.360 --> 00:23:51.360]   (music playing)
[00:23:51.360 --> 00:23:56.360]   (music playing)
[00:23:56.360 --> 00:24:01.360]   (music playing)
[00:24:01.360 --> 00:24:06.360]   (music playing)
[00:24:06.360 --> 00:24:11.360]   (music playing)
[00:24:11.360 --> 00:24:16.360]   (music playing)
[00:24:16.360 --> 00:24:21.360]   (music playing)
[00:24:21.360 --> 00:24:26.360]   (music playing)
[00:24:26.360 --> 00:24:31.360]   (music playing)
[00:24:31.360 --> 00:24:36.360]   (music playing)
[00:24:36.360 --> 00:24:41.360]   (music playing)
[00:24:41.360 --> 00:24:46.360]   (music playing)
[00:24:46.360 --> 00:24:51.360]   (music playing)
[00:24:51.360 --> 00:24:56.360]   (music playing)
[00:24:56.360 --> 00:25:01.360]   (music playing)
[00:25:01.360 --> 00:25:06.360]   (music playing)
[00:25:06.360 --> 00:25:11.360]   (music playing)
[00:25:11.360 --> 00:25:16.360]   (music playing)
[00:25:16.360 --> 00:25:21.360]   (music playing)
[00:25:21.360 --> 00:25:26.360]   (music playing)
[00:25:26.360 --> 00:25:31.360]   (music playing)
[00:25:31.360 --> 00:25:36.360]   (music playing)
[00:25:36.360 --> 00:25:41.360]   (music playing)
[00:25:41.360 --> 00:25:46.360]   (music playing)
[00:25:46.360 --> 00:25:51.360]   (music playing)
[00:25:51.360 --> 00:25:56.360]   (music playing)
[00:25:56.360 --> 00:26:01.360]   (music playing)
[00:26:01.360 --> 00:26:06.360]   (music playing)
[00:26:06.360 --> 00:26:11.360]   (music playing)
[00:26:11.360 --> 00:26:16.360]   (music playing)
[00:26:16.360 --> 00:26:21.360]   (music playing)
[00:26:21.360 --> 00:26:26.360]   (music playing)
[00:26:26.360 --> 00:26:31.360]   (music playing)
[00:26:31.360 --> 00:26:36.360]   (music playing)
[00:26:36.360 --> 00:26:41.360]   (music playing)
[00:26:41.360 --> 00:26:46.360]   (music playing)
[00:26:46.360 --> 00:26:51.360]   (music playing)
[00:26:51.360 --> 00:26:56.360]   (music playing)
[00:26:56.360 --> 00:27:01.360]   (music playing)
[00:27:01.360 --> 00:27:06.360]   (music playing)
[00:27:06.360 --> 00:27:11.360]   (music playing)
[00:27:11.360 --> 00:27:16.360]   (music playing)
[00:27:16.360 --> 00:27:21.360]   (music playing)
[00:27:21.360 --> 00:27:26.360]   (music playing)
[00:27:26.360 --> 00:27:31.360]   (music playing)
[00:27:31.360 --> 00:27:36.360]   (music playing)
[00:27:36.360 --> 00:27:41.360]   (music playing)
[00:27:41.360 --> 00:27:46.360]   (music playing)
[00:27:46.360 --> 00:27:51.360]   (music playing)
[00:27:51.360 --> 00:27:56.360]   (music playing)
[00:27:56.360 --> 00:28:01.360]   (music playing)
[00:28:01.360 --> 00:28:06.360]   (music playing)
[00:28:06.360 --> 00:28:11.360]   (music playing)
[00:28:11.360 --> 00:28:16.360]   (music playing)
[00:28:16.360 --> 00:28:21.360]   (music playing)
[00:28:21.360 --> 00:28:26.360]   (music playing)
[00:28:26.360 --> 00:28:31.360]   (music playing)
[00:28:31.360 --> 00:28:36.360]   (music playing)
[00:28:36.360 --> 00:28:41.360]   (music playing)
[00:28:41.360 --> 00:28:46.360]   (music playing)
[00:28:46.360 --> 00:28:51.360]   (music playing)
[00:28:51.360 --> 00:28:56.360]   (music playing)
[00:28:56.360 --> 00:29:01.360]   (music playing)
[00:29:01.360 --> 00:29:06.360]   (music playing)
[00:29:06.360 --> 00:29:11.360]   (music playing)
[00:29:11.360 --> 00:29:16.360]   (music playing)
[00:29:16.360 --> 00:29:21.360]   (music playing)
[00:29:21.360 --> 00:29:26.360]   (music playing)
[00:29:26.360 --> 00:29:31.360]   (music playing)
[00:29:31.360 --> 00:29:36.360]   (music playing)
[00:29:36.360 --> 00:29:41.360]   (music playing)
[00:29:41.360 --> 00:29:46.360]   (music playing)
[00:29:46.360 --> 00:29:51.360]   (music playing)
[00:29:51.360 --> 00:29:56.360]   (music playing)
[00:29:56.360 --> 00:30:01.360]   (music playing)
[00:30:01.360 --> 00:30:06.360]   (music playing)
[00:30:06.360 --> 00:30:11.360]   (music playing)
[00:30:11.360 --> 00:30:16.360]   (music playing)
[00:30:16.360 --> 00:30:21.360]   (music playing)
[00:30:21.360 --> 00:30:26.360]   (music playing)
[00:30:26.360 --> 00:30:31.360]   (music playing)
[00:30:31.360 --> 00:30:36.360]   (music playing)
[00:30:36.360 --> 00:30:41.360]   (music playing)
[00:30:41.360 --> 00:30:46.360]   (music playing)
[00:30:46.360 --> 00:30:51.360]   (music playing)
[00:30:51.360 --> 00:30:56.360]   (music playing)
[00:30:56.360 --> 00:31:01.360]   (music playing)
[00:31:01.360 --> 00:31:06.360]   (music playing)
[00:31:06.360 --> 00:31:11.360]   (music playing)
[00:31:11.360 --> 00:31:16.360]   (music playing)
[00:31:16.360 --> 00:31:21.360]   (music playing)
[00:31:21.360 --> 00:31:26.360]   (music playing)
[00:31:26.360 --> 00:31:31.360]   (music playing)
[00:31:31.360 --> 00:31:36.360]   (music playing)
[00:31:36.360 --> 00:31:41.360]   (music playing)
[00:31:41.360 --> 00:31:46.360]   (music playing)
[00:31:46.360 --> 00:31:51.360]   (music playing)
[00:31:51.360 --> 00:31:56.360]   (music playing)
[00:31:56.360 --> 00:32:01.360]   (music playing)
[00:32:01.360 --> 00:32:06.360]   (music playing)
[00:32:06.360 --> 00:32:11.360]   (music playing)
[00:32:11.360 --> 00:32:16.360]   (music playing)
[00:32:16.360 --> 00:32:21.360]   (music playing)
[00:32:21.360 --> 00:32:26.360]   (music playing)
[00:32:26.360 --> 00:32:31.360]   (music playing)
[00:32:31.360 --> 00:32:36.360]   (music playing)
[00:32:36.360 --> 00:32:41.360]   (music playing)
[00:32:41.360 --> 00:32:46.360]   (music playing)
[00:32:46.360 --> 00:32:51.360]   (music playing)
[00:32:51.360 --> 00:32:56.360]   (music playing)
[00:32:56.360 --> 00:33:01.360]   (music playing)
[00:33:01.360 --> 00:33:06.360]   (music playing)
[00:33:06.360 --> 00:33:11.360]   (music playing)
[00:33:11.360 --> 00:33:16.360]   (music playing)
[00:33:16.360 --> 00:33:21.360]   (music playing)
[00:33:21.360 --> 00:33:26.360]   (music playing)
[00:33:26.360 --> 00:33:31.360]   (music playing)
[00:33:31.360 --> 00:33:36.360]   (music playing)
[00:33:36.360 --> 00:33:41.360]   (music playing)
[00:33:41.360 --> 00:33:46.360]   (music playing)
[00:33:46.360 --> 00:33:51.360]   (music playing)
[00:33:51.360 --> 00:33:56.360]   (music playing)
[00:33:56.360 --> 00:34:01.360]   (music playing)
[00:34:01.360 --> 00:34:06.360]   (music playing)
[00:34:06.360 --> 00:34:11.360]   (music playing)
[00:34:11.360 --> 00:34:16.360]   (music playing)
[00:34:16.360 --> 00:34:21.360]   (music playing)
[00:34:21.360 --> 00:34:26.360]   (music playing)
[00:34:26.360 --> 00:34:31.360]   (music playing)
[00:34:31.360 --> 00:34:36.360]   (music playing)
[00:34:36.360 --> 00:34:41.360]   (music playing)
[00:34:41.360 --> 00:34:46.360]   (music playing)
[00:34:46.360 --> 00:34:51.360]   (music playing)
[00:34:51.360 --> 00:34:56.360]   (music playing)
[00:34:56.360 --> 00:35:01.360]   (music playing)
[00:35:01.360 --> 00:35:06.360]   (music playing)
[00:35:06.360 --> 00:35:11.360]   (music playing)
[00:35:11.360 --> 00:35:16.360]   (music playing)
[00:35:16.360 --> 00:35:21.360]   (music playing)
[00:35:21.360 --> 00:35:26.360]   (music playing)
[00:35:26.360 --> 00:35:31.360]   (music playing)
[00:35:31.360 --> 00:35:36.360]   (music playing)
[00:35:36.360 --> 00:35:41.360]   (music playing)
[00:35:41.360 --> 00:35:46.360]   (music playing)
[00:35:46.360 --> 00:35:51.360]   (music playing)
[00:35:51.360 --> 00:35:56.360]   (music playing)
[00:35:56.360 --> 00:36:01.360]   As we continue to pray, why don't we go into our proclamation prayer requests.
[00:36:01.360 --> 00:36:06.360]   And just to encourage you, there are many people, specifically in our lives,
[00:36:06.360 --> 00:36:08.360]   who need to hear the gospel.
[00:36:08.360 --> 00:36:13.360]   I encourage you to think about them specifically as you pray,
[00:36:13.360 --> 00:36:17.360]   as we come before our God, hoping and praying that the Spirit will work
[00:36:17.360 --> 00:36:20.360]   in the hearts of our friends, our loved ones.
[00:36:20.360 --> 00:36:22.360]   So let's continue to pray.
[00:36:22.360 --> 00:36:27.360]   (music playing)
[00:36:27.360 --> 00:36:32.360]   (music playing)
[00:36:32.360 --> 00:36:37.360]   (music playing)
[00:36:37.360 --> 00:36:42.360]   (music playing)
[00:36:42.360 --> 00:36:47.360]   (music playing)
[00:36:47.360 --> 00:36:52.360]   (music playing)
[00:36:52.360 --> 00:36:57.360]   (music playing)
[00:36:57.360 --> 00:37:02.360]   (music playing)
[00:37:02.360 --> 00:37:07.360]   (music playing)
[00:37:07.360 --> 00:37:12.360]   (music playing)
[00:37:12.360 --> 00:37:17.360]   (music playing)
[00:37:17.360 --> 00:37:22.360]   (music playing)
[00:37:22.360 --> 00:37:27.360]   (music playing)
[00:37:27.360 --> 00:37:32.360]   (music playing)
[00:37:32.360 --> 00:37:37.360]   (music playing)
[00:37:37.360 --> 00:37:42.360]   (music playing)
[00:37:42.360 --> 00:37:47.360]   (music playing)
[00:37:47.360 --> 00:37:52.360]   (music playing)
[00:37:52.360 --> 00:37:57.360]   (music playing)
[00:37:57.360 --> 00:38:02.360]   (music playing)
[00:38:02.360 --> 00:38:07.360]   (music playing)
[00:38:07.360 --> 00:38:12.360]   (music playing)
[00:38:12.360 --> 00:38:17.360]   (music playing)
[00:38:17.360 --> 00:38:22.360]   (music playing)
[00:38:22.360 --> 00:38:27.360]   (music playing)
[00:38:27.360 --> 00:38:32.360]   (music playing)
[00:38:32.360 --> 00:38:37.360]   (music playing)
[00:38:37.360 --> 00:38:42.360]   (music playing)
[00:38:42.360 --> 00:38:47.360]   (music playing)
[00:38:47.360 --> 00:38:52.360]   (music playing)
[00:38:52.360 --> 00:38:57.360]   (music playing)
[00:38:57.360 --> 00:39:02.360]   (music playing)
[00:39:02.360 --> 00:39:07.360]   (music playing)
[00:39:07.360 --> 00:39:12.360]   (music playing)
[00:39:12.360 --> 00:39:17.360]   (music playing)
[00:39:17.360 --> 00:39:22.360]   (music playing)
[00:39:22.360 --> 00:39:27.360]   (music playing)
[00:39:27.360 --> 00:39:32.360]   (music playing)
[00:39:32.360 --> 00:39:37.360]   (music playing)
[00:39:37.360 --> 00:39:42.360]   (music playing)
[00:39:42.360 --> 00:39:47.360]   (music playing)
[00:39:47.360 --> 00:39:52.360]   (music playing)
[00:39:52.360 --> 00:39:57.360]   (music playing)
[00:39:57.360 --> 00:40:02.360]   (music playing)
[00:40:02.360 --> 00:40:07.360]   (music playing)
[00:40:07.360 --> 00:40:12.360]   (music playing)
[00:40:12.360 --> 00:40:17.360]   (music playing)
[00:40:17.360 --> 00:40:22.360]   (music playing)
[00:40:22.360 --> 00:40:27.360]   (music playing)
[00:40:27.360 --> 00:40:32.360]   (music playing)
[00:40:32.360 --> 00:40:37.360]   (music playing)
[00:40:37.360 --> 00:40:42.360]   (music playing)
[00:40:42.360 --> 00:40:47.360]   (music playing)
[00:40:47.360 --> 00:40:52.360]   (music playing)
[00:40:52.360 --> 00:40:57.360]   (music playing)
[00:40:57.360 --> 00:41:02.360]   (music playing)
[00:41:02.360 --> 00:41:07.360]   (music playing)
[00:41:07.360 --> 00:41:12.360]   (music playing)
[00:41:12.360 --> 00:41:17.360]   (music playing)
[00:41:17.360 --> 00:41:22.360]   (music playing)
[00:41:22.360 --> 00:41:27.360]   (music playing)
[00:41:27.360 --> 00:41:32.360]   (music playing)
[00:41:32.360 --> 00:41:37.360]   (music playing)
[00:41:37.360 --> 00:41:42.360]   (music playing)
[00:41:42.360 --> 00:41:47.360]   (music playing)
[00:41:47.360 --> 00:41:52.360]   (music playing)
[00:41:52.360 --> 00:41:57.360]   (music playing)
[00:41:57.360 --> 00:42:02.360]   (music playing)
[00:42:02.360 --> 00:42:07.360]   (music playing)
[00:42:07.360 --> 00:42:12.360]   (music playing)
[00:42:12.360 --> 00:42:17.360]   (music playing)
[00:42:17.360 --> 00:42:22.360]   (music playing)
[00:42:22.360 --> 00:42:27.360]   (music playing)
[00:42:27.360 --> 00:42:32.360]   (music playing)
[00:42:32.360 --> 00:42:37.360]   (music playing)
[00:42:37.360 --> 00:42:42.360]   (music playing)
[00:42:42.360 --> 00:42:47.360]   (music playing)
[00:42:47.360 --> 00:42:52.360]   (music playing)
[00:42:52.360 --> 00:42:57.360]   (music playing)
[00:42:57.360 --> 00:43:02.360]   (music playing)
[00:43:02.360 --> 00:43:07.360]   (music playing)
[00:43:07.360 --> 00:43:12.360]   (music playing)
[00:43:12.360 --> 00:43:17.360]   (music playing)
[00:43:17.360 --> 00:43:22.360]   (music playing)
[00:43:22.360 --> 00:43:27.360]   (music playing)
[00:43:27.360 --> 00:43:32.360]   (music playing)
[00:43:32.360 --> 00:43:37.360]   (music playing)
[00:43:37.360 --> 00:43:42.360]   (music playing)
[00:43:42.360 --> 00:43:47.360]   (music playing)
[00:43:47.360 --> 00:43:52.360]   (music playing)
[00:43:52.360 --> 00:43:57.360]   (music playing)
[00:43:57.360 --> 00:44:02.360]   (music playing)
[00:44:02.360 --> 00:44:07.360]   (music playing)
