
[00:00:00.000 --> 00:00:02.000]   Here we go!
[00:02:38.000 --> 00:02:44.000]   I will bow down before him.
[00:02:44.000 --> 00:02:54.000]   I will sing to and worship the king who is worthy.
[00:02:54.000 --> 00:02:56.000]   I will love him.
[00:02:56.000 --> 00:02:58.000]   Adore him.
[00:02:58.000 --> 00:03:02.000]   I will bow down before him.
[00:03:02.000 --> 00:03:04.000]   You're my prince of peace.
[00:03:04.000 --> 00:03:12.000]   I will live my life for you.
[00:03:12.000 --> 00:03:20.000]   I will sing to and worship the king who is worthy.
[00:03:20.000 --> 00:03:30.000]   I will sing to and worship the king who is worthy.
[00:03:30.000 --> 00:03:32.000]   I will love him.
[00:03:32.000 --> 00:03:34.000]   Adore him.
[00:03:34.000 --> 00:03:40.000]   I will bow down before him.
[00:03:40.000 --> 00:03:50.000]   I will sing to and worship the king who is worthy.
[00:03:50.000 --> 00:03:52.000]   I will love him.
[00:03:52.000 --> 00:03:54.000]   Adore him.
[00:03:54.000 --> 00:04:00.000]   I will bow down before him.
[00:04:00.000 --> 00:04:02.000]   You're my prince of peace.
[00:04:02.000 --> 00:04:08.000]   I will live my life for you.
[00:04:08.000 --> 00:04:18.000]   I will sing to and worship the king who is worthy.
[00:04:18.000 --> 00:04:28.000]   I will sing to and worship the king who is worthy.
[00:04:28.000 --> 00:04:36.000]   I will sing to and worship the king who is worthy.
[00:04:36.000 --> 00:04:46.000]   I will sing to and worship the king who is worthy.
[00:04:46.000 --> 00:04:56.000]   I will sing to and worship the king who is worthy.
[00:04:56.000 --> 00:05:06.000]   [Music]
[00:05:06.000 --> 00:05:16.000]   [Music]
[00:05:16.000 --> 00:05:26.000]   [Music]
[00:05:26.000 --> 00:05:36.000]   [Music]
[00:05:36.000 --> 00:05:46.000]   [Music]
[00:05:46.000 --> 00:05:56.000]   [Music]
[00:05:56.000 --> 00:06:06.000]   [Music]
[00:06:06.000 --> 00:06:16.000]   [Music]
[00:06:16.000 --> 00:06:26.000]   [Music]
[00:06:26.000 --> 00:06:36.000]   [Music]
[00:06:36.000 --> 00:06:46.000]   [Music]
[00:06:46.000 --> 00:06:56.000]   [Music]
[00:06:56.000 --> 00:07:06.000]   [Music]
[00:07:06.000 --> 00:07:16.000]   [Music]
[00:07:16.000 --> 00:07:26.000]   [Music]
[00:07:26.000 --> 00:07:36.000]   [Music]
[00:07:36.000 --> 00:07:46.000]   [Music]
[00:07:46.000 --> 00:07:56.000]   [Music]
[00:07:56.000 --> 00:08:06.000]   [Music]
[00:08:06.000 --> 00:08:16.000]   [Music]
[00:08:16.000 --> 00:08:26.000]   [Music]
[00:08:26.000 --> 00:08:36.000]   [Music]
[00:08:36.000 --> 00:08:46.000]   [Music]
[00:08:46.000 --> 00:08:56.000]   [Music]
[00:08:56.000 --> 00:09:06.000]   [Music]
[00:09:06.000 --> 00:09:16.000]   [Music]
[00:09:16.000 --> 00:09:26.000]   [Music]
[00:09:26.000 --> 00:09:36.000]   [Music]
[00:09:36.000 --> 00:09:46.000]   [Music]
[00:09:46.000 --> 00:09:56.000]   [Music]
[00:09:56.000 --> 00:10:06.000]   [Music]
[00:10:06.000 --> 00:10:16.000]   [Music]
[00:10:16.000 --> 00:10:26.000]   [Music]
[00:10:26.000 --> 00:10:36.000]   [Music]
[00:10:36.000 --> 00:10:46.000]   [Music]
[00:10:46.000 --> 00:10:56.000]   [Music]
[00:10:56.000 --> 00:11:06.000]   [Music]
[00:11:06.000 --> 00:11:16.000]   [Music]
[00:11:16.000 --> 00:11:26.000]   [Music]
[00:11:26.000 --> 00:11:36.000]   [Music]
[00:11:36.000 --> 00:11:46.000]   [Music]
[00:11:46.000 --> 00:11:56.000]   [Music]
[00:11:56.000 --> 00:12:06.000]   [Music]
[00:12:06.000 --> 00:12:16.000]   [Music]
[00:12:16.000 --> 00:12:26.000]   [Music]
[00:12:26.000 --> 00:12:36.000]   [Music]
[00:12:36.000 --> 00:12:46.000]   [Music]
[00:12:46.000 --> 00:12:56.000]   [Music]
[00:12:56.000 --> 00:13:06.000]   [Music]
[00:13:06.000 --> 00:13:16.000]   [Music]
[00:13:16.000 --> 00:13:26.000]   [Music]
[00:13:26.000 --> 00:13:36.000]   [Music]
[00:13:36.000 --> 00:13:46.000]   [Music]
[00:13:46.000 --> 00:13:56.000]   [Music]
[00:13:56.000 --> 00:14:06.000]   [Music]
[00:14:06.000 --> 00:14:16.000]   [Music]
[00:14:16.000 --> 00:14:26.000]   [Music]
[00:14:26.000 --> 00:14:36.000]   [Music]
[00:14:36.000 --> 00:14:46.000]   [Music]
[00:14:46.000 --> 00:14:56.000]   [Music]
[00:14:56.000 --> 00:15:06.000]   [Music]
[00:15:06.000 --> 00:15:16.000]   [Music]
[00:15:16.000 --> 00:15:26.000]   [Music]
[00:15:26.000 --> 00:15:36.000]   [Music]
[00:15:36.000 --> 00:15:46.000]   [Music]
[00:15:46.000 --> 00:15:56.000]   [Music]
[00:15:56.000 --> 00:16:06.000]   [Music]
[00:16:06.000 --> 00:16:16.000]   [Music]
[00:16:16.000 --> 00:16:26.000]   [Music]
[00:16:26.000 --> 00:16:36.000]   [Music]
[00:16:36.000 --> 00:16:46.000]   [Music]
[00:16:46.000 --> 00:16:56.000]   [Music]
[00:16:56.000 --> 00:17:06.000]   [Music]
[00:17:06.000 --> 00:17:16.000]   [Music]
[00:17:16.000 --> 00:17:26.000]   [Music]
[00:17:26.000 --> 00:17:36.000]   [Music]
[00:17:36.000 --> 00:17:46.000]   [Music]
[00:17:46.000 --> 00:17:56.000]   [Music]
[00:17:56.000 --> 00:18:06.000]   [Music]
[00:18:06.000 --> 00:18:16.000]   [Music]
[00:18:16.000 --> 00:18:26.000]   [Music]
[00:18:26.000 --> 00:18:36.000]   [Music]
[00:18:36.000 --> 00:18:46.000]   [Music]
[00:18:46.000 --> 00:18:56.000]   [Music]
[00:18:56.000 --> 00:19:06.000]   [Music]
[00:19:06.000 --> 00:19:16.000]   [Music]
[00:19:16.000 --> 00:19:26.000]   [Music]
[00:19:26.000 --> 00:19:36.000]   [Music]
[00:19:36.000 --> 00:19:46.000]   [Music]
[00:19:46.000 --> 00:19:56.000]   [Music]
[00:19:56.000 --> 00:20:06.000]   [Music]
[00:20:06.000 --> 00:20:16.000]   [Music]
[00:20:16.000 --> 00:20:26.000]   [Music]
[00:20:26.000 --> 00:20:36.000]   [Music]
[00:20:36.000 --> 00:20:46.000]   [Music]
[00:20:46.000 --> 00:20:56.000]   [Music]
[00:20:56.000 --> 00:21:06.000]   [Music]
[00:21:06.000 --> 00:21:16.000]   [Music]
[00:21:16.000 --> 00:21:26.000]   [Music]
[00:21:26.000 --> 00:21:36.000]   [Music]
[00:21:36.000 --> 00:21:46.000]   [Music]
[00:21:46.000 --> 00:21:56.000]   [Music]
[00:21:56.000 --> 00:22:06.000]   [Music]
[00:22:06.000 --> 00:22:16.000]   [Music]
[00:22:16.000 --> 00:22:26.000]   [Music]
[00:22:26.000 --> 00:22:36.000]   [Music]
[00:22:36.000 --> 00:22:46.000]   [Music]
[00:22:46.000 --> 00:22:56.000]   [Music]
[00:22:56.000 --> 00:23:06.000]   [Music]
[00:23:06.000 --> 00:23:16.000]   [Music]
[00:23:16.000 --> 00:23:26.000]   [Music]
[00:23:26.000 --> 00:23:36.000]   [Music]
[00:23:36.000 --> 00:23:46.000]   [Music]
[00:23:46.000 --> 00:23:56.000]   [Music]
[00:23:56.000 --> 00:24:06.000]   [Music]
[00:24:06.000 --> 00:24:16.000]   [Music]
[00:24:16.000 --> 00:24:26.000]   [Music]
[00:24:26.000 --> 00:24:36.000]   [Music]
[00:24:36.000 --> 00:24:46.000]   [Music]
[00:24:46.000 --> 00:24:56.000]   [Music]
[00:24:56.000 --> 00:25:06.000]   [Music]
[00:25:06.000 --> 00:25:16.000]   [Music]
[00:25:16.000 --> 00:25:26.000]   [Music]
[00:25:26.000 --> 00:25:36.000]   [Music]
[00:25:36.000 --> 00:25:46.000]   [Music]
[00:25:46.000 --> 00:25:52.000]   [Music]
[00:25:52.000 --> 00:25:54.000]   You may be seated.
[00:25:54.000 --> 00:26:01.000]   All right, good morning.
[00:26:01.000 --> 00:26:04.000]   If you can turn your Bibles with me to Hebrews chapter 11.
[00:26:04.000 --> 00:26:07.000]   We're going to be reading from verse 1 through 4.
[00:26:07.000 --> 00:26:11.000]   And main text today is going to be on one verse, verse 4.
[00:26:11.000 --> 00:26:16.000]   Again, I promise we are going to be going faster than just one verse a week.
[00:26:16.000 --> 00:26:19.000]   It's just that we want to make sure that we cover this and set the right foundation
[00:26:19.000 --> 00:26:23.000]   before we get to the other heroes of the faith.
[00:26:23.000 --> 00:26:26.000]   So Hebrews chapter 11, verses 1 through 4.
[00:26:26.000 --> 00:26:31.000]   So I want to read all four verses before we get started this morning.
[00:26:31.000 --> 00:27:00.000]   Reading out of the NASV.
[00:27:00.000 --> 00:27:04.000]   Heavenly Father, we pray for your anointing over this time.
[00:27:04.000 --> 00:27:07.000]   May your word have its effect on us.
[00:27:07.000 --> 00:27:12.000]   Help us, Lord God, to hear from you and to glean from this verse, this passage,
[00:27:12.000 --> 00:27:14.000]   what it is that you have desired.
[00:27:14.000 --> 00:27:18.000]   I pray that you would give us eagerness, Lord God, to hear from you,
[00:27:18.000 --> 00:27:21.000]   that we may apply all that you have to say.
[00:27:21.000 --> 00:27:23.000]   In Jesus' name we pray. Amen.
[00:27:23.000 --> 00:27:27.000]   All right, again, I want to apologize if you are not a Lakers fan.
[00:27:27.000 --> 00:27:30.000]   I'm going to mention this just for today.
[00:27:30.000 --> 00:27:33.000]   Just for today and then next week maybe consider it again.
[00:27:33.000 --> 00:27:38.000]   But again, as you guys know, Lakers won their 17th championship
[00:27:38.000 --> 00:27:41.000]   tying the record for the Celtics.
[00:27:41.000 --> 00:27:42.000]   So now they're tied.
[00:27:42.000 --> 00:27:46.000]   So next year they'll break it, I'm assuming.
[00:27:46.000 --> 00:27:51.000]   But after every game that happens, obviously they'll put up the banner up there.
[00:27:51.000 --> 00:27:53.000]   It's the 17th championship banner.
[00:27:53.000 --> 00:27:56.000]   And then they'll have the Hall of Famers whose jerseys have been retired.
[00:27:56.000 --> 00:27:58.000]   And obviously Kobe's was retired.
[00:27:58.000 --> 00:28:01.000]   And then eventually other people will get retired.
[00:28:01.000 --> 00:28:04.000]   And the reason why they do that is obviously to venerate,
[00:28:04.000 --> 00:28:07.000]   just to kind of honor that these are the teams that win,
[00:28:07.000 --> 00:28:08.000]   won the championship team.
[00:28:08.000 --> 00:28:12.000]   And the new people that have come and they retired their jerseys
[00:28:12.000 --> 00:28:14.000]   and put it up there to inspire people.
[00:28:14.000 --> 00:28:16.000]   When they look up, this is what Lakers is about.
[00:28:16.000 --> 00:28:19.000]   This is what you should aspire for.
[00:28:19.000 --> 00:28:22.000]   But obviously you can look at that and the new players coming in
[00:28:22.000 --> 00:28:26.000]   and get intimidated and think, "I will never be able to live up to that."
[00:28:26.000 --> 00:28:29.000]   Now obviously these guys are Hall of Fame basketball players.
[00:28:29.000 --> 00:28:32.000]   So it's not assumed that every basketball player,
[00:28:32.000 --> 00:28:36.000]   in fact more than 99% of the players that come in and play for Lakers
[00:28:36.000 --> 00:28:38.000]   are not going to have their jerseys retired like that.
[00:28:38.000 --> 00:28:42.000]   But the reason why they do that is not simply to intimidate but to inspire.
[00:28:42.000 --> 00:28:48.000]   So they're kind of like the Hall of Fame or the heroes basically of Lakers,
[00:28:48.000 --> 00:28:50.000]   if you're a Lakers fan.
[00:28:50.000 --> 00:28:56.000]   I say all of this because Chapter 11 is a Hall of Fame for people of faith.
[00:28:56.000 --> 00:29:00.000]   And so everything that the author has been saying has been leading up to Chapter 11
[00:29:00.000 --> 00:29:05.000]   saying that not to drift, but here's some examples of people who live by faith
[00:29:05.000 --> 00:29:07.000]   and what does this faith look like.
[00:29:07.000 --> 00:29:09.000]   And then after he does that, starting from Chapter 12,
[00:29:09.000 --> 00:29:13.000]   he's going to point back to them saying, "Considering the cloud of witnesses,"
[00:29:13.000 --> 00:29:16.000]   this Hall of Fame people who live by faith,
[00:29:16.000 --> 00:29:20.000]   "that we ought to follow that example and continue to persevere in our faith."
[00:29:20.000 --> 00:29:23.000]   So today is the first person in the Hall of Fame.
[00:29:23.000 --> 00:29:28.000]   So he's like the first retired jersey that we're looking at today.
[00:29:28.000 --> 00:29:35.000]   So we're looking at verse 4 and starts out of the story between Abel and Cain,
[00:29:35.000 --> 00:29:41.000]   how Abel's offering was acceptable and Cain's offering was not.
[00:29:41.000 --> 00:29:47.000]   Just to kind of--before we even jump into it, that we understand what's going on.
[00:29:47.000 --> 00:29:54.000]   The story of Cain and Abel is the first generation of people who were born into sin.
[00:29:54.000 --> 00:29:56.000]   Now Adam and Eve were not born into sin.
[00:29:56.000 --> 00:29:59.000]   They fell because they chose to sin.
[00:29:59.000 --> 00:30:04.000]   So the first generation of people, the first fruits of Adam and Eve after they fell
[00:30:04.000 --> 00:30:07.000]   was a murderer.
[00:30:07.000 --> 00:30:09.000]   And it is not by accident.
[00:30:09.000 --> 00:30:12.000]   The stories that we see in the Old Testament and New Testament
[00:30:12.000 --> 00:30:14.000]   are not a collection of random things that happen
[00:30:14.000 --> 00:30:17.000]   and just kind of telling us this is what happened.
[00:30:17.000 --> 00:30:22.000]   So whenever we study the Bible, we're doing inductive study of 1 Thessalonians,
[00:30:22.000 --> 00:30:25.000]   one of the key things that we have to constantly ask is,
[00:30:25.000 --> 00:30:27.000]   how does this fit into the context?
[00:30:27.000 --> 00:30:33.000]   Not only the context of the immediate text of the letter of the Old Covenant and New Covenant,
[00:30:33.000 --> 00:30:37.000]   but in his redemptive, in the meta-narrative of the Bible,
[00:30:37.000 --> 00:30:40.000]   in the redemptive history, where does this fit?
[00:30:40.000 --> 00:30:42.000]   Why is this story here?
[00:30:42.000 --> 00:30:46.000]   Other than to just tell us that Adam and Eve had children and they ended up,
[00:30:46.000 --> 00:30:50.000]   you know, the first one ended up murdering.
[00:30:50.000 --> 00:30:56.000]   Well, we're going to see here what he says here is really foundational to our faith.
[00:30:56.000 --> 00:31:01.000]   What he says in this one verse really sets the table
[00:31:01.000 --> 00:31:05.000]   of how we understand the rest of redemptive history.
[00:31:05.000 --> 00:31:09.000]   And so hopefully we will be able to unpack that together this morning.
[00:31:09.000 --> 00:31:12.000]   So I want to look at verse 4 again, just verse 4.
[00:31:12.000 --> 00:31:16.000]   And then we're going to deal with two things that he says here this morning.
[00:31:16.000 --> 00:31:21.000]   Verse 4, "By faith Abel offered to God a better sacrifice than Cain."
[00:31:21.000 --> 00:31:23.000]   So that's the first point we're going to look at.
[00:31:23.000 --> 00:31:27.000]   It was a better sacrifice. What made this a better sacrifice?
[00:31:27.000 --> 00:31:32.000]   And then 2, "Through which he obtained the testimony that he was righteous."
[00:31:32.000 --> 00:31:36.000]   Through the better sacrifice, Abel became righteous.
[00:31:36.000 --> 00:31:42.000]   God testifying about his gift and through faith, though he is dead, he still speaks.
[00:31:42.000 --> 00:31:46.000]   What is it about his testimony, what is it about him becoming righteous
[00:31:46.000 --> 00:31:49.000]   that is still speaking to us today?
[00:31:49.000 --> 00:31:51.000]   So that's the second part we're going to be looking at.
[00:31:51.000 --> 00:31:53.000]   So let's look at the first part.
[00:31:53.000 --> 00:31:56.000]   He says, "Abel offered a better sacrifice."
[00:31:56.000 --> 00:31:59.000]   So in order for us to better understand what is going on here,
[00:31:59.000 --> 00:32:02.000]   it's good for us to understand what is a sacrifice.
[00:32:02.000 --> 00:32:07.000]   Sacrifice, another way of saying a sacrifice is an offering.
[00:32:07.000 --> 00:32:10.000]   Now in our modern day worship, we don't use the word sacrifice.
[00:32:10.000 --> 00:32:15.000]   Typically when we say sacrifice, we're talking about giving up something that is valuable to us.
[00:32:15.000 --> 00:32:20.000]   But here, in the context of sacrifice, it's talking about offering.
[00:32:20.000 --> 00:32:25.000]   And offering is what is given in the context of worship.
[00:32:25.000 --> 00:32:32.000]   So, another way to say this is, God looked at the offering that Abel gave and he says,
[00:32:32.000 --> 00:32:37.000]   "Abel's offering was a better offering."
[00:32:37.000 --> 00:32:39.000]   "Abel's offering was a better offering."
[00:32:39.000 --> 00:32:44.000]   So what is laid here, basically is telling us, through the story of Cain and Abel,
[00:32:44.000 --> 00:32:49.000]   what worship is acceptable and what worship is not acceptable.
[00:32:49.000 --> 00:32:52.000]   And the reason why this is so foundational,
[00:32:52.000 --> 00:32:57.000]   the Bible says that we are created for the purpose of worship.
[00:32:57.000 --> 00:33:02.000]   So if our central identity, central identity,
[00:33:02.000 --> 00:33:08.000]   is not what nationality, what language you speak, or your economic status,
[00:33:08.000 --> 00:33:12.000]   our first identity was as a worshiper.
[00:33:12.000 --> 00:33:17.000]   God says he created us in his image, to bear his image.
[00:33:17.000 --> 00:33:21.000]   In other words, we were to reflect his glory.
[00:33:21.000 --> 00:33:26.000]   And so when he says to Adam and Eve that this is acceptable worship,
[00:33:26.000 --> 00:33:32.000]   this is not acceptable worship, he's laying the foundation for sinners to be able to come to him.
[00:33:32.000 --> 00:33:35.000]   Again, this is why this is so important.
[00:33:35.000 --> 00:33:39.000]   Worship is at the core of who we are.
[00:33:39.000 --> 00:33:42.000]   Now, in order to better understand what worship is,
[00:33:42.000 --> 00:33:45.000]   again, I'm going to use the analogy of sports, right?
[00:33:45.000 --> 00:33:48.000]   If you are a casual fan, let's say if you're...
[00:33:48.000 --> 00:33:51.000]   I would say I'm not a fanatic, I would say I'm a fan.
[00:33:51.000 --> 00:33:55.000]   I enjoy watching Lakers, but my car is not purple and gold,
[00:33:55.000 --> 00:33:58.000]   I don't have purple and gold underwear, I don't have purple and gold socks.
[00:33:58.000 --> 00:34:01.000]   You see some fanatics when you go to the arena,
[00:34:01.000 --> 00:34:04.000]   I mean, they are fanatics, they'll paint their face,
[00:34:04.000 --> 00:34:10.000]   they'll take off their shirt, they'll have their favorite player's number printed on their chest.
[00:34:10.000 --> 00:34:12.000]   There's no shame, right?
[00:34:12.000 --> 00:34:16.000]   And we would say they're not just fans, they're not just casual fans, they are fanatics.
[00:34:16.000 --> 00:34:20.000]   If you go into their room, their room is painted purple and gold, right?
[00:34:20.000 --> 00:34:23.000]   And they know the shoe sizes of every player,
[00:34:23.000 --> 00:34:26.000]   they know when they got married, how many children they have,
[00:34:26.000 --> 00:34:29.000]   and their stats, and they know everything, right?
[00:34:29.000 --> 00:34:33.000]   So a fan is somebody who just casually enjoys it from a distance,
[00:34:33.000 --> 00:34:36.000]   and if they happen to be in championship, we kind of get on board,
[00:34:36.000 --> 00:34:39.000]   and we find excitement in that.
[00:34:39.000 --> 00:34:45.000]   But a fanatic is day and night, 24/7, that's what he does.
[00:34:45.000 --> 00:34:48.000]   So the difference between a fan and a fanatic,
[00:34:48.000 --> 00:34:53.000]   a fanatic, that's his primary thing that brings him the greatest joy.
[00:34:53.000 --> 00:34:57.000]   That's it. That's what brings him the greatest joy.
[00:34:57.000 --> 00:34:59.000]   He's willing to become a fool.
[00:34:59.000 --> 00:35:02.000]   He's willing to spend a lot of money.
[00:35:02.000 --> 00:35:09.000]   In fact, most fanatics, their friends will actually tell them to calm down, right?
[00:35:09.000 --> 00:35:12.000]   Most fans are like, "Yeah, you know, we're going to get together and watch,
[00:35:12.000 --> 00:35:17.000]   you know, watch basketball together," but if you're a fanatic,
[00:35:17.000 --> 00:35:20.000]   you probably have some friends that are concerned about you.
[00:35:20.000 --> 00:35:23.000]   You know, "You're spending too much money. You're--too much time.
[00:35:23.000 --> 00:35:26.000]   Too much energy in that."
[00:35:26.000 --> 00:35:35.000]   See, in the context of worship, God did not call us to be fans.
[00:35:35.000 --> 00:35:38.000]   He called us to be fanatics.
[00:35:38.000 --> 00:35:41.000]   Because the Bible says--what is the greatest commandment?
[00:35:41.000 --> 00:35:47.000]   "Love the Lord your God with all your heart, soul, mind, and strength."
[00:35:47.000 --> 00:35:52.000]   He says what God is looking for, people are going to worship him in spirit and in truth.
[00:35:52.000 --> 00:35:57.000]   He said, "You will seek me and find me if you seek for me with what?
[00:35:57.000 --> 00:36:01.000]   With all your heart."
[00:36:01.000 --> 00:36:06.000]   God is commanding us to be fanatics of who he is.
[00:36:06.000 --> 00:36:09.000]   Now, when we look at that, because typically when we think of a fanatic,
[00:36:09.000 --> 00:36:12.000]   we're thinking about somebody who went too far.
[00:36:12.000 --> 00:36:18.000]   But the reason why he commands and desires fanatics of who he is
[00:36:18.000 --> 00:36:22.000]   is because he is the author of life.
[00:36:22.000 --> 00:36:27.000]   And the moment that we are separated from him, there we find death.
[00:36:27.000 --> 00:36:30.000]   So the only way that we can truly experience true life
[00:36:30.000 --> 00:36:34.000]   is to reconnect with the author of life.
[00:36:34.000 --> 00:36:39.000]   So his commandment to love him with all our heart, soul, mind, and strength
[00:36:39.000 --> 00:36:45.000]   is really for our benefit, because that's what he created us for.
[00:36:45.000 --> 00:36:50.000]   So in the church, it doesn't take much to make fans.
[00:36:50.000 --> 00:36:55.000]   If we have enough people your age with similar interests,
[00:36:55.000 --> 00:36:57.000]   if there's nice people on our welcome team,
[00:36:57.000 --> 00:37:01.000]   if the leaders aren't too boring and they have an embezzled money,
[00:37:01.000 --> 00:37:04.000]   and it's like, "Ah, we can follow that," and they're somewhat interesting,
[00:37:04.000 --> 00:37:08.000]   it doesn't take a lot to make fans of people.
[00:37:08.000 --> 00:37:11.000]   But a fanatic is not something that you can create,
[00:37:11.000 --> 00:37:16.000]   unless that person really finds the greatest joy in this.
[00:37:16.000 --> 00:37:20.000]   Only an individual who has genuinely encountered this God
[00:37:20.000 --> 00:37:22.000]   will become a fanatic.
[00:37:22.000 --> 00:37:25.000]   And that's the struggle that we have in our generation,
[00:37:25.000 --> 00:37:30.000]   because there seems to be no distinction between a fan and a fanatic.
[00:37:30.000 --> 00:37:34.000]   In fact, every once in a while, there is somebody maybe who takes it too far
[00:37:34.000 --> 00:37:36.000]   and says, "You should go into ministry.
[00:37:36.000 --> 00:37:41.000]   You should become a missionary, because you're not like the rest of us."
[00:37:41.000 --> 00:37:47.000]   Not realizing that that person may be doing exactly what God has called all of us to do.
[00:37:47.000 --> 00:37:53.000]   You know, you can become a fanatic of pretty much anything.
[00:37:53.000 --> 00:37:56.000]   If you are a fanatic of making money,
[00:37:56.000 --> 00:37:59.000]   you are willing to do whatever it takes to make money.
[00:37:59.000 --> 00:38:04.000]   If you are a fanatic of friendship, if you are a fanatic of prestige,
[00:38:04.000 --> 00:38:07.000]   if that's where you find your greatest joy and greatest life,
[00:38:07.000 --> 00:38:09.000]   you are willing to sacrifice anything.
[00:38:09.000 --> 00:38:12.000]   You are willing to become a fool.
[00:38:12.000 --> 00:38:15.000]   Years ago, when we first started going out to India,
[00:38:15.000 --> 00:38:17.000]   and I remember the very first year we went,
[00:38:17.000 --> 00:38:19.000]   even our missionary friends were telling us, "Don't go there,
[00:38:19.000 --> 00:38:21.000]   because there's not a lot of support out there."
[00:38:21.000 --> 00:38:24.000]   And there's a few of us that went there that first year,
[00:38:24.000 --> 00:38:26.000]   and we literally went into the boonies.
[00:38:26.000 --> 00:38:30.000]   We got off in Bangalore, and we took five hours to drive out to Bellary,
[00:38:30.000 --> 00:38:34.000]   and then from Bellary we had at least about two hours to drive to the village,
[00:38:34.000 --> 00:38:37.000]   and it really felt like the boonies.
[00:38:37.000 --> 00:38:39.000]   I would say about a third of the road was paved,
[00:38:39.000 --> 00:38:42.000]   and the other two-thirds was like dirt road.
[00:38:42.000 --> 00:38:45.000]   And we were going hours and hours into the countryside,
[00:38:45.000 --> 00:38:47.000]   and we were thinking, "Man, if anything happens here,
[00:38:47.000 --> 00:38:50.000]   I mean, we would be completely lost."
[00:38:50.000 --> 00:38:53.000]   Well, once we got there, obviously we're the only foreigners,
[00:38:53.000 --> 00:38:55.000]   you don't see anything familiar there,
[00:38:55.000 --> 00:38:57.000]   and typically whenever you travel,
[00:38:57.000 --> 00:39:00.000]   the first thing that you look for is either McDonald's or Starbucks,
[00:39:00.000 --> 00:39:03.000]   because there's some familiarity, or at least some English,
[00:39:03.000 --> 00:39:05.000]   something that you're familiar with.
[00:39:05.000 --> 00:39:08.000]   First year we went there, we saw nothing.
[00:39:08.000 --> 00:39:12.000]   But as the years went by, we started seeing the roads being paved.
