
[00:00:00.000 --> 00:00:07.260]   Alright, so let's start.
[00:04:29.080 --> 00:04:34.480]   So if you remember at the very beginning, it starts off by saying, reminding us, the
[00:04:34.480 --> 00:04:38.200]   Lord spoke to Moses after the death of two sons of Aaron when they drew near before the
[00:04:38.200 --> 00:04:39.640]   Lord and died.
[00:04:39.640 --> 00:04:41.400]   Now why does he begin with that?
[00:04:41.400 --> 00:04:44.000]   This happened in chapter 10.
[00:04:44.000 --> 00:04:47.280]   Five chapters have already gone by with all these different instructions.
[00:04:47.280 --> 00:04:52.440]   Chapter 16, the Day of Atonement, begins by reminding them, remember when Aaron's sons
[00:04:52.440 --> 00:04:54.360]   Nadab and Nebu died?
[00:04:54.360 --> 00:04:58.120]   For what reason?
[00:04:58.120 --> 00:04:59.120]   Why did they die?
[00:04:59.120 --> 00:05:02.760]   Because they didn't follow instruction.
[00:05:02.760 --> 00:05:05.860]   They didn't come before God with reverence.
[00:05:05.860 --> 00:05:09.240]   They just considered what they were doing as common.
[00:05:09.240 --> 00:05:12.240]   They were very nonchalant in the way that they approached God.
[00:05:12.240 --> 00:05:16.520]   So chapter 16 begins by warning for what purpose?
[00:05:16.520 --> 00:05:19.780]   To pay attention, right?
[00:05:19.780 --> 00:05:25.480]   Because the consequence of not paying attention and being nonchalant and irreverent toward
[00:05:25.480 --> 00:05:27.960]   these things would lead to what?
[00:05:27.960 --> 00:05:28.960]   To death.
[00:05:28.960 --> 00:05:30.800]   This wasn't just a slap on the hand.
[00:05:30.800 --> 00:05:34.520]   This wasn't just somebody walking around with a ruler and hitting you on the head and saying,
[00:05:34.520 --> 00:05:35.520]   "Hey, pay attention.
[00:05:35.520 --> 00:05:36.520]   This is important."
[00:05:36.520 --> 00:05:38.840]   He's saying, "Remember Aaron's son."
[00:05:38.840 --> 00:05:40.880]   These aren't just any people who came to the temple.
[00:05:40.880 --> 00:05:47.880]   The first two priests, Aaron's, the high priest's two children, they died because they didn't
[00:05:47.880 --> 00:05:48.880]   pay attention.
[00:05:48.880 --> 00:05:53.240]   So in other words, if you begin chapter 16, he's saying, "Pay attention to this because
[00:05:53.240 --> 00:05:55.280]   God is about to show up.
[00:05:55.280 --> 00:05:59.080]   And if you don't follow these instructions, there's going to be dire consequences."
[00:05:59.080 --> 00:06:05.040]   So this is not a day where people were kind of jumping around and celebrating and high-fiving
[00:06:05.040 --> 00:06:06.200]   one another.
[00:06:06.200 --> 00:06:08.920]   This is a day at the end.
[00:06:08.920 --> 00:06:14.240]   Remember at the end of the chapter, what are the Israelites called to do?
[00:06:14.240 --> 00:06:17.480]   It is a day of what?
[00:06:17.480 --> 00:06:21.040]   Do you remember?
[00:06:21.040 --> 00:06:27.520]   At the end of the chapter, the day of atonement is called the day of...
[00:06:27.520 --> 00:06:33.560]   Starts with an A. Affliction.
[00:06:33.560 --> 00:06:39.120]   So again, we'll get to that later on, but the day of atonement is called the day of
[00:06:39.120 --> 00:06:40.120]   affliction.
[00:06:40.120 --> 00:06:46.840]   And so again, even though the end result of it will lead to celebration, the day of atonement
[00:06:46.840 --> 00:06:53.680]   was meant to be a somber time, to remind them that sins needed to be atoned for.
[00:06:53.680 --> 00:06:58.160]   A sinful man cannot nonchalantly enter into the presence of God.
[00:06:58.160 --> 00:07:03.920]   So what we do Sundays, when we actually come into the presence of God, human beings, by
[00:07:03.920 --> 00:07:10.200]   our natural selves, without being covered by the blood of Christ, we would be walking
[00:07:10.200 --> 00:07:14.320]   into a death sentence.
[00:07:14.320 --> 00:07:17.080]   That's exactly what he's trying to teach them in chapter 16.
[00:07:17.080 --> 00:07:23.080]   Without the blood of Christ, coming to God, seeking God out by our natural state, is walking
[00:07:23.080 --> 00:07:24.080]   into a death sentence.
[00:07:24.080 --> 00:07:26.720]   It's just that mankind just does not know that.
[00:07:26.720 --> 00:07:30.120]   Every human being, when he dies, he's going to meet his creator.
[00:07:30.120 --> 00:07:35.760]   If he is not covered by the blood of Christ, chapter 16 reminds us, he's walking into a
[00:07:35.760 --> 00:07:38.320]   death sentence.
[00:07:38.320 --> 00:07:45.760]   Because sinful man, unprotected in the presence of a holy God, leads to utter destruction.
[00:07:45.760 --> 00:07:50.160]   That's how chapter 16 begins.
[00:07:50.160 --> 00:07:55.200]   Moses tells Aaron not to come to the holy place inside the veil or they would die.
[00:07:55.200 --> 00:07:56.640]   And he repeats this several times.
[00:07:56.640 --> 00:07:57.640]   If you do this, you will die.
[00:07:57.640 --> 00:08:00.440]   Remember when the children died.
[00:08:00.440 --> 00:08:03.760]   Because God will appear to them in a cloud, it says in verse 2.
[00:08:03.760 --> 00:08:09.920]   So yes, God's presence was with the nation of Israel, but on the Day of Atonement, his
[00:08:09.920 --> 00:08:12.960]   glory was unlike any other days.
[00:08:12.960 --> 00:08:16.680]   He was going to appear before them.
[00:08:16.680 --> 00:08:18.760]   And that's what this Day of Atonement was for.
[00:08:18.760 --> 00:08:22.680]   It was to prepare for the coming of God.
[00:08:22.680 --> 00:08:28.040]   So I'm just going to give you some pictures of what the tabernacle or tent of meeting
[00:08:28.040 --> 00:08:29.040]   looked like.
[00:08:29.040 --> 00:08:31.040]   And I showed you this at the beginning of the study.
[00:08:31.040 --> 00:08:36.760]   But again, you're not going to be able to see it.
[00:08:36.760 --> 00:08:38.920]   But again, that's the tent of meeting.
[00:08:38.920 --> 00:08:43.680]   That's the sacrifice where the horns were.
[00:08:43.680 --> 00:08:47.680]   And inside of it, I think I have the next picture, is divided into two parts.
[00:08:47.680 --> 00:08:49.660]   This is actual temple, right?
[00:08:49.660 --> 00:08:54.400]   So you have the outer side, and then it's divided by the curtain in the middle.
[00:08:54.400 --> 00:09:00.640]   And then on the other side, you have the Ark of the Covenant, where the mercy seat and
[00:09:00.640 --> 00:09:01.800]   all this other stuff.
[00:09:01.800 --> 00:09:07.160]   So when in the middle of chapter 16, it tells them to sprinkle with blood, all of this stuff
[00:09:07.160 --> 00:09:12.080]   is taking place inside the Holy of Holies, where only Aaron was able to go in once a
[00:09:12.080 --> 00:09:13.120]   year.
[00:09:13.120 --> 00:09:25.740]   So everything behind that curtain was never seen outside of Aaron once a year.
[00:09:25.740 --> 00:09:29.940]   So this was the Ark of the Covenant.
[00:09:29.940 --> 00:09:33.100]   And on top of that is called the mercy seat.
[00:09:33.100 --> 00:09:40.200]   And symbolically, that's where the Messiah was supposed to come and take his seat.
[00:09:40.200 --> 00:09:43.580]   And that's what the Jews understood the mercy seat to be.
[00:09:43.580 --> 00:09:48.060]   So it was a place for preparation for the king to come, the Messiah to come, and take
[00:09:48.060 --> 00:09:52.460]   his throne.
[00:09:52.460 --> 00:09:56.420]   The normal high priest garment would have looked like that to the right.
[00:09:56.420 --> 00:10:03.120]   It was very colorful, had a breastplate, the umim and thumim was all part of that.
[00:10:03.120 --> 00:10:09.020]   But the garment that is mentioned in this text for Aaron is very plain.
[00:10:09.020 --> 00:10:10.900]   There's no color.
[00:10:10.900 --> 00:10:15.500]   And we'll get to that in a minute, but the reason behind it was that this was not a day
[00:10:15.500 --> 00:10:17.420]   of celebration.
[00:10:17.420 --> 00:10:20.520]   This was a day of mourning, a day of affliction.
[00:10:20.520 --> 00:10:24.860]   So he was calling the nation of Israel to repentance.
[00:10:24.860 --> 00:10:31.260]   And that's why the high priest, as he represents God to man and man to God, that he himself
[00:10:31.260 --> 00:10:32.880]   had to be humbled.
[00:10:32.880 --> 00:10:34.780]   He himself had to be cleansed.
[00:10:34.780 --> 00:10:39.600]   So you would think that on the day of atonement, if there was any day that he would be really
[00:10:39.600 --> 00:10:42.660]   dressed up in pomp, right?
[00:10:42.660 --> 00:10:44.820]   That he was like, "I am the high priest representing God."
[00:10:44.820 --> 00:10:46.660]   You would think that this would be the day.
[00:10:46.660 --> 00:10:51.660]   Instead, on the day of atonement, when God appears, he's like any other man.
[00:10:51.660 --> 00:11:01.780]   And he is humbled and he's dressed in garbs of repentance.
[00:11:01.780 --> 00:11:04.220]   These are the instructions that God gave Aaron.
[00:11:04.220 --> 00:11:07.780]   They had to first bring a bull for sin offering and ram for burnt offering.
[00:11:07.780 --> 00:11:12.640]   The sin offering was given for the purpose of general cleansing, right?
[00:11:12.640 --> 00:11:16.300]   If you became unclean because you touched something holy, the sin offering was given
[00:11:16.300 --> 00:11:18.180]   for the purpose of cleansing.
[00:11:18.180 --> 00:11:22.740]   Bull offering was for the purpose of atonement, the burnt offering.
[00:11:22.740 --> 00:11:25.180]   So God calls for both of them.
[00:11:25.180 --> 00:11:29.420]   Aaron is to put on priestly garment and tie the linen sash around his waist to prepare
[00:11:29.420 --> 00:11:30.420]   for action.
[00:11:30.620 --> 00:11:35.140]   You saw the garment that he was wearing, the white, and he says to tie his sash around.
[00:11:35.140 --> 00:11:39.180]   And anytime you see that language in the New Testament or the Old Testament, it basically
[00:11:39.180 --> 00:11:43.500]   meant that the priest was ready to work, right?
[00:11:43.500 --> 00:11:48.940]   So the preparation, even the garment that God told him to wear was a sign of repentance
[00:11:48.940 --> 00:11:51.280]   and mourning and affliction.
[00:11:51.280 --> 00:11:57.860]   And even the way that God told him to kind of get ready to tie it around his waist was
[00:11:57.860 --> 00:12:02.420]   in preparation for what was about to happen.
[00:12:02.420 --> 00:12:07.140]   Aaron is to take two male goats for sin offerings from the congregation and ram for the burnt
[00:12:07.140 --> 00:12:09.380]   offering.
[00:12:09.380 --> 00:12:15.260]   So the two goats on the day of atonement are the primary figures.
[00:12:15.260 --> 00:12:17.020]   But there were other offerings that were given.
[00:12:17.020 --> 00:12:21.940]   The reason for the other offerings was for the preparation of the offering of the two
[00:12:21.940 --> 00:12:22.940]   goats.
[00:12:22.940 --> 00:12:27.420]   Let me say that again, just so that you kind of get a grasp of what's happening this day.
[00:12:27.420 --> 00:12:33.460]   So, when you think of the day of atonement, you probably heard about the two goats.
[00:12:33.460 --> 00:12:34.780]   But it wasn't just the two goats.
[00:12:34.780 --> 00:12:37.020]   There were other sacrifices being made that day.
[00:12:37.020 --> 00:12:43.420]   And the reason for that was that before the two goats were sacrificed and one being released,
[00:12:43.420 --> 00:12:46.740]   there had to be preparation.
[00:12:46.740 --> 00:12:50.340]   So Aaron needed to be, his sins needed to be atoned for.
[00:12:50.340 --> 00:12:56.740]   And then the blood of the goat and the bull needed to cleanse the tabernacle itself.
[00:12:56.740 --> 00:13:02.580]   So even before they get to this sacrifice, there needed to be cleansing.
[00:13:02.580 --> 00:13:07.380]   Cleansing of the man handling all of this and cleansing of the place where this was
[00:13:07.380 --> 00:13:09.100]   going to take place.
[00:13:09.100 --> 00:13:12.700]   So in other words, there's seriousness.
[00:13:12.700 --> 00:13:16.180]   Every time they gave sacrifices, there was seriousness.
[00:13:16.180 --> 00:13:22.420]   But here, everything that they handled needed to be absolutely crystal clean.
[00:13:22.420 --> 00:13:26.540]   And even the sacrifices of these two goats needed to be done in a place where thorough
[00:13:26.540 --> 00:13:31.940]   cleaning already took place.
[00:13:31.940 --> 00:13:36.060]   The bull is to be offered for the sin offering for Aaron himself.
[00:13:36.060 --> 00:13:40.620]   So even before he gives the offering for the nation, he himself needed to be atoned for
[00:13:40.620 --> 00:13:45.100]   his own sins in order for him to even handle the offering.
[00:13:45.100 --> 00:13:48.900]   He used to take the censer full of coals of fire from the altar, two handfuls of sweets
[00:13:48.900 --> 00:13:52.980]   and incense, this is straight out of the text, beaten small and bring it inside the veil
[00:13:52.980 --> 00:13:55.540]   and put it on the fire before the Lord.
[00:13:55.540 --> 00:14:01.980]   So he's supposed to take the ashes from the altar outside and bring that in and begin
[00:14:01.980 --> 00:14:06.420]   to spread it and to cover the mercy seat.
[00:14:06.420 --> 00:14:10.940]   All this is done to cover the mercy seat as a testimony to Aaron.
[00:14:10.940 --> 00:14:16.340]   And all of this was so that when Aaron entered in, that he would not die.
[00:14:16.340 --> 00:14:21.860]   And over and over again, as I mentioned, he says, this is being done so that Aaron would
[00:14:21.860 --> 00:14:22.860]   not die.
[00:14:22.860 --> 00:14:31.860]   This is being done so that people would not die because God is about to come.
[00:14:31.860 --> 00:14:37.660]   He is to take the bull and sprinkle it with his finger on the front of the mercy seat
[00:14:37.660 --> 00:14:48.700]   on the front of the east side seven times.
[00:14:48.700 --> 00:14:52.380]   What God tells him to do, this captures the thought behind the Hebrew word for atonement,
[00:14:52.380 --> 00:14:57.140]   kippur, which means to cover.
[00:14:57.140 --> 00:15:02.860]   So the word for atonement in Hebrew is kippur and the word literally means to cover.
[00:15:02.860 --> 00:15:08.940]   So if you notice, if you read chapter 16, it says that the tabernacle needed to be atoned
[00:15:08.940 --> 00:15:10.020]   for.
[00:15:10.020 --> 00:15:14.740]   So typically when we think of atonement, we think about sin, like a human sin and God
[00:15:14.740 --> 00:15:16.540]   comes and he takes away their sin.
[00:15:16.540 --> 00:15:21.140]   But the word literally just means to cover, right?
[00:15:21.140 --> 00:15:26.440]   Which is interesting because in the Old Testament, the idea of atonement was simply to cover.
[00:15:26.440 --> 00:15:32.580]   So something was filthy, so blood came and covered it to protect it from God's glory,
[00:15:32.580 --> 00:15:33.580]   right?
[00:15:33.580 --> 00:15:38.660]   The New Testament idea of atonement goes deeper than that.
[00:15:38.660 --> 00:15:42.540]   The New Testament idea of atonement is that our sin is not merely covered but removed
[00:15:42.540 --> 00:15:46.420]   or taken away.
[00:15:46.420 --> 00:15:50.300]   Isn't that interesting?
[00:15:50.300 --> 00:15:53.940]   Doesn't that give us insight of the Old Covenant and the New Covenant?
[00:15:53.940 --> 00:16:00.140]   In the Old Covenant, the blood of the goats and animals, all they did was cover temporarily
[00:16:00.140 --> 00:16:03.180]   and they didn't have any power to actually atone for sins.
[00:16:03.180 --> 00:16:06.220]   The New Testament idea of atonement was actually removal.
[00:16:06.220 --> 00:16:09.180]   Does that make sense?
[00:16:09.180 --> 00:16:14.300]   So in the very word for the word atonement, because when you read chapter 16, I'm hoping
[00:16:14.300 --> 00:16:20.780]   that you ask that question, how or why is a tabernacle need to be atoned for because
[00:16:20.780 --> 00:16:22.780]   they didn't commit any sin.
[00:16:22.780 --> 00:16:28.140]   But the idea of atonement in the Old Testament is simply to cover, right?
[00:16:28.140 --> 00:16:33.540]   To be cleansed, God is coming, so everything needed to be covered by the blood.
[00:16:33.540 --> 00:16:37.980]   We come to the New Testament, the blood of animals, all they could do is cover but not
[00:16:37.980 --> 00:16:43.140]   atone, mean take away sins.
[00:16:43.140 --> 00:16:46.180]   I thought that was really interesting.
[00:16:46.180 --> 00:16:49.820]   Then the two goats are to be taken to the entrance of the Tent of Meeting and this is
[00:16:49.820 --> 00:16:57.380]   where the central part of the Day of Atonement takes place with these two goats.
[00:16:57.380 --> 00:17:01.740]   Lots are cast to pick one goat for the Lord and the other lot for Azazel or literally
[00:17:01.740 --> 00:17:03.020]   a scapegoat.
[00:17:03.020 --> 00:17:10.420]   So some of your translation, I think ESV just has it Azazel, right?
[00:17:10.420 --> 00:17:12.220]   What does the NASB say?
[00:17:12.220 --> 00:17:15.820]   Does the NASB use the word Azazel?
[00:17:15.820 --> 00:17:18.340]   Look at verse 8 or 10.
[00:17:18.340 --> 00:17:19.340]   Huh?
[00:17:19.340 --> 00:17:21.300]   NASB just says scapegoat.
[00:17:21.300 --> 00:17:22.900]   How about NIV?
[00:17:22.900 --> 00:17:27.580]   Okay, ESV has Azazel, right?
[00:17:27.580 --> 00:17:28.580]   Am I the only one?
[00:17:28.580 --> 00:17:30.660]   Because I'm not sure if I have the updated version of ESV.
[00:17:30.660 --> 00:17:34.700]   It's okay, so ESV has Azazel.
[00:17:34.700 --> 00:17:39.980]   So the reason why some of you have scapegoat and the ESV has Azazel is because there is
[00:17:39.980 --> 00:17:42.900]   a debate as to the meaning of this word.
[00:17:42.900 --> 00:17:46.140]   Literally it means scapegoat.
[00:17:46.140 --> 00:17:52.980]   So the NASB, NIV has translated it what that name means.
[00:17:52.980 --> 00:18:00.220]   ESV kept it Azazel because there is a discussion that it might be a name of a demon, which
[00:18:00.220 --> 00:18:01.220]   I'm going to get to in a little bit.
[00:18:01.220 --> 00:18:02.420]   I'm not going to spend a whole lot of time.
[00:18:02.420 --> 00:18:07.220]   I remember the first time I went through this, we talked about this in detail, but I think
[00:18:07.220 --> 00:18:12.540]   maybe two of you were here during that time, so you might not remember, okay?
[00:18:12.540 --> 00:18:14.420]   But I'll get to that in a minute.
[00:18:14.420 --> 00:18:19.340]   But the word Azazel, or literally a scapegoat, was the other one.
[00:18:19.340 --> 00:18:25.860]   The one that the Lot fell for the Lord's use is to be offered as a sin offering.
[00:18:25.860 --> 00:18:35.780]   So among the two, they drew lots and the one was to be sacrificed and killed.
[00:18:35.780 --> 00:18:38.940]   And with the blood of the goat, he is to bring it into the Holy of Holies and sprinkle it
[00:18:38.940 --> 00:18:41.980]   on the mercy seat.
[00:18:41.980 --> 00:18:47.940]   So the sacrificed animal that was given to the Lord was brought in and the mercy seat
[00:18:47.940 --> 00:18:53.200]   was cleansed or covered through its blood.
[00:18:53.200 --> 00:18:57.340]   And then after exiting the Holy of Holies, Aaron is to take some of the blood of the
[00:18:57.340 --> 00:19:02.880]   bull and some of the goat and put it on the horns of the altar all around.
[00:19:02.880 --> 00:19:04.740]   And this is outside.
[00:19:04.740 --> 00:19:11.060]   So first he covers the mercy seat and then he comes and he sprinkles it on the altar,
[00:19:11.060 --> 00:19:12.740]   all the sacrifices taking place.
[00:19:12.740 --> 00:19:19.020]   So again, all of the blood and all of the sprinkling was meant to make it holy, to cleanse,
[00:19:19.020 --> 00:19:20.020]   right?
[00:19:20.020 --> 00:19:26.060]   So it was like an annual spring cleaning that's taking place with the blood.
[00:19:26.060 --> 00:19:30.220]   Aaron is then commanded to sprinkle some of it with his fingers seven times to clean and
[00:19:30.220 --> 00:19:34.520]   consecrate it from the uncleanness of the people of Israel.
[00:19:34.520 --> 00:19:39.820]   What made the tabernacle unclean?
[00:19:39.820 --> 00:19:44.380]   People.
[00:19:44.380 --> 00:19:46.420]   It wasn't the dirt.
[00:19:46.420 --> 00:19:47.420]   It wasn't the animals.
[00:19:47.420 --> 00:19:51.220]   It wasn't, you know, I mean think about how many sacrifices were being given.
[00:19:51.220 --> 00:19:56.420]   The mercy seat was never touched because nobody ever goes in there, right?
[00:19:56.420 --> 00:19:57.620]   So it wasn't because it was dirty.
[00:19:57.620 --> 00:19:58.740]   It wasn't because it was touched.
[00:19:58.740 --> 00:20:01.260]   It wasn't the dirt on the human hands.
[00:20:01.260 --> 00:20:03.960]   It was man's sin.
[00:20:03.960 --> 00:20:11.820]   And from God's perspective, the filth of man's sin was constantly piling up.
[00:20:11.820 --> 00:20:15.660]   And even in their sacrifices, it wasn't enough.
[00:20:15.660 --> 00:20:20.060]   So once a year, the sins that were piled up, he would come and he said, "In order for me
[00:20:20.060 --> 00:20:21.900]   to come, you need to clean the house."
[00:20:21.900 --> 00:20:28.500]   So again, the reason why the tabernacle needed to be cleansed was the presence of man.
[00:20:28.500 --> 00:20:29.500]   It wasn't the goat.
[00:20:29.500 --> 00:20:32.360]   It wasn't the dirt, right?
[00:20:32.360 --> 00:20:34.060]   It was sinfulness of men.
[00:20:34.060 --> 00:20:37.700]   And I think if you've read Holiness of God, R.C.
[00:20:37.700 --> 00:20:43.780]   Sproul does a great job explaining, right, that everything else in the universe abides
[00:20:43.780 --> 00:20:49.620]   by God, but the only hands that rebel, only creation that rebels against God is mankind,
[00:20:49.620 --> 00:20:51.100]   right?
[00:20:51.100 --> 00:20:54.060]   Everything else in the universe does exactly what God tells us to do.
[00:20:54.060 --> 00:20:57.140]   Only mankind rebels against God, right?
[00:20:57.140 --> 00:20:58.700]   So it was man's dirty hands.
[00:20:58.700 --> 00:21:02.220]   It was man's dirty presence that needed to be cleansed from the tabernacle.
[00:21:02.220 --> 00:21:08.780]   And so that's what the Day of Atonement was teaching them.
[00:21:08.780 --> 00:21:14.340]   The other goat for Azazel is to be used to make atonement for Israel and be sent away
[00:21:14.340 --> 00:21:18.180]   into the wilderness to Zezel.
[00:21:18.180 --> 00:21:26.740]   Literally the word means "escape goat" or "scapegoat."
[00:21:26.740 --> 00:21:31.940]   Aaron is told to lay both his hands on the head of the goat to represent the sins of
[00:21:31.940 --> 00:21:35.460]   Israel and confess over it the iniquities of the people of Israel.
[00:21:35.460 --> 00:21:41.660]   So the act was that he would lay both of his hands and by doing so it represented that
[00:21:41.660 --> 00:21:51.460]   all of the sins of Israel was being laid upon this scapegoat or Azazel.
[00:21:51.460 --> 00:21:57.300]   So the goat, the scapegoat or Azazel that bears the sins of Israel then will be sent
[00:21:57.300 --> 00:22:02.860]   away into the remote wilderness to Azazel.
[00:22:02.860 --> 00:22:07.500]   Let me just briefly touch upon this.
[00:22:07.500 --> 00:22:11.860]   The meaning of the word Azazel is not certain.
[00:22:11.860 --> 00:22:17.340]   The word may signify a removal or dismissal.
[00:22:17.340 --> 00:22:24.860]   Some believe there were elaborate Jewish traditions saying that he was a demonic being that the
[00:22:24.860 --> 00:22:26.380]   Messiah would defeat.
[00:22:26.380 --> 00:22:30.900]   Azazel may simply be referring to this goat's function of symbolically removing sin from
[00:22:30.900 --> 00:22:31.900]   Israel.
[00:22:31.900 --> 00:22:38.860]   So basically some Jewish tradition pointed to the fact that Azazel was a demonic figure
[00:22:38.860 --> 00:22:43.420]   that one was given to the Lord and the other was given to the demons.
[00:22:43.420 --> 00:22:47.780]   And again, depending on which commentary you read, you'll get different stories.
[00:22:47.780 --> 00:22:54.780]   So the fact that ESV left the word Azazel may mean that the interpreters kind of leaned
[00:22:54.780 --> 00:22:57.020]   toward possibly being a demon.
[00:22:57.020 --> 00:22:59.780]   So this is not some weird view, right?
[00:22:59.780 --> 00:23:04.820]   Even though it may have been the first time for you to have heard it, in fact it is more
[00:23:04.820 --> 00:23:05.820]   common than you think.
[00:23:05.820 --> 00:23:08.000]   It is not the most popular view.
[00:23:08.000 --> 00:23:15.460]   The most popular view is that the word Azazel simply just means it's a description of
[00:23:15.460 --> 00:23:17.920]   the function of that goat, right?
[00:23:17.920 --> 00:23:24.760]   But there are legitimate scholars in legitimate theological schools that believe that it was
[00:23:24.760 --> 00:23:26.020]   a name of a demon.
[00:23:26.020 --> 00:23:32.020]   So one was given to the Lord and the sin of the nation of Israel was given to the rightful
[00:23:32.020 --> 00:23:34.020]   owner, okay?
[00:23:34.020 --> 00:23:39.660]   Which kind of correlates to the New Testament when Paul says that the God of this age is
[00:23:39.660 --> 00:23:41.720]   Satan, right?
[00:23:41.720 --> 00:23:46.380]   And that his dominion is over all who sin.
[00:23:46.380 --> 00:23:51.020]   And so when the scripture talks about how he delivers us, he transfers us from what?
[00:23:51.020 --> 00:23:54.820]   The dominion of darkness into his son's kingdom.
