
[00:00:00.000 --> 00:00:02.340]   ♪ The blood ♪
[00:06:25.840 --> 00:06:27.560]   ♪ Wait upon the Lord ♪
[00:06:27.560 --> 00:06:30.920]   ♪ We will wait upon the Lord ♪
[00:06:30.920 --> 00:06:34.600]   ♪ Strength arises we wait upon the Lord ♪
[00:06:34.600 --> 00:06:36.840]   ♪ We wait upon the Lord ♪
[00:06:36.840 --> 00:06:39.840]   ♪ We wait upon the Lord ♪
[00:06:39.840 --> 00:06:44.840]   ♪ You are the everlasting God ♪
[00:06:44.840 --> 00:06:49.340]   ♪ The everlasting God ♪
[00:06:49.340 --> 00:06:52.140]   ♪ I will wait upon the Lord ♪
[00:06:52.140 --> 00:06:56.140]   ♪ Rise up on wings like eagles ♪
[00:06:56.140 --> 00:06:58.720]   (upbeat music)
[00:06:58.720 --> 00:07:03.600]   - The Lord is the everlasting God.
[00:07:03.600 --> 00:07:06.180]   The creator of all the earth.
[00:07:06.180 --> 00:07:09.260]   He never grows weak or weary.
[00:07:09.260 --> 00:07:13.380]   No one can measure the depths of his understanding.
[00:07:13.380 --> 00:07:18.140]   He gives power to the weak and strength to the powerless.
[00:07:18.140 --> 00:07:21.440]   Even youths will become weak and tired.
[00:07:21.440 --> 00:07:25.140]   A young man will fall and exhaust.
[00:07:25.140 --> 00:07:28.800]   But those who trust in the Lord will find new strength.
[00:07:28.800 --> 00:07:31.380]   (upbeat music)
[00:07:31.380 --> 00:07:33.800]   (soft music)
[00:07:33.800 --> 00:07:45.380]   ♪ There's a place ♪
[00:07:45.380 --> 00:07:48.760]   ♪ Where mercy reigns ♪
[00:07:48.760 --> 00:07:53.760]   ♪ And never dies ♪
[00:07:53.760 --> 00:07:58.540]   ♪ There's a place ♪
[00:07:58.540 --> 00:08:01.760]   ♪ Where streams of grace ♪
[00:08:01.760 --> 00:08:06.760]   ♪ Flow deep and wide ♪
[00:08:06.760 --> 00:08:11.540]   ♪ For all the love ♪
[00:08:11.540 --> 00:08:14.800]   ♪ I've ever found ♪
[00:08:14.800 --> 00:08:18.040]   ♪ Comes like a flood ♪
[00:08:18.040 --> 00:08:23.040]   ♪ Comes flowing down ♪
[00:08:23.040 --> 00:08:26.840]   ♪ At the cross ♪
[00:08:26.840 --> 00:08:28.380]   ♪ At the cross ♪
[00:08:28.380 --> 00:08:31.540]   ♪ I surrender my life ♪
[00:08:31.540 --> 00:08:34.800]   ♪ I'm in awe of you ♪
[00:08:34.800 --> 00:08:37.960]   ♪ I'm in awe of you ♪
[00:08:37.960 --> 00:08:41.380]   ♪ Where your love ran red ♪
[00:08:41.380 --> 00:08:44.660]   ♪ And my sin washed white ♪
[00:08:44.660 --> 00:08:47.920]   ♪ I owe all to you ♪
[00:08:47.920 --> 00:08:51.300]   ♪ I owe all to you ♪
[00:08:51.300 --> 00:08:53.300]   ♪ Jesus ♪
[00:08:53.300 --> 00:08:55.720]   (soft music)
[00:08:55.720 --> 00:09:04.260]   ♪ There's a place ♪
[00:09:04.260 --> 00:09:07.500]   ♪ Where sin and shame ♪
[00:09:07.500 --> 00:09:12.500]   ♪ Are powerless ♪
[00:09:12.500 --> 00:09:17.000]   ♪ Where my heart ♪
[00:09:17.000 --> 00:09:20.420]   ♪ Has peace with God ♪
[00:09:20.420 --> 00:09:25.420]   ♪ And forgiveness ♪
[00:09:25.420 --> 00:09:30.300]   ♪ For all the love ♪
[00:09:30.300 --> 00:09:33.580]   ♪ I've ever found ♪
[00:09:33.580 --> 00:09:36.800]   ♪ Comes like a flood ♪
[00:09:36.800 --> 00:09:40.580]   ♪ Comes flowing down ♪
[00:09:40.580 --> 00:09:42.260]   ♪ At the cross ♪
[00:09:42.260 --> 00:09:43.840]   ♪ At the cross ♪
[00:09:43.840 --> 00:09:47.120]   ♪ I surrender my life ♪
[00:09:47.120 --> 00:09:50.300]   ♪ I'm in awe of you ♪
[00:09:50.300 --> 00:09:53.540]   ♪ I'm in awe of you ♪
[00:09:53.540 --> 00:09:57.300]   ♪ Where your love ran red ♪
[00:09:57.300 --> 00:10:00.300]   ♪ And my sin washed white ♪
[00:10:00.300 --> 00:10:03.540]   ♪ I owe all to you ♪
[00:10:03.540 --> 00:10:07.540]   ♪ I owe all to you ♪
[00:10:07.540 --> 00:10:10.920]   ♪ Here my hope is found ♪
[00:10:10.920 --> 00:10:14.300]   ♪ Here on holy ground ♪
[00:10:14.300 --> 00:10:17.460]   ♪ Here I bow down ♪
[00:10:17.460 --> 00:10:20.580]   ♪ Here I bow down ♪
[00:10:20.580 --> 00:10:24.000]   ♪ Here arms open wide ♪
[00:10:24.000 --> 00:10:27.300]   ♪ Here you save my life ♪
[00:10:27.300 --> 00:10:30.500]   ♪ Here I bow down ♪
[00:10:30.500 --> 00:10:33.300]   ♪ Here I bow ♪
[00:10:33.300 --> 00:10:34.800]   ♪ At the cross ♪
[00:10:34.800 --> 00:10:36.460]   ♪ At the cross ♪
[00:10:36.460 --> 00:10:39.660]   ♪ I surrender my life ♪
[00:10:39.660 --> 00:10:42.920]   ♪ I'm in awe of you ♪
[00:10:42.920 --> 00:10:46.120]   ♪ I'm in awe of you ♪
[00:10:46.120 --> 00:10:51.120]   ♪ When your love ran out and my sin washed white ♪
[00:10:51.120 --> 00:10:56.020]   ♪ I hold to you ♪
[00:10:56.020 --> 00:10:59.340]   ♪ I hold to you ♪
[00:10:59.340 --> 00:11:02.520]   ♪ I hold to you ♪
[00:11:02.520 --> 00:11:06.040]   ♪ I hold to you ♪
[00:11:06.040 --> 00:11:08.380]   ♪ Jesus ♪
[00:11:08.380 --> 00:11:12.520]   ♪ Savior ♪
[00:11:12.520 --> 00:11:13.880]   ♪ Jesus ♪
[00:11:13.880 --> 00:11:18.880]   ♪ Savior of the world ♪
[00:11:18.880 --> 00:11:22.880]   ♪ Your love ran red ♪
[00:11:22.880 --> 00:11:25.880]   ♪ Your love ran red ♪
[00:11:25.880 --> 00:11:28.800]   ♪ Your love ran red ♪
[00:11:28.800 --> 00:11:30.800]   [Music playing]
[00:11:30.800 --> 00:11:32.800]   [Music playing]
[00:11:32.800 --> 00:11:34.800]   [Music playing]
[00:11:34.800 --> 00:11:36.800]   [Music playing]
[00:11:36.800 --> 00:11:38.800]   [Music playing]
[00:11:38.800 --> 00:11:40.800]   [Music playing]
[00:11:40.800 --> 00:11:42.800]   [Music playing]
[00:11:42.800 --> 00:11:44.800]   [Music playing]
[00:11:44.800 --> 00:11:46.800]   [Music playing]
[00:11:46.800 --> 00:11:48.800]   [Music playing]
[00:11:48.800 --> 00:11:50.800]   [Music playing]
[00:11:50.800 --> 00:11:52.800]   [Music playing]
[00:11:52.800 --> 00:11:54.800]   [Music playing]
[00:11:54.800 --> 00:11:56.800]   [Music playing]
[00:11:56.800 --> 00:11:58.800]   [Music playing]
[00:11:58.800 --> 00:12:00.800]   [Music playing]
[00:12:00.800 --> 00:12:02.800]   [Music playing]
[00:12:02.800 --> 00:12:04.800]   [Music playing]
[00:12:04.800 --> 00:12:06.800]   [Music playing]
[00:12:06.800 --> 00:12:08.800]   [Music playing]
[00:12:08.800 --> 00:12:10.800]   [Music playing]
[00:12:10.800 --> 00:12:12.800]   [Music playing]
[00:12:12.800 --> 00:12:14.800]   [Music playing]
[00:12:14.800 --> 00:12:16.800]   [Music playing]
[00:12:16.800 --> 00:12:18.800]   [Music playing]
[00:12:18.800 --> 00:12:20.800]   [Music playing]
[00:12:20.800 --> 00:12:22.800]   [Music playing]
[00:12:22.800 --> 00:12:24.800]   [Music playing]
[00:12:24.800 --> 00:12:26.800]   [Music playing]
[00:12:26.800 --> 00:12:28.800]   [Music playing]
[00:12:28.800 --> 00:12:30.800]   [Music playing]
[00:12:30.800 --> 00:12:32.800]   [Music playing]
[00:12:33.800 --> 00:12:35.800]   [Music playing]
[00:12:36.800 --> 00:12:38.800]   [Music playing]
[00:12:38.800 --> 00:12:40.800]   [Music playing]
[00:12:40.800 --> 00:12:42.800]   [Music playing]
[00:12:43.800 --> 00:12:45.800]   [Music playing]
[00:12:46.800 --> 00:12:48.800]   [Music playing]
[00:12:49.800 --> 00:12:51.800]   [Music playing]
[00:12:52.800 --> 00:12:54.800]   [Music playing]
[00:12:54.800 --> 00:12:59.800]   [Music playing]
[00:12:59.800 --> 00:13:04.800]   [Music playing]
[00:13:04.800 --> 00:13:10.800]   [Music playing]
[00:13:10.800 --> 00:13:16.800]   [Music playing]
[00:13:16.800 --> 00:13:18.800]   [Music playing]
[00:13:18.800 --> 00:13:24.800]   [Music playing]
[00:13:24.800 --> 00:13:30.800]   [Music playing]
[00:13:30.800 --> 00:13:36.800]   [Music playing]
[00:13:36.800 --> 00:13:42.800]   [Music playing]
[00:13:42.800 --> 00:13:44.800]   [Music playing]
[00:13:44.800 --> 00:13:50.800]   [Music playing]
[00:13:50.800 --> 00:13:56.800]   [Music playing]
[00:13:56.800 --> 00:14:02.800]   [Music playing]
[00:14:02.800 --> 00:14:08.800]   [Music playing]
[00:14:08.800 --> 00:14:10.800]   [Music playing]
[00:14:10.800 --> 00:14:16.800]   [Music playing]
[00:14:16.800 --> 00:14:22.800]   [Music playing]
[00:14:22.800 --> 00:14:28.800]   [Music playing]
[00:14:28.800 --> 00:14:34.800]   [Music playing]
[00:14:34.800 --> 00:14:36.800]   [Music playing]
[00:14:36.800 --> 00:14:42.800]   [Music playing]
[00:14:42.800 --> 00:14:48.800]   [Music playing]
[00:14:48.800 --> 00:14:54.800]   [Music playing]
[00:14:54.800 --> 00:15:00.800]   [Music playing]
[00:15:00.800 --> 00:15:02.800]   [Music playing]
[00:15:02.800 --> 00:15:08.800]   [Music playing]
[00:15:08.800 --> 00:15:14.800]   [Music playing]
[00:15:14.800 --> 00:15:20.800]   [Music playing]
[00:15:20.800 --> 00:15:26.800]   [Music playing]
[00:15:26.800 --> 00:15:28.800]   [Music playing]
[00:15:28.800 --> 00:15:34.800]   [Music playing]
[00:15:34.800 --> 00:15:40.800]   [Music playing]
[00:15:40.800 --> 00:15:46.800]   [Music playing]
[00:15:46.800 --> 00:15:52.800]   [Music playing]
[00:15:52.800 --> 00:15:54.800]   [Music playing]
[00:15:54.800 --> 00:16:00.800]   [Music playing]
[00:16:00.800 --> 00:16:06.800]   [Music playing]
[00:16:06.800 --> 00:16:12.800]   [Music playing]
[00:16:12.800 --> 00:16:18.800]   [Music playing]
[00:16:18.800 --> 00:16:20.800]   [Music playing]
[00:16:20.800 --> 00:16:26.800]   [Music playing]
[00:16:26.800 --> 00:16:32.800]   [Music playing]
[00:16:32.800 --> 00:16:40.800]   [Music playing]
[00:16:40.800 --> 00:16:46.800]   [Music playing]
[00:16:46.800 --> 00:16:48.800]   [Music playing]
[00:16:48.800 --> 00:16:54.800]   [Music playing]
[00:16:54.800 --> 00:17:00.800]   [Music playing]
[00:17:00.800 --> 00:17:06.800]   [Music playing]
[00:17:06.800 --> 00:17:12.800]   [Music playing]
[00:17:12.800 --> 00:17:14.800]   [Music playing]
[00:17:14.800 --> 00:17:20.800]   [Music playing]
[00:17:20.800 --> 00:17:26.800]   [Music playing]
[00:17:26.800 --> 00:17:34.800]   [Music playing]
[00:17:34.800 --> 00:17:40.800]   [Music playing]
[00:17:40.800 --> 00:17:42.800]   [Music playing]
[00:17:42.800 --> 00:17:48.800]   [Music playing]
[00:17:48.800 --> 00:17:54.800]   [Music playing]
[00:17:54.800 --> 00:18:00.800]   [Music playing]
[00:18:00.800 --> 00:18:06.800]   [Music playing]
[00:18:06.800 --> 00:18:08.800]   [Music playing]
[00:18:08.800 --> 00:18:14.800]   [Music playing]
[00:18:14.800 --> 00:18:20.800]   [Music playing]
[00:18:20.800 --> 00:18:26.800]   [Music playing]
[00:18:26.800 --> 00:18:32.800]   [Music playing]
[00:18:32.800 --> 00:18:34.800]   [Music playing]
[00:18:34.800 --> 00:18:40.800]   [Music playing]
[00:18:40.800 --> 00:18:46.800]   [Music playing]
[00:18:46.800 --> 00:18:52.800]   >> Good morning, church family.
[00:18:52.800 --> 00:18:54.800]   Happy Lord's Day.
[00:18:54.800 --> 00:18:56.800]   Just a quick reminder that if needed, the lyrics will also be on the Brion app.
[00:18:56.800 --> 00:18:58.800]   [Music playing]
[00:18:58.800 --> 00:19:08.800]   [Music playing]
[00:19:08.800 --> 00:19:18.800]   >> Purify my heart.
[00:19:18.800 --> 00:19:20.800]   >> Purify my heart.
[00:19:24.800 --> 00:19:26.800]   >> Let me be as gold.
[00:19:26.800 --> 00:19:28.800]   >> And precious silver.
[00:19:28.800 --> 00:19:30.800]   >> Purify my heart.
[00:19:30.800 --> 00:19:32.800]   >> Let me be as gold.
[00:19:32.800 --> 00:19:34.800]   >> Purify my heart.
[00:19:34.800 --> 00:19:36.800]   >> Let me be as gold.
[00:19:36.800 --> 00:19:38.800]   >> Purify my heart.
[00:19:38.800 --> 00:19:40.800]   >> Let me be as gold.
[00:19:40.800 --> 00:19:42.800]   >> Purify my heart.
[00:19:42.800 --> 00:19:44.800]   >> Let me be as gold.
[00:19:44.800 --> 00:19:46.800]   >> Purify my heart.
[00:19:46.800 --> 00:19:48.800]   >> Let me be as gold.
[00:19:48.800 --> 00:19:50.800]   >> Purify my heart.
[00:19:50.800 --> 00:19:52.800]   >> Let me be as gold.
[00:19:52.800 --> 00:19:54.800]   >> Purify my heart.
[00:19:54.800 --> 00:19:56.800]   >> Let me be as gold.
[00:19:56.800 --> 00:19:58.800]   >> Purify my heart.
[00:19:58.800 --> 00:20:00.800]   >> Let me be as gold.
[00:20:00.800 --> 00:20:02.800]   >> Purify my heart.
[00:20:02.800 --> 00:20:04.800]   >> Let me be as gold.
[00:20:04.800 --> 00:20:06.800]   >> Purify my heart.
[00:20:06.800 --> 00:20:08.800]   >> Let me be as gold.
[00:20:08.800 --> 00:20:10.800]   >> Purify my heart.
[00:20:10.800 --> 00:20:12.800]   >> Let me be as gold.
[00:20:12.800 --> 00:20:14.800]   >> Purify my heart.
[00:20:14.800 --> 00:20:16.800]   >> Let me be as gold.
[00:20:16.800 --> 00:20:18.800]   >> Purify my heart.
[00:20:18.800 --> 00:20:20.800]   >> Let me be as gold.
[00:20:20.800 --> 00:20:22.800]   >> Purify my heart.
[00:20:22.800 --> 00:20:24.800]   >> Let me be as gold.
[00:20:24.800 --> 00:20:26.800]   >> Purify my heart.
[00:20:26.800 --> 00:20:28.800]   >> Let me be as gold.
[00:20:28.800 --> 00:20:30.800]   >> Purify my heart.
[00:20:30.800 --> 00:20:32.800]   >> Let me be as gold.
[00:20:32.800 --> 00:20:34.800]   >> Purify my heart.
[00:20:34.800 --> 00:20:36.800]   >> Let me be as gold.
[00:20:36.800 --> 00:20:38.800]   >> Purify my heart.
[00:20:38.800 --> 00:20:40.800]   >> Let me be as gold.
[00:20:40.800 --> 00:20:42.800]   >> Purify my heart.
[00:20:42.800 --> 00:20:44.800]   >> Let me be as gold.
[00:20:44.800 --> 00:20:46.800]   >> Purify my heart.
[00:20:46.800 --> 00:20:48.800]   >> Let me be as gold.
[00:20:48.800 --> 00:20:50.800]   >> Purify my heart.
[00:20:50.800 --> 00:20:52.800]   >> Let me be as gold.
[00:20:52.800 --> 00:20:54.800]   >> Purify my heart.
[00:20:54.800 --> 00:20:56.800]   >> Let me be as gold.
[00:20:56.800 --> 00:20:58.800]   >> Purify my heart.
[00:20:58.800 --> 00:21:00.800]   >> Let me be as gold.
[00:21:00.800 --> 00:21:02.800]   >> Purify my heart.
[00:21:02.800 --> 00:21:04.800]   >> Let me be as gold.
[00:21:04.800 --> 00:21:06.800]   >> Purify my heart.
[00:21:06.800 --> 00:21:08.800]   >> Let me be as gold.
[00:21:08.800 --> 00:21:10.800]   >> Purify my heart.
[00:21:10.800 --> 00:21:12.800]   >> Let me be as gold.
[00:21:12.800 --> 00:21:14.800]   >> Purify my heart.
[00:21:14.800 --> 00:21:16.800]   >> Let me be as gold.
[00:21:16.800 --> 00:21:18.800]   >> Purify my heart.
[00:21:18.800 --> 00:21:20.800]   >> Let me be as gold.
[00:21:20.800 --> 00:21:22.800]   >> Purify my heart.
[00:21:22.800 --> 00:21:24.800]   >> Let me be as gold.
[00:21:24.800 --> 00:21:26.800]   >> Purify my heart.
[00:21:26.800 --> 00:21:28.800]   >> Let me be as gold.
[00:21:28.800 --> 00:21:30.800]   >> Purify my heart.
[00:21:30.800 --> 00:21:32.800]   >> Let me be as gold.
[00:21:32.800 --> 00:21:34.800]   >> Purify my heart.
[00:21:34.800 --> 00:21:36.800]   >> Let me be as gold.
[00:21:36.800 --> 00:21:38.800]   >> Purify my heart.
[00:21:38.800 --> 00:21:40.800]   >> Let me be as gold.
[00:21:40.800 --> 00:21:42.800]   >> Purify my heart.
[00:21:42.800 --> 00:21:44.800]   >> Let me be as gold.
[00:21:44.800 --> 00:21:46.800]   >> Let me be as gold.
[00:21:46.800 --> 00:21:48.800]   >> Purify my heart.
[00:21:48.800 --> 00:21:50.800]   >> Let me be as gold.
[00:21:50.800 --> 00:21:52.800]   >> Purify my heart.
[00:21:52.800 --> 00:21:54.800]   >> Let me be as gold.
[00:21:54.800 --> 00:21:56.800]   >> Purify my heart.
[00:21:56.800 --> 00:21:58.800]   >> Let me be as gold.
[00:21:58.800 --> 00:22:00.800]   >> Purify my heart.
[00:22:00.800 --> 00:22:02.800]   >> Let me be as gold.
[00:22:02.800 --> 00:22:04.800]   >> Purify my heart.
[00:22:04.800 --> 00:22:06.800]   >> Let me be as gold.
[00:22:06.800 --> 00:22:08.800]   >> Purify my heart.
[00:22:08.800 --> 00:22:10.800]   >> Let me be as gold.
[00:22:10.800 --> 00:22:12.800]   >> Purify my heart.
[00:22:12.800 --> 00:22:14.800]   >> Let me be as gold.
[00:22:14.800 --> 00:22:16.800]   >> Purify my heart.
[00:22:16.800 --> 00:22:18.800]   >> Let me be as gold.
[00:22:18.800 --> 00:22:20.800]   >> Purify my heart.
[00:22:20.800 --> 00:22:22.800]   >> Let me be as gold.
[00:22:22.800 --> 00:22:24.800]   >> Purify my heart.
[00:22:24.800 --> 00:22:26.800]   >> Let me be as gold.
[00:22:26.800 --> 00:22:28.800]   >> Purify my heart.
[00:22:28.800 --> 00:22:30.800]   >> Let me be as gold.
[00:22:30.800 --> 00:22:32.800]   >> Purify my heart.
[00:22:32.800 --> 00:22:34.800]   >> Let me be as gold.
[00:22:34.800 --> 00:22:36.800]   >> Purify my heart.
[00:22:36.800 --> 00:22:38.800]   >> Let me be as gold.
[00:22:38.800 --> 00:22:40.800]   >> Purify my heart.
[00:22:40.800 --> 00:22:42.800]   >> Let me be as gold.
[00:22:42.800 --> 00:22:44.800]   >> Purify my heart.
[00:22:44.800 --> 00:22:46.800]   >> Let me be as gold.
[00:22:46.800 --> 00:22:48.800]   >> Purify my heart.
[00:22:48.800 --> 00:22:50.800]   >> Let me be as gold.
[00:22:50.800 --> 00:22:52.800]   >> Purify my heart.
[00:22:52.800 --> 00:22:54.800]   >> Let me be as gold.
[00:22:54.800 --> 00:22:56.800]   >> Purify my heart.
[00:22:56.800 --> 00:22:58.800]   >> Let me be as gold.
[00:22:58.800 --> 00:23:00.800]   >> Purify my heart.
[00:23:00.800 --> 00:23:02.800]   >> Let me be as gold.
[00:23:02.800 --> 00:23:04.800]   >> Purify my heart.
[00:23:04.800 --> 00:23:06.800]   >> Let me be as gold.
[00:23:06.800 --> 00:23:08.800]   >> Purify my heart.
[00:23:08.800 --> 00:23:12.900]   at home, just a reminder if you are planning to regularly and consistently
[00:23:12.900 --> 00:23:16.720]   come, please do make sure to sign up on the registration and the form is at the
[00:23:16.720 --> 00:23:21.360]   top of the announcement section on the app and also our Facebook. For any of you
[00:23:21.360 --> 00:23:27.160]   who are switching services, we're trying to keep that roster as accurate as
[00:23:27.160 --> 00:23:30.800]   possible, so again if you're making a consistent change, please make sure to
[00:23:30.800 --> 00:23:35.720]   message Chris Kim, and her email is again on the app. One of the announcements I
[00:23:35.720 --> 00:23:39.640]   like to highlight is the Intentional Sisters Fellowship, where the plan is to
[00:23:39.640 --> 00:23:44.240]   come together in smaller groups, work through and read a book together and
[00:23:44.240 --> 00:23:48.200]   have discussions. If you'd like to participate in that, the last day to sign
[00:23:48.200 --> 00:23:52.160]   up is this Friday, so please make sure to take a moment to sign up for that if
[00:23:52.160 --> 00:23:55.280]   you'd like to fellowship with the other sisters open to our young adults and our
[00:23:55.280 --> 00:24:01.600]   family ministry. Another important announcement is for again for family, for
[00:24:01.600 --> 00:24:05.760]   those of you with children, that we have, we're going to be hosting the trunk
[00:24:05.760 --> 00:24:10.200]   formation night. That's going to be happening on October 31st. It's going to
[00:24:10.200 --> 00:24:15.840]   be a fun time, but we do need people who want to volunteer to set up those trunks
[00:24:15.840 --> 00:24:21.720]   to prepare activity or a treat for the children. Please volunteer now and the
[00:24:21.720 --> 00:24:27.520]   sign up for that also is on the app, and if you have questions, we have Rachel and
[00:24:27.520 --> 00:24:32.240]   Esther available there for any questions that you might have. So please again make
[00:24:32.240 --> 00:24:36.360]   sure you mark that on the calendar. The last and important announcement I have
[00:24:36.360 --> 00:24:41.540]   is for our education department. For those of you with children, we are
[00:24:41.540 --> 00:24:47.040]   planning to reopen our education department in increments, and so
[00:24:47.040 --> 00:24:51.880]   from the youth to the Sprouts, the plan is to open that up on October 18th to
[00:24:51.880 --> 00:24:55.320]   have physical meetings here. They're going to give a plan, an overview of
[00:24:55.320 --> 00:24:59.240]   layout and precautions that are being taken. More details will be given to you
[00:24:59.240 --> 00:25:03.480]   at our members meeting, which is October 11th, but just as a heads up, the plan is
[00:25:03.480 --> 00:25:08.040]   there and then it's going to kind of roll out in different increments, and if
[00:25:08.040 --> 00:25:11.080]   you have certain questions and things like that, please look out
[00:25:11.080 --> 00:25:15.240]   for more information to come. Let me take a moment to pray for us as we begin, and
[00:25:15.240 --> 00:25:20.360]   we'll move into time of giving offering. Let's pray. Our God, we want to thank you
[00:25:20.360 --> 00:25:25.760]   for your grace. Lord, we are so grateful to be able to come together to worship
