
[00:00:00.000 --> 00:00:08.320]   Amazing grace, how sweet the sound.
[00:03:16.740 --> 00:03:19.720]   [INAUDIBLE]
[00:03:20.120 --> 00:03:23.100]   [INAUDIBLE]
[00:03:23.100 --> 00:03:26.080]   [INAUDIBLE]
[00:03:26.080 --> 00:03:29.060]   [INAUDIBLE]
[00:03:29.060 --> 00:03:32.040]   [INAUDIBLE]
[00:03:32.040 --> 00:03:35.040]   [INAUDIBLE]
[00:03:35.040 --> 00:03:38.040]   [INAUDIBLE]
[00:03:38.040 --> 00:03:41.040]   [INAUDIBLE]
[00:03:41.040 --> 00:03:44.040]   [INAUDIBLE]
[00:03:44.040 --> 00:03:47.040]   [INAUDIBLE]
[00:03:48.040 --> 00:03:51.040]   [INAUDIBLE]
[00:03:51.040 --> 00:04:16.460]   th
[00:04:16.460 --> 00:04:19.960]   [CHATTERING]
[00:04:19.960 --> 00:04:23.460]   [CHATTERING]
[00:04:23.460 --> 00:04:26.960]   [CHATTERING]
[00:04:26.960 --> 00:04:30.460]   [CHATTERING]
[00:04:30.460 --> 00:04:33.960]   [CHATTERING]
[00:04:33.960 --> 00:04:37.460]   [CHATTERING]
[00:04:37.460 --> 00:04:48.440]   [CHATTERING]
[00:04:48.440 --> 00:04:51.440]   [CHATTERING]
[00:04:51.440 --> 00:05:07.920]   [CHATTERING]
[00:05:07.920 --> 00:05:11.420]   [CHATTERING]
[00:05:11.420 --> 00:05:33.900]   [CHATTERING]
[00:05:33.900 --> 00:05:37.400]   [CHATTERING]
[00:05:37.400 --> 00:05:52.380]   [CHATTERING]
[00:05:52.380 --> 00:06:00.380]   [CHATTERING]
[00:06:00.380 --> 00:06:03.880]   [CHATTERING]
[00:06:03.880 --> 00:06:29.880]   [LAUGHTER]
[00:06:29.880 --> 00:06:33.380]   [CHATTERING]
[00:06:33.380 --> 00:06:36.880]   [CHATTERING]
[00:06:36.880 --> 00:06:40.380]   [CHATTERING]
[00:06:40.380 --> 00:06:43.880]   [CHATTERING]
[00:06:43.880 --> 00:06:47.380]   [CHATTERING]
[00:06:47.380 --> 00:06:50.880]   [CHATTERING]
[00:06:50.880 --> 00:06:54.380]   [CHATTERING]
[00:06:54.380 --> 00:06:57.880]   [CHATTERING]
[00:06:57.880 --> 00:07:01.380]   [CHATTERING]
[00:07:01.380 --> 00:07:04.880]   [CHATTERING]
[00:07:04.880 --> 00:07:08.380]   [CHATTERING]
[00:07:08.380 --> 00:07:11.880]   [CHATTERING]
[00:07:11.880 --> 00:07:15.380]   [CHATTERING]
[00:07:15.380 --> 00:07:18.880]   [CHATTERING]
[00:07:18.880 --> 00:07:22.380]   [CHATTERING]
[00:07:22.380 --> 00:07:37.380]   [CHATTERING]
[00:07:37.380 --> 00:07:40.880]   [CHATTERING]
[00:07:40.880 --> 00:07:59.380]   [CHATTERING]
[00:07:59.380 --> 00:08:02.880]   [CHATTERING]
[00:08:02.880 --> 00:08:06.380]   [CHATTERING]
[00:08:06.380 --> 00:08:26.380]   [CHATTERING]
[00:08:26.380 --> 00:08:29.880]   [CHATTERING]
[00:08:29.880 --> 00:08:43.880]   [CHATTERING]
[00:08:43.880 --> 00:08:47.380]   [CHATTERING]
[00:08:47.380 --> 00:08:50.880]   [CHATTERING]
[00:08:50.880 --> 00:09:07.880]   [CHATTERING]
[00:09:16.880 --> 00:09:19.880]   [LAUGHTER]
[00:09:19.880 --> 00:09:23.380]   [CHATTERING]
[00:09:23.380 --> 00:09:44.880]   [CHATTERING]
[00:09:44.880 --> 00:09:48.380]   [CHATTERING]
[00:09:49.380 --> 00:09:52.880]   [CHATTERING]
[00:09:53.880 --> 00:09:57.380]   [LAUGHTER]
[00:09:57.380 --> 00:10:00.880]   [CHATTERING]
[00:10:00.880 --> 00:10:22.380]   [CHATTERING]
[00:10:22.380 --> 00:10:25.880]   [CHATTERING]
[00:10:25.880 --> 00:10:29.380]   [CHATTERING]
[00:10:30.380 --> 00:10:33.880]   [CHATTERING]
[00:10:33.880 --> 00:10:37.380]   [CHATTERING]
[00:10:37.380 --> 00:10:40.880]   [CHATTERING]
[00:10:40.880 --> 00:10:44.380]   [CHATTERING]
[00:10:44.380 --> 00:10:47.880]   [CHATTERING]
[00:10:47.880 --> 00:10:51.380]   [CHATTERING]
[00:10:51.380 --> 00:11:10.880]   [CHATTERING]
[00:11:10.880 --> 00:11:14.380]   [CHATTERING]
[00:11:14.380 --> 00:11:17.880]   [CHATTERING]
[00:11:17.880 --> 00:11:21.380]   [CHATTERING]
[00:11:21.380 --> 00:11:24.880]   [CHATTERING]
[00:11:24.880 --> 00:11:28.380]   [CHATTERING]
[00:11:52.880 --> 00:11:56.380]   [LAUGHTER]
[00:12:19.880 --> 00:12:23.380]   [LAUGHTER]
[00:12:23.380 --> 00:12:49.380]   [LAUGHTER]
[00:12:49.380 --> 00:12:52.880]   [CHATTERING]
[00:12:52.880 --> 00:12:56.380]   [CHATTERING]
[00:12:56.380 --> 00:12:59.880]   [CHATTERING]
[00:12:59.880 --> 00:13:03.380]   [CHATTERING]
[00:13:03.380 --> 00:13:06.880]   [CHATTERING]
[00:13:07.880 --> 00:13:11.380]   [CHATTERING]
[00:13:11.380 --> 00:13:14.880]   [CHATTERING]
[00:13:14.880 --> 00:13:18.380]   [CHATTERING]
[00:13:18.380 --> 00:13:21.880]   [CHATTERING]
[00:13:45.380 --> 00:13:48.880]   [CHATTERING]
[00:13:48.880 --> 00:13:52.380]   [CHATTERING]
[00:13:52.380 --> 00:13:55.880]   [CHATTERING]
[00:13:55.880 --> 00:13:59.380]   [CHATTERING]
[00:13:59.380 --> 00:14:02.880]   [CHATTERING]
[00:14:02.880 --> 00:14:06.380]   [CHATTERING]
[00:14:06.380 --> 00:14:09.880]   [CHATTERING]
[00:14:09.880 --> 00:14:13.380]   [CHATTERING]
[00:14:13.380 --> 00:14:16.880]   [CHATTERING]
[00:14:17.880 --> 00:14:21.380]   [CHATTERING]
[00:14:46.380 --> 00:14:49.880]   [INAUDIBLE]
[00:14:49.880 --> 00:14:53.380]   [CHATTERING]
[00:14:53.380 --> 00:14:56.880]   [CHATTERING]
[00:14:56.880 --> 00:15:00.380]   [CHATTERING]
[00:15:00.380 --> 00:15:03.880]   [CHATTERING]
[00:15:03.880 --> 00:15:07.380]   [CHATTERING]
[00:15:07.380 --> 00:15:10.880]   [CHATTERING]
[00:15:11.880 --> 00:15:15.380]   [CHATTERING]
[00:15:15.380 --> 00:15:36.880]   [CHATTERING]
[00:15:36.880 --> 00:15:40.380]   [CHATTERING]
[00:15:40.380 --> 00:15:43.380]   [CHATTERING]
[00:15:43.380 --> 00:15:46.380]   [CHATTERING]
[00:15:46.380 --> 00:15:49.380]   [CHATTERING]
[00:15:50.380 --> 00:15:53.880]   [CHATTERING]
[00:15:54.880 --> 00:15:58.380]   [CHATTERING]
[00:15:58.380 --> 00:16:01.380]   [CHATTERING]
[00:16:01.380 --> 00:16:27.880]   [CHATTERING]
[00:16:27.880 --> 00:16:31.380]   [CHATTERING]
[00:16:31.380 --> 00:16:33.580]   All right, everyone.
[00:16:33.580 --> 00:16:36.140]   Could we start making our way to our seats?
[00:16:36.140 --> 00:16:37.140]   Get ready for Bible study.
[00:16:37.140 --> 00:16:40.620]   [CHATTERING]
[00:16:40.620 --> 00:17:02.120]   [CHATTERING]
[00:17:02.120 --> 00:17:03.600]   OK.
[00:17:03.600 --> 00:17:04.520]   Let's pray real quick.
[00:17:04.520 --> 00:17:10.480]   Father, we just thank you so much for just even
[00:17:10.480 --> 00:17:13.600]   this opportunity to just be here at Bible study
[00:17:13.600 --> 00:17:16.360]   to give you praise and to study your word.
[00:17:16.360 --> 00:17:20.120]   We just thank you, Lord, that every week we're reminded
[00:17:20.120 --> 00:17:24.760]   that it is absolutely 100% your grace and your grace alone,
[00:17:24.760 --> 00:17:28.760]   and that we have absolutely no part in what you've done for us.
[00:17:28.760 --> 00:17:32.600]   And God, I just pray as we go into this short time of worship,
[00:17:32.600 --> 00:17:36.520]   even though it's short, that it would just be sincere, Lord,
[00:17:36.520 --> 00:17:39.200]   that these songs that we sing will be a joyful noise.
[00:17:39.200 --> 00:17:43.520]   It would be a sweet sound to you, God, and above all,
[00:17:43.520 --> 00:17:46.480]   that you would just be glorified and magnified
[00:17:46.480 --> 00:17:47.680]   throughout this time, Lord.
[00:17:47.680 --> 00:17:49.000]   So in Christ's name, we pray.
[00:17:49.000 --> 00:17:49.500]   Amen.
[00:17:49.500 --> 00:17:52.480]   All right.
[00:17:52.480 --> 00:17:56.960]   [MUSIC - "COME, THOU FOUNT"]
[00:17:56.960 --> 00:17:58.940]   Come, thou fount.
[00:17:58.940 --> 00:18:04.440]   And come, thou fount of every blessing,
[00:18:04.440 --> 00:18:09.920]   to my heart to sing thy grace.
[00:18:09.920 --> 00:18:15.640]   Streams of mercy never ceasing, call
[00:18:15.640 --> 00:18:20.440]   for songs of loudest praise.
[00:18:20.440 --> 00:18:30.920]   Teach me some melodious sonnet, sung by flaming tongues upon.
[00:18:30.920 --> 00:18:35.880]   Praise the mount affixed upon it,
[00:18:35.880 --> 00:18:39.880]   mount of thy redeeming love.
[00:18:39.880 --> 00:18:49.360]   Here I raise my Ebenezer.
[00:18:49.360 --> 00:18:54.360]   Hither by thy help I've come.
[00:18:54.360 --> 00:19:04.840]   And I hope by thy good pleasure, safely to arrive at home.
[00:19:04.840 --> 00:19:15.320]   Jesus sought me when a stranger, wandering from the fold of God.
[00:19:15.320 --> 00:19:24.800]   He to rescue me from danger, interposed his precious blood.
[00:19:24.800 --> 00:19:37.280]   And I owe to grace how great a debtor, daily I'm constrained
[00:19:37.280 --> 00:19:38.760]   to be.
[00:19:38.760 --> 00:19:49.240]   I let thy goodness like a fetter bind my wandering heart to thee.
[00:19:49.240 --> 00:19:54.720]   Prone to wander, Lord, I feel it.
[00:19:54.720 --> 00:20:00.200]   Prone to leave the God I love.
[00:20:00.200 --> 00:20:05.200]   Here's my heart, O, take and seal it.
[00:20:05.200 --> 00:20:09.680]   Seal it for thy courts above.
[00:20:09.680 --> 00:20:15.680]   Here's my-- here's my heart, Lord, take and seal it.
[00:20:15.680 --> 00:20:20.160]   Seal it for thy courts above.
[00:20:20.160 --> 00:20:32.160]   Amazing grace, how sweet the sound
[00:20:32.160 --> 00:20:39.640]   that saved a wretch like me.
[00:20:39.640 --> 00:20:47.120]   I once was lost, but now am found.
[00:20:47.120 --> 00:20:54.120]   Was blind, but now I see.
[00:20:54.120 --> 00:21:01.600]   'Twas grace that taught my heart to fear.
[00:21:01.600 --> 00:21:09.080]   And grace, my fears relieved.
[00:21:09.080 --> 00:21:16.080]   How precious did that grace appear.
[00:21:16.080 --> 00:21:21.560]   They are my first relief.
[00:21:21.560 --> 00:21:31.040]   Through many, through many dangers, toils and snares,
[00:21:31.040 --> 00:21:36.520]   I have already come.
[00:21:36.520 --> 00:21:44.520]   'Tis grace, 'tis grace that brought me safe thus far.
[00:21:44.520 --> 00:21:46.000]   And grace will lead me home.
[00:21:46.000 --> 00:21:52.480]   Grace will lead me home.
[00:21:52.480 --> 00:21:59.960]   The Lord has promised good to me.
[00:21:59.960 --> 00:22:04.440]   His words my hope secure.
[00:22:07.440 --> 00:22:18.920]   He will my shield and portion be as long as life endures.
[00:22:29.920 --> 00:22:39.400]   When we-- when we've been there 1,000 years,
[00:22:39.400 --> 00:22:49.880]   as shiny as the sun, we've no less days
[00:22:49.880 --> 00:22:59.360]   to sing God's praise than when we first began.
[00:22:59.360 --> 00:23:00.840]   Amazing grace.
[00:23:00.840 --> 00:23:08.840]   Amazing grace, how sweet the sound
[00:23:08.840 --> 00:23:16.320]   that saved a wretch like me.
[00:23:16.320 --> 00:23:23.800]   I once was lost, but now am found.
[00:23:23.800 --> 00:23:29.280]   Was blind, but now I see.
[00:23:29.280 --> 00:23:36.960]   All right.
[00:23:36.960 --> 00:23:40.360]   Well, good evening, everybody.
[00:23:40.360 --> 00:23:43.600]   I just wanted to start with just a reading of the passage.
[00:23:43.600 --> 00:23:45.760]   And then I'm going to post up some of the questions
[00:23:45.760 --> 00:23:50.440]   that I'm hoping that you guys will discuss amongst yourselves.
[00:23:50.440 --> 00:23:59.920]   All right.
[00:23:59.920 --> 00:24:03.920]   If you guys can see this, just follow along.
[00:24:03.920 --> 00:24:08.920]   If not, you can just follow along with your ear.
[00:24:08.920 --> 00:24:10.920]   For I would have you know, brethren,
[00:24:10.920 --> 00:24:13.720]   that the gospel which was preached by me
[00:24:13.720 --> 00:24:16.520]   is not according to man.
[00:24:16.520 --> 00:24:19.120]   For I neither received it from man nor was I taught it,
[00:24:19.120 --> 00:24:22.800]   but I received it through revelation of Jesus Christ.
[00:24:22.800 --> 00:24:26.080]   For you have heard of my former manner of life in Judaism,
[00:24:26.080 --> 00:24:29.560]   how I used to persecute the church of God beyond measure
[00:24:29.560 --> 00:24:31.560]   and try to destroy it.
[00:24:31.560 --> 00:24:33.520]   And I was advancing in Judaism beyond many
[00:24:33.520 --> 00:24:35.640]   of my contemporaries among my countrymen,
[00:24:35.640 --> 00:24:40.640]   being more extremely zealous for my ancestral traditions.
[00:24:40.640 --> 00:24:44.280]   But when God, who had set me apart even from my mother's
[00:24:44.280 --> 00:24:45.920]   womb and called me through his grace,
[00:24:45.920 --> 00:24:48.800]   was pleased to reveal his son in me,
[00:24:48.800 --> 00:24:51.520]   so that I might preach him among the Gentiles,
[00:24:51.520 --> 00:24:53.920]   I did not immediately consult with flesh and blood,
[00:24:53.920 --> 00:24:55.800]   nor did I go up to Jerusalem to those
[00:24:55.800 --> 00:24:57.480]   who were apostles before me.
[00:24:57.480 --> 00:25:00.160]   But I went away to Arabia and returned once more
[00:25:00.160 --> 00:25:01.320]   to Damascus.
[00:25:01.320 --> 00:25:02.000]   Amen.
[00:25:02.000 --> 00:25:04.320]   So these are the three questions that I
[00:25:04.320 --> 00:25:06.240]   would like you guys to discuss amongst yourself
[00:25:06.240 --> 00:25:08.200]   for the next hour.
[00:25:08.200 --> 00:25:10.280]   First, you're going to be sharing your questions
[00:25:10.280 --> 00:25:13.480]   and observations from this inductive process.
[00:25:13.480 --> 00:25:15.160]   Hopefully you prepared something.
[00:25:15.160 --> 00:25:17.880]   If you haven't prepared, I encourage
[00:25:17.880 --> 00:25:23.080]   you to listen more than you do speak.
[00:25:23.080 --> 00:25:25.280]   The second question in the process of this
[00:25:25.280 --> 00:25:27.200]   I would like you guys to discuss is,
[00:25:27.200 --> 00:25:30.320]   what was Paul's life like before he met Christ?
[00:25:30.320 --> 00:25:33.840]   What was a driving force behind his hatred and persecution
[00:25:33.840 --> 00:25:35.200]   of the church?
[00:25:35.200 --> 00:25:37.520]   That's an important thing to think about.
[00:25:37.520 --> 00:25:40.160]   And third, what was Paul's calling?
[00:25:40.160 --> 00:25:44.600]   And is Paul's being set apart and his being called
[00:25:44.600 --> 00:25:46.320]   the same thing or not?
[00:25:46.320 --> 00:25:49.040]   So you're going to take about 55 minutes,
[00:25:49.040 --> 00:25:50.560]   but let me pray for us.
[00:25:50.560 --> 00:25:53.480]   And then we'll reconvene at 8 to 10 on the dot.
[00:25:53.480 --> 00:25:54.040]   OK?
[00:25:54.040 --> 00:25:55.280]   Let me pray.
[00:25:55.280 --> 00:25:57.600]   Father, we're so thankful that you've
[00:25:57.600 --> 00:26:01.280]   given us an opportunity to gather together as your family,
[00:26:01.280 --> 00:26:04.600]   to study your word, to feed off of it.
[00:26:04.600 --> 00:26:09.760]   And Lord, we're coming to the table with varying needs.
[00:26:09.760 --> 00:26:12.760]   We're coming with varying appetites.
[00:26:12.760 --> 00:26:16.440]   And I pray, Lord, for the hungry that you would feed us
[00:26:16.440 --> 00:26:19.000]   and that you would help us to leave here
[00:26:19.000 --> 00:26:21.440]   rejuvenated and recharged.
[00:26:21.440 --> 00:26:25.720]   And I pray, Father God, for just the lost and the hurting.
[00:26:25.720 --> 00:26:31.000]   Lord, you would minister to your hurting people
[00:26:31.000 --> 00:26:32.800]   so that they would know, Lord, that no one is
[00:26:32.800 --> 00:26:37.480]   beyond the saving reaches of the gospel of Christ.
[00:26:37.480 --> 00:26:39.480]   And I pray, Lord God, for the complacent,
[00:26:39.480 --> 00:26:41.840]   that the truths of your gospel really
[00:26:41.840 --> 00:26:45.080]   would hit the core of our hearts so
[00:26:45.080 --> 00:26:46.840]   that every single person that's in here
[00:26:46.840 --> 00:26:53.120]   would leave here today longing to know more of you.
[00:26:53.120 --> 00:26:57.600]   And Lord, to apply your truth appropriately in our lives.
[00:26:57.600 --> 00:27:01.200]   So would you protect this time, and would you guard our hearts,
[00:27:01.200 --> 00:27:02.400]   and would you feed us?
[00:27:02.400 --> 00:27:04.640]   And we lift this time into your hands,
[00:27:04.640 --> 00:27:07.000]   and we pray this in Jesus' name.
[00:27:07.000 --> 00:27:09.440]   I will see you guys at 810 on the dot.
[00:27:09.440 --> 00:27:12.920]   [SIDE CONVERSATION]
[00:27:12.920 --> 00:27:16.400]   [SIDE CONVERSATION]
[00:27:16.400 --> 00:27:19.400]   [SIDE CONVERSATION]
[00:27:19.400 --> 00:27:22.400]   [SIDE CONVERSATION]
[00:27:22.400 --> 00:27:25.400]   [SIDE CONVERSATION]
[00:27:25.400 --> 00:27:28.400]   [SIDE CONVERSATION]
[00:27:28.400 --> 00:27:31.400]   [SIDE CONVERSATION]
[00:27:31.400 --> 00:27:34.400]   [SIDE CONVERSATION]
[00:27:34.400 --> 00:27:37.400]   [SIDE CONVERSATION]
[00:27:37.400 --> 00:27:40.400]   [SIDE CONVERSATION]
[00:27:40.400 --> 00:27:43.400]   [SIDE CONVERSATION]
[00:27:43.400 --> 00:27:46.400]   [SIDE CONVERSATION]
[00:27:46.400 --> 00:27:49.400]   [SIDE CONVERSATION]
[00:27:49.400 --> 00:27:52.400]   [SIDE CONVERSATION]
[00:27:52.400 --> 00:27:55.400]   [SIDE CONVERSATION]
[00:27:55.400 --> 00:27:58.400]   [SIDE CONVERSATION]
[00:27:58.400 --> 00:28:01.400]   [SIDE CONVERSATION]
[00:28:01.400 --> 00:28:04.400]   [SIDE CONVERSATION]
[00:28:04.400 --> 00:28:07.400]   [SIDE CONVERSATION]
[00:28:07.400 --> 00:28:10.400]   [SIDE CONVERSATION]
[00:28:10.400 --> 00:28:13.400]   [SIDE CONVERSATION]
[00:28:13.400 --> 00:28:16.400]   [SIDE CONVERSATION]
[00:28:17.400 --> 00:28:20.400]   [SIDE CONVERSATION]
[00:28:20.400 --> 00:28:23.400]   [SIDE CONVERSATION]
[00:28:23.400 --> 00:28:26.400]   [SIDE CONVERSATION]
[00:28:26.400 --> 00:28:29.400]   [SIDE CONVERSATION]
[00:28:29.400 --> 00:28:32.400]   [SIDE CONVERSATION]
[00:28:32.400 --> 00:28:35.400]   [SIDE CONVERSATION]
[00:28:35.400 --> 00:28:38.400]   [SIDE CONVERSATION]
[00:28:38.400 --> 00:28:41.400]   [SIDE CONVERSATION]
[00:28:41.400 --> 00:28:47.400]   [SIDE CONVERSATION]
[00:28:47.400 --> 00:28:51.400]   [SIDE CONVERSATION]
[00:28:51.400 --> 00:28:55.400]   [SIDE CONVERSATION]
[00:28:55.400 --> 00:28:59.400]   [SIDE CONVERSATION]
[00:28:59.400 --> 00:29:03.400]   [SIDE CONVERSATION]
[00:29:03.400 --> 00:29:07.400]   [SIDE CONVERSATION]
[00:29:07.400 --> 00:29:10.400]   [SIDE CONVERSATION]
[00:29:10.400 --> 00:29:14.400]   [SIDE CONVERSATION]
[00:29:14.400 --> 00:29:18.400]   [SIDE CONVERSATION]
[00:29:18.400 --> 00:29:22.400]   [SIDE CONVERSATION]
[00:29:22.400 --> 00:29:26.400]   [SIDE CONVERSATION]
[00:29:26.400 --> 00:29:30.400]   [SIDE CONVERSATION]
[00:29:30.400 --> 00:29:34.400]   [SIDE CONVERSATION]
[00:29:35.400 --> 00:29:38.400]   [SIDE CONVERSATION]
[00:29:38.400 --> 00:29:42.400]   [SIDE CONVERSATION]
[00:29:42.400 --> 00:29:46.400]   [SIDE CONVERSATION]
[00:29:46.400 --> 00:29:50.400]   [SIDE CONVERSATION]
[00:29:50.400 --> 00:29:54.400]   [SIDE CONVERSATION]
[00:29:54.400 --> 00:29:58.400]   [SIDE CONVERSATION]
[00:29:58.400 --> 00:30:02.400]   [SIDE CONVERSATION]
[00:30:03.400 --> 00:30:06.400]   [SIDE CONVERSATION]
[00:30:06.400 --> 00:30:10.400]   [SIDE CONVERSATION]
[00:30:10.400 --> 00:30:14.400]   [SIDE CONVERSATION]
[00:30:14.400 --> 00:30:18.400]   [SIDE CONVERSATION]
[00:30:18.400 --> 00:30:22.400]   [SIDE CONVERSATION]
[00:30:22.400 --> 00:30:26.400]   [SIDE CONVERSATION]
[00:30:26.400 --> 00:30:30.400]   [SIDE CONVERSATION]
[00:30:31.400 --> 00:30:34.400]   [SIDE CONVERSATION]
[00:30:34.400 --> 00:30:38.400]   [SIDE CONVERSATION]
[00:30:38.400 --> 00:30:42.400]   [SIDE CONVERSATION]
[00:30:42.400 --> 00:30:46.400]   [SIDE CONVERSATION]
[00:30:46.400 --> 00:30:50.400]   [SIDE CONVERSATION]
[00:30:50.400 --> 00:30:54.400]   [SIDE CONVERSATION]
[00:30:54.400 --> 00:30:58.400]   [SIDE CONVERSATION]
[00:30:59.400 --> 00:31:02.400]   [SIDE CONVERSATION]
[00:31:02.400 --> 00:31:06.400]   [SIDE CONVERSATION]
[00:31:06.400 --> 00:31:10.400]   [SIDE CONVERSATION]
[00:31:10.400 --> 00:31:14.400]   [SIDE CONVERSATION]
[00:31:14.400 --> 00:31:18.400]   [SIDE CONVERSATION]
[00:31:18.400 --> 00:31:22.400]   [SIDE CONVERSATION]
[00:31:22.400 --> 00:31:26.400]   [SIDE CONVERSATION]
[00:31:27.400 --> 00:31:30.400]   [SIDE CONVERSATION]
[00:31:30.400 --> 00:31:34.400]   [SIDE CONVERSATION]
[00:31:34.400 --> 00:31:38.400]   [SIDE CONVERSATION]
[00:31:38.400 --> 00:31:42.400]   [SIDE CONVERSATION]
[00:31:42.400 --> 00:31:46.400]   [SIDE CONVERSATION]
[00:31:46.400 --> 00:31:50.400]   [SIDE CONVERSATION]
[00:31:50.400 --> 00:31:54.400]   [SIDE CONVERSATION]
[00:31:55.400 --> 00:31:58.400]   [SIDE CONVERSATION]
[00:31:58.400 --> 00:32:02.400]   [SIDE CONVERSATION]
[00:32:02.400 --> 00:32:06.400]   [SIDE CONVERSATION]
[00:32:06.400 --> 00:32:10.400]   [SIDE CONVERSATION]
[00:32:10.400 --> 00:32:14.400]   [SIDE CONVERSATION]
[00:32:14.400 --> 00:32:18.400]   [SIDE CONVERSATION]
[00:32:18.400 --> 00:32:22.400]   [SIDE CONVERSATION]
[00:32:23.400 --> 00:32:26.400]   [SIDE CONVERSATION]
[00:32:26.400 --> 00:32:30.400]   [SIDE CONVERSATION]
[00:32:30.400 --> 00:32:34.400]   [SIDE CONVERSATION]
[00:32:34.400 --> 00:32:38.400]   [SIDE CONVERSATION]
[00:32:38.400 --> 00:32:42.400]   [SIDE CONVERSATION]
[00:32:42.400 --> 00:32:46.400]   [SIDE CONVERSATION]
[00:32:46.400 --> 00:32:50.400]   [SIDE CONVERSATION]
[00:32:51.400 --> 00:32:54.400]   [SIDE CONVERSATION]
[00:32:54.400 --> 00:32:58.400]   [SIDE CONVERSATION]
[00:32:58.400 --> 00:33:02.400]   [SIDE CONVERSATION]
[00:33:02.400 --> 00:33:06.400]   [SIDE CONVERSATION]
[00:33:06.400 --> 00:33:10.400]   [SIDE CONVERSATION]
[00:33:10.400 --> 00:33:14.400]   [SIDE CONVERSATION]
[00:33:14.400 --> 00:33:18.400]   [SIDE CONVERSATION]
[00:33:19.400 --> 00:33:22.400]   [SIDE CONVERSATION]
[00:33:22.400 --> 00:33:26.400]   [SIDE CONVERSATION]
[00:33:26.400 --> 00:33:30.400]   [SIDE CONVERSATION]
[00:33:30.400 --> 00:33:34.400]   [SIDE CONVERSATION]
[00:33:34.400 --> 00:33:38.400]   [SIDE CONVERSATION]
[00:33:38.400 --> 00:33:42.400]   [SIDE CONVERSATION]
[00:33:42.400 --> 00:33:46.400]   [SIDE CONVERSATION]
[00:33:47.400 --> 00:33:50.400]   [SIDE CONVERSATION]
[00:33:50.400 --> 00:33:54.400]   [SIDE CONVERSATION]
[00:33:54.400 --> 00:33:58.400]   [SIDE CONVERSATION]
[00:33:58.400 --> 00:34:02.400]   [SIDE CONVERSATION]
[00:34:02.400 --> 00:34:06.400]   [SIDE CONVERSATION]
[00:34:06.400 --> 00:34:10.400]   [SIDE CONVERSATION]
[00:34:10.400 --> 00:34:14.400]   [SIDE CONVERSATION]
[00:34:15.400 --> 00:34:18.400]   [SIDE CONVERSATION]
[00:34:18.400 --> 00:34:22.400]   [SIDE CONVERSATION]
[00:34:22.400 --> 00:34:26.400]   [SIDE CONVERSATION]
[00:34:26.400 --> 00:34:30.400]   [SIDE CONVERSATION]
[00:34:30.400 --> 00:34:34.400]   [SIDE CONVERSATION]
[00:34:34.400 --> 00:34:38.400]   [SIDE CONVERSATION]
[00:34:38.400 --> 00:34:42.400]   [SIDE CONVERSATION]
[00:34:43.400 --> 00:34:46.400]   [SIDE CONVERSATION]
[00:34:46.400 --> 00:34:50.400]   [SIDE CONVERSATION]
[00:34:50.400 --> 00:34:54.400]   [SIDE CONVERSATION]
[00:34:54.400 --> 00:34:58.400]   [SIDE CONVERSATION]
[00:34:58.400 --> 00:35:02.400]   [SIDE CONVERSATION]
[00:35:02.400 --> 00:35:06.400]   [SIDE CONVERSATION]
[00:35:06.400 --> 00:35:10.400]   [SIDE CONVERSATION]
[00:35:11.400 --> 00:35:14.400]   [SIDE CONVERSATION]
