
[00:00:00.000 --> 00:00:09.800]   Okay, everyone.
[00:05:17.400 --> 00:05:23.560]   you have been saved, and raised us up with him, and seated us with him in the heavenly
[00:05:23.560 --> 00:05:29.800]   places in Christ Jesus, so that in the ages to come he might show the surpassing riches
[00:05:29.800 --> 00:05:33.600]   of his grace and kindness towards us in Christ Jesus.
[00:05:33.600 --> 00:05:38.280]   For by grace you have been saved through faith and that not of yourselves.
[00:05:38.280 --> 00:05:43.280]   It is the gift of God, not as a result of works, so that no one may boast.
[00:05:43.280 --> 00:05:49.360]   For we are his workmanship, created in Christ Jesus for good works, which God prepared beforehand
[00:05:49.360 --> 00:05:51.960]   so that we would walk in them."
[00:05:51.960 --> 00:05:53.340]   Okay.
[00:05:53.340 --> 00:05:59.360]   So that's our passage, and as you guys know, that passage from in chapter 2, verses 1 through
[00:05:59.360 --> 00:06:05.040]   10, is such an amazing summary of the gospel that we have received, right?
[00:06:05.040 --> 00:06:08.440]   If you're walking a non-Christian through the scriptures in order to share with them
[00:06:08.440 --> 00:06:11.880]   the gospel, that is one primary portion to show.
[00:06:11.880 --> 00:06:14.680]   The incredible before and after.
[00:06:14.680 --> 00:06:19.960]   The incredible, this is you prior to Christ without the Lord in your life.
[00:06:19.960 --> 00:06:22.440]   This is you in Christ, okay?
[00:06:22.440 --> 00:06:28.400]   Now let's begin by going to the very first section, verses 4 through 6, okay, verses
[00:06:28.400 --> 00:06:31.240]   4 through 6, and make some observations.
[00:06:31.240 --> 00:06:36.280]   We begin with the question that I asked as a suggested study question, which is, observe
[00:06:36.280 --> 00:06:40.860]   and re-observe what is the work of God towards us, right?
[00:06:40.860 --> 00:06:46.400]   This passage and the passage before continue to talk about this is God's kindness towards
[00:06:46.400 --> 00:06:50.160]   you, this is his work towards you, well what is it?
[00:06:50.160 --> 00:06:56.480]   And what we notice is the three terms here highlighted, that he made us alive together
[00:06:56.480 --> 00:07:03.400]   with Christ, he raised us up with him, and he seated us up with Christ, okay?
[00:07:03.400 --> 00:07:08.620]   Now when you think about this then, you have to start making, start asking questions.
[00:07:08.620 --> 00:07:11.320]   These three terms, is there a sequence?
[00:07:11.320 --> 00:07:14.960]   Is there any kind of relationship between those terms, right?
[00:07:14.960 --> 00:07:19.720]   And I'm pretty sure a lot of you guys perhaps kind of just felt the growing grace through
[00:07:19.720 --> 00:07:26.280]   it, okay, meaning there is kind of this like growing magnitude of what God is doing on
[00:07:26.280 --> 00:07:32.280]   our behalf, to bring us alive with Christ, to raise us up, and then to seat us, right?
[00:07:32.280 --> 00:07:36.720]   There's this like rising element to that, and that's totally legitimate, totally good
[00:07:36.720 --> 00:07:43.760]   for us to think about, just to imagine like, you take an individual who previously was,
[00:07:43.760 --> 00:07:49.440]   again I use that term, a dirty sock puppet that's lifeless, and then you place this
[00:07:49.440 --> 00:07:52.760]   individual onto a seat of honor.
[00:07:52.760 --> 00:07:55.240]   You place this individual in a seat of power.
[00:07:55.240 --> 00:07:57.240]   You place this individual in a seat of authority.
[00:07:57.240 --> 00:08:00.480]   That is incredible, right?
[00:08:00.480 --> 00:08:04.840]   Now for the sake of time, we can sit there and kind of meditate on that for a little
[00:08:04.840 --> 00:08:11.520]   bit, but what I want to contrast is, previously, Apostle Paul in the description of our deadness,
[00:08:11.520 --> 00:08:15.040]   he talked about actually the lowering that we had.
[00:08:15.040 --> 00:08:20.880]   Meaning, previously, he described us by saying we were dead, and then you were oppressed,
[00:08:20.880 --> 00:08:21.880]   and then you were just indulging.
[00:08:21.880 --> 00:08:28.440]   You've been basically existing, rolling around in the mud, right, following your lusts.
[00:08:28.440 --> 00:08:33.320]   And then to contrast that by saying, and that he made you alive, he raised you, and then
[00:08:33.320 --> 00:08:34.320]   he seated you.
[00:08:34.320 --> 00:08:38.000]   What an amazing, amazing work of God.
[00:08:38.000 --> 00:08:43.760]   Now another thing that we want to observe, we observe that some of these terms are actually,
[00:08:43.760 --> 00:08:47.800]   if you look at all these terms, it's like past tense.
[00:08:47.800 --> 00:08:50.120]   But there's something strange about that, right?
[00:08:50.120 --> 00:08:56.600]   You observe that being seated, like with him in the heavenlies, that's for future, isn't
[00:08:56.600 --> 00:08:57.600]   it?
[00:08:57.600 --> 00:08:59.480]   Isn't that glorification?
[00:08:59.480 --> 00:09:01.600]   Something that's coming our way?
[00:09:01.600 --> 00:09:05.640]   But instead, it's talked about as in the past tense.
[00:09:05.640 --> 00:09:09.720]   Now when you think about this, as a matter of fact, there's a lot of scripture, there's
[00:09:09.720 --> 00:09:14.200]   a lot of things that we know that when we start thinking about sequence of time, it's
[00:09:14.200 --> 00:09:16.080]   kind of difficult to understand.
[00:09:16.080 --> 00:09:21.200]   But there's something for us to really glean from all that, which is this.
[00:09:21.200 --> 00:09:27.720]   The way that God is perceiving his work towards us is not just simply sequence of operation,
[00:09:27.720 --> 00:09:28.880]   is it?
[00:09:28.880 --> 00:09:33.480]   We're talking about spiritual realities that are true for us.
[00:09:33.480 --> 00:09:35.960]   We're talking about spiritual realities that are true for us.
[00:09:35.960 --> 00:09:37.280]   What am I saying?
[00:09:37.280 --> 00:09:42.560]   That in God's perspective, his work is already finished.
[00:09:42.560 --> 00:09:49.160]   In God's perspective, God's masterful plan, in God's perspective, the things that he has
[00:09:49.160 --> 00:09:53.320]   laid out, he has laid out already set in the distant past.
[00:09:53.320 --> 00:09:57.000]   He said before the foundation of the world.
[00:09:57.000 --> 00:10:00.280]   And the way that he thinks of it, it's good as done.
[00:10:00.280 --> 00:10:05.600]   For us then, there can be this weird misconception that because we live in such kind of like
[00:10:05.600 --> 00:10:09.360]   a linear timeline, we're thinking, okay, we're justified, we're sanctified, and then we're
[00:10:09.360 --> 00:10:12.960]   glorified, and this needs to happen, and then that needs to happen, and we like to cut it
[00:10:12.960 --> 00:10:15.560]   clean.
[00:10:15.560 --> 00:10:22.360]   But actually when you think about it, including our sanctification, including our glorification,
[00:10:22.360 --> 00:10:27.880]   there is a sense to the already, these are spiritual realities that you possess.
[00:10:27.880 --> 00:10:29.240]   Have you ever thought about this?
[00:10:29.240 --> 00:10:34.480]   Scripture says that if anybody is in Christ, he is a new man.
[00:10:34.480 --> 00:10:40.800]   Well, then therefore, the glorification, the sanctification that we're supposed to be progressively
[00:10:40.800 --> 00:10:46.600]   working on, those things are conceived to be already yours to some degree, right?
[00:10:46.600 --> 00:10:51.120]   So there's what I'm saying is an already, and also a not yet.
[00:10:51.120 --> 00:10:53.560]   What am I saying that we should glean from this?
[00:10:53.560 --> 00:11:00.440]   Is man, when we think about appreciating God's work for us, take some time to meditate on
[00:11:00.440 --> 00:11:02.560]   that.
[00:11:02.560 --> 00:11:08.680]   For us, when we think about reasons to really worship, for us, when we're thinking about
[00:11:08.680 --> 00:11:13.960]   reasons to really praise, there should be in our hearts this overwhelming feeling of
[00:11:13.960 --> 00:11:19.320]   like, oh my goodness, I have already been blessed, right?
[00:11:19.320 --> 00:11:21.120]   I've already been blessed.
[00:11:21.120 --> 00:11:25.160]   It isn't that the way pretty much that the whole book began, blessed be God, the Father
[00:11:25.160 --> 00:11:30.080]   of our Lord Jesus Christ, who's blessed us with every spiritual blessing in the heavenly
[00:11:30.080 --> 00:11:31.080]   places.
[00:11:31.080 --> 00:11:35.000]   But then there's a question for you and me.
[00:11:35.000 --> 00:11:40.520]   Are we experiencing, even in the sentiment, that kind of blessedness?
[00:11:40.520 --> 00:11:46.680]   Are we experiencing this kind of the spiritual realities are already yours?
[00:11:46.680 --> 00:11:51.800]   This kind of the riches of the glories of God are already yours?
[00:11:51.800 --> 00:11:54.340]   And that's a question and challenge for us.
[00:11:54.340 --> 00:11:58.600]   Now I want to make a third observation within this, when there's this, within this section
[00:11:58.600 --> 00:12:05.240]   about the saving work of God, which is, if we notice one of the highlights of this section
[00:12:05.240 --> 00:12:12.960]   is a repeated idea, again, that all these works of God are to us in Christ.
[00:12:12.960 --> 00:12:14.360]   Okay?
[00:12:14.360 --> 00:12:20.940]   So first was thinking through God has made us alive, raised us and seated us.
[00:12:20.940 --> 00:12:27.200]   Second is working through the idea that there is an already accomplished tense to the blessings
[00:12:27.200 --> 00:12:32.880]   of God, and then this third part is that is all in the union with Christ.
[00:12:32.880 --> 00:12:33.880]   Okay?
[00:12:33.880 --> 00:12:39.600]   The third observation for you is this is all in our union with Christ.
[00:12:39.600 --> 00:12:42.120]   Please take some time to just meditate on this truth.
[00:12:42.120 --> 00:12:45.960]   Again, I'm going to use that term quite a bit that we need to meditate on these truths
[00:12:45.960 --> 00:12:51.280]   because the first three chapters of Ephesians is all about us understanding and knowing
[00:12:51.280 --> 00:12:54.200]   the truths that God has for us.
[00:12:54.200 --> 00:13:02.600]   But take some time to think about this, this amazing, perfect union that we have with Christ.
[00:13:02.600 --> 00:13:05.000]   This is to us our salvation.
[00:13:05.000 --> 00:13:07.160]   This is to us our completeness.
[00:13:07.160 --> 00:13:09.880]   This is everything to us.
[00:13:09.880 --> 00:13:15.120]   All the blessings that we have is in Christ.
[00:13:15.120 --> 00:13:19.360]   Meditate with me on this kind of strange and weird statement.
[00:13:19.360 --> 00:13:24.640]   Whatever is true of Christ is true of you for salvation.
[00:13:24.640 --> 00:13:26.480]   Okay?
[00:13:26.480 --> 00:13:30.980]   If I say whatever is true of Christ is true of you, automatically we should be feeling
[00:13:30.980 --> 00:13:34.640]   a little bit uncomfortable because Christ is so far beyond us.
[00:13:34.640 --> 00:13:36.200]   He transcends us.
[00:13:36.200 --> 00:13:37.940]   His holiness is perfect.
[00:13:37.940 --> 00:13:39.200]   His knowledge is perfect.
[00:13:39.200 --> 00:13:41.100]   His righteousness is perfect.
[00:13:41.100 --> 00:13:44.480]   Everything about him is perfect.
[00:13:44.480 --> 00:13:48.860]   And so for us to say what is true of Christ is true of you, automatically that should
[00:13:48.860 --> 00:13:52.960]   make us feel uneasy, and rightly so.
[00:13:52.960 --> 00:13:54.120]   Why?
[00:13:54.120 --> 00:14:00.120]   Because he is before us, he is far above and beyond us, and we are absolutely unworthy
[00:14:00.120 --> 00:14:01.780]   of him.
[00:14:01.780 --> 00:14:03.880]   That is a truth.
[00:14:03.880 --> 00:14:05.440]   But think about this.
[00:14:05.440 --> 00:14:13.500]   To us in our salvation, the only way we were saved is to be saved in the person of Christ.
[00:14:13.500 --> 00:14:20.600]   There is a spiritual, miraculous, almost indescribable power of God exercised where you're united
[00:14:20.600 --> 00:14:21.800]   with him.
[00:14:21.800 --> 00:14:25.760]   And therefore, because Christ died, you die.
[00:14:25.760 --> 00:14:28.020]   Because Christ has suffered, you have suffered.
[00:14:28.020 --> 00:14:29.720]   Because he rose, you rose.
[00:14:29.720 --> 00:14:34.180]   Because he pleases God, when God looks upon you, you please him.
[00:14:34.180 --> 00:14:38.180]   Because Christ is glorified, so are you.
[00:14:38.180 --> 00:14:39.480]   And I want you to think about that.
[00:14:39.480 --> 00:14:44.780]   You know, in our table we were just kind of thinking about how this is effective in the
[00:14:44.780 --> 00:14:46.460]   gospel.
[00:14:46.460 --> 00:14:52.400]   Let's take a moment just to meditate upon the ramifications of how we even describe
[00:14:52.400 --> 00:14:55.820]   the gospel in certain scenarios.
[00:14:55.820 --> 00:15:03.540]   One, because of recent talks of the corruptions of different religions and cults or whatever
[00:15:03.540 --> 00:15:09.740]   it may be, because there's constant like talks of like, let's say, even pedophilia within
[00:15:09.740 --> 00:15:11.940]   Catholicism or whatever it may be.
[00:15:11.940 --> 00:15:16.140]   There's lots of talks about the horrendous sins that even like, you know, religious people
[00:15:16.140 --> 00:15:17.140]   do.
[00:15:17.140 --> 00:15:18.140]   Okay.
[00:15:18.140 --> 00:15:20.300]   Now within that, there's this question.
[00:15:20.300 --> 00:15:22.060]   And God saves those people too?
[00:15:22.060 --> 00:15:23.940]   Well, think about this.
[00:15:23.940 --> 00:15:29.100]   When we talk about the gospel, we are talking about not just kind of sinners, we're talking
[00:15:29.100 --> 00:15:30.340]   about worst of sinners.
[00:15:30.340 --> 00:15:33.780]   So we should be imagining the worst scenario possible.
[00:15:33.780 --> 00:15:35.380]   And what is that?
[00:15:35.380 --> 00:15:43.300]   If you take an individual who is a repeat offending pedophile, right?
[00:15:43.300 --> 00:15:47.120]   Which is like the worst, the absolute worst.
[00:15:47.120 --> 00:15:54.060]   To our human logic, that individual needs to pay.
[00:15:54.060 --> 00:15:56.500]   Is the Christian gospel for that individual?
[00:15:56.500 --> 00:15:58.860]   And our answer is yes.
[00:15:58.860 --> 00:16:00.180]   How so?
[00:16:00.180 --> 00:16:05.860]   Because that individual in his payment, if he places faith on Christ, guess what?
[00:16:05.860 --> 00:16:07.340]   He's going to pay to the full.
[00:16:07.340 --> 00:16:08.340]   Why?
[00:16:08.340 --> 00:16:13.020]   Because he's going to suffer and die just like Christ suffered and died.
[00:16:13.020 --> 00:16:15.180]   The sacrifice of Christ is true for him.
[00:16:15.180 --> 00:16:16.820]   He died.
[00:16:16.820 --> 00:16:24.100]   He needs the worst, the greatest horrible pain and punishment possibly inflicted.
[00:16:24.100 --> 00:16:28.380]   If he places faith on Christ, it's going to be true.
[00:16:28.380 --> 00:16:30.740]   The crucifixion is going to be true.
[00:16:30.740 --> 00:16:31.740]   Why?
[00:16:31.740 --> 00:16:36.220]   Because any man who places faith on Christ has died with him.
[00:16:36.220 --> 00:16:37.620]   Yes?
[00:16:37.620 --> 00:16:38.620]   Think about that.
[00:16:38.620 --> 00:16:44.100]   It's pretty crazy to think about that in our union with Christ, then we are truly afforded
[00:16:44.100 --> 00:16:45.100]   everything.
[00:16:45.100 --> 00:16:47.460]   We're truly afforded everything.
[00:16:47.460 --> 00:16:52.980]   And that's why this whole series, in our study through the book of Ephesians, that's why
[00:16:52.980 --> 00:16:58.460]   I entitled it "Every Blessing in Christ," because it's such an emphatic point of the
[00:16:58.460 --> 00:17:00.220]   entire book.
[00:17:00.220 --> 00:17:02.100]   Now let's move on.
[00:17:02.100 --> 00:17:03.100]   Let's move on.
[00:17:03.100 --> 00:17:04.100]   Okay?
[00:17:04.100 --> 00:17:07.060]   Point two, or section two.
[00:17:07.060 --> 00:17:13.420]   In section two, one of the questions that I asked was, "What is the main objective or
[00:17:13.420 --> 00:17:17.740]   goal that God has displayed in this passage?"
[00:17:17.740 --> 00:17:21.220]   The grand purpose of salvation is another way to put it.
[00:17:21.220 --> 00:17:26.860]   And what we see is, he says, "So that in the ages to come, he might show the surpassing
[00:17:26.860 --> 00:17:32.260]   riches of his grace in kindness towards us in Christ Jesus."
[00:17:32.260 --> 00:17:33.420]   Okay?
[00:17:33.420 --> 00:17:38.540]   Let's take a moment to really just kind of put a stake down and just meditate on that
[00:17:38.540 --> 00:17:42.060]   for a little bit, right?
[00:17:42.060 --> 00:17:47.660]   He just says very clearly, "So that," this is the purpose, "that in the ages to come,
[00:17:47.660 --> 00:17:50.880]   he might show the surpassing riches of his grace."
[00:17:50.880 --> 00:17:55.860]   If we were to put it into our own words, we can summarize that by saying that God is going
[00:17:55.860 --> 00:18:00.340]   to be glorified for his incredible love, right?
[00:18:00.340 --> 00:18:06.500]   For his rich mercy, for his kindness, for the love that he lavished upon us.
[00:18:06.500 --> 00:18:09.740]   The goal of God is the glory of God.
[00:18:09.740 --> 00:18:10.740]   That's it.
[00:18:10.740 --> 00:18:15.100]   And it doesn't take a genius to extrapolate that from the passage.
[00:18:15.100 --> 00:18:22.920]   And so immediately, our question should be, if this is the goal of God, is this your goal?
[00:18:22.920 --> 00:18:29.320]   If this is the purpose of God in his working and might, is this your ambition?
[00:18:29.320 --> 00:18:33.800]   Because truthfully speaking, this right here, in terms of glorifying God for his incredible
[00:18:33.800 --> 00:18:41.720]   salvation which exhibits his incredible sacrificial love, this is to us the foundation.
[00:18:41.720 --> 00:18:45.200]   This is to us the deep well from which we do everything.
[00:18:45.200 --> 00:18:47.340]   This is to us the great treasure.
[00:18:47.340 --> 00:18:50.180]   This is to us the incredible riches.
[00:18:50.180 --> 00:18:52.540]   This is to us our everything.
[00:18:52.540 --> 00:18:59.620]   And the fact of the matter is, if, if for us, we lose sight of the incredible, glorious,
[00:18:59.620 --> 00:19:06.100]   surpassing mercies of God, if I don't have a stirring appreciation for the rich, rich,
[00:19:06.100 --> 00:19:10.180]   lavishing love of Christ, then I'm completely missing it.
[00:19:10.180 --> 00:19:11.180]   I missed the train.
[00:19:11.180 --> 00:19:13.820]   I don't understand why people are in a hurry to go.
[00:19:13.820 --> 00:19:16.500]   I don't understand why people are in a hurry to come to worship.
[00:19:16.500 --> 00:19:18.780]   I don't understand why people are doing anything.
[00:19:18.780 --> 00:19:20.980]   I missed the whole thing.
[00:19:20.980 --> 00:19:23.620]   Now I want to share with you a thought.
[00:19:23.620 --> 00:19:27.380]   The pastors, we had like a, we had lunch on Tuesday and we were just kind of ruminating
[00:19:27.380 --> 00:19:29.280]   about this passage.
[00:19:29.280 --> 00:19:38.580]   And we were thinking, if an individual in his first step, foundation, in his first primary
[00:19:38.580 --> 00:19:47.260]   heart condition, if he does not love and see the glory of God's grace towards us, then
[00:19:47.260 --> 00:19:51.420]   to love even the church is a most dangerous thing.
[00:19:51.420 --> 00:19:54.020]   I'm going to repeat that.
[00:19:54.020 --> 00:19:59.820]   To our community, one of the most dangerous people is not the guy going, "Hey, let's go
[00:19:59.820 --> 00:20:01.420]   worship something else," right?
[00:20:01.420 --> 00:20:04.740]   "Hey, believe in this false theology."
[00:20:04.740 --> 00:20:09.980]   One of the most dangerous things that can happen to our church is somebody who literally
[00:20:09.980 --> 00:20:12.380]   just loves the church as their everything.
[00:20:12.380 --> 00:20:14.180]   This is their thing.
[00:20:14.180 --> 00:20:19.420]   They love church, but they don't primarily have a love for Christ.
[00:20:19.420 --> 00:20:20.420]   Why?
[00:20:20.420 --> 00:20:24.660]   Because that means if our Lord Jesus Christ takes our church a different direction, if
[00:20:24.660 --> 00:20:29.420]   that means the church is growing and changing, if that means the church is growing and moving
[00:20:29.420 --> 00:20:34.540]   without that person, guess what that person is going to do?
[00:20:34.540 --> 00:20:39.460]   Out of their so-called love for the church, they're going to resist Christ's leading.
[00:20:39.460 --> 00:20:41.740]   Does that make sense?
[00:20:41.740 --> 00:20:44.700]   Out of their dedication, "No, the church has to stay the same.
[00:20:44.700 --> 00:20:47.100]   I love this thing."
[00:20:47.100 --> 00:20:51.300]   They could literally be at odds with the purposes of Christ.
[00:20:51.300 --> 00:20:56.060]   Another way to think about it is the most dangerous person is a person who loves theology,
[00:20:56.060 --> 00:21:01.660]   knowledge, and scripture with no idea of what it means to appreciate the love of Christ.
[00:21:01.660 --> 00:21:02.740]   Why?
[00:21:02.740 --> 00:21:06.260]   Because then every time they are learning and every time they're gaining in knowledge,
[00:21:06.260 --> 00:21:08.020]   it goes into the wrong bucket.
[00:21:08.020 --> 00:21:11.140]   Why are you doing that?
[00:21:11.140 --> 00:21:12.980]   Why are you doing that?
[00:21:12.980 --> 00:21:15.940]   It goes into the bucket of their own accolades, their pride.
[00:21:15.940 --> 00:21:19.380]   It goes into the bucket or their waist belt of weapons to use against people.
[00:21:19.380 --> 00:21:20.380]   "What are you doing?
[00:21:20.380 --> 00:21:22.180]   What are you doing?"
[00:21:22.180 --> 00:21:27.740]   That's what happens when you do not have the first and foremost sight to see the riches
[00:21:27.740 --> 00:21:30.260]   of the grace of God.
[00:21:30.260 --> 00:21:37.940]   To us, our primary ambition should be the primary goal God has said is why he saves.
[00:21:37.940 --> 00:21:39.740]   It's for his own glory.
[00:21:39.740 --> 00:21:40.900]   It's for his own glory.
[00:21:40.900 --> 00:21:43.380]   I want to highlight a passage to you.
[00:21:43.380 --> 00:21:50.420]   This passage comes from Isaiah 48, verses 9 through 11.
[00:21:50.420 --> 00:21:56.260]   God says this, "For my name's sake, I defer my anger.
[00:21:56.260 --> 00:22:01.180]   For the sake of my praise, I restrain it for you, that I may not cut you off.
[00:22:01.180 --> 00:22:04.220]   Behold, I have refined you, but not as silver.
[00:22:04.220 --> 00:22:07.100]   I have tried you in the furnace of affliction.
[00:22:07.100 --> 00:22:11.140]   For my own sake, I do it.
[00:22:11.140 --> 00:22:13.820]   For how should my name be profaned?
[00:22:13.820 --> 00:22:18.140]   My glory I will not give to another."
[00:22:18.140 --> 00:22:21.780]   That repetition you find in this passage, I did not add it for emphasis.
[00:22:21.780 --> 00:22:25.300]   Those are God's word.
[00:22:25.300 --> 00:22:30.580]   God acts in accordance with his glory, and therefore, ultimately, the incredible salvation
[00:22:30.580 --> 00:22:34.260]   that we see is not just because.
[00:22:34.260 --> 00:22:37.180]   It's for his glory.
[00:22:37.180 --> 00:22:41.100]   And so that to us has to be our great, great ambition.
[00:22:41.100 --> 00:22:46.540]   Now, moving forward to the next section, in section three, the logic then of God's glory.
[00:22:46.540 --> 00:22:47.540]   Why do I say that?
[00:22:47.540 --> 00:22:53.380]   It's because when you observe this passage, notice how he has various statements that
[00:22:53.380 --> 00:22:56.620]   says, "So that," and then you have your purpose, right?
[00:22:56.620 --> 00:22:58.140]   You have your purpose.
[00:22:58.140 --> 00:23:02.900]   But then the passage begins to continue to flow, where in verse eight, he begins with
[00:23:02.900 --> 00:23:09.300]   the preposition "for," and then verse 10 also has that same term, "for."
[00:23:09.300 --> 00:23:13.180]   Which means what I'm saying is that grand purpose statement of God, that he might show
[00:23:13.180 --> 00:23:18.820]   his surpassing riches, is supported, or at least explained, right?
[00:23:18.820 --> 00:23:22.500]   Supported or explained and extrapolated by those two thoughts.
[00:23:22.500 --> 00:23:27.220]   One, "For by grace you have been saved through faith, and that not of yourselves, it is the
[00:23:27.220 --> 00:23:31.500]   gift of God, not as a result of works, so that no one may boast."
[00:23:31.500 --> 00:23:37.100]   Verse 10, "For we are his workmanship, created in Christ Jesus for good works, which God
[00:23:37.100 --> 00:23:41.260]   prepared beforehand, so that we would walk in them."
[00:23:41.260 --> 00:23:42.260]   So think about this.
[00:23:42.260 --> 00:23:45.500]   If I were to summarize that, I would summarize it like this.
