
[00:00:00.000 --> 00:00:06.840]   We're on lesson six.
[00:02:56.720 --> 00:02:57.720]   for a certain book.
[00:02:57.720 --> 00:03:06.520]   The whole library is divided not by date, but the whole library is divided up by genre.
[00:03:06.520 --> 00:03:10.960]   You have your fictional section, you have your teeny bopper stuff on one side, you have
[00:03:10.960 --> 00:03:14.320]   your children's books, and so forth, right?
[00:03:14.320 --> 00:03:21.920]   And you do realize that likewise, the scriptures, it's not organized strictly in a timeline.
[00:03:21.920 --> 00:03:28.320]   A bunch of the Old Testament is, but actually the scriptures itself is collected by genre.
[00:03:28.320 --> 00:03:33.080]   So instinctively, when we walk into even, again, a library or whatnot, or instinctively
[00:03:33.080 --> 00:03:39.000]   when you approach your Bible, there is this knowledge that within the text, there are
[00:03:39.000 --> 00:03:41.000]   different types.
[00:03:41.000 --> 00:03:47.760]   And so, I'm going to bust out my remote here, bam.
[00:03:47.760 --> 00:03:52.680]   Essentially, when we're talking about genre, all we're talking about is the type of text
[00:03:52.680 --> 00:03:54.640]   that we're looking at, okay?
[00:03:54.640 --> 00:04:00.680]   The type of text has various elements that gives us the indication that it is a different
[00:04:00.680 --> 00:04:01.760]   type.
[00:04:01.760 --> 00:04:06.200]   The first is content and the content style, okay?
[00:04:06.200 --> 00:04:13.400]   What we're talking about is, obviously, we have sentences and paragraphs, but what kind
[00:04:13.400 --> 00:04:20.200]   of literary devices, what kind of expressions and verbal elements is this passage using,
[00:04:20.200 --> 00:04:21.240]   okay?
[00:04:21.240 --> 00:04:26.160]   And so, for those of you guys who are English majors, you've got a heads up on us.
[00:04:26.160 --> 00:04:29.560]   You learned about different types of literary devices.
[00:04:29.560 --> 00:04:35.040]   You learned about whether it be idioms, or you learned about expressive sayings, or metaphors
[00:04:35.040 --> 00:04:37.800]   and similes, and all that kind of stuff, right?
[00:04:37.800 --> 00:04:43.320]   So that kind of expressive speech, the figures of speech in the content of the passage that
[00:04:43.320 --> 00:04:48.760]   you're studying, gives you an indication immediately of, hey, this could be a certain genre.
[00:04:48.760 --> 00:04:49.760]   What's more?
[00:04:49.760 --> 00:04:52.360]   The form, okay?
[00:04:52.360 --> 00:04:55.320]   The form and structure.
[00:04:55.320 --> 00:05:00.620]   Immediately as you open up, obviously, to the Book of Psalms, you see the sentence structure
[00:05:00.620 --> 00:05:03.280]   of its parallelism.
[00:05:03.280 --> 00:05:07.560]   When you look at, you know, let's say even a narrative, you have different segments.
[00:05:07.560 --> 00:05:12.080]   You have movements within it, and how it's organized, of whether there's a conflict and
[00:05:12.080 --> 00:05:14.520]   resolution, right?
[00:05:14.520 --> 00:05:19.200]   You look at even epistles, and you have a certain structure where a lot of times the
[00:05:19.200 --> 00:05:23.200]   apostle will write certain doctrines and then give you exhortation.
[00:05:23.200 --> 00:05:26.200]   There is a sense of form and structure to the writings that we see.
[00:05:26.200 --> 00:05:31.520]   But one of the most important things is the function, okay?
[00:05:31.520 --> 00:05:34.040]   Understanding its intent and purpose.
[00:05:34.040 --> 00:05:37.160]   What is this designed to do?
[00:05:37.160 --> 00:05:42.960]   And we realize that the biblical authors and God, as he ordained even the way that it's
[00:05:42.960 --> 00:05:49.800]   written, has an intent of writing certain things in certain forms, or I guess certain,
[00:05:49.800 --> 00:05:54.480]   you know, styles and types, so that it accomplishes a purpose.
[00:05:54.480 --> 00:05:59.280]   Whether it's to illustrate, whether it's to give you clear teaching, whether it's to move
[00:05:59.280 --> 00:06:02.840]   you, inspire you, give you hope, right?
[00:06:02.840 --> 00:06:06.640]   The form matches its function, its purpose.
[00:06:06.640 --> 00:06:13.720]   So again, all I want to say with this is that there exists in the scriptures literary genres,
[00:06:13.720 --> 00:06:17.560]   and it's very important for us to pay attention to them.
[00:06:17.560 --> 00:06:21.080]   And I just want to say again, it's intuitive for us.
[00:06:21.080 --> 00:06:27.160]   You know, I don't know if some of you guys are into like home decor, interior design,
[00:06:27.160 --> 00:06:30.320]   some of you guys into, you know, architecture and stuff like that.
[00:06:30.320 --> 00:06:37.280]   When you walk into a house, you walk in and you understand living room, kitchen, right?
[00:06:37.280 --> 00:06:42.200]   And what that does for you is it starts to build essentially a framework.
[00:06:42.200 --> 00:06:45.240]   You understand what kind of things should go.
[00:06:45.240 --> 00:06:46.840]   Kitchen needs this, why?
[00:06:46.840 --> 00:06:47.840]   For its intended purpose.
[00:06:47.840 --> 00:06:50.040]   Does that make sense?
[00:06:50.040 --> 00:06:54.920]   And so I use that example to show us that essentially the importance of understanding
[00:06:54.920 --> 00:06:59.720]   genre will help us have the right approach and expectation.
[00:06:59.720 --> 00:07:03.320]   So on your packet there, there's a lot of blanks on the first page.
[00:07:03.320 --> 00:07:05.960]   Somebody actually accidentally took my teaching notes.
[00:07:05.960 --> 00:07:06.960]   You have all the answers.
[00:07:06.960 --> 00:07:10.640]   But anyway, there's a lot of things on the first page here.
[00:07:10.640 --> 00:07:15.240]   The first one there is underneath why it's important is because it guides our approach
[00:07:15.240 --> 00:07:18.440]   and expectation of the passage.
[00:07:18.440 --> 00:07:24.900]   We realize and we have to confess that sometimes we're looking for something when we go to
[00:07:24.900 --> 00:07:26.640]   the text.
[00:07:26.640 --> 00:07:30.280]   Whether it is because you're struggling, you need because you need encouragement, I don't
[00:07:30.280 --> 00:07:31.280]   know.
[00:07:31.280 --> 00:07:37.160]   Different circumstances of our lives, in certain positions, we go to this text wanting to hear
[00:07:37.160 --> 00:07:39.680]   something, right?
[00:07:39.680 --> 00:07:44.600]   And in that kind of circumstance, it puts us in a dangerous situation.
[00:07:44.600 --> 00:07:49.360]   But the genre and context of the passage is actually giving for us parameters of what
[00:07:49.360 --> 00:07:51.240]   we can actually expect from it.
[00:07:51.240 --> 00:07:53.000]   Does that make sense?
[00:07:53.000 --> 00:07:54.000]   What's more?
[00:07:54.000 --> 00:08:01.340]   It helps us to understand the overall purpose and intent of that passage, okay?
[00:08:01.340 --> 00:08:06.400]   It helps us to understand the overall purpose and intent of the passage.
[00:08:06.400 --> 00:08:12.220]   And then lastly, it prevents us from making the kind of mistakes that oftentimes we see
[00:08:12.220 --> 00:08:14.340]   in Bible interpretation.
[00:08:14.340 --> 00:08:19.980]   A lot of times the mistakes are gonna, I'm gonna summarize as going out of bounds, right?
[00:08:19.980 --> 00:08:22.260]   Going out of bounds.
[00:08:22.260 --> 00:08:29.540]   Basically, what I'm presenting to you is that the study of genre helps us to build a framework,
[00:08:29.540 --> 00:08:33.260]   overall structure by which you can pretty much hang your, you know, your co-hangers
[00:08:33.260 --> 00:08:38.260]   and whatnot and have a little framework for you to understand the general whole and then
[00:08:38.260 --> 00:08:43.340]   to make sure also in terms of how you practice interpretation, you stay within its bounds,
[00:08:43.340 --> 00:08:44.340]   okay?
[00:08:44.340 --> 00:08:48.860]   Now, the next couple of portions I'm gonna go over quite quickly.
[00:08:48.860 --> 00:08:55.600]   If you look, I wrote down that there are many different types of genres found in the scriptures.
[00:08:55.600 --> 00:09:00.980]   You look down the list and there's everything from history and narrative, there's the law
[00:09:00.980 --> 00:09:06.080]   and wisdom, and I'm not gonna take time right now to go over every single one.
[00:09:06.080 --> 00:09:08.500]   You can take time to kind of read up on that.
[00:09:08.500 --> 00:09:11.420]   And also, what I highly recommend is this.
[00:09:11.420 --> 00:09:15.440]   At the end of your handout today, I put some resources down for you.
[00:09:15.440 --> 00:09:19.020]   One of the resources that I really like is called Talk Through the Bible.
[00:09:19.020 --> 00:09:23.620]   I used it when I essentially just worked through the Bible in a systematic way.
[00:09:23.620 --> 00:09:27.420]   And it's kind of like an expanded version of if you have a study Bible and it goes over
[00:09:27.420 --> 00:09:33.340]   background, historical context, author, major themes, right?
[00:09:33.340 --> 00:09:39.860]   Essentially, it's a expanded version of that that gives you a more thorough outline, multiple
[00:09:39.860 --> 00:09:43.020]   outlines, keys to this book.
[00:09:43.020 --> 00:09:48.620]   There are some pivotal verses to make sure you maybe even memorize and keep in mind as
[00:09:48.620 --> 00:09:50.560]   you approach that scripture, right?
[00:09:50.560 --> 00:09:52.200]   It's essentially a great help for you.
[00:09:52.200 --> 00:09:55.840]   Now again, for a lot of you, that might be review and whatnot, but this is again important
[00:09:55.840 --> 00:09:59.640]   for us to make sure we understand at least by principle, this is how we approach scripture
[00:09:59.640 --> 00:10:01.320]   to interpret, okay?
[00:10:01.320 --> 00:10:06.460]   So there are many different types of genres found in the text.
[00:10:06.460 --> 00:10:12.200]   What I wanna make mention of is this, and this is super important, okay?
[00:10:12.200 --> 00:10:17.280]   Although in that list I give you, it's not exhaustive.
[00:10:17.280 --> 00:10:22.560]   And what's more, even if I said, "Hey, there are parables in the Gospels," you do realize
[00:10:22.560 --> 00:10:25.360]   there are parables in the Old Testament.
[00:10:25.360 --> 00:10:30.040]   When Nathan rebukes King David, he uses a little parable.
[00:10:30.040 --> 00:10:33.840]   He says, "There was a guy who was poor and had one lamb.
[00:10:33.840 --> 00:10:37.240]   This nasty king took the lamb," right?
[00:10:37.240 --> 00:10:40.080]   And then he made a very pointed point, he says, "That's you."
[00:10:40.080 --> 00:10:43.800]   Parables actually exist all through scripture, Old Testament and New.
[00:10:43.800 --> 00:10:49.760]   What's more, even words of wisdom, these maxims and pithy statements exist all through the
[00:10:49.760 --> 00:10:52.080]   Gospels, in the epistles.
[00:10:52.080 --> 00:10:53.300]   So what's my point with this?
[00:10:53.300 --> 00:10:59.760]   My point is, actually when you practice your interpretation and when you study the Bible,
[00:10:59.760 --> 00:11:04.400]   even the passage that you're at, maybe you're in the New Testament reading Galatians, okay?
[00:11:04.400 --> 00:11:11.480]   In that passage, you should be thinking, "What kinds of literary forms exist in my passage?"
[00:11:11.480 --> 00:11:16.320]   Because even as Apostle Paul is teaching us, he could be using illustrations, he could
[00:11:16.320 --> 00:11:19.280]   be using various devices to help teach.
[00:11:19.280 --> 00:11:21.280]   Does that make sense?
[00:11:21.280 --> 00:11:25.280]   So in each passage, you should actually be taking care to make note of the genre that's
[00:11:25.280 --> 00:11:26.280]   there.
[00:11:26.280 --> 00:11:32.800]   What we're gonna do today is look at two examples of these genres and see how it affects our
[00:11:32.800 --> 00:11:36.200]   interpretation and our understanding of the passage, okay?
[00:11:36.200 --> 00:11:37.800]   All right.
[00:11:37.800 --> 00:11:41.400]   And I know it's a big group and stuff, but any questions?
[00:11:41.400 --> 00:11:42.400]   Okay.
[00:11:42.400 --> 00:11:44.400]   Let's move on.
[00:11:44.400 --> 00:11:47.400]   No, I move.
[00:11:47.400 --> 00:11:49.720]   All right.
[00:11:49.720 --> 00:11:57.800]   Let's take a look at the first example and the thing that we wanna look at is Proverbs,
[00:11:57.800 --> 00:11:58.800]   okay?
[00:11:58.800 --> 00:12:01.800]   Proverbs and wisdom, okay?
[00:12:01.800 --> 00:12:10.600]   Proverbs and wisdom have with it a very interesting element, and I wanna say again that the reason
[00:12:10.600 --> 00:12:15.040]   why I'm starting with the book of Proverbs is because there have been a lot of questions.
[00:12:15.040 --> 00:12:16.800]   How do we interpret it?
[00:12:16.800 --> 00:12:21.320]   There have been a lot of misinterpretations and wrong applications as well deriving from
[00:12:21.320 --> 00:12:22.320]   those.
[00:12:22.320 --> 00:12:31.080]   Well, if you would, please take your Bible and turn to Proverbs chapter 1, okay?
[00:12:31.080 --> 00:12:38.640]   Proverbs chapter 1.
[00:12:38.640 --> 00:12:44.560]   And I'm gonna be reading just a small section here starting from Proverbs chapter 1, verse
[00:12:44.560 --> 00:12:45.560]   1 through 7.
[00:12:45.560 --> 00:12:52.240]   And he says, "The Proverbs of Solomon, the son of David, king of Israel.
[00:12:52.240 --> 00:12:58.440]   To know wisdom and instruction, to discern the sayings of understanding, to receive instruction
[00:12:58.440 --> 00:13:04.520]   in wise behavior, righteousness, justice, and equity, to give prudence to the naive,
[00:13:04.520 --> 00:13:08.720]   to the youth, knowledge, and discretion, a wise man will hear an increase in learning
[00:13:08.720 --> 00:13:12.060]   and a man of understanding will acquire wise counsel.
[00:13:12.060 --> 00:13:16.520]   To understand a proverb and a figure, the words of the wise and their riddles, the fear
[00:13:16.520 --> 00:13:18.680]   of the Lord is the beginning of knowledge.
[00:13:18.680 --> 00:13:21.160]   Fools despise wisdom and instruction."
[00:13:21.160 --> 00:13:22.160]   Right?
[00:13:23.160 --> 00:13:28.960]   I told you at the beginning that oftentimes what you see in terms of content, it's expression,
[00:13:28.960 --> 00:13:31.480]   but also it's function.
[00:13:31.480 --> 00:13:36.820]   Very clearly here, King Solomon is saying, "This is my purpose for writing all these
[00:13:36.820 --> 00:13:39.600]   Proverbs together in this book."
[00:13:39.600 --> 00:13:43.220]   He wants to make the naive and simple wise up.
[00:13:43.220 --> 00:13:49.880]   He wants the individual to understand sayings of the wise, of those who have gone before.
[00:13:49.880 --> 00:13:53.960]   He wants us to understand what is righteousness and what is not righteousness and be able
[00:13:53.960 --> 00:13:56.720]   to observe the difference between the two.
[00:13:56.720 --> 00:13:57.720]   Okay?
[00:13:57.720 --> 00:14:06.120]   And if you look also in chapter two, okay, in chapter two, he reiterates his purpose.
[00:14:06.120 --> 00:14:11.160]   Verse one, he says, "My son, if you will receive my words and treasure my commandments within
[00:14:11.160 --> 00:14:15.200]   you, make your ear attentive to wisdom, incline your heart to understanding.
[00:14:15.200 --> 00:14:19.000]   For if you cry for discernment, lift your voice for understanding.
[00:14:19.000 --> 00:14:24.600]   If you seek her as silver and search her as for hidden treasure, then you will discern
[00:14:24.600 --> 00:14:29.040]   the fear of the Lord and discover the knowledge of God."
[00:14:29.040 --> 00:14:30.960]   Right?
[00:14:30.960 --> 00:14:38.120]   So here he's talking about your own hunger and desire for wisdom, and then it's the resulting
[00:14:38.120 --> 00:14:40.880]   consequence, which is what?
[00:14:40.880 --> 00:14:42.880]   Big mansions?
[00:14:42.880 --> 00:14:44.160]   Big houses?
[00:14:44.160 --> 00:14:45.520]   Big cars?
[00:14:45.520 --> 00:14:46.520]   Big bank?
[00:14:46.520 --> 00:14:47.520]   No.
[00:14:47.520 --> 00:14:52.120]   He says what you'll arrive at is this discernment of who is God.
[00:14:52.120 --> 00:14:54.200]   What you'll arrive at is wisdom.
[00:14:54.200 --> 00:14:55.200]   Okay?
[00:14:55.200 --> 00:15:00.880]   And so that's where we want to start off to frame how we want to understand the book of
[00:15:00.880 --> 00:15:01.880]   Proverbs.
[00:15:01.880 --> 00:15:06.440]   So, I want to give a definition.
[00:15:06.440 --> 00:15:15.400]   And first, the book of Proverbs are short wisdom sayings that expresses general truth.
[00:15:15.400 --> 00:15:16.840]   Okay?
[00:15:16.840 --> 00:15:19.960]   What's more?
[00:15:19.960 --> 00:15:25.040]   These are short wisdom sayings that expresses general reality.
[00:15:25.040 --> 00:15:26.320]   Okay?
[00:15:26.320 --> 00:15:31.320]   These are aphorisms that, you know, these pithy statements that state the general reality
[00:15:31.320 --> 00:15:33.080]   and state of affairs.
[00:15:33.080 --> 00:15:34.280]   Okay?
[00:15:34.280 --> 00:15:37.280]   You think through the book of Ecclesiastes.
[00:15:37.280 --> 00:15:38.680]   What is that?
[00:15:38.680 --> 00:15:44.040]   When a huge chunk of it's 12 chapters, but the vast majority of it, essentially King
[00:15:44.040 --> 00:15:48.920]   Solomon summarizes, he says, "I pursued all the wealth I could possibly have.
[00:15:48.920 --> 00:15:51.880]   I pursued all the pleasure I could possibly have.
[00:15:51.880 --> 00:15:54.600]   And I pursued all the knowledge I could possibly have.
[00:15:54.600 --> 00:15:55.600]   And then I observed vanity."
[00:15:55.600 --> 00:15:58.600]   Vanity, vanity, vanity, vanity, vanity.
[00:15:58.600 --> 00:15:59.600]   Right?
[00:15:59.600 --> 00:16:00.600]   What is that?
[00:16:00.600 --> 00:16:03.000]   Well, it's wisdom.
[00:16:03.000 --> 00:16:09.840]   Because truthfully speaking, when I talk to people who've really not, you know, tried
[00:16:09.840 --> 00:16:16.120]   to live this life to the deceptive, like, promises, but rather live this life aware
[00:16:16.120 --> 00:16:20.760]   of all the empty promises that this life has, they will concur.
[00:16:20.760 --> 00:16:24.560]   Solomon is so wise because all of what he says is quite true.
[00:16:24.560 --> 00:16:27.360]   They'll see the reality like, "What is this?"
[00:16:27.360 --> 00:16:28.360]   Right?
[00:16:28.360 --> 00:16:32.840]   And so a lot of the statements, not every single proverb has the same function or the
[00:16:32.840 --> 00:16:39.480]   same statement, but a lot of these proverbs have a summary of looking at specific circumstances,
[00:16:39.480 --> 00:16:42.600]   a summary of the current state of reality.
[00:16:42.600 --> 00:16:43.600]   Okay?
[00:16:43.600 --> 00:16:49.400]   And what's more, proverbs I see as general principles of life.
[00:16:49.400 --> 00:16:50.520]   Okay?
[00:16:50.520 --> 00:16:55.360]   If you think about it this way, even King Solomon says, "There are these men of wisdom
[00:16:55.360 --> 00:17:01.360]   who've said wise statements, and they give you general principle of life, and I believe
[00:17:01.360 --> 00:17:05.400]   that there is an aspect of art to our Christian living."
[00:17:05.400 --> 00:17:06.400]   Okay?
[00:17:06.400 --> 00:17:08.000]   Let me say that.
[00:17:08.000 --> 00:17:12.200]   I believe there is an aspect of art to our Christian living.
[00:17:12.200 --> 00:17:13.520]   What do I mean by that?
[00:17:13.520 --> 00:17:16.800]   It's because there is a level of skill.
[00:17:16.800 --> 00:17:18.840]   There is a level of wisdom.
[00:17:18.840 --> 00:17:20.200]   Right?
[00:17:20.200 --> 00:17:24.960]   For example, I know that certain animals are incredibly dangerous.
[00:17:24.960 --> 00:17:26.840]   A venomous snake, right?
[00:17:26.840 --> 00:17:28.200]   A venomous snake.
[00:17:28.200 --> 00:17:31.640]   I could have the knowledge that that snake with one bite could kill me.
[00:17:31.640 --> 00:17:33.920]   I could have a knowledge of what kind of snake that is.
[00:17:33.920 --> 00:17:36.400]   I can identify that snake.
[00:17:36.400 --> 00:17:42.420]   But in terms of being able to handle it, what to do with that snake, that's an experience
[00:17:42.420 --> 00:17:48.480]   and skill that certain trainers, that certain zookeepers will have beyond any other individual
[00:17:48.480 --> 00:17:49.480]   at the zoo.
[00:17:50.480 --> 00:17:56.440]   Likewise, there's a certain skill that we learn to handle this life that we have, to
[00:17:56.440 --> 00:18:03.720]   handle the word of God, to appropriately react to our holy God, to even seek to serve and
[00:18:03.720 --> 00:18:04.720]   whatnot.
[00:18:04.720 --> 00:18:06.120]   There is a skill.
[00:18:06.120 --> 00:18:08.200]   There is an experience level that is there.
[00:18:08.200 --> 00:18:13.320]   Well, the book of Proverbs is meant to guide you towards not just simply this is truth
[00:18:13.320 --> 00:18:19.480]   proposition, but it's guiding you towards skill and wisdom to live a life that is fearful
[00:18:19.480 --> 00:18:22.280]   of God abiding in his presence.
[00:18:22.280 --> 00:18:23.280]   Okay?
[00:18:23.280 --> 00:18:28.480]   And so as I think about that, I want to again say that the book of Proverbs when you look
[00:18:28.480 --> 00:18:35.760]   at it is not meant to be taken as like, "Oh, book of Proverbs is teaching me that all X
[00:18:35.760 --> 00:18:38.600]   is Y and all Y is Z."
[00:18:38.600 --> 00:18:40.080]   Does that make sense?
[00:18:40.080 --> 00:18:41.320]   All right.
[00:18:41.320 --> 00:18:49.440]   So now that I've given you just a brief definition of what book of Proverbs in a genre is, we
[00:18:49.440 --> 00:18:52.840]   want to, okay, go to the next part.
[00:18:52.840 --> 00:18:59.700]   I want to give you an example of a New Testament proverb, use of a proverb.
[00:18:59.700 --> 00:19:02.440]   So let me see if I have, I do.
[00:19:02.440 --> 00:19:05.040]   This comes from Galatians chapter six, verse six through 10.
[00:19:05.040 --> 00:19:07.040]   If you want to, you could take a look.
[00:19:07.040 --> 00:19:09.360]   I actually encourage you, please turn your Bibles there.
[00:19:09.360 --> 00:19:15.280]   I only briefly quote it here so that we can kind of see which proverb that I'm talking
[00:19:15.280 --> 00:19:19.680]   about, but you should be looking at the context, right?
[00:19:19.680 --> 00:19:26.040]   So he says here, "Let the one who is taught," I'm going to give you a little bit of time
[00:19:26.040 --> 00:19:27.040]   on that.
[00:19:27.040 --> 00:19:32.040]   He says, "Let the one who is taught the word share all good things with the one who teaches.
[00:19:32.040 --> 00:19:40.400]   Do not be deceived, God is mocked for whatever one sows, that will he also reap."
[00:19:40.400 --> 00:19:44.680]   We know that that statement is repeated several times through scripture.
[00:19:44.680 --> 00:19:47.240]   What you sow, you will reap.
[00:19:47.240 --> 00:19:53.040]   Now if you read this at face value or like right now like this, it's really choppy.
[00:19:53.040 --> 00:19:55.840]   It doesn't make sense.
[00:19:55.840 --> 00:19:59.560]   So it kind of goes from like, "Hey, he who is taught the word share the good stuff with
[00:19:59.560 --> 00:20:01.000]   the one who teaches.
[00:20:01.000 --> 00:20:06.600]   Don't be deceived, God is not mocked, whatever one sows that he will also reap."
[00:20:06.600 --> 00:20:12.640]   So here now we have to ask this question like, what is he saying?
[00:20:12.640 --> 00:20:16.840]   Is he saying like, "Give your pastor lots of good stuff so that he will invest into
[00:20:16.840 --> 00:20:18.340]   you a lot."
[00:20:18.340 --> 00:20:19.840]   Is that what he's talking about?
[00:20:19.840 --> 00:20:23.480]   No, he's not talking about that.
[00:20:23.480 --> 00:20:28.080]   Essentially when you look at the context of it, he talks about how in the book of Galatians,
[00:20:28.080 --> 00:20:30.880]   how we should carry each other's burdens.
[00:20:30.880 --> 00:20:37.480]   How we should care for each other so that we should even care for each other's sins.
[00:20:37.480 --> 00:20:39.760]   That's the context from which it occurs.
[00:20:39.760 --> 00:20:45.000]   And then he starts to go to this and say, "Hey, do not be deceived, God is not mocked
[00:20:45.000 --> 00:20:47.880]   for whatever one sows, that he will also reap."
[00:20:47.880 --> 00:20:52.320]   And then the next passage teaches us that we should not sow to the flesh, but we should
[00:20:52.320 --> 00:20:55.160]   sow in the spirit.
[00:20:55.160 --> 00:20:58.600]   So the context is teaching us just a simple truth.
[00:20:58.600 --> 00:21:02.280]   And I want to encourage us on this level.
[00:21:02.280 --> 00:21:07.280]   There's a principle here that honestly speaking, it's not a hard one.
[00:21:07.280 --> 00:21:09.800]   It's not a hard parable for her to interpret, right?
[00:21:09.800 --> 00:21:11.320]   For what you sow, you will reap.
[00:21:11.320 --> 00:21:13.240]   And it's absolutely right.
[00:21:13.240 --> 00:21:19.120]   A lot of us sometimes we wrestle and we complain about circumstances that are fruit of what
[00:21:19.120 --> 00:21:21.240]   we've been sowing.
[00:21:21.240 --> 00:21:27.880]   If we have been, I don't know, just distracted, if we have been sowing to the flesh by, I
[00:21:27.880 --> 00:21:30.360]   don't know, all the entertainment that we take in.
[00:21:30.360 --> 00:21:33.360]   I'm not going to name specific stuff, but all the entertainment you take in.
[00:21:33.360 --> 00:21:39.040]   Your investment clearly is like you're investing a lot in just entertaining yourself.
[00:21:39.040 --> 00:21:43.720]   You've never said no to yourself, but all you've invested in is constantly self-improvement
[00:21:43.720 --> 00:21:46.080]   and satisfying whatever you want to.
[00:21:46.080 --> 00:21:48.840]   And then you complain like, "Oh, how come I'm not there?
[00:21:48.840 --> 00:21:51.240]   Like how come I'm not spiritually here?
[00:21:51.240 --> 00:21:53.640]   How come I'm not spiritually able to do this?
[00:21:53.640 --> 00:21:54.640]   And how come I'm so dry?
[00:21:54.640 --> 00:21:57.520]   How come I'm so apathetic?"
[00:21:57.520 --> 00:22:02.800]   And then we can just simply state the proverb, "What you sow, you will reap," right?
[00:22:02.800 --> 00:22:08.240]   And we struggle a lot with the things that have consequences or the fruits of our investment.
[00:22:08.240 --> 00:22:13.160]   But here in this specific passage, he's talking about how we should not sow to our flesh,
[00:22:13.160 --> 00:22:15.140]   but we should sow to our spirit.
[00:22:15.140 --> 00:22:20.600]   And then he says in verse 10, "Sow then," so he uses that as a specific application.
[00:22:20.600 --> 00:22:25.240]   He says, "As we have opportunity, let us do good to everyone, especially those who are
[00:22:25.240 --> 00:22:28.240]   in the household of faith."
[00:22:28.240 --> 00:22:34.840]   So here specifically, he's using the proverb to say, "Sow not to yourself, sow not to your
[00:22:34.840 --> 00:22:39.600]   own indulgences, but carry the burdens of your brothers and sisters.
[00:22:39.600 --> 00:22:43.040]   Sow richly into the people around you."
[00:22:43.040 --> 00:22:47.480]   And there is admonition always for us to be rich towards others.
[00:22:47.480 --> 00:22:49.520]   We're very, very generous and rich to ourselves.
[00:22:49.520 --> 00:22:53.400]   He says, "No, be rich to the people around you."
[00:22:53.400 --> 00:22:58.200]   And that's the specific application Apostle Paul has for that proverb.
[00:22:58.200 --> 00:23:06.560]   Now, one of the truths I want to remind us, okay, remind us, is that there are exceptions
[00:23:06.560 --> 00:23:09.080]   to proverbs, okay?
[00:23:09.080 --> 00:23:13.000]   These are, I kept on saying, general truths, general principles.
[00:23:13.000 --> 00:23:19.520]   They have general principles for life, but there are exceptions.
