
[00:00:00.000 --> 00:00:02.740]   (audio cuts out)
[00:01:46.260 --> 00:01:48.000]   Have you guys heard of this term before?
[00:01:48.000 --> 00:01:49.860]   I don't know if you have or not.
[00:01:49.860 --> 00:01:52.560]   But this idea of being missional
[00:01:52.560 --> 00:01:55.460]   is like being kind of intentional.
[00:01:55.460 --> 00:01:59.160]   And we've heard a lot of these types of terms in the past,
[00:01:59.160 --> 00:02:01.120]   like we wanna be a missional church,
[00:02:01.120 --> 00:02:03.280]   we wanna be a healthy church,
[00:02:03.280 --> 00:02:05.720]   we wanna be an intentional person,
[00:02:05.720 --> 00:02:07.960]   we wanna be a church with a vision,
[00:02:07.960 --> 00:02:09.440]   or maybe some of us have heard,
[00:02:09.440 --> 00:02:11.680]   you know, I wanna be more passionate.
[00:02:11.680 --> 00:02:13.640]   These are all carrying the same idea,
[00:02:13.640 --> 00:02:16.040]   and we understand the meaning of it,
[00:02:16.040 --> 00:02:17.700]   of this word missional,
[00:02:17.700 --> 00:02:21.020]   but I feel like maybe it's not very helpful,
[00:02:21.020 --> 00:02:23.380]   it's not necessary to use this word.
[00:02:23.380 --> 00:02:29.360]   Missions, for a long while,
[00:02:29.360 --> 00:02:33.740]   was specifically defined as Christian ministry
[00:02:33.740 --> 00:02:36.160]   done cross-culturally.
[00:02:36.160 --> 00:02:40.560]   Missions is about going to a place that is not your home,
[00:02:40.560 --> 00:02:43.580]   that has a different culture, maybe a different language.
[00:02:43.580 --> 00:02:45.320]   Going to a completely different place
[00:02:45.320 --> 00:02:48.840]   that you don't know about, that you haven't grown up in,
[00:02:48.840 --> 00:02:50.500]   and doing God's work there.
[00:02:50.500 --> 00:02:52.000]   That's what missions is about.
[00:02:52.000 --> 00:02:56.620]   Now, if we use this idea missional in our lives,
[00:02:56.620 --> 00:02:59.800]   it could kinda confuse the idea,
[00:02:59.800 --> 00:03:01.660]   the definition of missions.
[00:03:01.660 --> 00:03:05.920]   And I think that it could also possibly elevate missions
[00:03:05.920 --> 00:03:09.640]   as this spiritual, highly spiritual activity.
[00:03:09.640 --> 00:03:12.240]   Because, you know, we say we wanna be missional,
[00:03:12.240 --> 00:03:13.440]   and so it means like,
[00:03:13.440 --> 00:03:16.080]   oh, because people that go out on missions,
[00:03:16.080 --> 00:03:17.400]   it's such an important thing,
[00:03:17.400 --> 00:03:19.360]   and it's such a spiritual thing,
[00:03:19.360 --> 00:03:23.080]   and so we kinda elevate missions like that.
[00:03:23.080 --> 00:03:27.040]   Or, it can actually lower the idea of missions,
[00:03:27.040 --> 00:03:29.760]   because we say, you know, we could be missional anywhere.
[00:03:29.760 --> 00:03:31.760]   Wherever we go, we could be missional here,
[00:03:31.760 --> 00:03:34.960]   and so we don't necessarily need to go overseas.
[00:03:34.960 --> 00:03:38.800]   In any case, I feel like we don't necessarily need
[00:03:38.800 --> 00:03:41.380]   to use this word missional.
[00:03:41.380 --> 00:03:44.400]   We could just use the word that we've always used,
[00:03:44.400 --> 00:03:47.200]   and that is, we need to be people in a church
[00:03:47.200 --> 00:03:48.440]   that make disciples.
[00:03:49.440 --> 00:03:52.440]   You may recognize today's passage.
[00:03:52.440 --> 00:03:55.720]   Today's passage comes from Matthew chapter 28.
[00:03:55.720 --> 00:03:59.160]   If you have your Bibles or your cell phone Bible apps,
[00:03:59.160 --> 00:04:01.720]   please open up to Matthew chapter 28,
[00:04:01.720 --> 00:04:05.000]   and verses 18 to 20.
[00:04:05.000 --> 00:04:08.280]   You guys may recognize this passage as a passage
[00:04:08.280 --> 00:04:12.760]   that's maybe spoken a lot on during like mission send-offs,
[00:04:12.760 --> 00:04:15.860]   or when a pastor wants to speak on missions,
[00:04:15.860 --> 00:04:17.820]   and it's good, it's a good thing.
[00:04:18.660 --> 00:04:21.380]   Matthew chapter 28, verses 18 to 20.
[00:04:21.380 --> 00:04:24.300]   A lot of us know this passage as the Great Commission.
[00:04:24.300 --> 00:04:29.420]   And we'll find today that the Great Commission
[00:04:29.420 --> 00:04:34.180]   is actually the work that all churches and individuals
[00:04:34.180 --> 00:04:37.420]   who are followers of Christ should be involved in.
[00:04:37.420 --> 00:04:39.380]   All of us should be involved in it.
[00:04:39.380 --> 00:04:40.980]   And so, this is the reading of God's word.
[00:04:40.980 --> 00:04:43.480]   Matthew chapter 28, verse 18 to 20.
[00:04:43.480 --> 00:04:47.180]   Then Jesus came to them and said,
[00:04:47.180 --> 00:04:49.140]   "All authority in heaven and on earth
[00:04:49.140 --> 00:04:50.900]   "has been given to me.
[00:04:50.900 --> 00:04:53.380]   "Therefore, go and make disciples of all nations,
[00:04:53.380 --> 00:04:55.420]   "baptizing them in the name of the Father,
[00:04:55.420 --> 00:04:57.780]   "and of the Son, and of the Holy Spirit,
[00:04:57.780 --> 00:05:00.940]   "and teaching them to obey everything I have commanded you.
[00:05:00.940 --> 00:05:02.740]   "And surely, I am with you always
[00:05:02.740 --> 00:05:04.700]   "to the very end of the age."
[00:05:04.700 --> 00:05:05.520]   Let's pray.
[00:05:05.520 --> 00:05:08.980]   God, we thank you so much
[00:05:08.980 --> 00:05:10.740]   that you are the God of this universe,
[00:05:10.740 --> 00:05:12.700]   you are the God of this whole world,
[00:05:12.700 --> 00:05:14.740]   and we know that people all around the world
[00:05:14.740 --> 00:05:16.340]   are worshiping you today.
[00:05:16.340 --> 00:05:18.660]   Lord, I know that my friends in China
[00:05:18.660 --> 00:05:21.260]   have already worshiped you hours ago.
[00:05:21.260 --> 00:05:22.620]   And Lord, I know that many others
[00:05:22.620 --> 00:05:25.180]   have been worshiping you during that time.
[00:05:25.180 --> 00:05:28.680]   And Lord, and now it's our turn to come before you today
[00:05:28.680 --> 00:05:31.580]   to worship you, to hear your word.
[00:05:31.580 --> 00:05:33.540]   And I pray, Lord, that everyone here,
[00:05:33.540 --> 00:05:36.040]   as we look to your word, that you would teach us,
[00:05:36.040 --> 00:05:37.700]   that you would grow us,
[00:05:37.700 --> 00:05:40.420]   and Lord, that we may understand and obey you.
[00:05:40.420 --> 00:05:41.980]   And so, we lift this time up to you.
[00:05:41.980 --> 00:05:44.160]   In Jesus' name we pray, amen.
[00:05:44.160 --> 00:05:47.740]   (congregation applauding)
[00:05:47.740 --> 00:05:55.800]   Before we look at the actual command of this passage,
[00:05:55.800 --> 00:06:00.960]   I started today's passage by looking at verse 18.
[00:06:00.960 --> 00:06:03.440]   And a lot of other people, when they speak from this passage,
[00:06:03.440 --> 00:06:05.560]   they may start from verse 19.
[00:06:05.560 --> 00:06:06.920]   But I started from verse 18,
[00:06:06.920 --> 00:06:08.960]   and I want us to look at that verse 18 again.
[00:06:08.960 --> 00:06:11.440]   It says, "Then Jesus came to them and said,
[00:06:11.440 --> 00:06:15.880]   "All authority in heaven and on earth has been given to me."
[00:06:15.880 --> 00:06:17.480]   If we think about the book of Matthew,
[00:06:17.480 --> 00:06:19.680]   the book of Matthew was largely written
[00:06:19.680 --> 00:06:22.760]   to a Jewish community, largely a Jewish community.
[00:06:22.760 --> 00:06:24.840]   And when we look at the book of Matthew,
[00:06:24.840 --> 00:06:28.000]   we'll see that, we can see that there are a lot of passages
[00:06:28.000 --> 00:06:30.100]   that refer to the Old Testament.
[00:06:30.100 --> 00:06:33.280]   There are a lot of references that may make more sense
[00:06:33.280 --> 00:06:36.760]   to a Jewish audience than to a Gentile audience.
[00:06:36.760 --> 00:06:38.440]   We see that through the book of Matthew,
[00:06:38.440 --> 00:06:41.760]   we see that Jesus is the Messiah that was to come.
[00:06:41.760 --> 00:06:44.200]   And towards the end of the book of Matthew,
[00:06:44.200 --> 00:06:48.900]   we see that Jesus Christ was, suffered.
[00:06:48.900 --> 00:06:51.720]   He had his passion, he suffered.
[00:06:51.720 --> 00:06:55.240]   And then he died on the cross, he was crucified.
[00:06:55.240 --> 00:06:57.680]   And then in the last chapter, in chapter 28,
[00:06:57.680 --> 00:07:02.180]   we find that Jesus Christ, okay, I have to say this.
[00:07:02.180 --> 00:07:03.400]   I've been in China for five years,
[00:07:03.400 --> 00:07:05.060]   and my English has gone down a little bit.
[00:07:05.060 --> 00:07:07.780]   So please excuse me if I stutter a little bit.
[00:07:07.780 --> 00:07:11.900]   We find that in chapter 28, Jesus Christ,
[00:07:11.900 --> 00:07:14.240]   he rises again from the dead.
[00:07:14.240 --> 00:07:18.560]   And Jesus comes and appears before all of his disciples,
[00:07:18.560 --> 00:07:23.120]   and he says, "All authority in heaven and on earth
[00:07:23.120 --> 00:07:24.540]   "has been given to me.
[00:07:24.540 --> 00:07:28.320]   "I have conquered sin, I have conquered death.
[00:07:28.320 --> 00:07:30.880]   "I am the true Messiah that was to come.
[00:07:30.880 --> 00:07:34.280]   "I am the king, I am the king of all kings,
[00:07:34.280 --> 00:07:36.800]   "and I come before you, my disciples,
[00:07:36.800 --> 00:07:40.920]   "as the king to give you this command."
[00:07:40.920 --> 00:07:47.480]   And so as the king gives us a command,
[00:07:47.480 --> 00:07:49.440]   we find that the Great Commission
[00:07:49.440 --> 00:07:52.160]   is not just something that we listen to,
[00:07:52.160 --> 00:07:55.360]   and maybe it's what the missionaries do overseas.
[00:07:55.360 --> 00:07:57.920]   We find that this is a law for us.
[00:07:57.920 --> 00:07:59.920]   This is something that we must do.
[00:07:59.920 --> 00:08:02.520]   All of us must be involved in,
[00:08:02.520 --> 00:08:05.120]   and it's something that we need to constantly
[00:08:05.120 --> 00:08:08.040]   be conscious about in our everyday lives.
[00:08:08.040 --> 00:08:13.680]   So what is the command that Jesus gives to us?
[00:08:13.680 --> 00:08:16.300]   In verse 19, it says, "Therefore,
[00:08:16.300 --> 00:08:19.220]   "go and make disciples of all nations,
[00:08:19.220 --> 00:08:20.980]   "baptizing them in the name of the Father,
[00:08:20.980 --> 00:08:22.880]   "and of the Son, and of the Holy Spirit,
[00:08:22.880 --> 00:08:26.680]   "and teaching them to obey everything I have commanded you."
[00:08:26.680 --> 00:08:28.260]   This is the command,
[00:08:28.260 --> 00:08:31.180]   to go and make disciples of all nations.
[00:08:32.180 --> 00:08:36.900]   And then it says, it says make disciples of all nations.
[00:08:36.900 --> 00:08:38.220]   You know, a lot of times we think of this
[00:08:38.220 --> 00:08:40.780]   as like going overseas somewhere,
[00:08:40.780 --> 00:08:42.740]   but it doesn't necessarily have to mean that.
[00:08:42.740 --> 00:08:44.420]   What it could mean is,
[00:08:44.420 --> 00:08:46.980]   go and make disciples wherever you go,
[00:08:46.980 --> 00:08:50.260]   wherever you are, in your workplaces,
[00:08:50.260 --> 00:08:53.140]   at home, wherever you are.
[00:08:53.140 --> 00:08:54.440]   Make disciples.
[00:08:54.440 --> 00:08:58.640]   And how do we make disciples?
[00:08:58.640 --> 00:09:00.740]   The passage tells us, how do we make disciples?
[00:09:00.740 --> 00:09:04.580]   It says, "Baptizing them in the name of the Father,
[00:09:04.580 --> 00:09:06.460]   "and of the Son, and of the Holy Spirit,
[00:09:06.460 --> 00:09:09.140]   "and also teaching them to obey."
[00:09:09.140 --> 00:09:10.580]   Okay, how do we make disciples?
[00:09:10.580 --> 00:09:14.700]   The first step is that we need to baptize them.
[00:09:14.700 --> 00:09:17.020]   And baptizing them doesn't necessarily mean
[00:09:17.020 --> 00:09:20.420]   just like, you know, hey, baptized, boom, you know?
[00:09:20.420 --> 00:09:23.500]   Baptizing means that you need to go through the process
[00:09:23.500 --> 00:09:25.340]   of evangelizing to them,
[00:09:25.340 --> 00:09:28.620]   of being a witness to people that don't believe yet.
[00:09:28.620 --> 00:09:31.780]   Baptizing them incorporates this whole process
[00:09:31.780 --> 00:09:33.780]   of working with people that don't believe,
[00:09:33.780 --> 00:09:35.780]   so that they may come to believe,
[00:09:35.780 --> 00:09:38.700]   so that they may be baptized,
[00:09:38.700 --> 00:09:41.500]   and recognized as a believer in Jesus Christ.
[00:09:41.500 --> 00:09:45.060]   Now, I'm not gonna go into a lot of detail
[00:09:45.060 --> 00:09:47.580]   about baptism or evangelism.
[00:09:47.580 --> 00:09:49.500]   There are a lot of other times
[00:09:49.500 --> 00:09:51.820]   that we could talk about this.
[00:09:51.820 --> 00:09:52.660]   But the Great Commission,
[00:09:52.660 --> 00:09:53.920]   I wanna say that the Great Commission
[00:09:53.920 --> 00:09:57.140]   is not just about evangelism.
[00:09:57.140 --> 00:10:00.660]   The Great Commission is not just about going somewhere
[00:10:00.660 --> 00:10:03.540]   and telling people about Jesus Christ.
[00:10:03.540 --> 00:10:07.260]   Because in the second portion in verse 20,
[00:10:07.260 --> 00:10:11.700]   Jesus also says, "And teaching them to obey everything
[00:10:11.700 --> 00:10:13.180]   "I have commanded you."
[00:10:13.180 --> 00:10:18.060]   The Great Commission is also about teaching
[00:10:18.060 --> 00:10:20.320]   what Jesus Christ has commanded.
[00:10:20.320 --> 00:10:25.480]   These two things, baptizing, evangelizing,
[00:10:25.480 --> 00:10:26.860]   and bringing them to Christ,
[00:10:26.860 --> 00:10:30.180]   and also teaching them and growing them,
[00:10:30.180 --> 00:10:32.820]   is all part of the Great Commission.
[00:10:32.820 --> 00:10:34.820]   And so how is this fulfilled,
[00:10:34.820 --> 00:10:36.800]   especially the teaching aspect?
[00:10:36.800 --> 00:10:39.380]   It's primarily done through the church.
[00:10:39.380 --> 00:10:44.380]   Every single Sunday, a message, a sermon is given
[00:10:44.380 --> 00:10:47.820]   teaching us what Christ has taught us.
[00:10:47.820 --> 00:10:52.180]   And that's why the message, the sermon, is so important.
[00:10:52.180 --> 00:10:54.060]   I can't stress this enough.
[00:10:54.060 --> 00:10:56.580]   What our pastors do coming up here
[00:10:56.580 --> 00:10:59.600]   and teaching us God's word is an important,
[00:10:59.600 --> 00:11:00.920]   an extremely important thing,
[00:11:00.920 --> 00:11:03.820]   and through that, the Great Commission is being fulfilled.
[00:11:03.820 --> 00:11:09.180]   Because the message teaches us, the sermon teaches us
[00:11:09.180 --> 00:11:13.700]   how to view this world, how to act in our daily lives,
[00:11:13.700 --> 00:11:16.480]   how to look at this world through God's eyes,
[00:11:16.480 --> 00:11:18.560]   how to live in God's ways.
[00:11:18.560 --> 00:11:22.760]   But not only is discipleship done
[00:11:22.760 --> 00:11:25.940]   through the speaking of God's word,
[00:11:25.940 --> 00:11:30.100]   not only is discipleship done through the teaching
[00:11:30.100 --> 00:11:34.660]   on the pulpit, but discipleship is also done
[00:11:34.660 --> 00:11:37.300]   through our live examples,
[00:11:37.300 --> 00:11:41.440]   through how we live our lives in front of other people.
[00:11:41.440 --> 00:11:45.000]   Let's look at Jesus.
[00:11:45.000 --> 00:11:46.880]   Let's look at his example.
[00:11:46.880 --> 00:11:50.640]   Jesus Christ was with his disciples for three years.
[00:11:50.640 --> 00:11:52.780]   Jesus Christ was with his disciples,
[00:11:52.780 --> 00:11:56.160]   and the disciples followed him wherever he went.
[00:11:56.160 --> 00:11:57.360]   They saw him sleep.
[00:11:57.360 --> 00:12:00.320]   They knew how he slept.
[00:12:00.320 --> 00:12:03.840]   They saw how he woke up early in the morning and prayed,
[00:12:03.840 --> 00:12:06.380]   how at times he distanced himself from them
[00:12:06.380 --> 00:12:08.660]   and took time to pray.
[00:12:08.660 --> 00:12:13.100]   He saw how he, the disciples saw how Jesus Christ
[00:12:13.100 --> 00:12:16.980]   went to those that were poor, that were sick.
[00:12:16.980 --> 00:12:20.100]   They saw how he went to the sinners,
[00:12:20.100 --> 00:12:22.340]   to their homes, and ate with them.
[00:12:22.340 --> 00:12:25.180]   Jesus Christ was an example to them.
[00:12:25.180 --> 00:12:27.220]   The disciples weren't just learning
[00:12:27.220 --> 00:12:28.940]   through what Jesus taught.
[00:12:28.940 --> 00:12:31.160]   They were also learning through everything
[00:12:31.160 --> 00:12:32.580]   that Jesus Christ did.
[00:12:32.580 --> 00:12:40.900]   And so we, all of us here, are making disciples
[00:12:40.900 --> 00:12:43.800]   by what we do as well.
[00:12:43.800 --> 00:12:47.700]   What we do carries a message as well.
[00:12:47.700 --> 00:12:49.960]   Not only do we need to teach people,
[00:12:49.960 --> 00:12:52.100]   but the passage says that we need to teach them
[00:12:52.100 --> 00:12:53.040]   to obey.
[00:12:53.040 --> 00:12:56.580]   We know that it's important for us to obey.
[00:12:56.580 --> 00:12:58.700]   Not just to hear, I mean, it's good.
[00:12:58.700 --> 00:13:02.340]   It's good for us to gain more knowledge of the word.
[00:13:02.340 --> 00:13:05.580]   It's good for us to come on Sundays
[00:13:05.580 --> 00:13:07.900]   and listen to the message, to come on Wednesdays
[00:13:07.900 --> 00:13:11.400]   or Thursdays or Fridays to gain more knowledge of the word.
[00:13:11.400 --> 00:13:15.400]   But it's important for us to not only learn about it,
[00:13:15.400 --> 00:13:16.700]   but also obey.
[00:13:16.700 --> 00:13:21.540]   In James chapter two, verses 14 to 20, it says this.
[00:13:21.540 --> 00:13:24.940]   What use is it, my brethren, if someone says he has faith
[00:13:24.940 --> 00:13:26.460]   but he has no works?
[00:13:26.460 --> 00:13:28.460]   Can that faith save him?
[00:13:28.460 --> 00:13:30.420]   If a brother or sister is without clothing
[00:13:30.420 --> 00:13:34.020]   and in need of daily food, and one of you says to them,
[00:13:34.020 --> 00:13:37.060]   go in peace, be warmed, and be filled,
[00:13:37.060 --> 00:13:41.980]   yet you do not give them what is necessary for their body,
[00:13:41.980 --> 00:13:43.860]   what use is that?
[00:13:43.860 --> 00:13:48.140]   Even so, faith, if it has no works, is dead,
[00:13:48.140 --> 00:13:49.780]   being by itself.
[00:13:49.780 --> 00:13:53.740]   But someone may well say, you have faith and I have works.
[00:13:53.740 --> 00:13:56.100]   Show me your faith without the works
[00:13:56.100 --> 00:13:59.180]   and I will show you my faith by my works.
[00:13:59.180 --> 00:14:01.460]   You believe that God is one?
[00:14:01.460 --> 00:14:02.900]   You do well.
[00:14:02.900 --> 00:14:06.340]   The demons also believe and shudder.
[00:14:06.340 --> 00:14:10.220]   But are you willing to recognize, you foolish fellow,
[00:14:10.220 --> 00:14:13.400]   that faith without works is useless?
[00:14:13.400 --> 00:14:18.380]   We may have a lot of knowledge about God's word,
[00:14:18.380 --> 00:14:21.180]   and we may have the knowledge of the gospel,
[00:14:21.180 --> 00:14:24.420]   but if you're not carrying it out in obedience,
[00:14:24.420 --> 00:14:26.020]   then all of that means nothing.
[00:14:26.020 --> 00:14:30.340]   We can also see what Christ says in John chapter 14,
[00:14:30.340 --> 00:14:31.420]   verse 15.
[00:14:31.420 --> 00:14:37.300]   Jesus says, if you love me, you will keep my commandments.
[00:14:37.300 --> 00:14:40.820]   And so we see that obedience to Christ
[00:14:40.820 --> 00:14:43.780]   is also an expression of love for God.
[00:14:45.980 --> 00:14:48.340]   And so it's important for us to remember
[00:14:48.340 --> 00:14:51.180]   that in carrying out the great commission,
[00:14:51.180 --> 00:14:54.700]   we need to teach people, even through our life examples,
[00:14:54.700 --> 00:14:57.260]   and teach them to obey.
[00:14:57.260 --> 00:15:03.140]   In this passage, we see that discipleship,
[00:15:03.140 --> 00:15:08.140]   making disciples, encompasses the whole process
[00:15:08.140 --> 00:15:13.100]   of bringing an unbeliever to believe in Jesus Christ,
[00:15:13.100 --> 00:15:16.580]   to be baptized, all the way to the point
[00:15:16.580 --> 00:15:18.700]   of becoming a mature believer,
[00:15:18.700 --> 00:15:20.360]   teaching them to obey everything
[00:15:20.360 --> 00:15:22.280]   that Jesus Christ has commanded,
[00:15:22.280 --> 00:15:25.100]   all the way to the point of becoming a mature believer.
[00:15:25.100 --> 00:15:30.020]   This whole process is what the great commission is about.
[00:15:30.020 --> 00:15:34.060]   What that means is that all of us are still
[00:15:34.060 --> 00:15:38.220]   in the process of being made disciples.
[00:15:38.220 --> 00:15:41.700]   And what that also means is that all of us
[00:15:41.700 --> 00:15:45.580]   are in the process and should be in the process
[00:15:45.580 --> 00:15:47.700]   of making disciples.
[00:15:47.700 --> 00:15:53.740]   Now remember, we're not disciples
[00:15:53.740 --> 00:15:56.080]   of the person who discipled us,
[00:15:56.080 --> 00:16:02.060]   nor are we the master teacher of the ones we disciple.
[00:16:02.060 --> 00:16:06.360]   We're not the person that is their teacher,
[00:16:06.360 --> 00:16:09.660]   their master of some sorts.
[00:16:10.600 --> 00:16:14.740]   Rather, we are all disciples of Christ,
[00:16:14.740 --> 00:16:17.000]   and we make disciples of Christ,
[00:16:17.000 --> 00:16:20.400]   meaning we wanna cause people to follow Christ.
[00:16:20.400 --> 00:16:25.860]   The easy part in some ways is bringing a person to Christ,
[00:16:25.860 --> 00:16:28.620]   to share the gospel with them,
[00:16:28.620 --> 00:16:29.940]   and they may come to believe.
[00:16:29.940 --> 00:16:32.740]   That part is perhaps the easier part.
[00:16:32.740 --> 00:16:36.020]   The hard part is discipling them up.
[00:16:36.020 --> 00:16:39.940]   In China, I was part of campus ministry,
[00:16:39.940 --> 00:16:42.540]   and I was involved in evangelism
[00:16:42.540 --> 00:16:44.760]   and bringing a lot of people to believe in Jesus Christ.
[00:16:44.760 --> 00:16:45.940]   Not a lot, some.
[00:16:45.940 --> 00:16:51.280]   And as we did bring some people to Christ,
[00:16:51.280 --> 00:16:53.000]   we wanted to plug them into the churches
[00:16:53.000 --> 00:16:54.880]   that already existed there.
[00:16:54.880 --> 00:16:57.060]   But one of the things that we found out
[00:16:57.060 --> 00:16:59.280]   was that the churches that exist there,
[00:16:59.280 --> 00:17:02.140]   they have a hard time discipling these people
[00:17:02.140 --> 00:17:04.240]   so that these people can come to maturity.
[00:17:07.100 --> 00:17:10.880]   One of the huge needs that still exists in China
[00:17:10.880 --> 00:17:15.880]   is a need for mature older brothers and sisters,
[00:17:15.880 --> 00:17:17.460]   mature in the faith, I mean,
[00:17:17.460 --> 00:17:22.760]   older brothers and sisters to go and be mentors
[00:17:22.760 --> 00:17:25.320]   and examples for the many believers in China.
[00:17:25.320 --> 00:17:27.360]   You know, I was surprised to see
[00:17:27.360 --> 00:17:28.800]   that a lot of the people that I met
[00:17:28.800 --> 00:17:31.200]   that were in the church in China,
[00:17:31.200 --> 00:17:33.960]   a lot of them had only been a Christian
[00:17:33.960 --> 00:17:38.880]   for two years, three years, you know, less than five years.
[00:17:38.880 --> 00:17:43.280]   So there's this huge need that still exists in China
[00:17:43.280 --> 00:17:45.120]   for people to be examples over there.
[00:17:45.120 --> 00:17:48.860]   Discipleship is so important.
[00:17:48.860 --> 00:17:53.800]   Now, I wanna focus on this idea of discipleship,
[00:17:53.800 --> 00:17:56.240]   and I wanna come to the first application question
[00:17:56.240 --> 00:17:58.400]   that I wanna ask you guys.
[00:17:58.400 --> 00:17:59.640]   And that is,
[00:18:01.360 --> 00:18:03.520]   if discipleship is so important,
[00:18:03.520 --> 00:18:09.240]   then whose disciple are you, first of all?
[00:18:09.240 --> 00:18:10.800]   Whose disciple are you?
[00:18:10.800 --> 00:18:14.240]   Whatever you surround yourself with,
[00:18:14.240 --> 00:18:16.160]   you become a disciple of it.
[00:18:16.160 --> 00:18:19.880]   Whatever you let your ears or your eyes see often,
[00:18:19.880 --> 00:18:22.960]   you become a disciple of it.
[00:18:22.960 --> 00:18:25.080]   Do you watch sports all the time?
[00:18:25.080 --> 00:18:26.240]   You become a disciple of that.
[00:18:26.240 --> 00:18:30.320]   I know people that can quote every statistic.
[00:18:30.320 --> 00:18:31.920]   You become a disciple of that.
[00:18:31.920 --> 00:18:35.920]   Always looking at the needs for your children,
[00:18:35.920 --> 00:18:39.260]   you become a disciple of your child.
[00:18:39.260 --> 00:18:43.960]   Always watch some TV show.
[00:18:43.960 --> 00:18:49.280]   I have a friend right now, on Facebook I saw his update,
[00:18:49.280 --> 00:18:52.060]   and he was like, "I just started watching Game of Thrones.
[00:18:52.060 --> 00:18:53.360]   "Oh, what am I doing?"
[00:18:53.360 --> 00:18:57.120]   And he kinda did it, I mean, he put it on Facebook,
[00:18:57.120 --> 00:18:58.320]   he kinda did it to brag.
[00:18:59.320 --> 00:19:02.120]   Are you watching a lot of TV shows,
[00:19:02.120 --> 00:19:06.960]   or constantly filling your mind with that?
[00:19:06.960 --> 00:19:08.040]   You become a disciple of that.
[00:19:08.040 --> 00:19:11.080]   Are you always online, always on your phone,
[00:19:11.080 --> 00:19:12.880]   looking at Facebook?
[00:19:12.880 --> 00:19:14.400]   You become a disciple of that.
[00:19:14.400 --> 00:19:19.880]   Being a disciple is being a student of that person
[00:19:19.880 --> 00:19:23.800]   or object, causing you to begin to believe
[00:19:23.800 --> 00:19:27.720]   in their beliefs, their wants, and their desires.
[00:19:28.720 --> 00:19:31.920]   So how are you as a disciple of Christ?
[00:19:31.920 --> 00:19:35.400]   But before I ask you this question,
[00:19:35.400 --> 00:19:37.320]   before I ask how are you as a disciple of Christ,
[00:19:37.320 --> 00:19:40.960]   I wanna ask, what else are you a disciple of?
[00:19:40.960 --> 00:19:45.640]   What else are you a disciple of?
[00:19:45.640 --> 00:19:49.640]   I had a friend a long time ago, about 10 years ago.
[00:19:49.640 --> 00:19:52.240]   He loved Apple products.
[00:19:52.240 --> 00:19:55.160]   And he would be like, "Man, you're still using your PC?
[00:19:55.160 --> 00:19:56.000]   "What's wrong with you?
[00:19:56.000 --> 00:19:58.160]   "You should get an Apple product.
[00:19:58.160 --> 00:20:02.520]   "Look at my sleek, doesn't it look so nice?"
[00:20:02.520 --> 00:20:04.960]   And he's just talking about his computer,
[00:20:04.960 --> 00:20:07.960]   and then later on, iPhones and stuff.
