
[00:00:00.000 --> 00:00:02.340]   (footsteps)
[00:17:36.880 --> 00:17:40.300]   You'll drop hints, and you have all kinds of ways
[00:17:40.300 --> 00:17:41.780]   as introverts to tell people.
[00:17:41.780 --> 00:17:44.940]   If you delight, if that's something you really delight in,
[00:17:44.940 --> 00:17:48.620]   you watch a movie that you just really loved,
[00:17:48.620 --> 00:17:50.580]   it's on your Instagram.
[00:17:50.580 --> 00:17:52.900]   I don't only see extroverts doing that.
[00:17:52.900 --> 00:17:55.460]   It's on your Instagram, it's on your Facebook.
[00:17:55.460 --> 00:17:56.820]   Every time you get around,
[00:17:56.820 --> 00:17:58.860]   you're seeing if other people saw it,
[00:17:58.860 --> 00:18:01.260]   and you're like an evangelist.
[00:18:01.260 --> 00:18:02.940]   Watch this movie.
[00:18:02.940 --> 00:18:04.340]   You watch it, you gotta watch it.
[00:18:04.340 --> 00:18:05.740]   You're missing out on life.
[00:18:05.740 --> 00:18:07.980]   If you don't watch it, you gotta watch it.
[00:18:07.980 --> 00:18:09.340]   Oh, you don't wanna watch it?
[00:18:09.340 --> 00:18:10.180]   You're missing out.
[00:18:10.180 --> 00:18:12.580]   I'll go with you, I'll buy you a cup.
[00:18:12.580 --> 00:18:13.700]   I'll watch it with you.
[00:18:13.700 --> 00:18:15.420]   So you become an evangelist
[00:18:15.420 --> 00:18:18.740]   in something that you delight in, right?
[00:18:18.740 --> 00:18:20.740]   But if there's no delight in your heart,
[00:18:20.740 --> 00:18:23.500]   evangelism is difficult.
[00:18:23.500 --> 00:18:27.660]   Talking to somebody that is a stranger to you,
[00:18:27.660 --> 00:18:30.180]   prayer becomes very difficult.
[00:18:30.180 --> 00:18:32.020]   Studying the word of God,
[00:18:32.020 --> 00:18:34.180]   something that you feel distant from,
[00:18:34.180 --> 00:18:36.540]   it's just studying, you know?
[00:18:36.540 --> 00:18:37.900]   You can't wait to get out of school
[00:18:37.900 --> 00:18:39.420]   because you're finished with studying,
[00:18:39.420 --> 00:18:40.260]   and then you get out,
[00:18:40.260 --> 00:18:41.100]   and then you come to church and say,
[00:18:41.100 --> 00:18:42.500]   "You gotta study."
[00:18:42.500 --> 00:18:44.820]   'Cause that's all it will feel like
[00:18:44.820 --> 00:18:46.460]   if there is no real delight.
[00:18:46.460 --> 00:18:49.100]   So he's not simply saying,
[00:18:49.100 --> 00:18:51.420]   "Here's what you do in order to be saved."
[00:18:51.420 --> 00:18:55.900]   He's describing somebody that has happened to him.
[00:18:55.900 --> 00:18:56.980]   And it doesn't matter whether you're
[00:18:56.980 --> 00:18:58.820]   an Old Testament believer or New Testament believer.
[00:18:58.820 --> 00:19:00.100]   It was the same, remember?
[00:19:00.100 --> 00:19:02.460]   He said Old Testament believers were saved by faith.
[00:19:02.460 --> 00:19:05.220]   They did, and they lived their life in obedience
[00:19:05.220 --> 00:19:06.540]   because they had faith in God.
[00:19:06.540 --> 00:19:08.500]   It wasn't their obedience that saved them.
[00:19:08.500 --> 00:19:12.300]   It was their faith that led to obedience.
[00:19:12.300 --> 00:19:14.220]   And it's no different in the Old Testament and New Testament.
[00:19:14.220 --> 00:19:16.300]   They delighted in the law of the Lord,
[00:19:16.300 --> 00:19:18.820]   and it was not that that was their way of salvation.
[00:19:18.820 --> 00:19:21.300]   It was because they believed in God,
[00:19:21.300 --> 00:19:23.380]   they wanted to obey God.
[00:19:23.380 --> 00:19:25.260]   That's not what saved them,
[00:19:25.260 --> 00:19:27.060]   but that's why they delighted in it.
[00:19:27.060 --> 00:19:31.340]   An individual who has met Christ,
[00:19:31.340 --> 00:19:34.660]   and his delight is in the law of the Lord,
[00:19:34.660 --> 00:19:35.700]   and as a result of that,
[00:19:35.700 --> 00:19:37.260]   that's what's saturating your mind,
[00:19:37.260 --> 00:19:38.540]   and your heart, and your thought,
[00:19:38.540 --> 00:19:41.620]   and your speech, and your desire.
[00:19:41.620 --> 00:19:44.140]   He says, "He's like a tree planted by a stream of water
[00:19:44.140 --> 00:19:45.540]   "that yields its fruit in its season,
[00:19:45.540 --> 00:19:47.060]   "and its leaf does not wither.
[00:19:47.060 --> 00:19:50.260]   "In all that he does, he prospers."
[00:19:50.260 --> 00:19:53.940]   It is no different than what Jesus said in John 15, 5,
[00:19:53.940 --> 00:19:55.220]   "I am the vine, you are the branches.
[00:19:55.220 --> 00:19:57.180]   "Whoever abides in me, and I in him,
[00:19:57.180 --> 00:19:58.700]   "heed is that there is much fruit,
[00:19:58.700 --> 00:20:01.380]   "for apart from me, you can do nothing."
[00:20:01.380 --> 00:20:06.180]   How frustrating is it when we are not abiding in him,
[00:20:06.180 --> 00:20:08.860]   and trying so hard to bear fruit?
[00:20:08.860 --> 00:20:12.460]   He says, "You can't bear fruit,
[00:20:12.460 --> 00:20:15.120]   "if you're not delighting in him.
[00:20:15.120 --> 00:20:18.220]   "If your thoughts and mind is not abiding in him,
[00:20:18.220 --> 00:20:22.020]   "and you're not meditating on him, you can't bear fruit."
[00:20:22.020 --> 00:20:23.140]   He says, he doesn't say,
[00:20:23.140 --> 00:20:25.340]   "It's gonna be very difficult to bear fruit."
[00:20:25.340 --> 00:20:28.940]   He says, "No, it is impossible to bear fruit,
[00:20:28.940 --> 00:20:30.420]   "if you're not abiding in him."
[00:20:30.420 --> 00:20:33.100]   What he's saying here in John chapter 15, 5
[00:20:33.100 --> 00:20:35.900]   is no different than what he's saying in Psalm chapter 1.
[00:20:35.900 --> 00:20:41.700]   So the first step of salvation is to meet Christ.
[00:20:41.700 --> 00:20:47.860]   What can cause you, what can cause you and I
[00:20:47.860 --> 00:20:51.700]   to take our eyes off of this world?
[00:20:51.700 --> 00:20:57.940]   This world is developed and built
[00:20:57.940 --> 00:20:59.940]   on tempting us away from God.
[00:21:00.900 --> 00:21:04.540]   Billions of dollars are spent to convince you
[00:21:04.540 --> 00:21:08.500]   that you need the phone, that you need the car,
[00:21:08.500 --> 00:21:11.820]   that you need to go to this specific place in the world.
[00:21:11.820 --> 00:21:13.460]   Billions of dollars.
[00:21:13.460 --> 00:21:15.700]   Satan, the God of this age,
[00:21:15.700 --> 00:21:18.500]   is constantly wrapping his mind around
[00:21:18.500 --> 00:21:22.020]   making this world as attractive as possible
[00:21:22.020 --> 00:21:24.580]   for you to come to the world.
[00:21:24.580 --> 00:21:28.140]   How can you possibly, by your own willpower,
[00:21:28.140 --> 00:21:30.340]   say no to that?
[00:21:30.340 --> 00:21:31.780]   You can't.
[00:21:31.780 --> 00:21:35.260]   So it's only natural that somebody in his flesh
[00:21:35.260 --> 00:21:37.420]   will be attracted to the world.
[00:21:37.420 --> 00:21:40.700]   What power exists in the universe
[00:21:40.700 --> 00:21:44.660]   that would cause us to pull us away from that?
[00:21:44.660 --> 00:21:49.300]   Christ and Christ alone.
[00:21:49.300 --> 00:21:51.620]   Christ alone.
[00:21:51.620 --> 00:21:54.700]   Christians do not have that power.
[00:21:54.700 --> 00:21:59.140]   Christians, they don't have the fellowship of believers,
[00:21:59.140 --> 00:22:03.100]   you know, peoples, friendships, they come, they go.
[00:22:03.100 --> 00:22:06.300]   Leaders, no matter how much you respect them,
[00:22:06.300 --> 00:22:08.100]   they're human beings.
[00:22:08.100 --> 00:22:11.100]   They're sinful people who are standing in between
[00:22:11.100 --> 00:22:13.800]   and the best that we can do is to point you to Christ.
[00:22:13.800 --> 00:22:17.620]   No promises of man, no organization,
[00:22:17.620 --> 00:22:21.380]   nothing can win you over from the world
[00:22:21.380 --> 00:22:23.860]   than Christ himself.
[00:22:23.860 --> 00:22:27.420]   So if our gaze is not upon Christ,
[00:22:28.380 --> 00:22:31.700]   if the very thing that attracted to him from the beginning,
[00:22:31.700 --> 00:22:34.420]   where our eyes were open and we saw the glory
[00:22:34.420 --> 00:22:36.660]   of the gospel of Jesus Christ,
[00:22:36.660 --> 00:22:38.580]   and it's because of that we said,
[00:22:38.580 --> 00:22:40.900]   "I want him rather than the world."
[00:22:40.900 --> 00:22:42.540]   That's what attracted us to him.
[00:22:42.540 --> 00:22:47.340]   But he says, if after you've been justified,
[00:22:47.340 --> 00:22:51.220]   you take your eyes off of Christ
[00:22:51.220 --> 00:22:53.180]   and you try to be sanctified and bear fruit
[00:22:53.180 --> 00:22:55.420]   by your own willpower, by your own organization,
[00:22:55.420 --> 00:22:56.860]   by your own intellect,
[00:22:57.980 --> 00:22:59.460]   no wonder we're frustrated.
[00:22:59.460 --> 00:23:02.660]   That's why he says, "Then fix your eyes upon Jesus,
[00:23:02.660 --> 00:23:05.380]   "the author and the perfecter of our faith."
[00:23:05.380 --> 00:23:09.980]   So the only power that exists that causes us
[00:23:09.980 --> 00:23:13.340]   to be able to overcome the temptation of the world
[00:23:13.340 --> 00:23:15.820]   is Christ and Christ alone.
[00:23:15.820 --> 00:23:20.660]   So the invitation for us is,
[00:23:20.660 --> 00:23:22.340]   if that's the case, we come to him,
[00:23:22.340 --> 00:23:25.060]   he's like a tree planted by the streams of water,
[00:23:26.460 --> 00:23:28.180]   planted by the streams of water,
[00:23:28.180 --> 00:23:29.860]   which yields its fruit in season,
[00:23:29.860 --> 00:23:30.820]   its leaf does not wither,
[00:23:30.820 --> 00:23:34.420]   and whatever he does, he prospers.
[00:23:34.420 --> 00:23:37.740]   So many of us have seen Christ,
[00:23:37.740 --> 00:23:38.940]   we've been attracted to him,
[00:23:38.940 --> 00:23:41.140]   and so we made the decision,
[00:23:41.140 --> 00:23:45.660]   and then somehow we've kind of moved past the water
[00:23:45.660 --> 00:23:48.420]   and we've planted ourselves somewhere out in the desert.
[00:23:48.420 --> 00:23:53.420]   And so we're getting bits and pieces of taste, right?
[00:23:53.420 --> 00:23:54.780]   And so every once in a while,
[00:23:54.780 --> 00:23:57.340]   when people don't bring the water to you,
[00:23:57.340 --> 00:23:59.700]   the responsibility of the leaders in your life
[00:23:59.700 --> 00:24:01.180]   are like, "We have to fill the bucket,"
[00:24:01.180 --> 00:24:02.820]   or, "We have to run to you, give you some water
[00:24:02.820 --> 00:24:05.260]   "every time you look like you're gonna die."
[00:24:05.260 --> 00:24:06.860]   And that's how you're surviving.
[00:24:06.860 --> 00:24:10.300]   Somebody needs to come running over to you
[00:24:10.300 --> 00:24:12.940]   every time you dry up and pour water,
[00:24:12.940 --> 00:24:15.540]   and say, "He's okay now for another six months.
[00:24:15.540 --> 00:24:16.380]   "We'll leave him alone,
[00:24:16.380 --> 00:24:17.460]   "and we have a bunch of other people
[00:24:17.460 --> 00:24:18.820]   "who are withering and dying in the desert,
[00:24:18.820 --> 00:24:19.740]   "so we gotta get buckets."
[00:24:19.740 --> 00:24:22.800]   So the leaders are running around with buckets of water,
[00:24:22.800 --> 00:24:25.500]   looking for people out in the desert to pour water in.
[00:24:25.500 --> 00:24:27.980]   And that's how you're surviving.
[00:24:27.980 --> 00:24:32.260]   Day to day, week to week, month to month,
[00:24:32.260 --> 00:24:35.140]   as soon as somebody doesn't run to you with water,
[00:24:35.140 --> 00:24:36.500]   you shrivel up and die.
[00:24:36.500 --> 00:24:40.580]   So he says, "But a man who truly delights,
[00:24:40.580 --> 00:24:44.140]   "who's truly happy, who's living, who's alive,
[00:24:44.140 --> 00:24:46.480]   "is a man not planted in the desert,
[00:24:46.480 --> 00:24:49.300]   "but the one who was planted by streams of water."
[00:24:49.300 --> 00:24:51.260]   And he says, "Does not wither
[00:24:51.260 --> 00:24:53.800]   "because the source of life, the living water,
[00:24:53.800 --> 00:24:55.700]   "is in him constantly."
[00:24:55.700 --> 00:25:00.740]   He can survive whether it rains or doesn't rain.
[00:25:00.740 --> 00:25:04.880]   Because the source that gives him life
[00:25:04.880 --> 00:25:07.660]   is underneath him constantly flowing.
[00:25:07.660 --> 00:25:11.500]   See, that's what sanctification ultimately is.
[00:25:11.500 --> 00:25:13.380]   It's not about, "Am I waking up in time?
[00:25:13.380 --> 00:25:15.100]   "Do I get a memorizing of scripture?
[00:25:15.100 --> 00:25:16.600]   "Am I doing this?
[00:25:16.600 --> 00:25:18.500]   "Am I living a certain pattern?"
[00:25:18.500 --> 00:25:20.740]   All of these things are byproducts.
[00:25:21.540 --> 00:25:25.460]   But the main goal of sanctification
[00:25:25.460 --> 00:25:29.180]   is to make sure that I'm planted by the living water.
[00:25:29.180 --> 00:25:32.940]   If I'm planted by the living water,
[00:25:32.940 --> 00:25:36.460]   tell somebody who loves the Lord,
[00:25:36.460 --> 00:25:38.660]   tell them to don't talk about Jesus.
[00:25:38.660 --> 00:25:41.860]   I mean, go to the Middle East,
[00:25:41.860 --> 00:25:43.980]   go to certain countries where persecution is happening,
[00:25:43.980 --> 00:25:46.900]   threatening them with jail, physical violence,
[00:25:46.900 --> 00:25:50.100]   and you tell them, you tell those people
[00:25:50.100 --> 00:25:51.460]   who have tasted the living water,
[00:25:51.460 --> 00:25:54.020]   whose this living water is flowing underneath them,
[00:25:54.020 --> 00:25:57.780]   you tell them, "If you do this, there's consequences."
[00:25:57.780 --> 00:25:59.500]   You know exactly what happens.
[00:25:59.500 --> 00:26:01.020]   You can't stop these people.
[00:26:01.020 --> 00:26:03.260]   Tell somebody who is in love with Christ
[00:26:03.260 --> 00:26:06.060]   to stop talking about Christ.
[00:26:06.060 --> 00:26:07.180]   They do more.
[00:26:07.180 --> 00:26:09.760]   They do more.
[00:26:09.760 --> 00:26:10.940]   You know why they do it?
[00:26:10.940 --> 00:26:14.140]   It's not because they're more courageous than us.
[00:26:14.140 --> 00:26:17.340]   It's not because they're made of something different than us.
[00:26:19.260 --> 00:26:23.300]   It's because it brings them joy to do so.
[00:26:23.300 --> 00:26:26.720]   They're willing to risk their health,
[00:26:26.720 --> 00:26:27.780]   whatever it is that they have,
[00:26:27.780 --> 00:26:29.420]   because what they see in Christ
[00:26:29.420 --> 00:26:31.380]   is much better than anything in this world,
[00:26:31.380 --> 00:26:33.220]   even if they have to give their life.
[00:26:33.220 --> 00:26:36.340]   It's not something that they did.
[00:26:36.340 --> 00:26:38.260]   It's not because they were discipled properly.
[00:26:38.260 --> 00:26:40.780]   It's not because they had all the right formulas
[00:26:40.780 --> 00:26:41.700]   in their life.
[00:26:41.700 --> 00:26:44.980]   It's just this living water is underneath this current.
[00:26:44.980 --> 00:26:47.260]   And again, the struggle that you and I have
[00:26:47.260 --> 00:26:49.780]   in this part of the world
[00:26:49.780 --> 00:26:53.520]   is that we have so much distraction.
[00:26:53.520 --> 00:26:57.340]   And the biggest problem that you and I have
[00:26:57.340 --> 00:27:00.060]   is constantly being distracted
[00:27:00.060 --> 00:27:03.020]   and not gazing upon Christ.
[00:27:03.020 --> 00:27:08.020]   This is why our time of devotion in the Lord,
[00:27:08.020 --> 00:27:10.500]   and why prayer, again, you can do devotion.
[00:27:10.500 --> 00:27:12.340]   You can have prayer that in and of itself
[00:27:12.340 --> 00:27:13.620]   doesn't make you strong,
[00:27:13.620 --> 00:27:16.980]   because there's only an avenue to get us to Christ.
[00:27:16.980 --> 00:27:19.980]   So today, what I want to encourage us to do
[00:27:19.980 --> 00:27:22.540]   is take some time to really pray
[00:27:22.540 --> 00:27:25.140]   and examine our life to see where are you planted?
[00:27:25.140 --> 00:27:29.780]   What is the source of your joy?
[00:27:29.780 --> 00:27:33.580]   Do you delight in the Lord?
[00:27:33.580 --> 00:27:37.340]   Take some time to think about that.
[00:27:37.340 --> 00:27:38.160]   Where is your life?
[00:27:38.160 --> 00:27:39.860]   Does it come from people?
[00:27:39.860 --> 00:27:41.140]   Does it come from circumstances?
[00:27:41.140 --> 00:27:43.700]   Does it come from hope for a superficial future?
[00:27:43.700 --> 00:27:46.060]   What is killing your joy?
[00:27:46.060 --> 00:27:48.700]   What is quenching the spirit?
[00:27:48.700 --> 00:27:50.260]   Are you abiding in Christ?
[00:27:50.260 --> 00:27:51.900]   Is this word abiding in you?
[00:27:51.900 --> 00:27:56.380]   Are your friendships truly centered in Christ?
[00:27:56.380 --> 00:27:57.500]   Are you spurring them on?
[00:27:57.500 --> 00:27:58.580]   Are they spurring you on?
[00:27:58.580 --> 00:28:01.620]   So there's four things that I want you to focus on.
[00:28:01.620 --> 00:28:03.380]   If you can put that in there.
[00:28:03.380 --> 00:28:04.420]   Okay.
[00:28:04.420 --> 00:28:05.540]   I hope you can see it.
[00:28:05.540 --> 00:28:07.620]   First one is the word.
[00:28:07.620 --> 00:28:11.100]   I'm gonna take some time to pray,
[00:28:11.100 --> 00:28:13.220]   pray for greater affection for Christ
[00:28:13.220 --> 00:28:16.540]   that will lead us to greater meditation on God's word.
[00:28:16.540 --> 00:28:18.460]   Pray for a more consistent time of devotion
[00:28:18.460 --> 00:28:19.980]   and meditation through God's word.
[00:28:19.980 --> 00:28:21.460]   So very first thing,
[00:28:21.460 --> 00:28:23.980]   if that's not a regular pattern in your life,
[00:28:23.980 --> 00:28:26.780]   to constantly plant yourself by the living water,
[00:28:26.780 --> 00:28:29.420]   that's the first thing that I really wanna encourage you to do
[00:28:29.420 --> 00:28:30.900]   to not to sit back and say,
[00:28:30.900 --> 00:28:33.620]   man, you know, like I wish I could just be planted
[00:28:33.620 --> 00:28:35.540]   by doing nothing, right?
[00:28:35.540 --> 00:28:41.060]   Those of you who are not regularly in the word of God,
[00:28:41.060 --> 00:28:43.700]   your spiritual, the fix to your spiritual problem
[00:28:43.700 --> 00:28:48.660]   may be as simple as just regularly coming to the Lord.
[00:28:48.660 --> 00:28:51.660]   You say, well, I mean, you know, that's it?
[00:28:51.660 --> 00:28:54.340]   It may not be like completely the fix,
[00:28:54.340 --> 00:28:57.660]   but from my experience,
[00:28:57.660 --> 00:29:00.500]   if you are regularly living a pattern of life
[00:29:00.500 --> 00:29:02.820]   where you're not regularly intaking the word of God,
[00:29:02.820 --> 00:29:03.820]   and I'm not talking about Sundays,
[00:29:03.820 --> 00:29:04.660]   I'm not talking about Wednesday,
[00:29:04.660 --> 00:29:05.780]   I'm not talking about small group,
[00:29:05.780 --> 00:29:07.380]   I'm talking about you personally.
[00:29:07.380 --> 00:29:09.740]   So I'm not gonna guarantee anything
[00:29:09.740 --> 00:29:11.140]   'cause I'm not God,
[00:29:11.140 --> 00:29:13.100]   but I can almost guarantee you, okay,
[00:29:13.100 --> 00:29:15.100]   just from experience,
[00:29:15.100 --> 00:29:18.980]   if you're not regularly in the word of God on your own,
[00:29:18.980 --> 00:29:21.180]   in devotions and in prayer, being the Lord,
[00:29:21.180 --> 00:29:25.060]   so much of your spiritual frustration
[00:29:25.060 --> 00:29:27.780]   will be fixed by just doing that.
[00:29:27.780 --> 00:29:29.500]   So if you're not in the pattern of doing that,
[00:29:29.500 --> 00:29:30.900]   don't think about, oh, fellowship,
[00:29:30.900 --> 00:29:33.100]   I need leadership, I need accountability.
[00:29:33.100 --> 00:29:35.340]   All that stuff is superficial.
[00:29:35.340 --> 00:29:36.700]   Like if you don't do that first,
[00:29:36.700 --> 00:29:38.900]   if you don't come to the Lord first,
[00:29:38.900 --> 00:29:40.540]   then your relationship with God
[00:29:40.540 --> 00:29:42.700]   is a corporate relationship.
[00:29:42.700 --> 00:29:44.460]   You know him only in group,
[00:29:44.460 --> 00:29:47.100]   but you don't know him personally, right?
[00:29:47.100 --> 00:29:48.900]   So the first thing I wanna encourage you to do
[00:29:48.900 --> 00:29:51.940]   is how are you interacting with God in his word?
[00:29:51.940 --> 00:29:53.660]   Second, obviously in prayer.
[00:29:53.660 --> 00:29:56.660]   Is your prayer consistent and persistent?
[00:29:56.660 --> 00:29:59.980]   Again, communication, right?
[00:29:59.980 --> 00:30:01.860]   So those of you who've ever sat with me
[00:30:01.860 --> 00:30:02.780]   for marriage counseling,
[00:30:02.780 --> 00:30:04.380]   that's the first thing we talk about,
[00:30:04.380 --> 00:30:05.220]   is communication,
[00:30:05.220 --> 00:30:06.700]   because without communication,
[00:30:06.700 --> 00:30:10.380]   you can spend 24 hours together,
[00:30:10.380 --> 00:30:11.420]   and at the end of the day,
[00:30:11.420 --> 00:30:13.020]   you feel like, well, I don't know her,
[00:30:13.020 --> 00:30:15.380]   she doesn't know me, right?
[00:30:15.380 --> 00:30:17.740]   So God communicates through his word,
[00:30:17.740 --> 00:30:19.740]   we communicate through prayer.
[00:30:19.740 --> 00:30:20.780]   So those two things,
[00:30:20.780 --> 00:30:23.860]   so those two things are not a regular pattern in our life.
[00:30:23.860 --> 00:30:24.700]   Those are the first things
[00:30:24.700 --> 00:30:26.820]   that we need to give our attention to.
[00:30:26.820 --> 00:30:28.540]   Third, fellowship.
[00:30:28.540 --> 00:30:30.380]   Pray to be more deliberate with the friendship
[00:30:30.380 --> 00:30:32.380]   that you already have in church.
[00:30:32.380 --> 00:30:35.060]   I know some of you guys say,
[00:30:35.060 --> 00:30:38.020]   well, it's so hard to fellowship with people, you know?
[00:30:38.020 --> 00:30:41.340]   A lot of times it's because you set a pattern
[00:30:41.340 --> 00:30:43.420]   in your friendship that you can talk about Jesus
[00:30:43.420 --> 00:30:46.060]   with strangers, but for whatever the reason,
[00:30:46.060 --> 00:30:47.940]   you can't do it with your friends.
[00:30:47.940 --> 00:30:49.940]   To be deliberate about breaking that pattern.
[00:30:49.940 --> 00:30:51.060]   So if you have a group of friends
[00:30:51.060 --> 00:30:54.540]   where it's very awkward to talk about Christ,
[00:30:54.540 --> 00:30:56.540]   be deliberate about breaking that habit.
[00:30:56.540 --> 00:31:00.060]   Ask them, even if it's weird, right?
[00:31:00.060 --> 00:31:01.180]   If you have a group of friends
[00:31:01.180 --> 00:31:03.220]   that that's just not your normal pattern,
[00:31:03.220 --> 00:31:05.340]   you can go to Disneyland, spend all day long
[00:31:05.340 --> 00:31:07.380]   and goof around, but when you say Jesus,
[00:31:07.380 --> 00:31:10.020]   it's just everybody just like, you're weird, right?
[00:31:10.020 --> 00:31:14.780]   If that's the case and they're Christians with you,
[00:31:14.780 --> 00:31:17.340]   that's something that I really wanna encourage you
[00:31:17.340 --> 00:31:21.300]   to be deliberate about changing them, right?
[00:31:21.300 --> 00:31:22.820]   Take small steps, just ask them,
[00:31:22.820 --> 00:31:24.380]   like how's your Friday time, how you doing spiritually?
[00:31:24.380 --> 00:31:26.260]   Get in the habit of asking
[00:31:26.260 --> 00:31:29.380]   and really connecting on a spiritual level.
[00:31:29.380 --> 00:31:32.220]   Secondly, pray to connect with new friends at church
[00:31:32.220 --> 00:31:34.700]   to share Christ with on a regular basis.
[00:31:34.700 --> 00:31:39.220]   If you happen to be with a bunch of friends
[00:31:39.220 --> 00:31:40.620]   and you're making efforts
[00:31:40.620 --> 00:31:44.100]   and they just have no interest at all,
[00:31:44.100 --> 00:31:46.580]   my experience, again, I don't know everybody in this church,
[00:31:46.580 --> 00:31:49.500]   but my experience is majority of the people in this church
[00:31:49.500 --> 00:31:51.660]   will appreciate it if you took the initiative,
[00:31:51.660 --> 00:31:53.180]   majority of people.
[00:31:53.180 --> 00:31:56.140]   There might be one or two, right?
[00:31:56.140 --> 00:31:57.820]   One or two, but I don't know who they are,
[00:31:57.820 --> 00:31:58.980]   but I'm just, you know.
[00:31:58.980 --> 00:32:01.900]   There might be one or two who rejects you,
[00:32:01.900 --> 00:32:06.140]   but my experience has been that that is not the case, right?
[00:32:06.140 --> 00:32:09.220]   But if you, for whatever the reason,
[00:32:09.220 --> 00:32:11.100]   have a difficult time doing that,
[00:32:11.100 --> 00:32:13.900]   there's a lot of people in this church
[00:32:13.900 --> 00:32:17.300]   that wants to run this race with you, right?
[00:32:17.300 --> 00:32:19.540]   Be active, look for true fellowship,
[00:32:19.540 --> 00:32:21.460]   not just people who you're gonna hang out with,
[00:32:21.460 --> 00:32:22.900]   not just some people who you're going
[00:32:22.900 --> 00:32:24.740]   to celebrate birthdays with and take trips with,
[00:32:24.740 --> 00:32:27.700]   but people who you're really gonna partner with, right?
[00:32:27.700 --> 00:32:29.300]   So initially, look at the people
[00:32:29.300 --> 00:32:31.940]   who you are already connected to,
[00:32:31.940 --> 00:32:34.220]   and then secondly, look outside of that,
[00:32:34.220 --> 00:32:35.620]   and there's so many new people,
[00:32:35.620 --> 00:32:37.900]   so many other people that you probably don't know.
[00:32:37.900 --> 00:32:39.060]   I don't know everybody at church,
[00:32:39.060 --> 00:32:41.820]   so I'm almost 100% certain, not 100%,
[00:32:41.820 --> 00:32:44.540]   100% certain that you don't know everybody either.
[00:32:44.540 --> 00:32:47.180]   And there's a lot of people who are hungry for God
[00:32:47.180 --> 00:32:48.780]   that would be more than willing to sit down
[00:32:48.780 --> 00:32:50.100]   with this chair and pray with you.
[00:32:50.100 --> 00:32:53.580]   So second, pray for that, pray for true fellowship.
[00:32:53.580 --> 00:32:55.420]   And thirdly, evangelism.
[00:32:55.420 --> 00:32:57.540]   Pray for greater sensitivity to the people
[00:32:57.540 --> 00:32:59.460]   you are in contact with regularly
[00:32:59.460 --> 00:33:01.500]   to be a witness for Christ.
[00:33:01.500 --> 00:33:03.740]   So when we think about evangelism,
[00:33:03.740 --> 00:33:06.260]   we think of going out on the streets or UCI,
[00:33:06.260 --> 00:33:09.500]   or we're gonna go to China or India.
[00:33:09.500 --> 00:33:12.980]   The first place that you really need to look at
[00:33:12.980 --> 00:33:14.860]   are the people that you already know
[00:33:14.860 --> 00:33:16.340]   and be intentional with those people.
[00:33:16.340 --> 00:33:18.740]   It may be your coworkers, it may be your school friends,
[00:33:18.740 --> 00:33:21.220]   it may be your family members, right?
[00:33:21.220 --> 00:33:22.580]   How can I be intentional with that?
[00:33:22.580 --> 00:33:25.500]   It doesn't mean that you need to have a gospel track
[00:33:25.500 --> 00:33:28.860]   right in your pocket and just lay it on them, right?
[00:33:28.860 --> 00:33:30.780]   It may not be an effective way to evangelize,
[00:33:30.780 --> 00:33:32.020]   but just be intentional.
[00:33:32.020 --> 00:33:35.900]   Easter's coming up, right?
[00:33:35.900 --> 00:33:38.900]   Christmas, just any American holiday
[00:33:38.900 --> 00:33:40.780]   is an opportunity to talk about Christ.
[00:33:40.780 --> 00:33:43.420]   You just have to talk about the holiday, right?
[00:33:43.420 --> 00:33:45.020]   And it leads to the gospel.
[00:33:45.020 --> 00:33:46.940]   They ask you, what's your hobby?
[00:33:46.940 --> 00:33:48.580]   Don't say, oh, I like going to Zizia, man.
[00:33:48.580 --> 00:33:52.220]   That may be true, but that's an opportunity.
[00:33:52.220 --> 00:33:55.460]   I spend a lot of time at church, which is also true, right?
[00:33:55.460 --> 00:33:57.940]   It's an opportunity to share the gospel, be intentional.
[00:33:57.940 --> 00:34:01.020]   So if your mind is not on the things of God
[00:34:01.020 --> 00:34:02.580]   and you're not meditating on that,
[00:34:02.580 --> 00:34:03.900]   you have to force yourself
[00:34:03.900 --> 00:34:05.660]   and then you're gonna miss opportunities.
[00:34:05.660 --> 00:34:07.580]   But when you're sober, right?
[00:34:07.580 --> 00:34:09.980]   When you're in the Word and in the prayer and you're sober,
[00:34:09.980 --> 00:34:13.180]   you will be surprised just how many opportunities
[00:34:13.180 --> 00:34:15.180]   already exist in your life.
[00:34:15.180 --> 00:34:17.540]   And all you have to do is take advantage of it.
[00:34:17.540 --> 00:34:21.060]   So pray that God will open your eyes
[00:34:21.060 --> 00:34:22.980]   to be sensitive to the people who are already around you.
[00:34:22.980 --> 00:34:24.140]   Secondly, pray for opportunity
[00:34:24.140 --> 00:34:26.220]   to share the gospel with people you know
[00:34:26.220 --> 00:34:29.700]   or people you may come into contact with, right?
[00:34:29.700 --> 00:34:32.700]   Again, not just the people who you're already in contact with,
[00:34:32.700 --> 00:34:34.300]   maybe there's opportunity that you can have.
[00:34:34.300 --> 00:34:36.780]   So again, for those of you who are students,
[00:34:36.780 --> 00:34:40.540]   if you're at school and you have a school project,
[00:34:40.540 --> 00:34:42.460]   that's a perfect opportunity.
[00:34:42.460 --> 00:34:45.940]   Get together with other people.
[00:34:45.940 --> 00:34:49.260]   I remember when I was in college,
