
[00:00:00.000 --> 00:00:04.000]   [BLANK_AUDIO]
[00:16:40.920 --> 00:16:43.040]   But make sure you know what it means, first of all,
[00:16:43.040 --> 00:16:44.920]   in its context.
[00:16:44.920 --> 00:16:48.800]   Because then you might come up with something like this.
[00:16:48.800 --> 00:16:50.960]   Judas went out and hanged himself.
[00:16:50.960 --> 00:16:53.840]   [LAUGHTER]
[00:16:53.840 --> 00:16:56.880]   And then you might turn again, shh, bam.
[00:16:56.880 --> 00:16:59.800]   Luke chapter 10, verse 37, you go and do likewise.
[00:16:59.800 --> 00:17:02.720]   [LAUGHTER]
[00:17:02.720 --> 00:17:06.720]   Oh, Lord, that was you.
[00:17:06.720 --> 00:17:08.400]   And what about waiting on the Lord?
[00:17:08.400 --> 00:17:10.480]   It's good sometimes to wait.
[00:17:10.480 --> 00:17:12.280]   And I do it all the time.
[00:17:12.280 --> 00:17:14.880]   If there's a decision that we have discerned
[00:17:14.880 --> 00:17:18.000]   that should be made, but maybe the provision isn't there yet,
[00:17:18.000 --> 00:17:19.560]   then we need to wait and say, God,
[00:17:19.560 --> 00:17:21.260]   her provision is going to actually help
[00:17:21.260 --> 00:17:23.920]   us to know whether or not what we think you're doing
[00:17:23.920 --> 00:17:26.200]   is the right direction.
[00:17:26.200 --> 00:17:30.280]   A provision that has come about is a different thing
[00:17:30.280 --> 00:17:31.120]   than just waiting.
[00:17:31.120 --> 00:17:33.560]   Because sometimes we wait out of fear.
[00:17:33.560 --> 00:17:36.480]   Sometimes we wait because we really know what God is saying,
[00:17:36.480 --> 00:17:38.520]   and we really don't want to move in the direction
[00:17:38.520 --> 00:17:40.520]   that He's calling us to, clearly.
[00:17:40.520 --> 00:17:41.840]   So here's the question.
[00:17:41.840 --> 00:17:45.680]   How can you make marriage decisions in line of eternity?
[00:17:45.680 --> 00:17:48.320]   How can you make decisions for your marriage
[00:17:48.320 --> 00:17:50.320]   that reflect eternity?
[00:17:50.320 --> 00:17:52.080]   And I want to see two things.
[00:17:52.080 --> 00:17:55.080]   Where can the voice of God be found?
[00:17:55.080 --> 00:17:59.000]   Where do we hear the voice of the Lord?
[00:17:59.000 --> 00:18:02.440]   And then secondarily, how can you make marriage decisions
[00:18:02.440 --> 00:18:04.960]   in line of eternity?
[00:18:04.960 --> 00:18:09.640]   So let's go before the Lord one more time and pray.
[00:18:09.640 --> 00:18:12.560]   God, first, I do bring before you again--
[00:18:12.560 --> 00:18:15.640]   not sure if that will be leading with respect to just any
[00:18:15.640 --> 00:18:17.400]   discontent in the room.
[00:18:17.400 --> 00:18:18.880]   But God, I just pray, Lord, that you
[00:18:18.880 --> 00:18:21.000]   administer to those areas of discontent,
[00:18:21.000 --> 00:18:23.520]   if and where they exist.
[00:18:23.520 --> 00:18:26.320]   Even for the men as well in this room,
[00:18:26.320 --> 00:18:28.000]   if they have spoken to them.
[00:18:28.000 --> 00:18:30.600]   And so God, I just pray that you bring a measure of contentment
[00:18:30.600 --> 00:18:31.960]   to those places.
[00:18:31.960 --> 00:18:34.720]   And apply, Lord God, your truth and your promises
[00:18:34.720 --> 00:18:37.880]   to those areas that where they're needed most.
[00:18:37.880 --> 00:18:39.360]   And now, God, we dive in, and I pray
[00:18:39.360 --> 00:18:42.200]   you help us to see once again what your word has to say.
[00:18:42.200 --> 00:18:44.160]   And that we would make decisions based on what
[00:18:44.160 --> 00:18:45.720]   honors and glorifies you.
[00:18:45.720 --> 00:18:47.480]   God, help me to honor and glorify you
[00:18:47.480 --> 00:18:49.000]   through the preaching of your word,
[00:18:49.000 --> 00:18:51.040]   and to honor the text, Lord God, that you
[00:18:51.040 --> 00:18:54.360]   have given the divine inspired and irreverent word of God.
