
[00:00:00.000 --> 00:00:05.000]   (Music)
[00:06:31.080 --> 00:06:35.600]   7 says that we have redemption in Christ.
[00:06:35.600 --> 00:06:41.220]   So God's purchase of us from bondage to sin and Satan and death becomes real and effective
[00:06:41.220 --> 00:06:44.100]   for us in connection with Christ.
[00:06:44.100 --> 00:06:50.760]   Without this relationship, this connection, you could say union with Christ, we're lost.
[00:06:50.760 --> 00:06:51.760]   There's no redemption.
[00:06:51.760 --> 00:06:57.360]   Ephesians 1.13, "In Christ we were sealed by the Holy Spirit."
[00:06:57.360 --> 00:07:02.660]   Well, that one's interesting, because now you have the Holy Spirit, who's the active
[00:07:02.660 --> 00:07:07.760]   agent, and he does this sealing in Christ.
[00:07:07.760 --> 00:07:13.520]   Whoa, that's worth an hour or two of reflection and prayer.
[00:07:13.520 --> 00:07:21.760]   The connection with Christ is what makes it possible for the Spirit to secure us forever.
[00:07:21.760 --> 00:07:28.920]   Philippians 3.9 says that the righteousness we need to stand before God we have in connection
[00:07:28.920 --> 00:07:35.280]   with Christ, that we may be found in Him, not having a righteousness of our own that
[00:07:35.280 --> 00:07:40.320]   comes from law, but that which comes through faith in Christ.
[00:07:40.320 --> 00:07:46.460]   Same thing in 2 Corinthians 5.21, "For our sake God made him to be sin who knew no sin,
[00:07:46.460 --> 00:07:51.280]   so that in him we might become the righteousness of God."
[00:07:51.280 --> 00:07:55.960]   Same thing in Romans 8.1, "In Christ there's no condemnation."
[00:07:55.960 --> 00:08:03.080]   So we only stand righteous and uncondemned before God because of our connection with
[00:08:03.080 --> 00:08:04.080]   Christ.
[00:08:04.080 --> 00:08:06.680]   We're in Christ.
[00:08:06.680 --> 00:08:10.680]   First Corinthians 1.30 helps explain why that is.
[00:08:10.680 --> 00:08:17.360]   You are in Christ Jesus, who became to us wisdom from God, righteousness, sanctification,
[00:08:17.360 --> 00:08:18.360]   redemption.
[00:08:18.360 --> 00:08:24.080]   In other words, in connection with Christ, we have righteousness that is not ours, but
[00:08:24.080 --> 00:08:25.080]   His.
[00:08:25.080 --> 00:08:26.920]   He became our righteousness.
[00:08:26.920 --> 00:08:28.760]   He became our wisdom.
[00:08:28.760 --> 00:08:35.320]   He became our redemption and sanctification, and it all happened in Him.
[00:08:35.320 --> 00:08:38.520]   So three final observations.
[00:08:38.520 --> 00:08:43.600]   What's the cause of this inness, this being in Christ Jesus?
[00:08:43.600 --> 00:08:46.880]   How did we get into this connection?
[00:08:46.880 --> 00:08:51.080]   And right there in 1 Corinthians 1.30, I left out a phrase.
[00:08:51.080 --> 00:08:58.100]   It says, "From God are you in Christ Jesus," because of God, by His agency.
[00:08:58.100 --> 00:09:04.000]   This happens by the new birth, and you can see that in 1 John 3.6 and 3.9, we're abiding
[00:09:04.000 --> 00:09:10.000]   in Christ comes from being born of God.
[00:09:10.000 --> 00:09:19.000]   So one way to see the connection or the relation or the union being caused is by God's seed
[00:09:19.000 --> 00:09:28.960]   in new birth entering us so that now we have a new nature, a new seed, a new DNA from God,
[00:09:28.960 --> 00:09:33.280]   and in that sense, we are united with Christ.
[00:09:33.280 --> 00:09:36.520]   Here's the second closing observation.
[00:09:36.520 --> 00:09:39.080]   How do we experience this day by day?
[00:09:39.080 --> 00:09:47.260]   And Paul answers, "By faith, having been buried with Him in baptism, in which you also were
[00:09:47.260 --> 00:09:50.980]   raised with Him through faith."
[00:09:50.980 --> 00:09:56.800]   Buried with Him, so you identify with Him, and you die with Him and you rise with Him
[00:09:56.800 --> 00:09:59.240]   through faith, Colossians 2.12.
[00:09:59.240 --> 00:10:04.360]   And if that's how we experience our initial identity with Christ, how do we go on living
[00:10:04.360 --> 00:10:05.360]   it?
[00:10:05.360 --> 00:10:09.680]   Galatians 2.20, "I have been crucified with Christ.
[00:10:09.680 --> 00:10:14.080]   It is no longer I who live, but Christ who lives in me."
[00:10:14.080 --> 00:10:18.760]   That's an amazing union that virtually you say, "Not I, but Christ, and the life I now
[00:10:18.760 --> 00:10:22.960]   live in the flesh, I live by faith in the Son of God."
[00:10:22.960 --> 00:10:25.960]   So if you say, "What does it mean to get up in the morning and experience union with
[00:10:25.960 --> 00:10:31.600]   Christ," it means you bank totally on Him for the living of your life.
[00:10:31.600 --> 00:10:37.800]   And the last thing I would say is, in general, I would define union with Christ like this.
[00:10:37.800 --> 00:10:46.600]   It is the reality of all the ways that the Bible pictures our human connectedness to
[00:10:46.600 --> 00:10:55.440]   Christ in which He is indispensable for every good that we enjoy.
[00:10:55.440 --> 00:11:07.520]   No saving good, no eternal good, no God-exalting good, no soul-satisfying good comes to us
[00:11:07.520 --> 00:11:11.680]   except as we are connected to Christ.
[00:11:11.680 --> 00:11:13.240]   Yeah, that is so good.
[00:11:13.240 --> 00:11:14.240]   Amen.
[00:11:14.240 --> 00:11:15.640]   What a beautiful conclusion to the matter.
[00:11:15.640 --> 00:11:16.640]   Pastor John, thank you.
[00:11:16.640 --> 00:11:17.640]   Appreciate that.
[00:11:17.640 --> 00:11:19.480]   And thank you for the question, Taylor.
[00:11:19.480 --> 00:11:22.160]   And thank you for listening to the podcast over at our online home.
[00:11:22.160 --> 00:11:27.120]   You can explore about 1300 of our past episodes and you can scan a list from most popular
[00:11:27.120 --> 00:11:31.360]   ones, read full transcripts of those episodes, and even send us a question of your own.
[00:11:31.360 --> 00:11:32.360]   Go to DesiringGuy.org/AskPastorJohn.
[00:11:32.360 --> 00:11:38.800]   Well, I think most of us would confirm that gender differences do play a specific role
[00:11:38.800 --> 00:11:42.840]   in defining how husbands and wives relate within a marriage covenant.
[00:11:42.840 --> 00:11:47.920]   But do these biological distinctions also give shape to our roles in society, even for
[00:11:47.920 --> 00:11:50.320]   those who are unmarried?
[00:11:50.320 --> 00:11:53.320]   That is the final question on the table for the week.
[00:11:53.320 --> 00:11:54.320]   It's a really good one.
[00:11:54.320 --> 00:11:56.920]   I'm your host, Tony Reinke, and we'll see you back here on Friday.
[00:11:56.920 --> 00:11:57.920]   Thanks for listening.
[00:11:57.920 --> 00:11:58.420]   [END]
[00:11:58.420 --> 00:12:08.420]   1

